Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x75,x76,x77,LTHII,x72
14,0.00816885,0.00596005,0,0,0,0,0,0,0.0378174,0.0129285,0.0179731,0.00777443,0,0,0.0300298,0,0.0200639,0.0216783,0.040826,0.018414,0.0162955,0.0197422,0.00429741,0.0147006,0.0125915,0.0204506,0.0163222,0.0192993,0.0254806,0.0066113,0.0156166,0.0480439,0.0182921,0.0145459,0.0117735,0.00985402,0.006511,0.00894094,0.0106358,0.0105309,0,0,0.0245417,0,0.0114651,0.0202516,0.0541918,0.0163079,0.00806045,0.00356887,0.011733,0.01588,0.00392913,0.0246053,0.00592709,0.00621553,0.00618324,0.0109199,0.00451272,0.00851451,0.0221366,0.0130594,0.0101256,0.0112105,0.00565839,0.00897713,0,0,0,0,0,0,0,0,0,0
15,0.00782167,0.00657549,0,0,0,0,0,0,0.0344843,0.0129059,0.0172655,0.00739973,0,0,0.0294765,0,0.020067,0.0211392,0.0414206,0.0173657,0.0166279,0.0188382,0.0044166,0.0150464,0.0119705,0.0197881,0.0153178,0.0191493,0.0245258,0.0063154,0.0157958,0.0443661,0.0189337,0.0147765,0.0116236,0.0104496,0.00656826,0.0088511,0.0103013,0.0104864,0,0,0.0246169,0,0.0114328,0.0204347,0.0533679,0.0167529,0.00800355,0.00235859,0.0115759,0.0154064,0.0036208,0.026048,0.00390226,0.0046729,0.00580277,0.00903649,0.00443257,0.00980158,0.0229581,0.0133295,0.0102358,0.0111651,0.00602625,0.00887935,0,0,0,0,0,0,0,0,0.0100916,0
16,0.00784151,0.00714096,0,0,0,0,0,0,0.0307169,0.0128748,0.0164177,0.00679388,0,0,0.0288615,0,0.0202547,0.0205171,0.0418758,0.016481,0.0172952,0.0181432,0.00451737,0.0154304,0.0114642,0.0192314,0.0144299,0.0187987,0.0236416,0.00596872,0.0159131,0.0402282,0.0185724,0.0151581,0.0116039,0.0114549,0.00663493,0.00973295,0.00992323,0.0105608,0,0,0.0247318,0,0.0115039,0.0206055,0.0526218,0.0176248,0.00790632,0.00243567,0.011559,0.0149787,0.00342155,0.0274027,0.00264969,0.00276409,0.00651036,0.00754988,0.00524495,0.0115611,0.0236973,0.0136947,0.0100346,0.0111867,0.00643082,0.00889263,0,0,0,0,0,0,0,0,0.00955451,0
17,0.00816091,0.00754822,0,0,0,0,0,0,0.026232,0.0127428,0.0154017,0.00638392,0,0,0.0282894,0,0.0203344,0.020137,0.0421327,0.0160533,0.0175631,0.0176351,0.00449195,0.0157651,0.0111943,0.0186361,0.0136294,0.0181945,0.0219967,0.00543906,0.0162104,0.035263,0.0178025,0.0153144,0.0117753,0.0123898,0.00668167,0.00998338,0.00960719,0.0107212,0,0,0.0246652,0,0.0114718,0.020576,0.051773,0.0174499,0.0077076,0.00279227,0.0114424,0.0145943,0.00385338,0.0280728,0.0034515,0.00345252,0.00673219,0.00660004,0.005595,0.0116371,0.0230349,0.0138162,0.00988972,0.0111774,0.00697177,0.00892764,0,0,0,0,0,0,0,0,0.00935715,0
18,0.00864086,0.00788779,0,0,0,0,0,0,0.020936,0.0126053,0.0148615,0.00634349,0,0,0.0275708,0,0.020539,0.0196421,0.0422045,0.0164046,0.0176313,0.0172425,0.00440322,0.0159639,0.0110614,0.0179539,0.0129994,0.0172961,0.0200681,0.00478286,0.016721,0.0292772,0.0169399,0.0153498,0.0119283,0.0130146,0.00671687,0.00885904,0.00916753,0.0109603,0,0,0.0244813,0,0.0113831,0.0204777,0.0507304,0.0155631,0.00761018,0.0030482,0.0111679,0.0142631,0.00437991,0.0280665,0.00471327,0.00321413,0.00581996,0.00625137,0.00497315,0.00958407,0.0217903,0.0136868,0.00981104,0.0111737,0.0074043,0.0089762,0,0,0,0,0,0,0,0,0.00954446,0
19,0.0090339,0.00819237,0,0,0,0,0,0,0.0149052,0.0124487,0.015684,0.00634528,0,0,0.0267929,0,0.0206737,0.0190443,0.0421273,0.0174722,0.0174847,0.0168394,0.0043841,0.0159114,0.0109863,0.0171262,0.0125014,0.0162517,0.0180194,0.00414312,0.0173481,0.0225933,0.0153478,0.015352,0.0119829,0.0143925,0.00679853,0.00683034,0.00891093,0.011219,0,0,0.0242207,0,0.0113197,0.0203535,0.0499728,0.0126302,0.00761972,0.00308019,0.0109046,0.0140054,0.0045383,0.0275955,0.0053976,0.0038829,0.00414852,0.00636912,0.00373966,0.00645439,0.0211086,0.0134285,0.00981142,0.0111764,0.00767261,0.00907762,0,0,0,0,0,0,0,0,0.009593,0
20,0.00933364,0.00860766,0,0,0,0,0,0,0.0093643,0.0123804,0.0176938,0.0063349,0,0,0.02606,0,0.020924,0.0186309,0.0421944,0.0190918,0.0171931,0.0163372,0.00438159,0.0157869,0.0108608,0.0160979,0.0119727,0.0151073,0.0157958,0.00374725,0.0179623,0.0163967,0.0126862,0.0155001,0.0118979,0.016111,0.00690029,0.00463455,0.00894951,0.0115023,0,0,0.0239511,0,0.011241,0.0201856,0.0498227,0.00971418,0.00775839,0.00239188,0.0106749,0.0136915,0.00437428,0.0269888,0.00555035,0.00432101,0.00233988,0.00668406,0.00241021,0.00354465,0.020853,0.0131257,0.00986824,0.011115,0.00797613,0.00927231,0,0,0,0,0,0,0,0,0.00957335,0
21,0.00949692,0.009049,0,0,0,0,0,0,0.0077353,0.0124543,0.0205151,0.00636497,0,0,0.0248713,0,0.0211878,0.0182217,0.0424591,0.0214537,0.0168931,0.0157012,0.0043218,0.0157267,0.0105982,0.0147273,0.0113489,0.0137587,0.0134356,0.00404706,0.0184235,0.0145744,0.0110621,0.0157765,0.0117584,0.0174698,0.00701932,0.00293791,0.00899069,0.011711,0,0,0.0236233,0,0.0111492,0.0199397,0.0501994,0.00731026,0.00791347,0.00125531,0.0106355,0.0133088,0.00398207,0.0266981,0.00530341,0.00447945,0.00117119,0.00681522,0.00176464,0.00210753,0.0209383,0.0128232,0.00987313,0.0110252,0.00851062,0.00944336,0,0,0,0,0,0,0,0,0.00935278,0
22,0.00961192,0.00944052,0,0,0,0,0,0,0.0127064,0.0125291,0.0232176,0.00660707,0,0,0.0242949,0,0.0211646,0.0179094,0.042763,0.0241687,0.0166361,0.0151974,0.0041472,0.0157994,0.0105011,0.0133145,0.0111855,0.0125196,0.0113741,0.00437119,0.0189921,0.0187508,0.0103103,0.0157637,0.0116216,0.0185391,0.00717774,0.00251147,0.0090934,0.0119166,0,0,0.0233002,0,0.0110399,0.0197874,0.0509231,0.0057551,0.00810004,0.00143588,0.0108683,0.0129112,0.00374855,0.0269539,0.00499928,0.00451271,0.000830574,0.00668232,0.00175,0.00175517,0.0214192,0.0125853,0.00978671,0.010895,0.00888641,0.00963194,0,0,0,0,0,0,0,0,0.00916434,0
23,0.00975548,0.00973551,0,0,0,0,0,0,0.0197432,0.0125649,0.0251797,0.0071123,0,0,0.0241842,0,0.0211942,0.0175598,0.0430715,0.0264321,0.0163863,0.0149844,0.00390467,0.0159508,0.0109025,0.0121389,0.0113999,0.0113891,0.00971688,0.00442914,0.0197508,0.0248249,0.00983875,0.0156617,0.0114644,0.0193074,0.00732244,0.00251695,0.00941254,0.0122573,0,0,0.0228826,0,0.0108852,0.0196993,0.051531,0.00529884,0.0081956,0.0021889,0.0113792,0.0124845,0.00381911,0.0277108,0.00510424,0.00438601,0.00102035,0.00631449,0.00180864,0.00196761,0.0221283,0.0123308,0.00965751,0.0106925,0.00915063,0.00994432,0,0,0,0,0,0,0,0,0.00934806,0
