Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x75,x76,x77,LTHII,x72
24,0.00984206,0.0098422,0,0,0,0,0,0,0.0276898,0.012629,0.0267222,0.00800509,0,0,0.0238903,0,0.0212435,0.0172296,0.0434615,0.0274299,0.0159765,0.0145402,0.00375394,0.0161411,0.0112548,0.010844,0.0115384,0.0101808,0.00822401,0.00458945,0.020523,0.032591,0.00954403,0.0155531,0.0112553,0.0193234,0.00747847,0.00288698,0.00999528,0.0126014,0,0,0.0223169,0,0.0107371,0.0194887,0.051822,0.00584453,0.00814734,0.00233034,0.0120693,0.0121093,0.00400511,0.0285831,0.00464458,0.00417245,0.00157652,0.00586896,0.00218403,0.00353248,0.0226544,0.0119215,0.00954196,0.0104871,0.00921256,0.0102328,0,0,0,0,0,0,0,0,0.00970702,0
25,0.00975621,0.00981754,0,0,0,0,0,0,0.0364223,0.0127744,0.0281564,0.00881519,0,0,0.0234023,0,0.0210488,0.0168947,0.0439241,0.0280113,0.0154953,0.013585,0.00390724,0.0163138,0.0105289,0.00952878,0.0115704,0.00873947,0.00665079,0.00528814,0.0211735,0.0423638,0.00931957,0.0153684,0.0110307,0.0190532,0.00773889,0.00347596,0.0102257,0.012788,0,0,0.0216512,0,0.0105438,0.019104,0.0518362,0.00680421,0.00806188,0.00291478,0.0125695,0.0117365,0.00422245,0.0292543,0.00454354,0.00407668,0.00205508,0.00548831,0.00275008,0.0049956,0.0228238,0.0114274,0.00940284,0.0102333,0.0092237,0.0103108,0,0,0,0,0,0,0,0,0.0097781,0
26,0.00947183,0.00972057,0,0,0,0,0,0,0.0447396,0.0129682,0.0303388,0.00947748,0,0,0.0228934,0,0.0207639,0.0165885,0.0442415,0.030356,0.0150152,0.0123395,0.00432901,0.0164792,0.0095002,0.00826362,0.0113648,0.00703557,0.00533388,0.0060971,0.0215764,0.0523565,0.00924271,0.0151646,0.0108347,0.0190355,0.0079828,0.00387583,0.00997556,0.012788,0,0,0.0209374,0,0.0103702,0.018667,0.0516781,0.00727408,0.00796329,0.00280814,0.0129083,0.0114611,0.00428791,0.0295717,0.00473395,0.00411933,0.00203241,0.00526112,0.00293439,0.00527301,0.0229699,0.0109245,0.00927112,0.00998853,0.00911787,0.0101369,0,0,0,0,0,0,0,0,0.00944758,0
27,0.00900458,0.00959959,0,0,0,0,0,0,0.0520184,0.0132147,0.0334172,0.00997291,0,0,0.022564,0,0.0204321,0.0163059,0.0441731,0.0342425,0.014416,0.0109556,0.00495801,0.016693,0.00859625,0.00676139,0.0111086,0.00539292,0.00563993,0.00706338,0.0218785,0.0614321,0.00933514,0.0150504,0.0105506,0.0198109,0.00814842,0.00378829,0.00970673,0.0125221,0,0,0.0204019,0,0.0102294,0.0183491,0.051463,0.00654052,0.00802551,0.00254677,0.0130639,0.0114644,0.00413911,0.029692,0.00473837,0.0042486,0.00146669,0.00525989,0.00242424,0.00413894,0.0234279,0.0105066,0.00913517,0.00977605,0.00893757,0.00969973,0,0,0,0,0,0,0,0,0.00893562,0
28,0.00854093,0.00933572,0,0,0,0,0,0,0.0575802,0.0134539,0.0366371,0.0103237,0,0,0.0230312,0,0.0200746,0.0164056,0.0436016,0.0380304,0.0138535,0.00983438,0.00564369,0.0168181,0.00813388,0.0053133,0.0111924,0.0044615,0.00764139,0.00805744,0.0223279,0.0681912,0.00971887,0.0149479,0.0103935,0.0211822,0.00821932,0.00375636,0.00929613,0.0121222,0,0,0.0201694,0,0.0101745,0.0182358,0.0512996,0.00498974,0.00825898,0.00237245,0.0130124,0.0116749,0.00391511,0.0297007,0.0046295,0.00432827,0.00114067,0.00542814,0.00166297,0.00209454,0.0242886,0.010423,0.00909706,0.00966803,0.00875967,0.00923433,0,0,0,0,0,0,0,0,0.00858316,0
29,0.00815812,0.00894238,0,0,0,0,0,0,0.0611365,0.0136003,0.0394856,0.0105173,0,0,0.02368,0,0.0199424,0.0166504,0.0426389,0.041124,0.0133837,0.00900914,0.00627676,0.01678,0.0076172,0.00408038,0.011713,0.00453328,0.0101803,0.00901273,0.0229112,0.0721158,0.0102893,0.0148852,0.0103583,0.0225522,0.00819485,0.00441745,0.00871059,0.0116559,0,0,0.0203136,0,0.0102198,0.0182755,0.0513601,0.0034924,0.00871811,0.0024173,0.0127598,0.0120659,0.00369739,0.0297122,0.0045424,0.00427879,0.00182516,0.00567351,0.00149774,0.000788279,0.0251546,0.0107531,0.00907595,0.00969226,0.00837627,0.00885643,0,0,0,0,0,0,0,0,0.00851083,0
30,0.00787765,0.00854732,0,0,0,0,0,0,0.0633888,0.0137125,0.0418302,0.0106919,0,0,0.0242393,0,0.0198774,0.0169314,0.0414694,0.0435863,0.0128914,0.00819134,0.0066741,0.0165758,0.00674797,0.00327571,0.0124886,0.00517761,0.0126714,0.00987724,0.0234785,0.0740439,0.0108702,0.0148612,0.0103559,0.0235634,0.00811376,0.00538825,0.00801898,0.0112259,0,0,0.0206629,0,0.010306,0.0183511,0.0516123,0.00299141,0.00925573,0.00272933,0.0123648,0.0124905,0.00346874,0.029703,0.00445531,0.00425704,0.00267917,0.00595653,0.00193226,0.00224355,0.0257267,0.0111093,0.00906212,0.00975004,0.00791095,0.00859686,0,0,0,0,0,0,0,0,0.00848593,0
31,0.00770526,0.00822144,0,0,0,0,0,0,0.0649651,0.0137949,0.0436591,0.0108572,0,0,0.0247636,0,0.0196912,0.0172112,0.0402441,0.0457194,0.0124812,0.00722555,0.00684749,0.0163042,0.00543487,0.00325062,0.0132235,0.0059114,0.0149103,0.0108393,0.0238984,0.0752776,0.0113127,0.014808,0.0103395,0.0241183,0.00802951,0.00629838,0.00734763,0.0109056,0,0,0.0210119,0,0.0103878,0.018549,0.0520784,0.0031586,0.00970428,0.00343088,0.0119186,0.0128585,0.0033221,0.029662,0.00457872,0.00436461,0.00331321,0.00620636,0.00232885,0.00334509,0.0259898,0.0113257,0.00906083,0.00983758,0.0075536,0.00847651,0,0,0,0,0,0,0,0,0.00844967,0
32,0.00761759,0.00799519,0,0,0,0,0,0,0.0657928,0.0138308,0.0448032,0.011024,0,0,0.0252883,0,0.019563,0.0173616,0.0390747,0.0473558,0.0121181,0.00661478,0.00690215,0.0158841,0.00489533,0.00390115,0.0137058,0.00660163,0.0163518,0.0116701,0.0242142,0.0759937,0.0116405,0.0147356,0.0103333,0.0241863,0.00796186,0.00716494,0.0067242,0.0107507,0,0,0.0213024,0,0.01047,0.0186864,0.0527264,0.00339921,0.0100077,0.00465536,0.0114583,0.0131734,0.00325857,0.0295875,0.00471901,0.0046052,0.00374433,0.00640689,0.002686,0.00400862,0.025678,0.0114876,0.00902527,0.00986477,0.00733838,0.00848782,0,0,0,0,0,0,0,0,0.00848459,0
33,0.007679,0.00789695,0,0,0,0,0,0,0.0660432,0.0138413,0.0452146,0.0112142,0,0,0.0259341,0,0.0194805,0.0176802,0.0380863,0.0482929,0.0117527,0.00635737,0.0068864,0.0153961,0.00464439,0.00447646,0.0138429,0.00713745,0.0170378,0.0121164,0.0243385,0.0764026,0.0121828,0.0146561,0.0104051,0.023679,0.00788558,0.00772658,0.00629332,0.0107531,0,0,0.0215859,0,0.0105964,0.0187823,0.0534433,0.0035146,0.0104406,0.00615518,0.0110822,0.0134648,0.00318734,0.0296002,0.00457932,0.00495794,0.00396446,0.0065995,0.00296995,0.00427006,0.0246827,0.0116637,0.00891399,0.00982947,0.00718808,0.00864063,0,0,0,0,0,0,0,0,0.00829591,0
34,0.00779689,0.00791187,0,0,0,0,0,0,0.0659213,0.013843,0.0448725,0.0113409,0,0,0.0265876,0,0.0195024,0.0179584,0.0373193,0.048598,0.011448,0.00638771,0.00685198,0.0149934,0.00426871,0.00492986,0.0135408,0.00718115,0.0175538,0.0121679,0.024204,0.0767894,0.0127595,0.0146581,0.0104526,0.0226855,0.00777501,0.00747429,0.00591854,0.0108184,0,0,0.0219697,0,0.010735,0.0189606,0.0540995,0.00398396,0.0109269,0.00705927,0.0107287,0.0137607,0.00310476,0.0295262,0.00425456,0.0051118,0.00422798,0.00693218,0.00331414,0.00462833,0.0231694,0.0119294,0.00885146,0.00983311,0.00709413,0.00884495,0,0,0,0,0,0,0,0,0.00764355,0
35,0.00788305,0.00790473,0,0,0,0,0,0,0.0654295,0.0138627,0.0440137,0.0113794,0,0,0.027179,0,0.019591,0.0182544,0.0366079,0.0484443,0.0110588,0.00669453,0.00688016,0.014614,0.0037607,0.00519468,0.0127935,0.00713966,0.0175178,0.0120313,0.0239616,0.077089,0.0132887,0.0146882,0.0104291,0.0213714,0.00767461,0.00736958,0.00554526,0.0109394,0,0,0.0222912,0,0.0108476,0.0191561,0.0547245,0.00505259,0.0113864,0.00749426,0.010275,0.0140856,0.00303319,0.029332,0.0036423,0.00479529,0.0046855,0.00732428,0.00387966,0.00538783,0.0212029,0.0120895,0.00879622,0.00985246,0.00689772,0.00905873,0,0,0,0,0,0,0,0,0.00688807,0
36,0.00795219,0.00775803,0,0,0,0,0,0,0.0646919,0.0139032,0.042764,0.0113701,0,0,0.0278171,0,0.0196403,0.0185193,0.0357165,0.0480559,0.0106319,0.00714038,0.00706159,0.014256,0.00332296,0.00513985,0.0116491,0.00703073,0.0169196,0.0117495,0.0236713,0.0771633,0.0138666,0.0146931,0.0103968,0.0201609,0.00759288,0.00796153,0.00519076,0.0110555,0,0,0.0225509,0,0.010959,0.0193143,0.0554632,0.00650369,0.0119077,0.00776529,0.00982129,0.0144295,0.00299661,0.0291359,0.00296647,0.00436688,0.00542493,0.00775328,0.00469762,0.00658198,0.0192031,0.0122673,0.00868462,0.0098369,0.00683278,0.00924826,0,0,0,0,0,0,0,0,0.00612987,0
37,0.00804202,0.00755439,0,0,0,0,0,0,0.0640764,0.0139731,0.0413762,0.0114085,0,0,0.0284744,0,0.0196533,0.0188109,0.0345847,0.0476238,0.0101142,0.00764388,0.00745612,0.0139883,0.00310986,0.00408861,0.0103278,0.00640569,0.0161136,0.0113598,0.0233343,0.0772539,0.014455,0.0146541,0.0102871,0.0191566,0.0075249,0.00895431,0.00486351,0.0111409,0,0,0.0227968,0,0.0110756,0.0194508,0.0564162,0.00813323,0.0124934,0.00777513,0.00945437,0.0148235,0.00301277,0.0290175,0.00229149,0.00403941,0.00636178,0.00817302,0.00568685,0.00815883,0.0173117,0.0125742,0.0085587,0.00973904,0.00668552,0.00941888,0,0,0,0,0,0,0,0,0.00547434,0
38,0.00805018,0.00726967,0,0,0,0,0,0,0.0635358,0.014068,0.0400462,0.0114661,0,0,0.0291662,0,0.0196598,0.0190017,0.0334134,0.0472579,0.00959117,0.00819349,0.00790197,0.0137917,0.00316165,0.00323627,0.00894459,0.00606353,0.0152658,0.0110942,0.0229761,0.0775941,0.0149274,0.0145617,0.0100901,0.0183101,0.00747988,0.0100581,0.00442194,0.011142,0,0,0.0230256,0,0.011171,0.0195983,0.0575696,0.0100007,0.0130285,0.00751443,0.00907208,0.0152706,0.0027545,0.0290051,0.002008,0.00364964,0.0073557,0.00858733,0.00671214,0.00990554,0.0156212,0.012894,0.00844208,0.00952217,0.0064075,0.00947713,0,0,0,0,0,0,0,0,0.004716,0
39,0.00807559,0.00703461,0,0,0,0,0,0,0.0632588,0.0141594,0.0389146,0.011491,0,0,0.0296261,0,0.0196529,0.0189886,0.0322872,0.0472052,0.00904189,0.0088029,0.00837922,0.0135659,0.00341416,0.00299273,0.00754358,0.00625631,0.0145058,0.0108959,0.0225902,0.0782626,0.0155137,0.0144864,0.00990099,0.017389,0.00747063,0.0107418,0.00393267,0.0111613,0,0,0.0231718,0,0.0112653,0.0196889,0.0587559,0.0114506,0.013517,0.00697412,0.00878144,0.015691,0.00233539,0.0290378,0.00197664,0.00331281,0.0081781,0.00893753,0.00756248,0.0110791,0.0139771,0.0130931,0.00833539,0.00928864,0.00614716,0.00954192,0,0,0,0,0,0,0,0,0.00384284,0
40,0.00817338,0.00676081,0,0,0,0,0,0,0.0628728,0.0142231,0.037981,0.0113901,0,0,0.0301002,0,0.0196371,0.0190093,0.0314943,0.0473109,0.0086389,0.00950126,0.00895999,0.0133231,0.00435971,0.00326272,0.00694862,0.00612782,0.01329,0.0105652,0.0224189,0.0786419,0.0163973,0.014417,0.00977575,0.0162914,0.00743518,0.0109871,0.00338793,0.0112163,0,0,0.0233158,0,0.0113693,0.0197469,0.0597379,0.0121741,0.013956,0.00719017,0.00864178,0.0161285,0.00204186,0.0291079,0.00242047,0.00283366,0.00873721,0.00923253,0.00812977,0.0117515,0.0123264,0.0133188,0.00820703,0.00910389,0.00587411,0.00965574,0,0,0,0,0,0,0,0,0.0042149,0
41,0.00834742,0.00661052,0,0,0,0,0,0,0.0626572,0.0142972,0.0373308,0.0112382,0,0,0.0303263,0,0.019694,0.0188933,0.0310843,0.0475282,0.00830091,0.0104724,0.00955972,0.0131352,0.0053376,0.00439351,0.00701851,0.00593221,0.0121044,0.0102541,0.0223578,0.0791577,0.0170092,0.0144612,0.00964337,0.0150352,0.00741434,0.010901,0.00280769,0.0113634,0,0,0.023497,0,0.0114489,0.0198524,0.0605311,0.0122783,0.0143396,0.00735723,0.00860663,0.0164183,0.00189578,0.0292771,0.00276524,0.00215652,0.0089939,0.0094253,0.00837009,0.0120486,0.0107714,0.0134937,0.00797149,0.00899621,0.00572543,0.0098345,0,0,0,0,0,0,0,0,0.00508917,0
42,0.00858996,0.00654412,0,0,0,0,0,0,0.0624915,0.014356,0.0369131,0.0107367,0,0,0.030285,0,0.0198248,0.0187413,0.0310186,0.0477189,0.0079017,0.0116614,0.0102416,0.013026,0.00651005,0.00619043,0.00800171,0.00577528,0.0108141,0.0100622,0.0224672,0.0793607,0.0174608,0.0145199,0.00954993,0.0137209,0.00740053,0.0107035,0.00219016,0.0116403,0,0,0.0236495,0,0.0114938,0.0199342,0.061309,0.01223,0.0146887,0.00704259,0.00862192,0.0165997,0.00177052,0.0295581,0.00281199,0.00146279,0.00908253,0.0094898,0.00841832,0.012226,0.00921708,0.0135691,0.00771962,0.00898132,0.00566827,0.0101396,0,0,0,0,0,0,0,0,0.00627088,0
43,0.00885069,0.00636958,0,0,0,0,0,0,0.0620639,0.0143852,0.0367875,0.00992338,0,0,0.0305254,0,0.0197999,0.0189513,0.0311446,0.0477786,0.00752369,0.0130519,0.0110661,0.0129496,0.00806059,0.0082967,0.00959736,0.0057456,0.00953865,0.00996068,0.0227196,0.079215,0.0177357,0.0144067,0.00952477,0.0127114,0.00741205,0.0107658,0.00166785,0.0119708,0,0,0.0237639,0,0.0115288,0.0199538,0.0620445,0.0126333,0.0150038,0.00702107,0.00863751,0.0168064,0.00164158,0.029522,0.00293945,0.00104302,0.00943265,0.00962576,0.00856152,0.0126695,0.00792331,0.013671,0.00755695,0.00898283,0.00548974,0.0104591,0,0,0,0,0,0,0,0,0.00759725,0
44,0.00895093,0.00616259,0,0,0,0,0,0,0.061648,0.0144376,0.0368074,0.0101177,0,0,0.0306781,0,0.0197566,0.0191226,0.0311452,0.0481132,0.00711429,0.0144105,0.011833,0.012952,0.00909111,0.00991777,0.0100085,0.00579749,0.00931137,0.0100878,0.0227155,0.0790517,0.0175211,0.0143242,0.00949215,0.0119736,0.00751173,0.0108423,0.00139186,0.0122075,0,0,0.0237251,0,0.0115149,0.0198803,0.0626138,0.0131763,0.0152417,0.00693107,0.00859728,0.0169174,0.00168535,0.0294309,0.00314281,0.00108901,0.00978742,0.00972149,0.00871631,0.0132112,0.00709261,0.0136303,0.00769318,0.00890745,0.00526973,0.0106333,0,0,0,0,0,0,0,0,0.00844176,0
45,0.00897393,0.00599886,0,0,0,0,0,0,0.0610309,0.0145365,0.0370487,0.010262,0,0,0.0307336,0,0.0197369,0.0192254,0.0310433,0.0487878,0.00660176,0.015748,0.0123869,0.0130105,0.0100477,0.011377,0.0097486,0.00586718,0.00934989,0.0103648,0.0225321,0.0781378,0.0171828,0.0142891,0.0094032,0.0113239,0.00760964,0.0109152,0.00139131,0.0123847,0,0,0.0235641,0,0.0114361,0.0197476,0.0630411,0.0138591,0.0154439,0.00675211,0.00854414,0.0169184,0.00173971,0.0294658,0.00298568,0.00137845,0.0100971,0.00975654,0.00901693,0.0138918,0.00658523,0.0134778,0.00821139,0.00882118,0.00511946,0.0107775,0,0,0,0,0,0,0,0,0.0091228,0
46,0.00895419,0.00583376,0,0,0,0,0,0,0.0599114,0.0146522,0.0373725,0.0105363,0,0,0.0309525,0,0.0196697,0.0195181,0.0310542,0.0496146,0.00597803,0.0176054,0.0129993,0.0131546,0.0113805,0.013167,0.00950568,0.00600784,0.00910115,0.010628,0.0222216,0.0761068,0.0168114,0.0142213,0.00932738,0.0105092,0.00770021,0.0111791,0.00143495,0.0125351,0,0,0.0233944,0,0.0113504,0.0196167,0.0639253,0.0147573,0.0158271,0.00661122,0.00854069,0.0169206,0.00156518,0.0298668,0.0023898,0.00171071,0.0104397,0.00979681,0.00954118,0.0149071,0.00623575,0.0133658,0.00845101,0.00874527,0.00498,0.0109376,0,0,0,0,0,0,0,0,0.0101342,0
47,0.00871054,0.00561601,0,0,0,0,0,0,0.0574752,0.01482,0.0377286,0.0109715,0,0,0.0311401,0,0.0195445,0.0198051,0.0313389,0.0506243,0.00531227,0.0214796,0.0135801,0.013412,0.0133159,0.0162374,0.00946476,0.00637024,0.00822901,0.0108337,0.0216456,0.0720878,0.0163825,0.0140918,0.00921411,0.00971807,0.00784432,0.0112788,0.00175822,0.0124911,0,0,0.023152,0,0.01123,0.019415,0.0646017,0.015196,0.0160228,0.00647791,0.00861982,0.0168648,0.00170451,0.030234,0.00207941,0.00200835,0.0108961,0.00983368,0.00994043,0.015697,0.00606176,0.0131778,0.0083051,0.00861715,0.0048288,0.0109071,0,0,0,0,0,0,0,0,0.0120707,0
48,0.00814299,0.00552016,0,0,0,0,0,0,0.0519295,0.0150917,0.0382186,0.0116448,0,0,0.0309872,0,0.0193446,0.019824,0.0322965,0.0521309,0.00424786,0.0297005,0.0140907,0.0137403,0.0174639,0.0231907,0.00959541,0.00783813,0.00714078,0.0108613,0.0202581,0.0633217,0.015979,0.013931,0.00903168,0.00930357,0.00810582,0.0114573,0.00253773,0.012166,0,0,0.0226657,0,0.0110427,0.0191043,0.0652365,0.0157633,0.016235,0.00651303,0.0088316,0.0165866,0.00203431,0.0306782,0.00202451,0.00227995,0.0115831,0.00992652,0.0103789,0.0165136,0.00615057,0.0127884,0.008214,0.00837969,0.00481115,0.0105829,0,0,0,0,0,0,0,0,0.01665,0
49,0.00816445,0.00545585,0,0,0,0,0,0,0.0488346,0.0151591,0.0378638,0.0114677,0,0,0.0313277,0,0.0193088,0.0199594,0.0328014,0.0516741,0.00410652,0.0311817,0.0144722,0.0140479,0.0184126,0.0246633,0.0102274,0.00744918,0.00695884,0.0108878,0.0198639,0.0588692,0.016274,0.0138933,0.00905932,0.00887602,0.00814832,0.0113427,0.00275942,0.0121716,0,0,0.0225725,0,0.0110415,0.0190732,0.0658491,0.0160477,0.0163989,0.00640331,0.00885008,0.0165804,0.00217508,0.0310354,0.00209859,0.0027826,0.0119878,0.0099889,0.0107154,0.0170899,0.00613674,0.0127686,0.00812871,0.0082869,0.00480019,0.0106448,0,0,0,0,0,0,0,0,0.0174672,0
50,0.0083336,0.00543296,0,0,0,0,0,0,0.0454532,0.0151507,0.0367918,0.0111199,0,0,0.0317833,0,0.0192192,0.0201443,0.033402,0.0503829,0.0041949,0.0315042,0.0147142,0.0143967,0.0187328,0.0250558,0.0111819,0.00655723,0.00646052,0.0108671,0.0195796,0.0540404,0.0168061,0.0138561,0.00915428,0.00815539,0.00814202,0.0111256,0.00290141,0.012269,0,0,0.0225655,0,0.01107,0.0191215,0.0665361,0.0160837,0.0166058,0.00635557,0.0087706,0.0166487,0.00219114,0.0315012,0.00194257,0.00335553,0.012217,0.0100456,0.0110219,0.0176419,0.00638509,0.0127631,0.00807974,0.00827458,0.00486292,0.0107779,0,0,0,0,0,0,0,0,0.0177438,0
51,0.00879712,0.00544364,0,0,0,0,0,0,0.0422554,0.0150791,0.034844,0.0105401,0,0,0.0324381,0,0.0191232,0.0204375,0.0338891,0.047799,0.0047483,0.0296079,0.0149265,0.0144799,0.0177247,0.0233858,0.0122918,0.00492263,0.00543787,0.0108565,0.0197197,0.0500152,0.017563,0.0138288,0.00929618,0.00718036,0.00804102,0.0105561,0.00280477,0.012632,0,0,0.0227198,0,0.0111696,0.0191887,0.0671648,0.0154418,0.0168054,0.0063768,0.00865463,0.0167925,0.00232452,0.0319452,0.00199127,0.00399382,0.0122911,0.0101682,0.0110902,0.0178819,0.00694996,0.0130719,0.00783179,0.00834382,0.00510045,0.0111753,0,0,0,0,0,0,0,0,0.0168632,0
52,0.00949471,0.00552563,0,0,0,0,0,0,0.0390378,0.0149777,0.0320548,0.00964906,0,0,0.0332102,0,0.0192012,0.020755,0.0342356,0.0436755,0.00576751,0.0255104,0.0152119,0.014446,0.0154686,0.0198184,0.0131889,0.0032356,0.0038111,0.0104548,0.020624,0.0467168,0.0184092,0.0139261,0.00945875,0.00632916,0.00787035,0.00988109,0.0025404,0.0132211,0,0,0.0230621,0,0.0113262,0.0193295,0.0676606,0.01495,0.0170038,0.00639146,0.00864632,0.0170436,0.00256809,0.0322825,0.00216302,0.00471823,0.0124279,0.0102604,0.0111075,0.0180846,0.00801292,0.0135454,0.00769963,0.00845524,0.00532106,0.0117735,0,0,0,0,0,0,0,0,0.0150389,0
53,0.0102608,0.00563152,0,0,0,0,0,0,0.0351993,0.0148935,0.0285893,0.00883977,0,0,0.0339425,0,0.0194009,0.0210192,0.0346518,0.0386701,0.00694785,0.0207128,0.0155865,0.0144984,0.0127156,0.0160042,0.0136562,0.00406033,0.00223941,0.00972707,0.0220039,0.0428871,0.0191795,0.0140809,0.00963274,0.00591706,0.00769161,0.00923437,0.00219044,0.0138817,0,0,0.0233995,0,0.0114744,0.0195008,0.0680241,0.0147738,0.0170996,0.00642339,0.00876287,0.0173429,0.00282366,0.0325125,0.00262641,0.00552014,0.0125126,0.010334,0.0112153,0.0183756,0.00950157,0.0138996,0.00771126,0.00857583,0.00546835,0.0124286,0,0,0,0,0,0,0,0,0.0133284,0
54,0.0108152,0.00576724,0,0,0,0,0,0,0.0298431,0.0148536,0.0249995,0.0082906,0,0,0.0345734,0,0.019433,0.0212968,0.0353549,0.0336724,0.00781622,0.0181417,0.0160139,0.0146696,0.0109772,0.0145762,0.0143834,0.00622789,0.00197214,0.00878205,0.0229546,0.0361935,0.019792,0.0140834,0.00975704,0.00618853,0.00761693,0.00863018,0.00182133,0.014427,0,0,0.0235012,0,0.0115268,0.0194806,0.0683832,0.0145625,0.0169382,0.00664213,0.00892127,0.0174361,0.00279189,0.0327147,0.00318402,0.00648993,0.0125028,0.0103463,0.0113817,0.0188553,0.0114616,0.0139253,0.00772107,0.00859822,0.00564175,0.0129686,0,0,0,0,0,0,0,0,0.0131109,0
55,0.0112294,0.00600387,0,0,0,0,0,0,0.0252569,0.0148542,0.022015,0.00792148,0,0,0.0349794,0,0.0194672,0.02147,0.0360434,0.0290225,0.00848535,0.0163097,0.0164673,0.0149162,0.00938509,0.0140723,0.0153042,0.00854597,0.00363881,0.00817349,0.0238985,0.0295047,0.0201706,0.014084,0.00980622,0.00737917,0.00760647,0.0080437,0.00146186,0.0148446,0,0,0.0234777,0,0.0115427,0.0193839,0.0687367,0.0145811,0.0166106,0.0070416,0.00915248,0.0173709,0.00305274,0.0328571,0.00390613,0.00764597,0.0122587,0.0102767,0.0115792,0.0194169,0.0138947,0.0137518,0.00767822,0.00867466,0.00596084,0.0134171,0,0,0,0,0,0,0,0,0.0136042,0
56,0.0116704,0.00625638,0,0,0,0,0,0,0.0234477,0.01479,0.0205507,0.00806175,0,0,0.0357301,0,0.0194135,0.0218904,0.0366334,0.0257528,0.00913827,0.0148612,0.01704,0.0150984,0.00764109,0.0141639,0.0161771,0.0104052,0.00523065,0.00780993,0.0247216,0.024917,0.0207581,0.0139982,0.00991866,0.00930206,0.00755959,0.00780279,0.00128807,0.0152147,0,0,0.0235178,0,0.0116065,0.019362,0.0689857,0.0151347,0.0165156,0.00810338,0.00974812,0.0173955,0.0034227,0.0332381,0.00492851,0.00884513,0.0119241,0.0101871,0.0117948,0.0200673,0.0165809,0.0136043,0.00764163,0.00882084,0.00638582,0.0138343,0,0,0,0,0,0,0,0,0.0148657,0
57,0.0120223,0.00653397,0,0,0,0,0,0,0.0246918,0.0147133,0.0205541,0.00854411,0,0,0.0366914,0,0.0193781,0.0223754,0.0371183,0.0239752,0.00976388,0.0141935,0.0177127,0.0153911,0.00618585,0.0147573,0.0168816,0.0114575,0.00577158,0.00771361,0.0253121,0.023262,0.0213896,0.0139675,0.0100743,0.0111935,0.007471,0.00803789,0.00176918,0.0154934,0,0,0.0236894,0,0.0116892,0.0194456,0.0692998,0.0159146,0.0164951,0.00924346,0.0105229,0.0174511,0.00381849,0.0338626,0.00584612,0.00987881,0.0116487,0.0101361,0.0120582,0.0206774,0.018927,0.0136415,0.00766713,0.00883324,0.00685179,0.0141571,0,0,0,0,0,0,0,0,0.016243,0
58,0.0123197,0.00680452,0,0,0,0,0,0,0.0276078,0.0146242,0.0210173,0.00897854,0,0,0.03765,0,0.0193797,0.0227999,0.0376149,0.0230192,0.0104032,0.0139881,0.0185115,0.0158538,0.00582274,0.0153234,0.0183164,0.0120771,0.00611236,0.00774534,0.0257591,0.0240566,0.0220305,0.0139808,0.0102714,0.0127006,0.00738102,0.0085151,0.0026588,0.0157452,0,0,0.0239797,0,0.0117734,0.0196184,0.0697484,0.0167297,0.0164203,0.010169,0.0112971,0.0174772,0.004252,0.0344501,0.00648282,0.0108502,0.0115066,0.0100653,0.0123482,0.0212694,0.0206833,0.0138244,0.0076955,0.00879458,0.00728312,0.0144813,0,0,0,0,0,0,0,0,0.0171479,0
59,0.0125301,0.00701356,0,0,0,0,0,0,0.0307492,0.0145764,0.0214826,0.00929032,0,0,0.0385278,0,0.0194637,0.023161,0.0382344,0.0222809,0.0110717,0.0140308,0.0194534,0.0164229,0.00641252,0.0155846,0.0202184,0.0123834,0.00640839,0.00751683,0.0260772,0.026186,0.0226465,0.0140665,0.0105552,0.0138728,0.00728944,0.00894926,0.0036031,0.0159648,0,0,0.0242885,0,0.0118221,0.0198184,0.0703055,0.0173907,0.0163493,0.0108444,0.0120853,0.0174745,0.00467642,0.0349254,0.00690706,0.011728,0.0113915,0.00994281,0.0125614,0.0216804,0.0221278,0.0140428,0.00769544,0.00869536,0.00763626,0.0148038,0,0,0,0,0,0,0,0,0.0175765,0
