Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74
All Timesteps RMSE,0.0299071,0.0297696,0,0,0,0,0,0,0.0314008,0.0190241,0.0196228,0.00520908,0,0,0.00725876,0,0.0193998,0.00440493,0.0397219,0.0214591,0.0177483,0.0104096,0.00887138,0.0115718,0.00693048,0.0103334,0.00677467,0.0105413,0.010559,0.0148607,0.00809897,0.0158268,0.0400766,0.00381755,0.0137914,0.00260467,0.0162358,0.0100251,0.0107778,0.00726767,0.037216,0,0,0.0130613,0,0.0128357,0.00509627,0.0630356,0.0140588,0.0208796,0.0146684,0.00741393,0.0577782,0.00565263,0.0328999,0.0127139,0.00923915,0.00856299,0.0107093,0.00738186,0.0115127,0.0188525,0.0282016,0.00330113,0.00303015,0.0307746,0.0268276,0,0,0,0,0,0,0,0
0,0.0188653,0.0194825,0,0,0,0,0,0,0.0324586,0.0215159,0.0181536,0.00340384,0,0,0.00694758,0,0.0151088,0.00654506,0.0379322,0.0168808,0.0161271,0.00728789,0.00944368,0.0129449,0.00203042,0.00424435,0.00270808,0.0117202,0.00810428,0.0154053,0.00785409,0.014873,0.0414981,0.00294457,0.0129542,0.00406673,0.010118,0.00989538,0.0105097,0.00722421,0.0218236,0,0,0.00875726,0,0.0124038,0.00313565,0.0584385,0.0143068,0.0141972,0.0165575,0.00453542,0.0323416,0.00942392,0.0369326,0.0174915,0.0119429,0.00548203,0.00373641,0.00846551,0.0117472,0.011045,0.0171106,0.00234724,0.0030855,0.0199089,0.0138507,0,0,0,0,0,0,0,0
1,0.02834,0.0306642,0,0,0,0,0,0,0.0319599,0.0226039,0.0180409,0.00291165,0,0,0.00310838,0,0.0146289,0.0041764,0.0379618,0.0167111,0.0163885,0.00721541,0.00839531,0.0169114,0.00224241,0.00412698,0.00284039,0.0117145,0.00786006,0.0141194,0.00792931,0.0149583,0.0412497,0.00502572,0.0128123,0.00405689,0.00925681,0.00861065,0.0100044,0.00646486,0.0349805,0,0,0.0137716,0,0.0127475,0.00675752,0.0577489,0.0136291,0.014118,0.0139209,0.00406202,0.0536137,0.00927065,0.035912,0.0161576,0.0109794,0.00627644,0.0039754,0.00882707,0.0116623,0.0111187,0.0286677,0.00348102,0.00507404,0.0317691,0.0230277,0,0,0,0,0,0,0,0
2,0.0283839,0.0305391,0,0,0,0,0,0,0.0324594,0.0226378,0.0182452,0.00332086,0,0,0.00253666,0,0.0148219,0.00386657,0.0381325,0.017077,0.0168053,0.00597871,0.00857545,0.0170309,0.0025575,0.0041306,0.00279596,0.0117872,0.00791895,0.0140084,0.00784534,0.0148238,0.0420108,0.00500276,0.0128578,0.00400293,0.00863298,0.00902054,0.0094507,0.00620018,0.034933,0,0,0.011708,0,0.0126559,0.00560194,0.0572726,0.0125923,0.0144352,0.011416,0.00401159,0.053493,0.00855172,0.034937,0.0139744,0.0097448,0.00706554,0.00442154,0.00909199,0.0117541,0.0115422,0.0273121,0.00312495,0.00466866,0.0317969,0.0231579,0,0,0,0,0,0,0,0
3,0.0297963,0.0325416,0,0,0,0,0,0,0.0332304,0.0229992,0.0185286,0.00373147,0,0,0.00195009,0,0.0148364,0.00330507,0.0381904,0.0174958,0.0170562,0.00460946,0.00860869,0.0176693,0.00291993,0.0041404,0.00270944,0.0118393,0.00820664,0.0141851,0.00750185,0.0146232,0.0428505,0.00602976,0.0128047,0.00393655,0.00832084,0.00898685,0.00890614,0.00623085,0.0366543,0,0,0.0121421,0,0.0125479,0.00615019,0.0570634,0.0115995,0.0144635,0.00933757,0.00404669,0.0566385,0.00763421,0.0338711,0.0117851,0.00859421,0.00782698,0.00492475,0.00924271,0.0119228,0.0117252,0.0287874,0.00323102,0.004846,0.0339383,0.0244915,0,0,0,0,0,0,0,0
4,0.0264481,0.0283273,0,0,0,0,0,0,0.0342568,0.0225468,0.0191132,0.00420262,0,0,0.00178101,0,0.0152751,0.0034161,0.0381996,0.017979,0.0174591,0.0041971,0.00936147,0.0167032,0.00330587,0.00427426,0.00269545,0.0120056,0.00859344,0.0145525,0.0077101,0.014344,0.0442805,0.00455146,0.0128854,0.00379298,0.00804012,0.0100066,0.00839044,0.0060308,0.031935,0,0,0.00662514,0,0.0123854,0.00294562,0.0567803,0.0107988,0.0149322,0.00761881,0.00411461,0.0490051,0.00642356,0.0328619,0.00954672,0.0075376,0.00852374,0.00540285,0.00926065,0.012198,0.0111008,0.0225755,0.00230486,0.00372372,0.0297486,0.0216435,0,0,0,0,0,0,0,0
5,0.0297038,0.0316889,0,0,0,0,0,0,0.0347209,0.0227469,0.0197763,0.0045399,0,0,0.000588388,0,0.0154922,0.00210794,0.0381731,0.0187042,0.0175796,0.00392203,0.0093287,0.0176378,0.00359324,0.00418669,0.00252407,0.0122183,0.00896702,0.0148149,0.0080031,0.0140907,0.0453713,0.00546859,0.0128769,0.00369956,0.0077659,0.00976522,0.00846227,0.00630979,0.0360164,0,0,0.00876088,0,0.0123003,0.00515012,0.0567663,0.010334,0.0147602,0.00680682,0.00403916,0.0551977,0.00526376,0.0317927,0.00811257,0.0068221,0.00920655,0.00582161,0.00922266,0.0123826,0.00984597,0.0260296,0.00353511,0.00464209,0.0333132,0.0244529,0,0,0,0,0,0,0,0
6,0.0299123,0.0306236,0,0,0,0,0,0,0.035377,0.0222072,0.0204898,0.0049135,0,0,0.00354781,0,0.0152176,0.00447431,0.0381725,0.0194298,0.0180417,0.00358764,0.00990449,0.0160464,0.00382961,0.00413029,0.00232712,0.0126774,0.00925374,0.0152391,0.00819896,0.0139887,0.0463901,0.00361846,0.0128375,0.0036276,0.00776428,0.0104733,0.00884098,0.00628266,0.0360405,0,0,0.00976049,0,0.0126927,0.00358738,0.0565502,0.0104982,0.0151612,0.00771197,0.00421682,0.0558441,0.00442265,0.0309846,0.00746187,0.00628574,0.00964778,0.00622269,0.00893852,0.0121823,0.00843425,0.0254025,0.00249766,0.00159832,0.0324003,0.0248937,0,0,0,0,0,0,0,0
7,0.0378716,0.0392372,0,0,0,0,0,0,0.0356099,0.0227881,0.0209402,0.00505237,0,0,0.0019389,0,0.0151267,0.00314017,0.038095,0.0199264,0.0180839,0.00329638,0.00945771,0.0182101,0.00400555,0.00412303,0.00203465,0.0128691,0.00950207,0.0155386,0.00823417,0.0137898,0.0465604,0.00552665,0.0127674,0.00366738,0.00849442,0.00939626,0.0096102,0.00668576,0.0465316,0,0,0.0126186,0,0.0127644,0.0041776,0.0566151,0.0113652,0.0148775,0.00921334,0.00419482,0.0721311,0.00420191,0.0301091,0.00737626,0.00588273,0.00957784,0.00675415,0.00827055,0.0110584,0.00720412,0.0345845,0.00278642,0.00325578,0.0413415,0.0325536,0,0,0,0,0,0,0,0
8,0.039388,0.0410489,0,0,0,0,0,0,0.0358214,0.0228676,0.0213386,0.00516571,0,0,0.00170398,0,0.0152179,0.00263413,0.0380503,0.0203795,0.0182232,0.00315438,0.00928478,0.0185548,0.00422078,0.00433874,0.00177582,0.0129389,0.00968175,0.0154141,0.00832199,0.0135977,0.046667,0.00619076,0.0127213,0.0034507,0.00958489,0.00913834,0.0104817,0.00688039,0.0484732,0,0,0.0136391,0,0.0125749,0.00492137,0.0565759,0.0128122,0.0148581,0.0109405,0.00448956,0.0750573,0.00409739,0.0293713,0.00856599,0.00551652,0.00911961,0.00735466,0.00729459,0.0093366,0.00632806,0.0364456,0.00322149,0.00364284,0.0431924,0.0336847,0,0,0,0,0,0,0,0
