Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,x75,x76,x77,
9,0.0122294,0.0116028,0,0,0,0,0,0,0.0596194,0.0207484,0.0372113,0.00805196,0,0,0.00187391,0,0.0176293,0.00121792,0.0404932,0.0430798,0.0121122,0.0117139,0.00697104,0.00325659,0.00439559,0.0107169,0.00379283,0.00847897,0.00768217,0.0191099,0.0130096,0.0230974,0.0741117,0.0015451,0.013124,0.00313951,0.0107032,0.0154126,0.00567581,0.00529474,0.0160394,0,0,0.00408093,0,0.0143449,0.00450402,0.0601824,0.0121326,0.0184521,0.00890678,0.0055048,0.0174148,0.00691855,0.0295281,0.0122432,0.00795785,0.00229945,0.00966551,0.00490205,0.00937707,0.0145915,0.00858287,0.00627496,0.00610291,0.0118443,0.0132838,0,0,0,0,0,0,0,0,0,0,0,0
10,0.0128907,0.012144,0,0,0,0,0,0,0.0600252,0.0208759,0.0367406,0.00809287,0,0,0.00184357,0,0.0177124,0.00114261,0.0394777,0.0434149,0.0117518,0.0112085,0.00721735,0.00310937,0.00383758,0.00965607,0.0036029,0.00765307,0.00730645,0.0184276,0.0128262,0.0228847,0.0752096,0.00140238,0.0130696,0.00300575,0.0111807,0.0153426,0.0061841,0.00538419,0.0167513,0,0,0.00355471,0,0.0141939,0.0037332,0.0607865,0.0130942,0.0188818,0.00863613,0.0050986,0.0187357,0.00695456,0.0295347,0.012629,0.00782145,0.00271177,0.00970557,0.00539122,0.00996891,0.0159671,0.00858246,0.00621324,0.0060131,0.0124088,0.013843,0,0,0,0,0,0,0,0,0,0,0,0
11,0.0129549,0.012177,0,0,0,0,0,0,0.0603582,0.0209618,0.0362809,0.00820738,0,0,0.0018878,0,0.0178008,0.00110065,0.0385351,0.0435331,0.011474,0.0104448,0.00752215,0.00304129,0.00341273,0.00857747,0.00348715,0.00693882,0.00707387,0.0177154,0.0126321,0.0226289,0.0762137,0.00146473,0.0130664,0.00293486,0.0120053,0.015356,0.00700793,0.00558278,0.0166866,0,0,0.00336152,0,0.014304,0.00379336,0.0613039,0.014329,0.0192574,0.00869167,0.00474841,0.0187702,0.00700133,0.0295649,0.0106325,0.00733648,0.00328428,0.00972928,0.00609993,0.0109378,0.0169162,0.00816763,0.00636243,0.00617696,0.0124223,0.0137189,0,0,0,0,0,0,0,0,0,0,0,0
12,0.0130106,0.0121462,0,0,0,0,0,0,0.060412,0.0209804,0.0358814,0.00833391,0,0,0.00189732,0,0.0177903,0.000997387,0.0378623,0.0438674,0.0111944,0.0100343,0.00790352,0.00305995,0.00371363,0.00736037,0.00351208,0.00635656,0.00685338,0.0168181,0.0125068,0.0223143,0.0766177,0.00159702,0.0130682,0.00277807,0.0126222,0.0153872,0.00751764,0.00568747,0.0166755,0,0,0.00324325,0,0.0144419,0.00395548,0.06178,0.0153521,0.0196411,0.0088242,0.00446893,0.0187002,0.00688189,0.0296415,0.0094734,0.00673275,0.0038608,0.00984802,0.00671727,0.0118706,0.0178035,0.00775438,0.00657792,0.00633589,0.0123416,0.0136,0,0,0,0,0,0,0,0,0,0,0,0
13,0.0133224,0.012273,0,0,0,0,0,0,0.060012,0.02091,0.0355262,0.00847259,0,0,0.00194691,0,0.0178385,0.000990673,0.0375184,0.0444699,0.0108285,0.0106116,0.008326,0.00286978,0.00455076,0.00622267,0.00376031,0.00597194,0.00672707,0.0158519,0.012389,0.0219531,0.0762938,0.00148556,0.0131097,0.00249235,0.0130922,0.0153152,0.00768028,0.00570834,0.0170445,0,0,0.00358703,0,0.0144015,0.00334476,0.0621951,0.0159296,0.0198646,0.00890582,0.00425611,0.0193537,0.00616244,0.0297601,0.00918056,0.00683091,0.00426194,0.00999461,0.0071076,0.0126283,0.0186345,0.00836406,0.00636264,0.00614109,0.0124194,0.0141062,0,0,0,0,0,0,0,0,0,0,0,0
14,0.0128683,0.0118526,0,0,0,0,0,0,0.0590202,0.02078,0.0350943,0.00843049,0,0,0.00191927,0,0.0177861,0.000881984,0.037493,0.0449256,0.0104223,0.0118331,0.00855886,0.00303536,0.00574352,0.00584153,0.00463286,0.00569595,0.00671441,0.0149235,0.0124399,0.0215289,0.0751919,0.00186691,0.0130374,0.00237985,0.0132142,0.0155725,0.00783143,0.0057202,0.0165632,0,0,0.00372625,0,0.0146746,0.00452069,0.0626371,0.0165448,0.0201039,0.00875389,0.00389941,0.0182558,0.0050897,0.0298523,0.00897001,0.00672912,0.00485645,0.00997177,0.0075305,0.0134947,0.0194767,0.00745589,0.00714823,0.00675582,0.0119253,0.0138853,0,0,0,0,0,0,0,0,0,0,0,0
15,0.013355,0.0121731,0,0,0,0,0,0,0.0573507,0.0207723,0.0346349,0.0085179,0,0,0.00202139,0,0.0180585,0.000831573,0.0376035,0.0453469,0.00990648,0.0139183,0.00868119,0.00297472,0.00696585,0.00708444,0.0062281,0.00557075,0.00708097,0.0141645,0.0129514,0.0209969,0.0730101,0.00160624,0.0130275,0.00220545,0.0133508,0.0155505,0.00882462,0.00578496,0.0173305,0,0,0.00485444,0,0.0144327,0.0038864,0.0630158,0.0176846,0.0203804,0.00840899,0.00362035,0.0196211,0.00459237,0.0300551,0.00861622,0.00633118,0.00602022,0.0095752,0.00858183,0.014956,0.0198041,0.00929859,0.00662662,0.00637523,0.0121928,0.014451,0,0,0,0,0,0,0,0,0,0,0,0
16,0.0133201,0.0121868,0,0,0,0,0,0,0.054755,0.0208854,0.0343184,0.00889845,0,0,0.00218557,0,0.0182592,0.000824827,0.0379152,0.0463259,0.00928222,0.0174099,0.00906771,0.00304124,0.00866623,0.00970567,0.0087349,0.0053289,0.00771102,0.0132294,0.013324,0.0203259,0.0695082,0.00145301,0.0130501,0.00212343,0.0138209,0.0157178,0.0106855,0.0059015,0.0173628,0,0,0.00541863,0,0.0144817,0.00446371,0.0633311,0.0195642,0.0206704,0.00809709,0.00377158,0.019783,0.00549547,0.0304555,0.00821762,0.00588752,0.00789582,0.00912495,0.0103253,0.0170492,0.0196433,0.00965117,0.00683611,0.00655665,0.012144,0.0141367,0,0,0,0,0,0,0,0,0,0,0,0
17,0.013201,0.0121691,0,0,0,0,0,0,0.0505897,0.0211659,0.034311,0.00937825,0,0,0.0023371,0,0.0181833,0.000825524,0.038604,0.0471636,0.00842143,0.0223332,0.009573,0.00306545,0.0117993,0.0146246,0.0123979,0.00467003,0.00894872,0.0121201,0.0136065,0.0193534,0.0635506,0.00150405,0.0131147,0.00207948,0.0142415,0.0159586,0.0108785,0.00617977,0.0174589,0,0,0.00639959,0,0.014518,0.00527111,0.0639204,0.0201352,0.0209127,0.00840004,0.0038485,0.0199351,0.00737586,0.03076,0.00829975,0.00556931,0.00871834,0.00924703,0.0108241,0.0180893,0.0202887,0.0102714,0.00703091,0.00682146,0.0120664,0.0140452,0,0,0,0,0,0,0,0,0,0,0,0
18,0.0137438,0.0125478,0,0,0,0,0,0,0.0434209,0.021446,0.034327,0.0104427,0,0,0.00254671,0,0.0182026,0.000908836,0.0401824,0.0488295,0.00698154,0.0324295,0.0101701,0.00284807,0.0177914,0.0240727,0.0187255,0.00417503,0.012157,0.012568,0.0143569,0.0181238,0.0523809,0.00151892,0.0130922,0.00202373,0.0146835,0.0162797,0.0105218,0.00673562,0.0184235,0,0,0.0072515,0,0.0143587,0.00569451,0.0645753,0.0202061,0.0210871,0.00853517,0.00412049,0.0210278,0.00832763,0.0311792,0.00850644,0.00563975,0.0088419,0.00963468,0.0107725,0.0186102,0.0212179,0.0112388,0.00714585,0.00709762,0.012332,0.0147911,0,0,0,0,0,0,0,0,0,0,0,0
