Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,LTHII,LTHIP
80,0.0208676,0.0188928,0,0,0,0,0,0,0.0571699,0.0139936,0.0428974,0.00418711,0,0,0.00793549,0,0.0221316,0.00515311,0.0402266,0.0416413,0.0156649,0.0119419,0.00845336,0.00234649,0.00487704,0.0138517,0.0231872,0.0335528,0.0187646,0.021437,0.0661803,0.0047853,0.0140325,0.00424359,0.0179291,0.00545379,0.0064221,0.00172303,0.0277511,0,0,0.0135809,0,0.0124079,0.00820768,0.0491858,0.0114884,0.017502,0.00845722,0.00662672,0.0320398,0.00584032,0.0317768,0.00314277,0.00683064,0.00801687,0.00738426,0.00752061,0.00753973,0.0174731,0.0205453,0.0079646,0.0069712,0.0184496,0.0210372,0,0,0,0,0,0,0,0,0.00316919,0.0101596
81,0.0210189,0.01899,0,0,0,0,0,0,0.0568939,0.0139516,0.0414259,0.00432036,0,0,0.00722363,0,0.0220144,0.00469654,0.0388529,0.0407446,0.0153497,0.0103541,0.00833412,0.0027435,0.00387219,0.0138319,0.0229919,0.0325707,0.0178033,0.0210902,0.066533,0.00474316,0.0139746,0.00426185,0.017002,0.00557297,0.00709411,0.00179533,0.0279456,0,0,0.0138821,0,0.0124198,0.00797879,0.0492921,0.0130375,0.0179855,0.00969061,0.0071772,0.0322868,0.00607632,0.0317518,0.00368768,0.00725526,0.00832149,0.00772985,0.00776148,0.00786774,0.0160538,0.0206757,0.00793736,0.00661029,0.0186725,0.0212204,0,0,0,0,0,0,0,0,0.00307946,0.00915681
82,0.021042,0.0190707,0,0,0,0,0,0,0.0565953,0.0139061,0.0399261,0.00449137,0,0,0.00710132,0,0.0219816,0.00470827,0.0373029,0.0399388,0.0150392,0.00863142,0.00811254,0.00303484,0.00281464,0.0130834,0.0227588,0.0314235,0.0167794,0.0207917,0.0669108,0.00488215,0.0139798,0.00429801,0.0162203,0.00569459,0.0081898,0.00192761,0.0278479,0,0,0.0134915,0,0.0123919,0.00788758,0.0494687,0.0149369,0.0184791,0.0108702,0.00771772,0.0322416,0.00629922,0.0317313,0.00464721,0.00765487,0.00855425,0.00810846,0.00802864,0.00824019,0.0144198,0.0204407,0.00780062,0.00649364,0.0188997,0.0211733,0,0,0,0,0,0,0,0,0.00353637,0.0079932
83,0.0210329,0.0191631,0,0,0,0,0,0,0.0565735,0.0139171,0.0383657,0.00460004,0,0,0.00698847,0,0.0220754,0.00473531,0.035822,0.0391822,0.0146803,0.00768344,0.00774066,0.00329925,0.0021956,0.0122842,0.0226279,0.030276,0.0157458,0.0203648,0.0676911,0.00486761,0.0139967,0.00436576,0.0152437,0.00583361,0.00952724,0.00214353,0.0276921,0,0,0.0130271,0,0.0123531,0.0076747,0.0497163,0.0172916,0.0190082,0.012118,0.00822268,0.0321785,0.00651924,0.0319589,0.00605457,0.00795876,0.00884973,0.008588,0.0084424,0.00888377,0.0124687,0.0201409,0.00770512,0.00640524,0.0192432,0.0211195,0,0,0,0,0,0,0,0,0.00411709,0.00665455
84,0.0210135,0.0192779,0,0,0,0,0,0,0.0567138,0.0139291,0.0369654,0.0046209,0,0,0.00692171,0,0.0223565,0.00483497,0.0346644,0.038573,0.0143811,0.00670385,0.00708498,0.00358925,0.0022204,0.0111631,0.0225413,0.029027,0.0147306,0.0199923,0.0686465,0.00480449,0.014085,0.0044409,0.0140639,0.00598621,0.0109993,0.00242193,0.0274877,0,0,0.0125092,0,0.012318,0.00746544,0.0500046,0.0198397,0.0195833,0.0134144,0.00862563,0.0320748,0.0065515,0.0324826,0.00748909,0.00828659,0.00926347,0.0091849,0.00902272,0.0098189,0.010446,0.0198272,0.00759289,0.00625497,0.0195911,0.0210414,0,0,0,0,0,0,0,0,0.0047976,0.00555225
85,0.0209905,0.0193713,0,0,0,0,0,0,0.0569011,0.0139745,0.0358471,0.00447374,0,0,0.00700103,0,0.0225323,0.00504413,0.0340465,0.0379915,0.0138464,0.00549486,0.00633635,0.00370195,0.00265996,0.00996721,0.0224387,0.0278292,0.0138803,0.0197623,0.0695327,0.00478258,0.0140961,0.00454919,0.0126488,0.00618605,0.0124728,0.00252985,0.0272794,0,0,0.0118475,0,0.0122777,0.00720449,0.050295,0.0224492,0.0200836,0.0149172,0.00908883,0.032002,0.0067696,0.0333269,0.00892218,0.00844524,0.00976778,0.00999111,0.00967861,0.0109547,0.0081045,0.0194601,0.00750153,0.00606984,0.0198415,0.0209451,0,0,0,0,0,0,0,0,0.00555871,0.00502929
86,0.0209637,0.0194165,0,0,0,0,0,0,0.0573225,0.0140606,0.0350913,0.00433052,0,0,0.00719799,0,0.022763,0.00531397,0.0338465,0.0375453,0.0133561,0.00410909,0.00547731,0.00377463,0.00323543,0.00930323,0.0222563,0.0270872,0.0130608,0.0196912,0.070145,0.00471285,0.0141482,0.00452459,0.011467,0.00637676,0.0138339,0.00232274,0.0270671,0,0,0.0112405,0,0.0122418,0.00693734,0.0506872,0.024852,0.0204546,0.0164471,0.00948378,0.0318793,0.00733118,0.0342727,0.0103,0.00845159,0.0102111,0.010894,0.0102772,0.0120958,0.00639191,0.0191958,0.00741307,0.00601861,0.0199726,0.0207884,0,0,0,0,0,0,0,0,0.00632031,0.00524138
87,0.0211224,0.019638,0,0,0,0,0,0,0.0577525,0.0141332,0.0346173,0.00412788,0,0,0.00683266,0,0.0230191,0.00500407,0.0336376,0.0372706,0.0129345,0.00274149,0.00471369,0.00422371,0.0039612,0.00859148,0.0220794,0.0264457,0.0124294,0.0197199,0.070617,0.00439363,0.0142671,0.00436167,0.0105854,0.00667528,0.0148343,0.00182409,0.0271078,0,0,0.0107103,0,0.0122776,0.00645342,0.0510639,0.0267057,0.0206847,0.0174114,0.00980297,0.0322516,0.00801257,0.0352154,0.0112546,0.008247,0.0104469,0.011834,0.0106282,0.012971,0.00597821,0.0189577,0.0075022,0.00574702,0.0202336,0.0208153,0,0,0,0,0,0,0,0,0.00670858,0.005869
88,0.0211124,0.0196628,0,0,0,0,0,0,0.0579323,0.0142325,0.0341119,0.00403601,0,0,0.00686801,0,0.0231046,0.00517314,0.0334143,0.0371468,0.0125237,0.00208666,0.00383221,0.00430825,0.00465686,0.00790463,0.0221117,0.0259728,0.0119663,0.0196238,0.0710487,0.00437921,0.0143021,0.00440334,0.010285,0.00689142,0.0155633,0.00147149,0.0269082,0,0,0.0100437,0,0.0122747,0.00619675,0.0513888,0.0279066,0.0207397,0.0177251,0.00987691,0.0322719,0.00825091,0.036006,0.0116762,0.00779978,0.0103032,0.0127946,0.0107428,0.0136124,0.00641203,0.0186598,0.00737163,0.00561341,0.0202453,0.0206425,0,0,0,0,0,0,0,0,0.00652166,0.00633699
89,0.0213534,0.0197834,0,0,0,0,0,0,0.0568298,0.0139687,0.0330318,0.00337067,0,0,0.00593698,0,0.0234662,0.00497616,0.0351678,0.0362929,0.0122754,0.00327814,0.00269793,0.00508434,0.00533366,0.00774751,0.0215502,0.0248499,0.0112758,0.019276,0.0699307,0.00327031,0.0144271,0.00456399,0.0220669,0.00689054,0.0122626,0.00512061,0.0263083,0,0,0.0101828,0,0.0122646,0.00631073,0.0561023,0.0136569,0.0215659,0.0033078,0.00797571,0.0323395,0.00394279,0.0276618,0.00625391,0.00488439,0.00652194,0.00302995,0.00648821,0.00951319,0.0188591,0.0188337,0.00742021,0.00559069,0.0204017,0.0199072,0,0,0,0,0,0,0,0,0.00642352,0.00632185
90,0.021416,0.0198916,0,0,0,0,0,0,0.0568907,0.0140104,0.0331506,0.00359992,0,0,0.0055553,0,0.0234456,0.00469722,0.0349454,0.036765,0.0119301,0.00411742,0.00189319,0.005266,0.00584055,0.00743177,0.021424,0.024611,0.0111252,0.0191408,0.0702554,0.00270995,0.0144033,0.00451224,0.0214642,0.00701884,0.0122524,0.00516006,0.0263333,0,0,0.0101071,0,0.012286,0.00602487,0.0564268,0.014333,0.0219207,0.00226903,0.00794451,0.0325094,0.0041562,0.0278454,0.00611221,0.0054859,0.00643873,0.00300492,0.00691349,0.00992929,0.01791,0.0187403,0.00745284,0.00554189,0.0204549,0.0200662,0,0,0,0,0,0,0,0,0.00694341,0.0065794
91,0.0214912,0.0200259,0,0,0,0,0,0,0.0566271,0.0140548,0.0333692,0.00386403,0,0,0.00522005,0,0.0236561,0.00447495,0.0347447,0.0373076,0.0116959,0.0052482,0.0013197,0.00545176,0.00646013,0.00742768,0.0213794,0.0242773,0.0109741,0.0189299,0.0699574,0.00245806,0.0144689,0.00439654,0.0201459,0.00712145,0.0121371,0.00513098,0.0263307,0,0,0.00984553,0,0.0122783,0.00576111,0.05672,0.0149449,0.0223723,0.00139341,0.0079731,0.0325474,0.00437412,0.0280844,0.00590317,0.00603283,0.00606029,0.00308172,0.00704764,0.010149,0.01672,0.0184857,0.00740802,0.00550569,0.0205561,0.0201709,0,0,0,0,0,0,0,0,0.00727999,0.00662998
92,0.0213334,0.0199857,0,0,0,0,0,0,0.0557725,0.0141739,0.0335024,0.00413845,0,0,0.00550919,0,0.0237266,0.00480696,0.0346056,0.0375937,0.0114357,0.00717072,0.000947205,0.00534835,0.00732636,0.00808367,0.0213259,0.023586,0.0106998,0.0186032,0.0690112,0.00257196,0.0145069,0.0042947,0.0186121,0.00718848,0.011938,0.00519329,0.0259439,0,0,0.00892614,0,0.012163,0.00552147,0.057146,0.0156871,0.0227736,0.00146321,0.00802881,0.0320931,0.00464738,0.0283867,0.00558993,0.00642552,0.00577699,0.00323582,0.00700952,0.0102836,0.0151285,0.0178401,0.0070577,0.00545455,0.0205104,0.0199263,0,0,0,0,0,0,0,0,0.0074809,0.0065582
93,0.0214202,0.0202451,0,0,0,0,0,0,0.0537652,0.0142354,0.0333534,0.00439968,0,0,0.00495397,0,0.0235892,0.00445364,0.0346246,0.037569,0.0109919,0.0104566,0.000881351,0.0056998,0.00855771,0.00942928,0.0211632,0.0223446,0.0101712,0.0180578,0.0662295,0.00251249,0.014434,0.00422771,0.0175796,0.00741837,0.0121095,0.00543137,0.025971,0,0,0.00824263,0,0.0121459,0.00510188,0.0576457,0.0166294,0.0231411,0.0022026,0.00826921,0.0322795,0.00513964,0.028848,0.00521676,0.00670202,0.00571777,0.00344518,0.00720216,0.0107488,0.0137044,0.0172699,0.00688122,0.00526739,0.020838,0.0199901,0,0,0,0,0,0,0,0,0.00822527,0.0064001
94,0.0213043,0.0204013,0,0,0,0,0,0,0.0498418,0.0143323,0.0327427,0.0048751,0,0,0.00493112,0,0.0236806,0.00446639,0.0348553,0.037442,0.0102791,0.0166453,0.00125307,0.00579677,0.0106496,0.012145,0.0209441,0.0202941,0.00911791,0.0171768,0.0607533,0.00260332,0.0144714,0.00412107,0.0166962,0.00763255,0.0125101,0.00569171,0.025769,0,0,0.00743066,0,0.0121135,0.00476438,0.0581578,0.0176562,0.0234581,0.00295882,0.00849772,0.0321146,0.00606315,0.0294883,0.00503607,0.00689559,0.00572041,0.00370877,0.00756033,0.0113697,0.0124732,0.0167213,0.00664204,0.00508927,0.0211162,0.0198252,0,0,0,0,0,0,0,0,0.00998338,0.00622162
95,0.0209501,0.0205163,0,0,0,0,0,0,0.0401253,0.0144557,0.0315532,0.00608294,0,0,0.00510192,0,0.0236551,0.00452264,0.036034,0.0387176,0.00866916,0.0297306,0.00265826,0.00586524,0.016767,0.0218819,0.0216386,0.0165829,0.00657356,0.0155974,0.0473249,0.00288918,0.0143617,0.00410729,0.0157311,0.00795837,0.0133451,0.00640027,0.0253085,0,0,0.00618452,0,0.0120141,0.00416161,0.0588163,0.019083,0.0238965,0.00350314,0.00925419,0.031769,0.00674012,0.0303261,0.00538681,0.006941,0.00588876,0.00397054,0.00811306,0.0122759,0.0112552,0.015935,0.00632659,0.00484433,0.0213656,0.0194388,0,0,0,0,0,0,0,0,0.0164837,0.00562095
96,0.0206289,0.0206244,0,0,0,0,0,0,0.0283702,0.0144963,0.0288564,0.00705104,0,0,0.00474655,0,0.0236354,0.00419681,0.0379593,0.0393418,0.00723137,0.0417977,0.00389812,0.00622931,0.0234482,0.0325703,0.0227948,0.0163562,0.00514014,0.0144252,0.0311602,0.00309335,0.0143374,0.00400269,0.0149419,0.00826277,0.0143481,0.0070626,0.0248806,0,0,0.00573936,0,0.0119643,0.00395884,0.0595503,0.0208331,0.0242815,0.00352035,0.00996686,0.0316591,0.00686405,0.0311079,0.00633127,0.00676046,0.00640531,0.00424573,0.00899602,0.0136482,0.00990582,0.0154537,0.00637699,0.00471592,0.0215446,0.0190476,0,0,0,0,0,0,0,0,0.0233802,0.00634629
97,0.0204891,0.0205961,0,0,0,0,0,0,0.024961,0.01445,0.0253489,0.00624777,0,0,0.00491341,0,0.02394,0.0043444,0.0377765,0.0350782,0.00781064,0.0374281,0.00318136,0.00611759,0.0212902,0.0294327,0.0207438,0.0152266,0.00466193,0.0134741,0.0278549,0.00284936,0.0145256,0.00392044,0.0135686,0.00824514,0.0142288,0.00702324,0.0244482,0,0,0.00527448,0,0.0119552,0.00392692,0.0601038,0.0214839,0.0244498,0.00389527,0.0096816,0.0313578,0.00710628,0.0315745,0.00679525,0.00658382,0.00649477,0.00453475,0.00920594,0.014344,0.00815964,0.0154055,0.00604236,0.00465724,0.0215186,0.0186698,0,0,0,0,0,0,0,0,0.0207114,0.00676481
98,0.0207854,0.0206862,0,0,0,0,0,0,0.0236984,0.0142614,0.0212702,0.00474931,0,0,0.0040798,0,0.0242447,0.00393834,0.037002,0.0280573,0.00936351,0.0270349,0.0016018,0.00652775,0.0161258,0.021146,0.0169783,0.0129967,0.00369634,0.0132718,0.028403,0.0021927,0.0146645,0.00393378,0.0116917,0.00811921,0.0134404,0.0067515,0.0245688,0,0,0.0058992,0,0.0120663,0.00414046,0.0605867,0.0213708,0.0246246,0.00462695,0.00894404,0.0316842,0.00721979,0.0318589,0.00691808,0.00649203,0.00627964,0.00481477,0.00889566,0.0144939,0.00627831,0.0159547,0.00619177,0.00474024,0.0215985,0.0187708,0,0,0,0,0,0,0,0,0.0148064,0.00726493
99,0.0218847,0.0205005,0,0,0,0,0,0,0.0284061,0.0138691,0.0153408,0.00242554,0,0,0.003088,0,0.0247443,0.00367962,0.0359759,0.0122346,0.0143109,0.0115707,0.00338232,0.00705846,0.00689546,0.00929831,0.0110981,0.014673,0.00948205,0.0234037,0.0399598,0.00120187,0.0148295,0.00410072,0.00986225,0.00745085,0.012808,0.00688103,0.0254241,0,0,0.00882303,0,0.0122818,0.00535002,0.0615063,0.0214807,0.0250645,0.00515522,0.00776409,0.0321585,0.00613633,0.0315295,0.0063056,0.00591788,0.00660016,0.00497236,0.0089932,0.0151804,0.005114,0.0179286,0.00675893,0.00506542,0.0211608,0.019559,0,0,0,0,0,0,0,0,0.00807002,0.00448494
100,0.0220037,0.0205645,0,0,0,0,0,0,0.021239,0.0137807,0.0114551,0.00225135,0,0,0.00282102,0,0.0248799,0.00358388,0.0363414,0.00846836,0.0148671,0.0136777,0.00392407,0.0073381,0.00617122,0.00984036,0.0097697,0.0127466,0.00917344,0.0240498,0.0314773,0.00100184,0.0148946,0.00415835,0.00894423,0.00744166,0.0130366,0.00692439,0.0253555,0,0,0.00894906,0,0.0122785,0.00532385,0.0620738,0.0221302,0.025174,0.00535563,0.00768174,0.0321166,0.00603993,0.032191,0.00635557,0.00597561,0.00708118,0.00530049,0.00950619,0.0162932,0.0050153,0.0179621,0.00684074,0.00503273,0.0212519,0.0195478,0,0,0,0,0,0,0,0,0.00795851,0.00432785
101,0.0221094,0.0206787,0,0,0,0,0,0,0.0150099,0.0137223,0.00856581,0.00199655,0,0,0.00264345,0,0.0249735,0.00353483,0.0366949,0.00734246,0.0152396,0.0146747,0.0043584,0.00759476,0.00519794,0.00996098,0.0088216,0.0111517,0.00868311,0.0241072,0.0234778,0.000864768,0.0149469,0.00420462,0.00830859,0.00746782,0.0134996,0.00690711,0.0252816,0,0,0.00884493,0,0.012266,0.0052145,0.0625663,0.0229454,0.0251371,0.00573345,0.00757393,0.0320902,0.00595371,0.0328293,0.00641318,0.00603389,0.00774978,0.00567308,0.0102704,0.0176251,0.00557948,0.0177557,0.00689849,0.00507917,0.0213945,0.0195423,0,0,0,0,0,0,0,0,0.00733321,0.00477826
102,0.0221626,0.0207825,0,0,0,0,0,0,0.0101436,0.0136473,0.00632825,0.0017963,0,0,0.00255249,0,0.0251119,0.00356078,0.037074,0.00792911,0.0155982,0.0151489,0.00491002,0.00770447,0.00438218,0.0103587,0.00835892,0.0100132,0.00805184,0.0240737,0.0162156,0.000870816,0.0149918,0.00427284,0.00749248,0.00746407,0.0132331,0.00679755,0.0251634,0,0,0.00874358,0,0.0122502,0.00519357,0.0629799,0.0231183,0.0250251,0.00644065,0.00743043,0.0321051,0.005993,0.0332968,0.0066391,0.00630533,0.00803464,0.00602575,0.010502,0.0184442,0.00704726,0.0175079,0.00699553,0.00511927,0.0215373,0.019516,0,0,0,0,0,0,0,0,0.00675262,0.00572909
103,0.0220135,0.0207555,0,0,0,0,0,0,0.00768464,0.0136326,0.00545357,0.00183611,0,0,0.0037033,0,0.0254451,0.00422032,0.0374827,0.00898679,0.0159012,0.016222,0.00543468,0.00725532,0.00434937,0.0111026,0.00825772,0.00921308,0.00743725,0.0241067,0.010192,0.000200848,0.0150828,0.00432549,0.00685155,0.00743819,0.0122176,0.00674673,0.0247453,0,0,0.00804763,0,0.0121803,0.00522828,0.063394,0.0225198,0.0248574,0.00714562,0.00728525,0.0315313,0.00606125,0.0338226,0.00697826,0.00666706,0.00792413,0.00635287,0.0101953,0.0186797,0.00946972,0.0170163,0.0068042,0.00513808,0.0215412,0.0192217,0,0,0,0,0,0,0,0,0.00650835,0.00706785
104,0.0220149,0.0209078,0,0,0,0,0,0,0.00845317,0.0135552,0.00480428,0.0022286,0,0,0.00332928,0,0.0256105,0.00399235,0.0379964,0.00973127,0.0160717,0.0167912,0.00595117,0.00744708,0.00521651,0.0120195,0.00821915,0.00860413,0.00689953,0.0240776,0.00554165,0.000373123,0.0151318,0.00435613,0.00719256,0.00747382,0.0115176,0.00673185,0.0246128,0,0,0.00792823,0,0.0121741,0.00520415,0.0636946,0.0221623,0.0246699,0.00783467,0.00711843,0.0313517,0.00619643,0.0344443,0.0073494,0.00722893,0.00806065,0.00677485,0.0101989,0.0191344,0.0117808,0.0167761,0.0068593,0.00511327,0.0218104,0.0191342,0,0,0,0,0,0,0,0,0.00685529,0.00870414
105,0.0219642,0.0210612,0,0,0,0,0,0,0.0105137,0.0135122,0.00414344,0.00291371,0,0,0.00286001,0,0.0257655,0.00376478,0.0385972,0.0100518,0.0161868,0.0162346,0.00634222,0.00756576,0.00638662,0.012755,0.00787863,0.00795225,0.0062188,0.0238848,0.0047209,0.000650654,0.015195,0.00432355,0.00803844,0.00751239,0.0114143,0.00674615,0.0244168,0,0,0.0077146,0,0.0121484,0.00510785,0.0639493,0.0222948,0.024495,0.00844988,0.0070201,0.0312125,0.00632019,0.0350915,0.00764562,0.00793792,0.00857241,0.00716228,0.0106683,0.020002,0.0137864,0.0164167,0.00684678,0.0051059,0.0220878,0.0189917,0,0,0,0,0,0,0,0,0.00755772,0.0103757
106,0.0218843,0.0212037,0,0,0,0,0,0,0.0123739,0.0135035,0.00442774,0.00355852,0,0,0.00256713,0,0.025962,0.00352892,0.0392926,0.010274,0.0163307,0.0156611,0.00671787,0.00762235,0.00779948,0.0137657,0.00756473,0.00751144,0.00560279,0.0236227,0.00704663,0.000986065,0.0152711,0.00428576,0.00902684,0.00753734,0.0116977,0.00684775,0.0242178,0,0,0.00755489,0,0.0121295,0.0050419,0.0642309,0.0225738,0.0243837,0.00901153,0.00700132,0.0310973,0.00643802,0.0356781,0.00788187,0.0087147,0.00917621,0.00751958,0.0112477,0.0209144,0.0156091,0.016108,0.00691145,0.00511195,0.022327,0.0188475,0,0,0,0,0,0,0,0,0.00841954,0.0115712
107,0.0218115,0.0212802,0,0,0,0,0,0,0.0133959,0.0135006,0.00508538,0.0040445,0,0,0.00257149,0,0.0259391,0.00362714,0.0400613,0.0106367,0.0165431,0.0151537,0.00717284,0.00764517,0.00912372,0.0146077,0.00726322,0.00703242,0.00505947,0.0234628,0.00819264,0.00134587,0.0152461,0.00442996,0.0103104,0.00754411,0.0113363,0.00713784,0.0240294,0,0,0.00745481,0,0.0121148,0.00496085,0.0647022,0.0222465,0.0243617,0.00940918,0.00705314,0.030944,0.00647525,0.0362149,0.00812302,0.00929734,0.00928554,0.00786414,0.0113131,0.0212561,0.017818,0.0158875,0.00701946,0.00509751,0.0224799,0.0187464,0,0,0,0,0,0,0,0,0.00920083,0.0122933
108,0.0217248,0.0212867,0,0,0,0,0,0,0.0133807,0.0134976,0.00619799,0.00433242,0,0,0.00257848,0,0.0258652,0.00381353,0.0407871,0.0115909,0.0167534,0.0146445,0.00765356,0.00757185,0.0101125,0.0150326,0.00695185,0.00650756,0.00469333,0.0233424,0.0078179,0.00176207,0.015172,0.00451424,0.0115593,0.00751733,0.0110426,0.00755198,0.0238644,0,0,0.00742733,0,0.0120992,0.00486748,0.0653155,0.0221304,0.0243784,0.00952649,0.00715704,0.0307951,0.00642574,0.036715,0.00831465,0.00983328,0.00947831,0.00816316,0.0114517,0.0216334,0.0197295,0.0157592,0.00705605,0.00511767,0.0225491,0.0186982,0,0,0,0,0,0,0,0,0.00979854,0.0130689
109,0.0215666,0.0211774,0,0,0,0,0,0,0.0126119,0.0135574,0.00757029,0.00442051,0,0,0.00287071,0,0.0258859,0.00408782,0.0413558,0.012981,0.0169785,0.0145601,0.00807254,0.00696202,0.0107736,0.0151012,0.00676074,0.00611716,0.00459971,0.0233717,0.00660393,0.00174486,0.0151524,0.00447585,0.0125842,0.00740267,0.0110694,0.00810566,0.0236157,0,0,0.00697123,0,0.0120587,0.00475944,0.0660428,0.0222545,0.0244994,0.00932718,0.00738252,0.0304141,0.0062741,0.0371926,0.00838525,0.0103132,0.00987132,0.00840565,0.0117678,0.0221482,0.0213526,0.0155323,0.00673107,0.00522008,0.0224503,0.0185285,0,0,0,0,0,0,0,0,0.0100575,0.0137485
110,0.0214261,0.0210802,0,0,0,0,0,0,0.0113532,0.0135527,0.00822489,0.00439333,0,0,0.00269886,0,0.0258299,0.00384234,0.0417722,0.0137958,0.0170624,0.0146177,0.00851278,0.00686198,0.0111319,0.0148659,0.00642775,0.00585136,0.00444999,0.0234407,0.00512485,0.00224672,0.015143,0.0044074,0.0135256,0.00732026,0.0110446,0.00863568,0.0234716,0,0,0.00731626,0,0.0120785,0.00482077,0.0667768,0.0224073,0.0246979,0.00958092,0.0075742,0.0302431,0.00602697,0.0376949,0.00843969,0.0106933,0.0102066,0.00861272,0.0121268,0.0226497,0.0227985,0.0157395,0.00671128,0.00529011,0.0223787,0.0185293,0,0,0,0,0,0,0,0,0.00991525,0.0141495
111,0.0213689,0.0209672,0,0,0,0,0,0,0.010365,0.0135679,0.0083452,0.0042103,0,0,0.00252073,0,0.0257023,0.00357519,0.0420543,0.0140665,0.0171308,0.0151281,0.00876298,0.0066409,0.0113034,0.0145594,0.00610934,0.00577818,0.00419975,0.0236716,0.00478249,0.002573,0.0150997,0.00436226,0.0144129,0.00723843,0.0110461,0.00931215,0.0232004,0,0,0.00766109,0,0.0121192,0.00495082,0.0676071,0.0226154,0.024982,0.00957284,0.00793846,0.0300762,0.00576382,0.0380923,0.00836731,0.010877,0.0104795,0.00873936,0.0124362,0.0230472,0.0240082,0.0159876,0.0066961,0.00524986,0.0222902,0.0184816,0,0,0,0,0,0,0,0,0.0095615,0.0142029
112,0.0213915,0.0207993,0,0,0,0,0,0,0.00953236,0.0135679,0.00788151,0.00401653,0,0,0.00243407,0,0.0255418,0.00346324,0.0421928,0.013778,0.0171412,0.015447,0.00883934,0.00636399,0.0111704,0.014146,0.00563534,0.00575348,0.00397633,0.0239629,0.0055197,0.00263895,0.015053,0.00433529,0.0151602,0.00709012,0.0110903,0.0100472,0.0230654,0,0,0.0081288,0,0.0121715,0.00516968,0.0683881,0.0229166,0.0252505,0.00889363,0.00839111,0.0299428,0.0055147,0.0383305,0.00822918,0.010932,0.0107868,0.00878577,0.0127148,0.0233338,0.0247731,0.0162977,0.0066875,0.00525501,0.0221982,0.0181688,0,0,0,0,0,0,0,0,0.00912039,0.0139061
113,0.0213293,0.0206007,0,0,0,0,0,0,0.00856482,0.0135594,0.00681774,0.0039828,0,0,0.00216243,0,0.0254065,0.00310277,0.0422103,0.0131322,0.0171172,0.0150759,0.00867274,0.00595511,0.0106579,0.0134486,0.00504664,0.00559096,0.00375813,0.0241226,0.00659346,0.00248162,0.015043,0.00421536,0.0156627,0.00688826,0.0111766,0.0108912,0.0229557,0,0,0.00858965,0,0.0121992,0.00541772,0.0691521,0.023236,0.0256718,0.0081891,0.00888032,0.0297372,0.00528069,0.0384536,0.00793594,0.0108686,0.0111666,0.00868172,0.0129539,0.0236009,0.0256082,0.0164869,0.00669622,0.00529922,0.0220423,0.0180833,0,0,0,0,0,0,0,0,0.00851096,0.0132657
114,0.0213032,0.0203649,0,0,0,0,0,0,0.00795993,0.0135851,0.00565047,0.00407206,0,0,0.00193644,0,0.0252583,0.00278819,0.0421174,0.012015,0.0169975,0.0142363,0.00846566,0.00549075,0.00989506,0.0125876,0.00456764,0.00531299,0.00372121,0.0241713,0.00767169,0.00213153,0.0150117,0.00414652,0.016109,0.00666471,0.0114145,0.011612,0.0229193,0,0,0.00910003,0,0.0122437,0.005602,0.0699883,0.0237433,0.0262052,0.00797821,0.00936753,0.0295612,0.00500366,0.0386109,0.00763365,0.0107943,0.0115598,0.00833861,0.0132901,0.0239269,0.0267127,0.0165937,0.00687104,0.00538483,0.0218315,0.0181856,0,0,0,0,0,0,0,0,0.00766436,0.0124929
115,0.021518,0.0201983,0,0,0,0,0,0,0.00696405,0.0136329,0.00353512,0.00427153,0,0,0.00177476,0,0.0251875,0.00254944,0.0420847,0.0103545,0.0168503,0.0120946,0.00818335,0.00496071,0.00877556,0.0110159,0.00440224,0.00459219,0.00423902,0.0239575,0.0074714,0.00173484,0.0150264,0.00402375,0.0163613,0.00641871,0.0117256,0.0123349,0.0230932,0,0,0.009612,0,0.0123544,0.00589667,0.0708452,0.0243073,0.0269409,0.00764694,0.00991587,0.0296203,0.00466467,0.0387487,0.00721453,0.0105726,0.0119025,0.0077366,0.0136887,0.0241759,0.0279232,0.0166252,0.00707133,0.00560819,0.0216481,0.0180306,0,0,0,0,0,0,0,0,0.00642628,0.011709
