Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,LTHII,LTHIP
60,0.0212301,0.0195273,0,0,0,0,0,0,0.0309394,0.0138724,0.0137447,0.00907896,0,0,0.00373563,0,0.0215295,0.00318605,0.0463583,0.0142225,0.0224194,0.0098833,0.0128382,0.00277953,0.00578489,0.00803154,0.00912913,0.00893254,0.00622801,0.0119366,0.0436402,0.0023096,0.0139594,0.00397859,0.0159927,0.00444045,0.00947519,0.00700978,0.0285802,0,0,0.0155021,0,0.0126097,0.0094699,0.0504919,0.0185032,0.015704,0.00211632,0.00231285,0.0339622,0.00297626,0.0295927,0.00239277,0.00277156,0.00688412,0.00713838,0.00826633,0.0126638,0.025185,0.0222029,0.00859141,0.00750133,0.0191472,0.0192411,0,0,0,0,0,0,0,0,0.00545696,0.0108528
61,0.0210845,0.0190134,0,0,0,0,0,0,0.0289984,0.0137266,0.0115138,0.00914688,0,0,0.00544104,0,0.0218065,0.00430698,0.0466142,0.0124774,0.0224857,0.0109648,0.0131922,0.00244205,0.00561059,0.00806205,0.0085201,0.00818844,0.00609354,0.012385,0.0418337,0.000999493,0.0141272,0.00408897,0.0190569,0.00434864,0.0103016,0.00711945,0.028235,0,0,0.0157749,0,0.0126257,0.00995656,0.0490385,0.0190668,0.0153565,0.00210727,0.00218707,0.0329831,0.00391137,0.029618,0.00341033,0.00257044,0.00736305,0.00686491,0.00894154,0.0132972,0.0274016,0.0222431,0.00868387,0.00753188,0.0187249,0.0194768,0,0,0,0,0,0,0,0,0.00608944,0.0104285
62,0.0214337,0.018695,0,0,0,0,0,0,0.0265945,0.0134982,0.00928524,0.00911481,0,0,0.00612488,0,0.0220395,0.00458249,0.0470583,0.0109675,0.0225608,0.0116448,0.0135639,0.00272055,0.00474598,0.00792193,0.00755033,0.00712318,0.00587123,0.0129694,0.0394179,0.00186558,0.014239,0.0043939,0.0191684,0.00421957,0.0103872,0.00693729,0.028406,0,0,0.0160712,0,0.0126829,0.0103467,0.0481818,0.0183258,0.0152218,0.00214158,0.00213607,0.0327386,0.00427183,0.0289572,0.00372229,0.00237212,0.00717256,0.00704959,0.00880105,0.0126799,0.0264158,0.022639,0.00876566,0.00776085,0.0184424,0.0200698,0,0,0,0,0,0,0,0,0.00675723,0.00991258
63,0.0218284,0.0184983,0,0,0,0,0,0,0.0236952,0.0133196,0.00759945,0.00885826,0,0,0.00702829,0,0.0224655,0.00503119,0.0477575,0.0103345,0.0224439,0.0124097,0.0140058,0.00290142,0.00395532,0.00757951,0.00646149,0.006062,0.00576314,0.0138662,0.0360579,0.0036761,0.0144142,0.00467463,0.0183632,0.00414318,0.00994529,0.00665049,0.0285379,0,0,0.0162307,0,0.0127148,0.0105677,0.0479698,0.0167697,0.014955,0.00218171,0.00238111,0.0326448,0.00408065,0.0281007,0.00367987,0.00236909,0.00681113,0.0072964,0.00847698,0.0117333,0.0245548,0.0229778,0.0088517,0.00801203,0.0183096,0.0205266,0,0,0,0,0,0,0,0,0.00747886,0.00926493
64,0.0220543,0.0184687,0,0,0,0,0,0,0.0201402,0.0131483,0.00766555,0.00821087,0,0,0.00735936,0,0.0228905,0.00503578,0.0485123,0.0112391,0.0221116,0.0132131,0.0142181,0.00315667,0.00373959,0.00729369,0.0052922,0.00524363,0.00623969,0.0148597,0.0320691,0.00533656,0.0146788,0.00488833,0.0178869,0.00417497,0.00938761,0.00647173,0.0287321,0,0,0.0171218,0,0.0127406,0.010023,0.04819,0.0150457,0.0145715,0.00259998,0.00255622,0.0327139,0.00348414,0.0274839,0.00367043,0.00286584,0.00661479,0.00741173,0.00834982,0.0111014,0.0238881,0.0232507,0.0090673,0.00762413,0.0183322,0.0208425,0,0,0,0,0,0,0,0,0.00795105,0.00870271
65,0.0219062,0.018442,0,0,0,0,0,0,0.0159176,0.0130321,0.0100947,0.00732987,0,0,0.00808577,0,0.0230701,0.00538601,0.0490423,0.013477,0.0217967,0.0135673,0.0141479,0.003074,0.00398645,0.00671893,0.00463828,0.0055896,0.0071483,0.0158915,0.0276049,0.0067018,0.0147262,0.00513996,0.0179037,0.00417442,0.00895918,0.00619336,0.0287278,0,0,0.0172003,0,0.0127544,0.0100552,0.0487213,0.0137263,0.014387,0.00313483,0.00265682,0.0325871,0.00264852,0.027278,0.00377992,0.00348152,0.00647694,0.0073908,0.00831306,0.0107175,0.0232364,0.0231616,0.00920468,0.0077899,0.0182262,0.0208713,0,0,0,0,0,0,0,0,0.00826505,0.00832009
66,0.0216811,0.0184591,0,0,0,0,0,0,0.0116001,0.012984,0.0135652,0.00645991,0,0,0.00858537,0,0.0233232,0.00557892,0.0494144,0.0163812,0.0214075,0.0127859,0.013821,0.0028885,0.00447176,0.00606237,0.00479722,0.00693596,0.00819522,0.0168059,0.0235265,0.00750403,0.0147543,0.00528124,0.0176473,0.00419876,0.0086294,0.00580832,0.0286908,0,0,0.0171417,0,0.0127614,0.0102433,0.0491755,0.0127977,0.0144282,0.00360015,0.00267985,0.0325768,0.00241401,0.0275043,0.00382825,0.00388224,0.0064514,0.00723779,0.00828611,0.0105334,0.0223913,0.0228645,0.00932852,0.00792511,0.0181953,0.0208201,0,0,0,0,0,0,0,0,0.0084543,0.00795042
67,0.0214837,0.0184502,0,0,0,0,0,0,0.00848621,0.0129412,0.0169425,0.00540035,0,0,0.00879591,0,0.0235429,0.00558176,0.0496222,0.0191514,0.0212933,0.0121076,0.0131527,0.00277432,0.00453619,0.00543332,0.00559571,0.00852884,0.00918167,0.0176002,0.0209248,0.00769253,0.0148229,0.00535186,0.017232,0.004176,0.00849165,0.00527204,0.028634,0,0,0.0170646,0,0.012774,0.0104422,0.04923,0.0122479,0.0146749,0.00389009,0.00254932,0.0326684,0.00250137,0.0280468,0.00391935,0.00417982,0.00659115,0.00697058,0.00844187,0.0106883,0.0216204,0.0225111,0.00946159,0.00805899,0.0181162,0.0208337,0,0,0,0,0,0,0,0,0.00849854,0.00788174
68,0.0213843,0.0184804,0,0,0,0,0,0,0.00839886,0.0128797,0.0197162,0.00454867,0,0,0.00888529,0,0.0236341,0.00551755,0.049619,0.0213169,0.0211477,0.010524,0.0124186,0.00271041,0.0045835,0.00477783,0.0065226,0.0100546,0.0101427,0.0182356,0.0202307,0.00743772,0.0148626,0.00536374,0.0169306,0.00419164,0.00835799,0.00494989,0.0284949,0,0,0.0167451,0,0.0127676,0.0105344,0.0489912,0.0118023,0.0149275,0.00412961,0.00240025,0.0327669,0.00272862,0.0286659,0.00430786,0.00435199,0.00673486,0.00669479,0.00860295,0.0108512,0.0209555,0.0220514,0.00957808,0.00812438,0.0180587,0.0208546,0,0,0,0,0,0,0,0,0.00840519,0.00788097
69,0.0213679,0.0186016,0,0,0,0,0,0,0.0122249,0.0128452,0.0217653,0.0041192,0,0,0.00889792,0,0.0237303,0.00542278,0.0495082,0.0223613,0.020896,0.00963007,0.0118525,0.00262897,0.004693,0.00417098,0.00753943,0.0115051,0.0110691,0.0188086,0.0211157,0.00692871,0.0148709,0.00531507,0.0169745,0.00431097,0.00828635,0.00480158,0.0282904,0,0,0.0160166,0,0.0127203,0.0102,0.0486575,0.0116631,0.0150886,0.00418166,0.00230916,0.032903,0.00307883,0.0292415,0.00447868,0.00427798,0.00687919,0.00649301,0.00864063,0.01089,0.0204701,0.0214495,0.00955345,0.00815302,0.0182191,0.0209244,0,0,0,0,0,0,0,0,0.00814776,0.00786144
