Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,x75,IMUL_R
70,0.00206967,0.00354559,0,0,0,0,0,0.025944,0.0164125,0.0131518,0.0136247,0,0,0.0305735,0,0.0198611,0.0206924,0.0344123,0.00833043,0.00739298,0.024163,0.0118849,0.0192191,0.0108989,0.015138,0.0141969,0.0173412,0.00888218,0.0120929,0.00505707,0.0111113,0.0252769,0.0168736,0.014159,0.00811163,0.0158896,0.00807245,0.00820154,0.0120783,0.00356126,0,0,0.0220927,0,0.0113747,0.0187277,0.0813484,0.0142813,0.0226555,0.0153172,0.00666977,0.022371,0.00689918,0.0388741,0.0138854,0.00598819,0.00386346,0.00452488,0.00263871,0.00475262,0.0173167,0.0167208,0.00915841,0.00613929,0.00421959,0.00225209,0,0,0,0,0,0,0,0,0,0
71,0.00267,0.00360064,0,0,0,0,0,0.0276527,0.0167685,0.0133048,0.0135134,0,0,0.0293424,0,0.0194841,0.0201536,0.0339694,0.00795823,0.00748236,0.0239748,0.0116171,0.0188952,0.0112056,0.0153169,0.0141343,0.0174002,0.00856635,0.0120377,0.00494504,0.011027,0.0274241,0.0160249,0.013981,0.00778477,0.0189979,0.00837727,0.0075986,0.0123928,0.00371528,0,0,0.0216269,0,0.0111113,0.0184002,0.0810648,0.0144227,0.0217149,0.016119,0.00652203,0.022128,0.00747663,0.0384334,0.0147529,0.0063136,0.00424856,0.00445614,0.0022212,0.00502867,0.0217628,0.0164978,0.00907836,0.00594225,0.00424591,0.00172578,0,0,0,0,0,0,0,0,0,0
72,0.00320855,0.00371859,0,0,0,0,0,0.029191,0.0171217,0.0131413,0.0130637,0,0,0.028602,0,0.0191713,0.0197204,0.0334548,0.0071234,0.00775107,0.0238364,0.0113249,0.0186367,0.0111896,0.0156616,0.0140081,0.0175902,0.00799713,0.0118657,0.00479844,0.0109196,0.0298162,0.0153935,0.0138222,0.00753424,0.0231324,0.0086475,0.00770422,0.0122797,0.00406436,0,0,0.0212667,0,0.0108469,0.0180774,0.0802802,0.0139606,0.0206575,0.0171272,0.00638774,0.0218025,0.00737484,0.0383376,0.0159925,0.00679173,0.00480768,0.00438003,0.0018102,0.00535243,0.0269751,0.0163421,0.00887255,0.00562636,0.0044139,0.00157814,0,0,0,0,0,0,0,0,0,0
73,0.00363298,0.00384631,0,0,0,0,0,0.0307005,0.017414,0.0128179,0.0123517,0,0,0.0279478,0,0.0188558,0.0193102,0.033048,0.00602807,0.00810298,0.0236933,0.0109379,0.0184,0.0109198,0.0161543,0.013807,0.017818,0.0072741,0.0117451,0.00481127,0.0108734,0.0320866,0.0148867,0.0136944,0.00728189,0.0270771,0.00893073,0.00808953,0.0118642,0.00450916,0,0,0.0209662,0,0.0106507,0.0177153,0.0791143,0.0138585,0.0195486,0.0180621,0.00638972,0.0213368,0.00715004,0.0385296,0.0175556,0.00703076,0.00503585,0.00417511,0.00131176,0.00583145,0.0309509,0.0162393,0.00868951,0.00543664,0.00464058,0.00184017,0,0,0,0,0,0,0,0,0,0
74,0.00398358,0.00403193,0,0,0,0,0,0.0323604,0.0176407,0.0127833,0.0116706,0,0,0.027496,0,0.0186155,0.0189961,0.0329161,0.00505907,0.00847352,0.0233412,0.0106084,0.0184216,0.0105274,0.0166523,0.0136468,0.017868,0.00652339,0.0117292,0.00515211,0.0108197,0.0344185,0.0145879,0.0135864,0.00709567,0.0293573,0.00920402,0.00829885,0.0114618,0.00490598,0,0,0.0207704,0,0.0105335,0.0173871,0.0780476,0.0145215,0.0185426,0.0188195,0.00656641,0.0209445,0.00731327,0.0385287,0.0186939,0.007377,0.00449254,0.00416859,0.00162872,0.00690049,0.0334323,0.0162222,0.00859003,0.00537598,0.00495542,0.00223942,0,0,0,0,0,0,0,0,0,0
75,0.00429256,0.0042325,0,0,0,0,0,0.0340345,0.0178003,0.0129397,0.011101,0,0,0.0272276,0,0.018456,0.0188249,0.0330419,0.00422013,0.00888941,0.0229085,0.0103773,0.0184277,0.0100723,0.0167759,0.0134858,0.0177947,0.00591614,0.0118059,0.00541819,0.0107118,0.0367044,0.0143876,0.0135125,0.00696741,0.0299312,0.00943518,0.00825421,0.0111489,0.00526785,0,0,0.0206054,0,0.0104629,0.0171378,0.0771603,0.0157316,0.0176434,0.0190949,0.0068988,0.0205961,0.00782217,0.0385859,0.0190135,0.00833431,0.00321112,0.00424108,0.00269076,0.00868718,0.0348048,0.0162105,0.00848119,0.00523619,0.00519238,0.00264399,0,0,0,0,0,0,0,0,0,0
76,0.00455678,0.00441743,0,0,0,0,0,0.0354319,0.0179147,0.0130064,0.0105893,0,0,0.0270253,0,0.0182641,0.0186917,0.0333179,0.0035164,0.00929433,0.0224971,0.0101283,0.018347,0.00962404,0.0166257,0.0133437,0.0176992,0.0054989,0.0117873,0.0054519,0.0105755,0.0387143,0.0142318,0.0134102,0.00689352,0.0295713,0.00961165,0.00808363,0.0109113,0.00559547,0,0,0.0203954,0,0.0104243,0.0168642,0.076223,0.0164651,0.016841,0.019066,0.00723012,0.0202645,0.00879133,0.038913,0.0191593,0.00936185,0.00237053,0.00416882,0.00367325,0.0108213,0.0353591,0.0162063,0.00835343,0.00520197,0.00529122,0.00300991,0,0,0,0,0,0,0,0,0,0
77,0.00477439,0.00451127,0,0,0,0,0,0.0363052,0.0179565,0.0127616,0.0101725,0,0,0.0267975,0,0.0181208,0.0185486,0.0336036,0.00302239,0.00962685,0.0220912,0.00989826,0.0182111,0.0092294,0.0163589,0.0132474,0.017485,0.00514101,0.0115131,0.00518455,0.0103861,0.0401045,0.0141513,0.0133346,0.00690456,0.0281057,0.00971544,0.00796142,0.0107649,0.00588883,0,0,0.0201377,0,0.0104028,0.0166492,0.0751409,0.0168308,0.0162068,0.0191081,0.00750295,0.0199998,0.00954124,0.039115,0.0189883,0.0100044,0.00238869,0.0041454,0.00449858,0.0128586,0.0346484,0.0161583,0.00824088,0.00507639,0.00522373,0.00333169,0,0,0,0,0,0,0,0,0,0
78,0.00491035,0.00450139,0,0,0,0,0,0.0373145,0.0179288,0.0128742,0.00982081,0,0,0.0267075,0,0.0180712,0.0185201,0.0338301,0.00322429,0.00997111,0.0218973,0.00968713,0.0180462,0.0090025,0.0161119,0.0131158,0.0171468,0.00484698,0.0112507,0.00512745,0.0101323,0.0414022,0.014128,0.0133217,0.00695891,0.0258026,0.00974336,0.00776015,0.0106548,0.00610527,0,0,0.0199327,0,0.0103762,0.0165403,0.0739438,0.0167307,0.0156781,0.0191274,0.0077517,0.0198278,0.00972407,0.0392868,0.0187628,0.0103714,0.00266767,0.00412249,0.0050966,0.0144597,0.0328549,0.0159724,0.0081994,0.00485798,0.00501448,0.00359931,0,0,0,0,0,0,0,0,0,0
79,0.00494021,0.00447493,0,0,0,0,0,0.0380481,0.0178831,0.0128979,0.00953295,0,0,0.0268212,0,0.0181025,0.0186142,0.0338903,0.00357537,0.0103619,0.0217157,0.0094987,0.0178331,0.00904457,0.0157861,0.0130878,0.0168257,0.00462296,0.0109694,0.00499748,0.00997826,0.042518,0.014268,0.0133432,0.00701952,0.0230323,0.00973956,0.00727315,0.0106492,0.00621135,0,0,0.0197129,0,0.0103962,0.0163487,0.072685,0.0161534,0.0152443,0.019052,0.00799489,0.0197453,0.00966375,0.0393349,0.0187113,0.0103993,0.00286828,0.00413167,0.00556549,0.0155072,0.0305942,0.0157853,0.00811665,0.00479901,0.00471229,0.00377027,0,0,0,0,0,0,0,0,0,0
