Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74
All Timesteps RMSE,0.00470663,0.0105821,0,0,0,0,0,0,0.0352684,0.0160239,0.0225668,0.00838176,0,0,0.0365923,0,0.0176103,0.0226292,0.0382451,0.0227738,0.012023,0.0106891,0.0112955,0.0231185,0.0058301,0.0105279,0.00762699,0.0143083,0.0111113,0.0137266,0.00876198,0.012093,0.042539,0.0216615,0.0136463,0.0116547,0.0176592,0.00835797,0.0115053,0.00861281,0.00687246,0,0,0.0282351,0,0.011578,0.0225651,0.0640909,0.0167162,0.0128856,0.0099276,0.0111125,0.0183952,0.0059884,0.030358,0.0102149,0.00880927,0.00903483,0.00838778,0.00948382,0.0138909,0.0230616,0.0191205,0.00778875,0.00842305,0.0115713,0.00523099,0,0,0,0,0,0,0,0
0,0.00462013,0.00651769,0,0,0,0,0,0,0.022277,0.0149984,0.0106176,0.00816367,0,0,0.0342826,0,0.0173736,0.0238771,0.0425157,0.0165434,0.0161851,0.00539297,0.00541454,0.0208385,0.00714988,0.0145917,0.0029506,0.0128394,0.00984582,0.00838795,0.010501,0.00414837,0.0334272,0.0194714,0.013573,0.0133853,0.0107978,0.00801472,0.00574625,0.0130041,0.00529073,0,0,0.027882,0,0.0107311,0.0216465,0.0539679,0.00822339,0.0039568,0.00391129,0.0159781,0.0173714,0.00249533,0.0295929,0.000892515,0.00258291,0.00550523,0.00682166,0.00369179,0.00903207,0.0141156,0.0182484,0.00891071,0.00921814,0.00921715,0.00367843,0,0,0,0,0,0,0,0
1,0.00472808,0.00619549,0,0,0,0,0,0,0.0181678,0.0148609,0.0101674,0.0085097,0,0,0.0339427,0,0.0174578,0.023408,0.0424033,0.0161754,0.0165995,0.00922301,0.0050126,0.0204343,0.00704169,0.0143796,0.0035793,0.0114117,0.00829904,0.00696653,0.00969634,0.00520382,0.029092,0.0190683,0.0138138,0.0133414,0.0107884,0.00777811,0.00584288,0.0126551,0.00526488,0,0,0.0277905,0,0.0109444,0.021692,0.0531009,0.00790824,0.00439887,0.0032712,0.0156849,0.0178312,0.00384751,0.0286757,0.00160244,0.00242779,0.00558638,0.00595342,0.00386764,0.0089243,0.0141475,0.0181855,0.0089691,0.0094459,0.00862528,0.00372029,0,0,0,0,0,0,0,0
2,0.00470191,0.00600332,0,0,0,0,0,0,0.0143198,0.0146406,0.0105521,0.0084539,0,0,0.0339681,0,0.0173735,0.0233066,0.0426443,0.0164356,0.0164455,0.0108329,0.00497587,0.0202305,0.00705926,0.0142054,0.00499958,0.0104807,0.00664238,0.00527981,0.00904125,0.00637116,0.0245893,0.0184368,0.0136364,0.0134041,0.0103053,0.00762235,0.00527679,0.0122578,0.00527893,0,0,0.0278607,0,0.0110294,0.0218205,0.0529274,0.00648768,0.00444227,0.00402488,0.0155901,0.0182626,0.00443149,0.0280945,0.00270135,0.00264241,0.00479983,0.00568887,0.00333541,0.00727111,0.0122698,0.0182663,0.00890765,0.00951999,0.00830374,0.00385746,0,0,0,0,0,0,0,0
3,0.0044613,0.00561302,0,0,0,0,0,0,0.0103368,0.0145919,0.012356,0.00811238,0,0,0.0332266,0,0.0173109,0.0226622,0.043137,0.0172896,0.0163026,0.0116568,0.00474859,0.0199005,0.00719288,0.0138145,0.00639406,0.00956479,0.00486964,0.00327723,0.00855618,0.00759532,0.0199931,0.0175763,0.0135987,0.0132348,0.00999772,0.00762951,0.0040209,0.0116958,0.00522159,0,0,0.0277664,0,0.0110254,0.0217484,0.0532901,0.004317,0.00452813,0.0042303,0.0151414,0.0186404,0.00450173,0.0274277,0.00363994,0.00325928,0.00341525,0.00555398,0.00232664,0.004886,0.0103494,0.0181885,0.0088006,0.00946344,0.00782983,0.00383071,0,0,0,0,0,0,0,0
4,0.00423685,0.00520083,0,0,0,0,0,0,0.00774016,0.0146772,0.0148476,0.00770787,0,0,0.0320299,0,0.0174115,0.0215582,0.0437464,0.0186057,0.0160761,0.0121924,0.00454016,0.0194348,0.00715258,0.0131661,0.00700784,0.00880275,0.00338768,0.00181164,0.00814639,0.00880096,0.0167707,0.0166256,0.013804,0.0128789,0.00989506,0.00769221,0.00315077,0.0113371,0.00519585,0,0,0.0276441,0,0.0110368,0.021565,0.0538751,0.00258511,0.00474952,0.00306666,0.0145715,0.0189168,0.00429571,0.0269542,0.00421816,0.00401864,0.00219156,0.0054384,0.00169964,0.00304033,0.00874528,0.01821,0.00871976,0.00939238,0.0074088,0.00383344,0,0,0,0,0,0,0,0
5,0.00414483,0.00486075,0,0,0,0,0,0,0.00886099,0.0146957,0.0174947,0.0074836,0,0,0.0310104,0,0.017399,0.020606,0.044193,0.0201047,0.0156984,0.0124186,0.00447426,0.0189359,0.00713003,0.0121807,0.0073354,0.00815555,0.00272493,0.00253569,0.00789982,0.0099188,0.0170246,0.0158995,0.0138144,0.0126995,0.00966495,0.00777682,0.00330412,0.0110095,0.00521921,0,0,0.0273772,0,0.0110606,0.0215558,0.0545897,0.00289338,0.00520728,0.00108241,0.0140238,0.0190581,0.00441864,0.0269425,0.00467524,0.00369023,0.00175393,0.00529448,0.00178112,0.00265042,0.00718244,0.0182989,0.00865891,0.00930221,0.00707029,0.00396451,0,0,0,0,0,0,0,0
6,0.00408025,0.00464828,0,0,0,0,0,0,0.0139847,0.0145764,0.0204698,0.0075077,0,0,0.030389,0,0.0172452,0.0202758,0.0444091,0.0214681,0.0154247,0.0122098,0.00450587,0.0184925,0.00713309,0.0111032,0.0076894,0.0077652,0.00295062,0.00446934,0.00792321,0.0109379,0.0212805,0.0155318,0.0136212,0.012647,0.00927516,0.0078521,0.00331446,0.010558,0.00524753,0,0,0.0269664,0,0.0111192,0.0214606,0.0551939,0.00360715,0.00573078,0.001442,0.0136385,0.0190704,0.00457374,0.0272261,0.00497071,0.0038255,0.00187752,0.0050818,0.0019735,0.00271055,0.00606595,0.0182908,0.0085661,0.00915218,0.00677462,0.0040873,0,0,0,0,0,0,0,0
7,0.00391329,0.00455528,0,0,0,0,0,0,0.0210849,0.0145648,0.0228426,0.00778353,0,0,0.0296793,0,0.0174392,0.019911,0.0444916,0.0224689,0.0152541,0.0116688,0.00460612,0.0182606,0.00684821,0.0100834,0.00798842,0.0075254,0.00368705,0.00659184,0.00839987,0.0119031,0.0277903,0.0150439,0.0137962,0.0125867,0.00885277,0.00787134,0.00314438,0.0101104,0.00532745,0,0,0.0265478,0,0.0111213,0.021206,0.0555514,0.00371124,0.00626328,0.00179641,0.0133698,0.0188918,0.00471315,0.0276891,0.00513131,0.00370566,0.0020414,0.00484857,0.00199511,0.00250839,0.00548288,0.0179957,0.00849654,0.00899514,0.00652515,0.00412173,0,0,0,0,0,0,0,0
8,0.0037004,0.00461637,0,0,0,0,0,0,0.0288491,0.0147127,0.0242334,0.00818108,0,0,0.0288461,0,0.0178136,0.0192588,0.0444607,0.0227769,0.0150693,0.010875,0.00474134,0.0183409,0.00620329,0.00884785,0.00800001,0.00731747,0.00465388,0.00853755,0.0089884,0.0127982,0.0355521,0.0143445,0.0143253,0.0124509,0.00848239,0.00787798,0.00305985,0.00996138,0.00538925,0,0,0.0261764,0,0.0111287,0.0209636,0.0556595,0.00363972,0.00670805,0.00211649,0.0131523,0.0186636,0.00471208,0.0282362,0.00542278,0.00369303,0.00227065,0.00461674,0.00206129,0.00245245,0.00544091,0.0177016,0.00844564,0.00888705,0.00632965,0.0041298,0,0,0,0,0,0,0,0
