Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,IMUR_M
9,0.011736,0.00706233,0,0,0,0,0,0.0108582,0.0121044,0.00212537,0.00695476,0,0,0.0121754,0,0.0290039,0.00696952,0.0412633,0.00795298,0.0181447,0.00980495,0.00632688,0.00750188,0.00634425,0.00852262,0.00436482,0.0123446,0.00316237,0.00564796,0.00306391,0.0217807,0.0158473,0.00708789,0.0167673,0.00439755,0.0222189,0.0108444,0.0136159,0.01346,0.0191275,0,0,0.00332862,0,0.0135785,0.00426898,0.0719613,0.028238,0.0288249,0.00611984,0.0109003,0.0144416,0.00602348,0.0391353,0.00558992,0.00854082,0.0121201,0.00671068,0.0145036,0.0245634,0.0373702,0.00819672,0.00767366,0.00287935,0.00739552,0.0144335,0,0,0,0,0,0,0,0,0
10,0.0118558,0.00701057,0,0,0,0,0,0.0126706,0.0120754,0.00165563,0.00750295,0,0,0.0118761,0,0.028957,0.0070047,0.0410698,0.00868348,0.0183043,0.00977729,0.00601069,0.0073758,0.00612245,0.00809483,0.00371137,0.0117442,0.00382976,0.00520051,0.00379931,0.0218905,0.0190547,0.00667289,0.0167402,0.00450189,0.0218834,0.0106955,0.0139854,0.0139998,0.0193391,0,0,0.00341369,0,0.0135708,0.00454216,0.0724545,0.0287118,0.0294402,0.00546954,0.0114782,0.0148571,0.00590458,0.0390094,0.00530879,0.00770172,0.0118838,0.00605962,0.0142866,0.0240756,0.0375532,0.00817682,0.00758655,0.00265412,0.00749784,0.0148708,0,0,0,0,0,0,0,0,0
11,0.0117906,0.00697088,0,0,0,0,0,0.0147399,0.0121307,0.00342048,0.00815242,0,0,0.0118236,0,0.0288624,0.00712942,0.0408435,0.0114793,0.0186169,0.00959998,0.00562509,0.00717467,0.00595345,0.00735138,0.00310039,0.0116656,0.00496664,0.00566699,0.00484919,0.0219939,0.0229517,0.00643986,0.016724,0.00455701,0.0218167,0.0104948,0.0141206,0.0146406,0.0193759,0,0,0.00335691,0,0.0136246,0.00497411,0.0730012,0.0288318,0.0301323,0.00476452,0.0121385,0.0151198,0.00578661,0.0389042,0.00508493,0.00710918,0.0113945,0.00517628,0.0137724,0.0232595,0.0374562,0.00793429,0.00751873,0.00248487,0.0075188,0.0152363,0,0,0,0,0,0,0,0,0
12,0.0116007,0.00686259,0,0,0,0,0,0.0171312,0.0122082,0.00447485,0.00900383,0,0,0.0117912,0,0.0285907,0.00718261,0.0404976,0.0140185,0.018812,0.00906655,0.00532475,0.00693656,0.00574103,0.00627869,0.00273785,0.0118379,0.00588725,0.00646202,0.00526695,0.02218,0.0260426,0.00638772,0.0167076,0.00452037,0.0214254,0.0102025,0.0139093,0.0154425,0.0192079,0,0,0.00327673,0,0.0136874,0.00547461,0.0735655,0.0282485,0.0307015,0.00402093,0.0129394,0.0153535,0.00566013,0.0389621,0.00502691,0.00628566,0.0106963,0.00419368,0.0128947,0.0216795,0.0368757,0.00754634,0.00742757,0.0023923,0.00746395,0.0154112,0,0,0,0,0,0,0,0,0
13,0.0115669,0.00669932,0,0,0,0,0,0.0195579,0.01225,0.00549353,0.00981056,0,0,0.0115914,0,0.0282372,0.00714987,0.0399397,0.0147887,0.0187256,0.0081689,0.00515419,0.00674181,0.00541084,0.00533986,0.00279074,0.0119145,0.00562383,0.00647735,0.00502886,0.0222499,0.0273995,0.00634511,0.0166363,0.00449189,0.0206942,0.00985472,0.0134376,0.0163508,0.0190503,0,0,0.00339823,0,0.0137293,0.00605245,0.0741123,0.0269666,0.0311015,0.0037143,0.0137712,0.015643,0.00549727,0.0390717,0.00513388,0.00531774,0.00990717,0.00332348,0.0118252,0.0195094,0.0356081,0.00709824,0.00741028,0.00209913,0.00749383,0.0155331,0,0,0,0,0,0,0,0,0
14,0.0116978,0.00650331,0,0,0,0,0,0.0214339,0.0123182,0.00612298,0.0102949,0,0,0.0114496,0,0.0281121,0.00724798,0.0394783,0.0144852,0.018579,0.00761543,0.00489022,0.00658048,0.00545096,0.00502032,0.00330037,0.0120083,0.00472474,0.00603957,0.00455899,0.0220373,0.0281024,0.00635872,0.0165748,0.00449696,0.0198635,0.00948589,0.0130352,0.0168962,0.0188056,0,0,0.00382456,0,0.0138629,0.00693193,0.0746251,0.0253902,0.0316337,0.0040601,0.0143167,0.0158319,0.00537372,0.0392447,0.00529001,0.00438546,0.00912008,0.0026479,0.0108168,0.0173659,0.0339142,0.00678558,0.00744513,0.00157433,0.00731405,0.0155629,0,0,0,0,0,0,0,0,0
15,0.0117889,0.00621372,0,0,0,0,0,0.0214182,0.0125137,0.00566506,0.0101973,0,0,0.0136202,0,0.0284363,0.007462,0.0392406,0.0135633,0.018511,0.00712843,0.00461368,0.00411949,0.00617049,0.00587275,0.00445213,0.0122867,0.00403453,0.00554043,0.00404995,0.0215306,0.0283634,0.00822384,0.0166565,0.00416434,0.0189619,0.0092522,0.0126998,0.0166599,0.0184211,0,0,0.0038817,0,0.0142284,0.00774378,0.075136,0.0235469,0.0323462,0.00502198,0.0141598,0.0153794,0.0052058,0.0394091,0.00525494,0.00352962,0.00838836,0.00211684,0.00990418,0.0152611,0.0328752,0.00475098,0.00803811,0.00164952,0.00690893,0.0154918,0,0,0,0,0,0,0,0,0
16,0.0119332,0.00622283,0,0,0,0,0,0.0199131,0.0125648,0.00496813,0.010065,0,0,0.0125062,0,0.0281924,0.00730482,0.0390024,0.0127495,0.0183157,0.00663685,0.00462301,0.00449869,0.00712598,0.00704503,0.00577859,0.0124118,0.00406872,0.00524775,0.00367878,0.0209657,0.0277928,0.00744607,0.016561,0.00421889,0.0178581,0.00910012,0.0124193,0.016356,0.0181424,0,0,0.00497281,0,0.0144736,0.00858421,0.0754371,0.021516,0.0327194,0.00627871,0.0141821,0.0155878,0.00506094,0.0394571,0.00539371,0.00271889,0.00764197,0.00151095,0.00905698,0.0130271,0.0324049,0.0038822,0.00843413,0.00194596,0.00687333,0.0155105,0,0,0,0,0,0,0,0,0
17,0.0119415,0.00629306,0,0,0,0,0,0.0178956,0.0127532,0.00477103,0.00987961,0,0,0.0121869,0,0.0280868,0.00731432,0.0387697,0.0124966,0.0181076,0.00604491,0.00481631,0.00410011,0.00781553,0.00781311,0.00671452,0.0125471,0.00464498,0.00525374,0.00341204,0.0205924,0.0257898,0.00743633,0.0165034,0.00405475,0.0170425,0.00879782,0.0121328,0.0159097,0.0178045,0,0,0.00557617,0,0.0145077,0.00912187,0.0755326,0.0197054,0.0327968,0.00774794,0.0142783,0.0159698,0.0049133,0.0391872,0.00570224,0.00201809,0.0069803,0.00109354,0.00817292,0.0107015,0.0321021,0.00368779,0.00876308,0.00194659,0.00703714,0.0154145,0,0,0,0,0,0,0,0,0
18,0.0118762,0.00636105,0,0,0,0,0,0.0162263,0.0129573,0.00468511,0.00961549,0,0,0.011679,0,0.0278684,0.00728607,0.0388322,0.0124561,0.0179819,0.00530686,0.00478599,0.00389782,0.00803499,0.00795619,0.00693,0.0127392,0.005038,0.0052237,0.00342321,0.020451,0.023387,0.00747395,0.0163917,0.00382431,0.0170967,0.00840742,0.0119651,0.0153548,0.0173575,0,0,0.00577831,0,0.0145506,0.00966216,0.0754236,0.0179497,0.0328728,0.00954303,0.0145036,0.016986,0.00476135,0.0386114,0.0062631,0.00231227,0.00656353,0.000817443,0.00743972,0.00867691,0.0313164,0.0048812,0.00867983,0.00219537,0.00738421,0.0151144,0,0,0,0,0,0,0,0,0
