Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,IMUR_M
29,0.013724,0.00830211,0,0,0,0,0,0.00903308,0.0153989,0.005813,0.00581894,0,0,0.00543009,0,0.0247836,0.00535032,0.0400116,0.00647019,0.0158938,0.00526615,0.00474305,0.00628432,0.00610317,0.00494295,0.00462241,0.0126376,0.00457065,0.00443489,0.00330806,0.0183198,0.00976055,0.00514525,0.0152533,0.00224575,0.0187485,0.00732227,0.0112809,0.00686892,0.0144359,0,0,0.00929382,0,0.0147768,0.0121642,0.0732947,0.0198731,0.0285624,0.018415,0.0114147,0.021438,0.00253733,0.0338108,0.0152694,0.0118892,0.00761249,0.00231858,0.00290916,0.00817819,0.0189697,0.003773,0.00996018,0.0033671,0.00896747,0.011891,0,0,0,0,0,0,0,0,0
30,0.0139755,0.00843011,0,0,0,0,0,0.00980887,0.0157293,0.00613777,0.00538755,0,0,0.00456337,0,0.0242505,0.00489027,0.0399623,0.00617688,0.0156539,0.00565721,0.00489174,0.00656224,0.00578799,0.00478971,0.00479802,0.0119706,0.00443027,0.00434338,0.00323949,0.0178799,0.0107833,0.00462386,0.0150736,0.00212035,0.0210249,0.00780251,0.0130083,0.00605616,0.0145272,0,0,0.00824121,0,0.0144713,0.0114683,0.0728455,0.0208295,0.0273645,0.0190882,0.0104687,0.0215849,0.00232581,0.0337322,0.0156155,0.012593,0.00751794,0.00235817,0.00383919,0.00937924,0.0215173,0.0041271,0.00960796,0.00299236,0.00908444,0.0119289,0,0,0,0,0,0,0,0,0
31,0.0141939,0.00855935,0,0,0,0,0,0.0104762,0.0159974,0.00664955,0.0049683,0,0,0.00376356,0,0.0237562,0.00445087,0.0400954,0.00605199,0.0154832,0.00596477,0.00504995,0.00671128,0.00548732,0.00455214,0.00447081,0.0113891,0.00427686,0.00422571,0.00315203,0.0174148,0.0116799,0.00435605,0.0148904,0.0020071,0.0239047,0.00828971,0.0140741,0.00533908,0.0146935,0,0,0.0071815,0,0.0142044,0.0107365,0.0723817,0.0217895,0.0262018,0.0194321,0.00956976,0.0216426,0.00222132,0.033621,0.0153826,0.0129146,0.00708442,0.00237949,0.0052146,0.0109703,0.0239288,0.00431215,0.00923701,0.00258721,0.00920978,0.0119251,0,0,0,0,0,0,0,0,0
32,0.0144933,0.0086739,0,0,0,0,0,0.0110487,0.016241,0.00718027,0.00462385,0,0,0.00380681,0,0.0235907,0.00372027,0.0403463,0.00617891,0.0153995,0.00613793,0.00519894,0.00662249,0.00518205,0.00436024,0.00424379,0.0111788,0.00393197,0.00413832,0.00318762,0.0170859,0.0125878,0.00490878,0.0148239,0.00169989,0.0259972,0.00865478,0.0144184,0.00471263,0.0150341,0,0,0.00624649,0,0.0139777,0.0101271,0.0718766,0.0221809,0.025156,0.019305,0.00871913,0.0218727,0.00222327,0.0334982,0.0155267,0.0130121,0.00670802,0.00237797,0.0065428,0.0129386,0.0250349,0.00480786,0.00878257,0.00230105,0.00939017,0.0119532,0,0,0,0,0,0,0,0,0
33,0.0145086,0.00853034,0,0,0,0,0,0.0115475,0.0164024,0.00762203,0.00441026,0,0,0.0031041,0,0.0232428,0.00370544,0.0406792,0.00642442,0.0154077,0.00619579,0.00541659,0.00654155,0.00485241,0.00427491,0.00413261,0.011157,0.00347251,0.00404033,0.00324824,0.0168844,0.0133949,0.00458894,0.0147017,0.0017062,0.0255557,0.00914276,0.0143331,0.00423852,0.0149517,0,0,0.00516867,0,0.0138661,0.00910398,0.0713228,0.0220081,0.0242352,0.0187511,0.00801147,0.0214655,0.00228455,0.0333602,0.0156207,0.0132383,0.00662889,0.00226489,0.00758754,0.014962,0.0245043,0.00523802,0.00820821,0.00201508,0.00923677,0.0117291,0,0,0,0,0,0,0,0,0
34,0.0150381,0.00866993,0,0,0,0,0,0.0121469,0.0164977,0.00779255,0.00430854,0,0,0.00288725,0,0.023105,0.00351553,0.0410793,0.00649541,0.0154626,0.00619602,0.0056833,0.00643841,0.00447555,0.0046177,0.00398432,0.0110662,0.003059,0.0039258,0.00324159,0.0167268,0.0140728,0.00458105,0.0146513,0.00165902,0.0229709,0.00953887,0.0140445,0.00380668,0.0154222,0,0,0.00463115,0,0.0136296,0.00862425,0.0706773,0.0213005,0.0233682,0.0181653,0.00736867,0.0218017,0.00243158,0.0332322,0.0155258,0.0138907,0.00663892,0.00197048,0.00830962,0.0166178,0.0226372,0.0058113,0.0079098,0.00176607,0.00931065,0.0120827,0,0,0,0,0,0,0,0,0
35,0.0153025,0.00860342,0,0,0,0,0,0.0127189,0.016525,0.00780669,0.00423693,0,0,0.00264775,0,0.0230425,0.00346496,0.0415372,0.00642387,0.0155896,0.00609122,0.00610207,0.00637813,0.00428218,0.00551285,0.00374638,0.0110181,0.00276559,0.00377477,0.00315182,0.0165974,0.0148949,0.00423821,0.0146284,0.00163105,0.0196016,0.00987131,0.0132772,0.00344651,0.0156042,0,0,0.00389439,0,0.0134401,0.00790879,0.0698617,0.0199564,0.0225742,0.0182603,0.0069516,0.0216776,0.00259896,0.0334477,0.0156528,0.0143188,0.00670441,0.00159385,0.00873816,0.0177265,0.0195777,0.00631669,0.00758698,0.00157017,0.00912266,0.0123565,0,0,0,0,0,0,0,0,0
36,0.0154655,0.00850377,0,0,0,0,0,0.0132634,0.0164933,0.007822,0.00421771,0,0,0.00239132,0,0.0229785,0.00349184,0.0419479,0.0063964,0.0157906,0.00593264,0.00659633,0.00629206,0.00425026,0.00554261,0.00351531,0.0109995,0.00241435,0.00348338,0.00318072,0.0165373,0.0157528,0.00395599,0.0146033,0.00158012,0.0164449,0.0101325,0.0125551,0.00329667,0.015769,0,0,0.00339165,0,0.0133083,0.00736205,0.0688771,0.0186452,0.0218421,0.0183877,0.00666129,0.0214962,0.00285754,0.0335391,0.0154402,0.0142695,0.00663555,0.00133083,0.00893897,0.0182332,0.0164514,0.00669368,0.00729984,0.00165094,0.00885067,0.0127058,0,0,0,0,0,0,0,0,0
37,0.0156072,0.00843642,0,0,0,0,0,0.013866,0.0164915,0.00796687,0.00423041,0,0,0.00228294,0,0.0229637,0.00368975,0.0421869,0.00657312,0.0160691,0.00556672,0.00706366,0.00618916,0.00416134,0.00507907,0.00331818,0.0113858,0.00219426,0.00323633,0.00318013,0.0165808,0.016917,0.00357972,0.0145917,0.00153127,0.0140727,0.0103571,0.0118788,0.00324375,0.0159921,0,0,0.00307995,0,0.0132113,0.00701689,0.0676892,0.0175695,0.0211911,0.0182483,0.00641343,0.0213683,0.00315469,0.0334386,0.0149952,0.0136861,0.0064939,0.00122645,0.00883676,0.0181634,0.013865,0.00696134,0.00711606,0.00177458,0.00863667,0.0131099,0,0,0,0,0,0,0,0,0
38,0.015662,0.00834466,0,0,0,0,0,0.014145,0.0165986,0.00804528,0.00430532,0,0,0.00302721,0,0.0232279,0.00343972,0.0422045,0.00688053,0.0162834,0.00500733,0.00745846,0.00592347,0.00385146,0.00499579,0.00311258,0.0115116,0.00202319,0.00272458,0.00298728,0.0165711,0.017623,0.00399897,0.0146487,0.00131451,0.0130252,0.010469,0.0112975,0.00323035,0.0161591,0,0,0.00321671,0,0.0130995,0.00645864,0.0663201,0.0164427,0.0206426,0.0181065,0.0061553,0.0212332,0.00351669,0.0333717,0.0146385,0.0130291,0.00628876,0.00114133,0.00844091,0.0174684,0.0122013,0.00769895,0.00635561,0.00181777,0.00843514,0.0134287,0,0,0,0,0,0,0,0,0
39,0.0159234,0.00838565,0,0,0,0,0,0.0143114,0.0166421,0.00814609,0.0043423,0,0,0.00284602,0,0.0230994,0.00352162,0.042092,0.00726188,0.0164419,0.00435289,0.00769159,0.00586378,0.00372784,0.00499403,0.00288031,0.0114118,0.00183655,0.00201908,0.00277014,0.0164223,0.0181189,0.00389958,0.0146082,0.00133634,0.0124782,0.0106705,0.0108882,0.00314892,0.016516,0,0,0.00318829,0,0.0129021,0.00601318,0.0648238,0.0153654,0.0201669,0.0180135,0.00585201,0.0212355,0.00390799,0.0333886,0.0144506,0.0124833,0.00607297,0.0009903,0.00796552,0.016358,0.0122709,0.00796279,0.00628289,0.00182992,0.00839551,0.0138167,0,0,0,0,0,0,0,0,0
40,0.0160213,0.0083447,0,0,0,0,0,0.014431,0.01673,0.00840092,0.00435422,0,0,0.00261251,0,0.0228217,0.00350222,0.0419033,0.00774291,0.0165893,0.00396058,0.00786377,0.00586399,0.00361068,0.00452783,0.00267766,0.0113008,0.00155942,0.00138955,0.00261753,0.0163239,0.0184107,0.00386014,0.014571,0.00130258,0.0125234,0.010956,0.0106977,0.00306383,0.0166921,0,0,0.00341531,0,0.0128804,0.0055946,0.0633188,0.0145515,0.0196914,0.017456,0.00559336,0.0211554,0.00437271,0.0334527,0.0143833,0.0119172,0.0058895,0.000971392,0.0075988,0.0151363,0.0131918,0.0081436,0.0063699,0.0020576,0.00826603,0.0139261,0,0,0,0,0,0,0,0,0
41,0.0160998,0.00832802,0,0,0,0,0,0.0147243,0.0169282,0.00864267,0.00440292,0,0,0.00254113,0,0.0226581,0.00344164,0.0417612,0.00825484,0.0167533,0.00364898,0.00795995,0.00576579,0.00340558,0.00361089,0.00254113,0.011141,0.00147129,0.000894775,0.00251826,0.0161666,0.0187292,0.00391016,0.0145133,0.00118071,0.01303,0.0112465,0.0106072,0.00303199,0.0169079,0,0,0.00364056,0,0.0128787,0.00518462,0.0618633,0.0140594,0.0192077,0.0166788,0.00528603,0.0212276,0.00495667,0.0335629,0.0142878,0.0115599,0.00600004,0.00123566,0.00744122,0.0141447,0.0147351,0.00820741,0.00635127,0.00243076,0.00819238,0.0139434,0,0,0,0,0,0,0,0,0
42,0.016046,0.00828025,0,0,0,0,0,0.0147904,0.0171558,0.00874525,0.00453339,0,0,0.00251288,0,0.022484,0.00335629,0.0417126,0.00887768,0.0169344,0.00240989,0.00792164,0.00575283,0.00319877,0.0039447,0.00242042,0.010581,0.00168248,0.000457595,0.00237312,0.0159353,0.0188628,0.00413411,0.0144071,0.00110672,0.0141541,0.0114686,0.010516,0.0030726,0.0170249,0,0,0.00394911,0,0.0129081,0.00475445,0.0605808,0.0135596,0.0187955,0.0157387,0.00490472,0.0213331,0.00557851,0.033749,0.0141217,0.0114073,0.00652784,0.00171537,0.00763374,0.013565,0.0162541,0.00838856,0.00640628,0.00277978,0.00809312,0.0137893,0,0,0,0,0,0,0,0,0
43,0.0159761,0.00825303,0,0,0,0,0,0.0146091,0.0174076,0.00884091,0.00456305,0,0,0.00232803,0,0.0222876,0.0032448,0.0418063,0.00948833,0.0170085,0.00111682,0.00791089,0.00588473,0.00327617,0.00483062,0.00251717,0.00998865,0.00215995,0.000873595,0.00223546,0.015731,0.0188211,0.00431747,0.0142995,0.00107927,0.0156383,0.0116428,0.0105984,0.0032419,0.0170697,0,0,0.00429067,0,0.0128967,0.004343,0.0595444,0.0133253,0.0184457,0.0146721,0.00457777,0.0214959,0.00595722,0.0338026,0.0138061,0.0112376,0.00736717,0.00225508,0.0082351,0.013539,0.0182988,0.00874804,0.00640594,0.00294358,0.00804805,0.0135061,0,0,0,0,0,0,0,0,0
44,0.0160242,0.0083636,0,0,0,0,0,0.0144318,0.0176413,0.00920952,0.00465102,0,0,0.00188876,0,0.0222294,0.00266947,0.0419826,0.0105541,0.0171899,0.00181223,0.00800766,0.00593582,0.00384407,0.0041213,0.00294743,0.00987649,0.00250296,0.0016583,0.00219236,0.0158027,0.0187863,0.00406529,0.0142502,0.000937643,0.0172945,0.0117593,0.0106238,0.00360552,0.0172498,0,0,0.0052588,0,0.0128863,0.00415336,0.0586803,0.0129387,0.0180442,0.0139868,0.00439196,0.0220066,0.00616385,0.033797,0.0133997,0.0110668,0.00808382,0.00304867,0.00866931,0.0135061,0.0201809,0.00957381,0.00615243,0.00287146,0.00812064,0.0132901,0,0,0,0,0,0,0,0,0
45,0.0155689,0.00811947,0,0,0,0,0,0.0149372,0.0178053,0.0100079,0.00488759,0,0,0.00184913,0,0.0218436,0.00307345,0.0421229,0.0115408,0.0174497,0.00296476,0.00805473,0.00603037,0.00479783,0.00326065,0.00327894,0.0108717,0.00251352,0.00226319,0.00236487,0.0160546,0.0194861,0.00361252,0.0140977,0.00104615,0.0184911,0.0121215,0.0105226,0.00412722,0.0166981,0,0,0.0033925,0,0.013031,0.00395165,0.0578053,0.0122707,0.0175205,0.0131785,0.0043017,0.0214586,0.00620224,0.033708,0.0129326,0.0108124,0.00873973,0.00406037,0.00907354,0.0135002,0.0214074,0.00894141,0.00710369,0.00361614,0.0078193,0.0125382,0,0,0,0,0,0,0,0,0
46,0.0154864,0.00818283,0,0,0,0,0,0.0161089,0.0180116,0.0112311,0.00528893,0,0,0.00173909,0,0.0217438,0.00306937,0.042167,0.0125992,0.0178541,0.00361292,0.00792283,0.00612364,0.00510284,0.00377384,0.00359095,0.0130834,0.0025916,0.00272674,0.00275766,0.0165649,0.0209043,0.00321782,0.0140436,0.00104168,0.0185513,0.0122047,0.0102749,0.00480712,0.0166354,0,0,0.00366982,0,0.0130277,0.00395695,0.0568544,0.0117204,0.0169483,0.0122166,0.00422402,0.0217396,0.00620033,0.0336006,0.0126013,0.0104912,0.00953223,0.00517992,0.00964585,0.0137283,0.0217723,0.00948316,0.00730169,0.00374401,0.00788715,0.0122937,0,0,0,0,0,0,0,0,0
47,0.0153311,0.00827696,0,0,0,0,0,0.0167206,0.0182332,0.0117933,0.00559877,0,0,0.00161593,0,0.0216675,0.00300902,0.0420855,0.0129838,0.0181197,0.00411265,0.00781027,0.00623895,0.00244374,0.00406369,0.00383137,0.0138545,0.00281487,0.00319785,0.00300257,0.0166696,0.0214143,0.00296123,0.0139994,0.00100351,0.0177529,0.0122854,0.00988945,0.0054543,0.0165331,0,0,0.00397952,0,0.0130359,0.00396918,0.0558364,0.0114601,0.0164788,0.0115805,0.00419314,0.0219888,0.0063263,0.0336569,0.0126359,0.0103639,0.0103714,0.00628494,0.0102547,0.0142658,0.0215708,0.00997833,0.00753004,0.00387472,0.00794645,0.0119322,0,0,0,0,0,0,0,0,0
48,0.0151727,0.00839635,0,0,0,0,0,0.0169347,0.018392,0.0118727,0.00579754,0,0,0.00143463,0,0.0215865,0.00283538,0.0419513,0.0126357,0.018191,0.00465134,0.00779054,0.0062919,0.00237085,0.00360539,0.00381121,0.0132887,0.00305133,0.00360134,0.00305078,0.0163549,0.0216798,0.00260834,0.0139607,0.000939783,0.0163903,0.01237,0.00974494,0.00609385,0.0164405,0,0,0.00422951,0,0.0130578,0.00402573,0.0548993,0.0118471,0.0161255,0.0115232,0.00427814,0.0222541,0.00651697,0.0337921,0.012743,0.0104179,0.0113138,0.00708532,0.0110197,0.0152282,0.0208591,0.0103437,0.00774751,0.00403346,0.00806092,0.0114935,0,0,0,0,0,0,0,0,0
49,0.0148522,0.00842399,0,0,0,0,0,0.0173033,0.0185142,0.0119849,0.00592348,0,0,0.00116709,0,0.0215727,0.0026343,0.0417781,0.0124237,0.0181752,0.00481822,0.00770538,0.00632453,0.00247085,0.00293316,0.00370021,0.0126972,0.00352334,0.00420493,0.00317827,0.0159546,0.0221644,0.00240228,0.0139342,0.000853181,0.014987,0.0123927,0.00972729,0.00670945,0.0162359,0,0,0.00440457,0,0.0131087,0.00408481,0.0541729,0.0124122,0.0159321,0.011963,0.00431885,0.0223657,0.00677559,0.0338683,0.0123964,0.0102627,0.012191,0.0075999,0.0116499,0.0162212,0.0197503,0.0104755,0.00792503,0.00416577,0.00809093,0.0112482,0,0,0,0,0,0,0,0,0
50,0.0149146,0.00879019,0,0,0,0,0,0.0174698,0.0186149,0.0123253,0.00604993,0,0,0.00195023,0,0.0214007,0.00295866,0.0415622,0.0127466,0.0181604,0.00498344,0.00749964,0.006379,0.00262674,0.00300104,0.00372344,0.0124193,0.00400713,0.00473155,0.00342658,0.0156831,0.0226551,0.00245907,0.013868,0.000868182,0.0140608,0.0122959,0.0097001,0.00730883,0.0165331,0,0,0.00512029,0,0.0130034,0.0040347,0.0536312,0.0133216,0.01579,0.0126303,0.00433805,0.0231656,0.00700679,0.0338063,0.0121057,0.0100773,0.0128772,0.0078822,0.0120032,0.0169639,0.01839,0.010966,0.00785833,0.00395958,0.00843677,0.0113596,0,0,0,0,0,0,0,0,0
51,0.01464,0.00893075,0,0,0,0,0,0.0179483,0.0187264,0.012778,0.00614644,0,0,0.00198772,0,0.0213157,0.00279928,0.041312,0.013035,0.0181429,0.00545639,0.00740947,0.00636495,0.00263684,0.00313962,0.00380143,0.0123335,0.00444523,0.00523112,0.00379861,0.0153746,0.0233838,0.00236378,0.0138454,0.000977578,0.013192,0.0123191,0.00973521,0.00755569,0.0164633,0,0,0.00512747,0,0.0130446,0.0039726,0.0531619,0.0149776,0.0154845,0.0132349,0.00420295,0.0233442,0.00722876,0.0335184,0.0118722,0.00989851,0.0133037,0.00803769,0.0120763,0.0173755,0.0173047,0.0110175,0.00805481,0.00414069,0.00857337,0.0110303,0,0,0,0,0,0,0,0,0
52,0.0144294,0.0091424,0,0,0,0,0,0.0184794,0.0188712,0.0133,0.00620585,0,0,0.00219545,0,0.021196,0.00262917,0.0410907,0.0134292,0.0180201,0.00565777,0.0074359,0.00636769,0.00255985,0.0030987,0.00387992,0.0122606,0.00487674,0.00573479,0.00423462,0.0150513,0.0244165,0.00220185,0.0137634,0.00116634,0.012512,0.0124446,0.00993917,0.00722828,0.0165841,0,0,0.00534195,0,0.0130449,0.00395232,0.0527617,0.0162523,0.0148085,0.0136017,0.00368418,0.023589,0.00749805,0.0329245,0.0113887,0.00975157,0.0135171,0.0080976,0.0120193,0.0175016,0.0164509,0.0112011,0.00824947,0.00439167,0.00875834,0.0107474,0,0,0,0,0,0,0,0,0
53,0.0141242,0.00924855,0,0,0,0,0,0.0189059,0.0189638,0.0138591,0.00627625,0,0,0.00229292,0,0.0211065,0.00258757,0.0408988,0.0139216,0.0179452,0.00586397,0.00731621,0.00641635,0.00256553,0.00301805,0.00391153,0.0121708,0.00529673,0.00617549,0.00462844,0.0147384,0.0253513,0.00217532,0.0136831,0.00126856,0.0122272,0.0124968,0.0100673,0.00712754,0.0165673,0,0,0.00530496,0,0.0130904,0.00408415,0.0523638,0.0171005,0.0144706,0.0137962,0.00329959,0.0236874,0.00759445,0.0322543,0.0113534,0.00922607,0.0134273,0.00812295,0.0116406,0.017148,0.0157638,0.0111917,0.00856068,0.00461863,0.00883881,0.0105437,0,0,0,0,0,0,0,0,0
54,0.0138149,0.0093507,0,0,0,0,0,0.0196342,0.0190402,0.0144779,0.00632209,0,0,0.00221464,0,0.0210694,0.00259358,0.0406928,0.0144573,0.0179382,0.00591694,0.00709102,0.00637437,0.00252615,0.00331442,0.0039009,0.012086,0.00568498,0.0065132,0.00491798,0.0144203,0.0262727,0.0022246,0.0136539,0.001313,0.0120981,0.0124872,0.0100844,0.00721945,0.0163749,0,0,0.0052002,0,0.0131581,0.00430565,0.0519999,0.0179402,0.0143707,0.0138008,0.00308536,0.0237011,0.00752865,0.0315496,0.0116476,0.00831177,0.0130348,0.00821142,0.0108894,0.0162797,0.0149647,0.0111621,0.00892148,0.00485581,0.00888609,0.0100371,0,0,0,0,0,0,0,0,0
55,0.0134697,0.00942465,0,0,0,0,0,0.0202977,0.0191398,0.0150766,0.00629641,0,0,0.0019805,0,0.0211098,0.00255215,0.0406089,0.015012,0.0178774,0.006081,0.00690512,0.0062656,0.00259242,0.00348433,0.0038674,0.0120777,0.00603446,0.00674375,0.00513178,0.0141562,0.0270304,0.00226603,0.0136519,0.00131261,0.0117996,0.0124401,0.0101776,0.00725197,0.0160255,0,0,0.00523627,0,0.0132306,0.00457324,0.0517581,0.017982,0.0144018,0.0136444,0.00291534,0.0236404,0.00725864,0.0308424,0.0118918,0.00716015,0.0123005,0.00839453,0.00978509,0.0148108,0.0140457,0.0112045,0.00925938,0.00508884,0.00888943,0.00948184,0,0,0,0,0,0,0,0,0
56,0.0133975,0.00971667,0,0,0,0,0,0.0207431,0.0191893,0.0156378,0.00608813,0,0,0.00284555,0,0.0209657,0.00319053,0.0406476,0.0155518,0.0178685,0.00634533,0.00666415,0.00617294,0.00275826,0.00347772,0.00390028,0.012128,0.00627274,0.00686945,0.00541223,0.0139873,0.0277034,0.00253504,0.0135811,0.00130139,0.0113027,0.012262,0.010002,0.00718161,0.0159846,0,0,0.0054803,0,0.0131337,0.00457954,0.0516384,0.0172736,0.0144804,0.0134715,0.00274076,0.0242386,0.00692318,0.0301453,0.0119879,0.00600862,0.0111371,0.00869982,0.00827118,0.0125119,0.0125691,0.0117892,0.00910852,0.00484345,0.00913742,0.00938403,0,0,0,0,0,0,0,0,0
57,0.0129914,0.00965612,0,0,0,0,0,0.0212505,0.019161,0.0160755,0.00579768,0,0,0.00257864,0,0.0209589,0.00305047,0.0407224,0.0159373,0.0178864,0.0062388,0.00633272,0.0060594,0.00294644,0.0034965,0.00401879,0.0122125,0.00642068,0.00699072,0.00553278,0.013854,0.0283777,0.00266445,0.013561,0.00129645,0.0110519,0.0121622,0.00975753,0.0070136,0.0156975,0,0,0.00523391,0,0.013172,0.00494259,0.051648,0.0156908,0.0146389,0.0133767,0.00256062,0.0240723,0.00658998,0.0294084,0.0118397,0.00499372,0.00958781,0.00921058,0.00643416,0.00962915,0.0107964,0.0117542,0.00925174,0.00485612,0.00904129,0.00918101,0,0,0,0,0,0,0,0,0
58,0.0126577,0.00964103,0,0,0,0,0,0.0216684,0.0190995,0.0163851,0.00562189,0,0,0.00225718,0,0.0209709,0.00280456,0.0407215,0.0161634,0.0177772,0.00627946,0.00595608,0.00585887,0.00303945,0.00361207,0.00427632,0.0124002,0.00655074,0.00714766,0.00554855,0.0138024,0.029005,0.002709,0.0135678,0.0013006,0.0117557,0.0120784,0.00960952,0.00677957,0.0155459,0,0,0.00505807,0,0.0131972,0.00518599,0.05182,0.0144807,0.0148164,0.013465,0.0023843,0.0239424,0.00631502,0.0286454,0.011632,0.00459922,0.00785186,0.0100472,0.00432813,0.00680527,0.00981449,0.0118151,0.00935041,0.00485013,0.00900986,0.00877885,0,0,0,0,0,0,0,0,0
59,0.0123819,0.00966852,0,0,0,0,0,0.0222224,0.0190371,0.0167109,0.0054974,0,0,0.00191656,0,0.0210516,0.00260283,0.0406634,0.0164055,0.0176531,0.00656027,0.00549642,0.00561994,0.0030575,0.00380427,0.00463672,0.0127371,0.00673053,0.00738004,0.00565472,0.0137704,0.0297862,0.00257357,0.013583,0.00129313,0.013791,0.0120225,0.00958565,0.00653456,0.015463,0,0,0.00496205,0,0.0132093,0.00529442,0.0521379,0.0140881,0.014969,0.0137147,0.0023381,0.0238219,0.00616504,0.0278635,0.0119175,0.00517347,0.00637876,0.0111595,0.00218877,0.00503334,0.0109057,0.0119852,0.00939622,0.0048825,0.00906218,0.00848481,0,0,0,0,0,0,0,0,0
60,0.0121608,0.0097915,0,0,0,0,0,0.0228837,0.0189739,0.0170629,0.00541519,0,0,0.00159971,0,0.0211627,0.00241421,0.0406554,0.0166734,0.0174813,0.00682512,0.00498655,0.00541781,0.00310228,0.00397792,0.00496595,0.0129522,0.00701646,0.00767782,0.00578153,0.0136816,0.0306471,0.00240672,0.0135775,0.00125915,0.0168567,0.0119834,0.00988102,0.00617222,0.0154491,0,0,0.00492136,0,0.0132067,0.00531716,0.0526237,0.0134149,0.0150699,0.0137425,0.00245388,0.023806,0.00615534,0.0272064,0.0126305,0.0063668,0.00571035,0.0124469,0.00116857,0.00478612,0.0139439,0.0121582,0.00933307,0.00484499,0.00926037,0.00813576,0,0,0,0,0,0,0,0,0
61,0.0119185,0.00992711,0,0,0,0,0,0.0236148,0.018977,0.0174562,0.00538413,0,0,0.00133795,0,0.0212872,0.00226369,0.040745,0.0169901,0.0171,0.00699044,0.0044594,0.00527984,0.00324938,0.00403148,0.00525447,0.0130568,0.00737066,0.00801643,0.00607143,0.0135026,0.0314978,0.00235442,0.0135852,0.00123316,0.0201655,0.0119389,0.0102508,0.00566511,0.0154867,0,0,0.00491084,0,0.0131969,0.00530227,0.0533008,0.0122472,0.0151078,0.0134484,0.00284237,0.0238062,0.00619564,0.0268545,0.0136772,0.00762946,0.00594551,0.0138159,0.00283184,0.00538222,0.0178033,0.0123232,0.0091835,0.00474878,0.00951854,0.00803184,0,0,0,0,0,0,0,0,0
62,0.011841,0.0102049,0,0,0,0,0,0.0243846,0.0189824,0.0180445,0.00550496,0,0,0.00175362,0,0.0212823,0.00245665,0.0409013,0.0175205,0.0168398,0.00727765,0.00406711,0.00519654,0.00342944,0.00406879,0.00558937,0.0131471,0.00772821,0.00839521,0.00637402,0.013299,0.032461,0.00227427,0.0135562,0.00122355,0.0231763,0.0118926,0.0106211,0.00509718,0.015658,0,0,0.00494634,0,0.0131212,0.0050617,0.0540819,0.010974,0.0151177,0.0133032,0.00339615,0.0241585,0.00624707,0.0266113,0.0143176,0.00890649,0.00689713,0.0153704,0.00473412,0.00641622,0.0218595,0.0126817,0.00871729,0.00458248,0.00989059,0.00783602,0,0,0,0,0,0,0,0,0
63,0.0116969,0.010292,0,0,0,0,0,0.0255728,0.0189739,0.0186406,0.00556612,0,0,0.00156362,0,0.0213568,0.00230513,0.0410738,0.017994,0.0167835,0.00759196,0.00355409,0.00502834,0.00366257,0.00414512,0.00588879,0.013328,0.00803955,0.00867776,0.00663402,0.0130772,0.0338278,0.00225618,0.0135435,0.00120934,0.0255105,0.0118711,0.0109622,0.00468108,0.0157222,0,0,0.00487022,0,0.013115,0.00500217,0.0548157,0.00986539,0.0150743,0.0133357,0.00408338,0.0241545,0.00630727,0.0264279,0.014619,0.0101145,0.00807957,0.0168445,0.00634893,0.00756794,0.0250812,0.0125915,0.00854231,0.00454669,0.010037,0.00777692,0,0,0,0,0,0,0,0,0
64,0.0116488,0.0103464,0,0,0,0,0,0.0270249,0.0188947,0.0191678,0.00547973,0,0,0.0013894,0,0.0213619,0.00216815,0.0412047,0.0183168,0.0168223,0.00772594,0.00298621,0.00483593,0.00384758,0.00430426,0.00616303,0.0135967,0.00830442,0.0088969,0.0068748,0.0128501,0.0354725,0.00242401,0.0135239,0.00113335,0.0270035,0.0117689,0.0114268,0.00448446,0.0158228,0,0,0.00469385,0,0.013108,0.00478314,0.055433,0.00926238,0.0150075,0.0137776,0.00481897,0.0242264,0.0062852,0.0263047,0.0147503,0.0111674,0.00916808,0.0180848,0.00753769,0.00850325,0.0269511,0.0124748,0.00835394,0.00435812,0.0101714,0.00800352,0,0,0,0,0,0,0,0,0
