Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,LTHIP
24,0.0133944,0.0236756,0,0,0,0,0,0,0.0115861,0.0281011,0.00946555,0.00594782,0,0,0.00956287,0,0.0123238,0.00717942,0.0389745,0.0114794,0.0133203,0.00624068,0.00812042,0.00735358,0.00180831,0.00379671,0.00401412,0.00404559,0.00915843,0.00381728,0.0142105,0.0153059,0.00627002,0.0120821,0.00380903,0.0194754,0.0153715,0.0141649,0.0107477,0.0230789,0,0,0.036911,0,0.011666,0.0190597,0.061967,0.0215242,0.00954756,0.0137517,0.0125164,0.0412552,0.0101367,0.0348746,0.0178193,0.0132717,0.00808621,0.00382749,0.0115599,0.0159145,0.0272478,0.0344577,0.021742,0.0102013,0.0235536,0.0160519,0,0,0,0,0,0,0,0,0.0106324
25,0.0134542,0.0237133,0,0,0,0,0,0,0.0125313,0.0282517,0.00983784,0.00591714,0,0,0.00966754,0,0.0125787,0.00707269,0.0395062,0.0119836,0.0131185,0.00637039,0.00778111,0.00747208,0.00197476,0.00393482,0.00405257,0.00424513,0.00936502,0.00383901,0.0140422,0.0168298,0.00644695,0.0119573,0.00387918,0.0199276,0.0155462,0.0135682,0.0111101,0.0233446,0,0,0.0372833,0,0.0116751,0.0190451,0.0616462,0.0210395,0.00924667,0.0125642,0.0127526,0.0413498,0.00960287,0.0342983,0.0166085,0.0123986,0.00822412,0.00386533,0.011676,0.0160402,0.0285289,0.0347238,0.0216102,0.010165,0.0235209,0.0161385,0,0,0,0,0,0,0,0,0.0105339
26,0.0134786,0.023703,0,0,0,0,0,0,0.0140599,0.0282685,0.0105974,0.00609694,0,0,0.00986992,0,0.0126515,0.00722104,0.040033,0.0125698,0.0135726,0.00656483,0.00794885,0.0074223,0.00215391,0.00415228,0.00389353,0.00479108,0.00989266,0.00405591,0.014069,0.0190732,0.00674773,0.0120465,0.00405555,0.0202805,0.0156355,0.0128184,0.0113993,0.0235005,0,0,0.0375281,0,0.0116767,0.0188614,0.0613992,0.0204587,0.00917481,0.0112779,0.0130954,0.0413299,0.00893838,0.0336056,0.0152647,0.0112438,0.00826894,0.00374865,0.0115521,0.016148,0.0296111,0.0348535,0.0212066,0.010112,0.0234328,0.0161924,0,0,0,0,0,0,0,0,0.0113811
27,0.0135514,0.0236495,0,0,0,0,0,0,0.0144252,0.0283222,0.0111104,0.00601128,0,0,0.0108671,0,0.0122512,0.00790494,0.0403998,0.0128962,0.0130412,0.00581914,0.00749025,0.00729256,0.00275486,0.0039392,0.0036663,0.00507593,0.00984993,0.00416065,0.0139428,0.0195896,0.00717365,0.0122179,0.00443029,0.0206034,0.0159247,0.0118734,0.0115948,0.0237074,0,0,0.0375424,0,0.0114953,0.018526,0.0614389,0.0196496,0.00901448,0.0101862,0.0130878,0.0414078,0.00821144,0.0326814,0.0137521,0.0099406,0.00803315,0.00341129,0.0110456,0.0159904,0.0304465,0.0349086,0.0207022,0.00986306,0.0233063,0.0163341,0,0,0,0,0,0,0,0,0.011626
28,0.0138194,0.0238732,0,0,0,0,0,0,0.0147256,0.0284619,0.0116001,0.00610529,0,0,0.0113118,0,0.0121697,0.00815718,0.0405264,0.0132986,0.0125913,0.00509364,0.00719047,0.00759735,0.00334488,0.00361225,0.00355866,0.00540053,0.00974986,0.00420231,0.0137329,0.0199201,0.00735147,0.0123001,0.00444015,0.0207567,0.0160149,0.0105389,0.0116982,0.0242212,0,0,0.0386328,0,0.0117276,0.0191686,0.061642,0.0184291,0.00892897,0.00914911,0.0130904,0.0417679,0.00747108,0.031637,0.0120863,0.00855694,0.00761476,0.00299001,0.0103615,0.0155733,0.0308758,0.0356502,0.0212043,0.010063,0.0234826,0.0166751,0,0,0,0,0,0,0,0,0.0116568
29,0.00785818,0.0185699,0,0,0,0,0,0,0.0157238,0.0281947,0.0126489,0.00661085,0,0,0.0117858,0,0.0123872,0.00869034,0.0405968,0.0142598,0.012385,0.00441713,0.00807647,0.00761461,0.00285245,0.00335982,0.00358659,0.00554318,0.00990613,0.00425328,0.0134096,0.020984,0.00767997,0.0125364,0.00481375,0.0199393,0.0193553,0.00930249,0.0123629,0.015525,0,0,0.0196053,0,0.0154061,0.0143117,0.0620455,0.0172127,0.00852634,0.00822921,0.0142186,0.0335173,0.00672561,0.0305672,0.0103695,0.00738846,0.00721474,0.00282929,0.00975841,0.0151399,0.0302915,0.0238272,0.0178264,0.00771482,0.0181928,0.010425,0,0,0,0,0,0,0,0,0.0116564
30,0.0125909,0.0229114,0,0,0,0,0,0,0.0170439,0.0287039,0.0129854,0.00683175,0,0,0.011355,0,0.0123098,0.00829304,0.0403585,0.0145037,0.0127001,0.00428994,0.00752811,0.00836373,0.00209375,0.00328302,0.00339473,0.00601422,0.0103413,0.00459845,0.0133242,0.0228272,0.00736655,0.0123447,0.00442507,0.0199872,0.0166039,0.00713615,0.0122069,0.0227853,0,0,0.036811,0,0.0121981,0.0181208,0.0622376,0.0142277,0.00895113,0.00733916,0.0137305,0.0411046,0.0061902,0.0293754,0.00853491,0.00642302,0.00633454,0.00258582,0.00825274,0.0136632,0.0303621,0.0346713,0.0209483,0.00927583,0.0223547,0.015548,0,0,0,0,0,0,0,0,0.0117327
31,0.0133675,0.0236426,0,0,0,0,0,0,0.0182434,0.0286855,0.0137437,0.00709264,0,0,0.0113478,0,0.0122355,0.00835646,0.0402373,0.0151478,0.0128111,0.00384317,0.00767278,0.0084066,0.00219279,0.00329033,0.00328854,0.0064675,0.0107149,0.00483643,0.0131218,0.0244346,0.00716724,0.0123507,0.00439419,0.0191917,0.0162564,0.00514967,0.0125155,0.02391,0,0,0.0389777,0,0.0117595,0.0188797,0.0624453,0.0114556,0.00911887,0.00653883,0.01383,0.0418344,0.00570751,0.0281362,0.00680598,0.00582046,0.00547259,0.00302791,0.00676633,0.012043,0.0290906,0.0360016,0.0208117,0.00953858,0.022993,0.0162619,0,0,0,0,0,0,0,0,0.011888
32,0.0136748,0.0239506,0,0,0,0,0,0,0.0189697,0.0287202,0.0145667,0.00714902,0,0,0.0112964,0,0.0121995,0.00829957,0.0400971,0.0159234,0.0128394,0.00324122,0.00777953,0.00841558,0.00262186,0.00320603,0.0031359,0.00683556,0.0109104,0.00501191,0.0129532,0.0253456,0.00708248,0.0123413,0.00432663,0.0181859,0.0161115,0.0031661,0.0127115,0.0243926,0,0,0.0400411,0,0.0118776,0.0194652,0.062696,0.00852411,0.0092764,0.00599772,0.013728,0.0420985,0.00544837,0.0268633,0.00545081,0.00543996,0.00429221,0.0039628,0.00500706,0.00978596,0.0270726,0.0366881,0.0212489,0.00982787,0.0232286,0.0165123,0,0,0,0,0,0,0,0,0.0120494
33,0.0136524,0.0239651,0,0,0,0,0,0,0.0197651,0.0287101,0.0152993,0.0072001,0,0,0.0113675,0,0.0122254,0.0082704,0.0400204,0.0164885,0.0128302,0.00315523,0.00781855,0.00841467,0.00293888,0.00335686,0.0030192,0.00705292,0.0111732,0.0053367,0.0127156,0.0263988,0.00719756,0.0123665,0.00431469,0.0162834,0.0161154,0.00227419,0.0128762,0.0244469,0,0,0.0402799,0,0.0119807,0.0195441,0.0629148,0.00532964,0.0094188,0.00563024,0.0135287,0.0420778,0.0055096,0.0255826,0.00471709,0.00512776,0.00295851,0.00519203,0.00310732,0.00704583,0.0244014,0.0368269,0.0218692,0.00983739,0.023188,0.0164675,0,0,0,0,0,0,0,0,0.0121523
