Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,LTHIP
34,0.0135391,0.0239061,0,0,0,0,0,0,0.020494,0.0286539,0.0157418,0.00722433,0,0,0.0112982,0,0.0122371,0.00829417,0.0400091,0.0169448,0.0128544,0.00302694,0.00777833,0.00836337,0.00312947,0.00339798,0.00282193,0.0073629,0.0113221,0.00555633,0.0125556,0.0274017,0.00741664,0.012394,0.00434069,0.0135729,0.0161263,0.00331718,0.0129518,0.0243304,0,0,0.0405156,0,0.0120624,0.0195603,0.0630541,0.00262923,0.00956554,0.00550785,0.0133703,0.0419667,0.0057638,0.0243921,0.00471871,0.0046755,0.00209629,0.00673064,0.00182605,0.00432684,0.0209561,0.0371018,0.0223114,0.00986008,0.0229932,0.0163158,0,0,0,0,0,0,0,0,0.0122465
35,0.00773916,0.0185468,0,0,0,0,0,0,0.0212802,0.0283402,0.0165682,0.00732511,0,0,0.0117739,0,0.0121476,0.00880572,0.040243,0.0177312,0.0127368,0.00243512,0.00866812,0.00761332,0.00339994,0.00331883,0.00271377,0.00747599,0.0113956,0.00569603,0.0122672,0.0281183,0.00800834,0.0124586,0.00483925,0.0097666,0.0193504,0.0043981,0.0133914,0.0157503,0,0,0.021863,0,0.0154643,0.0150638,0.0634139,0.00324974,0.00935885,0.00585532,0.0141755,0.0336348,0.0060188,0.0233119,0.00545209,0.00432778,0.00319744,0.0086974,0.00322113,0.00395132,0.0158043,0.0253609,0.0182007,0.00766451,0.01767,0.0102085,0,0,0,0,0,0,0,0,0.0123256
36,0.0133243,0.0238981,0,0,0,0,0,0,0.0223455,0.0284141,0.0170631,0.00699639,0,0,0.0109783,0,0.0120936,0.0082494,0.0401681,0.0180318,0.0130112,0.0022979,0.00750862,0.00796859,0.00351354,0.00335597,0.00240511,0.0079385,0.0116503,0.00598069,0.012293,0.0293742,0.00780903,0.01236,0.00448715,0.00619271,0.0161487,0.00662798,0.0127191,0.0240824,0,0,0.0409521,0,0.0119917,0.0199157,0.063781,0.00698263,0.0098282,0.00566893,0.0131003,0.041804,0.00608465,0.0222485,0.00615214,0.00340726,0.00568109,0.010919,0.00618949,0.00708422,0.0101919,0.0376155,0.0227985,0.0100307,0.0228231,0.0160109,0,0,0,0,0,0,0,0,0.012397
37,0.0133936,0.0240332,0,0,0,0,0,0,0.0235392,0.0282937,0.0178086,0.00694527,0,0,0.010974,0,0.0120133,0.00820458,0.0402907,0.0186362,0.0129785,0.00214299,0.00765741,0.00776046,0.00366539,0.00352496,0.00233556,0.00815642,0.0118234,0.00634576,0.0120063,0.0307502,0.00787161,0.012367,0.00448933,0.00253124,0.0161275,0.00829048,0.0127264,0.0241783,0,0,0.0407718,0,0.0118317,0.0197579,0.0641278,0.0101528,0.0099868,0.0052776,0.013226,0.0417797,0.00653912,0.0211193,0.00740063,0.00321681,0.00826996,0.0132409,0.00883489,0.0105167,0.00351274,0.0375768,0.0223659,0.0101004,0.0229947,0.0159895,0,0,0,0,0,0,0,0,0.0125907
38,0.0133312,0.0240661,0,0,0,0,0,0,0.0246653,0.0283043,0.01868,0.00669894,0,0,0.010724,0,0.0120055,0.00803094,0.0404808,0.019325,0.0130124,0.00209838,0.00776978,0.00783135,0.00375437,0.00354668,0.00228424,0.00852008,0.0119791,0.0066178,0.0117569,0.032094,0.00788883,0.0123207,0.00440663,0.00520282,0.0161742,0.00999304,0.0125498,0.0241398,0,0,0.0409264,0,0.0113804,0.0195673,0.0645736,0.0131607,0.0100516,0.00495855,0.013421,0.0416304,0.00727477,0.0203008,0.00872362,0.00469795,0.0109736,0.0154402,0.0114671,0.0138904,0.00323457,0.0378948,0.0216465,0.00999044,0.0230984,0.0158304,0,0,0,0,0,0,0,0,0.0127868
39,0.0134791,0.0242375,0,0,0,0,0,0,0.0258371,0.0282936,0.0194007,0.00651796,0,0,0.0106776,0,0.0119272,0.00799048,0.0406732,0.0198018,0.0129457,0.00226333,0.00793142,0.00777611,0.00380072,0.00361814,0.00235355,0.0088929,0.0121029,0.00679271,0.0115039,0.0336229,0.00779986,0.0123121,0.00430947,0.00996504,0.0161454,0.011285,0.012447,0.0243597,0,0,0.0417435,0,0.0117535,0.0205781,0.0650911,0.0150052,0.0101414,0.0046483,0.0137144,0.0416811,0.00817566,0.0196206,0.00983858,0.00722889,0.0131754,0.0172844,0.0134812,0.0163977,0.00941667,0.0384196,0.0233835,0.010337,0.0234031,0.0158954,0,0,0,0,0,0,0,0,0.0130495
40,0.00747485,0.0187454,0,0,0,0,0,0,0.0264248,0.0281553,0.0200178,0.00617477,0,0,0.0111403,0,0.0119105,0.00845429,0.0412194,0.0206007,0.0126434,0.00229562,0.00886375,0.00766182,0.00394996,0.00335487,0.00275923,0.00908887,0.012029,0.00688024,0.0111368,0.0342693,0.00815302,0.0123407,0.00454806,0.0140562,0.0194704,0.0123235,0.0123568,0.015596,0,0,0.0235463,0,0.0153391,0.0161456,0.0657256,0.016091,0.00983514,0.00520005,0.0148453,0.0329025,0.00916815,0.0194489,0.0105469,0.00974218,0.0150608,0.0188818,0.0151168,0.0183553,0.0144427,0.0264756,0.0190915,0.00772593,0.0182646,0.0096321,0,0,0,0,0,0,0,0,0.0133849
41,0.013878,0.024508,0,0,0,0,0,0,0.0279078,0.0282191,0.0205548,0.005426,0,0,0.0108105,0,0.0121291,0.00818806,0.0414216,0.0209916,0.0130018,0.00229383,0.00779093,0.00822328,0.00386306,0.00340196,0.00289921,0.00941324,0.012589,0.00730504,0.0112474,0.0360579,0.00772931,0.0123537,0.00427227,0.0157174,0.0161921,0.0131296,0.011222,0.0250991,0,0,0.0428591,0,0.011606,0.0212148,0.0663735,0.0172085,0.00995562,0.00531535,0.0142563,0.0417332,0.0102019,0.0191736,0.011626,0.012086,0.0165636,0.0202974,0.0164446,0.0196832,0.016712,0.038917,0.023438,0.010444,0.0238943,0.016311,0,0,0,0,0,0,0,0,0.0134384
42,0.0141132,0.0246183,0,0,0,0,0,0,0.0289018,0.0279901,0.0210602,0.00493421,0,0,0.0108741,0,0.012194,0.00831692,0.0418815,0.0212901,0.0131482,0.00257655,0.00808663,0.00815419,0.00388076,0.00353747,0.00359511,0.00948689,0.0128617,0.00763193,0.0110857,0.0373806,0.00741101,0.0124199,0.00437619,0.016852,0.016091,0.0134664,0.0107845,0.0253898,0,0,0.0429083,0,0.0114995,0.0211359,0.0668145,0.0171329,0.00983143,0.00456292,0.0147776,0.0416829,0.0108334,0.019259,0.0121964,0.0131959,0.0168223,0.0213043,0.0165863,0.0192524,0.0175909,0.0387086,0.0236517,0.0103431,0.0240518,0.0165559,0,0,0,0,0,0,0,0,0.0136687
43,0.0141152,0.0245363,0,0,0,0,0,0,0.029884,0.027798,0.0215786,0.00449036,0,0,0.0106817,0,0.0122317,0.00814002,0.0423577,0.0215723,0.0133406,0.00302781,0.00832234,0.0081134,0.00389595,0.00380114,0.00397003,0.00955464,0.0129309,0.00774701,0.0108535,0.0387283,0.00712694,0.0123515,0.00418342,0.0163366,0.0159077,0.0137085,0.0103936,0.0252573,0,0,0.0430489,0,0.0113767,0.0210508,0.0670639,0.016678,0.0095727,0.00411782,0.0152252,0.0413792,0.0111983,0.0195431,0.0119714,0.013428,0.0166553,0.0217507,0.0163976,0.0183211,0.016271,0.0385453,0.0236593,0.0103517,0.0239843,0.0165238,0,0,0,0,0,0,0,0,0.0139413
44,0.0141553,0.024465,0,0,0,0,0,0,0.0305451,0.0276287,0.0219846,0.00406253,0,0,0.0104013,0,0.0122405,0.00788706,0.0428225,0.0217323,0.0135482,0.00315187,0.00831079,0.00799601,0.00395898,0.00405576,0.00383384,0.00972971,0.0131424,0.00796923,0.0106923,0.0396271,0.00679826,0.0122323,0.00397902,0.0145823,0.0157766,0.013763,0.00999263,0.0251474,0,0,0.0429193,0,0.0113314,0.020986,0.067134,0.0162767,0.00917405,0.00409653,0.0154531,0.0410736,0.0113288,0.0200425,0.0111049,0.012737,0.0162415,0.0217123,0.0160922,0.017313,0.0137635,0.0382639,0.0237278,0.0104065,0.0239999,0.016504,0,0,0,0,0,0,0,0,0.014113
45,0.0142076,0.0243307,0,0,0,0,0,0,0.0310869,0.0274653,0.0220172,0.00374141,0,0,0.010129,0,0.0121512,0.00773445,0.0432494,0.0219282,0.0137904,0.00295607,0.00817794,0.00788864,0.00403174,0.00427089,0.00333237,0.00996475,0.0132716,0.00822905,0.010524,0.0403344,0.00661797,0.0120901,0.00387694,0.012125,0.0157059,0.013504,0.00973564,0.0249979,0,0,0.0427842,0,0.011279,0.0210899,0.0669988,0.0157321,0.00880065,0.0039068,0.0155184,0.0406757,0.0105703,0.0205938,0.0103661,0.0113644,0.0155107,0.02126,0.0154853,0.0161047,0.0110153,0.0380339,0.0238776,0.0105119,0.0240329,0.0164787,0,0,0,0,0,0,0,0,0.0141697
46,0.00632263,0.0165855,0,0,0,0,0,0,0.030946,0.0273458,0.0220956,0.0036253,0,0,0.0110768,0,0.0115994,0.00823804,0.043771,0.0223329,0.013799,0.002939,0.0089709,0.00689929,0.00400791,0.00394378,0.00330156,0.0104111,0.0134986,0.00832377,0.0103657,0.0401981,0.00704275,0.0119138,0.00407826,0.00936777,0.0197027,0.012689,0.0102019,0.0129031,0,0,0.0179944,0,0.0164461,0.0162362,0.066641,0.014572,0.00823765,0.00349831,0.0162736,0.0263427,0.00921618,0.0210121,0.0100325,0.00957168,0.0141975,0.0202821,0.0142526,0.0144364,0.00859562,0.0208003,0.0170177,0.00779593,0.0166596,0.00813429,0,0,0,0,0,0,0,0,0.0138984
47,0.0131534,0.0227516,0,0,0,0,0,0,0.0314756,0.0271794,0.0218755,0.00379457,0,0,0.0100411,0,0.0123489,0.00784352,0.0436775,0.0221431,0.0139512,0.00263506,0.00760462,0.00832758,0.00428341,0.00448738,0.00331016,0.0105563,0.0134321,0.00825195,0.010372,0.0410975,0.00747883,0.0120865,0.00396156,0.00681256,0.01633,0.0116565,0.010018,0.0233849,0,0,0.0390323,0,0.0114767,0.0198167,0.0660963,0.0135359,0.00838806,0.0028737,0.0152273,0.0387839,0.00833691,0.0215137,0.00923931,0.00782568,0.0128446,0.0191104,0.0130031,0.0130106,0.00689249,0.0359959,0.0230743,0.00975735,0.0227517,0.0155661,0,0,0,0,0,0,0,0,0.013762
48,0.0130679,0.0221958,0,0,0,0,0,0,0.0316547,0.0270574,0.0215328,0.00412419,0,0,0.0101226,0,0.0123342,0.00784939,0.0436513,0.0218579,0.0139873,0.00248146,0.0071713,0.00811844,0.0043852,0.00473869,0.00297827,0.0107525,0.0133699,0.00822817,0.0103409,0.0416447,0.00758438,0.0120537,0.00396195,0.00432582,0.0165023,0.0100954,0.0104317,0.0232264,0,0,0.0387318,0,0.0115813,0.0199236,0.065433,0.0117118,0.00819969,0.00212028,0.0148922,0.0380624,0.00749564,0.0219051,0.00822771,0.00607715,0.0112692,0.0176654,0.0114896,0.0114106,0.00632399,0.0357631,0.0234549,0.00978387,0.0224354,0.0156132,0,0,0,0,0,0,0,0,0.0134804
49,0.0113494,0.0202397,0,0,0,0,0,0,0.0318861,0.0270283,0.0212988,0.00439215,0,0,0.0102395,0,0.0123251,0.00787542,0.0436467,0.0215884,0.0140013,0.00260299,0.00684654,0.00799777,0.00451986,0.00487064,0.00295389,0.0109627,0.0135221,0.00827447,0.0102414,0.0423298,0.00779523,0.0120703,0.00389024,0.00242184,0.0173824,0.00849085,0.0109987,0.0209932,0,0,0.034285,0,0.01264,0.0187936,0.064699,0.00938241,0.00789037,0.00155263,0.0146566,0.0354204,0.00675196,0.0222278,0.00757726,0.0045016,0.00979008,0.0161502,0.00992055,0.00986068,0.00729882,0.0326788,0.0234522,0.00897692,0.0206401,0.014139,0,0,0,0,0,0,0,0,0.0130314
50,0.00993085,0.0186085,0,0,0,0,0,0,0.0323238,0.026834,0.021509,0.00444993,0,0,0.0102917,0,0.0123713,0.00781693,0.0437426,0.0218277,0.0142787,0.00259098,0.00653345,0.00797037,0.00468909,0.00487017,0.00282344,0.0109835,0.0137289,0.00820253,0.0099613,0.0431887,0.00814562,0.0122625,0.00373497,0.00302268,0.0182067,0.00802563,0.0113564,0.0188952,0,0,0.0289424,0,0.0138882,0.0176288,0.0641563,0.00909769,0.00766185,0.00176548,0.0144474,0.0323614,0.00629869,0.0223681,0.00689682,0.00324396,0.0087197,0.0150818,0.00851135,0.0084269,0.00970319,0.0287551,0.0225745,0.00811606,0.018846,0.0127304,0,0,0,0,0,0,0,0,0.0126977
51,0.00665455,0.015718,0,0,0,0,0,0,0.0321587,0.0266365,0.0207522,0.00442037,0,0,0.00978837,0,0.0119364,0.00743716,0.0439339,0.0209977,0.0146048,0.00324251,0.00654568,0.00646926,0.00433199,0.00471707,0.00258598,0.011399,0.0138945,0.00832414,0.0101079,0.0433438,0.00724263,0.0120176,0.00390446,0.0045605,0.0193111,0.0103301,0.0117915,0.0147527,0,0,0.0198635,0,0.0156476,0.0164586,0.063709,0.0126644,0.00735871,0.00265451,0.0147353,0.0259194,0.00575224,0.0225731,0.00667724,0.00268606,0.00908561,0.0154306,0.00828647,0.00804998,0.0125419,0.0215263,0.01961,0.00748066,0.0160224,0.00987051,0,0,0,0,0,0,0,0,0.0124285
52,0.00576212,0.0148726,0,0,0,0,0,0,0.0319381,0.0262594,0.0198118,0.00434992,0,0,0.00897522,0,0.0118216,0.00700432,0.0442554,0.0202012,0.0151685,0.00365255,0.00646551,0.00557326,0.00396689,0.00461725,0.00250121,0.011292,0.0134012,0.00813549,0.0101792,0.0432655,0.00666637,0.0119626,0.00390853,0.00629531,0.0194421,0.0121713,0.0117146,0.0135466,0,0,0.0171685,0,0.0161398,0.0161956,0.0634232,0.0157011,0.00747206,0.00426625,0.0148791,0.0233669,0.00506982,0.0225314,0.00747336,0.00346649,0.0101285,0.0162126,0.00898784,0.00932277,0.0145956,0.0190173,0.0181037,0.00747161,0.0151537,0.00908088,0,0,0,0,0,0,0,0,0.0121537
53,0.0114907,0.0195911,0,0,0,0,0,0,0.0317265,0.0259706,0.0187674,0.00423868,0,0,0.00793444,0,0.0128531,0.0063061,0.0445672,0.0193127,0.0157477,0.00422203,0.00558894,0.00769997,0.00369826,0.00475319,0.00254009,0.0110842,0.0129344,0.00790269,0.0102843,0.043004,0.00783632,0.0121697,0.0034269,0.00718358,0.0169595,0.0118708,0.0109192,0.0216833,0,0,0.0331003,0,0.0123308,0.0188471,0.062875,0.0171317,0.0079075,0.00525034,0.0142208,0.0334017,0.00444874,0.0223706,0.00820851,0.00471342,0.0100945,0.0163368,0.00933365,0.00962896,0.0137896,0.0307246,0.0234707,0.00910429,0.0199058,0.0151588,0,0,0,0,0,0,0,0,0.0116941
54,0.0114546,0.0190327,0,0,0,0,0,0,0.0306577,0.0255806,0.0178424,0.00403304,0,0,0.00701209,0,0.0128361,0.00572379,0.0449923,0.0184768,0.0159231,0.00503276,0.00512247,0.00731147,0.00329695,0.00463095,0.0028433,0.0108688,0.0125013,0.00774633,0.010377,0.0419048,0.00728474,0.0121235,0.00334939,0.00679358,0.0168695,0.0108586,0.0103708,0.0215502,0,0,0.0318802,0,0.012392,0.0183077,0.0619298,0.0170017,0.00825486,0.0047657,0.0138474,0.0323405,0.00408812,0.0224246,0.00804081,0.00553812,0.00900969,0.0153678,0.00873311,0.00862136,0.0115564,0.0296429,0.0232665,0.00891448,0.0193397,0.0152983,0,0,0,0,0,0,0,0,0.011213
55,0.00985278,0.016924,0,0,0,0,0,0,0.0292329,0.0252947,0.0166146,0.00392594,0,0,0.00669091,0,0.0129425,0.00536272,0.0453563,0.0174198,0.0157429,0.0056583,0.00475174,0.00741765,0.00284598,0.00466555,0.00317558,0.0104934,0.0119718,0.00752666,0.0105228,0.0403229,0.0071343,0.0120903,0.0032157,0.00705651,0.0174611,0.00962429,0.0101369,0.0192352,0,0,0.0254278,0,0.0135135,0.0162303,0.0608791,0.0155318,0.00852545,0.00339483,0.0134875,0.0287083,0.00415915,0.0231061,0.00716703,0.00549111,0.00754432,0.0137076,0.00745694,0.00735208,0.0111456,0.024696,0.0219728,0.00778293,0.0172501,0.0139014,0,0,0,0,0,0,0,0,0.0107243
56,0.00841226,0.0149424,0,0,0,0,0,0,0.0274261,0.0249231,0.0151994,0.0037962,0,0,0.00536879,0,0.0125673,0.00494917,0.0456524,0.0161776,0.0155952,0.00653725,0.00442459,0.00592313,0.00241583,0.0048107,0.00366527,0.00997652,0.011266,0.00717223,0.0108132,0.0381628,0.00515965,0.0120256,0.00348821,0.00781208,0.0180105,0.00813427,0.0101018,0.017038,0,0,0.0197815,0,0.0145443,0.0148116,0.0600472,0.0140389,0.00886672,0.00356485,0.0130016,0.024904,0.00436698,0.0245555,0.00569718,0.00462405,0.00606959,0.0121556,0.00582905,0.00597867,0.0137127,0.0202236,0.0205492,0.00692808,0.0152392,0.0125978,0,0,0,0,0,0,0,0,0.0101178
57,0.00874347,0.0146643,0,0,0,0,0,0,0.0253986,0.0245759,0.0134551,0.00364692,0,0,0.00497008,0,0.0127113,0.00469986,0.045847,0.014724,0.0155194,0.00776794,0.00412368,0.00570629,0.00217119,0.00502699,0.00425766,0.00936933,0.010478,0.00671102,0.01121,0.0357331,0.00445995,0.0120113,0.00342298,0.0109674,0.0178814,0.00686834,0.01018,0.0173838,0,0,0.0199292,0,0.0144408,0.0148344,0.0593739,0.0135391,0.00918521,0.0038241,0.0125455,0.0246049,0.00426955,0.0264915,0.00385682,0.0037691,0.0051411,0.0108632,0.004467,0.00545543,0.0178214,0.020257,0.0206889,0.00694022,0.0148474,0.0130993,0,0,0,0,0,0,0,0,0.0093067
58,0.00667281,0.0126884,0,0,0,0,0,0,0.0230413,0.0241716,0.011563,0.00353703,0,0,0.00445699,0,0.0129056,0.00440168,0.0460585,0.0132186,0.0154869,0.00903371,0.00418449,0.00511665,0.00207879,0.00509445,0.00501553,0.00868593,0.00954704,0.00629265,0.0116539,0.0330793,0.00378566,0.0120263,0.00346305,0.014663,0.0186409,0.00687306,0.010378,0.0149432,0,0,0.013284,0,0.0158159,0.0137176,0.0585253,0.0142747,0.00926717,0.00331482,0.0124427,0.020345,0.00408408,0.0282948,0.00255924,0.00377269,0.00499183,0.00980515,0.00385135,0.0059801,0.0212532,0.0153435,0.017451,0.00659251,0.0127997,0.0114739,0,0,0,0,0,0,0,0,0.00838873
59,0.00762113,0.0132248,0,0,0,0,0,0,0.0205859,0.0238999,0.00965058,0.00360869,0,0,0.00503156,0,0.0133992,0.00414089,0.0462831,0.0119674,0.0154573,0.0105514,0.00384613,0.005998,0.00218959,0.0051974,0.00592801,0.00784101,0.0082212,0.00586439,0.0123336,0.0303559,0.0048801,0.012094,0.00321142,0.0157119,0.0183381,0.00723598,0.0102439,0.0161027,0,0,0.0139162,0,0.0153391,0.013385,0.0574863,0.014787,0.00917699,0.00369101,0.0121732,0.0214514,0.00412976,0.0293049,0.00217036,0.00440149,0.0048875,0.0091691,0.00363385,0.00611519,0.022153,0.0160393,0.018464,0.00655823,0.0133562,0.0124909,0,0,0,0,0,0,0,0,0.00765107
60,0.00754153,0.0129644,0,0,0,0,0,0,0.0179682,0.023621,0.00814584,0.00361952,0,0,0.00454568,0,0.0134108,0.00369737,0.0467419,0.0112813,0.0153169,0.0121011,0.00356099,0.00556897,0.00241316,0.00534493,0.00681553,0.00677245,0.00676836,0.00559908,0.0131882,0.0275132,0.00493901,0.0120721,0.00326276,0.0155244,0.0183891,0.00666567,0.0102001,0.0159947,0,0,0.0131702,0,0.0154652,0.0132429,0.056456,0.013816,0.00913462,0.0045286,0.0120369,0.0209315,0.00421177,0.029272,0.00258095,0.00525262,0.0042325,0.00906707,0.00330863,0.00525384,0.0210666,0.0154388,0.0182674,0.00658846,0.0130587,0.0125337,0,0,0,0,0,0,0,0,0.00695873
61,0.00767531,0.0127446,0,0,0,0,0,0,0.0153146,0.0233894,0.00807196,0.00346078,0,0,0.00478006,0,0.0135715,0.00347999,0.0473733,0.011814,0.0153288,0.0132347,0.00338127,0.00557602,0.00275968,0.00536401,0.00760452,0.00567475,0.0055202,0.00578707,0.0140607,0.0246142,0.0057162,0.0121408,0.00327871,0.015958,0.0184109,0.00545264,0.0101622,0.0162258,0,0,0.0131072,0,0.0154765,0.0133299,0.0558503,0.0115127,0.00930112,0.00467976,0.0118385,0.020788,0.00410216,0.0285406,0.00333394,0.00584623,0.00303444,0.00929181,0.00265278,0.00353511,0.0195937,0.0152495,0.018445,0.00665974,0.0127794,0.0128063,0,0,0,0,0,0,0,0,0.00683767
62,0.009429,0.0137063,0,0,0,0,0,0,0.0131424,0.0232796,0.00995941,0.00352686,0,0,0.00610991,0,0.0139942,0.00375441,0.0478829,0.013559,0.0150994,0.0135557,0.00327911,0.00626014,0.00309712,0.00505867,0.00803069,0.00472401,0.00499213,0.00625745,0.0148828,0.0225675,0.00717912,0.0122924,0.00318797,0.0164394,0.0179641,0.00473296,0.0103213,0.0183939,0,0,0.0179022,0,0.0145823,0.0144418,0.0557949,0.00908484,0.00968055,0.00426792,0.0116422,0.0232208,0.00384597,0.0278315,0.00361014,0.00620357,0.00208155,0.00944148,0.00207162,0.00196932,0.0187661,0.0185076,0.0204845,0.0071484,0.0137651,0.0145561,0,0,0,0,0,0,0,0,0.00665706
63,0.00741943,0.0118035,0,0,0,0,0,0,0.0136171,0.0231524,0.013141,0.00386825,0,0,0.00396645,0,0.0136026,0.00349335,0.048293,0.0161593,0.01464,0.0129501,0.00364417,0.00387298,0.00334072,0.00453581,0.00819862,0.00433742,0.00581086,0.00704908,0.0155989,0.0225309,0.00565648,0.0122192,0.00371697,0.0161881,0.0187719,0.00473974,0.0108695,0.0160555,0,0,0.0128398,0,0.015926,0.0139661,0.0562782,0.0077362,0.0101199,0.00404801,0.0116928,0.0194327,0.00351971,0.0275825,0.00346563,0.00651048,0.00197877,0.00919278,0.00204704,0.00142083,0.0174203,0.0145979,0.0178294,0.00684708,0.0117672,0.0130033,0,0,0,0,0,0,0,0,0.00653614
64,0.0113862,0.0147707,0,0,0,0,0,0,0.0167106,0.0232537,0.0169607,0.00454413,0,0,0.00598092,0,0.0139349,0.0038044,0.0483403,0.0196163,0.0142502,0.0116637,0.00358974,0.00551756,0.00348897,0.00424916,0.00809911,0.00462703,0.00766439,0.00790381,0.0162703,0.0251062,0.00734583,0.0122106,0.00330896,0.0153758,0.0175913,0.0044981,0.0112663,0.0207585,0,0,0.024625,0,0.0137151,0.016767,0.0568063,0.00654736,0.010497,0.00454162,0.0115162,0.0255934,0.00354616,0.0277683,0.00311723,0.00668663,0.00217003,0.00872933,0.00201242,0.00156448,0.0164264,0.0231105,0.022358,0.00792433,0.014852,0.0166856,0,0,0,0,0,0,0,0,0.0065687
65,0.0112426,0.0145403,0,0,0,0,0,0,0.0215104,0.0232981,0.020602,0.00545971,0,0,0.00622485,0,0.0139122,0.00391763,0.0482608,0.023429,0.0139068,0.0110274,0.00372922,0.00539365,0.00357898,0.00423812,0.00783362,0.00550326,0.0100064,0.00892959,0.0168545,0.0292738,0.00732008,0.0121073,0.00326476,0.0147422,0.0177608,0.00410264,0.0116267,0.020727,0,0,0.0248184,0,0.0138647,0.0169747,0.0568242,0.00548329,0.0106257,0.00506553,0.0115274,0.0250512,0.00385874,0.0281801,0.00286246,0.00682558,0.00233198,0.00830151,0.0020882,0.00229428,0.0159857,0.0230665,0.022368,0.00778825,0.0146208,0.0168017,0,0,0,0,0,0,0,0,0.0067291
66,0.0110657,0.0143243,0,0,0,0,0,0,0.0265061,0.0232569,0.0236292,0.00620361,0,0,0.00658863,0,0.0139176,0.00412564,0.0480143,0.0267397,0.013659,0.00994681,0.00381255,0.00541253,0.00383218,0.00452659,0.00766306,0.00678352,0.0123359,0.0100351,0.0174262,0.0335157,0.00738564,0.0120898,0.00323758,0.0140152,0.0179347,0.00395204,0.0118231,0.0207265,0,0,0.024982,0,0.0140223,0.017132,0.0563682,0.00471913,0.0105831,0.00525141,0.0114713,0.0244516,0.0040717,0.0285395,0.00301709,0.00706795,0.00240565,0.00795459,0.00233563,0.00291702,0.01534,0.0229801,0.0222854,0.0076345,0.0144182,0.0168449,0,0,0,0,0,0,0,0,0.00701959
67,0.0109435,0.0141333,0,0,0,0,0,0,0.0314469,0.0232575,0.0258924,0.00688313,0,0,0.00695938,0,0.0140618,0.00434603,0.0477279,0.0282576,0.0134463,0.00953245,0.00407596,0.00544992,0.00419712,0.00504672,0.00762466,0.00818804,0.0144536,0.011032,0.0180666,0.0377331,0.0075804,0.0121138,0.00320634,0.0138006,0.0181374,0.00389259,0.0121382,0.0207712,0,0,0.0249705,0,0.0142182,0.0172405,0.0557276,0.00414508,0.0104991,0.00522034,0.0115312,0.0239557,0.00412066,0.028772,0.0035692,0.00746594,0.00219032,0.00782678,0.00226005,0.00272977,0.0147093,0.0227615,0.0221172,0.00748704,0.014219,0.0168263,0,0,0,0,0,0,0,0,0.00738151
68,0.0117668,0.014719,0,0,0,0,0,0,0.0365686,0.0232422,0.0275273,0.00763477,0,0,0.00723047,0,0.0141686,0.0045,0.047413,0.0275354,0.0132092,0.00947896,0.00455072,0.00548018,0.004404,0.00578802,0.00742877,0.00982384,0.0163367,0.0118777,0.0186946,0.0429194,0.00774095,0.0121461,0.00311757,0.0142369,0.0180159,0.00367488,0.0124914,0.0219022,0,0,0.0275957,0,0.0138974,0.0181957,0.0552581,0.00338809,0.0105336,0.00504294,0.0115171,0.0249567,0.00418493,0.0288659,0.00388176,0.00782603,0.00158487,0.00793111,0.00163589,0.00179621,0.0146563,0.0245308,0.0227656,0.00772028,0.01469,0.0175574,0,0,0,0,0,0,0,0,0.00764182
69,0.00758733,0.0111755,0,0,0,0,0,0,0.0420112,0.0231516,0.0290471,0.00851974,0,0,0.00572815,0,0.0136232,0.00403855,0.0472317,0.026418,0.0128957,0.00984257,0.0057442,0.00310426,0.00434068,0.00680868,0.0070814,0.0116148,0.0179855,0.0124631,0.0192353,0.0490838,0.00601228,0.0118511,0.00353982,0.0153276,0.0194212,0.00362634,0.0129227,0.0170848,0,0,0.0177267,0,0.0164475,0.0167013,0.0549915,0.0031078,0.01071,0.00480673,0.0120206,0.0180393,0.0042902,0.0289519,0.00414811,0.00802004,0.000740255,0.00809456,0.000875305,0.00159882,0.0151884,0.0169099,0.0182934,0.00729748,0.0107901,0.0139773,0,0,0,0,0,0,0,0,0.0076893
70,0.0102141,0.0133802,0,0,0,0,0,0,0.0475788,0.0233162,0.0309682,0.00927815,0,0,0.00616837,0,0.0140951,0.00367007,0.0468903,0.0269834,0.0127294,0.0100022,0.00649221,0.00457759,0.00418373,0.00788728,0.00634211,0.0135711,0.0200045,0.0130982,0.0195642,0.0557412,0.00658557,0.0116671,0.00347071,0.0156369,0.0186463,0.00367255,0.0127631,0.0201636,0,0,0.0234002,0,0.0149527,0.0175581,0.0551724,0.00378178,0.0110074,0.00510977,0.0121205,0.022444,0.00417327,0.0290844,0.00431973,0.0079261,0.00093614,0.0079385,0.00115279,0.00246255,0.0151741,0.0212682,0.0217122,0.00713865,0.012958,0.0162482,0,0,0,0,0,0,0,0,0.00758452
