Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x75,x78,x79,x72
All Timesteps RMSE,0.0106626,0.00688977,0,0,0,0,0,0,0.0417729,0.0194267,0.0298086,0.0112153,0,0,0.00988375,0,0.0150886,0.00586499,0.0399158,0.033623,0.0109247,0.027825,0.0167609,0.0104971,0.0124331,0.0212562,0.0164788,0.0153559,0.00919605,0.0140314,0.00909457,0.0190695,0.0462488,0.00801592,0.0128732,0.003785,0.0169432,0.0163404,0.0102874,0.0110508,0.0103295,0,0,0.0209696,0,0.00992267,0.014578,0.05888,0.0151317,0.0161207,0.0112675,0.013447,0.0180547,0.00557664,0.0315146,0.0106802,0.00920705,0.00819664,0.0106091,0.00852782,0.0126832,0.0218008,0.0187833,0.0122006,0.00902735,0.00630182,0.0106487,0,0,0,0,0,0,0,0,0
0,0.00897746,0.0108979,0,0,0,0,0,0,0.0179851,0.0206898,0.0299502,0.00900193,0,0,0.00818655,0,0.0129313,0.00574869,0.0405196,0.0339329,0.0127138,0.0179566,0.0098263,0.0112357,0.0117866,0.0196149,0.0111038,0.0110919,0.00718706,0.00904154,0.0085866,0.0164437,0.0106916,0.00792096,0.0130007,0.00502177,0.010087,0.0175898,0.00603626,0.0171987,0.00910899,0,0,0.0181882,0,0.00961495,0.012082,0.0479484,0.00814991,0.0096341,0.0145988,0.0177052,0.0119259,0.00473241,0.0282814,0.0108292,0.0104941,0.00528563,0.00854804,0.00292158,0.00629034,0.0160147,0.0160355,0.0129375,0.00935588,0.0113745,0.0114182,0,0,0,0,0,0,0,0,0
1,0.0091944,0.0101084,0,0,0,0,0,0,0.0169618,0.0206181,0.0316857,0.00949886,0,0,0.00879691,0,0.0127347,0.005679,0.0407642,0.032975,0.0130258,0.0179973,0.00976823,0.0111094,0.0118298,0.0188003,0.0110686,0.0115205,0.00684868,0.00849999,0.00826274,0.0168061,0.00692772,0.00821628,0.0126904,0.00482464,0.0112642,0.017539,0.00441011,0.0172231,0.00940128,0,0,0.0187892,0,0.00959964,0.0123639,0.0471679,0.00718326,0.00962832,0.0134336,0.0175289,0.0124636,0.0046808,0.0276431,0.0111511,0.010523,0.00395585,0.00896475,0.00322969,0.00578559,0.0148803,0.0165867,0.0138921,0.0094455,0.0104117,0.0115474,0,0,0,0,0,0,0,0,0
2,0.00940938,0.0093772,0,0,0,0,0,0,0.0190266,0.0207193,0.0334365,0.0102957,0,0,0.00997094,0,0.0129179,0.00604054,0.0409103,0.033587,0.0129231,0.0180213,0.00971459,0.0112566,0.0119699,0.0171469,0.0109495,0.0115132,0.00620736,0.00808888,0.00809007,0.0173118,0.00862594,0.00888545,0.0128622,0.00469904,0.0119893,0.0175189,0.00381102,0.0173159,0.00980649,0,0,0.0194854,0,0.0095694,0.0126722,0.0468982,0.00529789,0.00976798,0.0129861,0.0173433,0.012973,0.00446576,0.0273525,0.0112041,0.0102322,0.00295752,0.00914243,0.00329597,0.00523628,0.0147234,0.0171445,0.0133353,0.0095298,0.0093759,0.0117602,0,0,0,0,0,0,0,0,0
3,0.00956862,0.00869456,0,0,0,0,0,0,0.0231372,0.0207663,0.0347183,0.0111735,0,0,0.011233,0,0.0128928,0.00647956,0.0411382,0.0348438,0.0126671,0.0178176,0.00983293,0.0114274,0.0114892,0.0148894,0.0106192,0.0113927,0.0055544,0.00797335,0.00795714,0.017871,0.0146762,0.00954936,0.0128933,0.00461151,0.0123211,0.0175631,0.00359582,0.0175,0.0101483,0,0,0.0203085,0,0.00956984,0.0130306,0.0470326,0.00476009,0.00996927,0.0126525,0.0173227,0.0134366,0.00439626,0.0275584,0.0109145,0.00988793,0.00236395,0.00907198,0.00286683,0.00420644,0.0144043,0.0177041,0.0131998,0.0095646,0.00833454,0.0119525,0,0,0,0,0,0,0,0,0
4,0.00967805,0.00813721,0,0,0,0,0,0,0.0272551,0.0209062,0.0352283,0.012006,0,0,0.0124301,0,0.0128965,0.00708138,0.0415069,0.0357116,0.0123523,0.0169739,0.0101781,0.0114492,0.0107874,0.0123949,0.0102817,0.0115914,0.00515524,0.00805437,0.00780175,0.0184967,0.021502,0.0101602,0.0129743,0.00446193,0.0121122,0.0176062,0.00353863,0.0175768,0.0104715,0,0,0.0211316,0,0.0095601,0.0133427,0.0474244,0.00434647,0.0100888,0.0118288,0.0175332,0.0137542,0.00488448,0.0283265,0.0103618,0.00993897,0.00215339,0.00881927,0.002031,0.00304259,0.013653,0.0182712,0.0136708,0.009484,0.00759019,0.0121066,0,0,0,0,0,0,0,0,0
5,0.00965193,0.00764954,0,0,0,0,0,0,0.030647,0.021042,0.0349283,0.0128915,0,0,0.0133192,0,0.0128138,0.00761087,0.0418847,0.0355715,0.0118586,0.0154721,0.0107746,0.0113451,0.0103237,0.0100384,0.0100276,0.0120175,0.00485307,0.00831684,0.00764734,0.019146,0.0285981,0.0105385,0.0128817,0.00436061,0.0117294,0.0176933,0.00373437,0.0176351,0.0108521,0,0,0.0220847,0,0.00956302,0.0136516,0.0478326,0.00382902,0.00998559,0.011142,0.0179752,0.0139694,0.00545306,0.0291594,0.00974981,0.0100436,0.00239317,0.00845143,0.00114615,0.00273523,0.0130369,0.0188769,0.0142859,0.00925122,0.00694537,0.0123026,0,0,0,0,0,0,0,0,0
6,0.00967835,0.00734723,0,0,0,0,0,0,0.0348928,0.0212307,0.0337773,0.0139653,0,0,0.014153,0,0.012789,0.00820495,0.0422158,0.0341793,0.0115606,0.013839,0.0118391,0.0113491,0.00971719,0.00830947,0.00977775,0.0123192,0.00463378,0.00805483,0.00749721,0.0197886,0.0361683,0.010874,0.0128646,0.00432826,0.0114101,0.0177782,0.00400315,0.0178458,0.0113221,0,0,0.0231062,0,0.00960637,0.0139899,0.0479604,0.00357463,0.00986392,0.0107145,0.0186066,0.0140975,0.00579182,0.0297397,0.0094227,0.0101042,0.00276511,0.0081899,0.000803414,0.00306647,0.012537,0.0194848,0.014452,0.0092449,0.00677614,0.0125526,0,0,0,0,0,0,0,0,0
7,0.00968808,0.0070838,0,0,0,0,0,0,0.0405084,0.0214551,0.0324591,0.0151204,0,0,0.0147262,0,0.0126832,0.00823047,0.0423587,0.0321928,0.0112785,0.0124145,0.0132797,0.0111943,0.00866947,0.00695621,0.00906898,0.0121099,0.00430444,0.00763014,0.00754083,0.0202841,0.0447231,0.0109614,0.0126543,0.00429616,0.0111957,0.0177692,0.00386259,0.0178625,0.0117286,0,0,0.0241358,0,0.00964136,0.0144124,0.0479066,0.00299857,0.00982132,0.0100395,0.0191951,0.0144244,0.00552986,0.0299543,0.00974079,0.0102785,0.00257215,0.00810189,0.000743138,0.00281962,0.0119278,0.0202177,0.0146026,0.00925285,0.00660109,0.0127437,0,0,0,0,0,0,0,0,0
8,0.00959823,0.00666062,0,0,0,0,0,0,0.0466228,0.0217917,0.0319002,0.0158607,0,0,0.0152313,0,0.0124687,0.0083717,0.0421366,0.0320028,0.0106944,0.0103919,0.0144255,0.0109044,0.00747988,0.00502065,0.00779109,0.0111886,0.00356535,0.00820697,0.00786681,0.0204222,0.0540372,0.0109931,0.0125445,0.00422708,0.011182,0.0177721,0.0032001,0.0174651,0.0118979,0,0,0.0250963,0,0.00969294,0.0148183,0.0479633,0.00182304,0.00988608,0.00822515,0.0192546,0.0149069,0.00478302,0.0299026,0.0110286,0.0110945,0.00172898,0.00814022,0.00126036,0.00231624,0.0111884,0.0209281,0.0145395,0.00910337,0.00631605,0.0127305,0,0,0,0,0,0,0,0,0
