Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,x74,
1402,0,0,0,0,0,0,0.0145644,0.0404139,0,0,0,0.0512252,0,0.0373902,0.0322908,0,0,0.0121604,0,0,0.0497137,0.0373783,0.0383759,0.0192252,0.0260919,0.0344329,0.0329055,0.032533,0.0330907,0.0345562,0.0324209,0.0378274,0.0343277,0.0260542,0.0358496,0.0140832,0.0532991,0.0114653,0.0129908,0.0487516,0,0.0281194,0.042925,0.0369727,0,0,0.00803379,0,0,0.0273769,0.0508739,0.0409992,0.010876,0.0209154,0.0319451,0.043677,0.0426483,0.0628001,0.0502829,0.0339544,0.06726,0.0453919,0.0484548,0.0760598,0.0283924,0.0406772,0.0149944,0.00914201,0.0507096,0.0663987,0,0,0,0,0,0
1403,0,0,0,0,0,0,0.0145642,0.0403571,0,0,0,0.0512141,0,0.0374018,0.0323708,0,0,0.0121705,0,0,0.0497245,0.0373831,0.038342,0.0191631,0.0261581,0.0343904,0.0328487,0.032566,0.033075,0.0345301,0.0324366,0.0378429,0.0342209,0.0260528,0.0357821,0.0139976,0.0533414,0.0113724,0.0130867,0.0487438,0,0.0281493,0.0429212,0.0370091,0,0,0.00798007,0,0,0.0273594,0.05089,0.0409843,0.0108714,0.0209412,0.0319934,0.0436173,0.0426965,0.0627961,0.0502741,0.0339006,0.0672266,0.0453932,0.0484263,0.076306,0.0283823,0.0406826,0.0149652,0.00922037,0.0506292,0.0664125,0,0,0,0,0,0
1404,0,0,0,0,0,0,0.0145721,0.0402904,0,0,0,0.0511821,0,0.0374057,0.0323571,0,0,0.0121619,0,0,0.0496982,0.0373897,0.0382768,0.0191152,0.0261904,0.0343693,0.0328246,0.0326746,0.0331366,0.0344821,0.0324284,0.0378571,0.0341493,0.0260466,0.0357482,0.0139374,0.0532813,0.0113395,0.0131487,0.0487285,0,0.0281622,0.0429309,0.0370248,0,0,0.00798185,0,0,0.0273157,0.050882,0.0409427,0.0108707,0.0209658,0.0320158,0.0435824,0.0426634,0.0628042,0.0503078,0.0338803,0.0672109,0.0454076,0.0484192,0.0763905,0.0283742,0.0406426,0.014937,0.00915123,0.0505575,0.0663821,0,0,0,0,0,0
1405,0,0,0,0,0,0,0.0145473,0.0402302,0,0,0,0.0511707,0,0.0374098,0.0324156,0,0,0.0121471,0,0,0.049676,0.0374086,0.0382715,0.018998,0.0262091,0.0343782,0.032822,0.0326735,0.0332676,0.0344702,0.0324437,0.0378309,0.0341071,0.0259823,0.0357413,0.0139474,0.0531346,0.0113679,0.0131796,0.048735,0,0.0281528,0.042969,0.0370249,0,0,0.00798154,0,0,0.027308,0.0508535,0.0409448,0.0108884,0.0209756,0.0320213,0.0435695,0.0424272,0.0628175,0.050317,0.0338875,0.0672506,0.0454033,0.0484482,0.0763372,0.0283672,0.0405977,0.0149159,0.00910213,0.0504893,0.0663525,0,0,0,0,0,0
1406,0,0,0,0,0,0,0.0145086,0.0401534,0,0,0,0.0511379,0,0.0374236,0.0324382,0,0,0.0121401,0,0,0.0496729,0.0374133,0.0382735,0.0189458,0.0262327,0.0343767,0.0328165,0.0326432,0.0333145,0.03449,0.0324427,0.0377787,0.0341395,0.0259323,0.0357053,0.0139241,0.0530743,0.0113553,0.013234,0.0487334,0,0.0281415,0.0429952,0.0370316,0,0,0.00802835,0,0,0.0273289,0.0508199,0.0409656,0.01091,0.020985,0.0320183,0.0435659,0.0421048,0.0628005,0.0503064,0.0338962,0.067272,0.0453813,0.0485803,0.0761132,0.0283509,0.0405749,0.0149849,0.00909184,0.0504175,0.0663622,0,0,0,0,0,0
1407,0,0,0,0,0,0,0.0144731,0.0400952,0,0,0,0.0511221,0,0.037453,0.0323664,0,0,0.0121622,0,0,0.0496582,0.0374127,0.0382822,0.0189996,0.0262882,0.0343323,0.0327761,0.0326223,0.0333518,0.0344879,0.0323997,0.0377275,0.0341107,0.025888,0.0356467,0.0138776,0.0530594,0.011351,0.0132576,0.0487509,0,0.0281378,0.0430204,0.0370442,0,0,0.00810179,0,0,0.027357,0.0507598,0.0409695,0.0109297,0.020993,0.032014,0.0435305,0.042321,0.0628048,0.0503339,0.0339039,0.0672646,0.0453843,0.0487757,0.0760722,0.0283432,0.0405619,0.0150273,0.00909515,0.0503685,0.0663683,0,0,0,0,0,0
1408,0,0,0,0,0,0,0.0144665,0.0400563,0,0,0,0.0510679,0,0.0374859,0.0323177,0,0,0.0121977,0,0,0.049638,0.0374287,0.038236,0.0190839,0.0263626,0.0342935,0.0327571,0.0326653,0.0333776,0.0344064,0.0323627,0.0377556,0.0340715,0.0259118,0.0356376,0.0138936,0.0530631,0.011395,0.0132214,0.0487557,0,0.0281216,0.0430098,0.0370467,0,0,0.00819253,0,0,0.0273629,0.0507531,0.0409597,0.0109324,0.0210159,0.031992,0.0434962,0.0425281,0.0628281,0.0503227,0.0338988,0.0672912,0.0454335,0.0487171,0.0762241,0.0283125,0.0405359,0.015079,0.00909509,0.0503091,0.0663096,0,0,0,0,0,0
1409,0,0,0,0,0,0,0.0144702,0.0400092,0,0,0,0.0510015,0,0.0375089,0.0323143,0,0,0.0122189,0,0,0.0496375,0.0374514,0.0381881,0.0190938,0.0263915,0.0342916,0.0327606,0.0326751,0.0333597,0.0343456,0.032376,0.0377801,0.0340517,0.0259059,0.0356574,0.0138955,0.0530553,0.0113972,0.0132378,0.04872,0,0.0280946,0.0429875,0.0370337,0,0,0.00817933,0,0,0.0273577,0.0508005,0.0409627,0.0108862,0.0209986,0.0319564,0.0434654,0.0425564,0.0628147,0.0502823,0.033874,0.0673428,0.0454908,0.04874,0.0760945,0.0282971,0.0405135,0.0150905,0.00917966,0.0502187,0.0662823,0,0,0,0,0,0
1410,0,0,0,0,0,0,0.014429,0.0399712,0,0,0,0.0509734,0,0.0375238,0.0323673,0,0,0.0122216,0,0,0.0496388,0.0374553,0.0381527,0.0191009,0.0264172,0.0342673,0.0327415,0.0326969,0.0333689,0.0343117,0.0323861,0.0377623,0.0340061,0.0258571,0.0356182,0.0138654,0.0530616,0.0113784,0.0132781,0.0487067,0,0.0281285,0.0429875,0.0370354,0,0,0.00804008,0,0,0.0273729,0.0508841,0.0410331,0.0108842,0.0209443,0.0319391,0.0434297,0.0425631,0.0627543,0.0502552,0.0338491,0.0673444,0.0455083,0.0488508,0.0759967,0.0283597,0.0405132,0.015072,0.00931097,0.0501543,0.0662532,0,0,0,0,0,0
1411,0,0,0,0,0,0,0.0143971,0.0399484,0,0,0,0.0509482,0,0.0375465,0.0324495,0,0,0.0122284,0,0,0.0496216,0.0374698,0.0381523,0.0190395,0.0264644,0.0342253,0.0327001,0.0327427,0.0334266,0.0342844,0.0324269,0.0377349,0.0339437,0.025849,0.0355558,0.0138751,0.053064,0.0113434,0.0133039,0.048708,0,0.0281532,0.0429877,0.037028,0,0,0.00798007,0,0,0.0273461,0.050936,0.0410952,0.0109296,0.0208779,0.0319484,0.0434202,0.0425128,0.062723,0.0502004,0.0338197,0.0673345,0.045501,0.048808,0.0760553,0.0284325,0.0405036,0.0150421,0.00927906,0.0500987,0.066256,0,0,0,0,0,0
