Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,x74,
All Timesteps RMSE,0,0,0,0,0,0,0.0351004,0.0400361,0,0,0,0.0434987,0,0.0447781,0.0345282,0,0,0.0225765,0,0,0.048679,0.0470338,0.0414636,0.0320034,0.0245033,0.0586405,0.0384144,0.0334858,0.0432088,0.0439566,0.0333653,0.0383133,0.0357337,0.0289371,0.0354266,0.0360668,0.0472948,0.0173174,0.0148272,0.0404318,0,0.033307,0.0392831,0.0460128,0,0,0.0235248,0,0,0.0256909,0.0594508,0.0398414,0.028246,0.0292289,0.0566416,0.0429826,0.0435114,0.102371,0.0640484,0.0407074,0.071368,0.0493186,0.0428359,0.0685818,0.0383971,0.0421244,0.0162345,0.0151136,0.0534149,0.0642664,0,0,0,0,0,0
0,0,0,0,0,0,0,0.0208423,0.0315814,0,0,0,0.0537538,0,0.0337935,0.032422,0,0,0.0161185,0,0,0.0466367,0.0355797,0.0405476,0.0246552,0.0222977,0.0346649,0.0298866,0.0323527,0.0364725,0.0371459,0.0313317,0.041668,0.038717,0.0312214,0.0407301,0.0232952,0.0456921,0.0106365,0.00972396,0.0526535,0,0.0277513,0.0395912,0.0380078,0,0,0.0168818,0,0,0.0241095,0.0427067,0.0416825,0.0153199,0.0225501,0.0311569,0.0334452,0.0420488,0.0675221,0.0576313,0.0335229,0.0755405,0.0523748,0.0469026,0.0729236,0.0348831,0.0384669,0.00441671,0.0143262,0.0374269,0.0663934,0,0,0,0,0,0
1,0,0,0,0,0,0,0.0208236,0.0313986,0,0,0,0.0534073,0,0.0340676,0.032496,0,0,0.0164659,0,0,0.0463555,0.0355015,0.0406207,0.0244261,0.0223359,0.0348895,0.0298517,0.0326882,0.0364319,0.0368758,0.0313197,0.0412724,0.038342,0.0308683,0.0404032,0.0232076,0.0455167,0.0105828,0.00974098,0.0524297,0,0.0276599,0.0393805,0.038129,0,0,0.0164458,0,0,0.0238925,0.0426395,0.0415139,0.0149603,0.0223568,0.0315172,0.0334114,0.0421296,0.0675318,0.0576561,0.0333997,0.0752629,0.0522206,0.0470462,0.0728523,0.0347196,0.0385049,0.0064779,0.0170441,0.0372415,0.0667861,0,0,0,0,0,0
2,0,0,0,0,0,0,0.0208331,0.0314024,0,0,0,0.0530153,0,0.0344592,0.0326786,0,0,0.0165179,0,0,0.0462877,0.0354941,0.0407782,0.024119,0.0223903,0.0351789,0.0297465,0.0329859,0.0363832,0.0365809,0.0311668,0.0409182,0.0379376,0.0304963,0.0400738,0.0229693,0.0454449,0.0106256,0.00972129,0.0521117,0,0.0275686,0.0391684,0.0382211,0,0,0.015107,0,0,0.0241955,0.0425611,0.0413706,0.0146441,0.0221332,0.0319073,0.0333907,0.0423042,0.067625,0.057704,0.0334224,0.0750485,0.0521074,0.0469875,0.0728927,0.0346377,0.0386773,0.00957908,0.022472,0.0371139,0.0670815,0,0,0,0,0,0
3,0,0,0,0,0,0,0.0211499,0.0310224,0,0,0,0.0524908,0,0.034874,0.0322369,0,0,0.0167692,0,0,0.0463753,0.0349842,0.0408088,0.0235554,0.0225259,0.0347178,0.0296718,0.032986,0.0362142,0.0362288,0.0309802,0.0407484,0.0377746,0.0303249,0.0398288,0.0224324,0.0450694,0.0109005,0.00976559,0.0515991,0,0.0273321,0.0387858,0.0386544,0,0,0.0169305,0,0,0.0150719,0.0430539,0.0410454,0.014889,0.0222231,0.0321603,0.0340541,0.0427038,0.0676007,0.057644,0.0337879,0.0749802,0.052173,0.0469865,0.0728743,0.0345493,0.038223,0.00392618,0,0.0367806,0.0674546,0,0,0,0,0,0
4,0,0,0,0,0,0,0.0211262,0.0310374,0,0,0,0.0520916,0,0.0351369,0.0316564,0,0,0.0167723,0,0,0.0466068,0.0350344,0.0409029,0.0232641,0.0227159,0.0348819,0.0297531,0.0333091,0.0361584,0.0358885,0.0308733,0.0405149,0.0375277,0.0301004,0.0395167,0.0221898,0.0451267,0.011055,0.00980073,0.0514513,0,0.0273517,0.0386391,0.0386782,0,0,0.0171531,0,0,0.0157413,0.0431024,0.0409716,0.014472,0.0221,0.032442,0.0340496,0.0428063,0.0676421,0.0576767,0.0340522,0.0748845,0.0520521,0.0468128,0.0726993,0.0342922,0.0381984,0.00415525,0,0.0366295,0.0676111,0,0,0,0,0,0
5,0,0,0,0,0,0,0.0211469,0.0310584,0,0,0,0.0516852,0,0.0354192,0.0314453,0,0,0.0167309,0,0,0.046665,0.0351203,0.0405334,0.0228989,0.0229544,0.0350719,0.0297487,0.0336087,0.0360791,0.0355758,0.0308291,0.0403093,0.0371908,0.0299007,0.0392679,0.0218723,0.0453121,0.010904,0.00995733,0.0513349,0,0.0273946,0.038562,0.0387283,0,0,0.0173607,0,0,0.016408,0.0431132,0.0409559,0.0141114,0.0220424,0.0326998,0.0339549,0.0428454,0.0676254,0.0577268,0.0342537,0.0747987,0.0519543,0.0467451,0.0725753,0.0340605,0.0381898,0.00440428,0,0.0365201,0.0678069,0,0,0,0,0,0
6,0,0,0,0,0,0,0.0211651,0.0311098,0,0,0,0.0512985,0,0.0356852,0.03138,0,0,0.0167392,0,0,0.0466169,0.0351611,0.040254,0.0225948,0.0231721,0.035272,0.0297677,0.0339435,0.0359863,0.0352771,0.0307659,0.0400982,0.0366928,0.0296769,0.0390079,0.0216418,0.0454788,0.0108275,0.0100531,0.0513264,0,0.0274357,0.0385073,0.0388079,0,0,0.0175171,0,0,0.0170295,0.0431494,0.0408665,0.013821,0.0220134,0.0329281,0.0337644,0.0429088,0.0676056,0.0578036,0.034448,0.0746715,0.0518696,0.046691,0.0725933,0.033886,0.0381997,0.0046502,0,0.0364844,0.0679946,0,0,0,0,0,0
7,0,0,0,0,0,0,0.0212959,0.0310789,0,0,0,0.0509053,0,0.0358737,0.0313547,0,0,0.0166803,0,0,0.0465942,0.0351497,0.0400541,0.0223254,0.0232937,0.0355379,0.0298443,0.0341255,0.0358612,0.0351698,0.0307253,0.0398871,0.0364152,0.0295266,0.0388284,0.0214872,0.045646,0.0107573,0.0100276,0.0512969,0,0.0274765,0.0385572,0.0388604,0,0,0.0177765,0,0,0.0175802,0.0431842,0.040808,0.013528,0.0219826,0.0331907,0.0336453,0.0428186,0.0675538,0.0578974,0.0345743,0.0746522,0.0518784,0.0467091,0.0727043,0.0336269,0.0381215,0.00499611,0,0.0363989,0.0681788,0,0,0,0,0,0
8,0,0,0,0,0,0,0.0212921,0.031071,0,0,0,0.0506107,0,0.0360763,0.03146,0,0,0.0166669,0,0,0.0465267,0.0350748,0.0400341,0.0220987,0.0234023,0.0356358,0.0298819,0.0341523,0.0358397,0.0350708,0.0306025,0.0396324,0.036299,0.0292798,0.0385575,0.0213441,0.0457368,0.0107328,0.0100578,0.0513988,0,0.0274538,0.0386782,0.0389331,0,0,0.0179764,0,0,0.0182049,0.0432625,0.0407846,0.0134125,0.0219839,0.0333647,0.0335793,0.0428019,0.0675359,0.0580048,0.0347174,0.0746023,0.0518934,0.046679,0.072652,0.0335256,0.0381313,0.0053565,0,0.0364047,0.0682492,0,0,0,0,0,0
9,0,0,0,0,0,0,0.0212194,0.0310836,0,0,0,0.0503097,0,0.0362474,0.0315433,0,0,0.0165683,0,0,0.0465161,0.0350618,0.0399386,0.0219144,0.0235682,0.0356695,0.0299135,0.0342974,0.0357734,0.0348195,0.0305068,0.0394349,0.0361666,0.0290914,0.0383024,0.0212088,0.0457713,0.0107045,0.0101501,0.0515222,0,0.0274343,0.0387794,0.0389758,0,0,0.0181688,0,0,0.018952,0.0432554,0.04068,0.0134203,0.0219772,0.0334877,0.0335255,0.0427839,0.0675436,0.0580857,0.0347598,0.0745811,0.0518419,0.0466578,0.0725405,0.0335447,0.0381569,0.00579832,0,0.0364342,0.0682733,0,0,0,0,0,0
10,0,0,0,0,0,0,0.0213343,0.0309634,0,0,0,0.04979,0,0.0363802,0.0315485,0,0,0.0164016,0,0,0.0466276,0.0350568,0.0397856,0.0216506,0.0237277,0.0358033,0.0300098,0.0344183,0.0356204,0.0346518,0.0305662,0.0393867,0.036028,0.0291226,0.0383056,0.0211461,0.0457745,0.0105915,0.010232,0.0514752,0,0.0273551,0.0389257,0.0389625,0,0,0.0184929,0,0,0.0197331,0.0432265,0.0403588,0.013265,0.021994,0.0337642,0.0334968,0.0425242,0.0674527,0.0581151,0.0347208,0.0747999,0.0519592,0.046844,0.0726747,0.0333072,0.0380258,0.00632362,0,0.0363306,0.0684297,0,0,0,0,0,0
11,0,0,0,0,0,0,0.0210486,0.0312442,0,0,0,0.0497612,0,0.0365215,0.031616,0,0,0.0165165,0,0,0.0464807,0.0350558,0.0399818,0.0216902,0.0238701,0.0356019,0.0298541,0.0347071,0.0358382,0.0342863,0.0302664,0.0391258,0.0357383,0.0287361,0.037891,0.0211417,0.0457998,0.0106885,0.0102649,0.0518706,0,0.0274089,0.0391372,0.0388985,0,0,0.0185696,0,0,0.0205683,0.0432187,0.040474,0.0135873,0.0218791,0.033759,0.033516,0.0426776,0.0676222,0.0582426,0.0347697,0.0746459,0.0517896,0.0466507,0.0724352,0.0335472,0.0381385,0.00680089,0,0.0363711,0.0683668,0,0,0,0,0,0
12,0,0,0,0,0,0,0.0209876,0.0313113,0,0,0,0.0494294,0,0.0366876,0.0317207,0,0,0.0165465,0,0,0.0463797,0.0350409,0.0398262,0.021521,0.0240175,0.0355467,0.0297758,0.0347864,0.035887,0.034169,0.0301797,0.0390235,0.0357548,0.0286249,0.0377932,0.0211425,0.0457963,0.0107608,0.0100708,0.0519257,0,0.0273883,0.0393395,0.0388595,0,0,0.018845,0,0,0.0213505,0.0431757,0.040527,0.0136925,0.021855,0.0338725,0.0335435,0.0425466,0.0675705,0.058311,0.0346998,0.0747338,0.0518627,0.0467529,0.0722937,0.0335786,0.0380473,0.00724403,0,0.0358622,0.0684518,0,0,0,0,0,0
13,0,0,0,0,0,0,0.0194219,0.0327101,0,0,0,0.0500422,0,0.0365486,0.0320287,0,0,0.0163443,0,0,0.046489,0.0349203,0.0403947,0.0208733,0.0240197,0.0366205,0.0292916,0.0344877,0.0357135,0.0345302,0.0303814,0.0386425,0.0355469,0.0280027,0.0373627,0.0212673,0.0461852,0.0106294,0.0095377,0.0526238,0,0.0284039,0.039511,0.0385263,0,0,0.0178797,0,0,0.0244793,0.0432442,0.0431088,0.0117964,0.0217338,0.0350979,0.0329883,0.0411137,0.0667135,0.0585703,0.0344294,0.0745426,0.0516338,0.0463159,0.0720243,0.0354648,0.0391167,0.00612712,0.00695628,0.0364307,0.0683817,0,0,0,0,0,0
14,0,0,0,0,0,0,0.0193766,0.0327633,0,0,0,0.0498335,0,0.0367086,0.0319185,0,0,0.016259,0,0,0.0465368,0.0349824,0.0403101,0.0208693,0.0241315,0.0365721,0.0291275,0.0347277,0.0357715,0.0343145,0.0303151,0.0385152,0.0354442,0.0278721,0.037229,0.0212311,0.0462077,0.0105903,0.00977296,0.0528206,0,0.0283519,0.0395632,0.038572,0,0,0.0177806,0,0,0.0245362,0.043144,0.0430508,0.0118568,0.0217596,0.0351132,0.0330114,0.0410402,0.0667419,0.058614,0.0343411,0.0745871,0.0516895,0.0464084,0.072213,0.0353885,0.0390608,0.00612668,0.00692949,0.036533,0.0683517,0,0,0,0,0,0
15,0,0,0,0,0,0,0.0193238,0.0327597,0,0,0,0.0496526,0,0.0368607,0.0317654,0,0,0.0162097,0,0,0.0465692,0.0350704,0.0403215,0.0208533,0.0242312,0.0366044,0.0289914,0.034881,0.0358059,0.0341817,0.0302404,0.0384224,0.035345,0.0277733,0.037126,0.0212368,0.0461876,0.0106117,0.00989231,0.0529355,0,0.0282846,0.039584,0.0386436,0,0,0.0177475,0,0,0.0244307,0.0430826,0.0430084,0.0118888,0.0217769,0.0350963,0.0330895,0.0409657,0.066745,0.0586356,0.0343442,0.0746395,0.0517359,0.0464139,0.0723997,0.0353096,0.0390043,0.00612441,0.00676409,0.0366956,0.0683167,0,0,0,0,0,0
16,0,0,0,0,0,0,0.0192776,0.0327344,0,0,0,0.049562,0,0.0369538,0.0316323,0,0,0.0162092,0,0,0.0465068,0.0351508,0.0403518,0.0208229,0.0243337,0.0366517,0.0288944,0.0350023,0.0358294,0.0340401,0.0301815,0.0383802,0.0352837,0.0277199,0.0370816,0.0211971,0.0461113,0.0106457,0.00992261,0.0529769,0,0.0282576,0.0395863,0.0387065,0,0,0.0177208,0,0,0.0243514,0.0430687,0.0429497,0.0119001,0.0217645,0.0350498,0.0331984,0.0409671,0.0667559,0.0586572,0.0343781,0.0746533,0.0517653,0.0463489,0.0724607,0.0352165,0.0389615,0.00618462,0.00667315,0.0368887,0.0682985,0,0,0,0,0,0
17,0,0,0,0,0,0,0.0192117,0.0327037,0,0,0,0.0495533,0,0.0370199,0.0315525,0,0,0.0162123,0,0,0.0464265,0.0352166,0.0404376,0.0207719,0.0243975,0.0366892,0.0288031,0.0351332,0.0358297,0.03391,0.0301643,0.0383555,0.0352415,0.0276999,0.0370831,0.0211709,0.0460356,0.0106257,0.00996389,0.0529941,0,0.0282238,0.0395608,0.0386939,0,0,0.0176961,0,0,0.0244448,0.0430506,0.0428733,0.0119057,0.0217268,0.0349956,0.0332962,0.0410361,0.0667656,0.0586795,0.034415,0.0746036,0.0517551,0.0463232,0.0724333,0.0351655,0.0389376,0.00625192,0.00666749,0.036904,0.068305,0,0,0,0,0,0
18,0,0,0,0,0,0,0.0191391,0.0326902,0,0,0,0.0495828,0,0.0370941,0.0314677,0,0,0.0161739,0,0,0.046429,0.0352526,0.0405055,0.0207327,0.0244294,0.036656,0.0286995,0.035268,0.0358354,0.0338503,0.0301644,0.0383246,0.0351811,0.027701,0.0370901,0.0211502,0.0460225,0.0106002,0.0100482,0.0530303,0,0.0282508,0.0394899,0.0386527,0,0,0.0176273,0,0,0.0247055,0.0430275,0.0428464,0.011907,0.0216829,0.0349626,0.0333483,0.0410843,0.066782,0.058706,0.0344833,0.0745423,0.0517209,0.0463095,0.0725778,0.0351762,0.0389447,0.00628314,0.00685373,0.0367933,0.0683396,0,0,0,0,0,0
19,0,0,0,0,0,0,0.0190561,0.0327142,0,0,0,0.0496711,0,0.0371253,0.0314831,0,0,0.0161137,0,0,0.0464491,0.035298,0.0404843,0.0207017,0.0244727,0.0366224,0.0285869,0.0353882,0.0358826,0.0338342,0.0301727,0.038313,0.0351326,0.0277037,0.0370823,0.0211092,0.0460728,0.0106618,0.0100414,0.0530688,0,0.0283033,0.0394571,0.0386024,0,0,0.0175391,0,0,0.0248095,0.0429982,0.042916,0.0119426,0.0216285,0.0349303,0.0333912,0.0411246,0.0668205,0.0587378,0.0345076,0.0744665,0.0516863,0.0462807,0.0729992,0.0352371,0.0389243,0.00636105,0.0069722,0.0367874,0.0684084,0,0,0,0,0,0
20,0,0,0,0,0,0,0.0189991,0.0327524,0,0,0,0.0497916,0,0.0371405,0.0314713,0,0,0.0161036,0,0,0.0464396,0.0353241,0.040437,0.0206816,0.0245067,0.0366153,0.0284977,0.0353714,0.0359291,0.0338351,0.0301495,0.0382775,0.0350772,0.0276759,0.0370321,0.0210926,0.0461355,0.0107626,0.00994785,0.0530905,0,0.0283166,0.0394378,0.0385861,0,0,0.0174955,0,0,0.024746,0.0429505,0.0429229,0.0119537,0.0215733,0.0349044,0.0334172,0.0411631,0.0668507,0.0587509,0.0344939,0.0745027,0.0516856,0.0462748,0.0730494,0.0352861,0.0389016,0.00636189,0.00684813,0.0368413,0.0684889,0,0,0,0,0,0
21,0,0,0,0,0,0,0.0189722,0.0327197,0,0,0,0.0499486,0,0.0371425,0.0313115,0,0,0.0161653,0,0,0.0463902,0.0353337,0.0404066,0.0207214,0.0245258,0.0365747,0.0284465,0.0353859,0.0359584,0.0338238,0.0300573,0.0382637,0.0350037,0.0276706,0.0370184,0.0211057,0.0461691,0.0108362,0.0097971,0.0530522,0,0.0282952,0.0394205,0.0386386,0,0,0.0174993,0,0,0.0245363,0.0429229,0.0429192,0.0119462,0.0215435,0.0348767,0.0334476,0.0411551,0.0668499,0.0587492,0.0344629,0.0745661,0.0517098,0.0463206,0.0726813,0.0353696,0.038876,0.00633784,0.00668025,0.0368625,0.0685492,0,0,0,0,0,0
22,0,0,0,0,0,0,0.0189635,0.0326837,0,0,0,0.0499923,0,0.0371596,0.0311949,0,0,0.0161781,0,0,0.0463952,0.035342,0.0404109,0.0208198,0.0245486,0.0365413,0.0284202,0.0353958,0.0359591,0.033797,0.0299385,0.0382553,0.0349924,0.0276426,0.0369764,0.0211438,0.0462242,0.0107746,0.00988396,0.0530543,0,0.0282657,0.039458,0.0387381,0,0,0.0175571,0,0,0.0244384,0.0428938,0.0428435,0.0119579,0.021513,0.0348816,0.0334412,0.0411394,0.0668892,0.0587682,0.034457,0.0745416,0.0517163,0.0463832,0.0725255,0.0353589,0.0388626,0.00631974,0.00677382,0.0368906,0.0686212,0,0,0,0,0,0
23,0,0,0,0,0,0,0.0189908,0.0326544,0,0,0,0.0496841,0,0.0372018,0.0312229,0,0,0.0162065,0,0,0.046397,0.0353385,0.0404589,0.0208791,0.024552,0.036527,0.0284002,0.0353477,0.0359746,0.0337949,0.0300113,0.0382416,0.0349923,0.0275768,0.0369072,0.0211657,0.0462651,0.0106812,0.00996816,0.0530097,0,0.028252,0.0395028,0.0387821,0,0,0.0176063,0,0,0.024379,0.0428696,0.0428554,0.01197,0.0214648,0.0348847,0.0334018,0.0411134,0.0669223,0.0588086,0.0344673,0.0745128,0.0517358,0.0464507,0.0725934,0.0353704,0.0388948,0.00625774,0.00687267,0.0369703,0.0687035,0,0,0,0,0,0
24,0,0,0,0,0,0,0.019035,0.0326107,0,0,0,0.0494197,0,0.0372408,0.0313272,0,0,0.0162821,0,0,0.0463561,0.0353524,0.0404958,0.0208694,0.0246027,0.0365403,0.0284222,0.0353234,0.0359688,0.0337942,0.0300594,0.0382476,0.0350108,0.0275384,0.0368778,0.021124,0.0462651,0.0106157,0.00999974,0.0529613,0,0.0282248,0.0395197,0.038778,0,0,0.0176124,0,0,0.0243279,0.0428754,0.0427764,0.0119723,0.0214402,0.0349134,0.0333425,0.0411344,0.0669723,0.0588443,0.0345086,0.0745074,0.0517718,0.0463842,0.0726238,0.0353131,0.0389267,0.00619444,0.00688013,0.0370659,0.0687322,0,0,0,0,0,0
25,0,0,0,0,0,0,0.0190749,0.0326015,0,0,0,0.049142,0,0.0372798,0.0314028,0,0,0.0162559,0,0,0.0463591,0.0353916,0.0404709,0.0208642,0.0246712,0.0365886,0.0284583,0.0353732,0.0359585,0.0337905,0.0300908,0.03821,0.0350209,0.0275277,0.0368401,0.0210362,0.0462764,0.0106071,0.0100092,0.0529106,0,0.0281913,0.0394893,0.0387966,0,0,0.0175736,0,0,0.0243089,0.0429186,0.0425433,0.0119026,0.0214135,0.0350047,0.0332768,0.0412149,0.0670473,0.0588618,0.0345717,0.074526,0.0517284,0.0463464,0.0725816,0.0351096,0.0389381,0.00618681,0.00698418,0.0370037,0.0687769,0,0,0,0,0,0
26,0,0,0,0,0,0,0.0190924,0.0326165,0,0,0,0.0490482,0,0.0373014,0.031471,0,0,0.0162254,0,0,0.04637,0.0354234,0.0403523,0.0209373,0.024745,0.0366572,0.0284729,0.0354911,0.0359045,0.0337542,0.0300893,0.0381278,0.0350149,0.0275218,0.0368102,0.0209938,0.0462854,0.0106074,0.0100213,0.0528198,0,0.0281795,0.039453,0.0388555,0,0,0.0175327,0,0,0.0243037,0.0429544,0.042422,0.011826,0.0213522,0.0351117,0.0332454,0.041321,0.0671302,0.0588859,0.0346484,0.0745204,0.0516603,0.0463478,0.0725505,0.0349672,0.0389536,0.00611893,0.00708827,0.0369762,0.0689303,0,0,0,0,0,0
27,0,0,0,0,0,0,0.0191336,0.0326343,0,0,0,0.0490785,0,0.0373047,0.0314646,0,0,0.0162127,0,0,0.0463939,0.035446,0.0402915,0.021062,0.0248224,0.0367432,0.0284856,0.0355667,0.0358597,0.0336713,0.0301019,0.0381415,0.0350414,0.0275082,0.0367866,0.0208737,0.0462988,0.0106316,0.010045,0.0527085,0,0.0281682,0.0393737,0.0389048,0,0,0.0174985,0,0,0.0243313,0.042975,0.0424018,0.0117375,0.0213035,0.0352279,0.0332413,0.041443,0.067192,0.0589065,0.0347051,0.0744821,0.0516271,0.0464038,0.0725365,0.0348736,0.0389481,0.00605441,0.00716894,0.0369917,0.0690727,0,0,0,0,0,0
