Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,x74,x75,RASI,
15,0,0,0,0,0,0,0.0244771,0.0314626,0,0,0,0.0301838,0,0.0372462,0.0437672,0,0,0.0225808,0,0,0.0440439,0.0448794,0.0340138,0.0127496,0.02248,0.0511349,0.0332691,0.0328575,0.0458354,0.0422244,0.0252289,0.0334053,0.0319548,0.0204024,0.0250071,0.0354175,0.0406761,0.012304,0.0110373,0.0319806,0,0.0248117,0.0400068,0,0,0.022382,0,0,0.0108322,0.0486368,0.0472511,0.0178525,0.022724,0.0524605,0.0399997,0.0395358,0.0714473,0.0665498,0.0337786,0.0661375,0.0438202,0.0444828,0.0724269,0.0536353,0.034605,0.00266747,0,0.0392123,0.0689636,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0.0244838,0.0314156,0,0,0,0.0296264,0,0.0371609,0.0438667,0,0,0.0225881,0,0,0.0440121,0.0451512,0.0336198,0.0124549,0.0223591,0.0510647,0.0333382,0.0328057,0.0459171,0.0425724,0.0254086,0.0332497,0.0316889,0.0203006,0.0246882,0.0363051,0.0409446,0.0122589,0.0110656,0.0319782,0,0.0247174,0.0399992,0,0,0.0254402,0,0,0.0228012,0.0484945,0.0472596,0.0180389,0.0238581,0.052648,0.0401366,0.0391381,0.0712,0.0664172,0.0334754,0.0659509,0.0436407,0.0441355,0.0733306,0.0536663,0.0340691,0.0053437,0.00771942,0.0395999,0.0688403,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0.0247333,0.0312325,0,0,0,0.0293405,0,0.037227,0.0441227,0,0,0.022634,0,0,0.0440187,0.0453426,0.0334066,0.0123503,0.0222489,0.0511261,0.0332081,0.0328725,0.0460524,0.0428867,0.0255121,0.0330329,0.0314335,0.0201897,0.0246625,0.0371701,0.0410834,0.0122252,0.0110542,0.0319441,0,0.0247628,0.0402842,0,0,0.0256026,0,0,0.0227958,0.0484478,0.0474353,0.0183368,0.0250409,0.0529419,0.0402987,0.038768,0.0708939,0.0663455,0.0332875,0.065794,0.0435898,0.0439737,0.0738807,0.0539656,0.0341866,0.00521715,0.00759234,0.0398382,0.0686879,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0.0249581,0.0310298,0,0,0,0.0292001,0,0.0373707,0.0445383,0,0,0.0226184,0,0,0.0439585,0.0455437,0.0333569,0.0122252,0.0221513,0.0511293,0.033067,0.0330762,0.0461877,0.042982,0.0255589,0.032798,0.0311653,0.0200938,0.0246841,0.037955,0.041253,0.0121743,0.0110653,0.0317962,0,0.0249522,0.0405272,0,0,0.0257478,0,0,0.0229063,0.0485099,0.047919,0.0185801,0.0261999,0.0532119,0.0403785,0.0385097,0.070456,0.0662786,0.0331743,0.0655912,0.0435204,0.0438526,0.0740953,0.0543792,0.0343949,0.00514981,0.00743784,0.04004,0.0685128,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0.0252094,0.0308974,0,0,0,0.0290231,0,0.0375135,0.0450012,0,0,0.0225615,0,0,0.043921,0.0456283,0.033411,0.011954,0.0220926,0.0511091,0.0328606,0.033333,0.0462269,0.0428874,0.0256512,0.0325789,0.0307769,0.0200249,0.0245783,0.0385967,0.0414974,0.0121036,0.0110943,0.0315281,0,0.0253693,0.0407626,0,0,0.0258397,0,0,0.022999,0.0486132,0.0485286,0.0187462,0.0271731,0.0533936,0.0404182,0.038372,0.0701366,0.066056,0.0329628,0.0651686,0.0433949,0.0436994,0.0741436,0.054713,0.0345755,0.00511896,0.00750297,0.0401866,0.0683888,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0.0255608,0.0308558,0,0,0,0.0287173,0,0.0376488,0.0456694,0,0,0.0225241,0,0,0.0437804,0.0456408,0.0333804,0.0116944,0.0220849,0.0509794,0.0325697,0.0334383,0.046107,0.0426683,0.0257819,0.0323159,0.0304334,0.0198457,0.0243746,0.0390518,0.0417617,0.0120359,0.0110854,0.0312339,0,0.0257862,0.0410113,0,0,0.0258573,0,0,0.0228583,0.0486971,0.0490288,0.0188781,0.0278677,0.0534885,0.0405455,0.0380789,0.0696906,0.0656177,0.0326786,0.0648118,0.0431811,0.0433922,0.0743896,0.0547314,0.034703,0.00504183,0.00757233,0.040347,0.0683247,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0.026278,0.030516,0,0,0,0.0284823,0,0.0377457,0.0462262,0,0,0.0206138,0,0,0.0347597,0.0457722,0.0332765,0.0114746,0.022033,0.0509574,0.0305113,0.0335361,0.045909,0.0424501,0.0259291,0.031936,0.0301168,0.0195535,0.0241567,0.0392382,0.0422945,0.0181359,0,0.0311422,0,0.0262361,0.0412914,0,0,0.0259104,0,0,0.0226331,0.0485532,0.0494083,0.0187365,0.0286929,0.0535563,0.0409349,0.0377974,0.0691363,0.0650043,0.032176,0.064524,0.0428232,0.0430344,0.0746138,0.0543064,0.0346102,0.00488253,0.00753469,0.0401906,0.068406,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0.026495,0.0309609,0,0,0,0.0283211,0,0.0378268,0.0466724,0,0,0.0226025,0,0,0.0433112,0.046042,0.0330189,0.0112594,0.0219842,0.0509627,0.0317862,0.0335201,0.0456395,0.0424099,0.0260953,0.0316056,0.0298516,0.0194645,0.0239294,0.0392216,0.0421966,0.0117491,0.0109281,0.0313782,0,0.0265505,0.0418343,0,0,0.0232103,0,0,0.0127413,0.0482697,0.0494387,0.0185867,0.0295532,0.0536422,0.0410965,0.0376069,0.0686294,0.0645334,0.0317554,0.0639946,0.0423774,0.0426332,0.074189,0.0530006,0.0351101,0.00293831,0,0.0405848,0.0683448,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0.0267324,0.0310058,0,0,0,0.0282135,0,0.0378604,0.0467883,0,0,0.0226381,0,0,0.0431211,0.0464659,0.03274,0.0109748,0.0219719,0.0508351,0.0316804,0.0333659,0.0453478,0.0425656,0.0263044,0.0314685,0.0296941,0.0195444,0.023755,0.0390889,0.0426268,0.0116771,0.0108529,0.0317303,0,0.0266257,0.041857,0,0,0.0256352,0,0,0.0224348,0.04797,0.0491818,0.0182089,0.03042,0.0533752,0.0409367,0.037264,0.0682509,0.0642926,0.0315248,0.0633685,0.0420024,0.0421138,0.0735439,0.0513064,0.0348912,0.00465577,0.00723706,0.0408252,0.0684599,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0.0274224,0.0309209,0,0,0,0.0281355,0,0.0378693,0.0468065,0,0,0.0227831,0,0,0.0430969,0.0469038,0.032562,0.0108787,0.0219836,0.0511648,0.0313584,0.0331563,0.0453054,0.0428355,0.0265023,0.031576,0.0295679,0.0195664,0.023701,0.0388929,0.0428215,0.0115964,0.0108044,0.0310151,0,0.0265951,0.0423368,0,0,0.0227112,0,0,0.0105859,0.0478474,0.049003,0.018008,0.0313197,0.0534271,0.0414411,0.0367259,0.0682152,0.0642352,0.0314611,0.0630941,0.0419187,0.0419188,0.0732451,0.0516716,0.0354899,0.00206512,0,0.0408156,0.0685788,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0.0277719,0.0307985,0,0,0,0.0281566,0,0.0378839,0.0466632,0,0,0.0228647,0,0,0.04314,0.0473678,0.0324432,0.0104849,0.0220317,0.0513273,0.0313873,0.0331876,0.0452332,0.0430316,0.0267117,0.0315637,0.0295106,0.0194803,0.0235983,0.0386396,0.0429131,0.0115568,0.0108148,0.0305524,0,0.0267504,0.0424127,0,0,0.0226832,0,0,0.0105782,0.0479286,0.0490718,0.0178183,0.0321346,0.053454,0.0415467,0.0368107,0.0681157,0.0642995,0.0315093,0.0628503,0.0418039,0.0417339,0.0730676,0.0517514,0.0355627,0.00217031,0,0.0409169,0.0686425,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0.0280472,0.0305653,0,0,0,0.0280802,0,0.0378385,0.0466478,0,0,0.0229435,0,0,0.0431912,0.0477414,0.0323611,0.0101936,0.0220769,0.0514085,0.031511,0.0332252,0.0451564,0.0431522,0.0269158,0.0314176,0.0293925,0.0192785,0.0235566,0.0384539,0.0430546,0.0115781,0.0108116,0.0305657,0,0.0270478,0.0424693,0,0,0.0227269,0,0,0.0106433,0.0482419,0.0492548,0.0177271,0.0328496,0.0535244,0.0416519,0.0364414,0.06805,0.0643683,0.0316428,0.0627033,0.0416421,0.0416286,0.0730063,0.0512519,0.0357068,0.00228871,0,0.0410161,0.0686205,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0.0282565,0.0302569,0,0,0,0.0278221,0,0.037724,0.046733,0,0,0.0230316,0,0,0.043115,0.0480252,0.0322828,0.00993001,0.02205,0.0514325,0.031668,0.0332604,0.0451262,0.0432323,0.027075,0.0311882,0.0292739,0.0190159,0.0233302,0.0383235,0.0431639,0.011526,0.0108089,0.0306098,0,0.0273957,0.0425238,0,0,0.022754,0,0,0.010775,0.0486183,0.0495278,0.0177335,0.0334995,0.0537141,0.0417556,0.0361044,0.0680116,0.0642807,0.031698,0.0626138,0.0414222,0.041533,0.072919,0.050677,0.035749,0.00238323,0,0.0411017,0.068519,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0.028408,0.0299303,0,0,0,0.0276039,0,0.0377093,0.0468485,0,0,0.0230557,0,0,0.0429727,0.0483613,0.0321919,0.00961873,0.0219718,0.0514422,0.0318429,0.0332565,0.0451602,0.043343,0.0271458,0.031173,0.0291461,0.018825,0.0230349,0.0380313,0.0432857,0.0115131,0.0107378,0.0305106,0,0.0277024,0.0425555,0,0,0.0227093,0,0,0.0108935,0.0489527,0.0497364,0.0178301,0.0340886,0.0540021,0.0418802,0.0364535,0.0677847,0.0640165,0.0316114,0.0622871,0.0410489,0.0412336,0.0727509,0.0501107,0.0356848,0.00246881,0,0.0411639,0.0683907,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0.0286168,0.029607,0,0,0,0.0274508,0,0.037768,0.0469393,0,0,0.023086,0,0,0.0428208,0.0486861,0.0316505,0.00927785,0.0217959,0.0514571,0.0320146,0.0333083,0.0451899,0.0435436,0.0272836,0.0309941,0.029,0.0185862,0.0227683,0.0376753,0.0434039,0.0114825,0.0106746,0.0303647,0,0.0279046,0.0425796,0,0,0.022502,0,0,0.0109947,0.0492456,0.0498199,0.0178312,0.0347015,0.0542041,0.0419715,0.0368203,0.0674296,0.0636295,0.0314331,0.0618961,0.0405955,0.0407437,0.0725273,0.049549,0.0357608,0.00251325,0,0.0412064,0.0683013,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0.0288666,0.0293631,0,0,0,0.0273288,0,0.0377564,0.0470002,0,0,0.023106,0,0,0.0427552,0.0488787,0.031206,0.0088752,0.0216368,0.0515371,0.0321634,0.0334592,0.0452599,0.0437936,0.0274554,0.0308714,0.0288583,0.0182603,0.0224785,0.0373555,0.0435023,0.0114961,0.0105996,0.0302345,0,0.028042,0.0426341,0,0,0.0223112,0,0,0.0110264,0.0495217,0.0498012,0.0175671,0.035328,0.0542508,0.0420494,0.0357896,0.0671338,0.063237,0.031275,0.0615312,0.0402295,0.0403935,0.0723795,0.0490379,0.0358705,0.00252675,0,0.0412296,0.0682824,0,0,0,0,0,0,0,0
