Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTOE,RUPA,RWRA,STRN,T10,x70,x71,x72,x73,x74,LWRB,RTIBP,LASI,RASI,RWRB
9,0,0,0,0,0,0,0.105204,0.0909428,0,0,0,0.0750577,0,0.096665,0,0,0.0724732,0,0,0.12339,0.142082,0.0995119,0.103184,0.0850472,0.131588,0.109812,0.101543,0.11319,0.128734,0.105776,0.125397,0.111244,0.113797,0.121555,0.0970483,0.119368,0.09345,0.126115,0,0.137316,0.0528109,0,0,0.123412,0,0,0.0941141,0.056245,0.126722,0.100946,0.0889858,0.106772,0.114135,0.0841694,0.124038,0.0933088,0.0597075,0.123839,0.0872541,0.0967539,0.115685,0.0880409,0.0988537,0.114633,0.104815,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0.0676879,0.03817,0,0,0,0.0422168,0,0.0812114,0,0,0.0376596,0,0,0.0334202,0.057811,0.0649126,0.0727541,0.031808,0.0967429,0.0248095,0.00565812,0.0388017,0.0572986,0.0472037,0.0394045,0.039932,0.0377295,0.0379207,0.0662487,0.0394196,0.0278648,0.0211404,0,0.0530565,0.0741151,0,0,0.0188057,0,0,0.0235723,0.101016,0.0424487,0.0656353,0.0365724,0.0946194,0.0337626,0.0384053,0.0634046,0.078458,0.0614161,0.0696219,0.0547014,0.0446002,0.0500775,0.0494312,0.0204175,0.0678136,0.0386876,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0.0935403,0.0691211,0,0,0,0.0529207,0,0.082836,0,0,0.0498892,0,0,0.101774,0.122191,0.0808223,0.086498,0.0623195,0.118683,0.088551,0.0795234,0.0896718,0.107276,0.0877357,0.100733,0.0871244,0.0908601,0.0978699,0.0829613,0.0982407,0.069598,0.101533,0,0.117025,0.0462131,0,0,0.0998036,0,0,0.0696879,0.0539372,0.106416,0.0842015,0.0703339,0.0968304,0.0894247,0.0612981,0.09974,0.0752145,0.0391975,0.105311,0.0670792,0.0760635,0.0909523,0.0657067,0.0734101,0.0943443,0.0876097,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0.0661141,0.034488,0,0,0,0.0152661,0,0.0685641,0,0,0.0116067,0,0,0.054058,0.0779051,0.0558496,0.0649115,0.0203516,0.0961861,0.0456006,0.028626,0.0504768,0.0688672,0.049523,0.0574637,0.0480314,0.0485567,0.0533806,0.0561073,0.0551679,0.0179029,0.0484204,0,0.0720557,0.0488839,0,0,0.0480042,0,0,0.0180377,0.0724142,0.0607702,0.0608179,0.0300992,0.0848861,0.0471619,0.0295494,0.068007,0.0670546,0.0347518,0.0752473,0.0427238,0.0420789,0.0520362,0.0380356,0.0193364,0.0697922,0.0482701,0,0,0,0,0,0.0187596,0,0,0,0
13,0,0,0,0,0,0,0.0633308,0.0331518,0,0,0,0.0258661,0,0.0726988,0,0,0.0255115,0,0,0.0416069,0.064345,0.0571452,0.0620558,0.022086,0.0921278,0.0343091,0.0120918,0.0417553,0.0594134,0.0429004,0.0460978,0.0413025,0.0397841,0.0422982,0.0570379,0.0450314,0.00924494,0.0287858,0,0.0587005,0.0601362,0,0,0.0308165,0,0,0.0112737,0.0815929,0.0459515,0.0574818,0.0242435,0.0852734,0.035515,0.0310945,0.0613326,0.0691956,0.0443364,0,0.0513751,0.0442595,0.0470783,0.0409902,0.00755496,0.0667513,0.0404977,0,0,0,0,0,0.0124835,0,0,0,0
14,0,0,0,0,0,0,0.0648247,0.0326955,0,0,0,0.0239598,0,0.0713241,0,0,0.0223227,0,0,0.0412984,0.061832,0.0549241,0.0611215,0.0214949,0.0926503,0.0319602,0.0112557,0.0424027,0.0589967,0.0418775,0.0454251,0.0404465,0.0388861,0.0412628,0.0553345,0.0448422,0.0146907,0.0294499,0,0.0590676,0.0616756,0,0,0.0304474,0,0,0.0114068,0.0818512,0.0464057,0.0581021,0.0286906,0.0862107,0.0348178,0.0319886,0.0627057,0.0718057,0.0462277,0.0703287,0.0459382,0.0390167,0.0460351,0.0414142,0.0077059,0.06651,0.0401763,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0.0642063,0.0333908,0,0,0,0.02272,0,0.0700861,0,0,0.0268199,0,0,0.0418688,0.0602295,0.0529149,0.0599235,0.020036,0.0924445,0.0330762,0.011687,0.0439719,0.0591886,0.0406229,0.0449298,0.0398435,0.0379089,0.0402109,0.0538209,0.0452303,0.00834004,0.0274225,0,0.0582881,0.060944,0,0,0.0303901,0,0,0.0116148,0.0773663,0.0452899,0.0558013,0.027238,0.0856303,0.0356901,0.0376132,0,0.0768877,0.0472377,0.0693839,0.0444649,0.0385056,0.0456433,0.0410682,0.00780677,0.0674053,0.0395355,0,0,0,0,0,0.0126194,0,0,0,0
16,0,0,0,0,0,0,0.0775881,0.050468,0,0,0,0.0327127,0,0.0668048,0,0,0.0244465,0,0,0.0803915,0.098697,0.0564116,0.0641046,0.0401515,0.100216,0.0704143,0.0550481,0.0679399,0.0834184,0.0648218,0.076986,0.0660347,0.0672778,0.0730748,0.0690304,0.0770991,0.0469221,0.0706164,0,0.0926491,0.0392758,0,0,0.0762749,0,0,0.0457932,0.0477493,0.0816427,0.0636684,0.0512905,0.081614,0.0677332,0.045834,0.0812545,0.0681472,0.0277121,0.0914062,0.052701,0.0596715,0.0620714,0.0458258,0.0493117,0.0792817,0.070333,0,0,0,0,0,0.0470393,0,0,0,0
17,0,0,0,0,0,0,0.0629011,0.0331884,0,0,0,0.0196147,0,0.0662373,0,0,0.0267298,0,0,0.0419476,0.058016,0.0470882,0.0542847,0.0201392,0.0890992,0.0337723,0.0129551,0.0437903,0.057538,0.0389106,0.0435008,0.0388775,0.0358262,0.0379589,0.0506412,0.0449531,0.0087372,0.0236564,0,0.0545399,0.0596452,0,0,0.0301036,0,0,0.0123417,0.0738267,0.0406221,0.0514954,0.0280699,0.0826001,0.0354838,0.0378099,0,0.0761573,0.0454768,0.0691018,0.0436062,0.037208,0.0425699,0.0406631,0.00756814,0.0660448,0.0403494,0,0,0,0,0,0.0119512,0,0,0,0
18,0,0,0,0,0,0,0.0793549,0.0483655,0,0,0,0.0326634,0,0.0638709,0,0,0.0242056,0,0,0.0785586,0.0968377,0.0504033,0.0599925,0.0390542,0.0988868,0.0672779,0.0557201,0.0665067,0.0818668,0.0646805,0.0726577,0.0618764,0.063726,0.0696456,0.070483,0.0758617,0.0464163,0.0662437,0,0.0896774,0.0419071,0,0,0.0754465,0,0,0.0441588,0.0402781,0.0776135,0.0590032,0.0556739,0.0800124,0.0651366,0.0490907,0,0.0717731,0.0301558,0.0904985,0.0510224,0.0592667,0.0585578,0.0444098,0.04751,0.0753553,0.0703769,0,0,0,0,0,0.046327,0,0,0,0
