Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RUPA,RWRA,STRN,T10,x70,x71,x72,x74,LTHI,RTOE,x73,RTHI,RWRB,LASI,RASI,
9,0,0,0,0,0,0,0.0394448,0.0263926,0,0,0,0.025136,0,0.0364267,0,0,0.0167784,0,0,0.0442413,0.0478792,0.0296945,0.00839843,0.0277118,0.055953,0.0389272,0.0409054,0.0430451,0.0362223,0.0305931,0.0300389,0.016168,0.0191065,0.0391814,0.0468007,0.0107829,0.0113943,0.0300685,0,0.0253845,0.043087,0,0,0.0198858,0,0,0.0123859,0.0574932,0.0516327,0.00749628,0.0474648,0.0561357,0.0490506,0.0608589,0.0556467,0.0225323,0.051949,0.0330487,0.0326906,0.0642774,0.0364573,0.005233,0.0461075,0.0647382,0,0,0,0,0.0309126,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0.0395634,0.0264654,0,0,0,0.0250617,0,0.0366463,0,0,0.0167744,0,0,0.0445359,0.0462395,0.03058,0.0087818,0.027666,0.0557708,0.0384149,0.0410326,0.0427136,0.0361205,0.0304263,0.0297501,0.016409,0.0193979,0.0401147,0.0468549,0.0108632,0.0113804,0.0255009,0,0.0280579,0.042962,0,0,0.0195558,0,0,0.0130384,0.0592676,0.0489757,0.00849237,0.0464771,0.05614,0.0494128,0.0609475,0.0557948,0.0220942,0.0540197,0.0319083,0.0349622,0.0680564,0.0364993,0.00540363,0.0457586,0.0649566,0,0,0,0,0.0309523,0.0504802,0,0,0,0,0,0
11,0,0,0,0,0,0,0.0398861,0.0264969,0,0,0,0.0252527,0,0.0364389,0,0,0.0167588,0,0,0.0449847,0.0477997,0.0301824,0.00883481,0.0275184,0.0557179,0.0384009,0.0411238,0.0428136,0.0359144,0.0304739,0.0297715,0.016533,0.0194832,0.0389871,0.0470285,0.0109459,0.0114838,0.0309959,0,0.0253758,0.0425278,0,0,0.0202712,0,0,0.0211365,0.0573113,0.0519656,0.007445,0.0470297,0.0556236,0.0490356,0.060974,0.0558177,0.0225993,0.0524347,0.0337154,0.0333533,0.065427,0.0364184,0.00649874,0.0458555,0.0650116,0,0,0,0,0.0310404,0,0,0,0.00432115,0,0,0
12,0,0,0,0,0,0,0.0401763,0.0264879,0,0,0,0.0252775,0,0.0364753,0,0,0.0167781,0,0,0.0455102,0.047619,0.0303912,0.00904675,0.0274066,0.0556072,0.0382115,0.0412006,0.0427989,0.035746,0.0304435,0.0296638,0.0167069,0.0197264,0.0389969,0.0470813,0.0111212,0.0114449,0.0314535,0,0.0253807,0.0424704,0,0,0.0197091,0,0,0.0209299,0.0572366,0.05197,0.0074727,0.0467699,0.0554888,0.0493186,0.0609826,0.0560325,0.0226724,0.0526511,0.0339936,0.0336018,0.0658577,0.0364252,0.00658929,0.0458493,0.0651168,0,0,0,0,0.0310414,0,0,0,0.00414495,0,0,0
13,0,0,0,0,0,0,0.0403661,0.0264048,0,0,0,0.0251578,0,0.036734,0,0,0.0167014,0,0,0.0459847,0.0456696,0.0312278,0.00935242,0.0273192,0.0553804,0.0378022,0.0412727,0.0425581,0.0356548,0.030232,0.0294292,0.0169783,0.0201228,0.0402252,0.0471012,0.0112685,0.0114336,0.0265421,0,0.0280089,0.0425236,0,0,0.0192239,0,0,0.0207055,0.0590721,0.0486987,0.00855537,0.0456587,0.0555577,0.0497269,0.0611403,0.0562527,0.0222642,0.0548021,0.0329255,0.035936,0.0695689,0.0364745,0.00664621,0.0457442,0.0653117,0,0,0,0,0.0309848,0.0522986,0,0,0.00396142,0,0,0
14,0,0,0,0,0,0,0.0405907,0.0262797,0,0,0,0.0251734,0,0.0367539,0,0,0.0165201,0,0,0.0462466,0.0455335,0.0314561,0.0096207,0.0272261,0.0553197,0.0376987,0.0413303,0.0424694,0.0354934,0.0301823,0.0292693,0.0170888,0.020318,0.0403525,0.0470785,0.0113683,0.0114304,0.026894,0,0.0279456,0.0425826,0,0,0.0189005,0,0,0.0207566,0.0589419,0.0487042,0.00855297,0.0452947,0.0555127,0.0498759,0.061431,0.0562507,0.0222999,0.0550557,0.033295,0.0362781,0.069927,0.0366014,0.00672096,0.0456824,0.0654218,0,0,0,0,0.0309205,0.0528418,0,0,0.00399467,0,0,0
15,0,0,0,0,0,0,0.0408056,0.0261033,0,0,0,0.0252072,0,0.036815,0,0,0.0162207,0,0,0.0462443,0.0454934,0.0315871,0.00992351,0.0271374,0.055287,0.0377233,0.041427,0.0424815,0.0353069,0.030163,0.0291065,0.0173044,0.0204788,0.0404746,0.0470428,0.0113524,0.0115026,0.0272469,0,0.0279432,0.0426967,0,0,0.0186546,0,0,0.0208779,0.0588056,0.0487605,0.00853368,0.0448776,0.0554155,0.0500007,0.0617264,0.0561823,0.0223656,0.0553216,0.0336699,0.036585,0.0702397,0.0367615,0.00679635,0.0455382,0.0654441,0,0,0,0,0.0308726,0.0533501,0,0,0.0040573,0,0,0
16,0,0,0,0,0,0,0.0409906,0.0259394,0,0,0,0.0252496,0,0.0368859,0,0,0.0158569,0,0,0.0459923,0.0454975,0.0317118,0.0103211,0.0270129,0.0552588,0.0378065,0.0415296,0.042429,0.035118,0.0301428,0.0289716,0.0174283,0.0207825,0.0405822,0.0470172,0.0113009,0.0115347,0.027673,0,0.0279872,0.0428355,0,0,0.0183839,0,0,0.0209739,0.0586876,0.0486537,0.00851936,0.0444138,0.0552611,0.0500857,0.0619348,0.0560472,0.0224249,0.0556081,0.0340253,0.0367732,0.0705804,0.0368638,0.00684936,0.0453552,0.0654466,0,0,0,0,0.0308079,0.0538988,0,0,0.00409834,0,0,0
17,0,0,0,0,0,0,0.0411168,0.0258665,0,0,0,0.0252898,0,0.0369824,0,0,0.0155825,0,0,0.0455324,0.0453765,0.0318552,0.0106702,0.0268725,0.0552154,0.0380132,0.041663,0.0423471,0.0348644,0.0301383,0.0288805,0.0176332,0.0210601,0.0406644,0.046957,0.0113278,0.0113638,0.0280159,0,0.028054,0.0430209,0,0,0.0182284,0,0,0.0210929,0.0585469,0.0485486,0.00852542,0.0439314,0.0552072,0.0501312,0.062037,0.0560154,0.0224436,0.0558597,0.0343419,0.0369516,0.0709005,0.0369761,0.00681562,0.0451159,0.0654069,0,0,0,0,0.0307645,0.0545198,0,0,0.00414547,0,0,0
18,0,0,0,0,0,0,0.0414699,0.0258049,0,0,0,0.0253775,0,0.0370482,0,0,0.0162588,0,0,0.0354733,0.0451763,0.0320128,0.0110459,0.0267789,0.0553557,0.0378786,0.0418846,0.0422233,0.0346918,0.030091,0.0288167,0.0178816,0.0212517,0.0406292,0.0475401,0.0162478,0,0.0281022,0,0.0280921,0.0426063,0,0,0.0182747,0,0,0.0210392,0.0584013,0.0487027,0.00865415,0.0434609,0.0553742,0.0505161,0.0620698,0.056086,0.0223851,0.0561331,0.034664,0.0371955,0.0712815,0.0367781,0.00670097,0.044761,0.0653063,0,0,0,0,0.0308329,0.0550131,0,0,0.00401013,0,0,0
