Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RUPA,RWRA,STRN,T10,x70,x71,x72,x74,LTHI,RTOE,x73,RTHI,RWRB,LASI,RASI,
359,0,0,0,0,0,0,0.0421395,0.0334835,0,0,0,0.028061,0,0.0379128,0,0,0.0140056,0,0,0.035316,0.0483384,0.0340271,0.00954141,0.0262514,0.0587373,0.0371797,0.0443773,0.0429379,0.0317488,0.0302873,0.02863,0.0198063,0.023754,0.0506524,0.0518058,0.0161151,0,0.0243764,0,0.0308375,0.044052,0,0,0.0152412,0,0,0.0235789,0.0513609,0.0558644,0.0142599,0.0445171,0.0591963,0.0522589,0.0640719,0.0578366,0.0230296,0.0548882,0.0344369,0.0365003,0.0694511,0.0416696,0.00657566,0.0538527,0.0655847,0,0,0,0,0.0326785,0.0574079,0,0.0328507,0.00600632,0.0435484,0,0
360,0,0,0,0,0,0,0.042247,0.0334988,0,0,0,0.0280025,0,0.0379341,0,0,0.0140573,0,0,0.0353207,0.0484899,0.0339751,0.00967291,0.0262526,0.0588747,0.0372253,0.0445656,0.0428417,0.031827,0.0302085,0.0285991,0.01973,0.0236797,0.0503952,0.0518558,0.0160527,0,0.0242861,0,0.0308324,0.0440309,0,0,0.0149493,0,0,0.0236112,0.0515419,0.0559043,0.0142985,0.0446081,0.0593476,0.0523038,0.0638756,0.0577682,0.0229443,0.0547248,0.0342904,0.0364685,0.0693732,0.04162,0.00618962,0.0539561,0.0654346,0,0,0,0,0.0328157,0.0573755,0,0.0327668,0.00668813,0.0437135,0,0
361,0,0,0,0,0,0,0.0420903,0.0335044,0,0,0,0.0278685,0,0.0382936,0,0,0.0141145,0,0,0.0355082,0.0483318,0.0344455,0.00986112,0.0254404,0.0591916,0.0374081,0.045193,0.0427913,0.0312082,0.0299443,0.0282569,0.0195184,0.0233568,0.0509469,0.051842,0.0160765,0,0.0238701,0,0.0296908,0.0439287,0,0,0.0152027,0,0,0.023582,0.0517295,0.054167,0.0109129,0.0430774,0.0588196,0.0524829,0.0663569,0.0590331,0.022832,0.0548218,0.0339867,0.0365624,0.069736,0.0415909,0.00624467,0.0538509,0.065674,0,0,0,0,0.0335452,0.0570353,0,0,0.00628517,0.0432153,0,0
362,0,0,0,0,0,0,0.042483,0.0335653,0,0,0,0.0278559,0,0.0380025,0,0,0.0143251,0,0,0.0356287,0.0488447,0.0337273,0.00948299,0.0261263,0.0591611,0.0373711,0.0443578,0.0427341,0.0318789,0.0301801,0.028498,0.0194634,0.0233581,0.0497945,0.0518586,0.0159241,0,0.0240425,0,0.0307972,0.0439633,0,0,0.0151617,0,0,0.0235594,0.0518181,0.0558596,0.0142957,0.0448552,0.0596043,0.052528,0.063561,0.0576938,0.0229293,0.054466,0.0339913,0.0363043,0.0691533,0.0417329,0.00611699,0.0541,0.0651944,0,0,0,0,0.0329897,0.0571753,0,0.0326468,0.00650518,0.0440297,0,0
363,0,0,0,0,0,0,0.0421838,0.0337508,0,0,0,0.0276862,0,0.0383081,0,0,0.0142209,0,0,0.044902,0.0487819,0.034245,0.00917983,0.0252326,0.0592869,0.0379262,0.0456992,0.0427376,0.0313403,0.0299762,0.0282288,0.0191278,0.0229601,0.0502314,0.0510454,0.0108372,0.0105964,0.0235885,0,0.0296672,0.04445,0,0,0.015033,0,0,0.0235124,0.0519644,0.0541394,0.0107585,0.043634,0.0588394,0.0524125,0.0661163,0.0587822,0.022722,0.0546642,0.0337649,0.0363416,0.069561,0.0419867,0.00629875,0.0539288,0.0656259,0,0,0,0,0.0337099,0.056738,0,0,0.00656161,0.0433603,0,0
364,0,0,0,0,0,0,0.0424594,0.0336066,0,0,0,0.027593,0,0.0382474,0,0,0.0142624,0,0,0.0355924,0.0488425,0.0340668,0.00906935,0.0251931,0.0595444,0.0374983,0.0457391,0.0428336,0.0314224,0.0298313,0.0282666,0.0189495,0.0227534,0.0498445,0.0516292,0.0158584,0,0.0233982,0,0.0295429,0.0438968,0,0,0.0151924,0,0,0.0234047,0.0521614,0.0540961,0.0110481,0.0441074,0.0591122,0.0527624,0.0660436,0.0586034,0.022676,0.0546287,0.0336792,0.0362143,0.0695098,0.0417173,0.00627295,0.0538064,0.0655633,0,0,0,0,0.0337066,0.0564779,0,0,0.0065848,0.0434567,0,0
365,0,0,0,0,0,0,0.0426504,0.0337989,0,0,0,0.0275799,0,0.0378875,0,0,0.0143738,0,0,0.0445658,0.0492133,0.0332678,0.0090927,0.025985,0.0591883,0.037799,0.0444661,0.0428137,0.0320982,0.0299309,0.028564,0.0189248,0.0227664,0.0486237,0.0508969,0.0107373,0.010439,0.0234243,0,0.0305625,0.044579,0,0,0.0151558,0,0,0.0235393,0.0521603,0.0558076,0.0141263,0.0458544,0.0596106,0.0523926,0.0634018,0.0574065,0.02276,0.0542122,0.0336462,0.0358364,0.0688329,0.0419971,0.00638719,0.0542744,0.0652425,0,0,0,0,0.0330999,0.0565224,0,0.0323916,0.00660071,0.0442127,0,0
366,0,0,0,0,0,0,0.042512,0.0335504,0,0,0,0.0274226,0,0.0381803,0,0,0.0144621,0,0,0.0350081,0.0491677,0.0336418,0.00927785,0.0251559,0.0596661,0.037497,0.0451985,0.0427815,0.0315354,0.0296951,0.0281845,0.0186809,0.0224421,0.0490347,0.0514558,0.0153605,0,0.0228192,0,0.0294461,0.0440169,0,0,0.0154487,0,0,0.0235179,0.0522,0.054124,0.0108444,0.0442087,0.0592596,0.052601,0.0660399,0.0586954,0.022478,0.0542093,0.0333151,0.0357724,0.0690414,0.0416669,0.00623571,0.0537764,0.0656106,0,0,0,0,0.0338326,0.0561289,0,0,0.00660293,0.0438738,0,0
367,0,0,0,0,0,0,0.0423748,0.0336725,0,0,0,0.0273662,0,0.0381758,0,0,0.0144879,0,0,0.0439669,0.0493276,0.0334856,0.00921495,0.0251009,0.0594774,0.0378784,0.0451829,0.0428262,0.0316086,0.0296535,0.0281463,0.01864,0.0223843,0.048721,0.0507228,0.0106397,0.0101621,0.022677,0,0.0294296,0.0446265,0,0,0.0154097,0,0,0.0233885,0.0523118,0.0540945,0.0106773,0.0442253,0.059079,0.0522213,0.0660146,0.0586852,0.0224462,0.0539919,0.0330927,0.0356123,0.0688795,0.0420283,0.00637108,0.053713,0.0657144,0,0,0,0,0.0338165,0.055973,0,0,0.00653217,0.0439037,0,0
368,0,0,0,0,0,0,0.0426874,0.0336624,0,0,0,0.0273936,0,0.0378685,0,0,0.0146387,0,0,0.0437999,0.0496933,0.0328552,0.00911904,0.0258424,0.0593484,0.0376473,0.0443414,0.0429336,0.0322544,0.0298371,0.0284181,0.0187517,0.0225409,0.0477071,0.0507693,0.0107209,0.010071,0.0228022,0,0.0305186,0.0447421,0,0,0.0156421,0,0,0.023296,0.0524224,0.0556408,0.0139028,0.0459287,0.0598694,0.0520878,0.0633905,0.0573537,0.0225928,0.0535439,0.0329846,0.0351323,0.068273,0.0421,0.00641389,0.0541104,0.0653248,0,0,0,0,0.033157,0.0560368,0,0.0322812,0.00648115,0.0446451,0,0
369,0,0,0,0,0,0,0.0424042,0.0336618,0,0,0,0.0272197,0,0.0381075,0,0,0.0147212,0,0,0.0438092,0.0495132,0.0333673,0.00913453,0.0250531,0.0596558,0.0377481,0.0452066,0.0430964,0.0316884,0.0296556,0.0281839,0.0186066,0.0222491,0.0482506,0.0507405,0.0108687,0.00991912,0.0225092,0,0.0293912,0.0447145,0,0,0.0159307,0,0,0.0234024,0.0526324,0.0537184,0.0108523,0.0445056,0.0593427,0.052093,0.0658291,0.0583634,0.0223322,0.0537203,0.032769,0.0351626,0.0686827,0.042048,0.00614178,0.0540894,0.065678,0,0,0,0,0.033817,0.0555829,0,0,0.0067734,0.0439364,0,0
370,0,0,0,0,0,0,0.0436814,0.0334473,0,0,0,0.0277315,0,0.0375091,0,0,0.0149492,0,0,0.0436982,0.0440581,0.0330879,0.0123102,0.0275384,0.0604042,0.0366042,0.042056,0.0430406,0.0340126,0.0304397,0.0289455,0.0196591,0.0234533,0.0493431,0.0508819,0.0109875,0.00980938,0.02257,0,0.0287818,0.0454127,0,0,0.0141426,0,0,0.0126835,0.0559535,0.0529579,0.0113329,0.0443222,0.0595875,0.0526167,0.0643522,0.0584331,0.0237036,0.0538112,0.0323143,0.0350408,0.0684945,0.0423674,0.00369855,0.05433,0.0643745,0,0,0,0,0.0304083,0.0534125,0,0,0,0,0,0
371,0,0,0,0,0,0,0.042407,0.0337941,0,0,0,0.0270709,0,0.0380238,0,0,0.0147929,0,0,0.0437824,0.0496394,0.033298,0.00919814,0.0249174,0.0596943,0.0377778,0.0451913,0.0428575,0.031741,0.0295596,0.0281916,0.0182659,0.0219117,0.0479191,0.0506168,0.0109833,0.0098512,0.0227036,0,0.0292635,0.0446944,0,0,0.0165318,0,0,0.0232179,0.0529645,0.0540422,0.0110528,0.0447225,0.0594385,0.0520735,0.0654694,0.0582631,0.0222829,0.0533433,0.0323907,0.0347301,0.068189,0.0420662,0.00591881,0.0539459,0.0654974,0,0,0,0,0.033888,0.0546298,0,0,0.00629933,0.0439382,0,0
372,0,0,0,0,0,0,0.0427276,0.0338272,0,0,0,0.0271309,0,0.0376706,0,0,0.0147929,0,0,0.04367,0.0497566,0.0326562,0.00898137,0.0256746,0.0593871,0.0376002,0.0443021,0.0427675,0.0324002,0.0297608,0.0285115,0.0182768,0.0219579,0.0471133,0.0506052,0.0108872,0.0099686,0.0226888,0,0.0303946,0.0447421,0,0,0.0167055,0,0,0.023166,0.0531118,0.0552486,0.0140761,0.0464171,0.0600767,0.0521041,0.0628144,0.0569969,0.0225625,0.0529854,0.0323974,0.0345698,0.0676355,0.0421023,0.00583269,0.0542211,0.0650294,0,0,0,0,0.0332194,0.0549147,0,0.0317475,0.00632957,0.0447079,0,0
373,0,0,0,0,0,0,0.0435339,0.0334893,0,0,0,0.0275437,0,0.037459,0,0,0.0149843,0,0,0.0434053,0.044193,0.0329524,0.0120415,0.0275384,0.0603371,0.0364405,0.0421455,0.0426894,0.0341608,0.0304313,0.02901,0.0191941,0.022973,0.0489757,0.0507441,0.0109139,0.00990384,0.0220174,0,0.028754,0.04501,0,0,0.0169557,0,0,0.023188,0.0562682,0.052384,0.0113154,0.0447737,0.0596451,0.0516771,0.0640245,0.0583104,0.0236439,0.0535491,0.0320481,0.0348919,0.0681491,0.0422007,0.00593782,0.0542571,0.0641891,0,0,0,0,0.0306579,0.0531731,0,0,0.00619057,0,0,0
374,0,0,0,0,0,0,0.0427851,0.0336408,0,0,0,0.0268854,0,0.0379262,0,0,0.0148925,0,0,0.0436436,0.0513608,0.0326164,0.010228,0.0248072,0.0599016,0.0376805,0.0456709,0.0429536,0.0318322,0.0297978,0.0284172,0.0177733,0.0213081,0.0467416,0.0502844,0.0106435,0.0100773,0.0275741,0,0.0265789,0.0448566,0,0,0.0153322,0,0,0.013095,0.0516941,0.0561592,0.0103517,0.046003,0.059507,0.0526308,0.0650846,0.0580703,0.0226892,0.051387,0.033691,0.0328446,0.0649386,0.0420327,0.00378751,0.0539601,0.0654268,0,0,0,0,0.0343501,0,0,0,0,0.0438948,0,0
375,0,0,0,0,0,0,0.0424246,0.0336731,0,0,0,0.0268255,0,0.038042,0,0,0.0150443,0,0,0.0437713,0.050034,0.0330564,0.0089628,0.0249649,0.0597555,0.0371652,0.0453357,0.0427524,0.0319988,0.0296931,0.0283685,0.0177595,0.0214051,0.0476089,0.0504092,0.0105721,0.0102036,0.0218372,0,0.0292044,0.0445294,0,0,0.0172671,0,0,0.0228826,0.0532763,0.053261,0.010937,0.0453941,0.0595843,0.0519021,0.0652427,0.0579772,0.0219964,0.053095,0.0320953,0.0343988,0.0680257,0.0419096,0.00604195,0.0539049,0.0655458,0,0,0,0,0.0342741,0.054405,0,0,0.0061649,0.0447585,0,0
376,0,0,0,0,0,0,0.0426343,0.0335723,0,0,0,0.0266752,0,0.0378731,0,0,0.015189,0,0,0.034627,0.0515074,0.0324717,0.0101474,0.0248386,0.0600233,0.03686,0.0452749,0.0430045,0.0319527,0.0296982,0.0285014,0.0174785,0.0210753,0.0466201,0.0512379,0.0151069,0,0.0272131,0,0.0265991,0.0438863,0,0,0.0173612,0,0,0.0225983,0.0518556,0.0560071,0.0104355,0.0463128,0.0596988,0.0521431,0.0649473,0.0579825,0.0225697,0.0513431,0.03349,0.0325523,0.0648611,0.041538,0.00609362,0.0540037,0.0653954,0,0,0,0,0.0343667,0,0,0,0.00604979,0.0442546,0,0
377,0,0,0,0,0,0,0.0428007,0.0334744,0,0,0,0.0265866,0,0.037852,0,0,0.0153288,0,0,0.0345257,0.0515605,0.0323434,0.0102411,0.0247673,0.0600516,0.0366466,0.045258,0.0429894,0.0320447,0.0296981,0.0284869,0.0172601,0.0208489,0.0464144,0.0511617,0.0151564,0,0.0270994,0,0.0265916,0.0441866,0,0,0.0152596,0,0,0.0123116,0.0519619,0.0559381,0.0104754,0.0464442,0.0597391,0.0531109,0.0648326,0.0580139,0.0225426,0.0513085,0.0333263,0.0325313,0.0647385,0.0416496,0.00401685,0.0539061,0.0654485,0,0,0,0,0.0343215,0,0,0,0,0.0443532,0,0
378,0,0,0,0,0,0,0.0419788,0.0333926,0,0,0,0.0265498,0,0.0371666,0,0,0.0154595,0,0,0.0342796,0.0521652,0.0307755,0.00926117,0.0243656,0.0594856,0.036119,0.0460301,0.0413285,0.031232,0.0310692,0.0296265,0.0183597,0.0214971,0.0471437,0.0511496,0.0150748,0,0.0223539,0,0.0293597,0.0438675,0,0,0.0173726,0,0,0.0224559,0.0530685,0.0543896,0.0115581,0.0459361,0.0600284,0.0526183,0.0652251,0.0577963,0.0214798,0.052572,0.031407,0.0336911,0.0673169,0.0414618,0.00614726,0.0531685,0.0662308,0,0,0,0,0,0.0530749,0,0,0.00615185,0.0431065,0,0
379,0,0,0,0,0,0,0.0423444,0.0334528,0,0,0,0.0263701,0,0.0380152,0,0,0.0156587,0,0,0.0339424,0.0504169,0.0324713,0.00928103,0.0247216,0.0599173,0.0359886,0.0452215,0.0428632,0.0321197,0.02964,0.02838,0.0171569,0.0206761,0.0467882,0.0512022,0.0149095,0,0.0224136,0,0.0291426,0.0438729,0,0,0.0174679,0,0,0.0227319,0.0535856,0.0542276,0.0111515,0.0458965,0.059789,0.0523847,0.0646346,0.0576509,0.0219113,0.0526199,0.0313681,0.033722,0.0673345,0.0415648,0.00621732,0.0535297,0.0655646,0,0,0,0,0.0342559,0.0521177,0,0,0.00610584,0.0449707,0,0
380,0,0,0,0,0,0,0.0425016,0.033504,0,0,0,0.026438,0,0.0376784,0,0,0.0158367,0,0,0.0336354,0.0506635,0.0318066,0.00913116,0.0254036,0.0596534,0.0356524,0.0445405,0.0429466,0.0326913,0.0297419,0.0286939,0.0172119,0.0207696,0.045774,0.0511819,0.0149037,0,0.0226785,0,0.0302335,0.0439279,0,0,0.0174852,0,0,0.0228412,0.0536957,0.0558999,0.013849,0.0475319,0.0605035,0.05245,0.062018,0.0564493,0.0222051,0.0521909,0.0312127,0.0333607,0.0668131,0.0414642,0.00635753,0.053731,0.0650959,0,0,0,0,0.0336622,0.0520135,0,0.031382,0.00587831,0.0457057,0,0
381,0,0,0,0,0,0,0.0423888,0.0334008,0,0,0,0.0264066,0,0.0376244,0,0,0.0160285,0,0,0.0336505,0.050795,0.0318121,0.00914933,0.025332,0.059753,0.0354256,0.0450386,0.0429983,0.0327135,0.0297161,0.0286771,0.0170671,0.0206257,0.0455116,0.0511218,0.0149702,0,0.0225606,0,0.0302485,0.0439339,0,0,0.0173199,0,0,0.0228326,0.053854,0.0558633,0.0136905,0.0476782,0.0604926,0.0523548,0.0619554,0.0565235,0.0221019,0.0520823,0.0310493,0.0331522,0.0667089,0.0412927,0.00638,0.0537033,0.0650541,0,0,0,0,0.0337982,0.0519617,0,0.031443,0.00584849,0.0457001,0,0
382,0,0,0,0,0,0,0.0419879,0.033374,0,0,0,0.0262554,0,0.0378692,0,0,0.0160985,0,0,0.0338191,0.0507265,0.0322071,0.00931015,0.0246851,0.0599338,0.0354816,0.0459524,0.042977,0.0323123,0.0296378,0.0284515,0.0168455,0.0204131,0.0458709,0.0510394,0.0150911,0,0.0222651,0,0.0290488,0.0438557,0,0,0.0172668,0,0,0.0227226,0.0539019,0.0542139,0.0111073,0.0462336,0.0598147,0.0524486,0.0640736,0.0575031,0.0216972,0.0524924,0.0311415,0.0333354,0.0672059,0.0412178,0.00634067,0.0535187,0.0653854,0,0,0,0,0.0343739,0.0512974,0,0,0.00587657,0.0451848,0,0
383,0,0,0,0,0,0,0.0419067,0.033363,0,0,0,0.0262029,0,0.0378742,0,0,0.0161634,0,0,0.0338689,0.0508915,0.0321052,0.00935648,0.024612,0.0599363,0.0353504,0.0459712,0.0429666,0.0323672,0.029572,0.0284532,0.0166716,0.0204952,0.0457062,0.0510626,0.0151405,0,0.0224537,0,0.0289621,0.0438681,0,0,0.0172847,0,0,0.0225969,0.0539008,0.054469,0.0110391,0.046299,0.0597935,0.0524596,0.0638888,0.0573694,0.0216601,0.0524165,0.0311255,0.033198,0.0670927,0.0411781,0.00635341,0.0533778,0.0652821,0,0,0,0,0.0343905,0.0498081,0,0,0.00586003,0.0452725,0,0
384,0,0,0,0,0,0,0.0418238,0.0333322,0,0,0,0.0261014,0,0.0379071,0,0,0.0161942,0,0,0.0338248,0.0509839,0.0320512,0.00936387,0.0245989,0.0599801,0.0351858,0.0457784,0.0429695,0.0324135,0.0294761,0.0285259,0.0165049,0.0204608,0.0455654,0.0510466,0.0151307,0,0.0225101,0,0.0288173,0.0438444,0,0,0.0172917,0,0,0.022561,0.053929,0.0545697,0.0109855,0.0463933,0.0598199,0.0524572,0.0637573,0.057435,0.0216192,0.0523808,0.0309998,0.0331263,0.0670501,0.0410571,0.00635269,0.0533336,0.0652349,0,0,0,0,0.0344571,0.0492423,0,0,0.00598412,0.0453791,0,0
385,0,0,0,0,0,0,0.0417358,0.0332955,0,0,0,0.0260263,0,0.0379288,0,0,0.0161925,0,0,0.0336722,0.0510799,0.0320712,0.0093831,0.0246649,0.0600488,0.0350729,0.0453558,0.0429907,0.0324495,0.0294924,0.0285385,0.0164055,0.0203231,0.0454445,0.0511033,0.0150199,0,0.0224806,0,0.0287687,0.0438417,0,0,0.0171515,0,0,0.0225713,0.0539628,0.0545433,0.0109919,0.0464732,0.059835,0.0524661,0.0637581,0.0574634,0.0215284,0.0524123,0.0309204,0.0330917,0.06704,0.0410697,0.00628506,0.0534017,0.0652237,0,0,0,0,0.0345121,0.04925,0,0,0.00643916,0.0454471,0,0
386,0,0,0,0,0,0,0.0420039,0.0332878,0,0,0,0.0261442,0,0.0376383,0,0,0.0162329,0,0,0.0333989,0.0513369,0.0316171,0.00919603,0.0253685,0.0598863,0.0347983,0.0443879,0.0429816,0.032959,0.0297239,0.0287544,0.0164371,0.0203326,0.0447299,0.0511967,0.0149054,0,0.0227819,0,0.0299383,0.0439087,0,0,0.0170849,0,0,0.0226298,0.0539467,0.056186,0.0135571,0.0480296,0.0605032,0.0525626,0.0613785,0.0563429,0.0218178,0.051933,0.0307465,0.0326821,0.0664177,0.041198,0.00644544,0.0537106,0.0648027,0,0,0,0,0.0339554,0.0493793,0,0.0312514,0.00705688,0.0461866,0,0
387,0,0,0,0,0,0,0.0422247,0.0331061,0,0,0,0.026107,0,0.0376816,0,0,0.0163128,0,0,0.0331565,0.0514076,0.0316499,0.00925623,0.025268,0.0601425,0.0347023,0.0444919,0.0429385,0.0329066,0.0297565,0.0287267,0.0163274,0.0202168,0.0447386,0.0511043,0.0148369,0,0.0228979,0,0.0299732,0.0442044,0,0,0.0141739,0,0,0.0104806,0.0539412,0.0561956,0.0135193,0.0481223,0.0607163,0.0536242,0.0613555,0.0562567,0.0217125,0.0518305,0.0306752,0.03259,0.0662912,0.0413501,0.0037372,0.0533683,0.0647863,0,0,0,0,0.0340217,0.049148,0,0.0313618,0,0.0461814,0,0
388,0,0,0,0,0,0,0.0418636,0.0331025,0,0,0,0.0259018,0,0.0380554,0,0,0.0162554,0,0,0.0331483,0.0512723,0.03204,0.00944755,0.0245536,0.060402,0.0348358,0.0452829,0.0428733,0.0324381,0.0295418,0.0285509,0.0161478,0.0200129,0.0452862,0.0510564,0.0148543,0,0.0226457,0,0.028719,0.0440621,0,0,0.0141583,0,0,0.0104412,0.0539982,0.0544735,0.0111645,0.0466541,0.0601398,0.0538464,0.0635132,0.0571283,0.021348,0.052305,0.0308664,0.0329936,0.0669029,0.0412847,0.00370068,0.052998,0.065178,0,0,0,0,0.034629,0.0490923,0,0,0,0.0456702,0,0
389,0,0,0,0,0,0,0.0418138,0.0330706,0,0,0,0.0258765,0,0.0380799,0,0,0.0162234,0,0,0.0333573,0.0512491,0.0319972,0.00941702,0.0244878,0.0605078,0.034704,0.0453006,0.0429098,0.0324659,0.0294049,0.0285593,0.0161399,0.0198907,0.0451953,0.0510906,0.0149705,0,0.0225328,0,0.0287989,0.0440701,0,0,0.0141932,0,0,0.0103936,0.0541404,0.0543113,0.0112402,0.0467268,0.0601784,0.0540233,0.0634854,0.0569755,0.0213209,0.0523039,0.0307162,0.0329894,0.0669835,0.0412527,0.00365636,0.0527459,0.0651729,0,0,0,0,0.0346537,0.0509797,0,0,0,0.0457745,0,0
390,0,0,0,0,0,0,0.041774,0.0329987,0,0,0,0.0258687,0,0.0381226,0,0,0.0162601,0,0,0.0336546,0.0511768,0.0319379,0.00936666,0.0245034,0.0606159,0.0345693,0.0452778,0.0429563,0.0324737,0.0293516,0.0285699,0.0162453,0.0196829,0.0451058,0.051126,0.0151055,0,0.0222275,0,0.0290357,0.0441377,0,0,0.014328,0,0,0.0103848,0.05436,0.0540002,0.0114207,0.046821,0.0602688,0.0542048,0.063606,0.0569796,0.0212118,0.0523192,0.0304537,0.0330346,0.0671205,0.0411371,0.0035557,0.0526027,0.0650972,0,0,0,0,0.0346667,0.0556221,0,0,0,0.0458816,0,0
391,0,0,0,0,0,0,0.0417424,0.0329282,0,0,0,0.0258828,0,0.0381874,0,0,0.0162829,0,0,0.0338646,0.0511287,0.0319361,0.0093898,0.0245416,0.0606683,0.0344451,0.0452899,0.0429781,0.0324802,0.0293872,0.0285472,0.0162781,0.0196163,0.0449705,0.0511752,0.0151702,0,0.022065,0,0.0291353,0.0441807,0,0,0.0145042,0,0,0.0103765,0.0545675,0.0538241,0.0116019,0.0469215,0.0603454,0.0543283,0.0644454,0.056851,0.0211864,0.0522997,0.0303977,0.0331137,0.0670995,0.0410152,0.0034335,0.052469,0.0649876,0,0,0,0,0.0347016,0.0575053,0,0,0,0.0459322,0,0
392,0,0,0,0,0,0,0.0417236,0.0328066,0,0,0,0.0259008,0,0.0381941,0,0,0.0162841,0,0,0.0339377,0.0511044,0.0319491,0.00943327,0.0246254,0.0607142,0.0343262,0.0452806,0.042958,0.0325323,0.0293981,0.0285262,0.0161997,0.0196388,0.0448218,0.0512196,0.0151614,0,0.0219011,0,0.0290569,0.0441989,0,0,0.0145243,0,0,0.00991741,0.0547323,0.0535739,0.0118548,0.0470992,0.0604202,0.0544045,0.0665081,0.0566619,0.0211884,0.052376,0.0306492,0.0332898,0.0670096,0.0410424,0.00332634,0.05235,0.0649513,0,0,0,0,0.0346868,0.056533,0,0,0,0.0460273,0,0
393,0,0,0,0,0,0,0.0417058,0.0326482,0,0,0,0.0258707,0,0.0382658,0,0,0.0162725,0,0,0.0337307,0.0511663,0.0318715,0.0094705,0.0246565,0.060714,0.034238,0.0452723,0.0429628,0.0325837,0.0293683,0.028535,0.0160805,0.0196193,0.0447768,0.0512473,0.0150337,0,0.0216618,0,0.0289291,0.0441718,0,0,0.0146654,0,0,0.0101268,0.0547703,0.0528548,0.0119438,0.0472884,0.0604346,0.0544379,0.0675495,0.056595,0.0211536,0.0524517,0.0309613,0.0335215,0.0669906,0.0410769,0.00342985,0.0521535,0.0649635,0,0,0,0,0.0346915,0.0542318,0,0,0,0.0461565,0,0
394,0,0,0,0,0,0,0.0417086,0.0324582,0,0,0,0.0257843,0,0.0383495,0,0,0.0162934,0,0,0.0333618,0.0513218,0.0318282,0.00931961,0.024666,0.0607484,0.0341197,0.045241,0.0428458,0.0326392,0.0293343,0.0285463,0.0159659,0.0195152,0.0447128,0.0512871,0.0148449,0,0.0216054,0,0.0288871,0.0441435,0,0,0.0146171,0,0,0.0101783,0.0547309,0.0524868,0.012006,0.0473637,0.0604541,0.0544958,0.0678063,0.056642,0.0210408,0.0524815,0.0310336,0.0335797,0.0669406,0.0410198,0.00350987,0.0520044,0.0649616,0,0,0,0,0.0347885,0.0534404,0,0,0,0.0463546,0,0
395,0,0,0,0,0,0,0.041738,0.0323309,0,0,0,0.0257111,0,0.0383973,0,0,0.0163058,0,0,0.0330048,0.0514103,0.0319154,0.00923348,0.024657,0.0607966,0.0340388,0.0451932,0.0426339,0.0326944,0.0293329,0.0285292,0.0158662,0.0193664,0.0446642,0.0512573,0.0146768,0,0.0216834,0,0.0288787,0.0441337,0,0,0.0143905,0,0,0.00986277,0.0547364,0.0523807,0.0120289,0.047394,0.0605617,0.0546251,0.0678412,0.0566431,0.020953,0.0524468,0.0309585,0.0336226,0.066849,0.0409499,0.00349591,0.0517917,0.0649643,0,0,0,0,0.0349003,0.0533641,0,0,0,0.0465488,0,0
396,0,0,0,0,0,0,0.0421085,0.0323398,0,0,0,0.0257944,0,0.0381473,0,0,0.0163261,0,0,0.0328244,0.051615,0.0315201,0.0089427,0.0252236,0.0605674,0.0337675,0.0444026,0.0425654,0.0332137,0.0294829,0.0287875,0.0158877,0.0193659,0.0440504,0.0512536,0.014654,0,0.0222415,0,0.0300407,0.0442404,0,0,0.0142718,0,0,0.00983654,0.0546844,0.0538921,0.0140344,0.0488356,0.0611776,0.054766,0.0647135,0.0557191,0.0213701,0.0517966,0.0306353,0.033277,0.066198,0.040777,0.00363688,0.0518535,0.0644298,0,0,0,0,0.034402,0.0533637,0,0.0309558,0,0.0472852,0,0
397,0,0,0,0,0,0,0.0418012,0.0322691,0,0,0,0.0256301,0,0.0384335,0,0,0.0163244,0,0,0.0330202,0.0516769,0.0320632,0.00923316,0.0245393,0.0609173,0.0339367,0.0451786,0.0425805,0.0327184,0.0293645,0.0286201,0.015707,0.0191277,0.0447088,0.051075,0.014776,0,0.0221343,0,0.0288715,0.0442147,0,0,0.0142876,0,0,0.00974667,0.0545355,0.0518139,0.01162,0.0472644,0.0605606,0.0548012,0.0644381,0.0568467,0.0208865,0.0521015,0.0305436,0.0336377,0.0667803,0.0404538,0.00360636,0.0515235,0.0647428,0,0,0,0,0.0350522,0.0529785,0,0,0,0.0464631,0,0
