Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72
All Timesteps RMSE,0.0120905,0.0176834,0,0,0,0.0368804,0.0224644,0.0211708,0.0128309,0,0,0,0,0.0172392,0,0.0115574,0.0121664,0.0296675,0.0223005,0.0129827,0.00950089,0,0,0.0185227,0.0120513,0.00877796,0.0114413,0.00855395,0.0386511,0.00778042,0.0119238,0.0075867,0.0143691,0,0.0443738,0,0.0128255,0.0222604,0.00733695,0.0184991,0.00476014,0.0100496,0.0124594,0.00733807,0,0,0.0194588,0,0.00992434,0.015787,0.0661597,0.0154121,0.0121507,0.0102502,0.0171187,0.00873907,0.00471176,0.0305157,0.00934686,0.0085142,0.00979035,0.00904082,0.00898357,0.013326,0.0227573,0.0122658,0.0107972,0.00544191,0.0184459,0.00637446,0,0,0
0,0.0140619,0.0161919,0,0,0,0.0256039,0.0259499,0.0163563,0.0132509,0,0,0,0,0.0120313,0,0.00274975,0.00935432,0.0279963,0.0126559,0.0118535,0.00448702,0,0,0.0159018,0.0151661,0.00913454,0.00947756,0.00563072,0.0383208,0.0101925,0.0113898,0.00785362,0.0105948,0,0.0321541,0,0.0100132,0.0224947,0.00626947,0.00827289,0.00575155,0.00461474,0.0159502,0.0100277,0,0,0.0151608,0,0.0112345,0.0102086,0.0626663,0.00705474,0.00645382,0.0072426,0.0193898,0.0127069,0.00460065,0.0244971,0.0049994,0.00354093,0.00636254,0.0102892,0.00640347,0.00648981,0.00916917,0.0101298,0.0122964,0.00670312,0.0172927,0.0084904,0,0,0
1,0.0137223,0.0164555,0,0,0,0.024244,0.0258583,0.0161074,0.0128689,0,0,0,0,0.0110954,0,0.00247156,0.00865739,0.0277288,0.0128765,0.0116578,0.00390394,0,0,0.0155418,0.0151437,0.00901699,0.00922857,0.0054792,0.0385635,0.0102212,0.0113001,0.00754301,0.0105343,0,0.0307852,0,0.00988683,0.0224627,0.00572865,0.0100092,0.00522201,0.0061646,0.0156187,0.0093149,0,0,0.0154646,0,0.0101306,0.0121257,0.0630197,0.00693307,0.00764696,0.00625778,0.0190101,0.0120795,0.00511367,0.0231358,0.00559126,0.00346266,0.00715418,0.0114822,0.00733568,0.00688774,0.00833013,0.0109568,0.0117954,0.00628834,0.0174296,0.00788809,0,0,0
2,0.0138225,0.0167524,0,0,0,0.0240981,0.0256818,0.0160411,0.0129293,0,0,0,0,0.0106652,0,0.00265741,0.00836322,0.0276612,0.0130829,0.0114024,0.00384353,0,0,0.0157837,0.0154954,0.0090846,0.0093638,0.00542505,0.0386225,0.0103222,0.0114136,0.00750692,0.0105066,0,0.0307399,0,0.00966447,0.0224365,0.00532855,0.0157652,0.00514874,0.00788358,0.0156081,0.00927228,0,0,0.0154381,0,0.0100353,0.0121448,0.0634029,0.00740586,0.0080648,0.00508385,0.0191803,0.0122856,0.00543759,0.0223843,0.00645901,0.00396844,0.00793228,0.012738,0.00812315,0.00768489,0.0138292,0.0110528,0.0115403,0.00618261,0.0177892,0.00796758,0,0,0
3,0.013768,0.0170095,0,0,0,0.0244792,0.025515,0.0160766,0.0128955,0,0,0,0,0.0100891,0,0.00321424,0.00801386,0.0277142,0.0132608,0.0112092,0.00363742,0,0,0.0160031,0.0157276,0.00920035,0.00959225,0.0053867,0.0386504,0.0103854,0.011586,0.00758451,0.0105356,0,0.0312891,0,0.0092825,0.0224672,0.00496732,0.0219719,0.00506534,0.00937425,0.0154791,0.00917437,0,0,0.0154832,0,0.00991925,0.012239,0.0637177,0.00824175,0.00820538,0.00371474,0.0194543,0.0124216,0.00564641,0.02194,0.00721927,0.00466072,0.00868572,0.0139381,0.00887428,0.00835322,0.0199328,0.011126,0.0113308,0.00611008,0.0180962,0.00798034,0,0,0
4,0.0136396,0.0171631,0,0,0,0.025099,0.0253451,0.01632,0.0127509,0,0,0,0,0.00927933,0,0.0042878,0.00758711,0.0278401,0.0134179,0.0110697,0.00336286,0,0,0.0161293,0.0159792,0.00929388,0.00984715,0.00529969,0.0387251,0.0104376,0.0117677,0.00757363,0.0106396,0,0.0320568,0,0.00872779,0.0225406,0.00472315,0.0267222,0.00497868,0.0104074,0.0152517,0.00901024,0,0,0.0156171,0,0.00980381,0.0124618,0.0638703,0.00918278,0.00816399,0.00222973,0.0197731,0.0124336,0.00567972,0.021697,0.00777555,0.00525004,0.0093533,0.0150365,0.0095765,0.00884148,0.0240014,0.0111903,0.0111765,0.00608888,0.0182599,0.00793089,0,0,0
5,0.0135021,0.0172056,0,0,0,0.0257226,0.0251389,0.0165468,0.0126421,0,0,0,0,0.00831572,0,0.00535726,0.00702352,0.0279987,0.0135779,0.0107144,0.00300585,0,0,0.01611,0.0163157,0.00934777,0.0101035,0.00519349,0.0388391,0.0104497,0.0119423,0.00758757,0.0107995,0,0.0328164,0,0.00811979,0.0226465,0.00457153,0.0290556,0.00492474,0.0112046,0.0149918,0.00885147,0,0,0.0157159,0,0.00969333,0.0126165,0.063884,0.0103151,0.00793204,0.00134853,0.0200814,0.0123863,0.00551174,0.0216211,0.0081909,0.00576727,0.00984043,0.0158709,0.0100788,0.00912968,0.0257249,0.0112784,0.0110491,0.0060726,0.0182588,0.00783605,0,0,0
6,0.0132734,0.017246,0,0,0,0.0263601,0.0249344,0.0166675,0.0126636,0,0,0,0,0.00726332,0,0.00611921,0.00611498,0.0283037,0.01368,0.0104664,0.00271603,0,0,0.0162042,0.0166269,0.00940279,0.0104082,0.00508189,0.0387907,0.010514,0.0121049,0.00771329,0.0109658,0,0.0336355,0,0.00776386,0.0227846,0.00446829,0.0290357,0.00486694,0.0118481,0.0147272,0.00862412,0,0,0.0157331,0,0.00956563,0.0126781,0.0637162,0.0112538,0.00768947,0.00202725,0.0204329,0.0123375,0.00514172,0.0217136,0.00844961,0.00602437,0.0101039,0.0164563,0.0103436,0.00915731,0.0254949,0.0113734,0.010892,0.00602889,0.0182843,0.00765835,0,0,0
7,0.0124818,0.0173095,0,0,0,0.026924,0.0247852,0.0166436,0.0127824,0,0,0,0,0.00628761,0,0.0066057,0.00491039,0.028707,0.0136737,0.0104676,0.00231189,0,0,0.0163274,0.0165004,0.00945125,0.0106561,0.00497557,0.0385626,0.0106056,0.0123163,0.00794483,0.0110603,0,0.0344908,0,0.00755999,0.0229667,0.00429225,0.0275121,0.00481436,0.0122264,0.0145076,0.00788622,0,0,0.0157809,0,0.00940622,0.0127641,0.0634071,0.012066,0.00747011,0.0027491,0.0207936,0.0122524,0.00468233,0.0219733,0.00849512,0.00594541,0.0101706,0.016778,0.0104517,0.00896025,0.0241202,0.0114031,0.0106407,0.00599394,0.0184418,0.00699345,0,0,0
8,0.0121456,0.0172766,0,0,0,0.0275405,0.0246262,0.01642,0.0126953,0,0,0,0,0.0059526,0,0.00753943,0.00448169,0.0291363,0.0135205,0.0105279,0.00195344,0,0,0.0163525,0.0165571,0.00954446,0.0109091,0.00486607,0.0382735,0.0106954,0.0125665,0.00818563,0.0110717,0,0.0352382,0,0.0071711,0.0231824,0.00442478,0.0250442,0.0048385,0.0123526,0.0144194,0.00766331,0,0,0.0157479,0,0.00935953,0.0127093,0.0630902,0.0127778,0.00721688,0.00283995,0.0210932,0.0120792,0.00421755,0.0223796,0.00816741,0.00550275,0.0101097,0.0167638,0.0104646,0.0087943,0.0222223,0.0114343,0.0104039,0.00599044,0.0184614,0.00687302,0,0,0
