Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72
154,0.00548699,0.00492992,0,0,0,0.0169766,0.0317382,0.0185731,0.00211729,0,0,0,0,0.00660076,0,0.0138765,0.00406404,0.0369801,0.0278007,0.0148856,0.0184174,0,0,0.00500707,0.00559758,0.00110594,0.00972408,0.0125073,0.0270678,0.00864192,0.0106233,0.00897186,0.01414,0,0.0192545,0,0.00479684,0.0224268,0.00213077,0.00857311,0.00761394,0.00403454,0.0026794,0.00994281,0,0,0.0028563,0,0.00981443,0.00210631,0.0594016,0.00273914,0.0181031,0.00978801,0.00200278,0.0072657,0.00267746,0.0245112,0.00725343,0.00660861,0.00510152,0.00796375,0.00375936,0.00600258,0.0118051,0.00519112,0.00244123,0.002267,0.00514976,0.0099273,0,0,0
155,0.00570056,0.00497858,0,0,0,0.0231295,0.0317125,0.0210481,0.00215757,0,0,0,0,0.00650431,0,0.0141122,0.00400879,0.0376468,0.0307489,0.0147781,0.0180353,0,0,0.00424873,0.00547473,0.00218421,0.00999401,0.0119965,0.0267831,0.0095652,0.0123682,0.0101912,0.0144906,0,0.0246931,0,0.00472984,0.022498,0.00224708,0.00908955,0.00765957,0.00426017,0.00244411,0.00971639,0,0,0.00333235,0,0.00966701,0.00249274,0.0602336,0.00252742,0.0183702,0.00955383,0.0019082,0.00729763,0.00264368,0.0250121,0.00684965,0.00631686,0.00509188,0.00790011,0.00378391,0.00584609,0.0119834,0.00560049,0.00249873,0.00230563,0.00502721,0.00984287,0,0,0
156,0.00588432,0.00503436,0,0,0,0.029304,0.031732,0.0226734,0.00241166,0,0,0,0,0.00629552,0,0.0143471,0.0039257,0.038125,0.0323061,0.0146563,0.0168159,0,0,0.00348448,0.00544797,0.00348763,0.010459,0.0109414,0.0268317,0.0101556,0.013781,0.0110044,0.014719,0,0.0315557,0,0.00462611,0.0225212,0.00225143,0.00978344,0.00769721,0.00426045,0.00215581,0.00962097,0,0,0.00396301,0,0.00948617,0.0028674,0.0609178,0.00237385,0.0186276,0.00927288,0.00184217,0.00724055,0.00269513,0.0255679,0.00660225,0.00629143,0.00500158,0.00785506,0.00373474,0.00557158,0.012261,0.00597904,0.00258179,0.00234829,0.00488405,0.00999337,0,0,0
157,0.00594502,0.00506033,0,0,0,0.0353049,0.0317301,0.0234818,0.00276271,0,0,0,0,0.0060337,0,0.0145808,0.00387083,0.0383154,0.0325183,0.0145083,0.0158832,0,0,0.00260015,0.00550684,0.0045716,0.0111614,0.0100189,0.0269076,0.0105923,0.0147809,0.0115529,0.0149089,0,0.0392473,0,0.00447292,0.0225443,0.00223695,0.0101424,0.00773206,0.00406606,0.00189599,0.00957816,0,0,0.00446053,0,0.00932264,0.00316539,0.0611941,0.00212547,0.018793,0.00928701,0.00191233,0.00720501,0.00270395,0.0261349,0.00669432,0.0065757,0.00495067,0.00780611,0.00367756,0.0055168,0.0122158,0.00618924,0.00270556,0.00241286,0.00475468,0.0101926,0,0,0
158,0.00619663,0.00505959,0,0,0,0.0405271,0.0316495,0.0237474,0.00304083,0,0,0,0,0.00569095,0,0.01476,0.00377771,0.0382582,0.0318674,0.0143203,0.0152997,0,0,0.00167543,0.00575795,0.00539364,0.0118929,0.00938439,0.0269681,0.0108337,0.0154178,0.0117699,0.0152564,0,0.0464908,0,0.00430016,0.0226295,0.00221053,0.0106844,0.00784405,0.00351604,0.00159609,0.00956181,0,0,0.00480477,0,0.00920149,0.0033339,0.0611675,0.0018797,0.0189367,0.00917058,0.00199863,0.00711503,0.00281553,0.0266262,0.0066323,0.0067111,0.00466596,0.00772508,0.00341329,0.00532818,0.0120506,0.00651388,0.0028511,0.00243388,0.00471275,0.0104158,0,0,0
159,0.00680891,0.00508788,0,0,0,0.045014,0.0316027,0.0246489,0.00353288,0,0,0,0,0.00663153,0,0.0143512,0.00383831,0.037799,0.0310525,0.014147,0.0145838,0,0,0.000989481,0.00579477,0.00606215,0.0125002,0.0089087,0.0273051,0.0110279,0.0161134,0.011915,0.0156725,0,0.0515487,0,0.0053578,0.0224668,0.00211377,0.0104417,0.00771718,0.00292518,0.00148139,0.0101382,0,0,0.00335643,0,0.0095755,0.00231497,0.0611402,0.00185341,0.0190853,0.00902969,0.00208851,0.00726223,0.00285148,0.0269236,0.00646288,0.00659736,0.00429322,0.0074932,0.00333816,0.00506033,0.0123953,0.00604275,0.00265874,0.00215393,0.00468764,0.0106981,0,0,0
160,0.00679416,0.00513286,0,0,0,0.0479748,0.0315641,0.0259538,0.00389564,0,0,0,0,0.00647349,0,0.0143901,0.0037392,0.0371054,0.0308128,0.0139682,0.0136091,0,0,0.00074259,0.00602087,0.0066545,0.0132564,0.00846921,0.0277691,0.0111954,0.0166894,0.011859,0.0162324,0,0.0546915,0,0.00530465,0.0224832,0.00214107,0.010682,0.00772933,0.00219394,0.00151806,0.0104973,0,0,0.00345068,0,0.00949882,0.00243261,0.0612488,0.0026339,0.0193432,0.00872578,0.00220138,0.00720296,0.00287725,0.0271053,0.0062772,0.00638315,0.00375411,0.00727317,0.00323332,0.00473235,0.0124309,0.00607477,0.00281413,0.00219876,0.00482808,0.0107397,0,0,0
161,0.0067226,0.00521548,0,0,0,0.0499407,0.0315011,0.027573,0.00427123,0,0,0,0,0.00627823,0,0.0144826,0.00364404,0.0361637,0.0311492,0.0137738,0.0125747,0,0,0.000785036,0.0062212,0.00730284,0.0139314,0.00811503,0.0281098,0.0116469,0.0173548,0.0118721,0.0168438,0,0.0571807,0,0.00516508,0.0224815,0.00213293,0.0108644,0.00772781,0.00189705,0.00182419,0.0108041,0,0,0.003562,0,0.00938674,0.00252886,0.0613963,0.0037798,0.01961,0.00886018,0.00227603,0.00731002,0.00290442,0.0272496,0.00640465,0.00639436,0.00357747,0.0071399,0.00340545,0.00497164,0.0125112,0.00603865,0.00299772,0.00226536,0.00493633,0.0109264,0,0,0
162,0.00677613,0.00534714,0,0,0,0.0512712,0.0314508,0.0290285,0.00466738,0,0,0,0,0.00601073,0,0.0145921,0.00353604,0.0350992,0.0316699,0.0135764,0.0115221,0,0,0.00138149,0.00636542,0.00797101,0.0143014,0.00793254,0.0282185,0.0122652,0.018017,0.0119819,0.0174283,0,0.0587585,0,0.00494374,0.0224851,0.00212246,0.0109248,0.00774517,0.00207047,0.00219731,0.0110989,0,0,0.00355262,0,0.00928599,0.00263336,0.0615121,0.00495253,0.0198523,0.00889621,0.00220156,0.00733085,0.00285351,0.027351,0.00649693,0.00641908,0.00339165,0.00704484,0.00347356,0.00551846,0.0124473,0.00586915,0.00330227,0.00233694,0.00500498,0.010922,0,0,0
163,0.00680591,0.00547722,0,0,0,0.0521236,0.0314417,0.0299983,0.00505943,0,0,0,0,0.00569298,0,0.0146347,0.00341355,0.0340888,0.0319442,0.0133312,0.0104044,0,0,0.00163706,0.00649462,0.00837025,0.0145135,0.00781643,0.0281473,0.0127716,0.0183092,0.0120091,0.0178876,0,0.0596384,0,0.00475174,0.0225016,0.00210484,0.0108677,0.00776239,0.00243725,0.00248965,0.0113407,0,0,0.00350601,0,0.00915616,0.00282314,0.0615944,0.00579933,0.0200522,0.00875029,0.0021557,0.00720224,0.00277892,0.0274842,0.00646929,0.0063945,0.00313732,0.00696266,0.00374613,0.00580168,0.0120069,0.00572337,0.00370983,0.00252642,0.00498907,0.0109237,0,0,0
