Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,LBR,RTHI
195,0.00371698,0.00519962,0,0,0,0.0258381,0.0284496,0.014083,0.00332388,0,0,0,0.0113588,0,0.00427644,0.00498121,0.0327557,0.0303417,0.0151641,0.00775515,0,0,0.00228402,0.021299,0.00589611,0.00949567,0.00511449,0.0309918,0.0104907,0.0130177,0.00578694,0.0104229,0,0.0351917,0,0.0105885,0.0219694,0.00176246,0.0111812,0.00740549,0.011724,0.00679966,0.00994567,0,0,0.00945501,0,0.0110498,0.0073085,0.0623169,0.0133325,0.0140312,0.010882,0.00653823,0.00686004,0.022512,0.00857512,0.0073234,0.0111995,0.0152162,0.00590729,0.0104704,0.0151448,0.00324989,0.0025574,0.00321967,0.00451628,0.00945598,0,0,0,0,0.000974353
196,0.00368421,0.00476723,0,0,0,0.0237933,0.028343,0.0119818,0.00324558,0,0,0,0.0107814,0,0.00418257,0.0045984,0.0331076,0.0294484,0.0152075,0.00894761,0,0,0.00244651,0.0210435,0.00573828,0.00991959,0.00613362,0.0306332,0.00988668,0.0123544,0.00538094,0.0102154,0,0.0332929,0,0.0101753,0.0219475,0.001846,0.0106714,0.00735619,0.0107304,0.00629063,0.00966211,0,0,0.00932453,0,0.0109577,0.00717579,0.0626205,0.011993,0.0144574,0.0128051,0.00651636,0.00666879,0.0230381,0.0101122,0.00955679,0.0112256,0.0154886,0.00632798,0.0106919,0.0157447,0.00336576,0.00262838,0.00320666,0.004089,0.00894338,0,0,0,0,0.00139659
197,0.00345125,0.00426209,0,0,0,0.0211088,0.0282656,0.00982805,0.00298405,0,0,0,0.0102644,0,0.00425356,0.00436009,0.0335049,0.0280481,0.0151744,0.0102634,0,0,0.00244511,0.021109,0.00574441,0.010489,0.00712731,0.0302954,0.00908087,0.0113736,0.00490654,0.0100905,0,0.0306573,0,0.00994564,0.0219668,0.00172583,0.0073361,0.00722208,0.00861401,0.00573881,0.00926616,0,0,0.0128694,0,0.0114394,0.00969015,0.0622415,0.0109624,0.0148533,0.0124878,0.00665436,0.00719273,0.0233881,0.0106959,0.0106147,0.00897591,0.0142411,0.00525308,0.00785743,0.0123213,0.00514179,0.0034212,0.00405922,0.00356638,0.00821409,0,0,0,0,0.00260856
198,0.00308735,0.00407664,0,0,0,0.0178383,0.0282131,0.00788362,0.00275892,0,0,0,0.00992036,0,0.00421531,0.00419258,0.0337931,0.026333,0.015067,0.0115594,0,0,0.0025989,0.0209554,0.00590628,0.0110666,0.00814479,0.0300222,0.00819027,0.0102395,0.00448118,0.0100589,0,0.0273542,0,0.0092364,0.021973,0.00171483,0.0029201,0.00707656,0.00695865,0.00527249,0.00878285,0,0,0.011121,0,0.0108454,0.00849759,0.0613756,0.0102713,0.0153052,0.00989048,0.00650256,0.00654773,0.0240197,0.010105,0.0104685,0.00646569,0.0123908,0.0040801,0.00523379,0.0082823,0.00433795,0.00281805,0.00321689,0.00335254,0.00747607,0,0,0,0,0.00344125
199,0.00291159,0.00406501,0,0,0,0.0139767,0.0281892,0.00668097,0.00267964,0,0,0,0.00970721,0,0.00425188,0.00413997,0.0340407,0.0242609,0.0148059,0.0126271,0,0,0.00255605,0.0207448,0.00592497,0.0113493,0.00910125,0.0296134,0.00737822,0.00899239,0.00420995,0.0100186,0,0.0232911,0,0.0087173,0.0219811,0.00173802,0.00225828,0.00710378,0.00559908,0.00507983,0.00858377,0,0,0.0118222,0,0.0110838,0.0091071,0.0607441,0.00952531,0.0156986,0.00752582,0.00641958,0.0063812,0.0250816,0.00885054,0.00945663,0.00511514,0.0110313,0.0030884,0.00402285,0.00730369,0.00479902,0.0026463,0.00277689,0.00338081,0.00703881,0,0,0,0,0.00348028
200,0.00305269,0.00432028,0,0,0,0.010084,0.0281765,0.00696866,0.00279737,0,0,0,0.00965527,0,0.00417353,0.00406691,0.0343148,0.0219669,0.0144523,0.0133122,0,0,0.00245904,0.020147,0.00565173,0.0111304,0.0097955,0.0288642,0.0067328,0.00760172,0.00428218,0.00978554,0,0.019065,0,0.00824732,0.0219666,0.00181799,0.00436071,0.00721512,0.00401358,0.00500121,0.00885311,0,0,0.011455,0,0.0109072,0.00910392,0.0606808,0.0087729,0.0161042,0.00691955,0.00617209,0.00593235,0.0265185,0.00722073,0.00787989,0.00459617,0.0101827,0.00196803,0.00361913,0.00982301,0.00473935,0.00217934,0.00250328,0.00361924,0.00722179,0,0,0,0,0.00304029
201,0.00300603,0.00431579,0,0,0,0.00768367,0.0281869,0.00876666,0.0033494,0,0,0,0.00969507,0,0.00419874,0.00414381,0.0346385,0.019898,0.013985,0.0137867,0,0,0.00193405,0.0198284,0.00548215,0.0106448,0.0102604,0.0279622,0.00615372,0.00627351,0.00462451,0.00959803,0,0.0165937,0,0.00834271,0.0219458,0.00179249,0.00885325,0.00719119,0.00296204,0.00525316,0.00907137,0,0,0.0109654,0,0.0104234,0.00904147,0.0608767,0.00793543,0.0162678,0.00711034,0.00616393,0.00572815,0.0279417,0.00574,0.0064624,0.00434064,0.00936875,0.00094754,0.00371722,0.0131968,0.00438893,0.00182806,0.00222856,0.00363845,0.00731397,0,0,0,0,0.00304831
202,0.0028508,0.00434839,0,0,0,0.00889558,0.0282329,0.0112655,0.00413685,0,0,0,0.00978383,0,0.00423848,0.00419431,0.0351217,0.0182718,0.0136623,0.0140926,0,0,0.00132514,0.0195382,0.00538251,0.00986916,0.010581,0.0269185,0.00574688,0.00538791,0.0050584,0.00956185,0,0.0175377,0,0.00865492,0.0219486,0.00192852,0.0114691,0.00713189,0.00272176,0.00548911,0.00955443,0,0,0.0105681,0,0.0100882,0.00895396,0.0606831,0.00730779,0.0161812,0.00758337,0.00632909,0.00561797,0.02876,0.00472632,0.00593937,0.00402321,0.00869249,0.00131466,0.00447158,0.0143855,0.00400943,0.00158781,0.00214243,0.00375428,0.00733826,0,0,0,0,0.00358146
203,0.00273427,0.00437786,0,0,0,0.0124363,0.0282461,0.0139231,0.00491203,0,0,0,0.00984022,0,0.00447003,0.00433348,0.0356671,0.0166565,0.0134747,0.0143921,0,0,0.000756761,0.0195347,0.00504562,0.00917121,0.0111094,0.0260192,0.00576063,0.00532481,0.00548541,0.00976845,0,0.0215859,0,0.00938282,0.02197,0.00225999,0.011269,0.00711393,0.00203047,0.00562162,0.00940957,0,0,0.0138856,0,0.0109012,0.0112657,0.059949,0.00666202,0.0158627,0.00767135,0.00662728,0.00656727,0.028558,0.00454071,0.00619469,0.00339146,0.00819664,0.00175214,0.00489833,0.0137133,0.00568776,0.00218735,0.00274341,0.00387112,0.00726217,0,0,0,0,0.00394381
204,0.0032469,0.00489036,0,0,0,0.0177602,0.0282354,0.0167827,0.00552866,0,0,0,0.0100709,0,0.00426257,0.00420735,0.0362539,0.0164713,0.0133048,0.0141504,0,0,0.000959947,0.0185127,0.0044994,0.00824226,0.0113874,0.0251448,0.00598826,0.00565173,0.0062116,0.0100402,0,0.0269149,0,0.00920629,0.021936,0.00275715,0.0114437,0.00711787,0.00108433,0.00548088,0.00937922,0,0,0.0109805,0,0.0103382,0.00939746,0.0592161,0.00611869,0.0156839,0.0071214,0.00650583,0.0058611,0.027719,0.00501892,0.00669018,0.00233433,0.00776998,0.00185136,0.00462805,0.0126039,0.00403087,0.00145612,0.00222218,0.00429829,0.00762863,0,0,0,0,0.00395371
