Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,LBL
All Timesteps RMSE,0.00728388,0.00755421,0,0,0,0.0267278,0.0320294,0.0199766,0.00414328,0,0,0,0.0107468,0,0.00929406,0.00579307,0.0324615,0.0204067,0.0164446,0.0101104,0,0,0.00464397,0.0178196,0.00659141,0.00859396,0.00831052,0.0346572,0.00850786,0.00970737,0.00682915,0.0154353,0,0.0317311,0,0.00761931,0.0218782,0.00234907,0.0221572,0.00757167,0.0114597,0.0056331,0.0135036,0,0,0.00529475,0,0.0131261,0.0036691,0.064901,0.0165278,0.0215492,0.0149762,0.00428489,0.0115935,0.00455261,0.0294912,0.0127405,0.0096478,0.00863185,0.0103303,0.00785989,0.0139539,0.0253744,0.00550997,0.00242913,0.00301242,0.00833086,0.00969661,0,0,0,0
0,0.012265,0.0143272,0,0,0,0.0300954,0.0317079,0.0183276,0.0041882,0,0,0,0.0211551,0,0.00662294,0.0113523,0.0309266,0.0142703,0.0176683,0.00374156,0,0,0.00780515,0.00259003,0.00436028,0.00621105,0.00573271,0.0372098,0.00721784,0.00915118,0.00550378,0.0132181,0,0.0354001,0,0.0141692,0.0213291,0.000964518,0.0274136,0.00741263,0.0165514,0.00642599,0.0204566,0,0,0.00722104,0,0.0131904,0.00492827,0.0639365,0.0246026,0.0175184,0.0201743,0.0033838,0.0227971,0.00796545,0.0350477,0.0182878,0.0130177,0.00935211,0.00436561,0.0137687,0.022251,0.0319308,0.0104669,0.00393095,0.0017695,0.0156603,0.0155437,0,0,0,0
1,0.0122124,0.014006,0,0,0,0.0295101,0.0318538,0.0180999,0.00395124,0,0,0,0.0187552,0,0.00645796,0.0100037,0.0304966,0.0141043,0.0179701,0.00386511,0,0,0.00721983,0.0056942,0.00421349,0.00529841,0.00578686,0.0372977,0.00715238,0.00872275,0.00506195,0.0131645,0,0.034878,0,0.0119081,0.0214182,0.0012459,0.0270623,0.00736508,0.0153034,0.00526105,0.0207701,0,0,0.00725309,0,0.0135024,0.0045232,0.0632587,0.0245265,0.0180741,0.0179828,0.00291424,0.023159,0.0076696,0.0339818,0.016724,0.0119756,0.00954488,0.00465235,0.0140472,0.0233307,0.0330201,0.0109608,0.00397128,0.00167971,0.015556,0.0156464,0,0,0,0
2,0.0125771,0.0140414,0,0,0,0.0294341,0.0319989,0.0183718,0.00400325,0,0,0,0.0163852,0,0.00657535,0.00856967,0.0300393,0.0145301,0.0180089,0.00354065,0,0,0.00706374,0.00851173,0.00432562,0.00511507,0.0057165,0.0372952,0.00713223,0.0087109,0.00484093,0.0131288,0,0.0351981,0,0.0098452,0.0215976,0.00138025,0.0269274,0.00759549,0.0137899,0.00472226,0.0212542,0,0,0.00700819,0,0.0139473,0.00345618,0.0628484,0.0244593,0.018346,0.016113,0.00273385,0.0232483,0.00713955,0.0329225,0.0149616,0.0109787,0.00991755,0.00514982,0.0142944,0.0242642,0.034322,0.0108565,0.00411492,0.0019951,0.0156972,0.0161733,0,0,0,0
3,0.0126382,0.0138071,0,0,0,0.0297068,0.0322136,0.0185088,0.00342533,0,0,0,0.0174671,0,0.00574975,0.00916192,0.0297034,0.0144301,0.0180514,0.00361812,0,0,0.00693344,0.00958856,0.00443556,0.00526599,0.00553281,0.0372183,0.00748568,0.00904123,0.00495581,0.0127855,0,0.0357861,0,0.0104412,0.0214991,0.00119513,0.0268079,0.0073561,0.0123247,0.00437753,0.0213306,0,0,0.00678723,0,0.0140311,0.00342309,0.0624811,0.0245134,0.018451,0.0142152,0.00285135,0.0233757,0.00632658,0.031701,0.0129058,0.00977792,0.0105288,0.00558275,0.0144281,0.0250019,0.0357206,0.0107196,0.00406665,0.00191515,0.0154968,0.016417,0,0,0,0
4,0.0129,0.0138683,0,0,0,0.030011,0.0323117,0.0187076,0.00314237,0,0,0,0.0181936,0,0.00573484,0.00953768,0.0295682,0.014639,0.01815,0.00363543,0,0,0.00687442,0.0108223,0.00448077,0.00532719,0.00525207,0.0370925,0.00768569,0.00930623,0.00494668,0.0125836,0,0.0363422,0,0.0108127,0.0215749,0.00103633,0.0269684,0.00735664,0.0110248,0.00420428,0.0216357,0,0,0.00660007,0,0.0139807,0.00338541,0.0620752,0.024025,0.0185596,0.0127369,0.00289021,0.0238721,0.0056,0.0305699,0.0110734,0.00877687,0.0109735,0.0060815,0.0143895,0.025217,0.0366152,0.0108392,0.00395517,0.00192932,0.0155384,0.0167853,0,0,0,0
5,0.0132646,0.0141227,0,0,0,0.0299923,0.0323721,0.0187391,0.00312514,0,0,0,0.018453,0,0.00595116,0.00949155,0.0294822,0.0147364,0.0181289,0.00358092,0,0,0.00689775,0.0120938,0.00462682,0.00526142,0.00505677,0.0369805,0.00783971,0.00943306,0.00489465,0.0124773,0,0.0365098,0,0.0107896,0.0217047,0.00107004,0.0271198,0.00736494,0.00954699,0.00421972,0.0220421,0,0,0.0064078,0,0.0139452,0.00338975,0.0617816,0.0226354,0.0186755,0.0114523,0.00288737,0.0245819,0.00475955,0.0295026,0.00935642,0.00785576,0.0111585,0.00645018,0.0139038,0.0245016,0.0370007,0.0110781,0.0038995,0.00195842,0.0157582,0.0171878,0,0,0,0
6,0.0136852,0.0144441,0,0,0,0.0296771,0.0324534,0.0187158,0.00318782,0,0,0,0.0182544,0,0.0062534,0.00930779,0.029372,0.0147402,0.0180273,0.00347362,0,0,0.00698033,0.0134579,0.00480215,0.00526852,0.00486999,0.0368519,0.00798745,0.0094852,0.00490202,0.0124328,0,0.0362822,0,0.0104115,0.0219011,0.000959391,0.0269957,0.0073785,0.0078074,0.00435483,0.0224851,0,0,0.00616829,0,0.0139168,0.00338056,0.0615573,0.0207679,0.0188383,0.0103257,0.00294993,0.0253412,0.00393262,0.0284996,0.0079643,0.00707931,0.0109046,0.00674054,0.0127481,0.0227373,0.0367996,0.0113384,0.00382674,0.00199967,0.0160946,0.0175896,0,0,0,0
7,0.0140909,0.0147344,0,0,0,0.0292894,0.0325746,0.0187529,0.00325967,0,0,0,0.0178296,0,0.00651037,0.00909707,0.0292918,0.0148058,0.0178986,0.00328217,0,0,0.00703257,0.014856,0.00500369,0.00534586,0.00468883,0.0367098,0.00813325,0.00954155,0.00491819,0.0123714,0,0.0361201,0,0.00992924,0.0221355,0.00100823,0.0262399,0.00739023,0.00606608,0.00458648,0.0229228,0,0,0.00594028,0,0.0138449,0.00334686,0.0613477,0.0187828,0.0190447,0.00931337,0.00306102,0.0260506,0.00345878,0.0275288,0.00707387,0.0064356,0.0102917,0.00701884,0.0110313,0.0200346,0.0355164,0.0115712,0.00373058,0.00200478,0.0164333,0.0179498,0,0,0,0
8,0.0141359,0.0146998,0,0,0,0.0287353,0.0327469,0.0189958,0.00354589,0,0,0,0.00866411,0,0.00841931,0.00410298,0.0292028,0.0152955,0.0179828,0.00302387,0,0,0.0070279,0.0186262,0.00529416,0.00540687,0.00453093,0.0365158,0.00821667,0.00953474,0.00487217,0.0124096,0,0.035825,0,0.00418873,0.0226333,0.00171653,0.0242982,0.00756526,0.00455207,0.00492025,0.0227386,0,0,0.00527137,0,0.0137736,0.0029402,0.0611868,0.0158852,0.0191163,0.00888103,0.00314455,0.0257849,0.00341856,0.0268652,0.00721492,0.00603634,0.00950954,0.00748185,0.00900049,0.0165896,0.0322514,0.0110748,0.00345479,0.00204989,0.0163599,0.0177783,0,0,0,0
