Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72
All Timesteps RMSE,0.0333023,0.0307111,0,0,0,0.0364181,0.0241034,0.0210391,0.00737977,0,0,0,0,0.0335014,0,0.00716226,0.0257967,0.0329892,0.0263765,0.0131305,0.0128582,0,0,0.0151467,0.0233332,0.00674427,0.0109728,0.0103583,0.0360885,0.00879093,0.0110405,0.00799531,0.0149961,0,0.0429322,0,0.0184846,0.0201336,0.00862918,0.0234933,0.00603183,0.0180991,0.00861705,0.0347876,0,0,0.0192773,0,0.00966463,0.0111351,0.0694709,0.0252238,0.0136293,0.0250961,0.0153178,0.0122609,0.0064424,0.0358993,0.0152563,0.0107775,0.0185251,0.0109402,0.0137821,0.0213311,0.0235212,0.0146764,0.00751288,0.00618659,0.0289765,0.0330184,0,0,0
0,0.0420062,0.0371959,0,0,0,0.0279345,0.0233778,0.0169211,0.00496963,0,0,0,0,0.0383031,0,0.00485257,0.0288971,0.0327326,0.0346062,0.0120192,0.00661682,0,0,0.0125042,0.0391542,0.00698614,0.0075196,0.00364138,0.0360743,0.0119482,0.00953521,0.0088738,0.014471,0,0.0363342,0,0.0221094,0.0202653,0.0112059,0.0184318,0.00560854,0.0219019,0.00933324,0.0442648,0,0,0.0262528,0,0.01075,0.0112155,0.0670962,0.029637,0.00783977,0.0283376,0.0199311,0.016164,0.00740076,0.030441,0.012288,0.0076905,0.0231204,0.017099,0.0193883,0.0264594,0.0113104,0.0186111,0.00766909,0.00649205,0.0349975,0.0431795,0,0,0
1,0.0413471,0.0363472,0,0,0,0.0266035,0.0236061,0.0162722,0.00464371,0,0,0,0,0.0386552,0,0.0052464,0.0287045,0.0326264,0.0340941,0.0123821,0.00586977,0,0,0.0119932,0.0376672,0.00639745,0.00690259,0.00300908,0.0358392,0.0115846,0.0094328,0.0086787,0.0142419,0,0.0351268,0,0.022428,0.0203514,0.010849,0.0196395,0.00568105,0.0231976,0.00878128,0.0439047,0,0,0.0252313,0,0.0105969,0.0107152,0.066629,0.0314418,0.00845455,0.0299884,0.019775,0.0165666,0.00777864,0.0314523,0.0134502,0.00818363,0.0229236,0.0162761,0.0193928,0.0268855,0.0103261,0.0181268,0.00745647,0.00634206,0.0342512,0.0426996,0,0,0
2,0.0414578,0.0364148,0,0,0,0.0259402,0.0238082,0.0157244,0.00459181,0,0,0,0,0.0382336,0,0.00575372,0.0282628,0.0326695,0.0336414,0.0123523,0.00515705,0,0,0.0116462,0.0375077,0.00614153,0.00654095,0.00265362,0.0354728,0.0114988,0.00962317,0.00863414,0.0139173,0,0.0348135,0,0.022026,0.0206833,0.0105576,0.0196441,0.00574411,0.0231547,0.00872965,0.0440264,0,0,0.0246307,0,0.0105372,0.0104391,0.0659826,0.0313064,0.00847839,0.0304118,0.0196528,0.016682,0.0078789,0.0322637,0.0139452,0.00875893,0.0223975,0.0155475,0.0192102,0.0268109,0.0100796,0.0177679,0.00734369,0.00623059,0.0342481,0.0428388,0,0,0
3,0.0416587,0.036523,0,0,0,0.0254297,0.0237584,0.0151348,0.0045657,0,0,0,0,0.0381372,0,0.00562718,0.0283191,0.0327806,0.0330116,0.0121774,0.00478169,0,0,0.011375,0.0373914,0.00590402,0.00618491,0.00262066,0.0350443,0.0115477,0.00988935,0.0086115,0.0135478,0,0.0343451,0,0.0218865,0.0204752,0.0105162,0.019491,0.00578371,0.0227971,0.00873856,0.0443043,0,0,0.0241153,0,0.0104937,0.0102486,0.0653344,0.0297615,0.0082975,0.0301824,0.019601,0.0167915,0.00784765,0.0329019,0.0141536,0.00962563,0.0214317,0.0147889,0.018835,0.0262094,0.0109275,0.017507,0.00728215,0.00622164,0.0342787,0.0430391,0,0,0
4,0.0419695,0.0367306,0,0,0,0.0249132,0.02364,0.0144392,0.00456923,0,0,0,0,0.0381136,0,0.00523047,0.0286017,0.0329652,0.0321239,0.012037,0.00493076,0,0,0.0111253,0.0372914,0.00562772,0.00584505,0.00291318,0.0346392,0.0116051,0.0100886,0.00859968,0.0131692,0,0.0336178,0,0.0218795,0.0202139,0.0105058,0.0194134,0.00583675,0.0221639,0.0088447,0.0446641,0,0,0.0236818,0,0.0104638,0.010149,0.0648067,0.0267017,0.00810376,0.029738,0.0196014,0.016877,0.00785209,0.0334276,0.0142966,0.0101125,0.0202288,0.014197,0.0184378,0.025289,0.0123208,0.0173123,0.007272,0.00616588,0.0344509,0.043249,0,0,0
5,0.0442454,0.0384555,0,0,0,0.0242653,0.0229492,0.0137076,0.00442633,0,0,0,0,0.0381189,0,0.0059057,0.0287929,0.0333122,0.031023,0.0120768,0.00554592,0,0,0.0108653,0.0396571,0.00522036,0.00544699,0.00344129,0.0341314,0.0115872,0.0102479,0.00860466,0.0129181,0,0.0330632,0,0.0223477,0.0206848,0.0107425,0.019755,0.00586636,0.0214839,0.00882638,0.0466133,0,0,0.0233507,0,0.0101937,0.0102062,0.0646408,0.0246845,0.00819654,0.0291072,0.0197344,0.0173563,0.0079799,0.0338367,0.0142949,0.0103515,0.0191506,0.0142723,0.0181108,0.0245667,0.0137158,0.0172413,0.00738518,0.00629523,0.0360553,0.0451773,0,0,0
6,0.0442219,0.0386197,0,0,0,0.0230729,0.0229358,0.0126118,0.00429861,0,0,0,0,0.0389018,0,0.00674217,0.0290455,0.033709,0.0296852,0.0121854,0.00630215,0,0,0.0107547,0.039111,0.00477789,0.00508402,0.00412802,0.033604,0.0113635,0.010154,0.00850363,0.0125701,0,0.0320154,0,0.0229394,0.0207189,0.0105812,0.0202345,0.0059569,0.0215711,0.00860805,0.0467884,0,0,0.0231327,0,0.0100933,0.0103091,0.0650742,0.0262448,0.00881796,0.027635,0.0201395,0.0176792,0.00811639,0.0338916,0.0136231,0.0102689,0.0189061,0.0154021,0.018279,0.024713,0.0150999,0.0173376,0.00748848,0.00656165,0.0362777,0.0450837,0,0,0
7,0.0439148,0.038763,0,0,0,0.0212872,0.0228089,0.0111871,0.00404459,0,0,0,0,0.0398492,0,0.0073723,0.0295001,0.0341732,0.0280757,0.0121831,0.0072213,0,0,0.0106036,0.0382056,0.00429128,0.00483818,0.00486952,0.0330417,0.0109256,0.00979946,0.00826995,0.0120935,0,0.0300746,0,0.0237259,0.0207451,0.0105723,0.0212048,0.00602836,0.0222982,0.00824522,0.0464191,0,0,0.0229588,0,0.0100432,0.0104075,0.0657104,0.0299528,0.00964638,0.0253558,0.0203325,0.0179301,0.00777306,0.0335471,0.0122531,0.00956802,0.0199562,0.0166751,0.0189782,0.0252657,0.0176805,0.0172883,0.00760376,0.00663723,0.0362479,0.0446023,0,0,0
8,0.0436101,0.0387793,0,0,0,0.018983,0.022636,0.00973361,0.00379648,0,0,0,0,0.040902,0,0.00781057,0.030025,0.0346925,0.0263491,0.0120602,0.00825573,0,0,0.0103656,0.0371212,0.00373306,0.00485589,0.00571803,0.0325019,0.0102994,0.00925454,0.0079624,0.0115492,0,0.0272791,0,0.0245186,0.0206926,0.0106171,0.0238424,0.00604744,0.0235555,0.00797457,0.0456449,0,0,0.0227398,0,0.0100065,0.0103203,0.0659516,0.0336263,0.0101604,0.0244111,0.02028,0.0180616,0.00680731,0.0330233,0.0110348,0.00887842,0.0213679,0.0170889,0.0191878,0.0250428,0.0197832,0.0171555,0.00762864,0.00662079,0.0359026,0.0440061,0,0,0
