Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73,LEAR,RTHIA,
572,0.0418624,0.0698428,0,0,0,0,0,0,0.0554628,0,0.0294439,0.0637009,0,0.0300713,0,0,0.0471812,0.0422037,0.0377593,0.0203885,0.0202031,0.0489459,0.0525952,0.0241944,0.0484824,0.0512096,0.0231564,0.0297292,0.030655,0.0163362,0.0221994,0.0261558,0.0325536,0.0136339,0.0134613,0.0243546,0,0.0149965,0.0680257,0.0289002,0,0,0.0425007,0,0,0.0279002,0.0571776,0.0375066,0.040104,0.0125126,0.0613011,0.0784822,0.0373815,0.0604834,0.0404001,0.0658068,0.0444153,0.0466574,0.0733876,0.0408885,0.0244509,0.00863238,0.0165569,0.0542283,0.0548464,0,0,0,0,0,0,0,0,0.072971,0
573,0.041393,0.0701116,0,0,0,0,0,0,0.0554517,0,0.0291194,0.0633323,0,0.0303445,0,0,0.047336,0.0424626,0.0373976,0.020426,0.0202312,0.0496212,0.0526284,0.0241482,0.0487165,0.0514667,0.0229874,0.0299896,0.0309173,0.0164926,0.0219618,0.0270841,0.0322951,0.0135538,0.013497,0.0242324,0,0.014848,0.0678259,0.0286253,0,0,0.0429452,0,0,0.0280942,0.056849,0.0370617,0.0400961,0.012736,0.0611835,0.0782022,0.0371655,0.0603169,0.0403918,0.0654984,0.0437682,0.0462014,0.0730355,0.0399174,0.0241822,0.00875366,0.0167786,0.0543878,0.0552462,0,0,0,0,0,0,0,0,0.0727257,0
574,0.0408881,0.070154,0,0,0,0,0,0,0.0554039,0,0.0285288,0.0630903,0,0.0305451,0,0,0.0476546,0.0427974,0.0373708,0.0204741,0.0202562,0.0502339,0.0526035,0.0240419,0.0490446,0.0517084,0.0229437,0.0303077,0.0313321,0.0166466,0.0217134,0.0283417,0.0321714,0.0135604,0.0135204,0.0242884,0,0.0147169,0.0678445,0.0282838,0,0,0.0431803,0,0,0.0283983,0.0563584,0.0367492,0.0400983,0.0129009,0.0609765,0.0777327,0.0370339,0.0604535,0.0402269,0.0656934,0.043558,0.0464233,0.0731465,0.0387815,0.0239637,0.00899106,0.0168671,0.054382,0.0556093,0,0,0,0,0,0,0,0,0.072539,0
575,0.0406229,0.0700936,0,0,0,0,0,0,0.0551295,0,0.0279108,0.0627407,0,0.0307089,0,0,0.0480458,0.0431377,0.0372248,0.0205956,0.0201842,0.0507654,0.0525807,0.0238778,0.0492823,0.0520929,0.0229778,0.0306729,0.0318616,0.0167344,0.021353,0.0299617,0.0320467,0.0135561,0.0136036,0.0245438,0,0.0146453,0.0680037,0.0279817,0,0,0.0432041,0,0,0.0289975,0.056139,0.0362593,0.0401134,0.0128307,0.0608979,0.0769726,0.0369588,0.0607211,0.0398909,0.0659103,0.0437207,0.0467301,0.0733358,0.0374251,0.0239139,0.00931203,0.0168946,0.054378,0.0559377,0,0,0,0,0,0,0,0,0.0724286,0
576,0.0405671,0.0698739,0,0,0,0,0,0,0.0545308,0,0.0274811,0.0623611,0,0.0308064,0,0,0.0483159,0.0434455,0.0370313,0.0207053,0.0201005,0.0512285,0.0525843,0.0237147,0.0494488,0.0525795,0.0229989,0.0311733,0.0324503,0.0167493,0.0208886,0.0317515,0.0320137,0.0135239,0.013698,0.0248093,0,0.0146571,0.068217,0.0276907,0,0,0.0429364,0,0,0.0296756,0.0560816,0.035629,0.0401106,0.0125742,0.0610613,0.0760933,0.0368461,0.0608225,0.0394397,0.0658107,0.0437225,0.0468022,0.073336,0.0360302,0.023894,0.00966773,0.016872,0.0544034,0.0562794,0,0,0,0,0,0,0,0,0.0722379,0
577,0.0401368,0.0701966,0,0,0,0,0,0,0.0534911,0,0.0271845,0.0619542,0,0.0305973,0,0,0.0484912,0.0437951,0.0365569,0.0208513,0.0200638,0.0515103,0.0526731,0.0236859,0.0497461,0.0531153,0.0229951,0.031604,0.0328478,0.0168204,0.0203808,0.0335567,0.0323484,0.0133112,0.0139886,0.0249987,0,0.0146749,0.0684198,0.0271787,0,0,0.0427612,0,0,0.0302707,0.0559977,0.035008,0.0399422,0.0122333,0.0611458,0.07554,0.0366945,0.0609199,0.039003,0.065588,0.0434471,0.0466519,0.072993,0.0347502,0.023807,0.0094769,0.017309,0.0544899,0.0565027,0,0,0,0,0,0,0,0,0.0718713,0
578,0.0397749,0,0,0,0,0,0,0,0.0518842,0,0.0269557,0.0614278,0,0.0289563,0,0,0.047343,0.044499,0.0365936,0.0220141,0.0201424,0.0552709,0.0480235,0.024161,0.0504871,0.0538309,0.0228989,0.0317498,0.0327194,0.0167813,0.0197568,0.0354058,0.0332353,0.0126181,0.0136073,0.0252116,0,0.0147122,0.0685787,0.0263744,0,0,0.0383938,0,0,0.0291171,0.055867,0.0345865,0.0418332,0.011504,0.0646685,0.0709678,0.0364962,0.0610967,0.038802,0.0650804,0.0429649,0.0461904,0.0725169,0.0335465,0.0253994,0.00839914,0.0167677,0.0613476,0.052608,0,0,0,0,0,0,0,0,0.0715146,0
579,0.0398474,0.0696863,0,0,0,0,0,0,0.0499927,0,0.0261808,0.0612478,0,0.0306922,0,0,0.0485979,0.0445985,0.0358706,0.0212859,0.0204132,0.0526958,0.0526035,0.0240379,0.0506092,0.0540185,0.0227384,0.0324506,0.0333498,0.0173553,0.01956,0.0366077,0.0325108,0.0131816,0.0139926,0.0257774,0,0.0147648,0.0688683,0.0269424,0,0,0.0420126,0,0,0.030437,0.0558306,0.0342027,0.0398007,0.0111384,0.0616239,0.0742486,0.0360759,0.0609119,0.0387993,0.06479,0.0426763,0.0460291,0.0724342,0.0318865,0.0233845,0.00917635,0.0175726,0.0544884,0.0570168,0,0,0,0,0,0,0,0,0.0710689,0
580,0.0396445,0.0695792,0,0,0,0,0,0,0.0476252,0,0.0261075,0.0608487,0,0.0308551,0,0,0.0485229,0.0450067,0.035761,0.0215474,0.0207439,0.0534082,0.0526484,0.0243836,0.0511206,0.0545363,0.0225242,0.0330491,0.0338575,0.0177439,0.0194032,0.0383505,0.0325477,0.013184,0.0138789,0.0263042,0,0.0148881,0.0691875,0.0269447,0,0,0.0420625,0,0,0.0303651,0.055791,0.0339811,0.0397764,0.0105844,0.0617244,0.0737926,0.0358873,0.0609333,0.0392331,0.0645701,0.0423974,0.0459735,0.0724134,0.0306651,0.0231813,0.00907846,0.0175294,0.0545491,0.0573045,0,0,0,0,0,0,0,0,0.0708936,0
581,0.0393988,0.0695995,0,0,0,0,0,0,0.0449022,0,0.026208,0.0605111,0,0.0309731,0,0,0.0484489,0.0453951,0.0359717,0.0218295,0.0210196,0.0541603,0.0526078,0.0247181,0.0516361,0.0549222,0.022269,0.0335725,0.0344027,0.0181595,0.0192637,0.04112,0.0326419,0.0129965,0.0139688,0.0268236,0,0.015038,0.0694751,0.0269265,0,0,0.0422548,0,0,0.0305455,0.0558553,0.0339019,0.0397222,0.00999568,0.0616755,0.0734442,0.0357833,0.0610209,0.0394254,0.0645709,0.0423434,0.0460504,0.0724497,0.0294505,0.0229864,0.00883941,0.0177505,0.0546085,0.0575765,0,0,0,0,0,0,0,0,0.0707985,0
