Timestep,C7,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73,CLAV,,REAR,RASI,LEAR,x74
11,0.0318665,0,0,0,0,0,0,0.0308751,0,0.0267942,0.0641966,0,0.0162296,0,0,0.0478532,0.044971,0.0374158,0.0293673,0.0234848,0.0543347,0.0463172,0.0263848,0.0543973,0.0509429,0.0199714,0.0380118,0.0362518,0.0257621,0.0257731,0.0520015,0.0397996,0.0124744,0.0151488,0,0,0.0237444,0.0288927,0,0.0334792,0,0,0.0317333,0.0532003,0.0359279,0.0250127,0.0163802,0.0518389,0.0640151,0.0805176,0.0739314,0.0666628,0,0.0528783,0.0335197,0.0390645,0.0621151,0.0147049,0.0243126,0.00704746,0.0172092,0.0598518,0.0639541,0,0,0,0,0,0,0,0.0674074,0,0,0,0,0
12,0.0317612,0,0,0,0,0,0,0.0308748,0,0.0267679,0.0640564,0,0.0163017,0,0,0.0478387,0.0446259,0.0368735,0.0297759,0.0234525,0.0544231,0.0465204,0.0267527,0.0543913,0.0505262,0.0200024,0.0373527,0.0359735,0.0254089,0.0258082,0.0508976,0.0395675,0.012559,0.0150696,0.0399078,0,0.0207774,0.0288415,0,0.0333194,0,0,0.0317711,0.0531238,0.0346281,0.0245672,0.0182359,0.0515902,0.0640552,0.0800971,0.0734918,0.0665326,0,0.0534501,0.0337505,0.0403935,0.0634557,0.0143891,0.0242588,0.00694889,0.0169733,0.059968,0.0641584,0,0,0,0,0,0,0,0.0673384,0,0,0,0,0
13,0.0322745,0,0,0,0,0,0,0.029941,0,0.0265824,0.0639895,0,0.0148116,0,0,0.0467348,0.0416568,0.0359221,0.0343166,0.0256292,0.0567159,0.0403074,0,0.0568629,0.0499183,0.0160058,0.0376943,0.0362483,0.0255404,0.0258577,0.0525836,0.0406578,0.0121191,0.0150173,0,0,0.0235624,0.0268046,0,0.0286903,0,0,0.0302024,0.0519448,0.0319267,0.0215528,0.0162227,0.0527252,0.0589625,0.0770118,0.0716701,0.062916,0,0.056506,0.0365097,0.0421438,0.0654555,0.0140138,0.0270257,0.00594831,0.0160577,0.0662274,0.0597978,0,0,0,0,0,0,0,0,0,0,0.0642981,0,0
14,0.0319635,0,0,0,0,0,0,0.0302644,0,0.0270371,0.063821,0,0.0160401,0,0,0.0478806,0.0406628,0.0372791,0.0324372,0.0240669,0.0536345,0.0453197,0.027156,0.0546897,0.0492426,0.017867,0.0370746,0.036015,0.0252375,0.0262439,0.052611,0.0397507,0.0124417,0.0150319,0,0,0.023679,0.0289745,0,0.0328103,0,0,0.0314518,0.0523637,0.0320337,0.0189233,0.0166999,0.0504858,0.0638454,0.0767616,0.0712029,0.0623556,0,0.0567236,0.0366422,0.0423411,0.0657194,0.0146168,0.0244152,0.00660512,0.0167717,0.0602345,0.0638436,0,0,0,0,0,0,0,0.0680452,0,0,0.0647461,0,0
15,0.0319213,0,0,0,0,0,0,0.0298172,0,0.027138,0.0635639,0,0.016027,0,0,0.0481439,0.0404646,0.0370398,0.0323965,0.0239951,0.0534251,0.0452402,0.0272722,0.0545798,0.0489485,0.0182562,0.0362036,0.0358835,0.0248219,0.0258691,0.0493641,0.0398856,0.0124808,0.0150724,0,0,0.0238832,0.0289196,0,0.0327232,0,0,0.0313251,0.0524317,0.0322547,0.0185245,0.0170777,0.0501878,0.0638941,0.0767842,0.0711781,0.0624428,0,0.0565772,0.0364814,0.0421667,0.065615,0.0149708,0.0244085,0.00651334,0.016788,0.0601891,0.0637444,0,0,0,0,0,0,0,0.0681012,0,0,0.0646962,0,0
16,0.0318834,0,0,0,0,0,0,0.0296472,0,0.027053,0.0633313,0,0.0159535,0,0,0.0483619,0.0403006,0.0366334,0.0324224,0.0239186,0.0532937,0.0451176,0.0273044,0.0544336,0.048775,0.0186308,0.035897,0.0355698,0.0244226,0.0259498,0.0454511,0.0397855,0.0125409,0.0150968,0,0,0.0240666,0.0290796,0,0.0326511,0,0,0.03139,0.0527219,0.0320975,0.0181132,0.017166,0.0500284,0.0639426,0.0767226,0.0707327,0.062557,0,0.056568,0.0364798,0.0420438,0.0655677,0.0148683,0.0244469,0.00649051,0.0168934,0.0600466,0.0637604,0,0,0,0,0,0,0,0.068331,0,0,0.064481,0,0
17,0.0321591,0,0,0,0,0,0,0.0314658,0,0.0269253,0.0626051,0,0.0158668,0,0,0.0482858,0.0409791,0.0348521,0.0328689,0.025254,0.0528704,0.0451759,0,0.0563466,0.0484591,0.0175179,0.0356809,0.035436,0.023604,0.0257912,0.0389079,0.0397965,0.0125231,0.0151022,0,0,0.0241048,0.0289928,0,0.0323452,0,0,0.0315074,0.052496,0.0318509,0.0177988,0.0172354,0.0491739,0.0636466,0.0765285,0.0706133,0.0625255,0,0.0564966,0.0364557,0.0418596,0.0654063,0.0144299,0.0246388,0.00655132,0.0169315,0.0599976,0.0633385,0,0,0,0,0,0,0,0.0682587,0,0,0.0641105,0,0
18,0.0319859,0,0,0,0,0,0,0.0336038,0,0.0271859,0.0623165,0,0.0157519,0,0,0.0479118,0.0408489,0.0343633,0.0326508,0.0248532,0.052548,0.0451817,0,0.0564554,0.0480412,0.0181368,0.0349441,0.0350527,0.0225561,0.0258699,0.0347357,0.0399168,0.012414,0.0150958,0,0,0.0243386,0.0289523,0,0.0322704,0,0,0.0316615,0.0529358,0.031542,0.0175262,0.0176875,0.049112,0.0635465,0.0764855,0.0702515,0.0621829,0,0.0563134,0.0363055,0.0417145,0.0651882,0.0141962,0.0248805,0.00670911,0.0170029,0.0597687,0.0633913,0,0,0,0,0,0,0,0.0679153,0,0,0.0639134,0,0
19,0.0314954,0,0,0,0,0,0,0.0370717,0,0.0279396,0.0645253,0,0.0155985,0,0,0.0474703,0.0423148,0.0355125,0.0281799,0.0220183,0.0527449,0.0445006,0.0271739,0.054277,0.0490665,0.0229581,0.0330615,0.0334716,0.0210367,0.0262535,0.0291707,0.0400402,0.0122388,0.0149776,0.0424266,0,0.0265483,0.0292053,0,0.0324996,0,0,0.0318495,0.060521,0.0435195,0.0271249,0.0189713,0.0528417,0.0642587,0,0.0720261,0.0693043,0,0.048725,0.0308805,0.0354382,0.0574369,0.0114135,0.0251181,0.00669598,0.0172029,0.0593667,0.0636754,0,0,0,0,0,0,0,0.0676262,0,0,0,0,0
20,0.0317145,0,0,0,0,0,0,0.038609,0,0.0274827,0.0624631,0,0.0155404,0,0,0.0471668,0.0407056,0.0346771,0.0314285,0.0233911,0.0520005,0.0445692,0,0.0559444,0.0473821,0.0205925,0.0333328,0.0339314,0.0212951,0.0266657,0.0251426,0.0402849,0.0123403,0.0148771,0.0380559,0,0.0226185,0.0289735,0,0.0318051,0,0,0.0315902,0.0577835,0.0341102,0.0200304,0.0167598,0.0503165,0.0637051,0,0.0673904,0.0627581,0.040204,0.055633,0.0356956,0.041576,0.0650563,0.0122794,0.0252922,0.00660868,0.0166777,0.0590579,0.0633973,0,0,0,0,0,0,0,0.0678045,0,0,0.0663999,0,0
