Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73,x74,x75,REAR
944,0.0314018,0.0693166,0,0,0,0,0,0,0.0326031,0,0.0266512,0.0616075,0,0,0.0130401,0,0,0.0473451,0.0405897,0.0327181,0.0325346,0.0188361,0.0523819,0.0428931,0.0238293,0.0510476,0.0511289,0.0257738,0.0344377,0.0353223,0.0221495,0.0267686,0.0195444,0.0422496,0.0126234,0.0144346,0.0353716,0,0.019249,0.0651531,0.0254292,0,0.0340056,0,0,0.0328555,0.0572417,0.0322106,0.0217147,0.0129421,0.0515752,0.0660528,0.0365454,0.0651932,0.0610965,0.0398782,0.0597066,0.0391203,0.0437416,0.0675213,0.0125501,0.0258796,0.00892695,0.0190852,0.0519604,0.0617602,0,0,0,0,0,0,0,0,0,0
945,0.0310684,0.0688351,0,0,0,0,0,0,0.0335792,0,0.0265049,0.0616317,0,0,0.0128705,0,0,0.0470468,0.0406053,0.0323092,0.0324153,0.019111,0.0517477,0.0422262,0.0239272,0.050657,0.0516251,0.0264637,0.0345961,0.0351996,0.0224075,0.0269575,0.0187635,0.0428553,0.0126359,0.0144123,0.0355091,0,0.0193166,0.0649205,0.0256184,0,0.0331463,0,0,0.0327407,0.0573384,0.0321658,0.0213379,0.013188,0.0512418,0.065733,0.0365125,0.0650021,0.0610348,0.0398673,0.0597559,0.0391807,0.0438361,0.0675583,0.0124941,0.0265219,0.00918143,0.0191917,0.0517431,0.061942,0,0,0,0,0,0,0,0,0,0
946,0.0305745,0.068419,0,0,0,0,0,0,0.0345664,0,0.0264294,0.0620368,0,0,0.0127672,0,0,0.0466345,0.041237,0.0320217,0.0323595,0.0193446,0.051308,0.0414512,0.0248081,0.0506228,0.0518394,0.0266072,0.0346277,0.0351192,0.0225931,0.0270301,0.0179615,0.0434784,0.0126308,0.0142881,0.0357211,0,0.0194194,0.0647292,0.0258788,0,0.0325346,0,0,0.0326485,0.0575359,0.0320683,0.0209107,0.0133065,0.0508751,0.0653787,0.0363669,0.0647374,0.06096,0.0398499,0.0598171,0.0392032,0.0438927,0.0676093,0.0124126,0.0271777,0.00950046,0.0191043,0.0516222,0.0622107,0,0,0,0,0,0,0,0,0,0
947,0.0298837,0.0680817,0,0,0,0,0,0,0.0354902,0,0.0263382,0.0627025,0,0,0.0127553,0,0,0.0461516,0.0422089,0.0318354,0.0322652,0.0193701,0.0510134,0.0406576,0.0258789,0.050836,0.0517828,0.0264129,0.0346563,0.0353885,0.0227618,0.0269983,0.0171284,0.0440625,0.012653,0.0140127,0.0360047,0,0.019518,0.0645943,0.0261285,0,0.0320845,0,0,0.0325732,0.0577287,0.0319489,0.0204449,0.0134448,0.0505139,0.0649902,0.0363256,0.0645561,0.0608653,0.0398587,0.0598998,0.0392225,0.0439188,0.0677339,0.0122899,0.0278611,0.00975758,0.0189595,0.0515879,0.0623847,0,0,0,0,0,0,0,0,0,0
948,0.0292882,0.0675733,0,0,0,0,0,0,0.036243,0,0.0262026,0.0634612,0,0,0.0126536,0,0,0.0457146,0.0430434,0.0317124,0.0320776,0.0193378,0.0508486,0.039973,0.0264176,0.0508737,0.0515819,0.0263011,0.0347891,0.0356755,0.0228885,0.0269659,0.0165692,0.0445856,0.0122112,0.0143976,0.0360256,0,0.0195648,0.0645982,0.0263505,0,0.0316352,0,0,0.0327785,0.0580011,0.0318519,0.0199642,0.0137084,0.0501329,0.0647104,0.0362368,0.0643806,0.0608093,0.0399026,0.0599016,0.0391865,0.0439158,0.0679119,0.0122006,0.0286425,0.00974667,0.0193432,0.0514714,0.062545,0,0,0,0,0,0,0,0,0,0
949,0.0289876,0.0670341,0,0,0,0,0,0,0.0368082,0,0.0261172,0.0638554,0,0,0.0128119,0,0,0.0452685,0.0433552,0.0314664,0.0319106,0.0193695,0.0506981,0.0394412,0.0264225,0.0505832,0.0513214,0.0263844,0.0349255,0.035818,0.022887,0.0269951,0.0161643,0.0451462,0.0123086,0.0140907,0.03619,0,0.0196069,0.0645703,0.0264981,0,0.0312222,0,0,0.0328225,0.0580937,0.0317403,0.0194457,0.013936,0.0496933,0.0641322,0.0362195,0.0642724,0.0607277,0.0399136,0.0599249,0.0391753,0.0439536,0.0679209,0.0121101,0.0292683,0.010125,0.0190289,0.0514352,0.0626484,0,0,0,0,0,0,0,0,0,0
950,0.0294034,0.0664873,0,0,0,0,0,0,0.0375038,0,0.026464,0.0627103,0,0,0.0130618,0,0,0.0447069,0.0447409,0.0314923,0.0304704,0.0189257,0.0495744,0.0385154,0.0273217,0.0504789,0.0514454,0.0271887,0.0346816,0.0355609,0.022577,0.0270069,0.0154706,0.045861,0.0122266,0.0138861,0.0471772,0,0.0224349,0.067288,0.0264975,0,0.030535,0,0,0.0327995,0.0534557,0.0326779,0.02051,0.010297,0.0476183,0.0633292,0.040483,0,0.0640377,0.0416271,0.0571282,0.0349537,0.040896,0.0647044,0.0174239,0.0300709,0.0103937,0.018829,0.0517213,0.0617157,0,0,0,0,0,0,0,0,0,0
951,0.0288177,0.0656955,0,0,0,0,0,0,0.0374876,0,0.026551,0.0625032,0,0,0.0132028,0,0,0.0442998,0.0444034,0.0312093,0.0304979,0.019077,0.0491725,0.0380939,0.0270223,0.050171,0.0515569,0.0274208,0.0346417,0.0356541,0.0225676,0.0270204,0.0153159,0.0463629,0.0117342,0.014417,0.0468715,0,0.0225001,0.0674775,0.026422,0,0.0296503,0,0,0.0328713,0.0535358,0.0326707,0.0200366,0.0106807,0.0472732,0.0627291,0.0405695,0,0.0639247,0.0416656,0.0570644,0.0349915,0.0409374,0.064707,0.016936,0.031,0.0102649,0.0194646,0.0515294,0.0617683,0,0,0,0,0,0,0,0,0,0
952,0.0273439,0.0649881,0,0,0,0,0,0,0.0369432,0,0.026273,0.0632582,0,0,0.013569,0,0,0.0440639,0.0425319,0.0306816,0.0317102,0.0196679,0.0495422,0.0381537,0.0257458,0.049733,0.0514981,0.0269014,0.0349853,0.0361548,0.0229394,0.0271614,0.0155442,0.0467556,0.0116755,0.0144803,0.036036,0,0.0199187,0.0648481,0.0263729,0,0.0286731,0,0,0.0327427,0.0580885,0.0317761,0.0179592,0.0145082,0.0486656,0.0619788,0.0363316,0.0639051,0.0603315,0.0398844,0.0598207,0.0392123,0.0440311,0.0679652,0.0121937,0.0317579,0.0105853,0.0193153,0.0511077,0.0628757,0,0,0,0,0,0,0,0,0,0
953,0.0266564,0.0644063,0,0,0,0,0,0,0.0370247,0,0.0262377,0.0627914,0,0,0.0140817,0,0,0.0438238,0.0423008,0.0306554,0.0314993,0.0197919,0.0490183,0.0377845,0.0255045,0.0495962,0.051588,0.0267826,0.0351066,0.036382,0.0231541,0.0273377,0.0154485,0.0473753,0.011644,0.0145098,0.0359241,0,0.0200278,0.0649772,0.0262687,0,0.027532,0,0,0.0325794,0.058032,0.0318454,0.017535,0.0146804,0.0484062,0.0610659,0.0362982,0.063894,0.0599783,0.0398212,0.0597835,0.0391857,0.0439885,0.0680711,0.0122759,0.0326167,0.010852,0.0191129,0.051059,0.0632676,0,0,0,0,0,0,0,0,0,0
954,0.0259803,0.0638418,0,0,0,0,0,0,0.037122,0,0.0262852,0.0626846,0,0,0.0146513,0,0,0.0436079,0.042148,0.0306639,0.0313668,0.0199552,0.0483329,0.0374415,0.0252498,0.0495149,0.0515042,0.0265921,0.0352803,0.0365576,0.0233771,0.0275448,0.0154164,0.0480349,0.0116968,0.0144855,0.035828,0,0.0200868,0.0650926,0.0261715,0,0.0264145,0,0,0.0323785,0.0580031,0.03189,0.0170608,0.0149078,0.0481724,0.060064,0.0361464,0.0638901,0.0598247,0.0397525,0.059746,0.0391422,0.0439922,0.0679528,0.0123574,0.033451,0.011109,0.0189072,0.0510355,0.063696,0,0,0,0,0,0,0,0,0,0
955,0.0253235,0.0633549,0,0,0,0,0,0,0.0370429,0,0.0263463,0.0626494,0,0,0.0151699,0,0,0.0432063,0.0419865,0.0306678,0.0312542,0.0200593,0.0475689,0.0371261,0.0250105,0.0494363,0.0513323,0.0264513,0.0354133,0.0365093,0.0235708,0.0277033,0.0154702,0.0487138,0.0117181,0.0143743,0.0357463,0,0.0201528,0.0651763,0.026111,0,0.0253023,0,0,0.0320792,0.0580158,0.0319198,0.016552,0.0151028,0.0478939,0.0590075,0.0358829,0.0638911,0.0598069,0.0397513,0.0597077,0.0391092,0.044009,0.0678526,0.0124153,0.0342326,0.0113674,0.0187262,0.0511179,0.0639615,0,0,0,0,0,0,0,0,0,0
956,0.0246989,0.0629844,0,0,0,0,0,0,0.0370424,0,0.0263994,0.0625231,0,0,0.0155832,0,0,0.0425582,0.0418059,0.030699,0.0310679,0.0200746,0.0469814,0.0368822,0.0250881,0.0492929,0.0511778,0.0263937,0.0354892,0.0361229,0.0237387,0.0277999,0.0156227,0.049307,0.0116674,0.0141714,0.0357061,0,0.0202229,0.0652372,0.0260659,0,0.0243015,0,0,0.0317114,0.0580688,0.0319405,0.0160092,0.0152174,0.0476175,0.0580126,0.0356861,0.063856,0.0597711,0.0397569,0.0596617,0.0390747,0.0439872,0.0678188,0.0124558,0.0349137,0.0115726,0.0185143,0.0513233,0.0641913,0,0,0,0,0,0,0,0,0,0
