Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73,x74,
13,0.0526899,0.0453253,0,0,0,0,0,0,0.0362581,0,0.0383551,0.0623306,0,0,0.0186074,0,0,0.0462058,0.0394729,0.0376136,0.0216976,0.0444827,0.045744,0.0261529,0.0464415,0.0504595,0.0234104,0.0345056,0.0371795,0.021069,0.0242273,0.0276554,0.0427736,0.0155911,0.0133926,0.0514146,0,0.033362,0.066262,0.0399446,0,0,0.00792926,0,0,0.0218481,0.0608945,0.0466681,0.0107039,0.0271371,0.0415223,0.078095,0.0309439,0.0622073,0.0610975,0.0395567,0.068485,0.0483889,0.0489626,0.0712485,0.0136572,0.0319703,0.0219742,0.0101064,0.0310939,0.0720517,0,0,0,0,0,0,0,0,0
14,0.0523249,0.0457427,0,0,0,0,0,0,0.0366553,0,0.0378661,0.0622736,0,0,0.0179261,0,0,0.046688,0.0394008,0.0376839,0.0220097,0.0447888,0.0450124,0.0260757,0.0466466,0.0503534,0.023477,0.0347148,0.0374682,0.0210397,0.0243745,0.0274076,0.0430534,0.0154924,0.0138505,0.051589,0,0.0338217,0.0661764,0.0398028,0,0,0.00685564,0,0,0.0228682,0.0613052,0.0474881,0.0106961,0.02714,0.0419034,0.078117,0.030634,0.0620569,0.0611755,0.0398334,0.0684053,0.0483079,0.0487565,0.0711411,0.0145457,0.0325972,0.0222979,0.0114144,0.0311877,0.0720112,0,0,0,0,0,0,0,0,0
15,0.0532725,0.0460639,0,0,0,0,0,0,0.0365647,0,0.0379885,0.0621517,0,0,0.0175598,0,0,0.0465844,0.039473,0.0380341,0.0211874,0.045223,0.0441021,0.0256826,0.0472521,0.050709,0.0238379,0.0346323,0.0374044,0.0210901,0.0247253,0.0277719,0.0426879,0.0154302,0.0157718,0.0513801,0,0.0330598,0.0659119,0.0403713,0,0,0.00655486,0,0,0.0225302,0.0607446,0.0463605,0.0110491,0.0271708,0.0419694,0.0775799,0.0309163,0.0624608,0.0611122,0.0394244,0.0687302,0.0485741,0.0492225,0.0714839,0.0130271,0.032544,0.0221648,0.0152268,0.0312864,0.0721093,0,0,0,0,0,0,0,0,0
16,0.0544529,0.0474745,0,0,0,0,0,0,0.0388903,0,0.0354558,0.0602733,0,0,0.0148291,0,0,0.0476525,0.0389875,0.0374792,0.0193258,0.0461797,0.0424178,0.0256244,0.0480638,0.0505312,0.0241882,0.0350608,0.0384114,0.0217683,0.0260499,0.0257827,0.042358,0.0169711,0.0171008,0.0507479,0,0.0325681,0.0647377,0.0408574,0,0,0.00522692,0,0,0.0237783,0.0596007,0.0457392,0.01243,0.0267009,0.0419779,0.0759196,0.0311268,0.0625072,0.0605554,0.0386469,0.0689729,0.0488536,0.0495977,0.0718912,0.0129047,0.0330235,0.0225449,0.0186259,0.0320385,0.0716695,0,0,0,0,0,0,0,0,0
17,0.0530611,0.0466324,0,0,0,0,0,0,0.0364011,0,0.03775,0.0622468,0,0,0.0176197,0,0,0.0467977,0.0395658,0.0382246,0.0210364,0.0454137,0.0445092,0.0258388,0.0476568,0.0507588,0.0235106,0.0345088,0.0373976,0.020959,0.0244353,0.0281469,0.0422772,0.0155862,0.0157255,0.0513633,0,0.0331092,0.0657871,0.0402632,0,0,0.0134399,0,0,0.0245492,0.0606506,0.0466336,0.01143,0.0270001,0.0419857,0.0782339,0.0311973,0.0626073,0.0611872,0.0398264,0.0686102,0.0485618,0.0491574,0.0714314,0.0129781,0.0359467,0.0181929,0.0168147,0.0313937,0.071637,0,0,0,0,0,0,0,0,0
18,0.0528642,0.0462005,0,0,0,0,0,0,0.0367097,0,0.0368543,0.0628713,0,0,0.0189954,0,0,0.0465751,0.0395639,0.0383733,0.0214521,0.0456107,0.0464274,0.0261847,0.0478783,0.0507165,0.0236853,0.0344362,0.0373448,0.0206358,0.0243926,0.0277084,0.0426021,0.016265,0.0101575,0.0514837,0,0.0345614,0.066503,0.0400453,0,0,0.00463386,0,0,0.024377,0.0628463,0.0493589,0.0114251,0.0273944,0.0429359,0.0790736,0.030383,0.0620706,0.0619962,0.0402373,0.068179,0.0481964,0.0483523,0.0708757,0.0158969,0.0333053,0.0248493,0.00690884,0.0307809,0.072393,0,0,0,0,0,0,0,0,0
19,0.0539601,0.0457849,0,0,0,0,0,0,0.0360654,0,0.0373889,0.0624123,0,0,0.019635,0,0,0.0456307,0.0396333,0.0384777,0.0216232,0.0451133,0.046943,0.0263072,0.0476435,0.0506887,0.0236243,0.0343982,0.0373576,0.0205209,0.023857,0.0289953,0.0424812,0.0163926,0.0109886,0.0518765,0,0.0334643,0.0659749,0.0407305,0,0,0.00517114,0,0,0.0234097,0.0606137,0.0467198,0.0111976,0.0267777,0.0417298,0.0794324,0.0313009,0.0625575,0.0611646,0.0394431,0.0683838,0.0482831,0.0488937,0.0712056,0.0128287,0.0329919,0.0249496,0.00817738,0.0302048,0.0726037,0,0,0,0,0,0,0,0,0
20,0.0542693,0.0459515,0,0,0,0,0,0,0.035841,0,0.0361045,0.0625303,0,0,0.0199415,0,0,0.0453607,0.0395449,0.0384644,0.021316,0.0452621,0.0468082,0.0263901,0.0477628,0.0507215,0.0238277,0.0344187,0.0371206,0.0207056,0.0245538,0.0293739,0.043918,0.0162105,0.01107,0.0519026,0,0.0334029,0.0658319,0.0408932,0,0,0.0049696,0,0,0.0235582,0.0608025,0.0467473,0.0113062,0.0269078,0.0419034,0.0795149,0.0314102,0.0625033,0.0612577,0.0397337,0.0683679,0.0482991,0.0489115,0.0712371,0.0128344,0.0331303,0.0251563,0.00838957,0.0301881,0.0727115,0,0,0,0,0,0,0,0,0
21,0.0544894,0.0460233,0,0,0,0,0,0,0.0357758,0,0.0358225,0.0625589,0,0,0.0199315,0,0,0.0454206,0.0394848,0.038797,0.0211524,0.0453601,0.0474694,0.0263027,0.0477793,0.0507158,0.0238615,0.0344201,0.0370257,0.0207516,0.0246945,0.0293751,0.0442099,0.0161816,0.0110505,0.0518452,0,0.0332147,0.0656996,0.040948,0,0,0.00477718,0,0,0.0237284,0.0609121,0.0467941,0.0113878,0.0269402,0.0420749,0.0799254,0.0313197,0.0625111,0.0613206,0.0395214,0.0683841,0.0484176,0.0490353,0.0713787,0.0130416,0.0333108,0.0253796,0.00864382,0.0301539,0.0728393,0,0,0,0,0,0,0,0,0
22,0.0544708,0.0459931,0,0,0,0,0,0,0.0356214,0,0.0356407,0.0627554,0,0,0.0194416,0,0,0.04569,0.0394476,0.0389449,0.0211069,0.0453735,0.0478521,0.0262144,0.0477631,0.0506457,0.0239559,0.0344661,0.037049,0.0208386,0.0250862,0.0295011,0.0440087,0.0159308,0.0120476,0.0518417,0,0.0331082,0.065721,0.0405405,0,0,0.00449307,0,0,0.0238777,0.0609511,0.0468283,0.0114162,0.0268995,0.0421539,0.0808008,0.0312277,0.0625959,0.0613653,0.0393427,0.0684128,0.0484775,0.049093,0.0714557,0.013036,0.033669,0.0254681,0.00959829,0.0300467,0.0729969,0,0,0,0,0,0,0,0,0
