Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73,
550,0.040677,0.0653875,0,0,0,0,0,0,0.0388019,0,0.0189167,0.0508801,0,0,0.0266692,0,0,0.0632378,0.0357136,0.0333366,0.0218797,0.0241489,0.0542528,0.0421033,0.0250168,0.0404798,0.0428198,0.0225275,0.0401391,0.0438903,0.024452,0.0230748,0.0382366,0.0428801,0.0167181,0.0179698,0.028719,0,0.0179015,0.0466665,0.0237079,0,0,0.0478811,0,0,0.0278587,0.0495397,0.0500044,0.0284764,0.0137912,0.0630554,0.088463,0.0468293,0.0748153,0.0581862,0.0374045,0.073883,0.0524827,0.0556254,0.0818899,0.0493924,0.0217492,0.00489109,0.0154977,0.0513089,0.0505746,0,0,0,0,0,0,0,0
551,0.0405136,0.0656723,0,0,0,0,0,0,0.039334,0,0.0189992,0.0507501,0,0,0.0268555,0,0,0.0631478,0.0356873,0.0333166,0.0218599,0.0242028,0.054302,0.0426363,0.0248835,0.0403274,0.0427276,0.0225984,0.0400509,0.0438563,0.0244509,0.0232114,0.0382608,0.0428893,0.0167582,0.017965,0.0285361,0,0.0177257,0.0464954,0.0235241,0,0,0.048115,0,0,0.0277593,0.049518,0.0495631,0.0284626,0.0135833,0.0629671,0.0882815,0.0469061,0.0747075,0.0583257,0.0375829,0.0738056,0.0524026,0.054455,0.0817676,0.0478226,0.0216277,0.0050156,0.0155154,0.0513947,0.0506349,0,0,0,0,0,0,0,0
552,0.0402809,0.0660069,0,0,0,0,0,0,0.0397757,0,0.0190942,0.0505954,0,0,0.0270871,0,0,0.0631118,0.0356047,0.033275,0.0217474,0.0242009,0.0543764,0.0431698,0.0247153,0.0402975,0.0427031,0.022761,0.0398525,0.0438985,0.024404,0.0233083,0.0383502,0.0428599,0.0168086,0.0179763,0.0285545,0,0.0177498,0.0462262,0.0232189,0,0,0.0484393,0,0,0.0277901,0.0495178,0.0493993,0.0284238,0.0133957,0.062879,0.0881297,0.0466702,0.0749152,0.05829,0.0377858,0.0738687,0.0521469,0.0532406,0.0818537,0.0460687,0.0213589,0.00514682,0.0155673,0.0514549,0.0506966,0,0,0,0,0,0,0,0
553,0.03994,0.0664424,0,0,0,0,0,0,0.0401316,0,0.019158,0.0503547,0,0,0.0273541,0,0,0.0632217,0.0355418,0.0333453,0.0215411,0.0241588,0.0544351,0.0436883,0.0246093,0.0404224,0.0426421,0.0229569,0.0397997,0.0439101,0.0243248,0.023367,0.0384558,0.0427904,0.0169001,0.0179953,0.0289213,0,0.0181663,0.0459808,0.0227895,0,0,0.0490071,0,0,0.0280074,0.049417,0.0487868,0.0284505,0.0132359,0.0627829,0.0878213,0.046508,0.0747527,0.0581211,0.0381391,0.073872,0.0515575,0.0526131,0.0817816,0.0438652,0.0209553,0.00527242,0.0157419,0.0515,0.0507758,0,0,0,0,0,0,0,0
554,0.039648,0.066969,0,0,0,0,0,0,0.0404337,0,0.0191812,0.0500765,0,0,0.0276727,0,0,0.0634573,0.0355422,0.0335618,0.0213133,0.0240994,0.0545812,0.0442554,0.0245907,0.0404134,0.0425743,0.0231071,0.0398732,0.0438702,0.0242575,0.0233361,0.0385998,0.0426942,0.0170537,0.0180079,0.028953,0,0.0190072,0.0457703,0.0222869,0,0,0.049901,0,0,0.028309,0.049154,0.046817,0.0285528,0.0132925,0.0626876,0.0876584,0.0465169,0.0745411,0.0582437,0.0384302,0.0733881,0.0509258,0.0526086,0.081319,0.041755,0.0207698,0.00536393,0.016033,0.0515986,0.0508591,0,0,0,0,0,0,0,0
555,0.0394354,0.0676446,0,0,0,0,0,0,0.0406642,0,0.0190993,0.0497039,0,0,0.0281027,0,0,0.0636857,0.0356196,0.0338112,0.0211419,0.0240027,0.0549575,0.0449106,0.0246436,0.0402452,0.0425061,0.0232131,0.0396934,0.0437913,0.0242582,0.0232382,0.0387916,0.04249,0.0172112,0.0180234,0.0280326,0,0.0198799,0.0455562,0.0217857,0,0,0.0510947,0,0,0.0287579,0.0487234,0.043301,0.0286237,0.0135061,0.0626469,0.0886277,0.0466134,0.0743594,0.0589864,0.0384722,0.0723763,0.0501792,0.0519719,0.0803387,0.0403911,0.0206405,0.00550975,0.0165075,0.0517499,0.0509159,0,0,0,0,0,0,0,0
556,0.0392909,0.0684685,0,0,0,0,0,0,0.0408405,0,0.0189598,0.0492175,0,0,0.0286422,0,0,0.0638373,0.0357273,0.0339595,0.0210422,0.0238701,0.0555589,0.0456663,0.0247332,0.0401846,0.0423958,0.0232298,0.0392062,0.0437341,0.0242586,0.0231699,0.0389868,0.0421786,0.0173471,0.018029,0.0267375,0,0.0204144,0.0453789,0.0213721,0,0,0.0523255,0,0,0.0295605,0.0481524,0.0401932,0.0286514,0.0137096,0.0627477,0.0908893,0.0465542,0.0739308,0.0595236,0.0386369,0.0713903,0.0492309,0.0507585,0.0789314,0.0400753,0.0202336,0.00583605,0.0170674,0.0520353,0.051018,0,0,0,0,0,0,0,0
557,0.0389612,0.0692168,0,0,0,0,0,0,0.0411604,0,0.0187864,0.048716,0,0,0.0291664,0,0,0.0638738,0.0357945,0.0339477,0.0208429,0.0238263,0.055899,0.0465985,0.0248289,0.0402191,0.0422119,0.0232672,0.0389625,0.0438519,0.0242883,0.0231708,0.0391256,0.0419647,0.0174059,0.0180667,0.0258739,0,0.0209472,0.0453063,0.0209808,0,0,0.0536176,0,0,0.0305362,0.047652,0.0373679,0.0286608,0.0136575,0.0628529,0.0906841,0.0461634,0.0731978,0.0600122,0.0389717,0.0708216,0.0481321,0.0495748,0.077682,0.0405285,0.0200597,0.00617037,0.0174224,0.0524166,0.0512311,0,0,0,0,0,0,0,0
558,0.0385524,0.0698723,0,0,0,0,0,0,0.0416183,0,0.0185891,0.0481246,0,0,0.0295739,0,0,0.0639111,0.0359726,0.0339513,0.0204678,0.0238222,0.0560594,0.0475589,0.0250632,0.0403171,0.0420023,0.0232948,0.0389952,0.0439043,0.0243528,0.023047,0.0392851,0.0418863,0.0174621,0.0181141,0.0248956,0,0.0213527,0.045427,0.0207293,0,0,0.0546402,0,0,0.0313827,0.04734,0.0346763,0.0287035,0.0137553,0.0631706,0.0891782,0.0454157,0.0724238,0.0605429,0.0393361,0.0704834,0.0472677,0.0488552,0.0771413,0.0404678,0.0199721,0.0064662,0.0175941,0.052936,0.0515365,0,0,0,0,0,0,0,0
559,0.0385079,0.07056,0,0,0,0,0,0,0.0419982,0,0.018307,0.0476186,0,0,0.0298942,0,0,0.0640096,0.0361478,0.0340447,0.0202314,0.023692,0.0565964,0.0480586,0.0252838,0.0404851,0.0418471,0.0230255,0.0390382,0.0438997,0.024377,0.0229477,0.0395516,0.0417185,0.0176096,0.0181116,0.0240226,0,0.0212126,0.0453109,0.0205688,0,0,0.0551525,0,0,0.0319941,0.0471989,0.0334141,0.0283758,0.0141281,0.0641795,0.090137,0.0445485,0.0717333,0.0608172,0.0392013,0.0705933,0.0467112,0.0483847,0.0773196,0.0410644,0.0199514,0.00681293,0.01789,0.0535541,0.051882,0,0,0,0,0,0,0,0
560,0.0385053,0.0711606,0,0,0,0,0,0,0.04177,0,0.0179921,0.0477225,0,0,0.0300575,0,0,0.0641042,0.0359926,0.0342648,0.0202339,0.0235224,0.0571047,0.0483287,0.0251875,0.040629,0.0418468,0.0227116,0.0390966,0.0439213,0.0243409,0.0227949,0.0401742,0.0417912,0.0177612,0.0180153,0.0240294,0,0.0200836,0.0449964,0.0203588,0,0,0.0554344,0,0,0.0320057,0.0474021,0.0346402,0.0279278,0.0142974,0.0653721,0.0913823,0.0438081,0.0713084,0.0603874,0.0382777,0.0711118,0.047005,0.0484397,0.0779774,0.0430668,0.0199696,0.00704201,0.0180321,0.054244,0.052223,0,0,0,0,0,0,0,0
561,0.038375,0.0716229,0,0,0,0,0,0,0.0412287,0,0.0176542,0.0480963,0,0,0.0300411,0,0,0.0639887,0.0357135,0.034624,0.0201792,0.0233182,0.0575577,0.0484647,0.0247413,0.040772,0.0420479,0.0223423,0.0390428,0.0439384,0.024317,0.0227047,0.0411099,0.0420778,0.0177558,0.0180382,0.024035,0,0.0188814,0.0444809,0.0201388,0,0,0.055677,0,0,0.0317884,0.0473995,0.0372926,0.027845,0.0147794,0.066112,0.091867,0.0431765,0.0713789,0.0590105,0.0364908,0.0718095,0.0479934,0.0489022,0.0786655,0.045635,0.0201234,0.00728847,0.0180144,0.0548259,0.0525658,0,0,0,0,0,0,0,0
562,0.0378426,0.0720688,0,0,0,0,0,0,0.0405814,0,0.0173203,0.0484752,0,0,0.0297553,0,0,0.0638338,0.035502,0.0351074,0.0200299,0.0231897,0.0578362,0.0485999,0.0240694,0.0408975,0.0423844,0.0219366,0.0389468,0.043977,0.0243146,0.0225691,0.0423004,0.0424993,0.0177686,0.0179853,0.0241464,0,0.0183886,0.0439806,0.0200192,0,0,0.0558801,0,0,0.0317403,0.0468295,0.0397074,0.0284208,0.0150886,0.0660313,0.0910937,0.042629,0.0717596,0.057514,0.0346712,0.0722335,0.0489789,0.049342,0.0792525,0.047947,0.0199826,0.00747288,0.0179244,0.0552443,0.0529378,0,0,0,0,0,0,0,0
563,0.0369056,0.0725067,0,0,0,0,0,0,0.0399833,0,0.0168933,0.0485758,0,0,0.0293933,0,0,0.0637171,0.0354054,0.0355382,0.0197662,0.0231033,0.0577941,0.0488187,0.0234247,0.0410181,0.0427749,0.021711,0.0388604,0.0440161,0.0243275,0.0222511,0.0436051,0.0429376,0.0178744,0.0178635,0.024476,0,0.0182467,0.0433692,0.0199916,0,0,0.0562703,0,0,0.031918,0.0457037,0.0409271,0.0292048,0.015698,0.0653231,0.0889379,0.0422734,0.0716452,0.0570362,0.0336177,0.0721357,0.0494307,0.0494581,0.0794969,0.0494383,0.0199371,0.00776072,0.0177938,0.0554981,0.0536058,0,0,0,0,0,0,0,0
564,0.0359065,0.0731107,0,0,0,0,0,0,0.0390863,0,0.0164276,0.0482053,0,0,0.0291276,0,0,0.0635842,0.0355218,0.0359899,0.0194225,0.0229443,0.057667,0.048935,0.0230172,0.0413198,0.0432163,0.0214491,0.0387219,0.043977,0.0242636,0.0219049,0.0448219,0.0432404,0.0180129,0.0177049,0.0246123,0,0.0180801,0.042871,0.0199708,0,0,0.0566724,0,0,0.0321247,0.0444798,0.0412615,0.0298562,0.0161767,0.0645165,0.0878854,0.0420896,0.0714287,0.0569017,0.0330821,0.0718728,0.0494609,0.0494015,0.0792601,0.04974,0.0201459,0.00805291,0.0177788,0.055665,0.0545328,0,0,0,0,0,0,0,0
565,0.0350244,0.0738824,0,0,0,0,0,0,0.0379733,0,0.0159268,0.0474641,0,0,0.0290471,0,0,0.0633668,0.0357662,0.036437,0.0190245,0.0227716,0.0574992,0.0488839,0.0228108,0.0417675,0.0436649,0.0212255,0.0386197,0.0439306,0.0240992,0.0215598,0.04585,0.0433854,0.0182644,0.0174143,0.0244718,0,0.017939,0.0425243,0.0198925,0,0,0.0570924,0,0,0.0322515,0.043635,0.0410687,0.0301609,0.0164946,0.0638506,0.0875976,0.0420496,0.0710703,0.0578819,0.0324871,0.0715034,0.0493272,0.0493113,0.0791187,0.0492351,0.0205376,0.0083288,0.0179009,0.0558732,0.0556985,0,0,0,0,0,0,0,0
566,0.0342917,0.0747509,0,0,0,0,0,0,0.0370031,0,0.0153804,0.0465567,0,0,0.0290818,0,0,0.0632294,0.0360685,0.0368176,0.0186544,0.0225365,0.0573447,0.0489057,0.0227172,0.0422391,0.0441496,0.0209592,0.0386409,0.0439311,0.0240017,0.0211972,0.0468301,0.0434389,0.0185537,0.0171252,0.024116,0,0.0179156,0.0423877,0.0197714,0,0,0.0575315,0,0,0.0325256,0.0432259,0.0404624,0.0302927,0.0168177,0.0632673,0.0874029,0.0420088,0.070594,0.0597283,0.0317018,0.0713421,0.0491475,0.0494405,0.0790867,0.0484703,0.0203296,0.00858483,0.0181167,0.056211,0.0569761,0,0,0,0,0,0,0,0
