Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73,x74,
695,0.0430004,0,0,0,0,0,0,0,0.0269001,0,0.0283342,0.0681047,0,0,0.0341681,0,0,0.0442177,0.0335196,0.0305774,0.0385857,0.0236032,0.0617124,0.0418061,0.0185196,0.044534,0.0495379,0.0248834,0.0359292,0.0381806,0.021959,0.0256649,0.0230245,0.030641,0.0210634,0.0102872,0.0277664,0,0.0139637,0.065503,0.0236673,0,0,0.0387564,0,0,0.0209209,0.0627865,0.0363685,0.0329299,0.0100101,0.0629325,0.0789918,0.0391358,0.0774993,0.0669336,0.0367204,0.0667103,0.0446475,0.0489076,0.0757919,0.0434679,0.0230176,0.00622506,0.0112402,0.0640779,0.0542031,0,0,0,0,0,0,0,0,0
696,0.0428221,0,0,0,0,0,0,0,0.027092,0,0.0282648,0.0679589,0,0,0.0339803,0,0,0.0446988,0.0334864,0.0307522,0.038269,0.0235591,0.0614264,0.0415073,0.0185229,0.0444996,0.0496304,0.0250067,0.0357626,0.037929,0.0218118,0.0256223,0.0228096,0.030833,0.0213516,0.00983317,0.0277238,0,0.013853,0.0655475,0.0237658,0,0,0.0386303,0,0,0.0208537,0.0627158,0.0368855,0.033187,0.0107491,0.0629572,0.0789488,0.0391619,0.0778353,0.0669106,0.0361816,0.0672367,0.0450807,0.0493066,0.0762451,0.0446928,0.0229543,0.00618609,0.0113111,0.0638034,0.0543108,0,0,0,0,0,0,0,0,0
697,0.0425608,0,0,0,0,0,0,0,0.0272467,0,0.0282234,0.0678673,0,0,0.0321558,0,0,0.0402853,0.0335115,0.0309223,0.0379248,0.0233634,0.0609885,0.0409963,0.0185654,0.0444712,0.0497983,0.0250316,0.0356409,0.0376692,0.0216693,0.0255698,0.0224956,0.030755,0.0257915,0,0.0277732,0,0.0136972,0.0655986,0.0241056,0,0,0.0385758,0,0,0.0207623,0.0625857,0.0371876,0.0332843,0.0114256,0.0627953,0.0791165,0.0390997,0.0780458,0.0668526,0.0357178,0.0677976,0.045279,0.049712,0.0766632,0.0459918,0.0229888,0.00608524,0.0112988,0.0632102,0.0545673,0,0,0,0,0,0,0,0,0
698,0.0423899,0,0,0,0,0,0,0,0.0274773,0,0.0281564,0.0678331,0,0,0.033365,0,0,0.0452089,0.0335158,0.0310645,0.037656,0.0232162,0.0608389,0.0407292,0.0185666,0.0445496,0.0498757,0.0249232,0.0355328,0.0375208,0.0215504,0.0255444,0.0222444,0.0314134,0.0214574,0.00970744,0.0280137,0,0.0136275,0.0655582,0.0240471,0,0,0.0385663,0,0,0.0207487,0.0624933,0.0375409,0.0335854,0.0119059,0.062861,0.0788695,0.039058,0.0781428,0.0668458,0.0355531,0.0681597,0.0455732,0.0499969,0.0769939,0.0466504,0.0228774,0.00611658,0.011295,0.0631455,0.0545423,0,0,0,0,0,0,0,0,0
699,0.0421954,0,0,0,0,0,0,0,0.0278318,0,0.0280526,0.0677919,0,0,0.0331367,0,0,0.0451487,0.0335911,0.0311707,0.0372941,0.0230736,0.060485,0.0403203,0.0186347,0.0446112,0.0499164,0.0249039,0.0353442,0.0374233,0.0213853,0.0255255,0.0221434,0.0317759,0.0213815,0.00969991,0.0282442,0,0.0135493,0.0654574,0.0241977,0,0,0.038339,0,0,0.0207751,0.0623811,0.0376486,0.0337492,0.0123092,0.0627397,0.0788545,0.038934,0.0781468,0.0668761,0.0355011,0.0684107,0.045975,0.0503578,0.0772998,0.0467197,0.0228779,0.0062762,0.0112579,0.0628915,0.0546586,0,0,0,0,0,0,0,0,0
700,0.0420417,0,0,0,0,0,0,0,0.0281352,0,0.0279632,0.0677209,0,0,0.0330073,0,0,0.0450582,0.0336295,0.0312706,0.0368913,0.0228798,0.0600908,0.0399523,0.0187048,0.044589,0.0499601,0.0250017,0.0351738,0.0371536,0.0212196,0.0255433,0.0220282,0.0321738,0.0213843,0.00954823,0.028237,0,0.0135843,0.0653269,0.0242994,0,0,0.0380244,0,0,0.0208606,0.0622923,0.0375881,0.0338987,0.0125977,0.0626226,0.0788318,0.0387788,0.0781112,0.0670625,0.0353654,0.0684583,0.0462627,0.050681,0.0775533,0.0467154,0.0229315,0.00635297,0.0111719,0.0625936,0.0547971,0,0,0,0,0,0,0,0,0
701,0.0419151,0,0,0,0,0,0,0,0.0283625,0,0.0278779,0.0676045,0,0,0.0329097,0,0,0.0449311,0.0336305,0.0314503,0.0364259,0.0227125,0.0596906,0.0396632,0.0187732,0.0445409,0.0499858,0.0250021,0.0350099,0.0368759,0.0210578,0.0255857,0.0218752,0.0325742,0.02128,0.00957336,0.0281714,0,0.0136452,0.065192,0.0244359,0,0,0.0376529,0,0,0.0208781,0.0622391,0.0376811,0.0340101,0.0126552,0.062477,0.0787269,0.0386264,0.0779269,0.0669957,0.0351776,0.0686218,0.0463321,0.0508617,0.07776,0.0463024,0.0230986,0.00632543,0.011044,0.0622871,0.0549829,0,0,0,0,0,0,0,0,0
702,0.0418216,0,0,0,0,0,0,0,0.0285894,0,0.0278321,0.0674734,0,0,0.0327686,0,0,0.0447402,0.0335716,0.0316672,0.035969,0.0225802,0.0593232,0.03946,0.0188631,0.0445288,0.0500639,0.0249419,0.0348668,0.0366759,0.0208927,0.0256353,0.0217651,0.0329416,0.0209706,0.00967613,0.0279194,0,0.013796,0.0650142,0.0245945,0,0,0.0371663,0,0,0.0207811,0.0621957,0.0377116,0.034082,0.0125709,0.0623315,0.0786003,0.0384759,0.0776489,0.0667947,0.0349928,0.0687659,0.0463102,0.0509582,0.0778391,0.0457863,0.0232927,0.00633277,0.0109246,0.0619192,0.0551774,0,0,0,0,0,0,0,0,0
703,0.041801,0,0,0,0,0,0,0,0.0288275,0,0.0277967,0.0673266,0,0,0.0326442,0,0,0.0444786,0.0335048,0.031844,0.0356184,0.0224798,0.0590321,0.039334,0.0189997,0.0445937,0.0500762,0.0249242,0.0346897,0.036565,0.020766,0.0257069,0.0216722,0.0332209,0.0205613,0.00976895,0.0276765,0,0.0140078,0.0648777,0.0247571,0,0,0.036583,0,0,0.0206128,0.0621759,0.0375758,0.0341576,0.0125689,0.0622076,0.0784839,0.0383402,0.0774194,0.0666552,0.0348466,0.0688224,0.0464695,0.0509658,0.0777846,0.0451083,0.0233522,0.00636516,0.0107824,0.0617919,0.0553862,0,0,0,0,0,0,0,0,0
704,0.0418568,0,0,0,0,0,0,0,0.02908,0,0.0277566,0.0672038,0,0,0.0325074,0,0,0.0441947,0.0334788,0.0319738,0.035295,0.0223868,0.0588159,0.0391922,0.019165,0.0446674,0.0500564,0.0249634,0.0344927,0.036541,0.0206226,0.0257345,0.0215022,0.0334612,0.0201169,0.0097825,0.02796,0,0.0141725,0.0647935,0.0249231,0,0,0.0360442,0,0,0.020422,0.0622296,0.0373415,0.0342647,0.0124434,0.0621058,0.0783445,0.0381808,0.0770766,0.0664149,0.0347791,0.0688492,0.0461423,0.0511197,0.0777628,0.0442954,0.0233497,0.00636123,0.0106435,0.0622819,0.0555667,0,0,0,0,0,0,0,0,0
