Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,RTHI,IMU_B
29,0,0,0,0,0.0152488,0.01223,0,0,0.0152817,0.0236781,0.00619359,0.00694857,0,0,0.0123085,0,0.0143202,0.00736805,0.0403339,0.00941584,0.0192814,0.00795787,0.00473031,0.0049848,0.00418468,0.0121715,0.00512103,0.0293406,0.00482319,0.0103629,0.00438641,0.00771488,0.0167041,0.0059778,0.00354245,0.00296711,0.0110575,0.0187566,0.0275493,0.0127191,0.00676869,0,0,0.0368573,0,0.0106781,0.0202728,0.0331919,0.0383063,0.0278601,0.0174232,0.00486807,0.0136316,0,0.0268265,0.0273084,0.00567806,0.0148654,0.0142985,0.0130402,0.0323989,0.0172462,0.0125356,0.0104694,0.0148244,0.0145038,0,0,0,0.026841,0
30,0,0,0,0,0.0152499,0.0122967,0,0,0.0149621,0.0237872,0.00556533,0.00664827,0,0,0.0125438,0,0.0142866,0.00753295,0.0404031,0.00867592,0.0192703,0.00710806,0.0048739,0.00505881,0.00365624,0.0108452,0.00512445,0.0294754,0.00500155,0.0104181,0.00438731,0.00768988,0.0163162,0.00601939,0.00347474,0.00301288,0.0132451,0.0188102,0.0274695,0.0119254,0.00669182,0,0,0.0375217,0,0.0106561,0.0205243,0.0331112,0.0356829,0.0276016,0.0174275,0.00482065,0.0132596,0,0.0258252,0.0273432,0.00506645,0.0146447,0.0141536,0.0128461,0.0250779,0.0174232,0.0126338,0.0105133,0.0150052,0.0147759,0,0,0,0.0264547,0
31,0,0,0,0,0.0152192,0.0124069,0,0,0.0150415,0.0238655,0.00536375,0.0064989,0,0,0.0128255,0,0.0142443,0.00781436,0.0408276,0.00830033,0.0193146,0.00619634,0.0050663,0.00524819,0.00329974,0.00938478,0.005245,0.0299234,0.00503756,0.0101439,0.00440288,0.00771454,0.0163581,0.00612277,0.00347504,0.00311659,0.0146737,0.0189039,0.0276353,0.0112802,0.00669004,0,0,0.0382691,0,0.0106549,0.0208681,0.0331288,0.0336817,0.0273807,0.0175486,0.00465113,0.0129964,0,0.0259509,0.0275985,0.0048333,0.0146413,0.0150583,0.0133589,0.0166965,0.0177083,0.0127053,0.0106678,0.015233,0.0149525,0,0,0,0.0262649,0
32,0,0,0,0,0.0149263,0.012294,0,0,0.0153229,0.0238148,0.00521202,0.00645183,0,0,0.0130455,0,0.0142597,0.00789573,0.0412681,0.00810081,0.019374,0.00565263,0.00510807,0.00525931,0.00330045,0.00864247,0.00544112,0.0303928,0.00490966,0.00981528,0.00425544,0.00775044,0.0166385,0.00633834,0.0034565,0.00320919,0.0158747,0.0189868,0.0276622,0.0107283,0.00667507,0,0,0.0390454,0,0.0106474,0.0212064,0.0332623,0.0318739,0.027258,0.0180333,0.00433069,0.0129312,0,0.0279535,0.0278584,0.00520079,0.0147754,0.0159401,0.0139906,0.012333,0.0180524,0.0127253,0.0108177,0.0151931,0.0149076,0,0,0,0.0260888,0
33,0,0,0,0,0.0147099,0.0121132,0,0,0.015368,0.0236998,0.0048389,0.00624481,0,0,0.01295,0,0.0143566,0.00783983,0.0414496,0.00774021,0.0194171,0.00541779,0.00516756,0.0055747,0.00342598,0.00847445,0.00547978,0.0306119,0.00472718,0.00942756,0.00402922,0.00779033,0.0167309,0.00642304,0.00350276,0.00328262,0.0176859,0.0190657,0.0267738,0.0101084,0.00655445,0,0,0.0395766,0,0.0106986,0.0215032,0.0334372,0.0296733,0.0274234,0.0193141,0.0036837,0.0130102,0,0.0264171,0.027041,0.00655598,0.0146325,0.0165625,0.0144969,0.013174,0.0183476,0.0127881,0.0108531,0.0151021,0.0147258,0,0,0,0.0256502,0
34,0,0,0,0,0.0145149,0.0119687,0,0,0.0150769,0.0235355,0.00435866,0.00595804,0,0,0.0124273,0,0.0144809,0.0077049,0.0413435,0.00719845,0.0194372,0.0053805,0.00556045,0.00634354,0.00343994,0.00831591,0.00538096,0.0305817,0.00451347,0.00902846,0.00382035,0.00780494,0.0165281,0.00630852,0.00355972,0.00330888,0.0190659,0.0191369,0.0256665,0.00970659,0.00619819,0,0,0.0395484,0,0.0107707,0.0216147,0.0334326,0.028023,0.0282221,0.0212408,0.0034716,0.0132643,0,0.0120097,0.0256453,0.00836439,0.0140683,0.0171022,0.0152716,0.0149092,0.0184949,0.0128039,0.0108178,0.0151476,0.014276,0,0,0,0.0251942,0
35,0,0,0,0,0.0142895,0.0119577,0,0,0.0145938,0.0232749,0.00395833,0.00565762,0,0,0.0115239,0,0.014641,0.00739363,0.0411062,0.00656592,0.0194312,0.00526462,0.00639521,0.00740011,0.00348258,0.0081102,0.00519819,0.0304704,0.00429999,0.00847514,0.00368442,0.00778998,0.0162251,0.00603734,0.00358952,0.00327154,0.0190808,0.0191707,0.0261422,0.00954309,0.00561521,0,0,0.0389146,0,0.0108253,0.0215059,0.0332848,0.0268349,0.0294307,0.0230005,0.0049539,0.0135905,0,0.0417748,0.0244386,0.0101477,0.0133979,0.0179557,0.016371,0.015255,0.0184302,0.0126828,0.0107207,0.0153897,0.0136466,0,0,0,0.0244792,0
36,0,0,0,0,0.0140753,0.0118158,0,0,0.0146287,0.0231298,0.00374058,0.00519481,0,0,0.0104329,0,0.0147962,0.00676664,0.0406566,0.00598874,0.0194422,0.00523483,0.00675139,0.00794903,0.0034878,0.00790789,0.00504672,0.030326,0.00421768,0.00825467,0.00357696,0.00777038,0.0165175,0.00561048,0.00360728,0.00330024,0.0193111,0.019267,0.0252966,0.00811441,0.00556274,0,0,0.0388336,0,0.0108342,0.0214375,0.0335537,0.0247856,0.0288365,0.0231906,0.00579694,0.0137264,0,0,0.0227725,0.00997624,0.0141066,0.0173385,0.0168153,0.0151441,0.0183113,0.012543,0.010645,0.0152467,0.013476,0,0,0,0.022743,0
37,0,0,0,0,0.0138786,0.011714,0,0,0.0151097,0.0230267,0.00394352,0.004879,0,0,0.00931349,0,0.0148072,0.00613499,0.0405084,0.00552831,0.0194121,0.0049094,0.00677131,0.00838048,0.00324253,0.00750086,0.00482995,0.0303576,0.00412531,0.0081403,0.00351761,0.00771473,0.0174018,0.00521769,0.00365348,0.00331661,0.0222919,0.0193834,0.0256042,0.00687458,0.00554236,0,0,0.038685,0,0.0108543,0.0212863,0.0329767,0.0257709,0.0280776,0.0263545,0.00623737,0.0137452,0,0.0137422,0.0228969,0.0110506,0.0141198,0.0177258,0.0171366,0,0.0181243,0.012404,0.0105989,0.0151108,0.0134137,0,0,0,0.0230561,0
38,0,0,0,0,0.0136968,0.0117483,0,0,0.0151193,0.0228893,0.00424354,0.00447241,0,0,0.00842858,0,0.0147921,0.00573384,0.0405737,0.00531896,0.0194966,0.00412655,0.00727457,0.00894445,0.00291039,0.00671876,0.00449699,0.0303756,0.00383658,0.00762581,0.00334952,0.00762552,0.0175207,0.00500033,0.0037351,0.00335005,0.0184612,0.019467,0.022321,0.00639225,0.00527827,0,0,0.0381134,0,0.0109029,0.0210044,0.0327946,0.0235387,0.0278092,0.0286703,0.00743044,0.0138696,0,0.0234809,0.0224021,0.0131907,0.0142028,0.0185073,0.01911,0.0155185,0.0179472,0.0122633,0.0105587,0.0152901,0.0131808,0,0,0,0.0223845,0
39,0,0,0,0,0.0138652,0.0115679,0,0,0.0150627,0.0228679,0.00456415,0.00470006,0,0,0.00752042,0,0.0147653,0.00510112,0.041273,0.00538132,0.0193309,0.00399049,0.0085115,0.00900696,0.00206805,0.00568238,0.00420973,0.0297006,0.00347681,0.0070677,0.00313861,0.0078305,0.0174594,0.00467547,0.00375698,0.00338188,0.00554506,0.0195537,0.0208843,0.00722564,0.00542795,0,0,0.0377771,0,0.0109013,0.0207959,0.0354891,0.0280298,0.0252463,0.0339458,0.00825911,0.0137227,0.0162508,0.0200718,0.0182465,0.0169727,0.0151935,0.0219006,0.0245411,0.00693858,0.017884,0.0121477,0.0104708,0.0150225,0.0132857,0,0,0,0.0168097,0
40,0,0,0,0,0.0139064,0.0115766,0,0,0.0155416,0.0227926,0.00528847,0.0047074,0,0,0.0074501,0,0.014692,0.00504063,0.0413748,0.00565894,0.0190982,0.00316418,0.00781247,0.00922253,0.0020081,0.0049847,0.00389758,0.0298953,0.00330542,0.00663507,0.00300828,0.00758419,0.0179907,0.00479424,0.00382517,0.00332626,0.00401519,0.0196275,0.0214364,0.00752169,0.00537484,0,0,0.0374806,0,0.0109156,0.0205784,0.0355458,0.0294955,0.0252423,0.0345036,0.0083051,0.0136943,0.0165694,0.017571,0.0174286,0.0178573,0.0152588,0.0222964,0.0257255,0.0062296,0.0177384,0.0120397,0.0103673,0.0151947,0.013213,0,0,0,0.016133,0
41,0,0,0,0,0.0141102,0.011833,0,0,0.015421,0.0226375,0.00601679,0.00507853,0,0,0.00727761,0,0.0147561,0.00499884,0.0417438,0.00642179,0.0188421,0.00241552,0.00791271,0.0098846,0.00213144,0.00417993,0.00366052,0.0300213,0.00316788,0.00615192,0.00299544,0.00740895,0.0178965,0.00494824,0.00384353,0.00327917,0.0069766,0.0196174,0.025782,0.00831533,0.00504326,0,0,0.0367431,0,0.0109336,0.0203087,0.0359667,0.0358191,0.0257207,0.0349253,0.00929206,0.0139431,0.0156773,0.0168859,0.0167299,0.019831,0.0147349,0.0241007,0.028556,0.00785968,0.0176868,0.0118703,0.0102601,0.0157252,0.0128192,0,0,0,0.0154833,0
42,0,0,0,0,0.0142572,0.011933,0,0,0.0157681,0.0225679,0.0068257,0.00499801,0,0,0.00722777,0,0.014788,0.00500121,0.0418342,0.00713322,0.0186008,0.00179967,0.00731178,0.010353,0.00259813,0.00409279,0.00368648,0.0303375,0.0032663,0.00622606,0.00314048,0.00713946,0.0183135,0.0050711,0.00383786,0.00319053,0.00811482,0.0196404,0.0272025,0.00838381,0.005043,0,0,0.0364058,0,0.0109319,0.0201089,0.0363083,0.0381231,0.026028,0.0356376,0.00954949,0.0139033,0.0153717,0.0163712,0.0156765,0.0208408,0.0147315,0.0249601,0.0298621,0.00877445,0.017515,0.0117341,0.0101902,0.0158888,0.0126127,0,0,0,0.0143983,0
43,0,0,0,0,0.014393,0.0120694,0,0,0.0159163,0.0225098,0.00756144,0.00496369,0,0,0.00715169,0,0.0147766,0.0050259,0.0418228,0.00795249,0.0183738,0.0013953,0.00706206,0.0109798,0.00305127,0.00403053,0.00377434,0.0306333,0.00345152,0.00639987,0.00328761,0.00696007,0.0183656,0.00519376,0.00381443,0.0031781,0.00903017,0.0196132,0.0284646,0.00844995,0.00504405,0,0,0.0360858,0,0.0109117,0.0199605,0.036587,0.0398585,0.0263329,0.0368247,0.0106141,0.013984,0.0148933,0.0157443,0.0146397,0.0215877,0.0147932,0.0255705,0.0308991,0.00970812,0.0174374,0.0115789,0.0101357,0.0160833,0.0123997,0,0,0,0.0132642,0
44,0,0,0,0,0.0144984,0.0122359,0,0,0.0162321,0.0224342,0.00823533,0.0050253,0,0,0.00705931,0,0.0148196,0.00503032,0.0416911,0.00851366,0.0181803,0.00118233,0.00688161,0.0116018,0.0034093,0.00421196,0.00404626,0.0309007,0.00365863,0.00641245,0.00345296,0.00678967,0.0184755,0.0052493,0.0037976,0.00314511,0.0093815,0.0196031,0.0296622,0.00833033,0.00526415,0,0,0.0358373,0,0.0108907,0.0198697,0.03694,0.0413699,0.0266214,0.0373039,0.0118802,0.0139847,0.0142126,0.0150115,0.0138749,0.0222004,0.0149519,0.0258708,0.0316609,0.0102984,0.0173456,0.0114757,0.0100813,0.0162686,0.012279,0,0,0,0.0123562,0
45,0,0,0,0,0.0145521,0.0123684,0,0,0.0165728,0.0223553,0.00872389,0.00512379,0,0,0.00683309,0,0.0148787,0.00500176,0.0414795,0.00891107,0.018042,0.00121863,0.00687069,0.0122275,0.00368701,0.00442065,0.00440543,0.0311391,0.00381121,0.00635844,0.00354887,0.00667993,0.0187151,0.0052251,0.00377664,0.00307079,0.00938097,0.0196133,0.0306118,0.00808142,0.00555286,0,0,0.035683,0,0.0108736,0.019829,0.0371793,0.0426941,0.0268084,0.0373764,0.0131503,0.0139758,0.0139188,0.0143678,0.0134863,0.0230418,0.0150784,0.0262014,0.0324097,0.0110112,0.0172968,0.011428,0.0100542,0.0164536,0.0121918,0,0,0,0.0117456,0
46,0,0,0,0,0.0145523,0.0124628,0,0,0.016817,0.0222964,0.00904974,0.00519634,0,0,0.00652318,0,0.0149039,0.00490429,0.0412975,0.00924241,0.0179518,0.00158278,0.00711522,0.0128644,0.0039553,0.00449189,0.00467812,0.0314021,0.00381759,0.00617134,0.00359595,0.00660964,0.0189585,0.00510439,0.00378049,0.00306078,0.00925626,0.0195989,0.0312427,0.00780545,0.00587321,0,0,0.0356547,0,0.0108426,0.0197996,0.0373866,0.0436914,0.0270379,0.0380848,0.0145263,0.0139846,0.0137274,0.0138846,0.0130293,0.0239391,0.0152957,0.0265137,0.0331132,0.0120853,0.0173023,0.0114257,0.0100594,0.0165793,0.0120815,0,0,0,0.0112632,0
47,0,0,0,0,0.0146008,0.0125218,0,0,0.0172262,0.0222336,0.00938649,0.00530477,0,0,0.00616509,0,0.0149204,0.00479067,0.0411345,0.00949148,0.0178693,0.00215314,0.0073657,0.0134126,0.00426583,0.00464395,0.00494159,0.0316819,0.00385851,0.00597548,0.00363573,0.00650163,0.0194168,0.00497305,0.00379992,0.00307344,0.00929974,0.0195926,0.0315178,0.00745914,0.00630193,0,0,0.0357376,0,0.0108068,0.0197741,0.0378385,0.0442946,0.0272704,0.0385789,0.0158179,0.013931,0.0137397,0.0135773,0.0126418,0.0247529,0.0157308,0.0267571,0.0336426,0.0137301,0.0172726,0.0114246,0.0100635,0.0166519,0.0120672,0,0,0,0.0108641,0
48,0,0,0,0,0.0146734,0.012536,0,0,0.0176949,0.0221605,0.00975501,0.0054149,0,0,0.00581648,0,0.0149477,0.00464305,0.0409411,0.009716,0.0178334,0.00276527,0.00765177,0.0139209,0.00449248,0.00484137,0.00521488,0.0319133,0.00396697,0.00579433,0.00367127,0.00636024,0.019955,0.00485329,0.00382668,0.00307358,0.00972291,0.0195737,0.031091,0.00710638,0.00676486,0,0,0.0359553,0,0.0107743,0.0198353,0.0381865,0.0437216,0.0273867,0.0383357,0.0169496,0.0138162,0.0139937,0.0129325,0.0121424,0.0252988,0.0163287,0.0267214,0.0338773,0.0154125,0.0172595,0.0114397,0.0100667,0.0166717,0.0120646,0,0,0,0.0102797,0
49,0,0,0,0,0.0146696,0.0124593,0,0,0.0186242,0.0221594,0.0103067,0.00487789,0,0,0.00533603,0,0.0149838,0.00435576,0.040133,0.0100979,0.0179996,0.00334994,0.00723558,0.0143779,0.00466728,0.00499744,0.0056249,0.0323708,0.00431527,0.00590923,0.00380607,0.00604939,0.0211036,0.004777,0.0038461,0.00307695,0.00681591,0.0196106,0.0218896,0.00593337,0.00735561,0,0,0.0365055,0,0.0107279,0.019936,0.0382168,0.0316531,0.027077,0.0386738,0.0168657,0.0136646,0.0166443,0.0114365,0.0104734,0.0237364,0.0169232,0.0239236,0.0306851,0.0149369,0.017137,0.0114528,0.0100889,0.0165587,0.0120816,0,0,0,0.00872949,0
50,0,0,0,0,0.0146321,0.012335,0,0,0.0200337,0.022145,0.0111119,0.00428551,0,0,0.00490901,0,0.0149721,0.00402417,0.0390413,0.0106612,0.018287,0.00401184,0.00617672,0.0148485,0.00491639,0.00524732,0.00618151,0.0329916,0.00483545,0.00634927,0.00406482,0.00565878,0.0227231,0.00480508,0.00386694,0.00309749,0.0182627,0.0196715,0.0176734,0.0045889,0.00798884,0,0,0.0372264,0,0.0106786,0.0200255,0.038301,0.0238417,0.0268178,0.0394001,0.0159288,0.0135036,0.021028,0.0107491,0.00852072,0.0220196,0.019855,0.022753,0.0280331,0.0216648,0.0169649,0.0114356,0.0101003,0.0163823,0.0121945,0,0,0,0.0075572,0
51,0,0,0,0,0.0145608,0.0122531,0,0,0.0210567,0.0220694,0.0118385,0.00444201,0,0,0.00454369,0,0.0149971,0.00386925,0.0386963,0.0113719,0.0184261,0.00457583,0.00595685,0.0153363,0.00501865,0.00543556,0.00653664,0.0331439,0.00504315,0.00655586,0.00414159,0.00547344,0.0238595,0.00478772,0.00390088,0.0031105,0.0189407,0.0196475,0.018098,0.0044511,0.00828125,0,0,0.0377258,0,0.0106968,0.0201504,0.038554,0.0245993,0.026871,0.0394484,0.0160958,0.0133804,0.0220654,0.0106075,0.00804115,0.0224217,0.0204802,0.023199,0.028762,0.0220564,0.0170015,0.0114436,0.010158,0.0163555,0.0120749,0,0,0,0.00716354,0
52,0,0,0,0,0.0145744,0.0122853,0,0,0.0219885,0.0219863,0.0126056,0.00465147,0,0,0.00415721,0,0.0150569,0.00381537,0.0384252,0.0121122,0.0185409,0.00514513,0.00576904,0.015919,0.00513571,0.00571263,0.00691878,0.0332885,0.00526468,0.00676238,0.0042896,0.00530399,0.0250335,0.0048304,0.00390598,0.00318448,0.0199651,0.0196162,0.0184744,0.00437853,0.00851727,0,0,0.0380297,0,0.0107066,0.0202663,0.0388751,0.02503,0.0269175,0.0395143,0.0161717,0.0132415,0.0230142,0.0111495,0.00761291,0.023145,0.0209818,0.0237171,0.0295394,0.0227154,0.0170043,0.0114952,0.0102137,0.0164507,0.0118672,0,0,0,0.00692508,0
53,0,0,0,0,0.014594,0.0123292,0,0,0.0228775,0.0219263,0.0134245,0.00497016,0,0,0.00372229,0,0.0150804,0.00372262,0.0382252,0.012963,0.0186895,0.00582753,0.00533938,0.0165543,0.00532134,0.00608347,0.00736507,0.0334916,0.00554958,0.00691546,0.00450503,0.00518925,0.0260401,0.00485089,0.00390114,0.00327394,0.0211656,0.0195951,0.0187927,0.00435844,0.00871215,0,0,0.0382926,0,0.0107023,0.0203968,0.0391778,0.025054,0.0269411,0.0394743,0.0161477,0.0130702,0.023952,0.011495,0.00737472,0.0239357,0.0216331,0.0242347,0.0303395,0.0236037,0.0170182,0.0115664,0.0102966,0.0165167,0.0116679,0,0,0,0.00687201,0
54,0,0,0,0,0.0146081,0.0123669,0,0,0.0238285,0.0218344,0.014273,0.00529622,0,0,0.00337482,0,0.01509,0.00371788,0.0380912,0.0138242,0.0189557,0.00654274,0.00497696,0.0171758,0.00550733,0.00641378,0.0078392,0.0337017,0.00585864,0.00694085,0.00470671,0.00509873,0.0270049,0.00488525,0.00394392,0.00338223,0.0222994,0.0195322,0.0188309,0.00437475,0.00888089,0,0,0.0383996,0,0.01069,0.0204846,0.0394041,0.0248656,0.0269834,0.0391955,0.0161179,0.012922,0.0249805,0.0122468,0.00726128,0.0243559,0.0231895,0.0241938,0.0306318,0.0250778,0.017039,0.0116398,0.010365,0.0166303,0.0114075,0,0,0,0.00699533,0
55,0,0,0,0,0.0145802,0.0124025,0,0,0.0247619,0.021681,0.01512,0.00557919,0,0,0.00303592,0,0.0152109,0.00374009,0.0380421,0.0146624,0.0193284,0.00728312,0.00474536,0.0177256,0.00565411,0.00676013,0.0083091,0.0338605,0.00615908,0.00699459,0.0048715,0.00501321,0.0279386,0.00496216,0.00402655,0.00348249,0.0232817,0.0194516,0.0186276,0.00434842,0.00905171,0,0,0.038386,0,0.0106786,0.0205159,0.0395203,0.0242728,0.027018,0.038669,0.0160534,0.0128778,0.0260309,0.0134335,0.00727726,0.0247281,0.0251606,0.0235598,0.0307465,0.0267158,0.0171072,0.0116808,0.0104192,0.0167824,0.0111373,0,0,0,0.00726426,0
56,0,0,0,0,0.0145777,0.0124278,0,0,0.0254842,0.0215428,0.0159322,0.00586458,0,0,0.00272311,0,0.0153036,0.00370822,0.0379518,0.0155052,0.0196355,0.00799709,0.00456312,0.0182308,0.00571906,0.00709429,0.00874253,0.0339445,0.00643337,0.00701549,0.0050034,0.00493463,0.0286761,0.00498067,0.00406964,0.00354207,0.0237488,0.019369,0.018173,0.00424647,0.0092478,0,0,0.038323,0,0.0106688,0.0205283,0.039498,0.0232649,0.0270351,0.0380221,0.0159799,0.0128203,0.0270091,0.0144598,0.00750735,0.0257736,0.0269748,0.0230064,0.0314788,0.0274552,0.0171758,0.0117229,0.0104449,0.0169254,0.0108945,0,0,0,0.00754523,0
57,0,0,0,0,0.0146282,0.0125019,0,0,0.0260621,0.0214445,0.0165462,0.00620046,0,0,0.00247523,0,0.0153554,0.003645,0.0376877,0.0164245,0.0198506,0.0087302,0.00447751,0.0186904,0.00578183,0.00743465,0.00916258,0.0340127,0.00669702,0.00698531,0.00511163,0.00490229,0.0292672,0.00494049,0.00409007,0.00361457,0.0234221,0.0193037,0.0175458,0.00407862,0.00927293,0,0,0.0382425,0,0.0106832,0.0205982,0.039319,0.0220087,0.0270869,0.037164,0.015999,0.0127629,0.0278531,0.0157275,0.00786931,0.0270082,0.0287139,0.0224122,0.0327241,0.0269167,0.0172486,0.0117664,0.0105205,0.0171194,0.0106372,0,0,0,0.00788904,0
58,0,0,0,0,0.0147087,0.0126303,0,0,0.0264741,0.0213713,0.0171095,0.00658389,0,0,0.0023355,0,0.0153494,0.00365591,0.0373568,0.0173426,0.020054,0.00933935,0.00451209,0.0190682,0.00581547,0.00786253,0.00956412,0.0340394,0.00695002,0.00699374,0.00519874,0.00488453,0.029761,0.00485708,0.00410181,0.00369704,0.0227262,0.0192425,0.0167761,0.00384071,0.00931968,0,0,0.0381025,0,0.0106967,0.020663,0.0390742,0.0204639,0.0271919,0.0360242,0.0161094,0.0126776,0.0285992,0.0172889,0.00813091,0.0269988,0.0308307,0.0215469,0.0328914,0.0257553,0.0172897,0.0118015,0.0105732,0.0173465,0.0103133,0,0,0,0.00826248,0
59,0,0,0,0,0.0147575,0.0128016,0,0,0.0269182,0.0212646,0.0176079,0.00657412,0,0,0.00239365,0,0.0154131,0.00375745,0.0372222,0.0181469,0.0203396,0.00966205,0.00473271,0.019345,0.00580848,0.00816192,0.0098643,0.0340203,0.00716499,0.00702385,0.00530948,0.00486691,0.0302293,0.00480105,0.00417419,0.00376131,0.0211267,0.0191564,0.0152386,0.00351838,0.00922917,0,0,0.0378321,0,0.010716,0.0206711,0.0389115,0.0179778,0.0273288,0.034749,0.0163232,0.0126389,0.0293226,0.0188798,0.00835929,0.0269452,0.0332301,0.021122,0.032236,0.0237916,0.0173025,0.0118371,0.0105933,0.0176291,0.0099629,0,0,0,0.00862112,0
60,0,0,0,0,0.0147918,0.0129654,0,0,0.027245,0.0211468,0.018086,0.00651729,0,0,0.00255766,0,0.0154759,0.00392959,0.0371877,0.0189877,0.0206107,0.0100616,0.00491778,0.0195978,0.00601426,0.00843476,0.0101797,0.0341408,0.00734191,0.00704802,0.00544963,0.00488384,0.0306586,0.00473499,0.00418716,0.00381528,0.0182068,0.0190773,0.0129721,0.003154,0.00916093,0,0,0.0375142,0,0.010739,0.0206908,0.0390192,0.0148301,0.0276537,0.032997,0.0164961,0.0126392,0.0298722,0.019772,0.00868737,0.0269119,0.0356376,0.0209646,0.0317459,0.0203377,0.0173501,0.0118505,0.0106322,0.0179426,0.00989722,0,0,0,0.00907797,0
61,0,0,0,0,0.0148652,0.0131291,0,0,0.0273095,0.0210574,0.01849,0.00681572,0,0,0.00280033,0,0.0154748,0.00414001,0.0373674,0.0198063,0.0208216,0.0104378,0.00516127,0.019924,0.00632915,0.0087696,0.0105267,0.0343417,0.00748352,0.00708632,0.00552501,0.0049606,0.0309367,0.00466006,0.00419899,0.00389503,0.0142357,0.0190002,0.0105356,0.00280963,0.00913671,0,0,0.0371712,0,0.0107644,0.0207356,0.0393327,0.0115705,0.0282625,0.0305554,0.0167625,0.0126261,0.0300832,0.0203742,0.00923297,0.0266703,0.0377452,0.0206316,0.031504,0.0153574,0.017463,0.01187,0.0106771,0.0183105,0.00964986,0,0,0,0.00967223,0
62,0,0,0,0,0.014937,0.0132953,0,0,0.0273576,0.0209561,0.0188187,0.00719547,0,0,0.00299374,0,0.0155178,0.0041623,0.0377978,0.0206053,0.0209738,0.010692,0.00547922,0.0202458,0.00671121,0.00917317,0.0108165,0.0345641,0.00755698,0.00711072,0.00555877,0.00506864,0.0311405,0.00468632,0.00426147,0.00393952,0.0101944,0.0189199,0.00925276,0.00268161,0.00895418,0,0,0.0368103,0,0.0107946,0.0207774,0.0397333,0.00915994,0.0289752,0.0275437,0.0170625,0.012542,0.0297422,0.0209847,0.00998654,0.0263586,0.039313,0.020094,0.0314041,0.00965611,0.0175541,0.011868,0.0106886,0.0186786,0.00915513,0,0,0,0.0102629,0
63,0,0,0,0,0.0150336,0.0134524,0,0,0.0274657,0.0209438,0.0190282,0.00745522,0,0,0.00312063,0,0.0154702,0.00418678,0.0383998,0.021409,0.0210285,0.010827,0.00578533,0.0205235,0.00709677,0.00947508,0.0109513,0.0347725,0.00762126,0.00710716,0.00557162,0.00518808,0.0314011,0.0046696,0.00420434,0.00395584,0.00689168,0.0188479,0.00972778,0.00286252,0.00877414,0,0,0.0365646,0,0.0108078,0.0208205,0.0401113,0.00895403,0.029523,0.023549,0.0173232,0.0123267,0.0291114,0.0214345,0.0107509,0.0258276,0.0405701,0.0196522,0.0312474,0.00400048,0.0176117,0.0118714,0.0106805,0.0190086,0.00879053,0,0,0,0.0108512,0
64,0,0,0,0,0.0151899,0.0136358,0,0,0.0275852,0.0209771,0.0191477,0.00778212,0,0,0.00325928,0,0.0154491,0.00422284,0.0390395,0.0222169,0.0210317,0.0108514,0.00602794,0.020832,0.00742555,0.00962417,0.0109631,0.034925,0.00769713,0.00709651,0.00557761,0.00528437,0.0316611,0.00462829,0.00411659,0.00402481,0.00701521,0.0187971,0.0119368,0.0032123,0.0085141,0,0,0.036328,0,0.0108229,0.0208436,0.0402772,0.0117308,0.0300428,0.0185724,0.0176374,0.0121461,0.0284064,0.0212543,0.0116236,0.0247148,0.0414793,0.019534,0.0314685,0.00468129,0.0177031,0.0118297,0.0106546,0.0193353,0.00822931,0,0,0,0.0115618,0
65,0,0,0,0,0.0153143,0.0138729,0,0,0.0276461,0.0209274,0.0192187,0.00818259,0,0,0.0033939,0,0.0155188,0.00424339,0.0396558,0.0230574,0.0209963,0.0108242,0.00624669,0.0210663,0.00767529,0.00963057,0.0108866,0.0349748,0.00768058,0.00709849,0.00557525,0.00536402,0.0317534,0.00462232,0.00406143,0.00416534,0.0107238,0.0187612,0.0153403,0.0036202,0.00824424,0,0,0.0359271,0,0.0108487,0.0207894,0.0401308,0.0159569,0.030622,0.012743,0.0180225,0.0121145,0.0274628,0.0202913,0.0124534,0.0225086,0.042176,0.0195428,0.0321456,0.0102485,0.0178586,0.0117559,0.0105744,0.019709,0.00766932,0,0,0,0.0124634,0
66,0,0,0,0,0.0153931,0.0141974,0,0,0.0274642,0.0209134,0.0191983,0.00846883,0,0,0.00359217,0,0.015524,0.0043064,0.040158,0.0237638,0.0208955,0.0106637,0.0065998,0.0211696,0.00780255,0.00950346,0.0106733,0.0348696,0.00761172,0.007093,0.00554319,0.00542387,0.0316582,0.00459823,0.00398105,0.00418245,0.0147885,0.0187363,0.0191648,0.00415681,0.0079639,0,0,0.0355244,0,0.0108823,0.0206522,0.0397789,0.0206142,0.031119,0.00717516,0.0185785,0.0120959,0.0262098,0.0190766,0.013155,0.0220944,0.0424371,0.0194822,0.0332415,0.0146475,0.0179662,0.0116763,0.010498,0.0201087,0.00719785,0,0,0,0.0136675,0
