Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,RTHI,IMU_B
9,0,0,0,0,0.0169897,0.0147022,0,0,0.0240123,0.0214536,0.0167443,0.00544591,0,0,0.010427,0,0.0151071,0.00747317,0.0454268,0.0276227,0.0205448,0.0129613,0.00857258,0.00935029,0.0121118,0.0111091,0.0119235,0.034796,0.00705514,0.00802256,0.00265484,0.0135284,0.0238904,0.00611108,0.00406998,0.0039003,0.030218,0.0185807,0.0374277,0.0132785,0.00466053,0,0,0.0333991,0,0.0110943,0.0200068,0.037653,0.0459822,0.0283192,0.0241881,0.004102,0.014941,0.0184467,0.0209433,0.0165345,0.0362075,0,0.036141,0.0463058,0.0379977,0.0180087,0.011902,0.0107421,0.0175223,0.0111541,0,0,0,0,0
10,0,0,0,0,0.0168048,0.0148629,0,0,0.0253516,0.0214016,0.0177891,0.00463894,0,0,0.0104659,0,0.0151975,0.00753795,0.0455805,0.0290129,0.0215799,0.0150834,0.0098549,0.00966537,0.0154154,0.0143619,0.0139992,0.0362963,0.00822223,0.00981521,0.00388235,0.0143873,0.0254134,0.00621999,0.00406295,0.00383621,0.0290673,0.0185406,0.0369719,0.01285,0.0043519,0,0,0.0330037,0,0.0111377,0.0200006,0.0381205,0.0467472,0.0280289,0.0252654,0.00380659,0.0151326,0.0182023,0.0212763,0.0165416,0.0367937,0,0.0360515,0.0469911,0.0379456,0.0181857,0.0117928,0.0107549,0.0178589,0.0105829,0,0,0,0.0151002,0
11,0,0,0,0,0.0166209,0.015007,0,0,0.0252697,0.0213276,0.0184156,0.00434297,0,0,0.0105627,0,0.0152275,0.00763285,0.0458638,0.030282,0.0223826,0.0172204,0.0108892,0.0100084,0.0179079,0.0175416,0.0154159,0.0371038,0.00920967,0.0108323,0.00479302,0.0147122,0.0258287,0.00626297,0.00408969,0.0038879,0.0280705,0.018466,0.0364466,0.012711,0.00404994,0,0,0.0325783,0,0.011151,0.0200332,0.0383861,0.0470126,0.0278186,0.0258612,0.00382726,0.0152686,0.0181084,0.0216315,0.016694,0.0367357,0,0.0357322,0.0467939,0.0377553,0.0183503,0.0119459,0.0107853,0.0181643,0.0101103,0,0,0,0.0142611,0
12,0,0,0,0,0.0164346,0.0152264,0,0,0.024262,0.0212442,0.0193943,0.00453077,0,0,0.0106484,0,0.0152502,0.00773471,0.045964,0.0327348,0.0229607,0.0194468,0.0114315,0.0101771,0.0192134,0.0201119,0.0164679,0.0374739,0.00982579,0.0106197,0.00512461,0.014439,0.0254467,0.00626157,0.00415074,0.0039194,0.0269227,0.0183856,0.0361985,0.012862,0.00385676,0,0,0.0322366,0,0.0111291,0.0200505,0.0385382,0.0473006,0.0277319,0.0274076,0.0039754,0.0153937,0.018067,0.0228208,0.0175828,0.0371293,0,0.0358641,0.0465009,0.0371275,0.0184432,0.0118572,0.0108402,0.0183958,0.009713,0,0,0,0.0144768,0
13,0,0,0,0,0.0163581,0.0152448,0,0,0.0250688,0.0213931,0.0221986,0.00627039,0,0,0.0103714,0,0.0151037,0.00751949,0.0468448,0.0377262,0.0224316,0.0214121,0.00918247,0.00981581,0.0207913,0.0222766,0.0181914,0.0388514,0.0100226,0.0094544,0.00563968,0.0141666,0.0265005,0.00602759,0.00411778,0.0038759,0.0253295,0.018401,0.0321877,0.0144859,0.00415984,0,0,0.0323449,0,0.0110039,0.0200806,0.0353644,0.0555025,0.0284645,0.031015,0.00370364,0.014956,0,0.0291079,0.0144296,0.037533,0,0.0306242,0.0482648,0.0507641,0.0182755,0.011753,0.0108178,0.0180779,0.0100809,0,0,0,0.0142085,0
14,0,0,0,0,0.0174285,0.0159984,0,0,0.0331375,0.0218728,0.0271161,0.011463,0,0,0.010022,0,0.0146772,0.00707795,0.0459719,0.0420232,0.0207724,0.0212658,0.00628637,0.0103241,0.0221042,0.0221014,0.0205909,0.0428027,0.00892812,0.00655391,0.00666894,0.0130631,0.033773,0.00602171,0.00381278,0.00379649,0.0477468,0.0190865,0.0695056,0.0212211,0.00608162,0,0,0.0325611,0,0.0103662,0.0196936,0.0397417,0.108995,0.0296987,0.0599134,0.0106604,0.013728,0,0.0562986,0.0265693,0.0671655,0.0595309,0.0579898,0.0848078,0.0921966,0.0167931,0.0117806,0.0105674,0.0180568,0.0114938,0,0,0,0.0256925,0
15,0,0,0,0,0.0156722,0.0145816,0,0,0.0274355,0.0217622,0.0233769,0.00787187,0,0,0.0102791,0,0.0148488,0.00713913,0.0457572,0.0392928,0.0219975,0.020416,0.00517807,0.00878147,0.0205555,0.0206902,0.0184342,0.0406759,0.00889143,0.00767989,0.00581744,0.0136112,0.028799,0.00587418,0.00401612,0.00371676,0.0374877,0.0185295,0.0280278,0.0175909,0.0049501,0,0,0.0337784,0,0.0109144,0.0200972,0.0365786,0.0547063,0.0288634,0.0206029,0.00764929,0.0141385,0,0.0285784,0.0174355,0.0276964,0.0194026,0.0196364,0.0368282,0.0587409,0.0176283,0.0116229,0.0108129,0.0169992,0.0107182,0,0,0,0.0224153,0
16,0,0,0,0,0.0156169,0.0144618,0,0,0.0279328,0.0218889,0.0217127,0.00733722,0,0,0.0104057,0,0.0148456,0.00718957,0.045525,0.0349315,0.0216724,0.0182927,0.00504106,0.00855451,0.0191265,0.0179843,0.0165969,0.0398018,0.00790745,0.00746883,0.00533778,0.0135021,0.0296915,0.00585022,0.00394161,0.00368944,0.0350009,0.0185467,0.028593,0.017442,0.00496232,0,0,0.0339148,0,0.01092,0.0200853,0.0362364,0.0548805,0.0286523,0.0201703,0.00799172,0.0140647,0,0.028002,0.0175891,0.0268484,0.0181082,0.0197061,0.0359631,0.0567877,0.0176012,0.0116854,0.0108472,0.0169195,0.0108161,0,0,0,0.0223653,0
17,0,0,0,0,0.0155234,0.0144214,0,0,0.0296871,0.022016,0.0205522,0.00700604,0,0,0.010557,0,0.0148316,0.00724311,0.0455397,0.0306809,0.02113,0.0156154,0.00479442,0.00821475,0.0169799,0.0146672,0.0141313,0.0382608,0.00687597,0.00668339,0.00448633,0.0128784,0.0312291,0.0058131,0.00390847,0.00363223,0.0327764,0.0185443,0.0293716,0.0173645,0.00501367,0,0,0.034097,0,0.0108966,0.0201486,0.0358377,0.0555333,0.028449,0.0197953,0.00843562,0.0139439,0,0.0277463,0.0179663,0.0260396,0.0170195,0.0198994,0.0351082,0.055268,0.0175208,0.0117064,0.0108714,0.0167622,0.0110682,0,0,0,0.0225618,0
18,0,0,0,0,0.0153944,0.0143375,0,0,0.0314277,0.0220761,0.0201728,0.00689383,0,0,0.0107335,0,0.0148057,0.00727062,0.0455419,0.0283782,0.0205218,0.0130969,0.00456913,0.00779048,0.0145927,0.0115047,0.0114221,0.0363488,0.00621311,0.00559963,0.00369714,0.0119666,0.0324228,0.00581211,0.0039211,0.00355049,0.0304702,0.0185308,0.030305,0.0173079,0.00501706,0,0,0.0342551,0,0.0108911,0.0201955,0.0354455,0.0566877,0.0282742,0.0197583,0.00885289,0.0138932,0,0.0278825,0.0183433,0.0255737,0.0169676,0.020328,0.0348473,0.0544706,0.0174332,0.0117201,0.0108826,0.0165866,0.0114373,0,0,0,0.0227843,0
