Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIBA,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,RTIB,LASI,RTIBI
237,0,0,0,0,0.00211534,0.00308474,0,0,0,0.0096428,0.0205805,0.00372467,0,0,0.000652692,0,0.0160425,0.000520426,0.0429204,0.00771895,0.0170067,0.00290279,0.0035394,0.00508997,0.00790625,0.00723331,0.00476696,0.0249698,0.00210426,0.00227939,0.00194677,0.0135895,0.0135319,0.000530196,0.00453974,0.000243313,0.0164656,0.02321,0.00870736,0.00528146,0.00584065,0,0,0.00660037,0,0.0158257,0.00243116,0.0407113,0.0109157,0.0199131,0.0151221,0.00899433,0.00517306,0.00404444,0.0213381,0.00508996,0.00604613,0.0265799,0.0152963,0.0225245,0.000536242,0.00368615,0.00334146,0.0053635,0.000769531,0,0,0,0.0106604,0.00416696,0.00327794
238,0,0,0,0,0.00322989,0.00285005,0,0,0,0.0171366,0.0206379,0.0112204,0,0,0.000416677,0,0.0160465,0.000740776,0.0455777,0.0132664,0.0159578,0.0136319,0.00352345,0.00552551,0.00825088,0.0150456,0.00674569,0.0257579,0.0079137,0.00844341,0.00467041,0.0120744,0.0171428,0.000491318,0.00426989,0.000307082,0.0172698,0.0227226,0.00918278,0.00536079,0.00585021,0,0,0.00269182,0,0.0156644,0.00180728,0.0412739,0.0106131,0.0197726,0.0145281,0.00949746,0.00305475,0,0.020772,0.00478176,0.0060131,0.026594,0.0152563,0.0234681,0.00186374,0.00314088,0.00154998,0.00508579,0.00186728,0,0,0,0.0101907,0.00434297,0.00322291
239,0,0,0,0,0.00283322,0.00279233,0,0,0,0.022735,0.0205872,0.014891,0,0,0.000618489,0,0.0160865,0.00066472,0.0455255,0.015872,0.0168364,0.0134118,0.00295112,0.00548253,0.00518478,0.0129907,0.007315,0.0277213,0.0074715,0.00909222,0.00591259,0.0123735,0.0231144,0.000375751,0.00428538,0.000276793,0.0175926,0.0227734,0.00926969,0.00542077,0.00602137,0,0,0.00320815,0,0.0157344,0.00138609,0.0416602,0.0105149,0.0197764,0.014167,0.00887085,0.00306233,0,0.0206086,0.00493294,0.00593456,0.0266978,0.01534,0.0241334,0.00182134,0.00304899,0.00154559,0.0048676,0.00144546,0,0,0,0.0101734,0.00348688,0.00331596
240,0,0,0,0,0.00230492,0.00306594,0,0,0,0.0294331,0.0204778,0.042812,0,0,0.00124296,0,0.0161168,0.000654237,0.0403637,0.0607801,0.0171284,0.010017,0.00401743,0.00528515,0.00414052,0.00556815,0.00459695,0.0283561,0.0178982,0.0163903,0.0305534,0,0.0301167,0.000568302,0.00428309,7.02791e-05,0.0171853,0.0227497,0.00933169,0.00492189,0.00626885,0,0,0.00426495,0,0.0158395,0.00086476,0.041331,0.010192,0.0203762,0.0131534,0.00695658,0.00320952,0,0.0207744,0.0049055,0.00486556,0.0273635,0.0158415,0.0237005,0.00195813,0.0029942,0.00158755,0.00489879,0.00114289,0,0,0,0.0102628,0.0045053,0.00342087
241,0,0,0,0,0.00206042,0.00301535,0,0,0,0.02843,0.0203849,0.0195461,0,0,0.0015962,0,0.0161631,0.00062423,0.0452468,0.0204891,0.0187073,0.0119665,0.0033567,0.00514869,0.00444917,0.0100194,0.0104719,0.0315204,0.00703893,0.00948834,0.00688099,0.014041,0.0292144,0.000712251,0.00432618,0.000209779,0.0185635,0.0227008,0.00897042,0.00550973,0.00654145,0,0,0.00468522,0,0.0158051,0.000736615,0.0422853,0.0101672,0.0197352,0.0129844,0.00809096,0.00309324,0,0.0203546,0.00481977,0.00570914,0.0268334,0.0154675,0.0257949,0.00206937,0.00305687,0.00141875,0.00462547,0.000741948,0,0,0,0.0101585,0.00244417,0.00348916
242,0,0,0,0,0.001791,0.00306109,0,0,0,0.0301005,0.0202802,0.0213534,0,0,0.00204638,0,0.0162319,0.000733947,0.0451413,0.0223599,0.0195201,0.0113441,0.00404949,0.00496287,0.00690615,0.0102874,0.0122192,0.0327394,0.006875,0.00958741,0.00779596,0.0146054,0.0310431,0.00106785,0.00432659,0.000380183,0.0191401,0.0225717,0.00844202,0.00554099,0.00681107,0,0,0.00516118,0,0.0157566,0.00106779,0.0424779,0.0101981,0.0196803,0.012493,0.00769799,0.00300922,0.00514036,0.0205007,0.00460783,0.00572404,0.0268885,0.0155149,0.0268196,0.00271015,0.00299252,0.00108439,0.00455938,0.000720714,0,0,0,0.0102421,0.00244533,0.00328566
243,0,0,0,0,0.00164937,0.00308685,0,0,0,0.0304387,0.0202042,0.0227159,0,0,0.00234744,0,0.016273,0.000907771,0.0448397,0.0248395,0.0202711,0.0110924,0.00475824,0.00474464,0.00887904,0.0111871,0.0135898,0.0336465,0.00641662,0.00914424,0.0084473,0.0148671,0.0314697,0.00136955,0.0043423,0.000339762,0.0194745,0.0225027,0.00780817,0.0055845,0.007015,0,0,0.00582155,0,0.0157223,0.0014525,0.0426628,0.0104007,0.0195539,0.0120715,0.00732811,0.00299434,0.00525753,0.0204037,0.00445076,0.00579982,0.0269233,0.0154982,0.0275591,0.00345759,0.00292352,0.00087053,0.00449436,0.000861477,0,0,0,0.0102668,0.00268595,0.00265994
244,0,0,0,0,0.00157907,0.00309723,0,0,0,0.030665,0.0201585,0.0238199,0,0,0.00261586,0,0.0162833,0.00103772,0.0445605,0.028025,0.0206834,0.0115748,0.00514836,0.00456323,0.00987509,0.0121472,0.0146033,0.0342302,0.0059984,0.00866472,0.00864806,0.0147416,0.0317647,0.00158056,0.00437545,0.000321334,0.019663,0.0224622,0.00716397,0.00568836,0.00717358,0,0,0.00601593,0,0.015626,0.00158915,0.0427892,0.0107398,0.0194465,0.0115987,0.00729786,0.00316722,0.00528753,0.0204253,0.00426225,0.00587304,0.0268867,0.0154715,0.0281593,0.00379091,0.00318664,0.00077894,0.00450775,0.00106297,0,0,0,0.0102381,0.00299664,0.00232062
245,0,0,0,0,0.00150957,0.0031478,0,0,0,0.0305329,0.0201411,0.0241404,0,0,0.00283621,0,0.0162666,0.00111857,0.0442748,0.030724,0.0208164,0.0119799,0.00540776,0.00445427,0.0101559,0.0122501,0.0147952,0.0344588,0.00576591,0.00829766,0.00851475,0.0145129,0.0318686,0.00175274,0.00435468,0.000339448,0.0198495,0.0224607,0.00634539,0.00580303,0.00724775,0,0,0.00591367,0,0.0155584,0.00164327,0.0427863,0.0113198,0.0193339,0.0108927,0.00752141,0.00338296,0.00531103,0.0206062,0.00372175,0.00602116,0.0267777,0.0154542,0.0287768,0.00386703,0.00335869,0.00073936,0.00456321,0.00130669,0,0,0,0.0103124,0.00330635,0.00284026
246,0,0,0,0,0.00161871,0.00400505,0,0,0,0.0310028,0.0201457,0.0237958,0,0,0.00259475,0,0.0163037,0.000883365,0.0441705,0.0309405,0.0206481,0.0121032,0.00579977,0.00452713,0.00956394,0.0115879,0.0142345,0.0342162,0.00567058,0.00827542,0.00821426,0.0140515,0.0323538,0.0015268,0.00426204,0.000317055,0.0202003,0.0229791,0.00548319,0.00576397,0.0080025,0,0,0.0106376,0,0.0163466,0.00245666,0.0426552,0.0123368,0.0191312,0.00998627,0.00744481,0.00513698,0.00530152,0.0208191,0.00276964,0.00609637,0.0265961,0.015547,0.0293635,0.00317839,0.00396679,0.00179541,0.00562343,0.00197999,0,0,0,0.0105636,0.00359496,0.00424742
247,0,0,0,0,0.00147781,0.00355112,0,0,0,0.0318991,0.0202076,0.0228872,0,0,0.00261043,0,0.0162785,0.000981118,0.044226,0.0280739,0.0202726,0.0123582,0.0055275,0.00441725,0.00822025,0.0106406,0.0132843,0.0334255,0.00592187,0.00842363,0.00759075,0.0134398,0.0329281,0.00163616,0.00437215,0.000278347,0.0202231,0.0227094,0.00535663,0.00578724,0.00738192,0,0,0.00725735,0,0.0159122,0.00099537,0.0424786,0.0138638,0.0188461,0.00937558,0.00782561,0.00384833,0.00524564,0.0211171,0.00197848,0.00621268,0.0263098,0.0157977,0.0296574,0.00316236,0.00330614,0.000780777,0.0051268,0.00204932,0,0,0,0.0109189,0.00369575,0.00521306
248,0,0,0,0,0.00164453,0.00352866,0,0,0,0.032044,0.0202537,0.0215127,0,0,0.00231138,0,0.016295,0.000849777,0.0441605,0.0241974,0.0199147,0.0125543,0.0051346,0.00440536,0.00656791,0.00952706,0.0117859,0.0320881,0.00632093,0.00833893,0.00667699,0.012938,0.0327195,0.00144201,0.00448241,0.000180506,0.0197253,0.0227659,0.00607968,0.00579067,0.0073322,0,0,0.00732935,0,0.0160054,0.000913907,0.0423025,0.0155965,0.0185532,0.00894168,0.00811021,0.00404592,0.00526357,0.021447,0.00156592,0.0062919,0.0259664,0.0159946,0.0296132,0.00285346,0.00346596,0.00102135,0.00514529,0.00233586,0,0,0,0.0112298,0.00363805,0.0058255
249,0,0,0,0,0.00187427,0.0034781,0,0,0,0.0314126,0.020378,0.0202679,0,0,0.00213975,0,0.0162139,0.000798594,0.0439164,0.0219961,0.0196512,0.0121905,0.00476509,0.00443026,0.00513883,0.00811529,0.00979363,0.0305746,0.00671759,0.00811771,0.00583259,0.0125804,0.0313413,0.00138438,0.00439896,0.000167868,0.0186567,0.0228499,0.00725902,0.00583437,0.00731341,0,0,0.00751091,0,0.0160313,0.00104323,0.0421082,0.0173137,0.018362,0.00851864,0.00849238,0.00424609,0.00529719,0.0218231,0.00173028,0.00628197,0.0255671,0.0160566,0.0290914,0.00276023,0.00347188,0.00133684,0.00513578,0.00265674,0,0,0,0.0113449,0.00346268,0.00642567
250,0,0,0,0,0.00206741,0.00336386,0,0,0,0.0302579,0.0204129,0.0200195,0,0,0.00218072,0,0.0161551,0.00084182,0.0436494,0.0212261,0.0195089,0.011863,0.00478018,0.00447797,0.00394816,0.00706047,0.00836232,0.029191,0.00729201,0.00824915,0.00544014,0.0122925,0.0296713,0.0015119,0.00433142,0.000173374,0.0177814,0.0228264,0.00874033,0.0057029,0.00718846,0,0,0.00702152,0,0.0159122,0.000805968,0.0419065,0.0190655,0.0181573,0.00838144,0.00874074,0.00399012,0.00524987,0.0222389,0.00219562,0.00631397,0.0251132,0.0160861,0.028362,0.00287436,0.00308271,0.00115346,0.00502375,0.00298461,0,0,0,0.0113775,0.00335023,0.00707662
251,0,0,0,0,0.00229323,0.00329529,0,0,0,0.0277889,0.0204364,0.0194662,0,0,0.00224373,0,0.0161356,0.000876644,0.0432642,0.0202979,0.0195963,0.0122473,0.0050353,0.00453143,0.00278733,0.00703504,0.00812084,0.0282785,0.00772016,0.00858356,0.00528643,0.0121671,0.0272713,0.00159842,0.00433547,0.000147369,0.017027,0.0228356,0.0106187,0.00556856,0.00713873,0,0,0.00661684,0,0.0158549,0.0008427,0.0417363,0.0209438,0.0178622,0.00837977,0.0087582,0.00350503,0.00522767,0.0226564,0.00289862,0.00626942,0.0247356,0.0161531,0.0274422,0.00310141,0.0030571,0.00104812,0.0048995,0.00328364,0,0,0,0.0113346,0.00323708,0.00776097
252,0,0,0,0,0.00249339,0.00322587,0,0,0,0.0248571,0.0204603,0.0177338,0,0,0.00227076,0,0.0161546,0.000951412,0.0428883,0.0189792,0.0198962,0.0134046,0.0053478,0.00453989,0.00124344,0.00844479,0.00922878,0.0281037,0.00760643,0.00902846,0.00560984,0.0121367,0.0245327,0.00158923,0.00439915,8.03466e-05,0.0164386,0.0228654,0.0125674,0.00554539,0.00710251,0,0,0.00618736,0,0.0158215,0.000924744,0.0415896,0.0225622,0.0175589,0.00851744,0.00857261,0.0031721,0.00526072,0.02307,0.00367682,0.00617781,0.0243432,0.0160554,0.0262033,0.00315915,0.00290592,0.00108725,0.00468611,0.0033389,0,0,0,0.0110958,0.0030796,0.0084108
253,0,0,0,0,0.00264332,0.00312479,0,0,0,0.0223397,0.020455,0.0156015,0,0,0.00213688,0,0.0161996,0.000998706,0.042647,0.0179743,0.0203036,0.0141242,0.00577033,0.00442734,0.00127243,0.0108436,0.0111076,0.0287383,0.00731614,0.00971361,0.00627135,0.0120845,0.022357,0.00160726,0.00447808,0.000186466,0.016128,0.0227738,0.0145549,0.00552383,0.00689548,0,0,0.0057633,0,0.0157441,0.00114955,0.0414158,0.0239692,0.0172769,0.00881093,0.00831237,0.00318016,0.00536385,0.0234879,0.00446599,0.00584481,0.0239333,0.0158158,0.0245989,0.00304984,0.00272466,0.000931123,0.00446513,0.00315464,0,0,0,0.0107866,0.00295009,0.00906039
254,0,0,0,0,0.00282717,0.00302511,0,0,0,0.0203762,0.0205176,0.0139598,0,0,0.00207281,0,0.0161269,0.00105235,0.0424802,0.0173594,0.0205538,0.0137973,0.0063716,0.00432378,0.00314146,0.0135202,0.0129714,0.0296888,0.00773497,0.0108525,0.00691463,0.0120378,0.0204784,0.00174975,0.00438572,7.0865e-05,0.0160581,0.0226119,0.0163892,0.00536086,0.00667762,0,0,0.00534578,0,0.0156396,0.00145271,0.0411787,0.025031,0.016985,0.00936525,0.00774763,0.00313422,0.00537323,0.0237149,0.00505503,0.0054356,0.0235231,0.0153542,0.0228406,0.00325953,0.00250947,0.000773054,0.00442331,0.00304646,0,0,0,0.0103005,0.00298503,0.00962671
255,0,0,0,0,0.00324373,0.00404204,0,0,0,0.0185003,0.0205472,0.0128102,0,0,0.00164434,0,0.0161397,0.000806412,0.0422555,0.0167799,0.020442,0.0132135,0.00712541,0.00435382,0.00424067,0.0155348,0.0138603,0.0301897,0.00859278,0.0121344,0.00705334,0.0117058,0.0184954,0.00143908,0.00424141,0.000455428,0.0162542,0.0230917,0.0180368,0.00529316,0.00757221,0,0,0.0110392,0,0.016416,0.00274103,0.0408883,0.0257043,0.0166372,0.0099271,0.00661929,0.00483754,0.00515398,0.0239064,0.00555151,0.00523866,0.0231391,0.0149422,0.0210132,0.00316701,0.00414625,0.00232438,0.0056602,0.00347465,0,0,0,0.00980695,0.00326362,0.0101427
256,0,0,0,0,0.0032366,0.00304208,0,0,0,0.0168266,0.0207141,0.0115241,0,0,0.00178988,0,0.0159809,0.000873816,0.0418804,0.0158986,0.0200468,0.0140245,0.00712685,0.00432897,0.00482364,0.0169358,0.0138853,0.029885,0.00938325,0.0131565,0.00672533,0.0109062,0.0164855,0.00181459,0.00427599,0.000199884,0.0170123,0.0226687,0.0198671,0.0052746,0.00634122,0,0,0.0045162,0,0.0154614,0.00148289,0.0405242,0.0264718,0.016282,0.0102861,0.00603735,0.00282657,0,0.02422,0.00600454,0.00545424,0.0226603,0.0145273,0.0189146,0.00301947,0.00220657,0.000983106,0.00514482,0.00302923,0,0,0,0.00949803,0.00355934,0.0107415
257,0,0,0,0,0.00331149,0.00312422,0,0,0,0.0145947,0.0208801,0.00982585,0,0,0.00149144,0,0.0159186,0.000704361,0.0413459,0.0148638,0.019709,0.0149699,0.00713929,0.00422607,0.00558225,0.0174396,0.0131066,0.0287961,0.00953892,0.0133461,0.00607818,0.00992799,0.0140534,0.00168459,0.00425532,0.000404412,0.0189006,0.0227494,0.021346,0.00509248,0.0063807,0,0,0.0040613,0,0.0154504,0.000868387,0.0402411,0.0265716,0.015947,0.00994538,0.00549672,0.00285975,0.00516755,0.0243962,0.00607967,0.0060123,0.0222202,0.0137047,0.0168166,0.00273035,0.00210586,0.00103258,0.0056024,0.00289195,0,0,0,0.00904732,0.00386546,0.0111582
258,0,0,0,0,0.00320185,0.00313195,0,0,0,0.01277,0.021086,0.00801991,0,0,0.00135744,0,0.0158164,0.000700558,0.0409853,0.013784,0.0193563,0.0153679,0.00709365,0.00415585,0.00685572,0.0177295,0.0120906,0.0274392,0.00927384,0.0131623,0.00532377,0.00898177,0.0120439,0.00154678,0.0041817,0.000707294,0.0208512,0.0228454,0.0220141,0.00495091,0.00647797,0,0,0.00384763,0,0.0153779,0.00086476,0.04005,0.0261049,0.0158487,0.0105764,0.00490415,0.00327463,0.00625353,0.024067,0.0058312,0.00680013,0.0216879,0.013081,0.0146471,0.00249565,0.00194465,0.00103453,0.00572546,0.00262431,0,0,0,0.00850729,0.00408625,0.0114755
259,0,0,0,0,0.00277202,0.00331604,0,0,0,0.010187,0.0211322,0.00580998,0,0,0.00180557,0,0.0158659,0.000869589,0.0407763,0.0126151,0.0191743,0.0146042,0.00773154,0.00444942,0.00764889,0.0165794,0.010867,0.0262273,0.00838596,0.0121643,0.00455535,0.00838998,0.00980572,0.00180254,0.00416573,0.000884698,0.0330559,0.0226645,0.0289609,0.00598048,0.00701856,0,0,0.00359469,0,0.0153059,0.00142597,0.0416368,0.035916,0.0172606,0.00924747,0.00336293,0.00342235,0.0108224,0.0192497,0.00434738,0.0129491,0.0198976,0.0265903,0.0250382,0.00283451,0.0016473,0.000767413,0.00551991,0.00185942,0,0,0,0.0177024,0.00421159,0.0177488
260,0,0,0,0,0.00259473,0.00315885,0,0,0,0.00891858,0.0213366,0.00427787,0,0,0.00168294,0,0.0158183,0.00103074,0.0405049,0.0117892,0.0188437,0.0141434,0.00774741,0.0046761,0.00797625,0.0156156,0.0102238,0.02574,0.00783762,0.0119261,0.00432568,0.00806754,0.00844286,0.00166613,0.00415551,0.00123521,0.032782,0.0226459,0.0286661,0.00576477,0.00704419,0,0,0.00314294,0,0.0152487,0.00157013,0.0414098,0.0366768,0.0172132,0.0100153,0.00320053,0.00338831,0.0106576,0.0188012,0.00409409,0.0123061,0.0191689,0.0269444,0.0219567,0.00296674,0.0014928,0.000809625,0.00510602,0.00157954,0,0,0,0.0180625,0.00439118,0.0176765
261,0,0,0,0,0.00253416,0.0028942,0,0,0,0.00815632,0.0215687,0.0034919,0,0,0.00164868,0,0.0157546,0.00120757,0.0403904,0.0113105,0.0185626,0.013448,0.00799924,0.00482752,0.00770693,0.0147769,0.00988693,0.0257773,0.00751747,0.011772,0.00434083,0.00814137,0.007507,0.00148172,0.00416468,0.00143785,0.031559,0.0226348,0.0278116,0.00571744,0.00716616,0,0,0.0029956,0,0.0151879,0.00179484,0.0410707,0.0370023,0.0169688,0.010445,0.00305124,0.00315983,0.00994331,0.0182625,0.00451297,0.0112946,0.0183914,0.0265329,0.0184958,0.00315743,0.00139318,0.000885582,0.00458971,0.00142769,0,0,0,0.0177835,0.00459695,0.0177246
262,0,0,0,0,0.0026976,0.00263297,0,0,0,0.00779414,0.0218269,0.00313329,0,0,0.00152252,0,0.0156529,0.00128795,0.0405797,0.0110862,0.0184108,0.0126425,0.00813288,0.00498737,0.00717181,0.013919,0.00965879,0.0260139,0.00733142,0.0114228,0.00429217,0.00848382,0.00679428,0.00134636,0.00410438,0.00152871,0.029598,0.0226626,0.0258749,0.00581905,0.00716759,0,0,0.00313959,0,0.0151341,0.00207785,0.0406148,0.0355216,0.0165135,0.0113621,0.00300275,0.00293494,0.00916384,0.0178418,0.00521643,0.0101996,0.0176437,0.0250806,0.0143061,0.00325511,0.00149708,0.00101844,0.00436107,0.00141958,0,0,0,0.0166863,0.00472869,0.0173163
263,0,0,0,0,0.00330572,0.00223572,0,0,0,0.00796386,0.0220938,0.00327018,0,0,0.00131751,0,0.015584,0.00143126,0.0407277,0.0111853,0.0184488,0.0123278,0.00737114,0.00538602,0.00705757,0.0137417,0.00959391,0.0262454,0.00732872,0.0111987,0.00425637,0.00878646,0.00666335,0.000957903,0.00413097,0.00177259,0.0248843,0.0228029,0.0198793,0.00546685,0.00706604,0,0,0.00367671,0,0.0151307,0.00261612,0.039303,0.0229222,0.0148545,0.015187,0.00367127,0.00244463,0.00731351,0.0213662,0.00554476,0.00795083,0.0180406,0.0148704,0.00591197,0.00334568,0.00160767,0.00133954,0.00454631,0.00189115,0,0,0,0.0105507,0.00449568,0.0142924
264,0,0,0,0,0.00375523,0.00215707,0,0,0,0.00805641,0.0221467,0.00361739,0,0,0.0014412,0,0.0156011,0.00146899,0.0409447,0.0112963,0.0185609,0.0118691,0.00720979,0.00557531,0.00690424,0.0133081,0.00920527,0.0260916,0.00701175,0.0104164,0.00400422,0.00899291,0.00671607,0.000729676,0.00416199,0.00188519,0.0245577,0.0228849,0.0186894,0.005572,0.00703183,0,0,0.0045753,0,0.0151304,0.00326964,0.0390204,0.0208703,0.0144925,0.0166588,0.00361291,0.00206623,0.00770615,0.0220634,0.00632094,0.00823282,0.0182978,0.014781,0.0122043,0.00361203,0.00165751,0.00166432,0.00461882,0.00220217,0,0,0,0.0104111,0.00415129,0.0147024
265,0,0,0,0,0.00424465,0.00315321,0,0,0,0.00823474,0.0224184,0.00459649,0,0,0.00272385,0,0.0154321,0.00183857,0.0417443,0.0114193,0.0181871,0.0117977,0.00786307,0.00558634,0.00664987,0.012914,0.00903277,0.0256829,0.00685347,0.00988597,0.00394606,0.00916954,0.00776345,0.000701924,0.00419154,0.00205787,0.0297732,0.0234445,0.0204369,0.00727839,0.00765106,0,0,0.00285607,0,0.0162377,0.0016729,0.0395597,0.0179097,0.0134935,0.0103297,0.0028555,0.00457969,0.0052342,0.0238369,0.011821,0.00719599,0,0.00442199,0.028718,0.00190653,0.00423447,0.00250094,0.00512534,0.00341016,0,0,0,0.00439215,0.00484241,0.0125786
266,0,0,0,0,0.00497894,0.00274689,0,0,0,0.0086242,0.0223167,0.00482082,0,0,0.002548,0,0.0154525,0.00181962,0.0414271,0.0112535,0.0181843,0.0115898,0.0073217,0.00563958,0.00675642,0.012902,0.00882353,0.0256445,0.00672196,0.00972584,0.00389634,0.00916787,0.00874676,0.00134077,0.00420044,0.00191119,0.0332901,0.0233425,0.0212277,0.00732736,0.00711605,0,0,0.00343462,0,0.0156667,0.00310793,0.039431,0.0176023,0.0133687,0.0112784,0.00290221,0.00296422,0.00610627,0.0240146,0.0124049,0.0074239,0,0.00576265,0.0354321,0.00354755,0.00271167,0.00208136,0.00544274,0.00351005,0,0,0,0.00510201,0.00442259,0.0126712
267,0,0,0,0,0.00543372,0.003108,0,0,0,0.00918696,0.0222929,0.0044999,0,0,0.00291819,0,0.0154075,0.0019302,0.0409335,0.0105361,0.0181688,0.0113086,0.00701302,0.00534683,0.00660911,0.0127174,0.00854765,0.0258352,0.00659496,0.00981396,0.00376262,0.0089618,0.00967319,0.00189785,0.00420991,0.00189003,0.0368653,0.0234738,0.0219211,0.00734592,0.00713286,0,0,0.00361418,0,0.0157818,0.00339226,0.0392175,0.0179836,0.0135469,0.0125342,0.00326746,0.00295031,0.00654326,0.0244562,0.0124732,0.0076044,0,0.0075002,0.0408243,0.00352505,0.00285073,0.00231393,0.00565631,0.00359703,0,0,0,0.0057317,0.00397317,0.0127366
268,0,0,0,0,0.00563759,0.00343465,0,0,0,0.00981253,0.0222615,0.00389855,0,0,0.00337564,0,0.0154419,0.00216758,0.0404612,0.00911099,0.0181205,0.0108651,0.00667385,0.00485154,0.00619149,0.0122324,0.00814711,0.0262555,0.00643108,0.0101253,0.00365819,0.0086702,0.0108136,0.00244659,0.00421722,0.00179584,0.0394154,0.0235891,0.0222005,0.00743635,0.00717935,0,0,0.00357123,0,0.0159187,0.00354083,0.0388743,0.0176305,0.0139108,0.0133165,0.00405947,0.00293648,0.00661186,0.0247039,0.0123145,0.00675014,0,0.00898411,0.0443595,0.00336806,0.00310771,0.0025291,0.00579898,0.00360929,0,0,0,0.00640385,0.00351509,0.0123625
269,0,0,0,0,0.00556233,0.00369146,0,0,0,0.0107447,0.0222412,0.00371736,0,0,0.00377666,0,0.0155233,0.00240512,0.0401134,0.00717745,0.0180556,0.0101741,0.00643229,0.00423709,0.00569021,0.0114917,0.00768749,0.0267264,0.00620387,0.010496,0.00365896,0.00829279,0.0121947,0.00289463,0.00421539,0.00171341,0.0406844,0.0237079,0.0218099,0.0075959,0.0070755,0,0,0.00327306,0,0.0160829,0.00353358,0.0384354,0.0166418,0.0144176,0.013492,0.00460417,0.00295587,0.00636423,0.0247887,0.0120947,0.0057086,0,0.0101087,0.0460257,0.00328171,0.0035788,0.00274528,0.00593589,0.00346149,0,0,0,0.00714909,0.00310346,0.0117097
270,0,0,0,0,0.00513801,0.0037478,0,0,0,0.0121287,0.0221333,0.00438911,0,0,0.00386466,0,0.0154339,0.00235102,0.0398853,0.00575516,0.0180945,0.00906983,0.00602129,0.00346899,0.00502872,0.0104946,0.00677793,0.0275334,0.00601931,0.0108159,0.00382614,0.00804504,0.0141005,0.00308895,0.00418806,0.00162785,0.0413929,0.023831,0.0215093,0.00729402,0.00715286,0,0,0.00261335,0,0.0162022,0.00334339,0.0380665,0.0162291,0.0154231,0.0132804,0.00471749,0.00288722,0.00621062,0.0249192,0,0.00597393,0,0.0113699,0.0468054,0.00305226,0.00397364,0.0029211,0.00593481,0.00289134,0,0,0,0.00861245,0.002587,0.0114719
271,0,0,0,0,0.00497642,0.00365534,0,0,0,0.0137418,0.022075,0.00535437,0,0,0.00391828,0,0.0153206,0.00228801,0.0397093,0.00537925,0.0180216,0.00821743,0.00497866,0.00301617,0.00472745,0.00989018,0.005877,0.0281576,0.0058821,0.0110084,0.00383898,0.00787579,0.0161059,0.0030607,0.00418906,0.00169231,0.0405698,0.023853,0.0206082,0.00787747,0.00680253,0,0,0.00388574,0,0.0161939,0.00384182,0.0380698,0.0146797,0.0153527,0.0134564,0.00419564,0.00284603,0.0055286,0.0246924,0.0118099,0.00568203,0,0.0121877,0.0458262,0.00357145,0.00373983,0.00292781,0.00598733,0.00272074,0,0,0,0.00899865,0.00247254,0.0103097
272,0,0,0,0,0.00470393,0.00364221,0,0,0,0.014848,0.0220532,0.00599909,0,0,0.00392729,0,0.0152861,0.00236644,0.0395916,0.00509043,0.0178609,0.00728825,0.00413023,0.00260204,0.00436158,0.00917821,0.00473494,0.0286598,0.00552431,0.0107634,0.00366275,0.00764248,0.0175184,0.00313765,0.00419457,0.00155094,0.0397678,0.0238777,0.0203391,0.008099,0.006945,0,0,0.00434027,0,0.01624,0.00399021,0.0382527,0.0149017,0.0157473,0.0135985,0.00329909,0.00265928,0.00553452,0.024621,0.0118333,0.00473613,0,0.0135402,0.0447431,0.00370864,0.00370252,0.00297906,0.00603022,0.00250289,0,0,0,0.0102393,0.00239277,0.00968169
273,0,0,0,0,0.00431311,0.00340946,0,0,0,0.0148869,0.0220356,0.00611857,0,0,0.00379761,0,0.0152732,0.00254993,0.0395158,0.00460058,0.0176607,0.00634058,0.00383894,0.00214637,0.00392907,0.00826734,0.00407147,0.0286702,0.00488351,0.00996025,0.00332387,0.00745591,0.0177297,0.00315112,0.00416084,0.00142753,0.0381206,0.0238551,0.020009,0.00840083,0.00724177,0,0,0.00517898,0,0.0161735,0.00416071,0.0385291,0.0162855,0.0161983,0.0140827,0.00293951,0.00228207,0.00581157,0.0245463,0.0117979,0.00465463,0,0.014696,0.0427293,0.00391468,0.00357748,0.00303052,0.00583877,0.00252343,0,0,0,0.0113307,0.00248953,0.00921141
