Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIBA,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,RTIB,LASI,RTIBI
212,0,0,0,0,0.00378434,0.00553211,0,0,0,0.0824054,0.0211785,0.0450797,0,0,0.00241992,0,0.0161429,0.00155729,0.0356388,0.0335062,0.0132985,0.0107036,0.00246676,0.00536572,0.00670586,0.0159392,0.0210238,0.0362253,0.00895564,0.0233666,0.0140288,0.0185689,0.0980479,0.00360353,0.00482825,0.00112296,0.00969708,0.0235536,0.0075318,0.00176114,0.00546123,0,0,0.00249516,0,0.0165047,0.00337086,0.0345881,0.0119351,0.0262889,0.00317319,0.00270119,0.00554716,0.00287193,0.0217592,0.00911011,0.00560544,0.0332607,0.0179121,0.00909932,0.00266275,0.0041638,0.00410388,0.00760039,0.00498056,0,0,0,0.0119919,0.00626633,0.00568251
213,0,0,0,0,0.00355223,0.00531449,0,0,0,0.0829502,0.0211626,0.0462681,0,0,0.00228836,0,0.0161343,0.00144784,0.0355637,0.0350522,0.0131631,0.00986988,0.00285201,0.00509888,0.00664477,0.0162941,0.020702,0.0360983,0.00924544,0.0242881,0.0146876,0.0190337,0.0986939,0.00335117,0.00487443,0.0012787,0.00977835,0.0235498,0.00697374,0.0017386,0.0054205,0,0,0.00305546,0,0.0164968,0.00324029,0.0347915,0.0111284,0.0260955,0.00251337,0.00287823,0.00539517,0.00300291,0.0220814,0.00888681,0.00526171,0.0329806,0.0183609,0.00952508,0.00244574,0.00421288,0.00415529,0.00706673,0.00467842,0,0,0,0.0117027,0.00644042,0.00567813
214,0,0,0,0,0.00341809,0.00514324,0,0,0,0.0829283,0.0210876,0.046693,0,0,0.00229526,0,0.0161025,0.00140868,0.0354413,0.0360215,0.013066,0.00943629,0.00326127,0.00480604,0.00674229,0.0166078,0.0204377,0.035874,0.00942851,0.0246094,0.0148958,0.0192385,0.0982013,0.00309177,0.00496845,0.00137049,0.0100162,0.0235555,0.0065161,0.00171329,0.00537955,0,0,0.00392157,0,0.0164294,0.00310734,0.034901,0.0106485,0.0258757,0.00194632,0.00319689,0.00506821,0.00293962,0.0223271,0.00871747,0.00510603,0.0328087,0.0178087,0.0100636,0.00220778,0.00423237,0.00424615,0.00659562,0.00439796,0,0,0,0.0114904,0.00660399,0.00558045
215,0,0,0,0,0.00172555,0.00453937,0,0,0,0.0852956,0.0208098,0.0421483,0,0,0.00125238,0,0.0164469,0.000714585,0.0360158,0.0242829,0.0164157,0.0219111,0.0027834,0.00455981,0.0122817,0.0326474,0.0163265,0.0327706,0.0212307,0.0399508,0.0197678,0.0197346,0.104772,0.00229043,0.00500026,0.00119029,0.00969257,0.023169,0.00606882,0.0015089,0.00592323,0,0,0.00641208,0,0.0163525,0.00204484,0.0350731,0.00999301,0.0256101,0.00162539,0.0026632,0.00492319,0.0028792,0.0221355,0,0.00548028,0.0324171,0.0172056,0.00978655,0.00247478,0.00383686,0.00389881,0.00526411,0.00345921,0,0,0,0.0110176,0.00522428,0.00533114
216,0,0,0,0,0.00344493,0.0048706,0,0,0,0.0804615,0.0211299,0.0454103,0,0,0.00235551,0,0.0163272,0.00132227,0.0354001,0.0355891,0.0126845,0.00988944,0.00437863,0.00436818,0.00720572,0.0165651,0.0204067,0.0352985,0.00889431,0.0229362,0.0141805,0.0189708,0.0944335,0.00273626,0.00488951,0.00132253,0.0102818,0.0234402,0.00700475,0.00152453,0.00511876,0,0,0.00392512,0,0.0163907,0.00300752,0.0347882,0.0111272,0.02542,0.000497149,0.00436578,0.00480432,0.00280144,0.0220216,0.00754243,0.00544836,0.0323932,0.0172948,0.0104452,0.00207709,0.00407953,0.00413779,0.00632172,0.00366568,0,0,0,0.0113446,0.00683276,0
217,0,0,0,0,0.00340614,0.00469538,0,0,0,0.0782835,0.0213847,0.0438056,0,0,0.00204097,0,0.0159784,0.00104112,0.0354408,0.0340876,0.0124071,0.0103075,0.00474553,0.00412792,0.00747826,0.0164267,0.0204982,0.0347721,0.0081136,0.0212417,0.0133188,0.018584,0.0918887,0.0024033,0.0045946,0.00101901,0.0105327,0.0234031,0.00701704,0.00144175,0.00510944,0,0,0.00351587,0,0.0164064,0.00304278,0.0348532,0.0112532,0.0251881,0.00113283,0.00500916,0.00476763,0.00282332,0.0217369,0.00706378,0.00563246,0.032048,0.0171983,0.0108801,0.00209436,0.00397133,0.00400415,0.00635059,0.0032509,0,0,0,0.0112746,0.00689104,0
218,0,0,0,0,0.00169428,0.00399026,0,0,0,0.0792134,0.0212818,0.0374161,0,0,0.00102476,0,0.0158419,0.000561819,0.0361942,0.0192094,0.0158732,0.0202765,0.00294743,0.00362182,0.0121099,0.031453,0.0167259,0.0313924,0.019047,0.035526,0.0175231,0.0184408,0.0978151,0.00124378,0.00439121,0.000559138,0.0101866,0.023022,0.00714643,0.00149094,0.00567343,0,0,0.00498179,0,0.0161304,0.00157597,0.0353577,0.0110876,0.0250238,0.00212875,0.00367716,0.00424184,0.00281324,0.0212239,0.00618458,0.00553112,0.0315817,0.0170766,0.0102522,0.0019897,0.00325022,0.0033792,0.00501531,0.00255724,0,0,0,0.0111172,0.00506558,0.00509886
219,0,0,0,0,0.00327712,0.00608557,0,0,0,0.0740228,0.0215145,0.040504,0,0,0.00255455,0,0.0157649,0.00128157,0.0359112,0.0307378,0.0118752,0.0116967,0.00442113,0.0049493,0.008638,0.0161862,0.021171,0.0334959,0.00601522,0.0171393,0.0112109,0.0174414,0.0869355,0.0026519,0.00438528,0.00102735,0.0111325,0.0238675,0.00749256,0.0015067,0.00619088,0,0,0.0126442,0,0.0173833,0.00682807,0.03536,0.0120717,0.0248095,0.00359174,0.00565511,0.00647519,0.00265063,0.0211827,0.00556316,0.00548971,0.0312709,0.0169653,0.0118293,0.00335177,0.00800732,0.00662916,0.00815168,0.00128753,0,0,0,0.0115185,0.00703453,0.00487761
220,0,0,0,0,0.00265692,0.00358679,0,0,0,0.075789,0.0211412,0.0339325,0,0,0.00172598,0,0.0158692,0.000838157,0.0372162,0.0147004,0.0145036,0.017609,0.00363576,0.00371728,0.0117135,0.0298769,0.0170328,0.028197,0.0167779,0.0319038,0.0154142,0.0174342,0.0945893,0.00131217,0.00427695,0.000946947,0.0167534,0.0227856,0.0180469,0.0074753,0.00493068,0,0,0.0032664,0,0.0157614,0.00116365,0.0376105,0.0226154,0.0201806,0.00940815,0.00216567,0.00386831,0.00768924,0.0162347,0.0111919,0.0123512,0,0.0283743,0.0128707,0.00247787,0.00243117,0.00262626,0.00451689,0.00116832,0,0,0,0.021322,0.00802175,0.0171339
221,0,0,0,0,0.00341431,0.00440704,0,0,0,0.0703033,0.0213929,0.0377937,0,0,0.00234037,0,0.0156471,0.00120976,0.036498,0.0288806,0.0114996,0.0138774,0.00443644,0.00507114,0.0104269,0.0163466,0.0220614,0.0318733,0.00456486,0.0132981,0.00907071,0.0164716,0.0824934,0.00202157,0.00427923,0.00116563,0.0122266,0.0231526,0.00780271,0.00192236,0.00558078,0,0,0.0021496,0,0.0160709,0.00333346,0.0359311,0.0120298,0.0241001,0.00558982,0.00681232,0.00478745,0.00483136,0.0208248,0.00430994,0.00472824,0.0305391,0.016696,0.014059,0.00291131,0.00335384,0.00330522,0.00663423,0.00259767,0,0,0,0.0115543,0.0069244,0.00436949
