Timestep,,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,IMU_M,IMU_B,RTHI
43,0,0,0,0,0,0.00861256,0.0118271,0,0.0154039,0.0185146,0.0144393,0.00370024,0,0,0.0363392,0,0.0180597,0.0232762,0.0410195,0.0232102,0.0212439,0.00774627,0.0141601,0.0220625,0.00482791,0.00435594,0.00894048,0.0238496,0.00273351,0.00576364,0.00689119,0.0133104,0.0177209,0.0326076,0.0101283,0.00515014,0.0503296,0.0158956,0.0179682,0.0063387,0.0177314,0,0,0.0143072,0,0.0131726,0.0182461,0.0429572,0.0410136,0.0263515,0.0329922,0.00565395,0.0163817,0.0498509,0.0260156,0.0271413,0.0188553,0.0231874,0.0153594,0.0106638,0.0739616,0.0187887,0.0112688,0.0101408,0.00770853,0.0178414,0,0,0,0,0,0
44,0,0,0,0,0,0.00815389,0.0112747,0,0.0139685,0.0184866,0.0138916,0.00401814,0,0,0.0338372,0,0.0178981,0.0214565,0.0409163,0.0242737,0.0210751,0.00668915,0.0133654,0.0212582,0.004249,0.00474358,0.00909999,0.0244516,0.00206426,0.00576949,0.00704495,0.0127376,0.0159748,0.0307002,0.00878604,0.00547357,0.0480129,0.0155891,0.0205565,0.00613438,0.0178968,0,0,0.0143095,0,0.0135456,0.0175033,0.0426106,0.0394609,0.0262829,0.0340617,0.00561225,0.0159244,0.0491274,0.0282993,0.0280797,0.0196571,0.0236103,0.0151841,0.0100713,0.0729842,0.0182541,0.0107838,0.010188,0.00754194,0.0178067,0,0,0,0,0,0
45,0,0,0,0,0,0.00756811,0.0108083,0,0.0130247,0.0186945,0.0139102,0.0043126,0,0,0.0307169,0,0.0176618,0.0195159,0.0408052,0.0252771,0.0206213,0.00475535,0.0120972,0.0195425,0.00396131,0.00457127,0.00848121,0.0249662,0.00163101,0.00573863,0.00717014,0.0121805,0.0144264,0.0278463,0.00762004,0.00507127,0.046415,0.0157028,0.0234833,0.00581098,0.0168399,0,0,0.0136158,0,0.0136679,0.0163854,0.0424946,0.0387632,0.0262221,0.0368594,0.00505516,0.0149058,0.0482681,0.0304203,0.0292479,0.0212623,0.0240412,0.0148903,0.0119325,0.0719876,0.0167343,0.0103805,0.00982198,0.00692596,0.0172522,0,0,0,0,0,0
46,0,0,0,0,0,0.00712032,0.0101484,0,0.0127541,0.0190353,0.0138981,0.00450092,0,0,0.0273713,0,0.0174033,0.017182,0.0407001,0.0253322,0.0201981,0.00305107,0.010457,0.0175241,0.00355524,0.00441106,0.00749598,0.025279,0.00174142,0.00601157,0.00720751,0.0115674,0.0134321,0.0245744,0.00650179,0.00436882,0.0457244,0.0160089,0.0267738,0.00527878,0.01512,0,0,0.0128155,0,0.0136606,0.0150642,0.0425528,0.0390785,0.0261973,0.039687,0.00399898,0.0137377,0.0473385,0.0322301,0.0309896,0.0235737,0.0247914,0.0147994,0.0155409,0.071471,0.0147001,0.00983055,0.00930452,0.00571978,0.0164083,0,0,0,0,0,0
47,0,0,0,0,0,0.00681666,0.00907455,0,0.0137229,0.0193968,0.0137652,0.00456568,0,0,0.0239636,0,0.0171904,0.0145563,0.040443,0.0242508,0.020076,0.00253185,0.00847404,0.01502,0.00296935,0.00479598,0.00679621,0.0254349,0.00248663,0.00705042,0.00722501,0.0109052,0.0130748,0.0212382,0.00558288,0.00354437,0.0453548,0.0164189,0.0305723,0.00477899,0.0133772,0,0,0.0122576,0,0.0135783,0.0136712,0.0428238,0.0409436,0.0261497,0.0416977,0.00266601,0.0128749,0.0463583,0.0340114,0.0332441,0.0263381,0.025913,0.0149082,0.0197607,0.0718058,0.0125608,0.00908988,0.00872779,0.00401016,0.0154224,0,0,0,0,0,0
48,0,0,0,0,0,0.0107452,0.010702,0,0.0157373,0.0210279,0.0127221,0.0057359,0,0,0.014675,0,0.016134,0.00869977,0.0392336,0.0210369,0.0212453,0.00508473,0.00195743,0.00582301,0.00202152,0.0078076,0.0079405,0.0262129,0.00422465,0.00979881,0.00743309,0.00974926,0.0137844,0.01035,0.00425897,0.000763481,0.0718872,0.0192916,0.0613514,0.0050569,0.0113061,0,0,0.0107125,0,0.0114366,0.0111843,0.0431859,0.0718374,0.0238159,0.0304709,0.00568234,0.0158276,0.0515142,0.0247756,0.025246,0.0160479,0.0236271,0.0156243,0.02706,0.0963645,0.00844011,0.00948697,0.00860259,0.00601979,0.0124441,0,0,0,0,0,0
49,0,0,0,0,0,0.00338284,0.00493712,0,0.0170576,0.0213831,0.0112728,0.00645426,0,0,0.00574776,0,0.0159137,0.00276079,0.0384695,0.0181872,0.0215249,0.00748562,0.00242556,0.00181326,0.00373972,0.010745,0.00921048,0.025774,0.00600845,0.0130815,0.00772894,0.00889042,0.0150787,0.00415503,0.00403806,0.000929229,0.0416777,0.0197413,0.0465912,0.00503545,0.00912016,0,0,0.00857599,0,0.0127731,0.00730831,0.0441451,0.0537127,0.0227214,0.032629,0.00979916,0.0138428,0.0434924,0.0275112,0.0273558,0.0184061,0.0218259,0.00676527,0.0208715,0.0651349,0.00653174,0.00657431,0.00684197,0.00728112,0.0109864,0,0,0,0,0,0
50,0,0,0,0,0,0.00458844,0.00630843,0,0.0173656,0.0220655,0.00988893,0.00398828,0,0,0.00430068,0,0.0155321,0.00213484,0.0393688,0.0178165,0.0209625,0.00921912,0.00212705,0.00227332,0.00560285,0.011839,0.0107099,0.0242934,0.0073796,0.0148356,0.00807519,0.00951885,0.0142629,0.00225692,0.00394999,0.00151568,0.0329168,0.0202623,0.0358431,0.0017923,0.00923988,0,0,0.011005,0,0.0126168,0.0068809,0.0415079,0.0372244,0.0173315,0.0212835,0.010695,0.014389,0,0,0.0172501,0.0155208,0.0238732,0.00344586,0.0172132,0.042308,0.00571005,0.00682182,0.00697789,0.00974389,0.00954697,0,0,0,0,0,0
51,0,0,0,0,0,0.0060311,0.0068633,0,0.0167669,0.0221567,0.00783183,0.00406947,0,0,0.00515801,0,0.0153869,0.00262547,0.039014,0.0166004,0.0212118,0.00970165,0.00214608,0.00251145,0.00660291,0.0122282,0.0105892,0.0238857,0.0077023,0.0147739,0.00770568,0.00956101,0.0134497,0.00247699,0.00401389,0.0014402,0.0377525,0.0202962,0.0381338,0.00195367,0.00992501,0,0,0.0131494,0,0.0125694,0.00738662,0.0409421,0.0384627,0.0174622,0.0201352,0.00988719,0.0147356,0,0,0.0153274,0.0130304,0.023749,0.00343567,0.016919,0.0378026,0.00517191,0.0073107,0.00748108,0.0103408,0.00967935,0,0,0,0,0,0
52,0,0,0,0,0,0.00594354,0.0057548,0,0.0154337,0.0220539,0.00588379,0.00417997,0,0,0.00202584,0,0.0154386,0.00105633,0.0387276,0.0156042,0.0213969,0.0102182,0.00256496,0.00314898,0.00746095,0.0128114,0.0101164,0.0234939,0.00746545,0.0137816,0.00694115,0.00944195,0.0131932,0.00224765,0.00396614,0.00126108,0.0319094,0.0206447,0.0260859,0.00270177,0.00941885,0,0,0.00997985,0,0.0128024,0.00590006,0.0404696,0.022943,0.0172267,0.0167741,0.00876722,0.0142481,0.0201749,0.00187932,0.00290387,0.00553625,0.0174198,0.012511,0.0137162,0.0304264,0.00504535,0.00588,0.00646524,0.00999129,0.0089026,0,0,0,0,0,0
53,0,0,0,0,0,0.00743896,0.00599324,0,0.0152405,0.0220061,0.0050725,0.00417925,0,0,0.00169761,0,0.0154148,0.000866243,0.0388425,0.0147703,0.0211355,0.0102108,0.00312202,0.00373178,0.00773522,0.0128605,0.00940318,0.023175,0.00698373,0.0125039,0.00631132,0.00936644,0.0131839,0.00239112,0.00398014,0.00123434,0.03506,0.020747,0.025634,0.00335482,0.00946604,0,0,0.0113462,0,0.0127366,0.00592732,0.0396914,0.0204039,0.0170775,0.0177874,0.00804854,0.0141168,0.0204903,0,0.00609221,0.00676494,0.0177575,0.0130042,0.0145903,0.0344042,0.00474491,0.00610444,0.00654143,0.00981298,0.00819874,0,0,0,0,0,0
54,0,0,0,0,0,0.00794703,0.00610198,0,0.0152695,0.0218579,0.00463001,0.00448328,0,0,0.00172217,0,0.015447,0.000981876,0.0385158,0.0138443,0.0210192,0.00974526,0.00363828,0.00400053,0.00786067,0.0128336,0.00850721,0.0230299,0.0064978,0.0113855,0.00574666,0.0091209,0.013393,0.00262624,0.00398452,0.00121031,0.0385389,0.0208729,0.0268466,0.00335493,0.00935173,0,0,0.0125955,0,0.0127064,0.00605126,0.0387653,0.0216245,0.0177483,0.018501,0.00706736,0.0140854,0.0173491,0.0045585,0.00623784,0.00635773,0.017466,0.0119944,0.0140798,0.0382247,0.00460703,0.00636473,0.00657231,0.00931214,0.00773987,0,0,0,0,0,0
55,0,0,0,0,0,0.00755813,0.00624834,0,0.0156561,0.0217338,0.00438197,0.00488611,0,0,0.00176604,0,0.0154082,0.00112091,0.0380614,0.0125196,0.0208862,0.00923683,0.00410361,0.00432119,0.00763933,0.0125458,0.00769992,0.0232639,0.00631883,0.0110645,0.00554077,0.00871989,0.0140378,0.00288142,0.00397731,0.00112414,0.0404669,0.0209732,0.0267986,0.00295273,0.00932908,0,0,0.0136168,0,0.0126473,0.00616367,0.038223,0.0216228,0.0191688,0,0.00610624,0.0143349,0.0152131,0.004999,0.00706112,0.00618166,0.0175645,0.0113151,0.0136507,0.0409486,0.00471777,0.00655281,0.0065899,0.00870828,0.00764131,0,0,0,0,0,0
56,0,0,0,0,0,0.00697283,0.00645014,0,0.016075,0.0217467,0.00449366,0.00503606,0,0,0.00166903,0,0.0153087,0.0011783,0.0376355,0.0111776,0.020734,0.00874405,0.00426551,0.0048833,0.00733817,0.0118443,0.00714502,0.0236472,0.00637675,0.0112803,0.00559821,0.00831184,0.0145592,0.00302104,0.00402265,0.00104421,0.0405661,0.0210567,0.0250719,0.00304878,0.00936195,0,0,0.0144572,0,0.0125585,0.0061149,0.038238,0.0206059,0.0199047,0.0198698,0.00530509,0.0146959,0.0165391,0.00632977,0.00929144,0.00742981,0.0174089,0.0116425,0.0136233,0.042034,0.00503409,0.00667947,0.00657053,0.00807306,0.00754548,0,0,0,0,0,0.00741351
57,0,0,0,0,0,0.00660832,0.00669939,0,0.0166636,0.0217579,0.00558385,0.00506206,0,0,0.00149747,0,0.0152875,0.00120638,0.0374028,0.0101191,0.0204193,0.00812187,0.00425175,0.00559341,0.00669197,0.0107686,0.00662606,0.0243066,0.00660421,0.0118991,0.00586724,0.00796103,0.0151536,0.00297441,0.00405074,0.00104894,0.0400699,0.0211387,0.023382,0.00305657,0.00952992,0,0,0.0148704,0,0.0124839,0.00594121,0.038206,0.019717,0.0206851,0.0215796,0.00447923,0.0150247,0.017183,0.00742186,0.0113296,0.00902755,0.0175395,0.0117826,0.014181,0.0421161,0.0054729,0.00681496,0.00650676,0.00745271,0.00772287,0,0,0,0,0,0.009216
58,0,0,0,0,0,0.00652367,0.00684937,0,0.0173103,0.0217625,0.00717863,0.00505692,0,0,0.00154256,0,0.0153244,0.00115434,0.037232,0.00944931,0.0202529,0.0073934,0.00422737,0.00613604,0.00600869,0.00951206,0.00617065,0.0250412,0.00692526,0.0125185,0.00622665,0.00767129,0.0157786,0.00281939,0.00405347,0.00107977,0.0390148,0.0211668,0.0223318,0.00295672,0.0097054,0,0,0.0149728,0,0.0124473,0.00581651,0.0382286,0.0194214,0.0216235,0.0230062,0.00372713,0.0152501,0.0170795,0.0080788,0.0125265,0.0102152,0.0181721,0.0113689,0.0150389,0.0415472,0.00592616,0.00692605,0.00643765,0.00680131,0.00812119,0,0,0,0,0,0.00973842
59,0,0,0,0,0,0.00685403,0.00710632,0,0.0177545,0.0217992,0.00849713,0.00501148,0,0,0.00210106,0,0.0153196,0.0011508,0.0371249,0.00902301,0.0201654,0.00633672,0.00411814,0.00660157,0.00539711,0.00823594,0.00568257,0.0256064,0.00706256,0.0126713,0.00658717,0.00750157,0.0162381,0.00265642,0.00403868,0.00106507,0.0375266,0.0211249,0.0213347,0.00277283,0.0100187,0,0,0.0151732,0,0.012408,0.00585609,0.0383472,0.019359,0.022558,0.0241978,0.00316394,0.0153687,0.0172418,0.00849516,0.0133135,0.0112277,0.018718,0.0109945,0.0161171,0.0400612,0.00629334,0.00702297,0.00641889,0.00635493,0.00871951,0,0,0,0,0,0.010216
60,0,0,0,0,0,0.00694009,0.00726643,0,0.0181528,0.0218289,0.00931692,0.00506317,0,0,0.00300611,0,0.015347,0.00143136,0.0369969,0.00833676,0.020081,0.0053388,0.00440097,0.00646371,0.00505436,0.00729063,0.00526429,0.025936,0.00694329,0.0123502,0.00667866,0.00738915,0.0166951,0.00239148,0.00406671,0.00113792,0.0358462,0.0210639,0.020394,0.00254299,0.0102637,0,0,0.0155215,0,0.0124149,0.00593751,0.0384692,0.0197046,0.0233798,0.0249971,0.0031691,0.0155158,0.0177976,0.00871071,0.014201,0.0122401,0.0190338,0.010823,0.0171238,0.0375507,0.00655192,0.00715274,0.00641447,0.0064319,0.00929259,0,0,0,0,0,0.0107875
61,0,0,0,0,0,0.00618293,0.00683224,0,0.0173865,0.0217945,0.00948679,0.00495043,0,0,0.00241836,0,0.0154248,0.00121921,0.0368759,0.00759128,0.0198888,0.00407918,0.0040135,0.0067344,0.00473601,0.00619915,0.0047832,0.0259431,0.00654699,0.01123,0.00656942,0.00746499,0.0164149,0.00257204,0.00396202,0.00123938,0.0330083,0.0213574,0.0186191,0.00256001,0.0103644,0,0,0.0114205,0,0.0126203,0.00477948,0.0384143,0.0193594,0.024027,0.0252851,0.00264214,0.0153761,0.01847,0.00898369,0.0152636,0.0131858,0.0189227,0.0108193,0.0178566,0.0343267,0.00702375,0.00577765,0.0054083,0.0061407,0.0100744,0,0,0,0,0,0.011182
62,0,0,0,0,0,0.00612644,0.00709339,0,0.0168846,0.0218128,0.00963882,0.00494617,0,0,0.00284433,0,0.0154898,0.0013097,0.0366784,0.0067191,0.0197429,0.00311568,0.00424963,0.00668449,0.00439502,0.00517483,0.00434277,0.0259317,0.00618267,0.0100665,0.00652247,0.00759262,0.0160307,0.00255432,0.00394494,0.00135539,0.0295947,0.0213187,0.0167727,0.00238938,0.0108255,0,0,0.0113913,0,0.012604,0.00493121,0.0383808,0.0186629,0.0247651,0.0251246,0.00284732,0.0156771,0.0190008,0.00915154,0.0156172,0.0139187,0.0189835,0.0106195,0.0183973,0.0304495,0.00711144,0.00581176,0.00545462,0.00674056,0.0108365,0,0,0,0,0,0.0115037
63,0,0,0,0,0,0.00609077,0.00731459,0,0.016618,0.0218216,0.0100205,0.0048819,0,0,0.00306876,0,0.0155815,0.00135853,0.0364708,0.00610756,0.0196924,0.00275009,0.00447255,0.00670316,0.00414188,0.00430227,0.00417047,0.0260453,0.00604244,0.00925297,0.00660132,0.00770649,0.0158565,0.0026024,0.00393136,0.0014802,0.026133,0.02127,0.0147988,0.00211465,0.0113048,0,0,0.011484,0,0.012591,0.0051428,0.0383726,0.0173074,0.025624,0.0250474,0.00331037,0.0158986,0.0193031,0.0091836,0.0156325,0.0143867,0.0188984,0.0105909,0.0189662,0.026746,0.00714184,0.0058246,0.00556063,0.00744662,0.0115264,0,0,0,0,0,0.0118134
64,0,0,0,0,0,0.00607187,0.00751388,0,0.0167235,0.0217992,0.0106661,0.00451642,0,0,0.00311382,0,0.0156624,0.00133515,0.0364715,0.00610916,0.0196479,0.00295537,0.00441302,0.00668204,0.00378326,0.00333063,0.004263,0.0262475,0.00611004,0.00887272,0.00674715,0.00780407,0.0159783,0.00270876,0.00392894,0.00149548,0.018899,0.0211509,0.00961378,0.00157217,0.0117981,0,0,0.0117863,0,0.0126094,0.00541475,0.0385755,0.0121157,0.0265768,0.0245759,0.00425308,0.0159978,0.0185128,0.0093165,0.0161426,0.0160162,0.018523,0.0119513,0.0214288,0.0193689,0.00717146,0.00579796,0.00571429,0.00822966,0.0122276,0,0,0,0,0,0.0125477
65,0,0,0,0,0,0.00630055,0.00778007,0,0.0176515,0.0218416,0.0115098,0.00445839,0,0,0.00288611,0,0.0156443,0.00130291,0.0363782,0.00634264,0.0196877,0.00336283,0.0045414,0.00696736,0.00346871,0.00298137,0.00437934,0.026644,0.00637741,0.00913487,0.00701336,0.00768891,0.0170906,0.0027402,0.00391406,0.0014649,0.0173599,0.0211369,0.00881764,0.00128443,0.0121794,0,0,0.01227,0,0.0125717,0.0055734,0.0386615,0.012064,0.0271081,0.0247842,0.00482354,0.0161172,0.0191171,0.00929342,0.015986,0.0157367,0.0181237,0.0122056,0.0214032,0.0179181,0.00712948,0.00577539,0.00568221,0.00915841,0.0127018,0,0,0,0,0,0.0129242
66,0,0,0,0,0,0.00652492,0.00800233,0,0.0186661,0.0218457,0.0123569,0.00457848,0,0,0.00232485,0,0.0156384,0.00116547,0.0361873,0.00692245,0.0197531,0.00379549,0.00464295,0.00745803,0.00309243,0.00249786,0.00457272,0.0271316,0.00661156,0.0094188,0.00718415,0.00750993,0.0183352,0.00278602,0.00389817,0.00141614,0.0163162,0.0210944,0.00777037,0.00126012,0.0124687,0,0,0.0130732,0,0.0125425,0.00579245,0.0387658,0.0119732,0.0276189,0.0247863,0.00527136,0.0162175,0.0200367,0.00886397,0.0154826,0.0152948,0.0178066,0.0122875,0.0206901,0.0173808,0.0070071,0.00584101,0.00574649,0.0100524,0.0130749,0,0,0,0,0,0.0132297
67,0,0,0,0,0,0.00678709,0.00816589,0,0.0198042,0.0218377,0.0130474,0.00481178,0,0,0.001793,0,0.0156233,0.00102484,0.0358963,0.00740447,0.0199117,0.00423802,0.00469333,0.00810417,0.0027816,0.00232892,0.00493945,0.0275993,0.00681169,0.00965615,0.00729237,0.00731137,0.0198494,0.00289086,0.00388595,0.00126266,0.0149291,0.0210438,0.00663242,0.00155976,0.0126621,0,0,0.0139509,0,0.0125202,0.00607155,0.0388734,0.0118458,0.0281009,0.0245786,0.00580983,0.0162054,0.0210443,0.00929717,0.0147676,0.0151537,0.0176847,0.0127531,0.0194856,0.0167005,0.00682255,0.00598094,0.00591689,0.0106297,0.013416,0,0,0,0,0,0.0133622
68,0,0,0,0,0,0.00714272,0.00835366,0,0.0209703,0.0218303,0.0136692,0.00504341,0,0,0.00157088,0,0.0155762,0.000979656,0.0355903,0.00771012,0.0201179,0.00467369,0.00471485,0.0088042,0.00261537,0.00239264,0.00533826,0.0279437,0.0069205,0.00970926,0.00733596,0.00715742,0.0213993,0.0028897,0.00392477,0.0010777,0.0127415,0.0210282,0.00705055,0.00193316,0.0127624,0,0,0.0150088,0,0.0125097,0.00638697,0.0391251,0.013201,0.0284071,0.0244418,0.00640111,0.0161563,0.0218929,0,0.0143835,0.0156868,0.0176284,0.0138705,0.0196807,0.015544,0.00662373,0.00612931,0.00612084,0.0108349,0.0137169,0,0,0,0,0,0.0136295
69,0,0,0,0,0,0.00774645,0.00862778,0,0.0221228,0.0217662,0.014217,0.00539896,0,0,0.00184797,0,0.0155539,0.00118259,0.0352797,0.00792173,0.0202133,0.0051791,0.00476702,0.00968888,0.00251813,0.00256213,0.00569818,0.0281773,0.00703958,0.00967435,0.0073996,0.00705016,0.0229579,0.00273391,0.00399771,0.00106664,0.0120443,0.0210011,0.00806277,0.00252689,0.0129149,0,0,0.0162099,0,0.0124453,0.00669414,0.0395641,0.014468,0.0287369,0.0243906,0.00702345,0.0161511,0.0226142,0.0109793,0.014792,0.0158583,0.0169329,0.0146729,0.0204191,0.0147185,0.00645109,0.00627554,0.00628643,0.0107169,0.0140697,0,0,0,0,0,0.013681
70,0,0,0,0,0,0.00758209,0.00851121,0,0.0233525,0.0216514,0.0147869,0.00579124,0,0,0.00040114,0,0.0155352,0.000619117,0.0350012,0.00802615,0.0203457,0.00572042,0.00480125,0.010821,0.00266682,0.00278478,0.00607257,0.028385,0.00720524,0.00965691,0.00747901,0.00697053,0.0246475,0.0032595,0.0039893,0.00104639,0.0124188,0.0210705,0.00898713,0.00335679,0.0129076,0,0,0.0158509,0,0.0124545,0.00644714,0.0401287,0.0156489,0.0287811,0.0245081,0.00730251,0.0161676,0.0237177,0.0111827,0.0165061,0.0159579,0.016107,0.0153082,0.0208765,0.0149099,0.00642227,0.00589102,0.00604019,0.0102554,0.014133,0,0,0,0,0,0.0136931
71,0,0,0,0,0,0.00745853,0.0084772,0,0.0245938,0.0215731,0.0153815,0.00632894,0,0,0.00107401,0,0.0155059,0.000379673,0.0347023,0.008192,0.0205774,0.00631217,0.00504623,0.0118829,0.00287027,0.00313077,0.00644772,0.0286759,0.00742337,0.00974705,0.00760673,0.00691244,0.0263466,0.00379285,0.00406162,0.00112286,0.013617,0.021151,0.0106936,0.00436012,0.0129056,0,0,0.0156946,0,0.0124726,0.00627307,0.0407006,0.0177245,0.0287181,0.0251803,0.00718796,0.0161916,0.0255571,0.0116796,0.01705,0.0162076,0.0160015,0.0158052,0.0207422,0.0162754,0.00638994,0.00567382,0.00588881,0.00977331,0.0141354,0,0,0,0,0,0.0135886
72,0,0,0,0,0,0.00717133,0.00838925,0,0.025754,0.0214591,0.0160103,0.00693659,0,0,0.0022273,0,0.0155971,0.000658198,0.0343992,0.00859174,0.0209027,0.00696984,0.00553713,0.0127696,0.00310747,0.00359497,0.0067968,0.0290558,0.00763699,0.00990343,0.00770923,0.00686366,0.0278502,0.00437103,0.0041429,0.00127099,0.0156572,0.0212274,0.0137602,0.00527762,0.0128775,0,0,0.0155343,0,0.0125312,0.006113,0.0412108,0.0208564,0.0285779,0.0262862,0.00676249,0.0162089,0.0277805,0.0121246,0.0168497,0.0166795,0.0166281,0.0163288,0.0205741,0.0181908,0.0063688,0.00549068,0.00576832,0.00943307,0.0140252,0,0,0,0,0,0.0135384
73,0,0,0,0,0,0.00686426,0.00833338,0,0.0269622,0.0212953,0.0165874,0.00703034,0,0,0.00334361,0,0.0157307,0.00111672,0.0344834,0.00907357,0.0210315,0.00729088,0.00582049,0.0134791,0.00353978,0.0040745,0.00714722,0.0292801,0.00760085,0.00987439,0.00763421,0.00678429,0.0292963,0.00506196,0.00415487,0.00139981,0.0164368,0.0212554,0.0149464,0.00528192,0.0127505,0,0,0.0154341,0,0.012628,0.00597917,0.0417608,0.0224402,0.0276865,0.0278483,0.00636209,0.0161438,0.0292346,0,0,0.0172909,0.015698,0.0168801,0.0215643,0.0182726,0.00636033,0.00530874,0.00567239,0.00929699,0.0136796,0,0,0,0,0,0.0141207
74,0,0,0,0,0,0.00656808,0.00821607,0,0.0280824,0.021142,0.0172465,0.0075306,0,0,0.00412522,0,0.0157977,0.00140509,0.0347786,0.00967748,0.021402,0.00774915,0.00629092,0.0139464,0.00395503,0.00446938,0.00745545,0.0296025,0.00779087,0.0100379,0.00774537,0.00673973,0.030707,0.0054302,0.00421522,0.0014623,0.0170558,0.0212573,0.0157327,0.00583968,0.0128252,0,0,0.0149186,0,0.0127097,0.00583723,0.0422789,0.0227665,0.0278279,0.0278725,0.00625519,0.0160773,0.0299984,0.0135398,0,0.0172686,0.0154291,0.0168127,0.0220649,0.0182149,0.00629987,0.00514824,0.00551936,0.00918729,0.0136771,0,0,0,0,0,0.0139683
75,0,0,0,0,0,0.00639277,0.00817456,0,0.0291462,0.0210907,0.017924,0.00816222,0,0,0.00491879,0,0.0158139,0.00168846,0.0346947,0.0103986,0.0217755,0.0083016,0.00701422,0.0144146,0.00417558,0.0048799,0.00776586,0.0300051,0.00806374,0.010245,0.00789999,0.00669317,0.0320843,0.00581483,0.00433926,0.00141027,0.0174198,0.0212863,0.0167238,0.00681953,0.012882,0,0,0.0144101,0,0.0127384,0.0056241,0.0426528,0.0234158,0.0281023,0.0274055,0.00570754,0.016104,0.0305749,0.0139421,0.0178336,0.0166498,0.0161325,0.0164504,0.0226263,0.0178588,0.00629156,0.00497487,0.00533583,0.00915824,0.013565,0,0,0,0,0,0.0136182
76,0,0,0,0,0,0.00588267,0.00825428,0,0.0297305,0.020984,0.0184265,0.00854795,0,0,0.00546444,0,0.0158671,0.00188809,0.0344956,0.0113441,0.0220372,0.00883599,0.00777246,0.0139944,0.00442479,0.00536573,0.00804417,0.0302018,0.00818311,0.0101964,0.00786314,0.00666688,0.0328532,0.00584084,0.00448549,0.00141546,0.0169769,0.0212152,0.0171798,0.00706685,0.0130051,0,0,0.0147883,0,0.0126025,0.00581367,0.0428842,0.0241536,0.0279964,0.0267929,0.00516096,0.0167807,0.0308581,0.0146678,0.0176031,0.0161631,0.017565,0.0159421,0.022744,0.016594,0.00636631,0.00510729,0.00541316,0.00952196,0.0131211,0,0,0,0,0,0.0134974
77,0,0,0,0,0,0.00614492,0.00843439,0,0.0305798,0.0207698,0.0187418,0.00823831,0,0,0.00571878,0,0.0160049,0.00202149,0.034443,0.0117385,0.0219576,0.00888305,0.0077509,0.014437,0.00481951,0.00564026,0.00826772,0.0300716,0.00794362,0.00996256,0.00763267,0.00658536,0.0339608,0.00601338,0.00442128,0.00158585,0.0167929,0.0211478,0.017792,0.00625622,0.0127472,0,0,0.0152624,0,0.0126274,0.00596205,0.0431469,0.0255696,0.0269818,0.0274251,0.00506802,0.0167195,0.0308496,0,0,0.0168364,0.0192358,0.0159597,0.0233242,0.0159719,0.00628243,0.00518494,0.00544489,0.00948535,0.0127344,0,0,0,0,0,0.0138963
78,0,0,0,0,0,0.00644154,0.00855107,0,0.0309568,0.0205863,0.0191712,0.00856681,0,0,0.00560259,0,0.0161402,0.00200077,0.0343998,0.0124798,0.0221572,0.00938817,0.00801887,0.0146185,0.00505181,0.00609871,0.00857358,0.0302021,0.00813088,0.00997249,0.00770824,0.00665472,0.0345503,0.00579413,0.00442173,0.00174718,0.0149315,0.0209903,0.0165204,0.00633559,0.0127348,0,0,0.0156219,0,0.0126069,0.00622762,0.0431235,0.0238409,0.0275261,0.0260726,0.0051696,0.0167012,0.0300891,0.016085,0.0149864,0.0163776,0.0202332,0.0152629,0.0226359,0.0136411,0.0061402,0.00543009,0.00559969,0.00949237,0.0128833,0,0,0,0,0,0.0132543
79,0,0,0,0,0,0.00673874,0.00873799,0,0.0321874,0.0205913,0.0197075,0.00712551,0,0,0.00652715,0,0.0161019,0.00234344,0.0354315,0.0132442,0.0210918,0.00891458,0.00677964,0.0151326,0.00589807,0.00669744,0.00905059,0.0299669,0.00743919,0.00951121,0.00727198,0.00667604,0.0360927,0.00650457,0.00440733,0.00177734,0.0175948,0.0210091,0.0161792,0.00542824,0.0120221,0,0,0.0147459,0,0.0126848,0.00594569,0.0433886,0.0180825,0.0247038,0.0219885,0.00459265,0.0164475,0.0274954,0.0164693,0.0185027,0.018377,0,0.0175302,0.0276501,0.0146407,0.00624316,0.00524037,0.00534917,0.00956072,0.0118777,0,0,0,0,0,0.0157782
