Timestep,,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,IMU_M,IMU_B,RTHI
20,0,0,0,0,0,0.00620482,0.00591024,0,0.0408081,0.0207366,0.0269909,0.0117812,0,0,0.00103445,0,0.0156631,0.000443785,0.040206,0.0302635,0.0145455,0.0239252,0.00926997,0.00329591,0.0255384,0.0292546,0.024236,0.0198704,0.0100258,0.00736679,0.00661491,0.014858,0.0441066,0.00320745,0.00395263,0.00080597,0.0514455,0.0200692,0.0158025,0.0118498,0.0115687,0,0,0.0097495,0,0.012412,0.00488752,0.0420766,0.0462317,0.0269277,0.0275916,0.0169044,0.0132089,0.0557503,0.00922953,0.0265305,0.0333328,0.014974,0.0174242,0.0372883,0.0775731,0.00629961,0.00813906,0.0065836,0.00855025,0.012935,0,0,0,0,0,0
21,0,0,0,0,0,0.0122496,0.00971828,0,0.0339817,0.020847,0.0235564,0.0121235,0,0,0.0117722,0,0.0162821,0.0070671,0.0409137,0.0280545,0.015368,0.0227606,0.00831594,0.00158286,0.02529,0.0288617,0.0227567,0.0193317,0.0102653,0.00759207,0.00670708,0.0145305,0.0355169,0.00637053,0.00515734,0.00161607,0.0520144,0.0199179,0.0165883,0.0113748,0.0136687,0,0,0.0134288,0,0.0111102,0.00734729,0.0428224,0.0480896,0.0261483,0.025121,0.0162387,0.0161445,0.0558636,0.00821,0.0261331,0.0334846,0.0145136,0.0171611,0.0388981,0.0790547,0.00640554,0.0096526,0.00820535,0.00784881,0.0145812,0,0,0,0,0,0
22,0,0,0,0,0,0.0138134,0.0109662,0,0.0265656,0.0207545,0.0199099,0.0119183,0,0,0.0146241,0,0.0166218,0.00887627,0.0418732,0.0256476,0.0158084,0.0211243,0.00748378,0.00229161,0.0242855,0.0276632,0.0206256,0.0185227,0.0100824,0.00754961,0.00659662,0.0140442,0.0268167,0.00861296,0.00558044,0.0019876,0.0516083,0.0199862,0.0181578,0.0110282,0.0142218,0,0,0.0118175,0,0.0107206,0.00793216,0.0432862,0.0502581,0.0257961,0.0235765,0.0153458,0.0172009,0.0562707,0.00735516,0.0258843,0.033516,0.0138849,0.0164364,0.0402038,0.0794282,0.00721264,0.0095917,0.00835958,0.0076059,0.0149471,0,0,0,0,0,0
23,0,0,0,0,0,0.0154252,0.0124113,0,0.0190401,0.0207044,0.0163112,0.0112818,0,0,0.0173015,0,0.0171057,0.0105892,0.0430066,0.0236526,0.016105,0.0193872,0.00652018,0.00339927,0.0225935,0.0256218,0.0178137,0.0178011,0.00979425,0.00749161,0.00654444,0.0133993,0.0177592,0.0107108,0.0060339,0.00210987,0.0523313,0.0201617,0.0183171,0.0105725,0.0147924,0,0,0.00983037,0,0.0103,0.00888336,0.0435672,0.0506045,0.0256128,0.0229435,0.0140849,0.0182562,0.0562747,0.00734686,0.0259986,0.0333807,0.0137404,0.0156356,0.0405728,0.0801952,0.00849394,0.00981974,0.00842632,0.00762421,0.0152714,0,0,0,0,0,0
24,0,0,0,0,0,0.00909797,0.00798842,0,0.0105478,0.0203731,0.0111684,0.0105599,0,0,0.00588706,0,0.0162528,0.00388912,0.0430869,0.018951,0.0169534,0.0157599,0.00704597,0.00271646,0.0198115,0.0218512,0.0142633,0.0175506,0.00830672,0.00657471,0.00558617,0.0129762,0.00796429,0.0029535,0.00437052,0.00137694,0.0517893,0.0195558,0.0221311,0.0103501,0.0128943,0,0,0.0109119,0,0.0117252,0.00698458,0.0451178,0.0568922,0.0248944,0.0197698,0.0155689,0.0152424,0.0562696,0.00831656,0.026492,0.0355851,0.0137579,0.0171465,0.0459454,0.0819824,0.00688698,0.00868214,0.00785238,0.00678333,0.013592,0,0,0,0,0,0
25,0,0,0,0,0,0.00963418,0.00840274,0,0.00645294,0.02033,0.0078055,0.0095911,0,0,0.00726566,0,0.0163395,0.00474247,0.0434515,0.0159619,0.0176531,0.0122888,0.00624255,0.00295444,0.0165595,0.0175046,0.0104338,0.01803,0.00704153,0.0059975,0.00521788,0.0125741,0.00387787,0.00366046,0.00447848,0.00147583,0.0521036,0.0194862,0.0225368,0.00986061,0.0133388,0,0,0.0110059,0,0.0117002,0.00727297,0.0457944,0.0577964,0.0245491,0.019097,0.0149679,0.015449,0.0561262,0.00888258,0.0267907,0.0359811,0.0140121,0.0173829,0.046844,0.0826099,0.00702169,0.00874856,0.00800396,0.00648041,0.0137996,0,0,0,0,0,0
26,0,0,0,0,0,0.0102841,0.00884295,0,0.00976606,0.0202864,0.00737155,0.00854793,0,0,0.00879759,0,0.0164436,0.00559214,0.0435951,0.014934,0.0183693,0.0088654,0.00541137,0.00335787,0.0131038,0.0128212,0.00699598,0.019288,0.00562775,0.00524806,0.00510793,0.0124531,0.00975601,0.00456493,0.00458252,0.00157772,0.052631,0.0194058,0.0225462,0.00920197,0.0137259,0,0,0.0110073,0,0.0116654,0.007599,0.0466694,0.0581606,0.0242217,0.0185351,0.0143155,0.0157364,0.0558855,0.00959986,0.0271149,0.0362603,0.0143181,0.0173513,0.0472687,0.0832081,0.00715756,0.00872298,0.00818871,0.00614776,0.0140053,0,0,0,0,0,0
27,0,0,0,0,0,0.0109162,0.00931368,0,0.0145769,0.0203094,0.00946308,0.00751266,0,0,0.0104598,0,0.0165895,0.00657564,0.0436468,0.0162503,0.0190641,0.00594359,0.00439739,0.00376554,0.00994088,0.00834873,0.00489789,0.0211444,0.00418078,0.00409111,0.00508087,0.0126475,0.0150057,0.00569777,0.00475556,0.00168587,0.0541852,0.0192643,0.021736,0.00835128,0.0139912,0,0,0.0110552,0,0.0116875,0.00800896,0.0476341,0.0574668,0.0237625,0.0179944,0.0134837,0.0160376,0.0553815,0.0107616,0.0275769,0.0361753,0.0146719,0.0171119,0.0471243,0.0843296,0.00742496,0.0087828,0.00837472,0.00567905,0.0141395,0,0,0,0,0,0
28,0,0,0,0,0,0.0117528,0.00984498,0,0.0180591,0.020501,0.0116857,0.0058636,0,0,0.0118569,0,0.0167096,0.0073612,0.0440493,0.0187729,0.0194108,0.00419249,0.00291605,0.00375136,0.00794827,0.00439666,0.00558566,0.0225988,0.00278551,0.00245421,0.00488529,0.0134974,0.0184915,0.00659314,0.0049015,0.00164439,0.0650776,0.019356,0.0144053,0.00507975,0.01398,0,0,0.011559,0,0.0115637,0.0082864,0.0485537,0.0482536,0.0212782,0.0164888,0.0127098,0.0162007,0.054392,0.0152456,0.0274658,0.0306712,0,0.012567,0.0407827,0.0940154,0.0073173,0.00882693,0.00854022,0.00542835,0.0137188,0,0,0,0,0,0
29,0,0,0,0,0,0.0122795,0.0103936,0,0.0207585,0.0203726,0.013696,0.005022,0,0,0.0138838,0,0.016902,0.00851286,0.0442863,0.0213362,0.0198317,0.00454929,0.00229763,0.00424157,0.00708622,0.00162394,0.00691805,0.0246764,0.00246712,0.00176162,0.00492779,0.0142415,0.0210776,0.00818565,0.00516512,0.00168618,0.0638327,0.0194124,0.0153534,0.00471152,0.014027,0,0,0.0114339,0,0.0114607,0.00875635,0.0488657,0.0497323,0.0211189,0.0159077,0.0118568,0.0167411,0.0547589,0.0150106,0.0274458,0.030648,0,0.0122511,0.0414934,0.0932394,0.0076529,0.00886043,0.00866238,0.00519049,0.0138846,0,0,0,0,0,0
