Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,IMU_B
All Timesteps RMSE,0,0,0,0,0.012909,0.0127009,0,0,0.0360345,0.0205092,0.0167077,0.0090953,0,0,0.0104032,0,0.0156857,0.00693339,0.0365909,0.0170973,0.0263737,0.0173999,0.0161403,0.013839,0.0115983,0.0194999,0.0141943,0.0356106,0.0129224,0.0193133,0.00908945,0.00881633,0.0440477,0.00622122,0.00394794,0.00391412,0.0242943,0.0174604,0.0309725,0.0119026,0.00702036,0,0,0.0294571,0,0.0105198,0.0193271,0.0402635,0.0421281,0.0354914,0.0221639,0.0197797,0.0193247,0.018086,0.027162,0.0204653,0.0204005,0.0235009,0.0323787,0.0213716,0.0317866,0.0235682,0.0192724,0.0136807,0.0109212,0.0189929,0.00831772,0,0,0,0
0,0,0,0,0,0.0100009,0.0102035,0,0,0.0157255,0.0215535,0.00651817,0.00458051,0,0,0.0124025,0,0.0146787,0.00866693,0.03888,0.0108771,0.0246559,0.0132894,0.0155405,0.00816264,0.0100261,0.0136679,0.0104256,0.0329862,0.00950643,0.013289,0.00560272,0.00855515,0.0199717,0.00745975,0.00331359,0.00466819,0.0254444,0.017991,0.0329979,0.0154104,0.00512053,0,0,0.0268971,0,0.0104428,0.0180681,0.0431262,0.0332244,0.0332037,0.0180368,0.010789,0.0176004,0.0190138,0.0256754,0.0174323,0.0217199,0.0144634,0.0262408,0.0204007,0.0286793,0.0203051,0.0188148,0.0118959,0.0103906,0.016345,0.00556548,0,0,0,0
1,0,0,0,0,0.0111333,0.0114608,0,0,0.0120962,0.0216148,0.0051203,0.00476223,0,0,0.0119771,0,0.0147277,0.00846683,0.03946,0.0116741,0.0249475,0.0163513,0.0143555,0.00932324,0.0140252,0.0180946,0.0137452,0.0358491,0.0100443,0.0135964,0.00489786,0.00856419,0.0150102,0.00662042,0.00336891,0.00463551,0.031371,0.0177963,0.0223253,0.0165958,0.00514637,0,0,0.0269938,0,0.0105197,0.0183174,0.0415674,0.030077,0.0340202,0.0219361,0.00941681,0.0177685,0.0187427,0.0308323,0.0185901,0.0202438,0.0176492,0.023093,0.0135437,0.0216461,0.0404595,0.0192155,0.0120679,0.010591,0.0174375,0.00616589,0,0,0,0
2,0,0,0,0,0.0113759,0.0118428,0,0,0.00989831,0.0214824,0.00488991,0.00503016,0,0,0.0119132,0,0.0147973,0.00840028,0.0398068,0.0113534,0.0257422,0.0178156,0.0151512,0.00986018,0.0170986,0.0210155,0.0157191,0.0379674,0.0103317,0.0129477,0.00481223,0.00838018,0.0119979,0.00655509,0.00345833,0.0045753,0.0363047,0.0176558,0.0247166,0.0169139,0.00531919,0,0,0.0270853,0,0.0106056,0.0184665,0.0418033,0.0323711,0.0342347,0.0221761,0.0100663,0.0180449,0.0190298,0.0310541,0.0187122,0.0205982,0.0178672,0.0234373,0.0140596,0.0224395,0.0473513,0.01944,0.0121315,0.0106547,0.0178074,0.00617025,0,0,0,0
3,0,0,0,0,0.012203,0.0132709,0,0,0.00669894,0.0212411,0.00380519,0.00421878,0,0,0.0127384,0,0.0148825,0.00881248,0.0405694,0.0118583,0.0263164,0.0220462,0.0218476,0.0105195,0.0198028,0.0250545,0.0162577,0.0379994,0.0124385,0.014674,0.00566414,0.0100413,0.0111188,0.00708571,0.00339969,0.00462269,0.0376984,0.0173776,0.0354521,0.0149502,0.0058554,0,0,0.0260312,0,0.0105961,0.0192688,0.0425858,0.0386916,0.0329108,0.0155064,0.0157928,0.0190212,0.0126198,0.0174675,0.0158817,0.0126771,0.0276025,0,0.0297233,0.0373757,0.0364195,0.0208381,0.0129372,0.0109758,0.0191936,0.0053207,0,0,0,0
4,0,0,0,0,0.0131253,0.0147283,0,0,0.00445241,0.0208328,0.00801998,0.0051924,0,0,0.0145478,0,0.0151251,0.00967017,0.03968,0.0148839,0.0263633,0.024373,0.0208239,0.0123921,0.0209345,0.0260709,0.017553,0.0395521,0.0140767,0.0133511,0.00493487,0.00966636,0.00711779,0.00825172,0.00342115,0.00495424,0.0177119,0.0171179,0.0187424,0.0165397,0.00665097,0,0,0.0253736,0,0.0107424,0.0199546,0.0424898,0.0232983,0.0350788,0.0145382,0.0152176,0.0205013,0.0164713,0.0262371,0.0160195,0.0163479,0.0109966,0.0264388,0.012383,0.0195754,0.0185788,0.0222645,0.0134337,0.0112041,0.0208952,0.00482108,0,0,0,0
5,0,0,0,0,0.0130692,0.0147165,0,0,0.00481875,0.0209363,0.0102712,0.00654325,0,0,0.0143149,0,0.015136,0.00945756,0.0394087,0.0187067,0.0266724,0.025359,0.0210554,0.0124546,0.0207973,0.0261123,0.0177792,0.0397891,0.0152666,0.0133511,0.00450209,0.00937443,0.00740621,0.00797019,0.00340627,0.00492376,0.0159591,0.0171395,0.0170527,0.0166412,0.00663439,0,0,0.0254815,0,0.0107442,0.0199565,0.0425531,0.0215415,0.0346328,0.0144406,0.0151425,0.0205827,0.0164518,0.0268371,0.0161081,0.0164386,0.00968065,0.0265014,0.0107815,0.018131,0.0177113,0.0223544,0.0134894,0.0112499,0.0208448,0.00472402,0,0,0,0
6,0,0,0,0,0.0130319,0.0146262,0,0,0.00542575,0.0208902,0.00998317,0.00697471,0,0,0.0140326,0,0.0151833,0.00927201,0.0391058,0.0203439,0.0267685,0.0247086,0.0210926,0.0124512,0.0199689,0.0245193,0.0170006,0.0395481,0.015152,0.0137221,0.00451505,0.00921892,0.0093057,0.00777403,0.00344339,0.00490165,0.0149984,0.0171649,0.0161181,0.0169419,0.00657768,0,0,0.0254315,0,0.0107358,0.0199383,0.0425855,0.0209021,0.034339,0.0140864,0.0150508,0.0206774,0.0164929,0.0271649,0.0157061,0.016427,0.00915439,0.0263431,0.0102755,0.0174893,0.0173087,0.0224106,0.0136168,0.011307,0.0208287,0.0046243,0,0,0,0
7,0,0,0,0,0.0131906,0.0149744,0,0,0.00764058,0.0206015,0.00636483,0.00740163,0,0,0.014314,0,0.0152178,0.00938467,0.0384252,0.0169683,0.0273125,0.0228315,0.0230463,0.0129222,0.0181879,0.0214904,0.0149558,0.0382403,0.0143479,0.0147106,0.00539666,0.00915183,0.0119565,0.00792353,0.00344544,0.00496002,0.0213268,0.0171324,0.0320939,0.0175628,0.00660025,0,0,0.025256,0,0.0107445,0.0200454,0.0442092,0.0335116,0.0343187,0.017018,0.0169495,0.0211136,0.0184745,0.0252059,0.0158345,0.0219598,0.0174606,0.0252735,0.0214223,0.0298128,0.015642,0.0225426,0.0138647,0.01134,0.0211988,0.00462171,0,0,0,0
8,0,0,0,0,0.0129111,0.0147537,0,0,0.00945844,0.0208741,0.0040243,0.00646356,0,0,0.0135902,0,0.0150957,0.00902384,0.0390398,0.0138734,0.0264639,0.020802,0.0206219,0.0123231,0.017471,0.0191801,0.0136926,0.0375007,0.0130687,0.0147754,0.00581184,0.00923799,0.0132776,0.00736957,0.00328969,0.00480818,0.0144341,0.0172033,0.0156624,0.0177048,0.00625978,0,0,0.0252017,0,0.0106681,0.0200903,0.0424105,0.0212315,0.0340364,0.0134561,0.0144582,0.0208329,0.0168277,0.0272364,0.0158062,0.0166158,0.00910279,0.0255135,0.0105797,0.0169961,0.0172388,0.0223313,0.0140838,0.0112549,0.020736,0.0045368,0,0,0,0
9,0,0,0,0,0.0128015,0.0147778,0,0,0.0125481,0.0210407,0.00338569,0.00614663,0,0,0.0136146,0,0.0150299,0.0090249,0.0391117,0.0113517,0.0262499,0.0189715,0.0202574,0.0122111,0.0160143,0.0174313,0.0121197,0.0358828,0.011996,0.0150861,0.00652414,0.0093628,0.0164487,0.00734329,0.0031802,0.00473498,0.0140581,0.0171937,0.0153852,0.0180356,0.00608582,0,0,0.0252215,0,0.0106525,0.0201585,0.0422986,0.0214259,0.0338789,0.0135225,0.0139066,0.0207915,0.0172163,0.0273001,0.0162158,0.0169921,0.00897487,0.0251908,0.0107007,0.0164585,0.0173305,0.0221928,0.0142852,0.0112887,0.0206946,0.00457364,0,0,0,0
10,0,0,0,0,0.0127433,0.0147668,0,0,0.0154899,0.0210666,0.00483763,0.00576334,0,0,0.0138889,0,0.0150249,0.00897179,0.0391443,0.0107214,0.0260824,0.0177868,0.0201499,0.0121169,0.0145588,0.016525,0.0110508,0.0341727,0.011362,0.0152761,0.00697772,0.00934973,0.0194881,0.00740526,0.00319434,0.00465847,0.0141214,0.0171241,0.0155114,0.0182663,0.00602684,0,0,0.0252688,0,0.0106744,0.0203029,0.0422233,0.0216834,0.0337315,0.0135001,0.0135208,0.020915,0.0176124,0.0274051,0.0164417,0.0173348,0.00879573,0.0245969,0.0110736,0.0161666,0.0178471,0.0221525,0.0144501,0.0114411,0.0207236,0.00460062,0,0,0,0
11,0,0,0,0,0.012763,0.0148092,0,0,0.0168149,0.0208979,0.00620657,0.00517703,0,0,0.0142329,0,0.0152407,0.00880493,0.0388628,0.0107816,0.0260415,0.0172275,0.0203348,0.0120933,0.0129816,0.0158461,0.0103555,0.0326987,0.0114333,0.0157818,0.00698646,0.00913379,0.0208271,0.00757893,0.00332483,0.00447412,0.0143099,0.0169838,0.0157537,0.0183543,0.00603901,0,0,0.0253109,0,0.0107109,0.0205324,0.042122,0.0216957,0.0336403,0.0134509,0.0133619,0.0212598,0.0179568,0.0275459,0.0166809,0.0177031,0.00846679,0.0239898,0.0114454,0.0158816,0.0186678,0.0223332,0.0144862,0.0115845,0.0208225,0.00459655,0,0,0,0
