Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIBA,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,RTHI,RTIB,RTIBI,IMU_B,
172,0,0,0,0,0.00342584,0.00198482,0,0,0.0320213,0.0222052,0.0161674,0.00446531,0,0,0.00618136,0,0.0151579,0.00314093,0.0368211,0.0123782,0.020543,0.00590766,0.00288563,0.00318186,0.00612311,0.00592515,0.0069532,0.0320174,0.00472794,0.00862528,0.00489687,0.00567805,0.0378664,0.00425347,0.00457723,0.000163663,0.0271244,0.0224356,0.0132564,0.0044188,0.00437142,0,0,0.00497023,0,0.0154518,0.00224453,0.0411409,0.0160885,0.0261104,0.0271217,0.00920278,0.00325596,0.0236558,0.00354936,0.00474716,0.0244508,0.0223095,0.0316068,0.00539528,0.00141227,0.00152961,0.0028469,0.00361211,0,0,0,0.00480167,0.0155047,0,0,0
173,0,0,0,0,0.00332848,0.00161616,0,0,0.0324389,0.02217,0.0167213,0.00485529,0,0,0.00628381,0,0.0152562,0.00305201,0.0368984,0.0134195,0.0206822,0.00643254,0.00306415,0.00355592,0.00632806,0.00622147,0.00728325,0.0323005,0.0049327,0.00863465,0.00502863,0.00576795,0.0383365,0.00425848,0.00458027,0.000293778,0.0269874,0.022311,0.0107652,0.0045503,0.00453285,0,0,0.00501125,0,0.0153672,0.00201984,0.0416127,0.0135322,0.0269118,0.0246158,0.00964231,0.00329013,0.0239005,0.00285252,0.00545713,0.0263795,0.0228437,0.0319839,0.00525053,0.00140103,0.00148095,0.00283418,0.00395394,0,0,0,0.0057774,0.0149589,0,0,0
174,0,0,0,0,0.00320331,0.00121668,0,0,0.0328058,0.0220876,0.0172041,0.00509547,0,0,0.00642476,0,0.0151747,0.00298407,0.036891,0.0145736,0.0207442,0.00698179,0.0032729,0.00398638,0.00656208,0.00663143,0.00759873,0.0325058,0.00516996,0.00867675,0.00518116,0.00582419,0.0387464,0.00425243,0.00460668,0.000438187,0.0266765,0.0222247,0.00771372,0.00462186,0.00470624,0,0,0.00509066,0,0.0152825,0.00178381,0.042046,0.0104075,0.0277879,0.0212385,0.0100718,0.00331456,0.0241812,0.00248586,0.00627186,0.0288071,0.0142561,0.0317372,0.00514373,0.00122827,0.00145077,0.00299967,0.00427229,0,0,0,0.00679257,0.0136965,0,0,0
175,0,0,0,0,0.00319599,0.00156753,0,0,0.0329446,0.0220435,0.0175406,0.00536224,0,0,0.00660602,0,0.0150907,0.00299953,0.0369066,0.0157476,0.0208039,0.00761145,0.00358201,0.0045606,0.00690167,0.00707296,0.00809164,0.0326374,0.00551833,0.00864641,0.00528867,0.00590345,0.0389565,0.00440012,0.00463902,0.000559723,0.0260991,0.0224947,0.00630609,0.00481319,0.00357559,0,0,0.00415579,0,0.0157738,0.00230365,0.042249,0.00986292,0.0288766,0.0161211,0.010378,0.00345888,0.0249609,0.00387862,0.00727286,0.0316254,0.0540021,0.0303677,0.00520783,0.00137003,0.00114233,0.00235844,0.00446229,0,0,0,0.00797225,0.0120276,0,0,0
176,0,0,0,0,0.00303618,0.000793366,0,0,0.033473,0.0217688,0.0178785,0.00586442,0,0,0.00684979,0,0.0152621,0.00306351,0.0370264,0.0166959,0.0209608,0.00784783,0.00418138,0.00474371,0.00712609,0.00715184,0.00850763,0.0328105,0.00577667,0.00869382,0.00546906,0.00593059,0.0397277,0.00436817,0.00462908,0.0006243,0.0248406,0.0219542,0.00795043,0.00484598,0.00526901,0,0,0.00654437,0,0.0150211,0.0020534,0.0423681,0.0130365,0.0294556,0.0121152,0.00999045,0.00344677,0.0257073,0.00515061,0.00788632,0.0335117,0.0728164,0.0284452,0.00528989,0.00162079,0.00177795,0.00369575,0.00487623,0,0,0,0.00857945,0.0123669,0,0,0
177,0,0,0,0,0.00312463,0.00069912,0,0,0.0339625,0.0214654,0.0182995,0.00633528,0,0,0.00686067,0,0.0156648,0.00312048,0.0371568,0.0176468,0.0210765,0.00800744,0.00439377,0.00498196,0.00729033,0.00724139,0.00890414,0.0330718,0.00593241,0.00875093,0.00561686,0.00600245,0.0403359,0.00430758,0.00462879,0.000748142,0.023373,0.0218949,0.0102535,0.00484764,0.00513224,0,0,0.00600852,0,0.0150296,0.00171808,0.0423211,0.0167263,0.0298999,0.00843487,0.00997783,0.00318091,0.026092,0.00664728,0.00834411,0.0350722,0.0700428,0.0262012,0.00499814,0.00125487,0.00162744,0.00364302,0.00507318,0,0,0,0.00891229,0.014024,0,0,0
178,0,0,0,0,0.00315757,0.000767572,0,0,0.0345013,0.0213764,0.018755,0.00661579,0,0,0.00681978,0,0.0159572,0.00311814,0.0373447,0.0185627,0.0211614,0.00812169,0.00435596,0.00525743,0.00743718,0.00733503,0.00893565,0.0333711,0.00600052,0.00886011,0.00567266,0.0060996,0.0409378,0.00419895,0.00467056,0.00093365,0.0216226,0.0218632,0.0131607,0.00467366,0.00499452,0,0,0.00541109,0,0.015064,0.00130748,0.0421429,0.0207037,0.0300894,0.00608022,0.0100894,0.0029956,0.0261832,0.00860385,0.00877827,0.0363666,0.0653761,0.0233685,0.00464621,0.000930573,0.00150578,0.00372691,0.00517262,0,0,0,0.00953235,0.0161657,0,0,0
179,0,0,0,0,0.00312922,0.00100043,0,0,0.0350051,0.0214427,0.0189565,0.00656785,0,0,0.00679131,0,0.0160442,0.00303208,0.0376216,0.0192576,0.0210792,0.00815574,0.00416703,0.0055559,0.00764822,0.00745914,0.00914695,0.0334396,0.00596573,0.00884479,0.00559187,0.00612939,0.0414061,0.00410779,0.00468198,0.00107516,0.0193066,0.0218369,0.0157134,0.00409298,0.00460901,0,0,0.00486815,0,0.0150979,0.000921321,0.0418913,0.0243879,0.029907,0.00799424,0.0101095,0.00293544,0.0262206,0.0103006,0.00893329,0.0371414,0.0644721,0.0200445,0.00438993,0.00065042,0.00139926,0.00396062,0.0050998,0,0,0,0.0106529,0.0421372,0,0,0
180,0,0,0,0,0.00311707,0.00134784,0,0,0.0353632,0.0214045,0.018895,0.00634705,0,0,0.00673064,0,0.0160138,0.00292242,0.037984,0.0197823,0.0208461,0.00807772,0.00393584,0.00580141,0.00787304,0.00763875,0.00915887,0.0332755,0.00583705,0.00865158,0.00554174,0.00608555,0.0417221,0.00399316,0.00468566,0.00113298,0.0166833,0.0218192,0.0176074,0.00312236,0.00424427,0,0,0.00430226,0,0.0151545,0.000538956,0.0417312,0.0274051,0.0294986,0.0107348,0.0101019,0.00291729,0.0255318,0.0110184,0.00781109,0.0373643,0.0653102,0.0164702,0.00414901,0.000383448,0.00127403,0.00424964,0.00497465,0,0,0,0.0114191,0.0539224,0,0,0
181,0,0,0,0,0.00316355,0.00181361,0,0,0.035522,0.0212546,0.0188835,0.00609702,0,0,0.00676319,0,0.0160299,0.00287677,0.0384684,0.0201421,0.0205381,0.00791965,0.00354341,0.00602396,0.00813672,0.00782317,0.00896774,0.0330471,0.00565508,0.0084175,0.00537734,0.006022,0.0419812,0.00391685,0.0046611,0.00110749,0.0140688,0.0217488,0.0190306,0.00202706,0.00399066,0,0,0.0038415,0,0.0151561,0.000465862,0.0416932,0.0303103,0.028988,0.0128564,0.0102059,0.00289748,0.024171,0.0111079,0.00595796,0.0372105,0.0658033,0.0122739,0.00377139,0.000383746,0.00122628,0.00468923,0.00485879,0,0,0,0.0100215,0.0522389,0,0,0
