Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIBA,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,RTHI,RTIB,RTIBI,IMU_B,
192,0,0,0,0,0.00365757,0.00394809,0,0,0.032064,0.021139,0.0135135,0.00707543,0,0,0.00553122,0,0.0162865,0.00256701,0.0387316,0.0195246,0.0197328,0.0066764,0.00392977,0.006947,0.00672513,0.00492072,0.0038783,0.031608,0.0072038,0.0106598,0.00513448,0.00531691,0.041648,0.00193934,0.00481448,0.00117525,0.00704132,0.0215469,0.0251802,0.00231348,0.00226088,0,0,0.00311222,0,0.015273,0.00222127,0.0401276,0.0418931,0.0285727,0.0151402,0.0112928,0.00143423,0.0228043,0.00905055,0.00269485,0.0369613,0.066032,0.0109352,0.00176772,0.00123466,0.00148745,0.00676364,0.00494168,0,0,0,0.00579963,0.0554786,0,0,0
193,0,0,0,0,0.00327872,0.00351387,0,0,0.0306136,0.0212437,0.0131283,0.0071322,0,0,0.00568709,0,0.016321,0.00255623,0.0388427,0.0194459,0.0197643,0.00738767,0.00433056,0.00694509,0.00603419,0.00423525,0.00258513,0.0318478,0.00781155,0.0113212,0.0055004,0.00528506,0.0421267,0.00230845,0.00479928,0.00104451,0.00566192,0.0221051,0.0247428,0.0017242,0.000751693,0,0,0.00600064,0,0.0160666,0.00387632,0.0404839,0.0404568,0.0292298,0.0159959,0.0106289,0.00289334,0.024252,0.0116273,0.0035655,0.0369346,0.0642914,0.00985405,0.00190716,0.00372405,0.0016438,0.00559367,0.00486023,0,0,0,0.00558225,0.0556949,0,0,0
194,0,0,0,0,0.00344663,0.00344126,0,0,0.0291904,0.0211018,0.0127391,0.00729872,0,0,0.00566227,0,0.0163812,0.0023909,0.0389291,0.0193176,0.0198034,0.00842854,0.00516411,0.00591965,0.00534832,0.00372479,0.00147951,0.0320084,0.00847611,0.0117215,0.0056922,0.00528498,0.0418995,0.00213848,0.00479374,0.00110637,0.00827895,0.0214358,0.0241522,0.00137511,0.00293561,0,0,0.00440552,0,0.0150605,0.00236759,0.0410292,0.0394484,0.0297004,0.0155286,0.00990238,0.00092891,0.0246731,0.0123654,0.00390942,0.0371185,0.0637679,0.0095299,0.0020166,0.00095418,0.00172114,0.00646658,0.004928,0,0,0,0.00676032,0.0553708,0,0,0
195,0,0,0,0,0.00337631,0.00328559,0,0,0.0273001,0.0210746,0.0123187,0.00737026,0,0,0.00535513,0,0.0163639,0.00220589,0.0389727,0.0192893,0.019651,0.00963129,0.00561492,0.00561087,0.00463249,0.00345679,0.00158758,0.0318993,0.00900989,0.0118899,0.00579917,0.00522727,0.0410896,0.00204934,0.00480495,0.00108564,0.0105313,0.0214663,0.0232501,0.0014165,0.00268506,0,0,0.00411372,0,0.0151031,0.00222552,0.0412268,0.0382494,0.0300332,0.0143045,0.00973047,0.000836652,0.0239809,0.010975,0.00411136,0.0367603,0.0648073,0.00836083,0.00191368,0.000802201,0.00164377,0.00610863,0.00476422,0,0,0,0.00730115,0.0540467,0,0,0
196,0,0,0,0,0.00330752,0.00311599,0,0,0.0249426,0.0210905,0.0120394,0.00732842,0,0,0.00508897,0,0.0163813,0.00213148,0.0389467,0.01918,0.0194597,0.0108508,0.00593615,0.00522883,0.00394904,0.00363136,0.00309998,0.0317023,0.00922679,0.0118061,0.0058683,0.00515342,0.0401618,0.00202274,0.00483086,0.00106005,0.0126229,0.021503,0.0229935,0.00166414,0.00241917,0,0,0.00386862,0,0.0151519,0.00198493,0.0409157,0.03678,0.030137,0.0141935,0.00950375,0.000868234,0.0227624,0.00896126,0.00472371,0.0361007,0.0660439,0.00770774,0.00190497,0.000638769,0.00158037,0.00578663,0.00460315,0,0,0,0.0064067,0.0519111,0,0,0
197,0,0,0,0,0.00320896,0.00297293,0,0,0.0222901,0.0211391,0.0119223,0.00721191,0,0,0.00481915,0,0.0164703,0.00201771,0.0388436,0.0191796,0.0192839,0.0119259,0.00618479,0.0048152,0.00337507,0.00428271,0.00489531,0.0315418,0.00939849,0.0115196,0.00607762,0.0051505,0.039263,0.00199657,0.00485353,0.00101072,0.0146459,0.0215612,0.0232917,0.00188142,0.00217532,0,0,0.00361339,0,0.0152196,0.0017277,0.0402063,0.0356637,0.0301794,0.0158273,0.0092036,0.00119629,0.0214069,0.00747294,0.0053269,0.0356299,0.066737,0.00819974,0.00194541,0.000513681,0.00147839,0.0054716,0.00449172,0,0,0,0.00557965,0.0495726,0,0,0
198,0,0,0,0,0.00305274,0.00278956,0,0,0.019558,0.0211953,0.0121693,0.00707772,0,0,0.00447385,0,0.0165764,0.0018178,0.0385999,0.0195124,0.0191442,0.0128771,0.00638578,0.00434172,0.00304405,0.0052588,0.00694579,0.0314689,0.00957083,0.011162,0.00643846,0.00521725,0.0384059,0.00191311,0.00488684,0.000953303,0.0165551,0.0216233,0.0236918,0.0019175,0.00197139,0,0,0.00332725,0,0.015287,0.0014935,0.0390661,0.0349494,0.0303391,0.0179303,0.00885536,0.0016934,0.0203724,0.00672671,0.00538619,0.0356252,0.0670173,0.00994011,0.00201959,0.00049261,0.00134682,0.00500432,0.00442986,0,0,0,0.00516385,0.0481282,0,0,0
199,0,0,0,0,0.00297894,0.00257876,0,0,0.0176862,0.0212019,0.0128339,0.00696617,0,0,0.00409493,0,0.0165874,0.00157817,0.0382419,0.0201975,0.0190014,0.0136869,0.0065354,0.00359819,0.00311631,0.00641446,0.00906791,0.0315487,0.00968237,0.0107973,0.00681432,0.00543889,0.0365762,0.00181391,0.00490061,0.000883003,0.0183403,0.0217077,0.0242883,0.00182671,0.00194282,0,0,0.00305671,0,0.0153007,0.0013336,0.0375912,0.0346763,0.0306208,0.0192624,0.00850335,0.00218607,0.0202065,0.00655181,0.00512242,0.0358814,0.0671025,0.012242,0.00208095,0.000519368,0.00121028,0.00442457,0.00442521,0,0,0,0.00501982,0.0478725,0,0,0
200,0,0,0,0,0.00290943,0.00232469,0,0,0.0165021,0.0212055,0.014335,0.0066991,0,0,0.00386545,0,0.016623,0.00144591,0.0378457,0.0213474,0.018811,0.0145215,0.0067016,0.0027705,0.00361612,0.00774568,0.0113152,0.0318123,0.00965053,0.0106661,0.00729267,0.0056684,0.0356691,0.00182806,0.00489704,0.000796545,0.0187829,0.0217622,0.0237684,0.00177837,0.00220838,0,0,0.00340332,0,0.0152641,0.00112847,0.0360531,0.0334903,0.0308876,0.0185007,0.00793294,0.00289631,0.0209093,0.00679663,0.00475088,0.0359692,0.0673753,0.0132345,0.00228998,0.00095711,0.00119596,0.00381387,0.00436368,0,0,0,0.00526313,0.0440106,0,0,0
201,0,0,0,0,0.0030173,0.00259756,0,0,0.0301648,0.0211192,0.0195676,0.00730628,0,0,0.00359221,0,0.0166876,0.00139785,0.0373471,0.017551,0.020081,0.0262513,0.00622682,0.00294563,0.00639168,0.0200269,0.0160173,0.0326577,0.0170426,0.0205473,0.0128911,0.00857863,0.0367379,0.00166112,0.00484434,0.000880665,0.023382,0.0215715,0.0242642,0.00289259,0.00152367,0,0,0.00305193,0,0.0151624,0.00200324,0.0348945,0.0305174,0.0312952,0.0189378,0.00782326,0.00270381,0.0223395,0.00911975,0.00391827,0.0350145,0.0674055,0.0182403,0.00179732,0.00118128,0.00147034,0.00433197,0.00401113,0,0,0,0.0055101,0,0,0,0
202,0,0,0,0,0.00298191,0.00252534,0,0,0.0351561,0.021091,0.020769,0.00660452,0,0,0.00306936,0,0.0166049,0.00117431,0.0372696,0.0182818,0.0199321,0.0276173,0.00622665,0.0024637,0.00665334,0.0220739,0.0174819,0.0330495,0.0176531,0.0226615,0.0132431,0.00934014,0.0403856,0.00123163,0.00489333,0.000876736,0.0228482,0.0218071,0.0229484,0.00304958,0.00107246,0,0,0.00226147,0,0.0154562,0.00179223,0.0345183,0.0289486,0.0313409,0.0163408,0.00755761,0.00288665,0.0230469,0.00929277,0.00430352,0.0344947,0.0680002,0.0174748,0.0017121,0.000730725,0.00106824,0.00352627,0.00389011,0,0,0,0.00617468,0,0,0,0
203,0,0,0,0,0.00291454,0.0020959,0,0,0.0406937,0.0211537,0.0224908,0.00595603,0,0,0.00293887,0,0.0165106,0.00115322,0.0372759,0.0195817,0.0197449,0.0287454,0.00614786,0.00206667,0.00714784,0.0240795,0.018698,0.0332201,0.0181247,0.024625,0.0133101,0.010117,0.0451173,0.00113778,0.00480123,0.000804181,0.0185566,0.0214615,0.0200113,0.00289247,0.00187026,0,0,0.00439087,0,0.0149774,0.00197705,0.0347809,0.0281563,0.0312155,0.0123077,0.0075025,0.00361056,0.0224342,0.00723362,0.00434443,0.0338805,0.0688641,0.0134907,0.00227411,0.00271671,0.00207026,0.00375471,0.00388984,0,0,0,0.00619021,0.0158478,0,0,0
204,0,0,0,0,0.00277343,0.00192652,0,0,0.046091,0.0212423,0.0236345,0.00532542,0,0,0.00262135,0,0.0164575,0.000958524,0.0374009,0.0213742,0.0193794,0.0293037,0.00602524,0.00165517,0.00794993,0.0259931,0.0196658,0.0334927,0.0184504,0.0264203,0.0134879,0.010872,0.049904,0.00114687,0.00476914,0.000704509,0.0180245,0.0215044,0.0191879,0.00269991,0.00205477,0,0,0.00434389,0,0.015006,0.00174401,0.0353736,0.0267636,0.0310906,0.0106808,0.00741081,0.00391908,0.0219326,0.00572308,0.00442399,0.0336395,0.0688446,0.0125733,0.00237286,0.0029901,0.00198093,0.00333541,0.00365325,0,0,0,0.00634655,0.0179036,0,0,0
205,0,0,0,0,0.00268031,0.00176508,0,0,0.0511253,0.0213127,0.0246321,0.00470839,0,0,0.00225115,0,0.0164312,0.000772476,0.0374586,0.023832,0.0189644,0.0291768,0.00579275,0.00122054,0.00877541,0.0274704,0.020372,0.0337242,0.0186923,0.0281808,0.013977,0.0116425,0.0541608,0.00120405,0.00475403,0.000595381,0.015726,0.0215406,0.0176366,0.00228282,0.00239228,0,0,0.00431394,0,0.0150292,0.00139146,0.035782,0.0245615,0.0307995,0.00796182,0.00716765,0.00419259,0.021122,0.0040902,0.00506931,0.0337944,0.0688802,0.00924093,0.00256825,0.00322472,0.00183592,0.00291788,0.00330875,0,0,0,0.00634614,0.0160708,0,0,0
206,0,0,0,0,0.00274124,0.001639,0,0,0.055449,0.0212681,0.0266033,0.00422665,0,0,0.00187406,0,0.0164948,0.000681263,0.0374748,0.0268399,0.0186408,0.0286569,0.0055667,0.000898589,0.00941714,0.0284947,0.0208746,0.0341111,0.0189089,0.0297809,0.0145003,0.0125545,0.0582887,0.00121922,0.00474805,0.000530536,0.015117,0.0215807,0.0174162,0.0019408,0.00277652,0,0,0.00431748,0,0.0150592,0.00116496,0.0361153,0.0239142,0.030685,0.00838124,0.00685182,0.00435243,0.0206856,0.00367024,0.00589004,0.0337471,0.0692699,0.00777805,0.00281415,0.00337078,0.00185567,0.00253421,0.00299317,0,0,0,0.00637039,0.015499,0,0,0
207,0,0,0,0,0.00287785,0.00149985,0,0,0.0591654,0.0212118,0.0288063,0.00397398,0,0,0.00167717,0,0.0165908,0.000682191,0.0374493,0.0300525,0.0183269,0.0278945,0.00508645,0.00095737,0.00980432,0.0292265,0.0209894,0.0344959,0.0191487,0.0311241,0.0150028,0.0135943,0.0632657,0.0012566,0.00480427,0.000487645,0.0149292,0.0215928,0.0175832,0.00164333,0.00318555,0,0,0.00431139,0,0.0150714,0.00108549,0.0360877,0.0235362,0.0306545,0.00864058,0.00653879,0.00438089,0.0202782,0.00339818,0.00654447,0.0337624,0.0688609,0.00680819,0.00305171,0.00339129,0.00177975,0.00231721,0.00273389,0,0,0,0.00653313,0.0155887,0,0,0
208,0,0,0,0,0.00334354,0.00148585,0,0,0.06306,0.0211296,0.0306208,0.00397623,0,0,0.00188226,0,0.016716,0.000885926,0.0373638,0.033231,0.0180609,0.0270553,0.00458524,0.00144029,0.0103561,0.029653,0.0206221,0.0348055,0.0193574,0.0321361,0.0154331,0.014738,0.0697766,0.0014032,0.0050497,0.000660083,0.0161931,0.021636,0.0181915,0.00161666,0.00354964,0,0,0.00420165,0,0.0150738,0.000983064,0.0357571,0.0225792,0.0306987,0.00725703,0.00604727,0.00422099,0.0197896,0.00333457,0.00714707,0.033926,0.0679763,0.00760078,0.00310824,0.00325817,0.00158002,0.00230124,0.00285628,0,0,0,0.00642893,0.0157091,0,0,0
209,0,0,0,0,0.00355619,0.00123861,0,0,0.0677488,0.0211657,0.031877,0.00399082,0,0,0.00193244,0,0.0167115,0.000923092,0.037303,0.0356005,0.0178537,0.0263177,0.00398384,0.00183341,0.0110692,0.029974,0.0198707,0.0347739,0.0195027,0.0330105,0.0157398,0.0158107,0.0773962,0.00145611,0.0051412,0.000817093,0.0162405,0.0216465,0.0179605,0.00166273,0.00395291,0,0,0.00463611,0,0.0150263,0.00117308,0.0353117,0.0217986,0.0305605,0.00542689,0.00567153,0.00422705,0.0193601,0.00358697,0,0.0340899,0.0675383,0.00753421,0.00323943,0.0035611,0.0016504,0.00248094,0.00279393,0,0,0,0.00573026,0.0155598,0,0,0
210,0,0,0,0,0.00520675,0.00241908,0,0,0.0686434,0.0215427,0.0357754,0.00503754,0,0,0.00302027,0,0.0165694,0.00160677,0.036939,0.0401708,0.0151264,0.0177611,0.00405705,0.00338045,0.00544912,0.0149952,0.0201234,0.0360247,0.00684046,0.0177087,0.0099801,0.0154672,0.0772679,0.00221087,0.00512615,0.000943911,0.0157248,0.0219023,0.0175594,0.00159124,0.00622576,0,0,0.00749865,0,0.0150276,0.00273686,0.0350667,0.0220111,0.0303305,0.00765526,0.00382275,0.00605828,0.0204742,0.0043424,0.00656479,0.0335286,0.0689674,0.00666289,0.00511474,0.00460096,0.00177701,0.00245028,0.00499734,0,0,0,0.00543832,0.0155548,0,0,0
211,0,0,0,0,0.00544088,0.00227565,0,0,0.0733449,0.0215714,0.037809,0.00512204,0,0,0.00303769,0,0.0165108,0.00166441,0.0368851,0.0388107,0.0148112,0.0168916,0.00346892,0.00361697,0.00513771,0.0149306,0.0198692,0.0358059,0.00723673,0.0187998,0.0107381,0.0164496,0.0841449,0.00232354,0.00508906,0.000913018,0.0155741,0.0218139,0.0171414,0.00171871,0.00631863,0,0,0.00775277,0,0.0149473,0.00301448,0.0349873,0.0216825,0.0298653,0.00892005,0.00346317,0.00603626,0.0208103,0.00482843,0.00560697,0.0325636,0.070336,0.00661672,0.00507505,0.00518265,0.00207653,0.00292215,0.00496986,0,0,0,0.0050581,0.0149996,0,0,0
212,0,0,0,0,0.00327755,0.00173976,0,0,0.0794693,0.0213894,0.0366054,0.0043277,0,0,0.00223327,0,0.0164468,0.00126899,0.0372933,0.0319191,0.0171294,0.025075,0.0032,0.0025876,0.0119084,0.030815,0.0180033,0.0336379,0.0199732,0.0357234,0.0171588,0.0181338,0.0960692,0.00192851,0.00503511,0.00085197,0.0155118,0.0222861,0.0168863,0.00165924,0.0050241,0,0,0.00575069,0,0.0159304,0.00352854,0.0350827,0.0208553,0.0293023,0.00915365,0.00491391,0.00525748,0.0206317,0.00316411,0.00493973,0.0315812,0.07117,0.00676193,0.00268073,0.00227409,0.000957656,0.00234941,0.00247572,0,0,0,0.0044086,0.013953,0,0,0
213,0,0,0,0,0.00530829,0.00186163,0,0,0.0832342,0.0214425,0.0452928,0.00536032,0,0,0.00270784,0,0.0162179,0.00158003,0.0365615,0.0388203,0.0143626,0.0145425,0.00268423,0.00393978,0.00470565,0.0159416,0.0187911,0.0346062,0.00920369,0.0239591,0.0144114,0.0157137,0,0.00209558,0.00495776,0.0011219,0.0157244,0.0217716,0.0168824,0.00183564,0.00595925,0,0,0.00587038,0,0.0148481,0.00247653,0.0351929,0.020452,0.0289152,0.00954304,0.0030872,0.00560029,0.0210273,0.00316427,0.00468992,0.0314164,0.0715061,0.00737865,0.00415136,0.00554196,0.00209035,0.00388148,0.00453103,0,0,0,0.00440379,0.0137938,0,0,0
214,0,0,0,0,0.00518604,0.00179554,0,0,0.081579,0.0215387,0.0430889,0.00586039,0,0,0.00271526,0,0.0161917,0.00148301,0.0363967,0.0351113,0.0139036,0.0145213,0.0029096,0.00421079,0.00487399,0.0170834,0.0192846,0.0344018,0.0090255,0.0232624,0.0129566,0.0183196,0.0964818,0.00210182,0.00483288,0.0011706,0.0154169,0.0217849,0.0163218,0.00208481,0.00600262,0,0,0.00505413,0,0.0148334,0.00222599,0.0349355,0.0195511,0.0286348,0.00961957,0.00291568,0.00535818,0.0214273,0.00293266,0.00461357,0.0310654,0.0711825,0.00742647,0.0037902,0.0055824,0.00207157,0.00447886,0.00464214,0,0,0,0.00399353,0.0133809,0,0,0
215,0,0,0,0,0.00383771,0.000957071,0,0,0.0850518,0.0213562,0.0408049,0.00502528,0,0,0.00170997,0,0.0164056,0.000877022,0.0368063,0.0279705,0.0165254,0.0229527,0.00297995,0.00338992,0.0119665,0.0314975,0.0175063,0.0319133,0.0201021,0.037533,0.017873,0.0192146,0.104743,0.00166657,0.00479198,0.000904831,0.0150274,0.021495,0.0158454,0.00188636,0.00503261,0,0,0.00246819,0,0.0147925,0.0010742,0.0351232,0.0189114,0.0281772,0.00956197,0.00318129,0.0042685,0.0215042,0.00243782,0.00437246,0.0306033,0.0701846,0.00711521,0.00210895,0.00513227,0.00207824,0.00526312,0.00285811,0,0,0,0.00333312,0.012713,0,0,0
216,0,0,0,0,0.00460756,0.0013974,0,0,0.0842265,0.0214047,0.043156,0.00581598,0,0,0.00232071,0,0.0164719,0.0012525,0.0361784,0.0307319,0.0146782,0.0139483,0.0031725,0.00423844,0.00623834,0.0222329,0.017088,0.032299,0.0134119,0.0294727,0.0150761,0.0188437,0.101928,0.00192842,0.00479865,0.00114278,0.0147856,0.0216048,0.0154036,0.00216106,0.00576298,0,0,0.00279948,0,0.0148005,0.00117094,0.0350761,0.0183565,0.0277585,0.00989606,0.00297647,0.00458866,0.0213256,0.0023999,0.0040488,0.0304212,0.0699733,0.00753406,0.00256952,0.00529363,0.00188871,0.00522279,0.00383927,0,0,0,0.00353113,0.0125828,0,0,0
217,0,0,0,0,0.00452588,0.00141642,0,0,0.0840071,0.0213848,0.0424344,0.00569459,0,0,0.00204784,0,0.0164938,0.00105338,0.0363162,0.0285976,0.0150187,0.015607,0.00339357,0.00433692,0.00780402,0.0246221,0.0170124,0.031365,0.0152049,0.0317929,0.0157925,0.0188856,0.10267,0.00194265,0.00470866,0.00115444,0.0148013,0.0214227,0.015437,0.00226744,0.00580296,0,0,0.00255744,0,0.0147168,0.00112045,0.0353104,0.018108,0.0273359,0.010397,0.00314815,0.00431034,0.021054,0.00224511,0.00383308,0.0300709,0.0700267,0.00784597,0.00230301,0.00532151,0.0020151,0.00551725,0.00356516,0,0,0,0.00318788,0.0123379,0,0,0
218,0,0,0,0,0.00406781,0.00165944,0,0,0.0838006,0.0216982,0.0405753,0.00519881,0,0,0.00120121,0,0.0160831,0.000301937,0.0367301,0.0249917,0.0160061,0.021691,0.00330156,0.00430369,0.0117749,0.0304569,0.0182075,0.0302192,0.01899,0.0367449,0.017375,0.0190687,0.104025,0.00227322,0.00454916,0.000614373,0.014766,0.0212367,0.0154189,0.00230631,0.00534998,0,0,0.00209694,0,0.0146108,0.00118833,0.0356269,0.017705,0.0269394,0.0105898,0.00314414,0.00396314,0.0208392,0.00207857,0.00379877,0.0297122,0.070132,0.00806151,0.00190743,0.00520831,0.00211855,0.00598873,0.00305099,0,0,0,0.0028061,0.0120004,0,0,0
219,0,0,0,0,0.00522919,0.00233224,0,0,0.0801103,0.0220051,0.0436002,0.00661775,0,0,0.0019363,0,0.0158027,0.000691841,0.0360199,0.0337625,0.0125891,0.0144078,0.00475727,0.00578302,0.00724149,0.0175846,0.0203329,0.0316363,0.00752445,0.0219959,0.0123756,0.0185336,0.0956468,0.00270376,0.00456129,0.000683725,0.0149094,0.0214699,0.0150655,0.00284737,0.00603206,0,0,0.00369102,0,0.014533,0.00145459,0.0355853,0.0172547,0.0265071,0.0109653,0.00466123,0.00455085,0.020807,0.00210965,0.00384874,0.0293959,0.0705048,0.00915281,0.00324673,0.00556635,0.00200616,0.00602753,0.00469907,0,0,0,0.00300656,0.0119815,0,0,0
220,0,0,0,0,0.00408556,0.00214264,0,0,0.0810399,0.0216572,0.0388251,0.00479665,0,0,0.0010472,0,0.016063,0.000316673,0.0366729,0.0220563,0.015624,0.0206356,0.00336384,0.00528958,0.0116315,0.0291935,0.0185508,0.0290032,0.0174365,0.0347867,0.0164091,0.0184667,0.100214,0.00271661,0.00447928,0.000664714,0.0148491,0.0210912,0.0148749,0.00274521,0.0049875,0,0,0.00238371,0,0.0144532,0.00140522,0.0359594,0.017073,0.0260294,0.0109634,0.00400109,0.0038173,0.0204989,0.00192181,0.00393469,0.0289524,0.0706909,0.00918223,0.0020742,0.0054517,0.00235369,0.00643067,0.00334541,0,0,0,0.00258292,0.0114813,0,0,0
221,0,0,0,0,0.00452102,0.00282144,0,0,0.0760109,0.0218354,0.041915,0.00654636,0,0,0.00232797,0,0.0160835,0.00107512,0.0363457,0.0331599,0.0119981,0.0154478,0.00469067,0.00625815,0.00883229,0.0171436,0.0213252,0.0303953,0.0052734,0.0183706,0.0108421,0.0178653,0.0900549,0.00261247,0.00454593,0.00119109,0.0151168,0.022037,0.0146121,0.0032535,0.00647687,0,0,0.00593648,0,0.0155054,0.00315914,0.0359161,0.0169143,0.0255212,0.0115063,0.00614123,0.00620897,0.0204873,0.00190635,0.00414829,0.0285581,0.0712181,0.0105944,0.00351063,0.00313962,0.000943362,0.00515385,0.00498729,0,0,0,0.00281705,0.0115772,0,0,0
222,0,0,0,0,0.00533071,0.00286702,0,0,0.0737354,0.0216477,0.0409144,0.00641832,0,0,0.00192731,0,0.0162526,0.000879904,0.0366856,0.0328591,0.0118683,0.0162087,0.00458399,0.00738054,0.00993069,0.0172745,0.0220875,0.0297175,0.00450877,0.0164705,0.0100295,0.0174162,0.0873122,0.00276096,0.00452399,0.000860082,0.0150344,0.0213432,0.0142222,0.00344689,0.00627233,0,0,0.00377429,0,0.0144396,0.00174144,0.0361215,0.0166119,0.0250048,0.0116,0.00686239,0.00471995,0.0203966,0.00179198,0.00454945,0.0282642,0.071533,0.0114693,0.0036956,0.00592504,0.00250723,0.00660297,0.00505324,0,0,0,0.00262383,0.0114338,0,0,0
223,0,0,0,0,0.00383988,0.00245524,0,0,0.0765886,0.0215081,0.0359663,0.00399485,0,0,0.0010238,0,0.016283,0.00033366,0.0373198,0.0177985,0.0154515,0.0168405,0.00301067,0.00685396,0.0111966,0.0261996,0.0186161,0.0272308,0.0142017,0.0306724,0.0145062,0.0171036,0.0948525,0.00292155,0.00439498,0.000214524,0.0147711,0.0210564,0.0139215,0.00334037,0.00471994,0,0,0.00183034,0,0.0144485,0.00125645,0.0364629,0.0161352,0.0246857,0.0113798,0.00527874,0.00396622,0.0203218,0.00163306,0.00413352,0.0281292,0.0714461,0.011428,0.00221501,0.00561847,0.00265028,0.00691057,0.00341899,0,0,0,0.00210537,0.0109472,0,0,0
224,0,0,0,0,0.00530422,0.00349592,0,0,0.0696973,0.0218429,0.0391119,0.00640502,0,0,0.00198176,0,0.0160275,0.000771512,0.0372713,0.0317777,0.0116149,0.0178296,0.00438535,0.00860649,0.0119294,0.018061,0.0230237,0.0284454,0.00390525,0.0130972,0.00838377,0.0165352,0.0820909,0.00338128,0.00438599,0.00035141,0.0148366,0.0214099,0.0134288,0.00399024,0.00628533,0,0,0.00390462,0,0.0145889,0.0020095,0.0364702,0.0161384,0.0241018,0.0119493,0.00779123,0.00526403,0.0204493,0.00143005,0.00331188,0.0277421,0.0719511,0.0130733,0.00422384,0.00607374,0.00226842,0.00717489,0.00530201,0,0,0,0.00222189,0.0110872,0,0,0
225,0,0,0,0,0.00539811,0.00367909,0,0,0.0679122,0.0219351,0.0382024,0.00650552,0,0,0.00203208,0,0.0157578,0.000678948,0.0376376,0.0312426,0.0115867,0.0184709,0.00422911,0.00909678,0.013058,0.0188,0.0234241,0.0277319,0.00400673,0.0117517,0.00751653,0.0161277,0.0799122,0.00373653,0.00433996,0.000472624,0.0148416,0.0215311,0.012843,0.00418739,0.00637215,0,0,0.00396508,0,0.0145992,0.00205935,0.0366294,0.0158382,0.0236082,0.0120478,0.00791669,0.00538784,0.0204234,0.0012189,0.00288474,0.0275075,0.072325,0.0139785,0.00437833,0.00599928,0.00216352,0.00738176,0.00548775,0,0,0,0.00222397,0.0110121,0,0,0
226,0,0,0,0,0.00453058,0.0035663,0,0,0.0716646,0.021653,0.0351769,0.00476696,0,0,0.00201554,0,0.0156563,0.000778605,0.0378279,0.0200638,0.0139813,0.0100344,0.00315132,0.00891961,0.00983215,0.0183576,0.0185078,0.0255765,0.00662997,0.0213286,0.0102179,0.0152887,0.0868882,0.00408795,0.00426686,0.000354159,0.0146623,0.0214026,0.012544,0.00421156,0.00544979,0,0,0.0028609,0,0.0146347,0.00146407,0.0368466,0.0153964,0.02329,0.0120141,0.00654634,0.00489404,0.0203521,0.00110448,0.00294012,0.0273723,0.072333,0.0138841,0.0035266,0.0057457,0.00219528,0.00753789,0.00449679,0,0,0,0.00182124,0.0106905,0,0,0
227,0,0,0,0,0.00577861,0.00445188,0,0,0.0643214,0.0215926,0.0358073,0.00678071,0,0,0.00259064,0,0.0156721,0.00119407,0.0386724,0.0297496,0.0116629,0.019592,0.00474197,0.0102211,0.0152217,0.0208562,0.0241398,0.0263182,0.00513322,0.00931917,0.00614318,0.0154014,0.0750634,0.00436843,0.00429962,0.000192588,0.0147715,0.021664,0.0120931,0.00472507,0.00668617,0,0,0.00440479,0,0.0147435,0.00242613,0.0370853,0.0153839,0.0226204,0.0124639,0.00862039,0.00597705,0.0202059,0.000892019,0.00302396,0.0268889,0.0728653,0.0151899,0.00499479,0.00581442,0.00210916,0.00784487,0.0060224,0,0,0,0.00150577,0.0108688,0,0,0
228,0,0,0,0,0.00531451,0.0043601,0,0,0.0659032,0.0214719,0.0334687,0.00617816,0,0,0.0026363,0,0.0157279,0.00124934,0.038893,0.0229782,0.0127658,0.012547,0.00416662,0.01002,0.0125986,0.0177599,0.0203889,0.0246605,0.00299826,0.0139965,0.00746728,0.0146855,0.0783001,0.00466685,0.00429457,0.000242753,0.0147648,0.0215305,0.0119208,0.00482946,0.00632252,0,0,0.00411208,0,0.0146785,0.00230273,0.0372446,0.0149445,0.0223169,0.0125262,0.00815843,0.00584391,0.0199776,0.000770449,0.00309474,0.0266863,0.072978,0.0154061,0.00484932,0.00588922,0.00214751,0.00795652,0.00559896,0,0,0,0.00120381,0.0107535,0,0,0
229,0,0,0,0,0.00556858,0.00466032,0,0,0.0630213,0.0212464,0.032142,0.00659836,0,0,0.00267876,0,0.0159521,0.00123958,0.0395537,0.0226431,0.0125856,0.0136267,0.00466194,0.0105603,0.0138407,0.0184617,0.0205042,0.0240231,0.00398329,0.0123718,0.0069937,0.0145294,0.0746973,0.00482718,0.0044585,0.000354723,0.0149095,0.0215668,0.0117063,0.00502514,0.0065836,0,0,0.00433866,0,0.0146503,0.00260388,0.0375057,0.0146967,0.0218538,0.0127497,0.0086532,0.00596935,0.0198339,0.000722649,0.00300074,0.0264337,0.0732876,0.0163041,0.00529814,0.00609136,0.00226891,0.00830484,0.00598631,0,0,0,0.00157036,0.0109216,0,0,0
