Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,RTHI,IMU_B,
178,0,0,0,0,0.0112095,0.0095849,0,0,0.0320222,0.0222392,0.0198287,0.00755945,0,0,0.00209645,0,0.0150854,0.0021399,0.0376357,0.0189715,0.0219588,0.0132506,0.00427509,0.0173159,0.00724044,0.00947188,0.0104764,0.0342833,0.00907515,0.00722103,0.00538489,0.00546439,0.0379944,0.00527775,0.00427451,0.0031159,0.0445885,0.0187115,0.045602,0.00451821,0.00831239,0,0,0.037004,0,0.0110483,0.0200465,0.040054,0.0571961,0.0247987,0.0289546,0.0108662,0.0156189,0.0256322,0.0238871,0,0.0246163,0.0306607,0.017763,0.0323959,0.0485192,0.014501,0.0116159,0.0117173,0.0129896,0.00697767,0,0,0,0.0128493,0,0
179,0,0,0,0,0.0113641,0.00992245,0,0,0.0316219,0.0220892,0.0201715,0.00790747,0,0,0.00166481,0,0.0151671,0.00215872,0.0382029,0.019581,0.0219637,0.0134924,0.00489446,0.0176275,0.00750362,0.0100218,0.0105813,0.0342336,0.0091872,0.00724451,0.00541472,0.00551259,0.0374614,0.00492151,0.00424724,0.00314892,0.0389037,0.0185983,0.0394199,0.00400137,0.00802846,0,0,0.0359996,0,0.011069,0.0198169,0.039651,0.05034,0.0262444,0.0188481,0.0119107,0.0152714,0.0226471,0.0198625,0,0.0206071,0.0337336,0.0176146,0.0295511,0.0411735,0.0145207,0.0115229,0.0117337,0.0135125,0.00700341,0,0,0,0.0108025,0,0
180,0,0,0,0,0.0112856,0.00943775,0,0,0.0336348,0.0222051,0.0215966,0.0084618,0,0,0.00209198,0,0.0150976,0.00185052,0.0395431,0.0209679,0.0209859,0.0138577,0.00308751,0.0177958,0.00881193,0.0109169,0.0114368,0.0352638,0.00945013,0.007763,0.00589804,0.00574814,0.0398267,0.00500926,0.00425104,0.00309848,0.0665842,0.0186531,0.04625,0.00351421,0.00790187,0,0,0.0362669,0,0.011056,0.0198136,0.0406082,0.0416666,0.0268427,0.0403001,0.00951053,0.014598,0,0.041517,0,0.0214204,0.0315445,0.0144332,0.0242294,0.0655273,0.0146485,0.011496,0.0116517,0.0127791,0.00719944,0,0,0,0,0,0
181,0,0,0,0,0.0116538,0.0086026,0,0,0.0351329,0.0225286,0.0209943,0.00686967,0,0,0.00343787,0,0.0149813,0.00171976,0.0410132,0.0201561,0.0192523,0.0118563,0.00277306,0.0174065,0.00892012,0.0101733,0.0102057,0.033637,0.00767758,0.00626011,0.00433334,0.00616039,0.0416061,0.00541434,0.00433519,0.00311987,0.0664866,0.0187632,0.0488174,0.0112858,0.0077035,0,0,0.0374706,0,0.0110652,0.0201311,0.0376724,0.051988,0.019923,0.0375925,0.00904235,0.0137759,0,0.037321,0,0.0360239,0,0.0373807,0.0436669,0.0707939,0.015396,0.011565,0.011524,0.011556,0.00709284,0,0,0,0,0,0
182,0,0,0,0,0.0123286,0.00818534,0,0,0.0353845,0.0227255,0.0202549,0.00891372,0,0,0.00427215,0,0.0148937,0.00163424,0.0435081,0.0194077,0.017979,0.0101994,0.00724859,0.0173808,0.00968389,0.0104768,0.0096098,0.031463,0.00613651,0.00542142,0.0035325,0.00738893,0.04182,0.00568656,0.00437387,0.00320699,0.10635,0.0187502,0.0624076,0.0206765,0.00791891,0,0,0.0381052,0,0.0111082,0.0204578,0.0523361,0.0515709,0.0160766,0.0479592,0.0117006,0.0128774,0.0662661,0.0365924,0,0.0481646,0,0.0536608,0.0409464,0.117564,0.0161886,0.0117412,0.0115684,0.0111509,0.00845091,0,0,0,0,0,0
183,0,0,0,0,0.012313,0.00848877,0,0,0.0353164,0.0226511,0.0197641,0.00977177,0,0,0.00415184,0,0.0148616,0.00180246,0.0441483,0.019405,0.0177654,0.00948759,0.00840228,0.0175525,0.00979737,0.0104306,0.00935572,0.0311428,0.00586674,0.0056677,0.00355325,0.0075385,0.0414302,0.00551641,0.00441337,0.00323649,0.119066,0.0187581,0.0690953,0.0216741,0.0077468,0,0,0.0373757,0,0.0111007,0.0202707,0.0547687,0.0550281,0.0166103,0.0499983,0.0128887,0.0125024,0.0715833,0.0383499,0,0.0511698,0,0.0586403,0.0420019,0.130543,0.0161363,0.0116175,0.0115169,0.0115811,0.00841579,0,0,0,0,0,0
184,0,0,0,0,0.01212,0.00873047,0,0,0.0346849,0.0225492,0.0190167,0.00998571,0,0,0.00388301,0,0.0148848,0.00190971,0.0440972,0.0192466,0.0177406,0.00892308,0.00879517,0.0177687,0.00954159,0.0101843,0.00886843,0.0309461,0.00587731,0.0058649,0.00330746,0.0074869,0.0408099,0.00534277,0.00442324,0.00328274,0.119012,0.0187259,0.0694237,0.0214313,0.00750196,0,0,0.0369951,0,0.0111408,0.020199,0.0545818,0.0574347,0.0171736,0.0489522,0.0134782,0.0124601,0.0704705,0.0372278,0,0.0504338,0,0.0575632,0.0412961,0.129634,0.0162268,0.0115424,0.0115225,0.011865,0.00811345,0,0,0,0,0,0
185,0,0,0,0,0.0121319,0.0089818,0,0,0.0339564,0.0224794,0.0181266,0.0102183,0,0,0.00369069,0,0.0149216,0.00202538,0.0439277,0.0190645,0.0176701,0.0084066,0.00897857,0.0180272,0.00919232,0.00988668,0.00827061,0.0307742,0.0059815,0.00604809,0.00299859,0.00743204,0.040202,0.00519444,0.00442252,0.00337434,0.115701,0.0186716,0.0674328,0.021237,0.00733836,0,0,0.0368032,0,0.0111606,0.0201323,0.0543685,0.0580175,0.0174281,0.0488691,0.0137891,0.01251,0.0687039,0.0374646,0,0.0491094,0,0.0555557,0.040968,0.125679,0.0163034,0.0114894,0.0115435,0.0120765,0.00796963,0,0,0,0,0,0
186,0,0,0,0,0.0113863,0.010643,0,0,0.0297151,0.0216638,0.0165107,0.0109794,0,0,0.00269342,0,0.0155093,0.00381197,0.0438508,0.0200417,0.019144,0.00935675,0.0115013,0.0172913,0.00854809,0.0106735,0.00809802,0.0313844,0.0069515,0.00577726,0.00302032,0.00661248,0.0351189,0.00389933,0.00464009,0.00370288,0.0807874,0.0177918,0.0378066,0.01524,0.00480717,0,0,0.0337265,0,0.0117878,0.0196633,0.0522565,0.0280942,0.0264921,0.0422746,0.0194117,0.0129793,0.0744299,0.0309661,0,0.0409784,0.0467443,0.0367745,0.0315544,0.0905166,0.0162426,0.0111827,0.0117274,0.0145419,0.00500909,0,0,0,0,0,0
187,0,0,0,0,0.0122811,0.00920015,0,0,0.0329879,0.0225517,0.0157231,0.0102064,0,0,0.00376454,0,0.014955,0.00180908,0.0435474,0.0183287,0.0170477,0.0065376,0.00780626,0.0186524,0.00815811,0.00830288,0.00667166,0.0308127,0.00611362,0.00679174,0.00290838,0.00711767,0.040295,0.00552074,0.00436577,0.0033989,0.10619,0.0187801,0.0606211,0.02068,0.00732552,0,0,0.0360152,0,0.0110705,0.0197978,0.053687,0.0536979,0.0175511,0.0510341,0.0131924,0.0127382,0.065736,0.0419424,0,0.0483424,0,0.0516031,0.0422332,0.116844,0.0160262,0.011509,0.0114611,0.0119754,0.00817516,0,0,0,0,0,0
