Timestep,,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,RTHI
13,0,0,0,0,0,0.0118146,0.00915802,0,0,0,0.0212637,0.0215703,0.0147299,0.00573174,0,0,0.00719074,0,0.0153621,0.00565364,0.0406192,0.0213303,0.0206558,0.0114149,0.00353275,0.00541697,0.0114064,0.0105818,0.0123757,0.0335284,0.00615262,0.00648647,0.00491546,0.0128996,0.0225816,0.00312537,0.004058,0.00353101,0.0602069,0.018475,0.0410683,0.0122259,0.0130132,0,0,0.0325071,0,0.0113067,0.0182068,0.0422911,0.0546271,0.025051,0.0209303,0.00659517,0.0158404,0.0563713,0.0117469,0.0201549,0.0228566,0.0232505,0.0155821,0.0354833,0.0870457,0.0101384,0.0133672,0.0155387,0.00424655,0.00234465,0,0,0,0
14,0,0,0,0,0,0.0116497,0.0095762,0,0,0,0.0229015,0.0214579,0.016328,0.00519599,0,0,0.00742911,0,0.015415,0.00581123,0.0407566,0.0227553,0.0214926,0.0147076,0.00421453,0.00589174,0.0151053,0.0147562,0.0141002,0.0352082,0.00766544,0.00778097,0.006141,0.0137133,0.024199,0.00336866,0.00407866,0.00360226,0.0613107,0.0183907,0.0445548,0.0119973,0.0130098,0,0,0.0320709,0,0.011323,0.0181518,0.0427883,0.0583274,0.0251156,0.0206999,0.00553439,0.0157343,0.0564925,0.0119151,0.0198763,0.0227425,0.024383,0.0170762,0.0366969,0.0883934,0.0101441,0.0134016,0.0156752,0.0044232,0.00288923,0,0,0,0
15,0,0,0,0,0,0.0046661,0.00749898,0,0,0,0.0224463,0.0196832,0.0184318,0.00377023,0,0,0.0135775,0,0.0168607,0.00920688,0.041186,0.0258485,0.0218719,0.0187536,0.00939581,0.00800061,0.0172019,0.0179878,0.0144089,0.035025,0.00958018,0.00888984,0.0069383,0.0145364,0.0235077,0.00967758,0.00415041,0.00541259,0.0646986,0.0155578,0.0280485,0.011263,0.0138083,0,0,0.0321791,0,0.0136781,0.0192115,0.0438621,0.0348363,0.0274993,0.0305977,0.00209841,0.0190424,0.0486276,0.0226283,0.0276914,0.0176028,0.0219127,0.0139732,0.0188091,0.0889149,0.0147765,0.0125899,0.0156615,0.00439701,0.0104018,0,0,0,0
16,0,0,0,0,0,0.00518613,0.00838614,0,0,0,0.0235987,0.0194616,0.0205907,0.00381087,0,0,0.0141255,0,0.0169211,0.009488,0.0413649,0.028667,0.0220871,0.019719,0.0110009,0.00841483,0.0175801,0.0185272,0.0149167,0.0353252,0.0103124,0.00855133,0.00705274,0.0139986,0.0245206,0.0101359,0.00428956,0.00548251,0.0643198,0.0154787,0.0285965,0.0109598,0.0145158,0,0,0.0320079,0,0.0137864,0.0194669,0.044218,0.0366056,0.0273889,0.0314025,0.00345576,0.0193,0.048122,0.0233937,0.0284996,0.0179971,0.021692,0.0133081,0.0190307,0.0890643,0.0154971,0.0127354,0.0156307,0.0053555,0.0112054,0,0,0,0
17,0,0,0,0,0,0.00577168,0.00915178,0,0,0,0.0227331,0.0193296,0.0207593,0.00409065,0,0,0.0150204,0,0.0170808,0.00999838,0.0410663,0.0300045,0.0221378,0.0202264,0.012385,0.00926248,0.0172757,0.0180881,0.0145197,0.0349225,0.0106711,0.00863337,0.00693644,0.0140487,0.0233664,0.0110037,0.0044045,0.0056887,0.0635503,0.0153271,0.0285267,0.0109192,0.0152658,0,0,0.0317704,0,0.0138,0.0197354,0.0445899,0.0384006,0.0274206,0.0317225,0.00460981,0.0198076,0.0474103,0.0242092,0.0292891,0.018586,0.0214588,0.0126513,0.0198279,0.0889352,0.016341,0.0126947,0.0154176,0.00634534,0.0121577,0,0,0,0
18,0,0,0,0,0,0.00618356,0.00970582,0,0,0,0.0212484,0.0193219,0.0188838,0.0043883,0,0,0.0157213,0,0.0171593,0.0104313,0.0405773,0.0281593,0.0220755,0.0196264,0.0133251,0.00992693,0.0163016,0.0164896,0.0132359,0.0340146,0.0101407,0.00877342,0.00666529,0.0143149,0.0221557,0.011693,0.00451555,0.00587531,0.0624164,0.0151491,0.0274689,0.0110043,0.0157913,0,0,0.0315523,0,0.013762,0.019967,0.0450482,0.0398415,0.0273834,0.0311752,0.00524082,0.0202644,0.0466693,0.0247967,0.0298278,0.0192015,0.0212716,0.0119726,0.0209998,0.0885369,0.0169577,0.0129312,0.0151912,0.00706448,0.0127928,0,0,0,0
19,0,0,0,0,0,0.00655344,0.0102045,0,0,0,0.0205959,0.0192693,0.0163072,0.00472604,0,0,0.0163421,0,0.0172213,0.0108002,0.0401613,0.0246148,0.0219281,0.0178246,0.0140639,0.010765,0.0146388,0.0137178,0.0113308,0.0326115,0.00883241,0.0083309,0.00621402,0.0144135,0.022111,0.0124783,0.00457225,0.00605199,0.0613919,0.0149831,0.0259611,0.0110003,0.0162991,0,0,0.0315647,0,0.0137805,0.0202501,0.0456634,0.0417508,0.0272304,0.0305435,0.00558839,0.0209036,0.045691,0.0258433,0.0306664,0.0202894,0.0210052,0.0112977,0.0227652,0.0884545,0.0177091,0.0133886,0.0155796,0.0078189,0.0134823,0,0,0,0
20,0,0,0,0,0,0.00701265,0.0107288,0,0,0,0.0215777,0.0191989,0.0150362,0.00514591,0,0,0.0169439,0,0.0172705,0.0111362,0.0399399,0.0221929,0.0216764,0.0148415,0.0146838,0.0117866,0.0124399,0.0104381,0.00929696,0.0308202,0.00702044,0.00710835,0.00554075,0.0139918,0.0232718,0.013356,0.00466281,0.00620106,0.0602229,0.014841,0.0246207,0.0108961,0.0167756,0,0,0.031759,0,0.0138483,0.0205894,0.0463417,0.0444017,0.026974,0.0300097,0.0058282,0.0216717,0.0445607,0.0273046,0.0316978,0.0215799,0.0206239,0.0107826,0.0248448,0.0883947,0.0184714,0.0135656,0.0159689,0.00864373,0.0142887,0,0,0,0
21,0,0,0,0,0,0.0077742,0.0113676,0,0,0,0.0229791,0.0190975,0.0157983,0.00568971,0,0,0.0176792,0,0.0173368,0.0115519,0.0398303,0.0214896,0.021295,0.0118903,0.0153217,0.0131264,0.0103748,0.00810257,0.00786909,0.0288314,0.00548502,0.00610848,0.00497708,0.0131745,0.0240874,0.0143138,0.00474087,0.00635928,0.0588773,0.0146364,0.023514,0.0106524,0.0173677,0,0,0.0321108,0,0.0139632,0.0210283,0.0470674,0.0471849,0.0266581,0.0298484,0.00624534,0.022669,0.0432008,0.0283126,0.0328876,0.0228406,0.020029,0.0105722,0.0266749,0.0881001,0.0193589,0.013621,0.0162768,0.00957427,0.0153591,0,0,0,0
22,0,0,0,0,0,0.00888434,0.0120887,0,0,0,0.0222969,0.018949,0.0159081,0.00618943,0,0,0.0184831,0,0.0174566,0.0119406,0.0396772,0.0207505,0.020978,0.00972777,0.0160515,0.0145984,0.00897147,0.00690991,0.00733826,0.0269618,0.00509086,0.00636969,0.00496047,0.0125647,0.0227585,0.0153723,0.00481646,0.00645696,0.0577255,0.014326,0.0223511,0.0102414,0.0181932,0,0,0.0325399,0,0.0141804,0.021486,0.0479307,0.0497159,0.0263254,0.0303955,0.00687018,0.023826,0.0412344,0,0.0344965,0.0240766,0.0194846,0.0106427,0.0280382,0.0877867,0.0202879,0.0134919,0.0165994,0.0104592,0.0166145,0,0,0,0
