Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,RTIB,RTIBA,IMU_B,
15,0,0,0,0,0.00404002,0.00243618,0,0,0.0265634,0.0222648,0.0177026,0.00297661,0,0,0.0020972,0,0.0151309,0.000574001,0.0442433,0.0211497,0.0204573,0.0110082,0.00608145,0.00706488,0.00499716,0.00400374,0.00603631,0.028437,0.00770675,0.00773404,0.00531835,0.0143309,0.0267768,0.00163696,0.00401952,0.00109697,0.0147384,0.0223611,0.00809964,0.0054327,0.0061444,0,0,0.0139406,0,0.0159214,0.00557239,0.0426774,0.0167716,0.0164405,0.00902017,0.00815592,0.00881823,0.00696212,0.0227646,0.00648844,0.00832949,0.00992417,0.0194354,0.023004,0.00238114,0.00354178,0.00212608,0.00510407,0.00964601,0,0,0,0.0141076,0.0292414,0,0
16,0,0,0,0,0.00406295,0.00229552,0,0,0.0254426,0.0223217,0.0173296,0.00304495,0,0,0.00232584,0,0.0150911,0.000649586,0.043799,0.020193,0.0205349,0.0106347,0.00629182,0.00751936,0.00424339,0.00325957,0.00501308,0.0273871,0.00777439,0.00761448,0.00507888,0.013741,0.0254166,0.00185793,0.00397281,0.00128828,0.0129648,0.0223238,0.0098656,0.00531576,0.0061909,0,0,0.0140894,0,0.0158783,0.00558194,0.0425077,0.0183415,0.0162708,0.00939826,0.00817853,0.00885237,0.00711037,0.0230311,0.00689224,0.0084117,0.0108542,0.0194364,0.0213495,0.00241835,0.00357068,0.00218573,0.004966,0.00974118,0,0,0,0.0143975,0.0277696,0,0
17,0,0,0,0,0.0040614,0.00222833,0,0,0.0235795,0.0219094,0.0163146,0.00316449,0,0,0.00235542,0,0.0155007,0.000735203,0.0433108,0.0188377,0.0205567,0.0113811,0.00644235,0.00788511,0.00264118,0.00432557,0.00581918,0.0269985,0.00768767,0.00771899,0.00497507,0.0128982,0.0234316,0.00185029,0.00406756,0.000833593,0.012279,0.0222535,0.0116713,0.0052724,0.00635159,0,0,0.014353,0,0.0158657,0.00557744,0.0422687,0.0192205,0.0160999,0.00951432,0.00821525,0.00867686,0.00728634,0.0234045,0.00721281,0.00849653,0.0110496,0.0188381,0.0201402,0.00271557,0.00350787,0.00220272,0.00474094,0.00994285,0,0,0,0.0139663,0.0269985,0,0
18,0,0,0,0,0.00291063,0.00124291,0,0,0.0213647,0.0216066,0.014575,0.00324468,0,0,0.00270773,0,0.0157505,0.000816726,0.0428994,0.0174384,0.0205463,0.0124407,0.00641333,0.00849462,0.000382531,0.0068424,0.00813207,0.0274546,0.00718402,0.00822405,0.00542787,0.0121194,0.0216341,0.0023682,0.00424246,0.000679304,0.0130639,0.0216446,0.0125413,0.00537972,0.00614182,0,0,0.0061236,0,0.0149254,0.00153606,0.0421598,0.0189919,0.0160039,0.0093701,0.00825298,0.00676854,0.00737841,0.0236646,0.00741336,0.0084906,0.0109456,0.0181622,0.0194044,0.00271455,0.00202951,0.000615633,0.00446832,0.0102295,0,0,0,0.0130668,0.0275042,0,0
19,0,0,0,0,0.00290599,0.00127141,0,0,0.0192589,0.021602,0.0125692,0.00338629,0,0,0.002588,0,0.0157116,0.000801425,0.0424316,0.0166021,0.0207311,0.0124826,0.00653387,0.00868684,0.00237041,0.0101723,0.0107317,0.028571,0.0071025,0.00971839,0.00619592,0.0115868,0.0199134,0.0023937,0.00420465,0.000653677,0.0142304,0.0216355,0.0149528,0.00543093,0.0063437,0,0,0.00572246,0,0.0148892,0.00129715,0.0420306,0.01885,0.0157109,0.00831579,0.00810499,0.0069839,0.00765123,0.0250944,0.00770357,0.00873043,0.00948685,0.0145463,0.0177945,0.00306833,0.00207224,0.000768138,0.00418396,0.0104294,0,0,0,0.0104775,0.0255496,0,0
20,0,0,0,0,0.00305529,0.00144579,0,0,0.0168894,0.0215722,0.0110305,0.00335993,0,0,0.00247712,0,0.0157003,0.000775121,0.0420383,0.0161356,0.0207171,0.0119552,0.00669552,0.00900342,0.00417401,0.013131,0.0126129,0.0296848,0.00794806,0.0117094,0.00686303,0.0112655,0.0176474,0.00244255,0.00415234,0.000548969,0.0149674,0.0216131,0.0170208,0.00545341,0.00661666,0,0,0.00542693,0,0.0148576,0.00105312,0.0418873,0.019842,0.0154507,0.00864122,0.00759617,0.00727756,0.00755318,0.0252115,0.00812244,0.00830865,0.00993988,0.0140562,0.0156588,0.0033545,0.00218347,0.00079792,0.00396588,0.0106009,0,0,0,0.00993566,0.0252734,0,0
21,0,0,0,0,0.0042258,0.00278531,0,0,0.0150619,0.021766,0.00996647,0.00345026,0,0,0.00223411,0,0.0156015,0.000927268,0.0416908,0.0159104,0.0204913,0.0122416,0.0071575,0.00867584,0.00502521,0.0151335,0.0132733,0.0301668,0.00877559,0.0132117,0.00711778,0.0107578,0.0154655,0.00196104,0.00413984,0.00056304,0.0162646,0.0223022,0.0188601,0.00535648,0.00782314,0,0,0.0159502,0,0.0160083,0.00608528,0.0415921,0.0205945,0.0151729,0.00933203,0.00658994,0.00940081,0.00754892,0.0252486,0.0086133,0.00797844,0.0102343,0.0134514,0.0135435,0.00392909,0.00451495,0.00255284,0.00404917,0.0105077,0,0,0,0.00921671,0.0249723,0,0
22,0,0,0,0,0.00386383,0.002421,0,0,0.0142424,0.021771,0.00921485,0.00347597,0,0,0.00190984,0,0.0156812,0.000887238,0.0413884,0.0154833,0.0201355,0.013247,0.00700047,0.00892378,0.00549599,0.0162917,0.0129118,0.0297153,0.00903129,0.0136507,0.00680642,0.00998325,0.0143755,0.00207585,0.00420259,0.000745462,0.0175976,0.0220966,0.0201903,0.00536758,0.0075578,0,0,0.0105357,0,0.0153832,0.00354035,0.0412294,0.0214038,0.0149977,0.0104576,0.00608842,0.00853233,0.00770239,0.0250129,0.00847722,0.00803091,0.0103388,0.0128115,0.0118046,0.00334234,0.0024605,0.00119047,0.00372316,0.0107237,0,0,0,0.00830995,0.0246171,0,0
23,0,0,0,0,0.00402273,0.00260583,0,0,0.0123033,0.0216618,0.00787999,0.00350872,0,0,0.00220196,0,0.0157169,0.00081242,0.0410765,0.0147104,0.0200053,0.0131043,0.00817924,0.00894633,0.0057971,0.0156484,0.0114873,0.0285004,0.00824715,0.0123537,0.00579427,0.00931911,0.0122635,0.00235119,0.00429291,0.000728361,0.0307324,0.02203,0.0308058,0.0068803,0.00731764,0,0,0.0112846,0,0.0154122,0.00381068,0.0427318,0.0401286,0.0161098,0.00897916,0.00457978,0.00857031,0.0112411,0.0197927,0.00666712,0.0134676,0.0171177,0.0275175,0.0218715,0.00369519,0.00138971,0.00133823,0.00392518,0.00996698,0,0,0,0.0174782,0.0219747,0,0
24,0,0,0,0,0.00429089,0.00314854,0,0,0.0124852,0.0219423,0.00735057,0.00360709,0,0,0.00145844,0,0.0155395,0.00142623,0.0407104,0.0137565,0.019531,0.013772,0.00693705,0.00940464,0.00696688,0.0160003,0.0108285,0.0275087,0.00790153,0.0122628,0.00517382,0.00867239,0.0126666,0.00173953,0.00426069,0.000967119,0.0224101,0.022206,0.0219189,0.00535735,0.0079456,0,0,0.0109258,0,0.015421,0.00389413,0.0407391,0.0235223,0.0145742,0.0129912,0.00522581,0.0088638,0.0085173,0.023733,0.00812832,0.00890925,0.0108042,0.0131787,0.0075872,0.00319338,0.00124342,0.00168408,0.00306243,0.01049,0,0,0,0.00806867,0.0228119,0,0
