Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,RTIBA,RTIBI
78,0,0,0,0,0.0114463,0.0112243,0,0,0,0.038347,0.0209848,0.0182312,0.00785178,0,0,0.0047825,0,0.0156922,0.00396859,0.0391058,0.0170304,0.0210266,0.00951476,0.00735134,0.0171677,0.00736757,0.00988364,0.0113722,0.033994,0.00698406,0.00546926,0.00493965,0.00452914,0.0443356,0.003803,0.00415625,0.0038779,0.042803,0.0187709,0.0414085,0.0066942,0.00717222,0,0,0.04053,0,0.0106087,0.021514,0.0405692,0.0479986,0.0283291,0.0253518,0.0158484,0.0141236,0.0104462,0.0226858,0.0226619,0.0166501,0.0200442,0.0274102,0.0468455,0.0156414,0.0139017,0.0113922,0.0138087,0.00506873,0,0,0,0.0302476,0.0150855
79,0,0,0,0,0.011714,0.0116229,0,0,0,0.0380288,0.0207998,0.0180209,0.00826945,0,0,0.00516524,0,0.0158884,0.00416682,0.0397051,0.0174272,0.0210304,0.00952618,0.00791444,0.0173741,0.0076153,0.0101952,0.0113836,0.034057,0.00702524,0.00545222,0.00489139,0.00454811,0.0442095,0.00407603,0.0042088,0.00391651,0.0424903,0.0186694,0.0402397,0.00729062,0.00692954,0,0,0.0394799,0,0.0106795,0.0215225,0.0403157,0.0470562,0.0295308,0.0213107,0.0167434,0.0139999,0.0110056,0.0214749,0.0229216,0.0169159,0.0190738,0.0268711,0.0456104,0.0159478,0.0140532,0.0113362,0.0142881,0.00512114,0,0,0,0.0329894,0.0148935
80,0,0,0,0,0.0119914,0.0120481,0,0,0,0.0378478,0.0206644,0.0178334,0.00875094,0,0,0.00550732,0,0.0160284,0.00433703,0.0403684,0.0181009,0.0209293,0.00947759,0.00846318,0.0175688,0.00792759,0.0105328,0.0113884,0.0340779,0.00710193,0.00550077,0.00489101,0.00456007,0.0441048,0.00431655,0.00425099,0.00393462,0.0395747,0.0185985,0.0379051,0.00802724,0.0067632,0,0,0.0383038,0,0.010735,0.0215336,0.0400108,0.0458008,0.0308824,0.0154184,0.0176677,0.0139447,0.0119901,0.0197867,0.0213088,0.0167485,0.0198494,0.0283561,0.0423863,0.0162193,0.014217,0.0112493,0.0147794,0.00519001,0,0,0,0.0353674,0.0161327
81,0,0,0,0,0.0122857,0.0124365,0,0,0,0.0376015,0.0205421,0.0175993,0.00923093,0,0,0.00584287,0,0.0160999,0.00459642,0.040994,0.0188896,0.0207622,0.00926255,0.00900973,0.0176961,0.00821171,0.0106703,0.0113086,0.0339785,0.00715747,0.0055633,0.00489421,0.00456826,0.0439826,0.00460486,0.00429436,0.00403655,0.035259,0.0185239,0.0357083,0.00894624,0.00671165,0,0,0.037428,0,0.0107957,0.0215379,0.0395865,0.0449175,0.031995,0.00904547,0.0185633,0.0139475,0.0129186,0.017942,0.0194321,0.0164989,0.0218771,0.0314913,0.0382489,0.0165712,0.0143406,0.0111836,0.0152473,0.00546245,0,0,0,0.0368757,0.0180972
82,0,0,0,0,0.0124787,0.0127284,0,0,0,0.0372276,0.0204228,0.0171612,0.00962634,0,0,0.00611384,0,0.0160934,0.00487605,0.041535,0.0193108,0.0205718,0.0088736,0.00948225,0.0177173,0.00836608,0.0105267,0.011047,0.0337432,0.00715084,0.00562506,0.0048355,0.00460845,0.0439461,0.0048612,0.00428791,0.0042214,0.0307874,0.0184856,0.0342818,0.00980829,0.00674878,0,0,0.0368205,0,0.0108421,0.0214642,0.0389685,0.045142,0.0327279,0.00566851,0.0194541,0.0140278,0.013528,0.0163168,0.0173854,0.0164401,0.023673,0.0336646,0.0337894,0.0169116,0.0144224,0.0111366,0.0156443,0.00574688,0,0,0,0.0374291,0.0200366
83,0,0,0,0,0.0125118,0.0128914,0,0,0,0.036712,0.0202917,0.0163953,0.0100506,0,0,0.00633792,0,0.0161529,0.00505057,0.0420113,0.0195649,0.0203987,0.00841843,0.0100303,0.0176124,0.00811123,0.0101732,0.0105304,0.0334201,0.00708708,0.00564338,0.00470689,0.00462513,0.043616,0.00504883,0.00434369,0.00430001,0.0284559,0.0184253,0.0342348,0.0105384,0.006788,0,0,0.0364017,0,0.0108539,0.0214449,0.0380814,0.0473235,0.0332118,0.00700092,0.0200989,0.0142126,0.0136474,0.0152884,0.0156575,0.0165309,0.0250112,0.0352678,0.0308503,0.0172233,0.0144354,0.0110899,0.0159211,0.00602137,0,0,0,0.0374517,0.021177
84,0,0,0,0,0.0125579,0.0129715,0,0,0,0.0359361,0.0202174,0.0154065,0.0105216,0,0,0.00669319,0,0.0161497,0.00527476,0.042356,0.0197909,0.0203026,0.00776785,0.0107232,0.0175174,0.00767496,0.00972254,0.00983461,0.0330358,0.00696782,0.00572087,0.00460435,0.00455508,0.0429903,0.00525058,0.00434841,0.00436307,0.0284727,0.0183789,0.034915,0.0111605,0.0068699,0,0,0.0361972,0,0.010915,0.0214334,0.0370706,0.0506483,0.0337104,0.00780881,0.0207896,0.0143417,0.0130358,0.0148457,0.014808,0.0161164,0.0258183,0.0366801,0.0298546,0.0175023,0.0143904,0.0110211,0.0161054,0.00636575,0,0,0,0.0374451,0.0215351
85,0,0,0,0,0.0124618,0.0128909,0,0,0,0.0357483,0.0202371,0.0145922,0.0105332,0,0,0.00658641,0,0.0160812,0.00531983,0.0421403,0.02001,0.020211,0.00697189,0.0100208,0.0174699,0.00727806,0.00906584,0.00915585,0.0331353,0.00707872,0.00631979,0.00489934,0.00440261,0.0430367,0.00516685,0.00432163,0.00437411,0.0281071,0.0185647,0.0356336,0.0100022,0.00691622,0,0,0.0359338,0,0.0109096,0.0212013,0.036762,0.0541137,0.0333681,0.00990736,0.0198481,0.0143741,0.0120949,0.0145005,0.0130129,0.0149239,0,0.0394898,0.0279539,0.0172996,0.0143077,0.0108035,0.0160984,0.00603989,0,0,0,0.0371223,0.0226069
86,0,0,0,0,0.0124098,0.0127136,0,0,0,0.0343284,0.0201531,0.0134232,0.0112122,0,0,0.00669888,0,0.0161528,0.00542415,0.0423112,0.0199922,0.0201368,0.00611012,0.0109264,0.0170145,0.00667581,0.00837778,0.0082582,0.0327342,0.00691765,0.00645467,0.00482355,0.0043297,0.0420579,0.00546285,0.00441613,0.00435085,0.0300109,0.0185633,0.0360856,0.0112433,0.00689133,0,0,0.0357038,0,0.0109951,0.021114,0.0364491,0.0548561,0.0342113,0.00699646,0.0210081,0.0146524,0.0103915,0.0153349,0.0133962,0.0135471,0.0273088,0.0384589,0.0307527,0.0175278,0.0142344,0.010693,0.016001,0.006261,0,0,0,0.0373318,0.0218436
87,0,0,0,0,0.012179,0.0123855,0,0,0,0.0334881,0.0200498,0.0128332,0.0111764,0,0,0.00641904,0,0.0163335,0.0052064,0.0418409,0.0202934,0.020096,0.0055624,0.0101862,0.0166381,0.00626329,0.00769202,0.00754091,0.0329281,0.00722345,0.00705276,0.00515535,0.00414372,0.041861,0.00542219,0.00458671,0.00414445,0.0318599,0.018653,0.0369395,0.010536,0.00675988,0,0,0.0355994,0,0.0109291,0.020872,0.037106,0.0543112,0.0341114,0.0061586,0.0199395,0.0148783,0.00900958,0.0155908,0.0122154,0.0121143,0.0274051,0.0389527,0.0335388,0.0173942,0.0140844,0.0104929,0.015687,0.00614415,0,0,0,0.0369363,0.0217747
88,0,0,0,0,0.0118567,0.0119326,0,0,0,0.032524,0.0200196,0.0124359,0.0109708,0,0,0.0061627,0,0.0164222,0.00499749,0.0413244,0.0205472,0.020132,0.00524332,0.00928398,0.0161527,0.00598102,0.00703206,0.00682003,0.0331955,0.00770638,0.00768118,0.00561788,0.00398686,0.0414429,0.00539039,0.00471125,0.00395644,0.0349368,0.0187322,0.0381998,0.00977652,0.00663632,0,0,0.0358674,0,0.0108932,0.0206612,0.0375856,0.0535342,0.0340604,0.00628399,0.0183956,0.0150813,0.00779335,0.0158791,0.0116073,0.0109358,0.0266251,0.0385448,0.0379728,0.0171573,0.0138644,0.0103438,0.0152016,0.00583014,0,0,0,0.0364953,0.0212812
89,0,0,0,0,0.0115643,0.0116373,0,0,0,0.0312663,0.020023,0.0116778,0.0108169,0,0,0.00614827,0,0.0164312,0.00496382,0.04095,0.0207159,0.0201798,0.00518554,0.00843503,0.015818,0.00580124,0.0063961,0.00611661,0.0334871,0.00828908,0.00833289,0.00614768,0.00393608,0.0406833,0.00550074,0.00477739,0.00378928,0.0365518,0.0187852,0.0397095,0.00900035,0.00652551,0,0,0.0360328,0,0.0108536,0.0204597,0.0377532,0.0539658,0.0340952,0.00730021,0.0168952,0.0153862,0.00696271,0.0161204,0.0113916,0.0102646,0.0257798,0.0377054,0.0409573,0.0169215,0.0136683,0.0102119,0.0148939,0.00563405,0,0,0,0.0362441,0.0209789
90,0,0,0,0,0.011118,0.0113415,0,0,0,0.0294487,0.0200245,0.0111435,0.0106887,0,0,0.00628524,0,0.0163692,0.00507258,0.0406321,0.0207913,0.0202174,0.00532125,0.00787855,0.0154451,0.00560064,0.00573569,0.00542287,0.0337816,0.008829,0.00894439,0.00665639,0.00395081,0.0394361,0.00576732,0.00484078,0.00365061,0.0355695,0.0188885,0.0405158,0.00844232,0.00640222,0,0,0.0360439,0,0.0108812,0.0202546,0.0378155,0.0547258,0.0341287,0.00888555,0.0157195,0.0157495,0.00686851,0.0160427,0.0119956,0.0109788,0.0251817,0.0364975,0.0412917,0.0166596,0.0134399,0.0100807,0.0146303,0.00542664,0,0,0,0.0361732,0.0208965
