Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,RTIBA,RTIBI
101,0,0,0,0,0.00793705,0.00670713,0,0,0,0.0486457,0.0217472,0.0277478,0.00496984,0,0,0.00699148,0,0.0152251,0.00439497,0.037265,0.021352,0.0177827,0.0195058,0.00622539,0.00835154,0.008123,0.0236166,0.0180082,0.0357924,0.0166721,0.0309077,0.0138674,0.0083723,0.0497994,0.00660932,0.00417151,0.00175143,0.0231703,0.0192461,0.0289682,0.00611018,0.00663268,0,0,0.0414497,0,0.0107183,0.0199626,0.0349587,0.0366106,0.0324885,0.0182754,0.0089433,0.0175219,0.0143877,0.0171387,0.0203147,0.0206746,0.0156458,0,0.0331443,0.0145765,0.0124123,0.00933424,0.00982399,0.00434729,0,0,0,0.0303954,0.0153928
102,0,0,0,0,0.00713594,0.00607011,0,0,0,0.0586238,0.0220822,0.0365635,0.00651509,0,0,0.00705646,0,0.0150857,0.00432754,0.0385287,0.0267109,0.0170709,0.0124574,0.00585107,0.00730132,0.00837498,0.0181625,0.00883133,0.0362879,0.0188058,0.0329595,0.0188522,0.00997631,0.0615273,0.00641348,0.00391244,0.00170311,0.0245494,0.0192147,0.0302716,0.00698039,0.00724925,0,0,0.0431903,0,0.0107085,0.020335,0.0353082,0.0372881,0.0326501,0.0191105,0.0101933,0.0180751,0.0154861,0.0166125,0.0208058,0.0223793,0.0175041,0,0.0345545,0.0145242,0.012417,0.00942637,0.00908572,0.00420753,0,0,0,0.0310355,0.0150683
103,0,0,0,0,0.00763971,0.00681017,0,0,0,0.0573862,0.0221694,0.0304937,0.00315267,0,0,0.00748493,0,0.0150477,0.00463483,0.0373678,0.0288259,0.0176107,0.0206186,0.00482237,0.00772944,0.0117963,0.0281476,0.0190735,0.0371903,0.018147,0.0349145,0.0145343,0.0114169,0.0628636,0.00601157,0.00371366,0.00187072,0.0245233,0.0191235,0.0293635,0.00597171,0.00715119,0,0,0.0424452,0,0.010696,0.0204124,0.0358114,0.0346839,0.032323,0.017621,0.00849692,0.0176205,0.0153766,0.0164895,0.02111,0.021867,0.0169098,0,0.0334265,0.0146842,0.012607,0.00948602,0.00982411,0.00435714,0,0,0,0.0302556,0.0143448
104,0,0,0,0,0.00723943,0.00662894,0,0,0,0.061795,0.0224297,0.0313325,0.00246571,0,0,0.00733358,0,0.0149466,0.00451454,0.0372663,0.0331912,0.0178686,0.0209962,0.00455013,0.00691853,0.01313,0.0296095,0.0187939,0.0377696,0.0184639,0.0356609,0.0146805,0.0129265,0.0706218,0.00568318,0.00372843,0.00207956,0.0235834,0.0191566,0.0278129,0.00549691,0.00744257,0,0,0.0427353,0,0.0106519,0.020563,0.035565,0.0319644,0.0323715,0.015575,0.00735629,0.0178169,0.0147507,0.0165711,0.0203363,0.0207761,0.0154972,0.0241802,0.0318327,0.0146392,0.0126439,0.00946888,0.00950813,0.00470547,0,0,0,0.0300654,0.0134709
105,0,0,0,0,0.00714636,0.00657013,0,0,0,0.0662129,0.0225038,0.0319402,0.00246789,0,0,0.00724283,0,0.0149434,0.00446873,0.0372525,0.0360705,0.0180637,0.0211682,0.00450141,0.00614977,0.0137986,0.0305951,0.0177687,0.0377279,0.0186105,0.0359318,0.014872,0.0142311,0.0774251,0.00544463,0.00374827,0.00208964,0.0226822,0.0191399,0.0266174,0.00546605,0.00752699,0,0,0.0428709,0,0.0107062,0.0206994,0.035031,0.0301408,0.0322583,0.0152468,0.00683858,0.0180634,0.0147187,0.0166293,0.0202424,0.0206028,0.0144619,0.0220872,0.0304988,0.0147826,0.012675,0.00950263,0.00937333,0.00497555,0,0,0,0.0298769,0.0128852
106,0,0,0,0,0.00734025,0.00668895,0,0,0,0.0700753,0.0224755,0.0326843,0.00275013,0,0,0.00741333,0,0.0149351,0.00462228,0.0372861,0.0355251,0.0182184,0.0214763,0.00490367,0.00559097,0.0141016,0.0314509,0.0165342,0.0373273,0.0188658,0.0362493,0.0150939,0.0152414,0.0830826,0.00542828,0.0037552,0.00214456,0.0215617,0.0190866,0.0252549,0.00557373,0.00746886,0,0,0.0426579,0,0.0107433,0.0207213,0.0344951,0.028169,0.0321421,0.0150866,0.00683102,0.0182992,0.014587,0.0168655,0.0202757,0.0203304,0.012959,0.019914,0.0290975,0.0149526,0.0127906,0.00955039,0.00947896,0.00511618,0,0,0,0.0295197,0.012205
107,0,0,0,0,0.00761785,0.00688893,0,0,0,0.072855,0.0224359,0.0333067,0.00310173,0,0,0.0075526,0,0.0148855,0.00481315,0.037035,0.0328883,0.0181964,0.0219963,0.00533043,0.00518424,0.0144191,0.0324006,0.0155309,0.0368702,0.0193916,0.0367868,0.0155067,0.0159693,0.0878683,0.00539295,0.00378747,0.00240019,0.0202518,0.0190395,0.0238183,0.00572674,0.00739027,0,0,0.0422479,0,0.0107555,0.0207996,0.0341205,0.0260595,0.0321491,0.0147064,0.00677593,0.0184624,0.0141735,0.0172525,0.0203534,0.0199223,0.011332,0.0180933,0.0275698,0.015085,0.0129583,0.00958745,0.00967377,0.00521881,0,0,0,0.0290259,0.0116062
108,0,0,0,0,0.00779835,0.00711284,0,0,0,0.0751586,0.0223753,0.0338715,0.00362806,0,0,0.00765024,0,0.0148131,0.00497877,0.0367553,0.030004,0.0180955,0.022328,0.00545383,0.004817,0.0146435,0.0332038,0.0149058,0.0364139,0.0198017,0.0372191,0.0158899,0.0164417,0.0919317,0.00531131,0.00379465,0.0025391,0.0191399,0.0190085,0.0227984,0.0058428,0.00731694,0,0,0.0417376,0,0.0107631,0.0204621,0.0340069,0.0244802,0.0322004,0.0139562,0.00642303,0.0185098,0.01383,0.0176521,0.0201695,0.0194776,0.0100612,0.0169106,0.0263436,0.0151399,0.0130476,0.00956743,0.00985278,0.00534866,0,0,0,0.0285112,0.0112244
109,0,0,0,0,0.00791687,0.00731335,0,0,0,0.0773744,0.0224272,0.0344974,0.0040359,0,0,0.00767792,0,0.0148136,0.00508577,0.0364726,0.0275547,0.0179047,0.0221732,0.00518912,0.00451145,0.0146836,0.0336548,0.0146403,0.0359584,0.0197617,0.0373185,0.016096,0.0167296,0.0955922,0.00507471,0.00378183,0.00255152,0.018685,0.019,0.0226265,0.00604767,0.00734932,0,0,0.0413253,0,0.0107614,0.0202264,0.0339532,0.0238341,0.0321374,0.0130694,0.00575699,0.0184894,0.0136079,0.0180675,0.0194981,0.0189457,0.0094365,0.0164041,0.0259014,0.0151145,0.0130456,0.00960557,0.00995881,0.00558614,0,0,0,0.0280219,0.0110743
110,0,0,0,0,0.00801632,0.00742253,0,0,0,0.0794067,0.0224634,0.0350445,0.00397475,0,0,0.00759758,0,0.0148394,0.00504261,0.0362896,0.0256127,0.0176462,0.0215233,0.0045966,0.00420816,0.0145016,0.0335668,0.0146074,0.0354993,0.0194537,0.0371729,0.0160086,0.0168918,0.0990454,0.00471061,0.00375846,0.00262686,0.0190016,0.0190223,0.0231983,0.00630265,0.007464,0,0,0.0411169,0,0.0107693,0.0201653,0.0338894,0.0241807,0.0318772,0.0123105,0.00491288,0.0184957,0.0135883,0.018522,0.0188926,0.0185364,0.00952857,0.0164898,0.026359,0.0150464,0.013134,0.00967786,0.00998532,0.00595869,0,0,0,0.0275621,0.0110973
111,0,0,0,0,0.0081347,0.00748663,0,0,0,0.0808971,0.0223611,0.0353476,0.00351386,0,0,0.00748191,0,0.0149763,0.00483459,0.0362673,0.0238936,0.0173297,0.0206591,0.00384627,0.00387197,0.0141376,0.0329762,0.0146929,0.0350542,0.0189942,0.0368549,0.015733,0.0169181,0.101727,0.0043688,0.00370089,0.00262402,0.0187668,0.0190099,0.0231815,0.00624836,0.00756402,0,0,0.0408989,0,0.0107603,0.0201612,0.0338547,0.0241912,0.0315709,0.0117685,0.00401663,0.0185651,0.0137661,0.0188892,0.0183444,0.0183134,0.0100729,0.017148,0.026182,0.0149767,0.0131817,0.00970126,0.00997655,0.00631717,0,0,0,0.0270828,0.0111131
112,0,0,0,0,0.00823763,0.00749589,0,0,0,0.0815947,0.0223606,0.0355493,0.00312468,0,0,0.00741211,0,0.0150081,0.0047604,0.0362565,0.0222093,0.0168544,0.0197026,0.00357999,0.00346678,0.0136916,0.0319783,0.0148519,0.034591,0.0183171,0.0363108,0.0153227,0.0168399,0.102983,0.00408053,0.00366982,0.00263814,0.0178527,0.0189848,0.0222941,0.00617057,0.00763782,0,0,0.0406305,0,0.0107363,0.0201775,0.0338706,0.0232364,0.0313062,0.0104307,0.00340882,0.0185036,0.0136719,0.0189863,0.0166905,0.017538,0.00989127,0.0175331,0.025109,0.0148854,0.0131963,0.00970394,0.00994064,0.00661256,0,0,0,0.0266406,0.0110507
113,0,0,0,0,0.00829469,0.00750086,0,0,0,0.0815862,0.0224426,0.0357338,0.00286673,0,0,0.00738021,0,0.014996,0.00476622,0.0361436,0.0205703,0.0162067,0.0184485,0.00373883,0.00294322,0.0130789,0.0305701,0.0150022,0.0340746,0.0173704,0.035381,0.0147619,0.0166738,0.102938,0.00383039,0.00363751,0.00263262,0.0169488,0.0189642,0.0214719,0.00626515,0.00778523,0,0,0.040549,0,0.0106934,0.0200768,0.034039,0.0221928,0.031027,0.00938025,0.00341727,0.0184596,0.0137292,0.01917,0.0155477,0.0170633,0.00937896,0.0180028,0.0239298,0.0147601,0.0132174,0.00979148,0.00986905,0.0069576,0,0,0,0.0261159,0.0109908
114,0,0,0,0,0.00828987,0.00751308,0,0,0,0.0809587,0.0225231,0.0358898,0.00274106,0,0,0.00745902,0,0.0150087,0.00475962,0.0360402,0.0191691,0.0155151,0.0166324,0.00412972,0.00246637,0.0121767,0.0286657,0.0150321,0.0334993,0.0160553,0.0340277,0.0140953,0.0164594,0.101724,0.00369707,0.00365235,0.00256703,0.0164079,0.0189408,0.0208476,0.00655214,0.00800078,0,0,0.0406279,0,0.0106386,0.0200691,0.034297,0.0211819,0.0306945,0.00912714,0.00410305,0.0185288,0.0140595,0.0195212,0.0149624,0.0171911,0.00866859,0.0177181,0.0230355,0.0144763,0.0132704,0.00995787,0.00981633,0.00733173,0,0,0,0.0255203,0.0108488
115,0,0,0,0,0.00820957,0.00753225,0,0,0,0.0798744,0.0226186,0.0361773,0.00292324,0,0,0.00762138,0,0.0149903,0.00475996,0.0360624,0.0185394,0.0148597,0.0140981,0.00447794,0.00212784,0.0110829,0.0261845,0.0149615,0.0329351,0.0142997,0.032217,0.0134761,0.0162261,0.0994543,0.00372905,0.00364594,0.00248861,0.0161719,0.0189153,0.0203548,0.00697252,0.00825841,0,0,0.0408254,0,0.0105721,0.0202042,0.0345414,0.0202067,0.0303239,0.00940187,0.00517572,0.0185898,0.0146154,0.019956,0.0147865,0.0177011,0.00788712,0.0169727,0.0223731,0.0142355,0.0133761,0.0101471,0.00976825,0.00766955,0,0,0,0.0248901,0.0107549
116,0,0,0,0,0.00810681,0.00753557,0,0,0,0.0781858,0.0226841,0.0365391,0.00346395,0,0,0.00782869,0,0.0148756,0.00482902,0.0361785,0.0189475,0.0142357,0.0109175,0.00459665,0.00206874,0.00998812,0.0231758,0.0148744,0.0324583,0.0120272,0.0298569,0.0127339,0.0159652,0.0964863,0.00393339,0.00361864,0.00249353,0.0157119,0.0188984,0.0193882,0.00754209,0.00848029,0,0,0.0410461,0,0.0105264,0.0203516,0.0347055,0.0186601,0.0300567,0.00947221,0.00614491,0.0186706,0.014896,0.0201719,0.0150964,0.0174166,0.00683408,0.0159172,0.0213494,0.0140334,0.0134835,0.0102884,0.00974109,0.00784437,0,0,0,0.0242891,0.0106468
117,0,0,0,0,0.00797499,0.00756372,0,0,0,0.0759897,0.0227502,0.0370327,0.00449908,0,0,0.00820957,0,0.0147681,0.0049051,0.036318,0.0208579,0.0134674,0.00731401,0.00498563,0.00249158,0.00914816,0.0197549,0.0150006,0.0321017,0.00923001,0.0268427,0.0118614,0.0157288,0.0928442,0.00434316,0.00365321,0.00266363,0.014574,0.0188937,0.0176013,0.00835384,0.00878015,0,0,0.041532,0,0.0104782,0.0205089,0.034856,0.0161228,0.0299345,0.00921178,0.00730668,0.0188959,0.0147296,0.020156,0.0149079,0.0161876,0.005427,0.014641,0.0195378,0.0137338,0.0135811,0.0103943,0.00975736,0.00806353,0,0,0,0.0237055,0.0104299
118,0,0,0,0,0.00792047,0.00762436,0,0,0,0.0732306,0.0228208,0.0374387,0.00583205,0,0,0.00851943,0,0.0148263,0.00490606,0.0364643,0.0239404,0.012667,0.00528197,0.0055892,0.00318302,0.00899616,0.0165448,0.0156107,0.0318201,0.00599618,0.0231565,0.0107957,0.0155094,0.0882849,0.00473734,0.00368448,0.0027435,0.014331,0.0189046,0.0164863,0.0092256,0.00916754,0,0,0.0421623,0,0.010435,0.0206644,0.0350538,0.0140671,0.0298049,0.00946594,0.00853155,0.0191516,0.0146426,0.0203721,0.0156497,0.0154134,0.00443016,0.0132545,0.0186454,0.0135103,0.0136976,0.0105033,0.00985228,0.00834048,0,0,0,0.0231892,0.00971676
119,0,0,0,0,0.00794551,0.0077015,0,0,0,0.0702419,0.0228499,0.03786,0.00711382,0,0,0.00872088,0,0.0148088,0.0048685,0.0366826,0.0275106,0.0119359,0.00787293,0.0063353,0.00392927,0.0100488,0.0145779,0.016991,0.0315531,0.00281544,0.0190657,0.00985956,0.0153273,0.0833226,0.00510744,0.00366949,0.00275863,0.0156284,0.0189051,0.0169312,0.00998094,0.0095944,0,0,0.0429197,0,0.0103918,0.0208405,0.0353552,0.0137372,0.0296187,0.0101185,0.0097207,0.0194385,0.0146265,0.0207996,0.016018,0.0151711,0.00413984,0.0118942,0.0193808,0.0133812,0.0137465,0.0106181,0.00995201,0.00859304,0,0,0,0.0224342,0
120,0,0,0,0,0.00799665,0.0077953,0,0,0,0.0669105,0.0228087,0.0376867,0.00829531,0,0,0.00883948,0,0.0146954,0.00479984,0.0369904,0.0300375,0.0113971,0.0119456,0.00685078,0.00462221,0.0117356,0.0147485,0.0187596,0.0312033,0.00204189,0.015375,0.00884742,0.0151304,0.0784365,0.0054334,0.00366808,0.00269728,0.0162276,0.018877,0.0169361,0.0105792,0.0100076,0,0,0.043615,0,0.0103365,0.0210053,0.0356773,0.0133016,0.0293347,0.0107422,0.0106906,0.0198313,0.0143584,0.0212273,0.015964,0.0151297,0.00417035,0.0121196,0.0195344,0.0131868,0.0137415,0.0106955,0.00997123,0.00881589,0,0,0,0.0212886,0.00777625
121,0,0,0,0,0.00810599,0.0073819,0,0,0,0.0640069,0.0227425,0.0362181,0.00901342,0,0,0.00875491,0,0.0146719,0.00467209,0.037952,0.0297249,0.0113657,0.0144208,0.00472393,0.00531138,0.0136324,0.0162368,0.0198147,0.0289715,0.00427474,0.0128359,0.00764482,0.0156314,0.0750025,0.00557793,0.00372309,0.00258947,0.0137972,0.0187208,0.0154992,0.00892516,0.00996021,0,0,0.0441317,0,0.0104444,0.0213348,0.0361487,0.0150283,0.0267396,0.0108101,0.00976034,0.0198395,0.0138217,0.0195463,0.0175581,0.0176753,0.0114507,0.0222552,0.0145689,0.0136727,0.013877,0.0108428,0.00900569,0.00919706,0,0,0,0,0.0137016
122,0,0,0,0,0.00824398,0.00748634,0,0,0,0.0603216,0.0226876,0.0342569,0.00951156,0,0,0.00870943,0,0.0146991,0.00472762,0.0385621,0.0290106,0.0114638,0.0167485,0.00528352,0.00546465,0.0154358,0.0181106,0.0208503,0.0285348,0.00597147,0.0105052,0.00690107,0.0153857,0.0706017,0.00573749,0.00369728,0.00260593,0.0143598,0.0187694,0.0155203,0.00938173,0.0101602,0,0,0.043729,0,0.0104196,0.0212473,0.0363654,0.0142491,0.027013,0.0114802,0.00996651,0.0200941,0.0138464,0.0197508,0,0.0180842,0.0115995,0.0219711,0.0152317,0.0134355,0.0139259,0.0108955,0.00893292,0.00910401,0,0,0,0,0.0136518
123,0,0,0,0,0.00817657,0.00755466,0,0,0,0.0563666,0.0226656,0.0317893,0.0101769,0,0,0.00858806,0,0.0147496,0.00469151,0.0392272,0.027314,0.0116668,0.0186458,0.00602104,0.00566497,0.0171724,0.0201305,0.0215075,0.028077,0.00754518,0.00886343,0.00670708,0.0150599,0.0658707,0.00579437,0.00368962,0.00263049,0.014515,0.0187766,0.0155439,0.0100859,0.0103625,0,0,0.0436243,0,0.0104118,0.0212742,0.0366996,0.0137905,0.0274633,0.0110512,0.010467,0.0203386,0.013584,0.0196294,0.0178902,0.0178608,0.0106442,0.0212175,0.0153857,0.0133085,0.0139933,0.0110005,0.00879214,0.00905903,0,0,0,0,0.0132194
124,0,0,0,0,0.00837427,0.00796593,0,0,0,0.050401,0.0227488,0.0288491,0.0121282,0,0,0.0085013,0,0.0147082,0.00452849,0.0412985,0.0253707,0.0105773,0.0205413,0.00726585,0.00585405,0.018108,0.0217071,0.0214097,0.0279994,0.00927043,0.00816633,0.00721475,0.0146932,0.0584305,0.00560087,0.00369197,0.00271726,0.0490103,0.0188339,0.0283652,0.0122281,0.0108405,0,0,0.0440287,0,0.0103856,0.0213931,0.0313469,0.0189298,0.0287419,0.0190228,0.0113185,0.0201933,0.0174049,0,0.0263671,0.0137742,0.00960697,0.0191886,0.0563673,0.0132459,0.0140187,0.0110672,0.00877015,0.00967872,0,0,0,0,0
125,0,0,0,0,0.00819714,0.00794684,0,0,0,0.0461856,0.0226344,0.0264371,0.0124805,0,0,0.00852365,0,0.0147284,0.00462538,0.041917,0.0233268,0.0109502,0.0208655,0.00744005,0.00585001,0.0191001,0.0228656,0.0207735,0.0272879,0.0102183,0.00853851,0.00799608,0.0147346,0.053543,0.00569732,0.00370884,0.0027393,0.0483825,0.0187741,0.0270019,0.0127605,0.0109219,0,0,0.0439749,0,0.0104208,0.0214029,0.0318419,0.0174657,0.0291026,0.0182332,0.0115665,0.0203718,0.0170101,0,0.0255385,0.0131746,0.00826694,0.0186385,0.0559423,0.0132357,0.0140145,0.0111144,0.00865152,0.00956858,0,0,0,0,0.019163
126,0,0,0,0,0.00760979,0.00814508,0,0,0,0.0418938,0.0225556,0.0248989,0.0125395,0,0,0.00850098,0,0.0147544,0.00468803,0.0404285,0.0228804,0.0122214,0.0209218,0.00946004,0.00588119,0.0200204,0.0244627,0.0201384,0.0275727,0.0108352,0.00897072,0.00871694,0.0143187,0.0479324,0.00587379,0.00369526,0.002719,0.0223736,0.0188428,0.0214733,0.0141504,0.0113484,0,0,0.0440528,0,0.0104001,0.0213221,0.0379361,0.0179457,0.0299107,0.0141998,0.0137737,0.0211571,0.0153087,0.0221712,0.0161305,0.0165335,0.00659695,0.0128462,0.024469,0.0129092,0.0139513,0.0110647,0.00928287,0.00928893,0,0,0,0.0177336,0.0107511
127,0,0,0,0,0.00766417,0.00800879,0,0,0,0.0354244,0.0226114,0.0216305,0.0130464,0,0,0.00819528,0,0.0147412,0.00443865,0.0431813,0.0210458,0.0117698,0.0199309,0.00864104,0.00573762,0.0196617,0.0239966,0.0179682,0.0259326,0.0114762,0.00819479,0.00858144,0.0148293,0.0406929,0.00543845,0.00375627,0.00273895,0.0495236,0.0187446,0.02793,0.0133274,0.0111719,0,0,0.044094,0,0.0105233,0.0214638,0.0328538,0.0188627,0.0289887,0.0187682,0.0130072,0.0203331,0.0168991,0,0.0244861,0.0133939,0.00828476,0.0185541,0.0574278,0.0134664,0.0139886,0.0110754,0.00868069,0.00982873,0,0,0,0,0.0195279
128,0,0,0,0,0.00762885,0.00827265,0,0,0,0.0288957,0.0225732,0.0197413,0.0129308,0,0,0.00838029,0,0.0147385,0.00462266,0.0418511,0.0212231,0.0131749,0.0185075,0.0106064,0.00562658,0.0194931,0.0244616,0.016299,0.026035,0.0114528,0.00771251,0.00830966,0.0140795,0.0328626,0.00565861,0.00374327,0.00284821,0.0233833,0.0189167,0.0204039,0.0134625,0.0117235,0,0,0.0436802,0,0.0104804,0.0212177,0.039305,0.0166897,0.0277812,0.0150055,0.0149024,0.0208378,0.0155083,0.0220873,0.0166489,0.0165336,0.00704775,0.013001,0.0254467,0.0129048,0.0139272,0.0109243,0.00926107,0.00980094,0,0,0,0.0192754,0.0122854
129,0,0,0,0,0.00714811,0.00798914,0,0,0,0.0212304,0.0224666,0.0168036,0.0126476,0,0,0.00824434,0,0.0148134,0.00463267,0.0429009,0.0204324,0.0135372,0.0163952,0.0107041,0.00557621,0.0181459,0.0231035,0.013498,0.0255118,0.0111848,0.00702878,0.00777178,0.0135947,0.0239076,0.00557604,0.00381333,0.00281292,0.0179924,0.0188214,0.0157234,0.0134754,0.0113026,0,0,0.0438108,0,0.0106387,0.0213242,0.0400232,0.0126013,0.027379,0.0161355,0.0151063,0.0207402,0.0167774,0.0205665,0.018943,0.0185068,0.00936039,0.018407,0.0207613,0.0133032,0.0137336,0.0108996,0.00916657,0.00961354,0,0,0,0.0270734,0.0118225
130,0,0,0,0,0.00686914,0.00787358,0,0,0,0.014742,0.0223662,0.0137428,0.0118814,0,0,0.00792343,0,0.0148318,0.00461297,0.043638,0.0189029,0.0143217,0.0137682,0.00972931,0.00528775,0.0158973,0.020481,0.010003,0.0254256,0.0102698,0.00636751,0.00713621,0.0128709,0.0157937,0.00532014,0.00380269,0.00278577,0.0182636,0.0188402,0.0154342,0.0130063,0.0108096,0,0,0.0429055,0,0.0106498,0.0210797,0.0403198,0.0127523,0.0268411,0.0169907,0.0147656,0.0204042,0.0169513,0.0197548,0.0196581,0.0191051,0.0109765,0.0204493,0.0212214,0.0132562,0.013345,0.0107666,0.00923756,0.00938374,0,0,0,0.0275167,0.0126794
131,0,0,0,0,0.00666691,0.0078651,0,0,0,0.0122804,0.0222324,0.011905,0.0113439,0,0,0.00788551,0,0.0148769,0.0048381,0.0454482,0.0176334,0.0137814,0.0115462,0.00904845,0.00463086,0.0120723,0.0163408,0.00581371,0.0269897,0.00933132,0.00607919,0.00701673,0.0123468,0.0122033,0.00512974,0.00380086,0.00277851,0.0330861,0.0187568,0.016115,0.0156193,0.00976128,0,0,0.0416295,0,0.0106594,0.0208258,0.0359287,0.0205656,0.0289623,0.0183342,0.0134747,0.0198456,0.0158391,0,0.0216393,0.0147967,0.0148144,0.0242909,0.0437747,0.0134915,0.0130721,0.0106954,0.00963884,0.0088965,0,0,0,0.0290467,0.0147084
132,0,0,0,0,0.00665494,0.00775245,0,0,0,0.0161866,0.0220778,0.012953,0.0098088,0,0,0.00787361,0,0.0149102,0.00498685,0.0455875,0.0178262,0.0146804,0.0110002,0.00752098,0.00428545,0.00875087,0.0133565,0.00519768,0.0285616,0.0080125,0.00531005,0.00631751,0.0116643,0.0164843,0.00504845,0.00382043,0.00275967,0.0332885,0.0187015,0.0157146,0.0150134,0.00912235,0,0,0.0406606,0,0.0107085,0.020704,0.0364241,0.0199589,0.0287428,0.0175981,0.0124132,0.0197238,0.0152442,0,0.0206549,0.0141098,0.0149288,0.0237341,0.0436608,0.0137944,0.013032,0.0106826,0.00985046,0.00856332,0,0,0,0.03038,0.0138025
133,0,0,0,0,0.00660479,0.0076961,0,0,0,0.0217598,0.0219325,0.0156125,0.00813562,0,0,0.00783198,0,0.0149736,0.00510982,0.0454996,0.0201829,0.0157327,0.0120818,0.0058195,0.00403078,0.00641272,0.0117935,0.00837612,0.0308443,0.00670458,0.004557,0.00547067,0.0112536,0.0224836,0.00495829,0.00382739,0.00273798,0.033326,0.0186396,0.0156511,0.0143395,0.00853149,0,0,0.0397867,0,0.0107562,0.0206648,0.0369464,0.0184683,0.0286291,0.0169427,0.0113099,0.0195857,0.0145094,0,0.0191842,0.0132342,0.014676,0.022167,0.0427953,0.0141336,0.0130216,0.0106818,0.0101904,0.00823864,0,0,0,0.0280123,0.013053
134,0,0,0,0,0.0064881,0.00774982,0,0,0,0.0270408,0.0218009,0.0185058,0.00656361,0,0,0.0078387,0,0.0150461,0.00524681,0.0453445,0.0232684,0.016851,0.0136529,0.00378641,0.00386303,0.00710372,0.012271,0.0121924,0.0334545,0.0057992,0.00442968,0.00456288,0.0112512,0.027843,0.00489436,0.00384537,0.00271873,0.0336082,0.0185884,0.0164136,0.0138479,0.00798771,0,0,0.0389426,0,0.0108212,0.020672,0.0373364,0.0169347,0.0286358,0.0165381,0.010338,0.0194069,0.0139534,0,0,0.0126525,0.0121744,0.0205681,0.0421098,0.0144159,0.0131243,0.0106707,0.0106208,0.00789024,0,0,0,0.0234426,0.0130447
135,0,0,0,0,0.00639567,0.00784425,0,0,0,0.0310862,0.0216976,0.0208229,0.0052696,0,0,0.0080165,0,0.015088,0.00549043,0.0452083,0.0254311,0.0180571,0.0147247,0.0018798,0.0037761,0.0102485,0.0141949,0.0154133,0.0358333,0.00574117,0.00547584,0.00431521,0.0115797,0.0319188,0.00494498,0.00386457,0.00270672,0.0333654,0.0185035,0.0169499,0.013196,0.00737599,0,0,0.0381026,0,0.0108715,0.0204369,0.0377888,0.016158,0.0283664,0.0159934,0.00937859,0.0191713,0.0132765,0,0,0.0122436,0.0111768,0.0196303,0.0412059,0.0147755,0.0132422,0.0105503,0.0109841,0.00749447,0,0,0,0.0216014,0.0130786
136,0,0,0,0,0.00639351,0.00803963,0,0,0,0.0333943,0.0215834,0.0223795,0.0044418,0,0,0.00835708,0,0.0151563,0.00581298,0.0452091,0.0265709,0.0192896,0.0151676,0.0011482,0.00371868,0.0138429,0.0166,0.017767,0.0375857,0.00610145,0.00670392,0.00507033,0.0120455,0.0344151,0.00507455,0.00388996,0.00274513,0.032997,0.0183871,0.0169942,0.0126317,0.00667398,0,0,0.0371793,0,0.0109102,0.0203204,0.0383947,0.0155732,0.0281335,0.015444,0.00839251,0.0189541,0.0126891,0,0.0151867,0.011751,0.0117551,0.0187422,0.0404266,0.0152398,0.0132948,0.010558,0.0113417,0.00711082,0,0,0,0.0211918,0.0128131
137,0,0,0,0,0.00635761,0.00811834,0,0,0,0.0330717,0.0215501,0.022641,0.00387219,0,0,0.0085523,0,0.0151871,0.00586883,0.0441982,0.0267549,0.0211923,0.0151003,0.00271612,0.0037863,0.015275,0.0180152,0.0186077,0.0377594,0.0065171,0.00736719,0.00598332,0.0122498,0.0343403,0.00516183,0.00390705,0.00277021,0.0252213,0.0183022,0.0215971,0.010204,0.00648779,0,0,0.0367938,0,0.0109028,0.0203284,0.0423706,0.0183382,0.0259108,0.0139199,0.00786045,0.0189814,0.0120844,0.0177648,0.0117405,0.0148884,0.00962963,0.0167131,0.0260486,0.0154701,0.0132653,0.0106457,0.0113453,0.00695252,0,0,0,0.0214321,0.0123835
138,0,0,0,0,0.00657835,0.00836076,0,0,0,0.0326334,0.0214852,0.0234736,0.00387984,0,0,0.00876114,0,0.0152281,0.00598373,0.0442282,0.0289062,0.0217804,0.0153989,0.00425944,0.00372128,0.0162921,0.0191495,0.0192072,0.0381557,0.00664482,0.00692911,0.00651155,0.0122045,0.0340442,0.00519897,0.00395334,0.00277547,0.0259506,0.0182184,0.0220179,0.0102566,0.00599923,0,0,0.0360776,0,0.0109609,0.0203069,0.0428893,0.0188151,0.0259483,0.0138019,0.00738199,0.018763,0.0116689,0.0179892,0,0.0144444,0.00866168,0.0162068,0.0265787,0.0158506,0.0133144,0.0107715,0.0115584,0.00688095,0,0,0,0.0209969,0.0125806
