Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,LWRA,RTHI,RTIBI,RTIBA,
74,0,0,0,0,0.00640561,0.00368666,0,0,0,0.0305515,0.0205922,0.0137056,0.00762881,0,0,0.00448444,0,0.0155317,0.00233396,0.0390613,0.0207617,0.0198113,0.00402402,0.0055329,0.0100898,0.00507052,0.00451012,0.00547902,0.0325007,0.006787,0.00906911,0.00502873,0.00503486,0.0391288,0.000774774,0.00144405,0.0142583,0.0220822,0.0278571,0.00262636,0.0049397,0,0,0.00475826,0,0.0149064,0.00406614,0.0414935,0.0386426,0.0312332,0.0105066,0.0114059,0.00778036,0.0173758,0.00606746,0.00560148,0,0.0719007,0.0165306,0.0039249,0.00629604,0.00365219,0.004659,0.00771833,0,0,0,0.00470943,0.0062589,0.0210554,0.0376443,0
75,0,0,0,0,0.00645888,0.00342887,0,0,0,0.0295323,0.020552,0.0126444,0.0074135,0,0,0.00417895,0,0.0154987,0.0022552,0.0389604,0.0201311,0.0198293,0.00432732,0.00577765,0.0101376,0.00468153,0.00356499,0.00418587,0.0326252,0.00735436,0.00950728,0.00527784,0.00498607,0.0382063,0.00100989,0.00143151,0.011137,0.0220867,0.0274394,0.0023182,0.0049427,0,0,0.00518686,0,0.0149019,0.00419869,0.0414941,0.0397722,0.0314752,0.00870982,0.0106406,0.00760304,0.018512,0.00542716,0.00574108,0,0.0703783,0.014047,0.00398417,0.00637468,0.00377065,0.00450989,0.00762272,0,0,0,0.00467019,0.00593366,0.0209087,0.0379529,0
76,0,0,0,0,0.00623138,0.00303986,0,0,0,0.0281678,0.0205733,0.011829,0.00723708,0,0,0.00405642,0,0.0154761,0.00221332,0.0388417,0.0196551,0.019846,0.00485496,0.00621057,0.00996863,0.00424119,0.00238247,0.002963,0.0326253,0.0078358,0.00993257,0.00543155,0.00499716,0.037745,0.00128582,0.00143429,0.00895986,0.0220489,0.0263653,0.00210983,0.00477494,0,0,0.00490348,0,0.0148494,0.00397493,0.0413739,0.0400741,0.0314898,0.00652495,0.00984488,0.00727555,0.0184349,0.00513868,0.00712585,0,0.0691944,0.0117671,0.00387872,0.00596603,0.00365128,0.004195,0.00724343,0,0,0,0.00466788,0.00566047,0.0198261,0.0376891,0
77,0,0,0,0,0.00575329,0.00264609,0,0,0,0.0264948,0.0206057,0.0115343,0.0070509,0,0,0.00409823,0,0.0154589,0.00219793,0.0387381,0.0193594,0.0197603,0.00569455,0.00667479,0.0096572,0.00384655,0.00117126,0.0024791,0.0325872,0.00832944,0.0103077,0.00560331,0.00509857,0.037604,0.00167978,0.00141729,0.00762237,0.0220459,0.0255739,0.00203932,0.00450386,0,0,0.00440316,0,0.0148369,0.00374762,0.0411679,0.0400464,0.0313378,0.00629904,0.00907495,0.0068751,0.0179109,0.00529664,0.0086727,0,0.0697384,0.00896687,0.00372918,0.00547707,0.00350422,0.00387081,0.00663145,0,0,0,0.00465688,0.0057584,0.0189207,0.0369704,0
78,0,0,0,0,0.00622605,0.00161008,0,0,0,0.0242924,0.0204841,0.0116722,0.00683993,0,0,0.00382476,0,0.0156584,0.00206513,0.0385994,0.0191235,0.0194392,0.00705831,0.00676939,0.0094663,0.00360758,0.00130019,0.00311146,0.0324284,0.00885363,0.0105814,0.00582078,0.00519128,0.0376072,0.00265009,0.00111448,0.0082506,0.0228818,0.0254398,0.00210911,0.00495752,0,0,0.0151711,0,0.0159728,0.0080881,0.0407342,0.0399109,0.0312579,0.00858284,0.00866069,0.00956915,0.0173477,0.00538742,0.00926838,0,0.0715842,0.006569,0.00551798,0.0100391,0.00652559,0.00409135,0.00648154,0,0,0,0.00473439,0.00609848,0.0188172,0.0363662,0
79,0,0,0,0,0.00421595,0.00221792,0,0,0,0.0220161,0.0202983,0.0118567,0.00673358,0,0,0.00355905,0,0.0158458,0.00201626,0.0382601,0.0192159,0.0193267,0.00874177,0.0079978,0.00829697,0.00374308,0.00290268,0.0049989,0.0321931,0.00924745,0.0104295,0.00623327,0.0051227,0.0372935,0.00234991,0.00106919,0.00903122,0.0218386,0.024788,0.00211238,0.00395119,0,0,0.003667,0,0.0144666,0.00288369,0.0400992,0.0389741,0.0311636,0.0114369,0.00723559,0.00582292,0.0167365,0.00593242,0.00867869,0,0.0723185,0.00633769,0.00324304,0.00382242,0.00265359,0.003029,0.00493302,0,0,0,0.00450922,0.00632516,0.0183039,0.0362276,0
80,0,0,0,0,0.00375329,0.0016865,0,0,0,0.0195212,0.0204292,0.012669,0.00650136,0,0,0.00342966,0,0.0157337,0.0019362,0.0379303,0.0195725,0.0190877,0.0105076,0.00905261,0.00784172,0.00430356,0.0046601,0.00756944,0.0323067,0.00957363,0.010399,0.00678883,0.00509886,0.0372027,0.00277195,0.000902587,0.0200625,0.0220276,0.0253902,0.00242295,0.00352397,0,0,0.00294166,0,0.0146397,0.00241432,0.039831,0.0340311,0.0313561,0.0248091,0.00587441,0.00526719,0.020574,0.0117188,0.00449557,0,0,0.0142712,0.00283487,0.00355635,0.00285724,0.00241467,0.00420668,0,0,0,0.00448697,0.00683258,0.0153426,0.0347474,0
81,0,0,0,0,0.0036616,0.00154909,0,0,0,0.0173851,0.020778,0.0137634,0.00613004,0,0,0.00348587,0,0.015357,0.00189335,0.0375385,0.0202445,0.018747,0.0116832,0.00944277,0.00727165,0.00515797,0.00654304,0.00987105,0.0323572,0.00956726,0.010294,0.00731645,0.0051903,0.0360435,0.0028973,0.000980704,0.0196139,0.022163,0.0248784,0.00269293,0.00320293,0,0,0.00251311,0,0.0147127,0.00212296,0.0384035,0.033149,0.0316432,0.0238451,0.00533512,0.00482465,0.0205743,0.0116835,0.00460615,0,0,0.0133403,0.00256053,0.00331671,0.00301633,0.0021681,0.00373693,0,0,0,0.00455638,0.00719969,0.0143581,0.0347755,0
82,0,0,0,0,0.00354831,0.00172565,0,0,0,0.0175789,0.0209153,0.0152112,0.00564806,0,0,0.00327421,0,0.0153235,0.00183047,0.037324,0.021138,0.0184218,0.0124425,0.00970122,0.00634591,0.00595733,0.00829393,0.0120699,0.0324992,0.00944997,0.0105692,0.0076988,0.00546178,0.0343404,0.00279732,0.000894255,0.0207971,0.0222295,0.0249456,0.00299516,0.00295887,0,0,0.00251716,0,0.0146566,0.00194373,0.0370163,0.0319287,0.0318891,0.0217077,0.00485169,0.00452813,0.0208072,0.0115062,0.00508508,0,0,0.0140541,0.00244515,0.00303888,0.0030639,0.00209637,0.00327624,0,0,0,0.00456206,0.00760748,0.0134519,0.0345601,0
83,0,0,0,0,0.00404412,0.00177498,0,0,0,0.0332697,0.0206343,0.0198122,0.00606045,0,0,0.00257673,0,0.0157703,0.00169496,0.0370159,0.015959,0.0194409,0.0257747,0.00868773,0.00591308,0.00553013,0.0210606,0.0165246,0.0328839,0.0182916,0.0235907,0.0131948,0.00864557,0.0381088,0.00221854,0.000877852,0.0205648,0.0218987,0.0235958,0.0039174,0.00427534,0,0,0.002919,0,0.0145523,0.0025565,0.0358391,0.0290742,0.0317129,0.0187828,0.00502174,0.00492993,0.0204021,0.0106111,0.00504145,0,0,0.0138001,0.00317004,0.00313762,0.00294563,0.00240091,0.00461529,0,0,0,0.0044264,0.00750237,0.011794,0.0336544,0
84,0,0,0,0,0.0036129,0.0018357,0,0,0,0.0383098,0.0206265,0.021036,0.00514127,0,0,0.00199311,0,0.0159773,0.00162496,0.0371866,0.0166078,0.0192041,0.0264901,0.00846904,0.00484134,0.00673904,0.0237401,0.0183125,0.0332003,0.0186521,0.0258287,0.0134279,0.00921146,0.0422724,0.0020099,0.000719611,0.0203171,0.0219272,0.0225188,0.00371442,0.00394594,0,0,0.00296447,0,0.014472,0.00235341,0.0357975,0.0273057,0.0315623,0.0173912,0.00494483,0.00458411,0.0203588,0.010024,0.00550122,0,0,0.0134409,0.0029943,0.0028814,0.00286124,0.00258619,0.00417404,0,0,0,0.00442119,0.00761289,0.0111288,0.0333052,0
85,0,0,0,0,0.00307982,0.00208983,0,0,0,0.0436461,0.0208089,0.0223092,0.00413633,0,0,0.00167641,0,0.015961,0.00151271,0.037331,0.0182912,0.018833,0.0264075,0.00810124,0.00407107,0.00808034,0.0258774,0.0197614,0.0336967,0.0187906,0.0275508,0.0134457,0.0100082,0.0470241,0.00200235,0.000605624,0.0197745,0.0219627,0.021537,0.00303001,0.00360007,0,0,0.00331447,0,0.0144244,0.00193951,0.0363713,0.0258981,0.0314532,0.0170809,0.00492759,0.00410549,0.0202287,0.00942382,0.00573168,0,0,0.0127127,0.00259004,0.00249235,0.00275509,0.00299241,0.00359604,0,0,0,0.0044164,0.00740717,0.0107144,0.0330801,0
86,0,0,0,0,0.00259964,0.00247872,0,0,0,0.0486195,0.021027,0.023836,0.00321694,0,0,0.00152521,0,0.0159194,0.00147387,0.0374493,0.0209656,0.0184098,0.0259256,0.00766784,0.00345859,0.00944543,0.0273665,0.0208033,0.034339,0.0189107,0.0290837,0.0134987,0.0109837,0.0512372,0.00207891,0.000538862,0.019296,0.0220056,0.020824,0.0024663,0.0032914,0,0,0.00397019,0,0.0143988,0.00159309,0.0371587,0.0248502,0.0314287,0.0168385,0.00487601,0.00364017,0.0199919,0.00873909,0.00577601,0,0,0.0119951,0.00216277,0.00211059,0.00264123,0.0035291,0.00297117,0,0,0,0.00439239,0.00704512,0.010419,0.0331142,0
87,0,0,0,0,0.00459461,0.00293509,0,0,0,0.0528033,0.021297,0.0256043,0.00250868,0,0,0.0020145,0,0.0157792,0.00175131,0.0375787,0.0239528,0.0177768,0.0252871,0.00650217,0.00424328,0.0107367,0.0286376,0.0213896,0.0349621,0.0190573,0.030508,0.0137616,0.01206,0.0552278,0.00312839,0.000580603,0.0184456,0.0232166,0.0202876,0.00198436,0.00400403,0,0,0.0129084,0,0.0161175,0.00734168,0.0378258,0.0243667,0.0315657,0.0154703,0.00541857,0.00701503,0.0193676,0.00777918,0.00607262,0,0,0.010968,0.00484516,0.00773033,0.00679529,0.0047768,0.00318604,0,0,0,0.00437286,0.00671474,0.0102054,0.0335246,0
88,0,0,0,0,0.00172637,0.00360629,0,0,0,0.056041,0.0211742,0.02749,0.00207376,0,0,0.00116839,0,0.0158876,0.00105452,0.0376653,0.0270377,0.0173437,0.0244315,0.00646415,0.00291721,0.0116189,0.0293453,0.0213459,0.035326,0.0190364,0.0314151,0.0142747,0.0132905,0.0601288,0.00206331,0.000486791,0.018391,0.0218211,0.0203637,0.00193205,0.00346403,0,0,0.00787192,0,0.0141454,0.00179528,0.0382266,0.0242428,0.0314193,0.0137347,0.00463428,0.00351374,0.0185212,0.0069132,0.00647576,0,0,0.0108397,0.00156728,0.00217387,0.00195527,0.0044744,0.002347,0,0,0,0.00427719,0.00657204,0.0104978,0.0334022,0
89,0,0,0,0,0.00159109,0.00402235,0,0,0,0.0595337,0.0212836,0.0290487,0.00190766,0,0,0.00151552,0,0.0159326,0.00103988,0.0377019,0.0298737,0.0168789,0.0235478,0.00551401,0.00284334,0.0121717,0.0297152,0.0207117,0.0353447,0.0188376,0.0318609,0.014803,0.0145703,0.0672167,0.00205706,0.000575959,0.0189665,0.0218235,0.0207638,0.00177929,0.00354814,0,0,0.0079083,0,0.014248,0.00173369,0.0382574,0.0242654,0.0308873,0.0126297,0.00423149,0.00327273,0.0178961,0.00664616,0.00707918,0,0,0.0112754,0.00148441,0.00211741,0.00189151,0.00453924,0.00239406,0,0,0,0.00426499,0.00659951,0.0110618,0.0314684,0
90,0,0,0,0,0.00203104,0.0052161,0,0,0,0.0592485,0.0216688,0.0321501,0.00464116,0,0,0.00289956,0,0.0158824,0.00179145,0.0379632,0.0365169,0.0143393,0.0129261,0.00578929,0.00331871,0.0092427,0.0155828,0.0197806,0.0362345,0.00585623,0.0156391,0.00861968,0.0144363,0.0657715,0.00282849,0.000847564,0.0195512,0.0221906,0.0208995,0.00116556,0.00347294,0,0,0.0095728,0,0.0143939,0.00273057,0.0378854,0.0243665,0.0307197,0.0135172,0.00239125,0.00405324,0.0184392,0.0069638,0.00732982,0,0,0.0118084,0.00222403,0.00200916,0.00189474,0.00503515,0.00272968,0,0,0,0.00433839,0.00722153,0.011057,0.0314801,0
91,0,0,0,0,0.00230761,0.00570488,0,0,0,0.0646795,0.0217961,0.0339816,0.00377776,0,0,0.00309336,0,0.0159637,0.00195969,0.0380452,0.0365028,0.0148172,0.0130689,0.00716587,0.00346837,0.00945505,0.015669,0.019732,0.0371958,0.00627582,0.0163121,0.00878177,0.0153363,0.0731495,0.0028714,0.000864201,0.0162993,0.0222899,0.0174147,0.00391544,0.00340795,0,0,0.00819084,0,0.01454,0.00257432,0.0375673,0.0220106,0.0324435,0.0313208,0.00314408,0.00381084,0.0248829,0.013943,0.00626409,0,0,0.00881996,0.00239577,0.00166443,0.00220122,0.00570322,0.00282598,0,0,0,0.00433749,0.00667262,0.0092786,0.0423606,0
92,0,0,0,0,0.00215437,0.00451017,0,0,0,0.0734098,0.0215039,0.0343676,0.00138619,0,0,0.0011369,0,0.0158762,0.000727572,0.0379414,0.0319659,0.0173453,0.0219087,0.00799961,0.00246701,0.0137193,0.029165,0.0189876,0.0376875,0.0182785,0.0321918,0.0156171,0.0167558,0.0864489,0.00149983,0.000711729,0.0306336,0.0217233,0.0268597,0.0102929,0.00374879,0,0,0.00570775,0,0.0146239,0.00116672,0.036647,0.0282254,0.0362921,0.056651,0.00590609,0.00262215,0.0362866,0.0295466,0.0216769,0,0,0.0329243,0.00137379,0.0017343,0.00200498,0.00557116,0.00319716,0,0,0,0.00433951,0.0146982,0.0382244,0.06944,0
93,0,0,0,0,0.00288394,0.00763036,0,0,0,0.0726869,0.0224957,0.0384933,0.00188117,0,0,0.00325317,0,0.0148666,0.00164485,0.0372804,0.0356091,0.0166623,0.0139749,0.0140832,0.0041269,0.0105794,0.0160182,0.0206598,0.0398222,0.00761267,0.0183849,0.0106815,0.0165427,0.0835104,0.0030808,0.00137165,0.0510525,0.0223176,0.0459227,0.0138027,0.00467676,0,0,0.0106746,0,0.0143942,0.00383171,0.036443,0.044614,0.0363704,0.06585,0.0101514,0.00487096,0.0403452,0.0349547,0.028728,0,0,0.0515766,0.00389967,0.00291827,0.00190101,0.00804107,0.00392488,0,0,0,0.00459755,0.0193046,0.0540695,0.0791238,0
94,0,0,0,0,0.00293188,0.00787663,0,0,0,0.075635,0.0227451,0.0401593,0.00148733,0,0,0.00317655,0,0.014711,0.00164083,0.0368345,0.0352707,0.0161849,0.0134811,0.0139926,0.00437997,0.0103575,0.0162183,0.0205296,0.0395403,0.00785178,0.0192221,0.011693,0.0173756,0.0873131,0.00310098,0.00157565,0.0515182,0.0222499,0.0459156,0.013647,0.00489529,0,0,0.0107571,0,0.0143863,0.00390075,0.0362603,0.044444,0.0357072,0.0649847,0.0106337,0.00472935,0.0401037,0.034554,0.0285871,0,0,0.0517733,0.00391245,0.00316338,0.00177597,0.00851494,0.00408651,0,0,0,0.00472752,0.0192234,0.0539287,0.0781099,0
95,0,0,0,0,0.00169324,0.00710414,0,0,0,0.0798049,0.0225053,0.0378993,0.00216987,0,0,0.00182948,0,0.0149539,0.00112151,0.0369815,0.0279361,0.0184356,0.0217912,0.0117798,0.0035278,0.0147206,0.0310777,0.0176803,0.0370693,0.0198042,0.0354763,0.017858,0.0186122,0.0976019,0.0021783,0.00149918,0.0484799,0.0218291,0.0432604,0.0129505,0.00542045,0,0,0.00846156,0,0.0140647,0.00230224,0.0365089,0.0415979,0.0350165,0.0628828,0.00978423,0.00399445,0.0397124,0.0339375,0.0277656,0,0,0.0489165,0.00226644,0.00321793,0.00161151,0.00851788,0.00448631,0,0,0,0.0045817,0.0183766,0.0513808,0.0760363,0
96,0,0,0,0,0.00730684,0.00724626,0,0,0,0.0792812,0.0234042,0.0424595,0.00285426,0,0,0.0139978,0,0.014841,0.00718589,0.0364241,0.0354899,0.0143403,0.011652,0.00924572,0.00656541,0.0101989,0.0168707,0.0199705,0.0379029,0.00807877,0.0208144,0.01272,0.0180132,0.0940408,0.00906786,0.00180398,0.0450637,0.0243261,0.0414921,0.0118747,0.0123939,0,0,0.0213595,0,0.016988,0.0110864,0.0360944,0.0351781,0.0352525,0.0605589,0.00870011,0.0105098,0.0389473,0.0326667,0.0265173,0,0,0.0476085,0.00579486,0.00629903,0.00954714,0.0118525,0.0110891,0,0,0,0.00511049,0.0166991,0.0493158,0.0769119,0
97,0,0,0,0,0.0020967,0.00729337,0,0,0,0.0819702,0.0226622,0.0398347,0.00129689,0,0,0.00202857,0,0.0149318,0.0011444,0.0367329,0.0272235,0.017771,0.0200406,0.012209,0.00391615,0.0140037,0.0300732,0.0169254,0.0355308,0.018964,0.0354476,0.0180148,0.0189572,0.100976,0.00192224,0.00155316,0.0521923,0.0217882,0.0465656,0.0123791,0.00597564,0,0,0.00773037,0,0.0142042,0.0021115,0.0367963,0.0441526,0.0336512,0.0619711,0.0109477,0.00343682,0.0384681,0.0335205,0.028138,0,0,0.0519276,0.00240657,0.00309391,0.00150119,0.0092106,0.00510545,0,0,0,0.00456006,0.0184487,0.0524977,0.0745782,0
98,0,0,0,0,0.00246762,0.00788413,0,0,0,0.0798767,0.0230618,0.04396,0.00279205,0,0,0.0032679,0,0.0146741,0.00177218,0.0359458,0.0366605,0.014459,0.0127143,0.0144191,0.00531801,0.0102165,0.0163917,0.0200879,0.0367161,0.00771159,0.020305,0.012946,0.0184558,0.0951996,0.00249658,0.00176449,0.0557827,0.0221998,0.0494742,0.0123882,0.00572749,0,0,0.00855831,0,0.0141201,0.00287271,0.0366304,0.0464375,0.032661,0.0616664,0.0131055,0.00469786,0.0378318,0.0313909,0.0282608,0,0,0.0547729,0.00330426,0.00303647,0.00173075,0.00946392,0.00472466,0,0,0,0.00476678,0.0194117,0.0540567,0.0738999,0
99,0,0,0,0,0.00244324,0.00778697,0,0,0,0.078724,0.0230068,0.0433606,0.00305407,0,0,0.00348048,0,0.014779,0.00189938,0.0358307,0.0353421,0.0144067,0.012785,0.0145459,0.00547287,0.0101992,0.0165499,0.0202252,0.0357479,0.00738651,0.0201341,0.0125086,0.0185197,0.0939944,0.00242805,0.00171387,0.0572467,0.0222438,0.0507023,0.0122815,0.00591261,0,0,0.00743746,0,0.013974,0.00239826,0.0366671,0.0473908,0.031712,0.0607289,0.0139617,0.00503337,0.0378695,0.0300638,0.0278884,0,0,0.0559392,0.00317073,0.00293108,0.00192388,0.00946252,0.00500362,0,0,0,0.0046288,0.01964,0.054395,0.0734264,0
100,0,0,0,0,0.00194793,0.00719977,0,0,0,0.0803204,0.0225975,0.0395332,0.00190878,0,0,0.00271345,0,0.0152364,0.00150644,0.0365821,0.0245204,0.0169582,0.0172548,0.0124965,0.00483173,0.0121675,0.0271285,0.0167408,0.0326207,0.0168463,0.0334612,0.0169192,0.0183847,0.0987592,0.00159565,0.0014655,0.0471374,0.0217011,0.0402665,0.0116185,0.00591003,0,0,0.00605777,0,0.0141553,0.00149403,0.0365429,0.0350601,0.0309709,0.0543,0.0129301,0.0040664,0.0358694,0.0255206,0.0245257,0,0.0324039,0.0466576,0.00242438,0.00280142,0.00169239,0.00938422,0.00538597,0,0,0,0.00444808,0.0180026,0.0455588,0.0773147,0
101,0,0,0,0,0.00261569,0.00791373,0,0,0,0.0761031,0.0231822,0.0433206,0.0045115,0,0,0.00381805,0,0.0149609,0.00184463,0.0357646,0.036973,0.0132344,0.0152167,0.0146835,0.00626681,0.0117362,0.0165454,0.021791,0.0336764,0.005642,0.0166914,0.0112765,0.0178192,0.0895034,0.00232263,0.00189302,0.0505931,0.0220661,0.042717,0.0119876,0.00559429,0,0,0.00746104,0,0.0142749,0.00273375,0.0365528,0.0369664,0.0298955,0.0538,0.0152825,0.0052568,0.0358247,0.0250912,0.024546,0,0.0334912,0.0496782,0.00390934,0.00263797,0.00183858,0.00952452,0.00523168,0,0,0,0.00473638,0.0179421,0.0469706,0.0762002,0
102,0,0,0,0,0.00235713,0.00772734,0,0,0,0.07371,0.0232678,0.041951,0.00509823,0,0,0.0034198,0,0.0148786,0.00170236,0.0357933,0.0362512,0.0129813,0.015856,0.0140357,0.00659197,0.0123196,0.0168789,0.0219899,0.0326101,0.00507652,0.0152919,0.0104129,0.0174756,0.0865337,0.00222619,0.00207537,0.0526895,0.022104,0.0441997,0.0119781,0.00547655,0,0,0.0067583,0,0.0141881,0.00245601,0.0369908,0.0383919,0.0291872,0.0532835,0.0156583,0.00571513,0.0361948,0.0250031,0.0247695,0,0.0338393,0.0515708,0.00402821,0.0026266,0.00194192,0.00928465,0.00511561,0,0,0,0.00480291,0.0176542,0.0476667,0.0754441,0
103,0,0,0,0,0.00176957,0.00709169,0,0,0,0.0755112,0.0228992,0.037123,0.00421706,0,0,0.00204276,0,0.0149473,0.00136014,0.0363369,0.0225318,0.0159089,0.0114505,0.0112824,0.00600425,0.0100702,0.0217358,0.0164318,0.0299271,0.01195,0.0279303,0.0141835,0.0169015,0.0915288,0.00157244,0.00204406,0.0536673,0.0217381,0.045448,0.0115447,0.00510167,0,0,0.00511933,0,0.0142206,0.00141926,0.037336,0.0399181,0.0287943,0.052912,0.0143514,0.0051416,0.0364249,0.0252474,0.0249246,0,0.0339091,0.0525862,0.00320078,0.00258635,0.00175132,0.00905402,0.00500389,0,0,0,0.00468872,0.016695,0.0478282,0.0748811,0
104,0,0,0,0,0.00249344,0.0077605,0,0,0,0.0690691,0.0229896,0.0401546,0.00700938,0,0,0.00295345,0,0.0148434,0.00183153,0.0363105,0.0361886,0.0125501,0.0183039,0.0131086,0.0074379,0.0141011,0.0182597,0.0228656,0.0308405,0.00496506,0.011834,0.00867128,0.0166151,0.080232,0.00221965,0.00219078,0.0575168,0.0220226,0.0482807,0.0119938,0.00546995,0,0,0.00739829,0,0.014117,0.00264213,0.0373453,0.0428891,0.0276405,0.052657,0.0164509,0.00643218,0.0362036,0.024746,0.0252944,0,0.0355594,0.0559713,0.00447843,0.00273379,0.00165664,0.00918446,0.00491551,0,0,0,0.00474041,0.0165955,0.0490925,0.0736932,0
105,0,0,0,0,0.00388916,0.00697763,0,0,0,0.0687791,0.0232262,0.0378425,0.00726356,0,0,0.00582135,0,0.0145284,0.00245941,0.0364855,0.0303641,0.0132591,0.0122675,0.0116658,0.00694167,0.0118558,0.016367,0.0196625,0.0292378,0.00286345,0.0154189,0.0094663,0.0158904,0.0807601,0.0038487,0.00228678,0.0596103,0.0233801,0.0502702,0.0119907,0.00501741,0,0,0.0128581,0,0.0165001,0.00871825,0.0375431,0.0452719,0.0270035,0.0524165,0.0158677,0.00913923,0.0362368,0.0246858,0.0256256,0,0.0370945,0.0578126,0.00706161,0.0061681,0.00675479,0.00925341,0.00671316,0,0,0,0.00482198,0.0174475,0.0497925,0.073219,0
106,0,0,0,0,0.00276893,0.00743117,0,0,0,0.0649099,0.022882,0.0370894,0.00839058,0,0,0.00261799,0,0.0148151,0.00163595,0.0371134,0.0328094,0.0121087,0.0173922,0.0117829,0.00753415,0.0150798,0.0188441,0.0222634,0.0288372,0.00449027,0.0106261,0.00727534,0.0157834,0.0754755,0.00208653,0.00219773,0.0496559,0.0219449,0.0412118,0.0120532,0.00503435,0,0,0.00655304,0,0.0143788,0.00259964,0.0381802,0.0373126,0.0262722,0.0466387,0.016111,0.00588642,0.032417,0.0206412,0.0223365,0,0.0308432,0.0476905,0.00468867,0.00225629,0.00144163,0.00891067,0.00489842,0,0,0,0.00463281,0.0154251,0.0422212,0.07869,0
107,0,0,0,0,0.00260308,0.00707793,0,0,0,0.0614011,0.0227257,0.0356043,0.00943046,0,0,0.00205523,0,0.0148589,0.0014594,0.0379436,0.0330879,0.0115197,0.0204937,0.0113154,0.00740168,0.0175247,0.0216142,0.0238999,0.028406,0.00661087,0.00767544,0.00596091,0.0155159,0.0709707,0.00187333,0.0021908,0.0405986,0.0217292,0.0333782,0.0120664,0.00508951,0,0,0.0070487,0,0.0142536,0.00238183,0.0388314,0.0311181,0.0257615,0.0415486,0.0158011,0.00586355,0.0291335,0.0172157,0.0196259,0,0.0253996,0.0387036,0.00454455,0.00261771,0.00114736,0.00839027,0.00465012,0,0,0,0.00463824,0.0135234,0.0356182,0.0836853,0
108,0,0,0,0,0.00379225,0.0058588,0,0,0,0.0586877,0.0230191,0.0333908,0.0105289,0,0,0.0082355,0,0.014559,0.00371121,0.0386512,0.0307981,0.011568,0.0207624,0.0102616,0.00594051,0.018536,0.0230075,0.0240263,0.0279197,0.00730785,0.00682988,0.00599349,0.0152238,0.0672038,0.00585188,0.001995,0.0360042,0.0234178,0.0297794,0.0119328,0.00697904,0,0,0.0170573,0,0.016621,0.0101682,0.0393105,0.0277547,0.0252825,0.0386624,0.0146685,0.00916818,0.0272728,0.0153899,0.0183765,0,0.0232087,0.0346886,0.00752607,0.00765452,0.00724986,0.00888517,0.00755646,0,0,0,0.00478532,0.0127969,0.0322772,0.0865366,0
109,0,0,0,0,0.00368425,0.00575043,0,0,0,0.0552714,0.0224685,0.0308031,0.0111467,0,0,0.00934842,0,0.0151564,0.00413072,0.0394931,0.0278659,0.011581,0.0207975,0.00999313,0.00563497,0.0192539,0.024165,0.0237032,0.0270595,0.00804163,0.00650186,0.00608221,0.0149201,0.0633784,0.0066481,0.001531,0.0280561,0.0233834,0.0236591,0.0118668,0.00744863,0,0,0.0181507,0,0.0166217,0.0105481,0.0398445,0.0240329,0.0249041,0.0346714,0.0140804,0.00920966,0.0246017,0.0132485,0.0166415,0,0.0206565,0.0276323,0.00756245,0.00798429,0.00737345,0.00910799,0.00775588,0,0,0,0.00463289,0.0119485,0.0272893,0.0915445,0
110,0,0,0,0,0.00394908,0.00551052,0,0,0,0.0514788,0.0222062,0.0283442,0.0117051,0,0,0.0101946,0,0.0154953,0.00466184,0.0404331,0.0251956,0.0116049,0.0206117,0.00961992,0.005014,0.0200467,0.0249719,0.0229068,0.0260964,0.00874365,0.00660009,0.0063954,0.014793,0.0591555,0.00718798,0.00134768,0.0231773,0.0233582,0.0202649,0.0115995,0.00797843,0,0,0.0192252,0,0.0166281,0.0110074,0.0401674,0.0228293,0.0245433,0.0320478,0.0131939,0.00954947,0.0229611,0.0121051,0.0157069,0,0.0204234,0.0238302,0.00762167,0.00828203,0.00747623,0.00922078,0.00809934,0,0,0,0.00472307,0.0104217,0.0242938,0.0951874,0
111,0,0,0,0,0.0118906,0.00744061,0,0,0,0.0461249,0.0203367,0.023439,0.0117845,0,0,0.0171964,0,0.0168334,0.00972544,0.0415768,0.0191293,0.0121131,0.0188631,0.00749538,0.0153245,0.0216291,0.0252593,0.0226115,0.0254427,0.00809451,0.00520945,0.0046137,0.0157968,0.0540775,0.015719,0.00217249,0.0491152,0.0199862,0.0392203,0.00990619,0.0116327,0,0,0.0218303,0,0.0174203,0.0127102,0.0382323,0.0334158,0.0266049,0.039442,0.00679352,0.00830087,0.0319671,0.0173943,0.0205112,0,0.0245675,0.0477349,0.00637977,0.011336,0.0107256,0.00782335,0.00923714,0,0,0,0.00604988,0.0149965,0.0364178,0.0826352,0
