Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,LWRA,RTHI,RTIBI,RTIBA,
17,0,0,0,0,0.00206959,0.00341108,0,0,0,0.0229121,0.0212394,0.0163475,0.00305411,0,0,0.00530106,0,0.0159389,0.00216136,0.0430069,0.0178158,0.0192423,0.00991184,0.00438807,0.00818259,0.00241009,0.00748249,0.00864079,0.0274232,0.00755566,0.00829599,0.00528801,0.0121965,0.0227068,0.0039993,0.00168638,0.0209231,0.0226234,0.021646,0.00382425,0.00672818,0,0,0.013647,0,0.0163708,0.00665781,0.0429229,0.0372337,0.0176135,0.0168756,0.00944095,0.00378719,0.0146973,0.0136664,0.0128188,0.02492,0.0332408,0.0376243,0.00753358,0.0081677,0.00383452,0.00482266,0.00492075,0,0,0,0.00404115,0.00702844,0.0215667,0.0357791,0
18,0,0,0,0,0.00208125,0.00317166,0,0,0,0.0195689,0.0212622,0.0144682,0.00304069,0,0,0.00536792,0,0.0159131,0.00214178,0.042788,0.0167466,0.0192804,0.0107726,0.00442965,0.00808036,0.0019477,0.00795092,0.00825089,0.0260759,0.00767758,0.00828508,0.00495141,0.0120422,0.0190094,0.0039317,0.00165089,0.0204408,0.022534,0.023963,0.0042045,0.00697562,0,0,0.0140564,0,0.0163414,0.00682955,0.0428601,0.0397652,0.0172023,0.0182228,0.00971302,0.0040449,0.014884,0.0144205,0.0129305,0.0257835,0.0343375,0.0373716,0.00755922,0.00840282,0.00392812,0.00462969,0.00508126,0,0,0,0.00411063,0.00684381,0.0231862,0.0359755,0
19,0,0,0,0,0.0019534,0.0027093,0,0,0,0.0164635,0.0213013,0.0122379,0.00305671,0,0,0.00529626,0,0.0158663,0.00204181,0.0426068,0.0156742,0.0194589,0.011964,0.00431032,0.00816294,0.00305853,0.00965822,0.00901,0.025547,0.00733446,0.00830961,0.00492441,0.0119462,0.0156884,0.0038554,0.00160798,0.0195085,0.0225225,0.0253276,0.00471163,0.00720574,0,0,0.0141188,0,0.0163126,0.00686107,0.0426754,0.0409346,0.0166314,0.0192209,0.00991841,0.00426413,0.0153062,0.0146304,0.012587,0.0256691,0.0343422,0.0362952,0.00749708,0.00861507,0.00403054,0.00419619,0.00507463,0,0,0,0.00410545,0.00635588,0.0237385,0.0356567,0
20,0,0,0,0,0.00177678,0.00232633,0,0,0,0.014276,0.0212582,0.0106143,0.0032019,0,0,0.00531298,0,0.0158405,0.00199143,0.0424606,0.0152292,0.0196657,0.0121131,0.00429824,0.00831808,0.00442264,0.011712,0.0101234,0.0258006,0.00716099,0.00852759,0.00514993,0.0120121,0.0135007,0.00392763,0.00168392,0.0172997,0.0225056,0.0247924,0.00483722,0.00758306,0,0,0.0141069,0,0.0163029,0.00682277,0.0425396,0.0400128,0.0162471,0.0190664,0.00971286,0.00437152,0.0162241,0.0139031,0.0114201,0.0239031,0.0323363,0.0338655,0.00750961,0.00882049,0.00404045,0.00386976,0.00501029,0,0,0,0.00403477,0.00578669,0.0222007,0.0338904,0
21,0,0,0,0,0.001718,0.00220186,0,0,0,0.0128252,0.021194,0.00975241,0.00335825,0,0,0.00537138,0,0.0157649,0.00191064,0.0423409,0.0150972,0.0197085,0.011099,0.00426318,0.00852549,0.00492892,0.013154,0.0108352,0.0264077,0.00736986,0.00896813,0.00535333,0.0119833,0.0122229,0.00403901,0.00176025,0.0144965,0.0224667,0.0230265,0.00461609,0.00795492,0,0,0.0141302,0,0.0163006,0.00671557,0.0424176,0.0373967,0.0161107,0.0175173,0.00923904,0.00423316,0.0175181,0.012333,0.00948534,0.020636,0.0285066,0.0301355,0.00751189,0.00880248,0.00402103,0.00373259,0.00477757,0,0,0,0.00399232,0.00490232,0.0192258,0.030749,0
22,0,0,0,0,0.00190046,0.00210413,0,0,0,0.0119665,0.0214722,0.00922369,0.00336255,0,0,0.00527126,0,0.015748,0.00169205,0.0420666,0.0148948,0.0195571,0.0105208,0.00394202,0.00887961,0.00479467,0.0136542,0.0109838,0.0269495,0.00772133,0.00958692,0.00536398,0.0116002,0.0117131,0.00421251,0.001708,0.012894,0.0225013,0.0211247,0.00458581,0.00809044,0,0,0.0139053,0,0.0162266,0.00652185,0.0421229,0.033378,0.0159168,0.0149102,0.00888962,0.00396325,0.0191071,0.00983301,0.00692428,0.0161957,0.0231155,0.0252908,0.00731718,0.00776276,0.00408958,0.00353131,0.00424977,0,0,0,0.00407087,0.00367867,0.0155552,0.0268796,0
23,0,0,0,0,0.00230474,0.00219309,0,0,0,0.0113815,0.0215394,0.00867792,0.00311346,0,0,0.00490565,0,0.015981,0.00125062,0.0416516,0.0144116,0.0191927,0.0109576,0.0034264,0.0091812,0.00491245,0.0139355,0.0109128,0.0271475,0.00797573,0.0103882,0.0052845,0.0108889,0.011565,0.00429997,0.00119353,0.0155175,0.0226111,0.0202322,0.00460627,0.00811758,0,0,0.0137013,0,0.0161156,0.00644559,0.0417591,0.0285418,0.0156601,0.0117244,0.00873337,0.00365453,0.0206408,0.00677125,0.00411309,0.011382,0.0170446,0.0205897,0.00722824,0.00620746,0.00418654,0.00341049,0.00363509,0,0,0,0.00421089,0.00297248,0.0125783,0.0235657,0
24,0,0,0,0,0.00252763,0.00129537,0,0,0,0.0107382,0.0216753,0.00788911,0.00261464,0,0,0.00481032,0,0.0159611,0.00109053,0.0411789,0.013611,0.0189982,0.0116682,0.00285745,0.00936183,0.00569617,0.0144448,0.010832,0.0270374,0.00804688,0.0111258,0.00527229,0.0101686,0.011027,0.00446595,0.00127441,0.0181408,0.0222245,0.0216531,0.00484532,0.00729365,0,0,0.0076057,0,0.0154283,0.00424996,0.0413245,0.0269558,0.0153682,0.0102402,0.00896144,0.00243725,0.0218588,0.00524051,0.00281798,0.00836598,0.012836,0.0161108,0.00595512,0.00294516,0.00266929,0.00230368,0.00312798,0,0,0,0.00421295,0.00380309,0.0117948,0.0216728,0
25,0,0,0,0,0.00260497,0.00118915,0,0,0,0.0101911,0.0217374,0.00685525,0.00248784,0,0,0.00460453,0,0.016064,0.00097858,0.0407521,0.012672,0.0189006,0.0120691,0.00264707,0.00937067,0.00660807,0.0148133,0.0108773,0.0267983,0.00786748,0.0115766,0.00508717,0.00959565,0.0106266,0.00444011,0.00118364,0.0203627,0.022225,0.0222105,0.00512129,0.00715,0,0,0.00668279,0,0.0153345,0.0038684,0.0410841,0.0257449,0.0152452,0.010836,0.00871923,0.00243309,0.0216698,0.00466423,0.00339673,0.00756776,0.0118697,0.0119199,0.00565961,0.00276189,0.00249726,0.00197354,0.00308359,0,0,0,0.0042617,0.00500918,0.0119938,0.0212188,0
26,0,0,0,0,0.00204539,0.00143928,0,0,0,0.00956223,0.0217707,0.00590768,0.00267185,0,0,0.00522347,0,0.0161219,0.00124382,0.040597,0.011631,0.018958,0.0115086,0.00359746,0.00913545,0.00677354,0.0139333,0.0106481,0.02652,0.00731947,0.0112851,0.00479317,0.00934148,0.00992937,0.00483237,0.00116751,0.0308566,0.0220698,0.0292514,0.00641802,0.00691469,0,0,0.00687122,0,0.0151866,0.00417788,0.0423399,0.0359948,0.0167654,0.00975233,0.00705062,0.00307478,0.0169901,0.000967873,0.0113161,0.0179935,0.0265076,0.0209426,0.00616086,0.00289576,0.00230304,0.00167939,0.00271833,0,0,0,0.0041525,0.00940608,0.018297,0.0198632,0
