Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,RTHI
131,0,0,0,0,0.0147998,0.0149314,0,0,0,0.0307451,0.0217244,0.016368,0.00281948,0,0,0.0116275,0,0.0152745,0.00733489,0.035771,0.0231316,0.0269869,0.0226423,0.0192063,0.00802619,0.00919799,0.0156709,0.00937423,0.0284618,0.0148273,0.0160165,0.00997344,0.00845923,0.0330101,0.00651659,0.00378381,0.002884,0.0311563,0.0179609,0.0266034,0.00522306,0.00801807,0,0,0.0286136,0,0.0113401,0.0193883,0.0411149,0.0406923,0.0207881,0.02086,0.00968384,0.0161921,0.0159153,0.00628676,0.0130844,0.0209039,0.0123786,0.0215898,0.0288694,0.0184901,0.0160847,0.0125062,0.012866,0.0181444,0.00843907,0,0,0,0.0114089
132,0,0,0,0,0.0148885,0.0148395,0,0,0,0.029513,0.0218603,0.0162398,0.00264906,0,0,0.0114054,0,0.0151671,0.00727863,0.0360419,0.022224,0.0270179,0.0216866,0.0191541,0.0076028,0.00914587,0.0159175,0.00929585,0.0285348,0.0146152,0.0155378,0.00959249,0.00830387,0.0314167,0.00634087,0.00375858,0.00278611,0.0287185,0.01801,0.0249974,0.00442846,0.00832831,0,0,0.0290445,0,0.0113375,0.0194244,0.0409431,0.0411136,0.0204068,0.0222591,0.00989344,0.0159903,0.0157568,0.00750607,0.0128329,0.0217492,0.0119197,0.0225041,0.0302333,0.020682,0.0160723,0.0125283,0.0128161,0.0180157,0.00886475,0,0,0,0.0116373
133,0,0,0,0,0.0149042,0.0146917,0,0,0,0.0280468,0.0219765,0.0159663,0.00264593,0,0,0.0110713,0,0.0151003,0.00713198,0.0364757,0.0210903,0.0271194,0.0219414,0.0191592,0.00724749,0.00891315,0.015993,0.0092875,0.0286679,0.0144176,0.0155011,0.00942732,0.00797679,0.0296297,0.00606981,0.00375633,0.00273761,0.0262719,0.0181009,0.0230842,0.00386754,0.00859023,0,0,0.0295813,0,0.0113252,0.0194628,0.0407574,0.0404322,0.0199805,0.0239571,0.0100924,0.0158498,0.0158082,0.00848502,0.0129839,0.0224015,0.0115981,0.0224955,0.0314258,0.0234058,0.0160334,0.0125358,0.0127637,0.0178111,0.00910773,0,0,0,0.011738
134,0,0,0,0,0.0148347,0.0144992,0,0,0,0.0264579,0.0221162,0.0155744,0.00269646,0,0,0.0107013,0,0.0149947,0.0069552,0.0368736,0.0197336,0.0271755,0.022912,0.018914,0.00700811,0.0086931,0.0158699,0.00925158,0.0287044,0.0142982,0.0158195,0.00943158,0.00755321,0.0278401,0.0058052,0.00372238,0.00274719,0.0236131,0.0182285,0.0213704,0.00354903,0.0086821,0,0,0.0303447,0,0.011266,0.0195641,0.0406749,0.0395397,0.0196491,0.0253667,0.0103815,0.0158149,0.0161209,0.00920725,0.0136654,0.0228073,0.0115717,0.0223443,0.0320944,0.0276757,0.0159663,0.012532,0.0128204,0.0175554,0.0091337,0,0,0,0.0118947
135,0,0,0,0,0.0148184,0.0142811,0,0,0,0.0247928,0.0222054,0.0150891,0.00280578,0,0,0.0103176,0,0.0149386,0.00682055,0.037053,0.0185047,0.0271055,0.0236119,0.0183498,0.00695776,0.0085943,0.015625,0.00918589,0.0286361,0.0142721,0.0161051,0.009507,0.00720887,0.0260828,0.00560533,0.00372422,0.00276501,0.0215326,0.018388,0.0206981,0.00341411,0.00858953,0,0,0.0310904,0,0.011233,0.0196022,0.0408019,0.0395808,0.0196257,0.0255132,0.0108614,0.0158507,0.0162997,0.00985803,0.0146282,0.0228983,0.011861,0.0221606,0.0326404,0.0336595,0.0158574,0.0124258,0.0128661,0.0172538,0.00903719,0,0,0,0
136,0,0,0,0,0.0147927,0.0140416,0,0,0,0.0232413,0.0222628,0.0145567,0.00288881,0,0,0.00993312,0,0.0149151,0.00664735,0.0370106,0.0181745,0.0269369,0.0234974,0.017958,0.00709064,0.00854083,0.0153563,0.00909058,0.0285068,0.0143043,0.0161271,0.00954087,0.00702781,0.0244901,0.0053586,0.00373811,0.0028063,0.0214806,0.0185357,0.0205774,0.00377451,0.00844004,0,0,0.031913,0,0.011202,0.019592,0.040767,0.0401396,0.0196982,0.0242323,0.011663,0.0159209,0.016346,0.0103914,0.014123,0.022852,0.0122738,0.0218889,0.0328569,0.0381188,0.0156971,0.0122734,0.012688,0.0169212,0.00889076,0,0,0,0
137,0,0,0,0,0.0147913,0.013902,0,0,0,0.021728,0.0222814,0.0140016,0.00293307,0,0,0.00967264,0,0.0149277,0.00640091,0.0368688,0.0177201,0.0267354,0.0226953,0.0178275,0.0074781,0.00857488,0.0151911,0.00902766,0.0285367,0.0142764,0.0157962,0.0093874,0.00689972,0.0228404,0.00510336,0.00377853,0.00284506,0.0219638,0.0186579,0.0202546,0.00433448,0.00830086,0,0,0.0324895,0,0.0111976,0.0195289,0.0406562,0.0400484,0.0198859,0.0238809,0.0127337,0.0159581,0.0162124,0.0104418,0.0139479,0.0226826,0.0126615,0.0214071,0.0326043,0.0395303,0.0155437,0.0121718,0.012558,0.0166965,0.00875128,0,0,0,0
138,0,0,0,0,0.0147259,0.0138842,0,0,0,0.0202292,0.0222838,0.0135625,0.00291127,0,0,0.00952447,0,0.0149962,0.00613187,0.0367179,0.0172206,0.0265978,0.0216883,0.0178151,0.00810145,0.00864576,0.0151537,0.0090242,0.0287564,0.014203,0.0152713,0.00911506,0.00669066,0.0210368,0.00494307,0.00382499,0.00289053,0.0214847,0.0187762,0.0195424,0.00506915,0.0081511,0,0,0.032767,0,0.011217,0.0194745,0.0405312,0.0387095,0.020148,0.0245195,0.0138982,0.01597,0.0157894,0.010222,0.0150592,0.0226754,0.0129268,0.0208704,0.0321214,0.0383001,0.0153897,0.0121276,0.0126001,0.0166483,0.00857432,0,0,0,0
139,0,0,0,0,0.0147245,0.0139355,0,0,0,0.0186581,0.0221969,0.0131061,0.00295222,0,0,0.00938821,0,0.0150594,0.00597543,0.0366046,0.0168112,0.0265218,0.0211326,0.0178386,0.00892709,0.00865632,0.0151648,0.00905764,0.0290845,0.0141336,0.0147259,0.00876936,0.00641033,0.0190817,0.00491999,0.00389523,0.00294432,0.0204744,0.0188835,0.0190029,0.00599648,0.00798209,0,0,0.0329301,0,0.0112579,0.0194603,0.0403533,0.0364839,0.0203307,0.0256098,0.0149954,0.0159757,0.0152588,0.0100222,0.0154217,0.0228868,0.0130511,0.0203625,0.0315292,0.0362314,0.0152835,0.0121475,0.0126129,0.0167212,0.00831636,0,0,0,0
140,0,0,0,0,0.014797,0.0139684,0,0,0,0.0171357,0.0221134,0.0126784,0.00302273,0,0,0.00926152,0,0.0150989,0.00591512,0.0365719,0.016181,0.0264732,0.0212554,0.0177633,0.00980499,0.0086005,0.0151406,0.00916611,0.0293994,0.0141167,0.0143848,0.00850327,0.00600434,0.0170391,0.00496907,0.003953,0.00304564,0.0195661,0.0189713,0.0187488,0.00696861,0.00776827,0,0,0.0330403,0,0.0112658,0.0194276,0.0400094,0.034074,0.0204223,0.02679,0.0158189,0.0159715,0.0148621,0.00988055,0.0143329,0.0232569,0.0131626,0.0200091,0.0309369,0.0341216,0.0151918,0.0121322,0.0124736,0.0167985,0.00798282,0,0,0,0
