Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,RTHI
151,0,0,0,0,0.0158144,0.0140998,0,0,0,0.00682284,0.0218838,0.0101694,0.00480269,0,0,0.00762667,0,0.0153148,0.00591575,0.0356881,0.0107936,0.0252655,0.0218638,0.0129605,0.016912,0.00794892,0.0151979,0.0107807,0.0309219,0.0144736,0.0133583,0.00827579,0.00297919,0.00443841,0.00512798,0.00423138,0.00377517,0.0179033,0.0195895,0.0220399,0.00763637,0.0069803,0,0,0.036176,0,0.0112632,0.0196876,0.0422276,0.0289906,0.0202421,0.0352514,0.0157372,0.015632,0.0245432,0.0132376,0.0146178,0.0237741,0.0122943,0.0247902,0.0270729,0.0219491,0.0151994,0.0110181,0.0116893,0.0170605,0.00664111,0,0,0,0.0115356
152,0,0,0,0,0.0157656,0.0141371,0,0,0,0.00682248,0.0217531,0.0102367,0.00515488,0,0,0.00718277,0,0.0154717,0.00574967,0.0355596,0.0108987,0.0253459,0.0218829,0.0134332,0.0178229,0.00800694,0.0153409,0.0109531,0.0310495,0.01456,0.0133302,0.00838574,0.00287102,0.00486256,0.00507134,0.00432239,0.00399221,0.0201784,0.0195935,0.0244327,0.0073488,0.0068797,0,0,0.0362929,0,0.0112792,0.0198115,0.0424347,0.0317996,0.0206356,0.0354189,0.0166832,0.0156324,0.0247345,0.0128113,0.012973,0.0247981,0.0124303,0.0254205,0.0287118,0.0241822,0.0152803,0.0109623,0.0117049,0.0171178,0.00642746,0,0,0,0.0102044
153,0,0,0,0,0.0157069,0.0141204,0,0,0,0.00694617,0.0216971,0.0103493,0.00559206,0,0,0.00671486,0,0.0156393,0.00565074,0.0354115,0.0111848,0.0254717,0.0218249,0.0138051,0.0186528,0.00807031,0.0154821,0.0110841,0.0312588,0.0146383,0.0132989,0.0084922,0.00274033,0.00545099,0.00501423,0.0043866,0.00419132,0.0230775,0.019582,0.0272269,0.00702311,0.00688425,0,0,0.0363045,0,0.0112811,0.0198676,0.042534,0.0349374,0.0210245,0.0353802,0.0174579,0.0155989,0.0249927,0.0124491,0.0112816,0.026085,0.0127469,0.0261612,0.030541,0.0271193,0.0153149,0.0108979,0.0116994,0.0171438,0.00619448,0,0,0,0.00909926
154,0,0,0,0,0.0156486,0.014133,0,0,0,0.00718984,0.021613,0.010448,0.00603537,0,0,0.00621714,0,0.0157495,0.00554211,0.0353534,0.0114927,0.0256158,0.0217581,0.0140848,0.0193798,0.00818018,0.0156371,0.0111914,0.0315365,0.0146796,0.0132311,0.00851555,0.00264189,0.00611297,0.00502193,0.00444423,0.00431718,0.0246451,0.0195757,0.0289425,0.0068005,0.00697724,0,0,0.0364027,0,0.0112947,0.0198756,0.0424398,0.0371867,0.0213766,0.0354905,0.0180641,0.0155247,0.0250851,0.0122984,0.00970291,0.0273894,0.0128001,0.026629,0.0324001,0.0289801,0.0153771,0.0107786,0.0116328,0.0171263,0.00598527,0,0,0,0.00796458
155,0,0,0,0,0.0155844,0.0140825,0,0,0,0.00761726,0.0214956,0.0105394,0.00647743,0,0,0.00579641,0,0.015772,0.00536384,0.0355502,0.0116528,0.0258474,0.0215955,0.0142868,0.0200659,0.00813612,0.0155677,0.0112217,0.0317042,0.0146271,0.0130438,0.00843612,0.00258836,0.00711334,0.00510854,0.00449488,0.00439385,0.0252747,0.0195915,0.0301554,0.00674661,0.00721384,0,0,0.0366485,0,0.0113203,0.0198631,0.0423738,0.0390761,0.0215773,0.0356174,0.0184984,0.0154436,0.0251319,0.0125313,0.00848251,0.0286624,0.0126469,0.0269596,0.0341242,0.0301333,0.0154386,0.0106162,0.0115676,0.017098,0.00586674,0,0,0,0.00676991
156,0,0,0,0,0.0155716,0.0141163,0,0,0,0.00808068,0.0213933,0.0106064,0.00682021,0,0,0.00550942,0,0.0157908,0.00523952,0.0359025,0.0117861,0.0260229,0.0214783,0.0142737,0.0206919,0.00810258,0.0154496,0.0112585,0.0318354,0.0145835,0.0128805,0.0083356,0.00253533,0.00821164,0.00521941,0.00453218,0.00446709,0.0263942,0.0195857,0.0316179,0.00672115,0.0073372,0,0,0.0369333,0,0.0113191,0.0198486,0.0428023,0.0414551,0.0217366,0.0358106,0.0187793,0.0153221,0.0250598,0.0127635,0.00760466,0.0296444,0.0128209,0.027245,0.0354979,0.0319971,0.0154566,0.0104374,0.0114599,0.017134,0.00584202,0,0,0,0.00579374
157,0,0,0,0,0.0155791,0.0141757,0,0,0,0.0084909,0.0213178,0.0106499,0.00713192,0,0,0.0052767,0,0.0159257,0.0053081,0.0360338,0.0120466,0.0261103,0.0215087,0.0140691,0.0212822,0.00812927,0.0154296,0.0113008,0.0319933,0.0145982,0.0127999,0.00833876,0.00247226,0.00925964,0.00532366,0.00457002,0.00455695,0.0292447,0.0195816,0.0341611,0.00663747,0.00727353,0,0,0.0371663,0,0.0113355,0.0198185,0.0432643,0.0448678,0.0219998,0.0358552,0.0189797,0.0151441,0.0250633,0.0131346,0.00698882,0.0302589,0.0139635,0.0276247,0.0364272,0.035736,0.0154135,0.0103985,0.0114342,0.0172255,0.00592901,0,0,0,0.00517891
158,0,0,0,0,0.0156126,0.0142068,0,0,0,0.00885703,0.021243,0.0106469,0.00738054,0,0,0.00510384,0,0.0160263,0.00537601,0.035951,0.0123632,0.0261658,0.0215903,0.0138151,0.0217687,0.00817539,0.0154543,0.0113583,0.0320811,0.0146108,0.0127178,0.00838494,0.00241304,0.0101547,0.00541331,0.00459411,0.00464835,0.0317384,0.0195379,0.0364843,0.00658438,0.00707523,0,0,0.0369877,0,0.0113543,0.0197598,0.0435655,0.0478172,0.0222108,0.0359553,0.0191282,0.0149334,0.0250612,0.0138608,0.00690064,0.0306958,0.0150635,0.0276787,0.0370881,0.0388964,0.0154206,0.0104164,0.0114192,0.0173615,0.00605258,0,0,0,0.00485568
159,0,0,0,0,0.0156673,0.0142488,0,0,0,0.00918538,0.0211551,0.010588,0.00757367,0,0,0.00501764,0,0.0160801,0.00544724,0.035718,0.012643,0.0262406,0.021646,0.0136448,0.0223201,0.00816437,0.0154545,0.0114243,0.0320545,0.0146042,0.0125986,0.0084034,0.0023656,0.0108492,0.00552529,0.00462225,0.00475873,0.0331803,0.0194615,0.0380594,0.00653794,0.00695306,0,0,0.0368125,0,0.011353,0.019805,0.0436735,0.0500061,0.022373,0.0361748,0.0192837,0.0147718,0.0249635,0.0150165,0.00749624,0.0309832,0.0159297,0.0272561,0.0375614,0.0406934,0.0155367,0.0103654,0.0114076,0.0175271,0.00609698,0,0,0,0.00446307
160,0,0,0,0,0.0157138,0.0144113,0,0,0,0.00945504,0.0210539,0.0105543,0.00777547,0,0,0.00495448,0,0.0161507,0.00549713,0.0354357,0.0129643,0.0263352,0.0216675,0.0136609,0.0227456,0.00809866,0.0154165,0.0115221,0.0319629,0.0145662,0.0124657,0.00838083,0.00231185,0.0113474,0.00563178,0.0046534,0.00483505,0.0337819,0.0194178,0.0389476,0.00640415,0.00682833,0,0,0.0364619,0,0.0113627,0.019811,0.0435925,0.0515665,0.0226047,0.0363124,0.0195107,0.0146122,0.0247528,0.0164801,0.00872501,0.0310907,0.0168306,0.0264473,0.0377976,0.0413271,0.0156358,0.0102917,0.0113733,0.0177508,0.00599128,0,0,0,0.00448245
161,0,0,0,0,0.015782,0.0145917,0,0,0,0.00977573,0.0209216,0.0107285,0.00800168,0,0,0.00500912,0,0.0162477,0.00558414,0.0351751,0.013371,0.0264462,0.0216756,0.0138093,0.0230755,0.00799101,0.015319,0.0116312,0.0318797,0.0145791,0.0123907,0.00841359,0.00221112,0.0118633,0.00573379,0.00467172,0.0049066,0.0354883,0.0193726,0.0404775,0.00621928,0.00669332,0,0,0.036105,0,0.0113952,0.0197811,0.0434352,0.0531078,0.0229187,0.0359511,0.0197238,0.0144725,0.0245505,0.0179731,0.0100922,0.030693,0.0183849,0.0252369,0.037511,0.0427812,0.0157296,0.0102658,0.0113783,0.0180157,0.0058714,0,0,0,0.00507712
162,0,0,0,0,0.0158827,0.0147266,0,0,0,0.010084,0.0207732,0.010841,0.00827179,0,0,0.00521808,0,0.016307,0.00570553,0.0350085,0.0138572,0.0265416,0.0216637,0.0140109,0.0232118,0.00788595,0.015202,0.0117065,0.0318161,0.0146029,0.0123727,0.00844983,0.00206015,0.0123735,0.00587421,0.0046994,0.00498555,0.0381166,0.01933,0.0425534,0.00593857,0.00654551,0,0,0.0357514,0,0.0114329,0.0197729,0.0432614,0.0546978,0.0233528,0.0349862,0.0199194,0.014384,0.0243633,0.0193918,0.0113075,0.0297892,0.0204924,0.0236165,0.0365995,0.0448943,0.0157559,0.0103127,0.0112647,0.0183102,0.00580403,0,0,0,0.00580293
163,0,0,0,0,0.0160305,0.0149862,0,0,0,0.0104183,0.0206136,0.0109302,0.00856729,0,0,0.00559691,0,0.0163553,0.00588614,0.0350389,0.0144179,0.0266477,0.0216754,0.0142973,0.0231361,0.0078676,0.0151775,0.0118474,0.0317992,0.0145891,0.0123701,0.00842294,0.00190529,0.0129958,0.00605534,0.00472792,0.00507413,0.041207,0.0192668,0.0443923,0.00558797,0.00634344,0,0,0.0353749,0,0.0114674,0.0198061,0.0431606,0.0557985,0.0239857,0.0335938,0.0202278,0.0144062,0.0241125,0.0205498,0.0124933,0.0284783,0.022957,0.0216902,0.0350981,0.0471758,0.0158473,0.0103202,0.0111939,0.0186925,0.00585631,0,0,0,0.00664711
164,0,0,0,0,0.0161455,0.015279,0,0,0,0.0107783,0.0205079,0.0110352,0.00888001,0,0,0.00603723,0,0.0165362,0.00610385,0.0352825,0.0150125,0.0267681,0.0216617,0.0146452,0.0231715,0.00794439,0.0152245,0.0119653,0.0318637,0.0145327,0.0123349,0.00834785,0.00177044,0.0135739,0.00621573,0.00476875,0.00513757,0.0441198,0.0191847,0.0456857,0.00512649,0.0061576,0,0,0.0348469,0,0.0114918,0.0197603,0.0431844,0.0563411,0.0248291,0.0319024,0.0206299,0.0144906,0.0237023,0.0216961,0.0133199,0.0267799,0.0256301,0.0197212,0.0333466,0.0489865,0.01592,0.0103028,0.0111498,0.0190915,0.00600662,0,0,0,0.00769837
165,0,0,0,0,0.0162961,0.0155803,0,0,0,0.0111236,0.0204083,0.0111595,0.00912777,0,0,0.00654294,0,0.0166464,0.00635707,0.0357142,0.0156423,0.0268611,0.0215834,0.0151341,0.0232106,0.00811933,0.0153281,0.0120222,0.0319531,0.0144656,0.0122696,0.00824367,0.00167899,0.0140498,0.00638804,0.00478435,0.00520477,0.0451473,0.0190824,0.0453272,0.00465592,0.00600091,0,0,0.0342461,0,0.0115071,0.0196394,0.0432843,0.0555084,0.0258116,0.0302557,0.0211922,0.0145819,0.0229838,0.0229509,0.014403,0.0246739,0.028062,0.0180481,0.0318779,0.0488248,0.0159824,0.0103272,0.0110742,0.019494,0.00627038,0,0,0,0.00886142
166,0,0,0,0,0.0165348,0.0159276,0,0,0,0.011477,0.0202675,0.0113801,0.00944162,0,0,0.00704544,0,0.0166097,0.00659995,0.0362738,0.016331,0.0268926,0.0214884,0.0155493,0.0232977,0.00838801,0.0154864,0.0120699,0.0321111,0.0144244,0.0122178,0.00815635,0.00164382,0.0146479,0.0065775,0.00475654,0.00528767,0.0457264,0.0189814,0.0447843,0.00416058,0.00591718,0,0,0.0336409,0,0.0114998,0.0194689,0.0433388,0.0544842,0.0269578,0.0276419,0.0217509,0.0146692,0.0219205,0.0236059,0.0153736,0.0221248,0.030443,0.0168328,0.0301936,0.0485436,0.016061,0.0104171,0.0110081,0.019903,0.00668688,0,0,0,0.00978691
167,0,0,0,0,0.0168502,0.0163141,0,0,0,0.0118634,0.0201297,0.0117002,0.00973036,0,0,0.00756005,0,0.0165908,0.00681464,0.0369221,0.0170122,0.0268497,0.0213658,0.0159323,0.0234214,0.00872958,0.0157209,0.0120761,0.0323404,0.0144327,0.0122184,0.00807602,0.00172364,0.0153389,0.00678112,0.00473608,0.00531652,0.0444306,0.0188709,0.0432802,0.00389624,0.00596252,0,0,0.0329594,0,0.011515,0.0193649,0.0432503,0.0529435,0.0281272,0.0243656,0.0223643,0.0147329,0.0205007,0.023582,0.0164344,0.0207711,0.0323666,0.0165286,0.0293055,0.0468659,0.0162296,0.0105462,0.0110574,0.0203561,0.00715844,0,0,0,0.0107212
168,0,0,0,0,0.0171681,0.0166865,0,0,0,0.0125888,0.0200525,0.0121581,0.00997504,0,0,0.00807437,0,0.0166849,0.00703202,0.0375708,0.0174537,0.0267663,0.0211716,0.0162172,0.0235916,0.00916398,0.0159661,0.0120188,0.0325615,0.0144349,0.0121919,0.00811011,0.00185073,0.0160743,0.00697919,0.00474395,0.00533597,0.0425359,0.0187473,0.0419806,0.00391399,0.00611668,0,0,0.0320927,0,0.0115433,0.0193562,0.0430487,0.0517809,0.0291814,0.0200118,0.0229904,0.0148254,0.0187971,0.022732,0.0167895,0.0203023,0.0339669,0.0170619,0.029149,0.0448789,0.0164419,0.0106413,0.0111755,0.0208073,0.0076329,0,0,0,0.0116629
169,0,0,0,0,0.0174059,0.0170213,0,0,0,0.013101,0.0199792,0.0123923,0.0102115,0,0,0.00848622,0,0.016807,0.00722686,0.038056,0.0179049,0.0267018,0.0209469,0.0164606,0.0237891,0.00954517,0.0161228,0.0118731,0.0327093,0.0143653,0.0121075,0.00824718,0.00193615,0.0167487,0.00720682,0.00475509,0.00538687,0.0409752,0.0186288,0.0415889,0.00412257,0.00629304,0,0,0.0313226,0,0.0115744,0.0194588,0.0424839,0.0523517,0.0300855,0.0151949,0.0235593,0.0149355,0.017239,0.0212939,0.0163449,0.020105,0.0353888,0.0184145,0.0299747,0.0432237,0.0166398,0.0107854,0.011344,0.0212074,0.0080446,0,0,0,0.0125014
170,0,0,0,0,0.0175696,0.0172481,0,0,0,0.0132592,0.0199233,0.0123803,0.0104878,0,0,0.00880233,0,0.0168546,0.00737786,0.0383174,0.0183736,0.0266475,0.0206242,0.0166842,0.024004,0.00969247,0.0160929,0.0116047,0.0327801,0.0142113,0.0120181,0.00827333,0.00197703,0.0172092,0.00740725,0.0047473,0.00546511,0.0400355,0.0185379,0.0417176,0.00445533,0.00648161,0,0,0.030765,0,0.0115997,0.0196142,0.0415487,0.0540831,0.0306507,0.0108906,0.0239989,0.015048,0.0158476,0.0193682,0.0152021,0.0201109,0.0361701,0.0193752,0.030693,0.0419155,0.0167327,0.0108973,0.011521,0.021508,0.0083278,0,0,0,0.012251
171,0,0,0,0,0.0177285,0.0173858,0,0,0,0.0136947,0.0198922,0.0126864,0.0109839,0,0,0.00904946,0,0.0168365,0.0074467,0.0387489,0.0190755,0.0264109,0.0204309,0.0160023,0.0242588,0.00997672,0.0161913,0.0115951,0.0331332,0.0140847,0.0120279,0.00835883,0.0020276,0.0180047,0.00756216,0.00472721,0.00551448,0.0665296,0.0184783,0.0486567,0.00396747,0.00689725,0,0,0.0301942,0,0.0116118,0.0197158,0.0417543,0.0493016,0.0319553,0.0289607,0.0239522,0.0151221,0,0.032583,0.0167617,0.0171331,0.0351196,0.0149736,0.021457,0.0663201,0.0167297,0.0109788,0.0116366,0.0216706,0.0088522,0,0,0,0.0104821
172,0,0,0,0,0.0177311,0.0174416,0,0,0,0.0129972,0.0199039,0.0121729,0.0107062,0,0,0.00920443,0,0.0168486,0.00746668,0.0382193,0.0192328,0.0266003,0.0197798,0.0167867,0.024299,0.00930096,0.0155189,0.0108057,0.0327031,0.0137963,0.0119989,0.00855554,0.00190307,0.0174671,0.00760584,0.00473855,0.00550911,0.0395599,0.0184436,0.0431469,0.00476679,0.00680507,0,0,0.0299763,0,0.0116287,0.0196777,0.0406267,0.0603196,0.0310606,0.00901847,0.0243845,0.0152606,0.0161612,0.0182331,0.0140616,0.0220089,0.0363038,0.0202317,0.0336607,0.0404615,0.0167033,0.0109623,0.0116489,0.0217799,0.00863599,0,0,0,0.0113011
173,0,0,0,0,0.0177363,0.0173688,0,0,0,0.0128382,0.0199389,0.0121655,0.0111521,0,0,0.00925269,0,0.0168533,0.00745673,0.0377154,0.0196688,0.0266596,0.0193565,0.0163427,0.0244245,0.00879598,0.014925,0.0102238,0.03262,0.0135551,0.012178,0.00892555,0.0017879,0.0174706,0.00760164,0.0047562,0.00547477,0.0383369,0.0184488,0.0447517,0.00454347,0.00687132,0,0,0.0297772,0,0.0116308,0.0195318,0.0410487,0.0650413,0.0311808,0.0121066,0.0240354,0.0153715,0.0200243,0.0197179,0.015379,0.0246882,0.0363476,0.0206819,0.0371313,0.0408869,0.0166578,0.0109543,0.0115994,0.0216766,0.00878785,0,0,0,0.0124491
174,0,0,0,0,0.0176404,0.0171921,0,0,0,0.012758,0.0199871,0.0121889,0.011356,0,0,0.00914969,0,0.0168244,0.00735431,0.0371784,0.0199911,0.0266204,0.018871,0.0158295,0.024489,0.00824183,0.0141862,0.00956252,0.03249,0.0132523,0.0122609,0.00925612,0.00174944,0.0174413,0.00752166,0.00476319,0.00540056,0.0404533,0.0184581,0.0466546,0.00444832,0.00681909,0,0,0.029784,0,0.0116509,0.0193927,0.0412404,0.0670536,0.0310192,0.0158884,0.0235136,0.0154703,0.0219415,0.0205414,0.0155367,0.025701,0.0361807,0.0205016,0.0384906,0.0442439,0.0166994,0.0108829,0.0115594,0.0214719,0.00881076,0,0,0,0.0121047
175,0,0,0,0,0.0175612,0.0170067,0,0,0,0.0127651,0.0200722,0.0123609,0.0111971,0,0,0.00895006,0,0.0167585,0.00727707,0.0367917,0.0202437,0.0264528,0.0183362,0.0151671,0.0244821,0.00773684,0.0133604,0.00890213,0.0324272,0.0131233,0.0122795,0.00961485,0.00181839,0.0175273,0.00737774,0.00473747,0.00535711,0.0436806,0.0184753,0.0479891,0.00440872,0.00671444,0,0,0.0298422,0,0.0116445,0.0192589,0.0410432,0.0665492,0.0306422,0.0182446,0.0228015,0.0155256,0.0212698,0.0198276,0.0137969,0.025223,0.035548,0.0199548,0.0377645,0.0477289,0.0166893,0.0107866,0.0114738,0.0212737,0.00866834,0,0,0,0.010422
176,0,0,0,0,0.0175059,0.0168903,0,0,0,0.0130651,0.0201244,0.0127212,0.0111058,0,0,0.00877305,0,0.0166182,0.00723548,0.0366165,0.0205402,0.0261624,0.0177795,0.0144568,0.0244311,0.00731647,0.012577,0.0082706,0.0324609,0.0130574,0.0124037,0.0100556,0.00191222,0.0178795,0.00723737,0.00469308,0.00531658,0.0454223,0.0184665,0.0471875,0.00438993,0.00666999,0,0,0.029809,0,0.011625,0.0191792,0.0408636,0.0633812,0.0302682,0.0192836,0.022164,0.0155417,0.0187229,0.0183367,0.0111986,0.0242643,0.0344684,0.0193733,0.0359297,0.0489602,0.0166604,0.0107371,0.0114516,0.0211294,0.00839855,0,0,0,0.00813615
177,0,0,0,0,0.0174115,0.0168186,0,0,0,0.0134891,0.0201519,0.0132613,0.0107539,0,0,0.00869103,0,0.0165484,0.00724117,0.036479,0.020891,0.0259061,0.0172843,0.0138174,0.0243902,0.00691449,0.0118821,0.00765915,0.0325206,0.0129726,0.0126687,0.0105958,0.00193596,0.018262,0.00718601,0.00467347,0.00527399,0.0463381,0.0184391,0.0469499,0.0043901,0.00659837,0,0,0.029727,0,0.0116212,0.0191274,0.041145,0.0619024,0.0301462,0.0195897,0.0217414,0.0156177,0.017616,0.0170069,0.0100253,0.0238647,0.0337704,0.0190871,0.0346989,0.0501711,0.0166099,0.0107426,0.0114843,0.0210343,0.00816386,0,0,0,0.00688183
178,0,0,0,0,0.0171764,0.0167689,0,0,0,0.013962,0.020168,0.013948,0.0105472,0,0,0.00875729,0,0.0165497,0.00733768,0.036426,0.021201,0.0256681,0.0168428,0.0134385,0.0242798,0.00647525,0.0113358,0.00707418,0.0325965,0.0128708,0.0129824,0.0109485,0.00191544,0.0186501,0.00728271,0.00467151,0.00525237,0.0451395,0.0184065,0.04682,0.0045017,0.00644651,0,0,0.0296463,0,0.0116517,0.0191444,0.0415601,0.0613143,0.0302347,0.0202494,0.0216859,0.0158484,0.0174987,0.0165759,0.0116191,0.0244015,0.0334079,0.0192824,0.0346383,0.049983,0.0165999,0.0107481,0.0114539,0.0209996,0.00795284,0,0,0,0.00651669
179,0,0,0,0,0.0168273,0.0166677,0,0,0,0.0145216,0.0201919,0.0146911,0.0104274,0,0,0.00890326,0,0.0165454,0.0074555,0.0364121,0.0215673,0.0253803,0.0164285,0.013299,0.0240221,0.00607825,0.010924,0.00652177,0.0326352,0.0127427,0.0132925,0.0112999,0.0018941,0.0192815,0.00741279,0.00467802,0.00521884,0.0428174,0.0183746,0.046173,0.00464242,0.00622269,0,0,0.0294764,0,0.0116732,0.0191301,0.0419437,0.060598,0.0303777,0.0217818,0.0218315,0.0160849,0.0174069,0.0172819,0.0136195,0.024721,0.0334389,0.0190671,0.0344001,0.0489352,0.0165255,0.0107434,0.0114253,0.0209606,0.00762988,0,0,0,0.00660347
180,0,0,0,0,0.0164569,0.0164446,0,0,0,0.0154335,0.0202285,0.0156408,0.0102883,0,0,0.00901843,0,0.0164911,0.00745515,0.0363891,0.0219883,0.0250583,0.0160771,0.0132623,0.0236401,0.00563906,0.0106219,0.00606602,0.0326427,0.0126554,0.0136554,0.0117286,0.00187523,0.020256,0.00746727,0.00468239,0.00516151,0.0407779,0.018349,0.0448162,0.00471856,0.00594057,0,0,0.0293555,0,0.011658,0.0190654,0.0422129,0.0594862,0.0303388,0.0234098,0.0217799,0.016328,0.0170679,0.0187727,0.0153253,0.0241002,0.0333602,0.0184124,0.0333127,0.0476286,0.016447,0.0107098,0.0113911,0.0208282,0.0071283,0,0,0,0.00728007
181,0,0,0,0,0.016165,0.0161893,0,0,0,0.0167013,0.0202819,0.0167942,0.0101189,0,0,0.00901728,0,0.0164074,0.00734731,0.0363107,0.0223963,0.0247603,0.015754,0.0132223,0.0230831,0.00511656,0.0104457,0.00579928,0.0326373,0.01266,0.0142253,0.0122702,0.0018117,0.0215385,0.00743748,0.00467013,0.00506453,0.0394056,0.0183738,0.0432013,0.00477547,0.00561106,0,0,0.0293574,0,0.0116508,0.0188874,0.0420903,0.0575423,0.0301311,0.0235984,0.0215032,0.0166013,0.0166514,0.0204027,0.0173927,0.0223112,0.0331448,0.017774,0.0313667,0.0464808,0.0163871,0.0106601,0.0113461,0.0206599,0.00659833,0,0,0,0.0087094
182,0,0,0,0,0.0159595,0.0159859,0,0,0,0.0184645,0.0203495,0.0180282,0.00995127,0,0,0.0089624,0,0.0163217,0.00721671,0.036154,0.0226949,0.0245268,0.0154056,0.0132649,0.0223791,0.00455653,0.0104981,0.00587157,0.0326006,0.0128325,0.0151728,0.0128524,0.00162069,0.0230878,0.00740209,0.00463364,0.00492649,0.0373411,0.0183713,0.0413422,0.0048591,0.00527716,0,0,0.0293898,0,0.0116197,0.0187413,0.0414343,0.0550926,0.0299204,0.022442,0.0212033,0.0169411,0.0164081,0.0219665,0.0193897,0.0206026,0.0330814,0.0173208,0.0292364,0.044737,0.0163579,0.0105988,0.0112872,0.0204862,0.00623853,0,0,0,0.0102994
183,0,0,0,0,0.0156922,0.0157683,0,0,0,0.0212407,0.0204406,0.0195615,0.00961367,0,0,0.00897285,0,0.0162501,0.00706037,0.0358476,0.0228397,0.0243218,0.0153154,0.0134367,0.0216513,0.00406089,0.0108012,0.00629525,0.032549,0.0131893,0.016572,0.013619,0.00138786,0.0252974,0.00732142,0.00457249,0.00474572,0.0347828,0.0183838,0.0396387,0.00499438,0.00507995,0,0,0.0293996,0,0.0116072,0.0185835,0.040457,0.0531001,0.0297541,0.0213108,0.0208192,0.0173635,0.0165313,0.0231715,0.0204034,0.0194937,0.0333115,0.0168232,0.0274136,0.0428856,0.0163072,0.010519,0.0112376,0.0202189,0.00601656,0,0,0,0.0114356
184,0,0,0,0,0.0152563,0.015458,0,0,0,0.0247132,0.02052,0.0213189,0.00918624,0,0,0.00897147,0,0.0161677,0.00691255,0.0354176,0.0228899,0.024117,0.0154648,0.0136784,0.0209302,0.00370123,0.0115154,0.00699349,0.0326035,0.0136417,0.0183473,0.014425,0.00124899,0.0280468,0.00718495,0.00455182,0.00452758,0.0327692,0.0184199,0.03844,0.00523621,0.00503286,0,0,0.0295174,0,0.0115942,0.0184773,0.0394778,0.0515613,0.0295296,0.0213338,0.0205617,0.017824,0.0170021,0.0239088,0.0208498,0.0192485,0.033437,0.016247,0.0264523,0.0418849,0.0162867,0.0105521,0.011239,0.019815,0.00581689,0,0,0,0.0120492
185,0,0,0,0,0.0153059,0.0158857,0,0,0,0.0287606,0.0203207,0.0229326,0.0091752,0,0,0.0102331,0,0.0162759,0.00747172,0.0354879,0.022193,0.0238518,0.0160488,0.0158106,0.0208187,0.00333547,0.0132242,0.00794724,0.0325632,0.0142882,0.0206901,0.0150478,0.00132133,0.031188,0.00781183,0.00465458,0.00450764,0.0310596,0.0182977,0.0377734,0.00614692,0.00494136,0,0,0.0287439,0,0.0116669,0.0184973,0.0382743,0.0514642,0.0315657,0.0215266,0.0228039,0.018575,0.0173885,0.0234839,0.0208312,0.0199274,0.0320197,0.0161612,0.0273905,0.042058,0.016734,0.0107673,0.0112194,0.0203064,0.0066156,0,0,0,0.012248
186,0,0,0,0,0.0150332,0.0156064,0,0,0,0.0332745,0.0204428,0.0245349,0.00874429,0,0,0.0102091,0,0.0162302,0.00745186,0.0351344,0.0214582,0.0235811,0.0169704,0.0158183,0.0204072,0.00330949,0.0148695,0.00884942,0.0327988,0.0150359,0.0229742,0.015575,0.00172493,0.0346255,0.00779351,0.00464944,0.004397,0.0316755,0.0184342,0.038038,0.00627968,0.00478057,0,0,0.0286736,0,0.0116654,0.0183142,0.0375244,0.0508565,0.031249,0.0234278,0.0223391,0.0190251,0.0177639,0.0230337,0.0205467,0.0201237,0.0314566,0.0158367,0.0272772,0.0429958,0.0166654,0.0108375,0.0111042,0.019961,0.0063333,0,0,0,0.0117671
187,0,0,0,0,0.0149483,0.0152832,0,0,0,0.0377776,0.0205656,0.025576,0.00827469,0,0,0.0100734,0,0.0162132,0.00739344,0.034943,0.0201053,0.0232397,0.018243,0.0157351,0.0200343,0.00357036,0.0169535,0.0097019,0.0330764,0.0158001,0.0251388,0.0158145,0.00232944,0.0386868,0.00761443,0.00464113,0.00431872,0.0316657,0.018544,0.0378634,0.00654011,0.00464233,0,0,0.0287142,0,0.0116992,0.0180899,0.0370926,0.049375,0.0308252,0.0256629,0.0220273,0.0194554,0.0179967,0.0227047,0.0201629,0.0204443,0.0306917,0.0156443,0.0270722,0.0429743,0.0165247,0.0108471,0.0109629,0.0196015,0.00610512,0,0,0,0.0113834
