Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTOE,LUPA,LWRA,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,STRN,x70,x71,x72,LTIBP,RWRB,RASI,T10,x73,LILC,LTHIA
93,0,0,0,0,0,0,0.00921299,0.0135088,0,0,0,0.01068,0.0181469,0.00985309,0,0,0.00395592,0,0.0226578,0.00189557,0.0418308,0.0219903,0.00951899,0.00380104,0.00472419,0.068498,0.0100431,0.0234736,0.007274,0.0053065,0.00418474,0.005906,0.00295389,0.00810766,0.0271582,0.0208871,0.0113732,0.0157214,0,0,0.00615428,0,0.0219881,0.00514877,0.0673288,0.0175775,0.0341536,0.0167121,0.00481185,0.0393303,0.00506595,0.0457818,0.0153637,0.010603,0.00498793,0.00225947,0.00421461,0.00868874,0.0318778,0.018113,0.00407824,0.0153994,0,0,0,0.0204947,0.0010032,0.0314851,0.0115022,0,0.0203052,0
94,0,0,0,0,0,0,0.00937188,0.013325,0,0,0,0.0103873,0.018121,0.00892182,0,0,0.00351907,0,0.0226372,0.00187455,0.0427563,0.0205032,0.00995755,0.00407746,0.00464579,0.0685631,0.010028,0.0230746,0.00704848,0.00550261,0.00406129,0.00651299,0.00273222,0.00805713,0.0276462,0.0209383,0.0118074,0.0156307,0,0,0.00666463,0,0.0220199,0.00548684,0.0665965,0.0177604,0.0332511,0.0176296,0.00472588,0.0391911,0.00547112,0.0458731,0.0165412,0.0112517,0.0050936,0.00236276,0.0049108,0.00956395,0.0319124,0.0180818,0.00460937,0.0153155,0,0,0,0.0207069,0.00104505,0.0305107,0.0116208,0,0.0204019,0
95,0,0,0,0,0,0,0.00944005,0.0132023,0,0,0,0.0103756,0.0180969,0.00875795,0,0,0.00319333,0,0.022659,0.00214341,0.0432564,0.0195249,0.00978736,0.00453803,0.00443091,0.068676,0.00993292,0.0227035,0.00713903,0.00567017,0.00395783,0.00632733,0.0025357,0.00804124,0.0260198,0.0210212,0.0116553,0.0155611,0,0,0.00692949,0,0.0221186,0.00571182,0.0656019,0.0175779,0.0323665,0.0182198,0.00450097,0.0390129,0.00574661,0.045974,0.0173356,0.011742,0.00512002,0.00213307,0.00566508,0.0110941,0.029984,0.017896,0.00487109,0.0152103,0,0,0,0.0208492,0.00112726,0.029963,0.011796,0,0.0206073,0
96,0,0,0,0,0,0,0.00951615,0.0131471,0,0,0,0.010566,0.0180545,0.00897917,0,0,0.00284439,0,0.0226931,0.00197047,0.0431435,0.0190949,0.00957039,0.00517646,0.00430918,0.0689181,0.00971025,0.0223327,0.00747691,0.00568696,0.00389007,0.0059147,0.00233718,0.00803471,0.0226882,0.0211003,0.0113671,0.0154711,0,0,0.007047,0,0.0222046,0.00585005,0.0643105,0.0172545,0.0315249,0.018641,0.00426487,0.0389168,0.00592706,0.0460495,0.0179222,0.0120798,0.00522451,0.00184131,0.00640994,0.0128093,0.0266471,0.0177599,0.00510966,0.0151688,0,0,0,0.0208198,0.00130553,0.0297655,0.0120001,0,0.0209503,0
97,0,0,0,0,0,0,0.00963835,0.0130468,0,0,0,0.010987,0.0180071,0.00945835,0,0,0.00251744,0,0.0227311,0.00175727,0.0425512,0.0191245,0.00896995,0.00593027,0.00433059,0.0692405,0.00901637,0.0219329,0.00796504,0.00571086,0.00387395,0.00562052,0.00219154,0.00803233,0.018614,0.0211573,0.0111643,0.0153086,0,0,0.00703816,0,0.0222744,0.00588859,0.0627646,0.0169814,0.0307202,0.0191665,0.00408917,0.0387094,0.00608221,0.0461821,0.0185357,0.0123561,0.00515119,0.00158001,0.00696275,0.0139709,0.022606,0.0175502,0.00524096,0.0151254,0,0,0,0.0206023,0.00146097,0.0297948,0.0120459,0,0.0214947,0
98,0,0,0,0,0,0,0.00967968,0.0128675,0,0,0,0.0116594,0.0179891,0.0101956,0,0,0.00226123,0,0.0227802,0.00177968,0.0418077,0.0194173,0.00779411,0.00674759,0.00430867,0.0695853,0.00832029,0.0215589,0.0084075,0.00616715,0.00390098,0.00552736,0.00214827,0.0080623,0.014248,0.0211764,0.0109935,0.0151494,0,0,0.00703262,0,0.0223183,0.00589963,0.0610847,0.0165596,0.0299858,0.0197521,0.00394086,0.0383785,0.0062438,0.046432,0.019188,0.0127192,0.0048031,0.00124808,0.00730597,0.0143214,0.0189352,0.0172759,0.00535455,0.0149824,0,0,0,0.0203046,0.00154047,0.0298677,0.0118865,0,0.0222078,0
99,0,0,0,0,0,0,0.00970496,0.0127941,0,0,0,0.0120573,0.017969,0.0109292,0,0,0.00206409,0,0.0228196,0.0017921,0.0409772,0.0196696,0.00684931,0.00744966,0.00434504,0.0699492,0.00781299,0.0212624,0.00870471,0.00679816,0.00392318,0.00623888,0.00211503,0.00806449,0.0109706,0.0212203,0.0107882,0.0151098,0,0,0.00682316,0,0.0223685,0.00577376,0.0592148,0.0162796,0.0292962,0.0203721,0.00361501,0.0382852,0.00641282,0.0469275,0.0200189,0.0131636,0.00430478,0.00100766,0.00739602,0.0140846,0.0149664,0.0170048,0.00531611,0.0148629,0,0,0,0.0199817,0.00156747,0.0299554,0.0117076,0,0.0229834,0
100,0,0,0,0,0,0,0.00960221,0.0126294,0,0,0,0.0125424,0.0179793,0.0115195,0,0,0.00195519,0,0.022849,0.00170422,0.0401791,0.0198342,0.00614173,0.00823844,0.00433455,0.0703184,0.00753632,0.0209491,0.00894512,0.00728863,0.00388178,0.00667741,0.00204282,0.00806579,0.00890615,0.0212255,0.0110013,0.0149094,0,0,0.00673077,0,0.0224011,0.00568617,0.057323,0.0165245,0.028658,0.0207798,0.00341307,0.037911,0.00667467,0.0473933,0.0208953,0.0135661,0.00386753,0.000693706,0.00744653,0.0136378,0.0122011,0.0167774,0.00532371,0.0146483,0,0,0,0.0196004,0.00158759,0.0297521,0.0114764,0,0.0238194,0
101,0,0,0,0,0,0,0.00950774,0.0125661,0,0,0,0.012773,0.0180194,0.0119674,0,0,0.00198041,0,0.0228744,0.00163694,0.0395036,0.0198453,0.00582808,0.00901726,0.00434126,0.0706668,0.00736364,0.0206819,0.00912151,0.00755913,0.00379784,0.00735255,0.00198028,0.00804527,0.00824222,0.0212414,0.0114321,0.0147722,0,0,0.00669105,0,0.0224245,0.00563847,0.0552386,0.0171963,0.028013,0.0211953,0.00320482,0.0376521,0.00717144,0.0479108,0.021864,0.0140819,0.00359612,0.000610611,0.0074505,0.013076,0.0103,0.0166937,0.00524041,0.0145467,0,0,0,0.019251,0.00157167,0.0294069,0.0113493,0,0.0246504,0
102,0,0,0,0,0,0,0.00936991,0.0125256,0,0,0,0.0129589,0.0181186,0.0123425,0,0,0.00197737,0,0.02282,0.0015483,0.0390771,0.0197521,0.00559592,0.00976953,0.00438978,0.0710083,0.00716847,0.0204585,0.00925706,0.00786703,0.00372477,0.00798161,0.0019236,0.00796999,0.00809728,0.0212546,0.0120072,0.0146161,0,0,0.00673436,0,0.022435,0.00564049,0.053056,0.0177008,0.0273203,0.0215546,0.003017,0.0373725,0.00788294,0.0484471,0.0228524,0.0146903,0.00356011,0.000942053,0.0075706,0.0124778,0.00936254,0.0167817,0.00517507,0.0144405,0,0,0,0.0189333,0.00157163,0.0289346,0.0112789,0,0.0254268,0
