Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTOE,LUPA,LWRA,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,STRN,x70,x71,x72,LTIBP,RWRB,RASI,T10,x73,LILC,LTHIA
113,0,0,0,0,0,0,0.00838714,0.0127664,0,0,0,0.0192385,0.0183382,0.0178501,0,0,0.00318736,0,0.0226019,0.000938492,0.0429207,0.0221446,0.0024976,0.0131036,0.00475415,0.0723737,0.00685382,0.0202561,0.0117745,0.0129133,0.00639523,0.0189847,0.00193844,0.00772119,0.0168638,0.0213759,0.0172104,0.0132425,0,0,0.00595396,0,0.0226932,0.00490316,0.0380423,0.0220899,0.023147,0.0222831,0.00209479,0.034795,0.0157363,0.0510815,0.026821,0.0202761,0.0074592,0.00614388,0.0104808,0.0110034,0.0107374,0.0157037,0.00416268,0.0148273,0,0,0,0.0160668,0.00103114,0.0258104,0.0104557,0,0.030254,0
114,0,0,0,0,0,0,0.00830692,0.0126909,0,0,0,0.0201769,0.0182682,0.0185512,0,0,0.00297028,0,0.0226351,0.00105008,0.0424768,0.0224216,0.00191628,0.0132994,0.00481709,0.0723675,0.00676978,0.0203512,0.0120157,0.0136087,0.00676852,0.020041,0.00184583,0.00772312,0.0170746,0.021375,0.0178124,0.0129507,0,0,0.0056866,0,0.0226942,0.00480322,0.037079,0.0227806,0.0231392,0.0222303,0.00219798,0.0343176,0.0159209,0.0508834,0.0266187,0.0202257,0.00793746,0.00644755,0.0107835,0.0110021,0.0107605,0.0153567,0.00409781,0.0148093,0,0,0,0.0158838,0.00102962,0.0254278,0.01023,0,0.0305755,0
115,0,0,0,0,0,0,0.00835835,0.0127082,0,0,0,0.0211821,0.0181961,0.0195177,0,0,0.00274345,0,0.022658,0.000974565,0.0420395,0.0223696,0.00148083,0.0134205,0.00482134,0.0724168,0.00685327,0.0204175,0.0123659,0.0143405,0.00669605,0.0208129,0.00178349,0.00773004,0.0171515,0.0213668,0.01832,0.0128251,0,0,0.00542692,0,0.0226933,0.00470172,0.0362485,0.0235407,0.0231816,0.0220627,0.00225059,0.0341115,0.0159729,0.050628,0.0262206,0.0199965,0.00838611,0.00671679,0.0111365,0.0111579,0.0104437,0.0151115,0.00404062,0.0148915,0,0,0,0.0157296,0.00101321,0.0248686,0.010137,0,0.0308808,0
116,0,0,0,0,0,0,0.00836266,0.0126914,0,0,0,0.0221438,0.0181202,0.0204584,0,0,0.00253739,0,0.022706,0.000969482,0.0416471,0.0221279,0.00120875,0.0134951,0.00481911,0.0724556,0.00701157,0.0204525,0.0126878,0.0149689,0.0064497,0.0214415,0.00172693,0.00774277,0.0168924,0.0213555,0.0186365,0.0126847,0,0,0.00521375,0,0.0226886,0.00461422,0.0355557,0.0242473,0.0232525,0.0217796,0.00228032,0.0338861,0.0159337,0.0503077,0.025683,0.0196188,0.00868008,0.00694602,0.0114436,0.0114275,0.00990157,0.0148669,0.00396299,0.0149191,0,0,0,0.0155672,0.000923875,0.0241434,0.0100262,0,0.0311374,0
117,0,0,0,0,0,0,0.00838009,0.0126838,0,0,0,0.0230509,0.0180687,0.0209895,0,0,0.00243358,0,0.0227667,0.00107211,0.0413253,0.022478,0.001003,0.0135819,0.00478866,0.0725067,0.00667056,0.0204751,0.0127652,0.0155446,0.00625332,0.0219644,0.00166143,0.00775982,0.016423,0.0213124,0.0187366,0.0126036,0,0,0.00544458,0,0.0226002,0.00475404,0.0350234,0.0248731,0.0233763,0.0212772,0.0023069,0.0338676,0.0157276,0.0499037,0.0249721,0.0190121,0.00869943,0.00709795,0.011675,0.0117926,0.00928086,0.0149504,0.00421513,0.0149608,0,0,0,0.0153768,0.000662247,0.0232614,0.00998294,0,0.0313243,0
118,0,0,0,0,0,0,0.00837927,0.0125755,0,0,0,0.0236607,0.0180173,0.0211028,0,0,0.00230998,0,0.0228097,0.00111862,0.0410909,0.0225863,0.0010182,0.0136147,0.00474447,0.0724774,0.00646032,0.0205235,0.0128022,0.0159542,0.00635699,0.022388,0.00168299,0.00778531,0.0160124,0.0213094,0.0187353,0.0124376,0,0,0.00533482,0,0.0226058,0.00469929,0.0346182,0.0252596,0.0235177,0.0205164,0.00233906,0.0336254,0.015353,0.0493473,0.0240203,0.0181691,0.0086907,0.00709333,0.0118987,0.0123195,0.00861969,0.0147885,0.0041847,0.0148905,0,0,0,0.0152112,0.000724862,0.0222098,0.00988552,0,0.0314354,0
119,0,0,0,0,0,0,0.00834753,0.0124371,0,0,0,0.0240708,0.0179711,0.0212175,0,0,0.00222842,0,0.0228474,0.00112539,0.0409561,0.0226912,0.00124697,0.0136143,0.00471186,0.0724138,0.00625401,0.0205948,0.0129179,0.0162683,0.00655212,0.0228424,0.00164469,0.00781399,0.0156407,0.0213336,0.0186615,0.0122268,0,0,0.0053209,0,0.0226361,0.00470313,0.0344,0.0254378,0.023687,0.019514,0.00233526,0.0333999,0.0148817,0.0486599,0.0228452,0.0171445,0.00859449,0.00697661,0.0120371,0.0129385,0.00797793,0.0147156,0.00414973,0.0147832,0,0,0,0.0150354,0.000756275,0.0210585,0.00975465,0,0.0315068,0
120,0,0,0,0,0,0,0.00827104,0.0123358,0,0,0,0.0244234,0.0179565,0.0214839,0,0,0.00215875,0,0.0228808,0.00110656,0.0408906,0.022934,0.0014221,0.0135357,0.00468037,0.0723221,0.00618772,0.0206868,0.0130575,0.0165684,0.00667541,0.0233742,0.00169536,0.00784116,0.0151782,0.0213488,0.0184439,0.0119996,0,0,0.00533549,0,0.0226575,0.004718,0.0343608,0.0254019,0.0238684,0.0182642,0.00229237,0.0331556,0.0143084,0.0478684,0.0214524,0.0159267,0.00841801,0.00676445,0.012105,0.0136167,0.00728412,0.0146523,0.0041059,0.014539,0,0,0,0.0148685,0.000796483,0.019939,0.00959782,0,0.0315431,0
121,0,0,0,0,0,0,0.00826886,0.0123874,0,0,0,0.024847,0.0179786,0.0219291,0,0,0.00218496,0,0.0228932,0.00115472,0.0408519,0.0233942,0.00149124,0.0134396,0.00461998,0.0722499,0.00611699,0.0208058,0.0131121,0.016921,0.00684597,0.0239989,0.00166276,0.00784326,0.0140999,0.0213792,0.0180229,0.0119531,0,0,0.00499512,0,0.0227365,0.00453863,0.0344707,0.0249474,0.0240318,0.0167908,0.00219605,0.0331601,0.0135853,0.0469028,0.0197802,0.0145277,0.00819473,0.00644082,0.012098,0.014242,0.00663533,0.0144875,0.00384441,0.0145638,0,0,0,0.0147478,0.00102038,0.0189047,0.0095409,0,0.0315376,0
122,0,0,0,0,0,0,0.008323,0.0124515,0,0,0,0.0253473,0.0179993,0.0224891,0,0,0.00216619,0,0.0228795,0.0011989,0.040739,0.0238767,0.00156706,0.0134002,0.00462204,0.0721735,0.00578379,0.0209796,0.0133296,0.0172641,0.00696703,0.0247614,0.00162149,0.00782798,0.0127535,0.0213781,0.0172856,0.0119891,0,0,0.00534207,0,0.02269,0.00471398,0.034705,0.0239275,0.0242068,0.015011,0.00202315,0.0333453,0.0127341,0.045774,0.017807,0.0128714,0.00796148,0.00603014,0.0119325,0.014537,0.00644142,0.0147354,0.0041766,0.014731,0,0,0,0.0147056,0.000801519,0.0180428,0.00952433,0,0.0315354,0
123,0,0,0,0,0,0,0.00838134,0.0124835,0,0,0,0.0259281,0.0180259,0.0228777,0,0,0.00216904,0,0.0228811,0.00127394,0.040437,0.0242096,0.00184733,0.0132906,0.00461903,0.0720898,0.00550131,0.021132,0.0134573,0.0175614,0.00698061,0.0256978,0.00164737,0.00782188,0.0116657,0.0213951,0.0161248,0.0119818,0,0,0.00535648,0,0.0227138,0.00471682,0.0349331,0.0230149,0.0244268,0.01299,0.00184486,0.0333737,0.0117882,0.0444801,0.0155912,0.0110064,0.00761917,0.00556607,0.01145,0.0141808,0.00631773,0.0147616,0.00419042,0.0147458,0,0,0,0.0146715,0.000854964,0.0174908,0.00951505,0,0.0314912,0
124,0,0,0,0,0,0,0.00844993,0.0124914,0,0,0,0.0265294,0.0180548,0.0232861,0,0,0.00221576,0,0.0228707,0.00121754,0.039938,0.0244287,0.00227609,0.0130928,0.00454786,0.0720105,0.00543446,0.0212708,0.013584,0.0177458,0.0069515,0.0267306,0.00175868,0.00781642,0.011013,0.0213953,0.0143921,0.0119604,0,0,0.00535324,0,0.0227217,0.00472723,0.035109,0.0213754,0.0247324,0.0108775,0.00171365,0.0333057,0.0107645,0.0430374,0.0131906,0.00910073,0.00697698,0.00511561,0.0105588,0.013093,0.00664177,0.0147442,0.00411342,0.0147161,0,0,0,0.0146748,0.000889849,0.0172617,0.00949524,0,0.0314229,0
125,0,0,0,0,0,0,0.00848242,0.0124946,0,0,0,0.027072,0.0180739,0.0235561,0,0,0.00228742,0,0.0228539,0.00121632,0.0393097,0.0246769,0.00272373,0.0127712,0.00446533,0.0719086,0.00554139,0.0214671,0.0138038,0.0179499,0.00684608,0.0277848,0.00170478,0.00781318,0.0110175,0.0213848,0.0125402,0.0119167,0,0,0.00534297,0,0.0227187,0.00468704,0.035499,0.0185356,0.0251393,0.00858114,0.00164391,0.0331798,0.00961036,0.0413928,0.0105878,0.00710959,0.00624143,0.00463928,0.00938484,0.0117383,0.0068776,0.0146935,0.00406773,0.0147175,0,0,0,0.014729,0.000849343,0.0173296,0.00943101,0,0.0313005,0
126,0,0,0,0,0,0,0.00851504,0.0125291,0,0,0,0.0275625,0.0180869,0.0236056,0,0,0.00237923,0,0.0228209,0.00112628,0.0386234,0.024932,0.0031292,0.01237,0.00451379,0.0717679,0.00549047,0.0216169,0.0138919,0.0181517,0.00667699,0.0288797,0.00166707,0.00779727,0.0125353,0.0213745,0.0106311,0.0118972,0,0,0.00531132,0,0.0227074,0.00460898,0.0360634,0.0154252,0.0256144,0.006128,0.00163291,0.0330519,0.00840056,0.0396451,0.00797035,0.00508944,0.00541477,0.00424245,0.0079121,0.0101056,0.00627811,0.014635,0.00404138,0.0147538,0,0,0,0.0147837,0.000881094,0.0176885,0.0093949,0,0.0311293,0
127,0,0,0,0,0,0,0.00852032,0.0125242,0,0,0,0.0280826,0.018098,0.0233109,0,0,0.00244324,0,0.0227918,0.00116571,0.0379307,0.0249447,0.00342014,0.0120005,0.00458828,0.0715992,0.00534226,0.0216985,0.0138824,0.0182154,0.00654183,0.0300414,0.001665,0.0077852,0.0142518,0.0213725,0.00850718,0.0118521,0,0,0.0053756,0,0.0227107,0.00459871,0.036755,0.0122715,0.0261104,0.00382667,0.00161585,0.0328084,0.00725615,0.0379713,0.00574995,0.00313648,0.00438959,0.00433241,0.00612693,0.00791494,0.0075771,0.0145586,0.00405584,0.0147155,0,0,0,0.0148384,0.000868842,0.018255,0.00932309,0,0.0309761,0
128,0,0,0,0,0,0,0.00853212,0.0124843,0,0,0,0.0283314,0.0181029,0.0229069,0,0,0.00250244,0,0.0227789,0.00129957,0.037247,0.0245964,0.00344845,0.0115997,0.00471875,0.0714289,0.00518315,0.0217403,0.0140116,0.0179936,0.00617046,0.0312167,0.00172188,0.00779253,0.0165641,0.0213489,0.00652245,0.0117921,0,0,0.00537926,0,0.0226893,0.0045708,0.0375114,0.00826414,0.0266296,0.00228708,0.00161471,0.0324672,0.00618404,0.0364664,0.00465438,0.0012576,0.00343809,0.00499024,0.00433061,0.00551682,0.0100652,0.0144122,0.00400483,0.0146735,0,0,0,0.0149358,0.000783707,0.0189878,0.00924707,0,0.030815,0
129,0,0,0,0,0,0,0.00860121,0.0125121,0,0,0,0.0282793,0.0180916,0.0228473,0,0,0.00253821,0,0.0227921,0.00124397,0.0365984,0.0242168,0.00324164,0.0111183,0.00482814,0.0713166,0.00494206,0.0217767,0.0140274,0.0175637,0.00590794,0.0323463,0.00175947,0.00781625,0.0189356,0.0213364,0.00534026,0.0118255,0,0,0.00536839,0,0.0226754,0.00450145,0.0383883,0.00507175,0.0271669,0.00271599,0.00165048,0.0322354,0.00525981,0.0351237,0.00532002,0.000715701,0.00320941,0.00619951,0.00326083,0.0039547,0.013316,0.0142981,0.00388306,0.0147324,0,0,0,0.0150524,0.000692348,0.0197962,0.00926254,0,0.0306248,0
130,0,0,0,0,0,0,0.0086024,0.0125014,0,0,0,0.0280779,0.0180829,0.022568,0,0,0.00256956,0,0.0228408,0.00132144,0.0361072,0.0237524,0.00308901,0.0106115,0.00485903,0.0711534,0.00466199,0.0216513,0.0138485,0.0169019,0.00570717,0.0332599,0.00193004,0.00786186,0.0210289,0.0213927,0.00592494,0.011757,0,0,0.00514114,0,0.022781,0.00428248,0.0394032,0.00555039,0.0276724,0.0040355,0.00177462,0.0317785,0.00459581,0.034055,0.00706271,0.0024641,0.00409671,0.00811209,0.00394338,0.00464708,0.0165513,0.0140129,0.00348715,0.0147761,0,0,0,0.0151288,0.000772202,0.0206023,0.00923203,0,0.0304536,0
131,0,0,0,0,0,0,0.00854186,0.0125733,0,0,0,0.0281197,0.0180364,0.022085,0,0,0.00262782,0,0.0228362,0.0015713,0.0357462,0.0232954,0.00289357,0.0100429,0.00494049,0.070949,0.00430652,0.021548,0.0136129,0.0162319,0.00552567,0.0341568,0.00209135,0.00788916,0.0231214,0.0213985,0.00782482,0.0117231,0,0,0.00528237,0,0.0227797,0.00431722,0.0404875,0.00862531,0.0281447,0.00512282,0.00202964,0.0314958,0.004162,0.0333684,0.00894306,0.00420132,0.00589065,0.0101855,0.00599421,0.00700462,0.0188995,0.0139242,0.0033498,0.014789,0,0,0,0.015189,0.000633387,0.0214979,0.00919043,0,0.0302613,0
132,0,0,0,0,0,0,0.00848825,0.0126855,0,0,0,0.0283876,0.0180251,0.0215308,0,0,0.00271182,0,0.0228309,0.00164222,0.0355297,0.0231246,0.00286283,0.00952094,0.00510417,0.0707702,0.00391931,0.0215261,0.0134433,0.0158715,0.00541325,0.0351456,0.00230996,0.00790424,0.0247462,0.0213494,0.00943034,0.0117735,0,0,0.00530766,0,0.0227196,0.00424949,0.0416404,0.0111333,0.0285455,0.00576135,0.00231385,0.0313124,0.00384961,0.0330796,0.0105515,0.00578499,0.00778758,0.0119939,0.00811076,0.00939603,0.0210208,0.0138124,0.00319356,0.0148968,0,0,0,0.0152633,0.000504305,0.0224154,0.00924503,0,0.030114,0
133,0,0,0,0,0,0,0.00840992,0.0127776,0,0,0,0.0283979,0.0180394,0.0208533,0,0,0.00283094,0,0.0228268,0.00150253,0.0355412,0.0230922,0.0027307,0.00912046,0.00525177,0.0706273,0.00354659,0.0214401,0.0134665,0.0158907,0.00535535,0.0358107,0.00249446,0.00793052,0.0257312,0.0213054,0.0102572,0.0117838,0,0,0.00536523,0,0.022673,0.0041623,0.0428037,0.0121256,0.028807,0.0059803,0.00257983,0.0311206,0.0035681,0.0332122,0.0116786,0.00708992,0.0094299,0.013467,0.00983244,0.0112192,0.0224965,0.0136952,0.00299144,0.0150693,0,0,0,0.0153929,0.000446654,0.0232812,0.00929921,0,0.0300469,0
134,0,0,0,0,0,0,0.00833142,0.0129058,0,0,0,0.0279511,0.0180418,0.0200125,0,0,0.00295035,0,0.0228163,0.00148481,0.0357661,0.0227141,0.0026338,0.0088361,0.00548055,0.070687,0.0031301,0.0212528,0.0135463,0.0157841,0.00526009,0.0359803,0.00269933,0.00795401,0.0257733,0.0212727,0.0104537,0.0117856,0,0,0.00541536,0,0.0226533,0.00415604,0.0438511,0.0120486,0.0289073,0.00615306,0.0028364,0.0308982,0.003329,0.0337964,0.0122516,0.00812907,0.0106781,0.0145801,0.0109805,0.0122545,0.0228005,0.0135699,0.00276631,0.0152373,0,0,0,0.0155575,0.000612567,0.0239992,0.00935514,0,0.0300218,0
135,0,0,0,0,0,0,0.00832156,0.0130906,0,0,0,0.0272305,0.0180243,0.0193694,0,0,0.00305251,0,0.0227887,0.00153118,0.0360896,0.0218651,0.00271168,0.00865775,0.00565983,0.070982,0.00256388,0.0209703,0.0133696,0.0153507,0.00491794,0.035737,0.00287238,0.00797797,0.0248845,0.0212806,0.0102254,0.011914,0,0,0.0054721,0,0.0226853,0.00417727,0.0446684,0.0113903,0.0288437,0.00678996,0.00307205,0.0308296,0.0031282,0.0346186,0.012315,0.00875819,0.0114481,0.0152728,0.0115472,0.0125372,0.0220197,0.0135427,0.00255381,0.0154182,0,0,0,0.0157442,0.000778199,0.0245389,0.00948327,0,0.0300483,0
136,0,0,0,0,0,0,0.00831132,0.0132441,0,0,0,0.0262951,0.0180036,0.0187092,0,0,0.00316868,0,0.0227678,0.00159486,0.0364107,0.0209586,0.00303703,0.00858428,0.00580937,0.0705611,0.00185233,0.0205727,0.0130063,0.0147728,0.00458713,0.0351787,0.002966,0.00800889,0.02351,0.0213107,0.0100456,0.0120078,0,0,0.00550433,0,0.0227427,0.00418961,0.0452279,0.0108113,0.0286459,0.00813696,0.00329951,0.0307854,0.00292772,0.0354126,0.0121536,0.00904566,0.0117167,0.0155413,0.0115454,0.0121183,0.0205251,0.0135349,0.00235975,0.0155632,0,0,0,0.0158729,0.00086099,0.0248735,0.00958517,0,0.0301677,0
137,0,0,0,0,0,0,0.00822692,0.0134274,0,0,0,0.0249603,0.0179703,0.0174468,0,0,0.00331657,0,0.0227622,0.00167768,0.0367257,0.0205687,0.00322791,0.00843964,0.00591543,0.0673092,0.00171844,0.0200281,0.0124869,0.014403,0.0046064,0.0342074,0.0030143,0.00804821,0.0217286,0.021299,0.00988019,0.0120141,0,0,0.00550613,0,0.0227483,0.00419725,0.0455849,0.0104219,0.028499,0.0097476,0.00354483,0.0307502,0.00249721,0.0359805,0.0119578,0.00900616,0.0115159,0.0153574,0.0110672,0.0111786,0.0185987,0.0134768,0.00218587,0.0157332,0,0,0,0.0152762,0.00091229,0.0248294,0.00960482,0,0.0301806,0.00814318
138,0,0,0,0,0,0,0.00815694,0.0135432,0,0,0,0.0234866,0.0179365,0.0158837,0,0,0.00342278,0,0.0227657,0.00179105,0.0368151,0.0200939,0.00389625,0.00851092,0.00594884,0.0602946,0.00148409,0.0193782,0.0123166,0.0141706,0.00459886,0.0329458,0.00312179,0.00808587,0.0198812,0.0212738,0.00961782,0.0120657,0,0,0.00542649,0,0.022747,0.00416953,0.0457117,0.0100321,0.0282428,0.0111563,0.00364258,0.0307508,0.00216396,0.0363885,0.0116821,0.00877601,0.0110271,0.0148938,0.0103761,0.0102191,0.0170937,0.0134108,0.00207015,0.0157966,0,0,0,0.0153276,0.000946473,0.0247793,0.00964834,0,0.0303648,0.00774162
139,0,0,0,0,0,0,0.00809817,0.0136417,0,0,0,0.0219776,0.0179018,0.0145885,0,0,0.00350761,0,0.0227437,0.00193326,0.0367892,0.0194475,0.00479434,0.00869215,0.00595996,0.049928,0.0019145,0.018588,0.0120622,0.0137682,0.00449807,0.0314197,0.00318549,0.00810609,0.0182776,0.0212786,0.0090274,0.0120736,0,0,0.00533006,0,0.0227693,0.0041124,0.0456567,0.00914867,0.0280002,0.0123018,0.00349637,0.0307778,0.00205348,0.0365424,0.011423,0.00836178,0.0102246,0.0141443,0.00934831,0.00921972,0.0159405,0.0134164,0.00198799,0.0158375,0,0,0,0.0154829,0.000880252,0.0247259,0.00963966,0,0.0305236,0.00736257
140,0,0,0,0,0,0,0.00810845,0.0138177,0,0,0,0.020221,0.0179186,0.0132922,0,0,0.00375658,0,0.0227324,0.00200451,0.0367154,0.0185199,0.00575894,0.00896426,0.00583281,0.0372063,0.00278397,0.0176588,0.0115762,0.0131267,0.00444354,0.0294626,0.00326747,0.00809939,0.016628,0.0212671,0.00844969,0.0122475,0,0,0.00481159,0,0.0228088,0.00380749,0.0454551,0.00853342,0.0277626,0.0129269,0.00315639,0.0311213,0.0016663,0.0366597,0.0110552,0.00780507,0.00937944,0.0132248,0.00814817,0.00831122,0.0143459,0.0134008,0.00201694,0.016022,0,0,0,0.0156361,0.00140682,0.024715,0.00971134,0,0.030732,0.00720279
141,0,0,0,0,0,0,0.00804722,0.0137876,0,0,0,0.0180894,0.0179114,0.0122801,0,0,0.00367736,0,0.0227416,0.00194697,0.0367382,0.0175504,0.00667672,0.00912546,0.00577209,0.0236307,0.00374277,0.0165186,0.0109578,0.0121697,0.00439336,0.0269122,0.0032365,0.00811692,0.0137443,0.0212154,0.00881299,0.0123446,0,0,0.00477057,0,0.0227433,0.00383784,0.0452759,0.010063,0.0276024,0.0131273,0.00278871,0.0312444,0.000956693,0.036738,0.0109185,0.00756701,0.00920136,0.0128108,0.00735753,0.00781218,0.0121405,0.0136351,0.00198435,0.0160206,0,0,0,0.0159274,0.00146069,0.0245599,0.00969808,0,0.0307805,0.00698363
142,0,0,0,0,0,0,0.00799294,0.0136453,0,0,0,0.0155992,0.0178637,0.0107159,0,0,0.00368082,0,0.0228007,0.00195057,0.0369315,0.0163213,0.00750283,0.00917093,0.00566831,0.0111277,0.0048059,0.0155215,0.0101932,0.0109526,0.00442223,0.0239773,0.00335482,0.00817486,0.00987893,0.0212199,0.0110779,0.0125508,0,0,0.0047548,0,0.0227266,0.00393998,0.0454697,0.0138126,0.0273596,0.0137605,0.00249884,0.0312612,0.000319304,0.0368241,0.0117219,0.00827929,0.0103104,0.0137,0.00772313,0.00787925,0.0109499,0.0138903,0.00199096,0.0159185,0,0,0,0.0162361,0.00137424,0.0239029,0.00987356,0,0.0308547,0.00659261
143,0,0,0,0,0,0,0.00799209,0.0133678,0,0,0,0.0129054,0.0178063,0.00872506,0,0,0.00382761,0,0.0228325,0.00191259,0.0372899,0.0148296,0.00820886,0.00908336,0.00566674,0.00322335,0.00585559,0.0147522,0.00929071,0.00938231,0.00456837,0.0206636,0.00361065,0.00825531,0.00716567,0.0212074,0.0131523,0.0127515,0,0,0.00478809,0,0.022685,0.00409918,0.0461564,0.0166052,0.0271345,0.0146066,0.00246528,0.0310477,0.00102768,0.0369841,0.0129716,0.00971453,0.0114628,0.01519,0.00934799,0.00868669,0.0111396,0.0140468,0.00201403,0.0156584,0,0,0,0.016653,0.00128107,0.0226442,0.0101629,0,0.031016,0.00602644
144,0,0,0,0,0,0,0.00806201,0.0131771,0,0,0,0.0104059,0.0177322,0.00737185,0,0,0.00408102,0,0.0228349,0.001827,0.0377945,0.0132942,0.00852177,0.00888326,0.00557623,0.00746543,0.00672523,0.014286,0.00800538,0.00747174,0.00497178,0.0171718,0.00368787,0.0083325,0.00549333,0.0211955,0.0124947,0.0127083,0,0,0.00488751,0,0.0226638,0.00427728,0.0466889,0.0180283,0.0271079,0.0144268,0.00258859,0.0307289,0.00167277,0.0370296,0.0134689,0.0105945,0.0112744,0.0154873,0.0104277,0.00950048,0.00881566,0.0140764,0.0020679,0.0153458,0,0,0,0.0171238,0.00127456,0.0209444,0.0102513,0,0.0312247,0.0052549
145,0,0,0,0,0,0,0.00803253,0.0132061,0,0,0,0.00920047,0.0176362,0.00774928,0,0,0.00408607,0,0.0227984,0.00178036,0.0382428,0.0122212,0.00863632,0.00845216,0.0053379,0.010572,0.00733902,0.0139835,0.00663137,0.00558869,0.00561458,0.013958,0.00368407,0.00837733,0.00554846,0.0212037,0.0109804,0.0123977,0,0,0.00500281,0,0.0226825,0.00441588,0.0466544,0.0177963,0.0273485,0.0124038,0.00269449,0.0306053,0.00211593,0.0371362,0.012807,0.0104887,0.00988506,0.0139716,0.0100314,0.00955774,0.00629228,0.0140909,0.00214023,0.0151679,0,0,0,0.0175604,0.0012636,0.0189724,0.0100186,0,0.031373,0.00430375
146,0,0,0,0,0,0,0.00795722,0.0136239,0,0,0,0.010138,0.0175557,0.00979826,0,0,0.0039416,0,0.0227446,0.00183424,0.0384697,0.0118483,0.00878499,0.00776972,0.00509834,0.010783,0.00772812,0.0137596,0.00533535,0.00421224,0.00626364,0.0124304,0.00362618,0.00840124,0.00765321,0.0212237,0.00930068,0.0122852,0,0,0.00506659,0,0.0227329,0.00446256,0.0463822,0.0161138,0.0276176,0.00949347,0.00292015,0.0313957,0.00231271,0.037514,0.0110379,0.00923169,0.00809283,0.0118812,0.00823136,0.00805629,0.00673153,0.0144445,0.00222852,0.0153926,0,0,0,0.0178319,0.00137564,0.016953,0.00978311,0,0.031444,0.00353926
147,0,0,0,0,0,0,0.00784122,0.014167,0,0,0,0.0129252,0.0175721,0.0125754,0,0,0.00373142,0,0.022853,0.00177187,0.0384937,0.0129348,0.00894354,0.00684592,0.00494558,0.0102192,0.00784015,0.0135131,0.00431482,0.00409174,0.00677428,0.0141499,0.00340685,0.00845171,0.00744093,0.0213052,0.0072992,0.012274,0,0,0.00488889,0,0.0228147,0.00432952,0.0460067,0.0132307,0.0277312,0.00866145,0.00317839,0.0324656,0.00254932,0.0381285,0.0086016,0.0074971,0.00651463,0.00999141,0.00577575,0.00562469,0.00714394,0.014843,0.0023717,0.0158637,0,0,0,0.0178976,0.00159803,0.0152361,0.00942406,0,0.0313695,0.00333466
148,0,0,0,0,0,0,0.00779162,0.0143618,0,0,0,0.0173201,0.017621,0.0158663,0,0,0.00348448,0,0.0228654,0.00167333,0.0385097,0.0155155,0.00904936,0.00660337,0.00482443,0.00967116,0.00772244,0.0131106,0.00410484,0.00560266,0.00722801,0.0186723,0.00302001,0.00844211,0.00551973,0.0213668,0.00538512,0.0122089,0,0,0.00489067,0,0.0228853,0.00434221,0.0455124,0.0106121,0.0274922,0.00947238,0.00306413,0.0331107,0.00304764,0.0389562,0.00633567,0.0063157,0.00557127,0.0085453,0.00348007,0.00449777,0.00718434,0.0151862,0.00248861,0.0162113,0,0,0,0.0179746,0.00142997,0.0135833,0.0089119,0,0.0316076,0.00355133
149,0,0,0,0,0,0,0.0079517,0.0143681,0,0,0,0.022396,0.0176767,0.0189977,0,0,0.00356762,0,0.0228192,0.0017982,0.038528,0.0190393,0.00884295,0.00675562,0.00445578,0.00893351,0.00760053,0.0126091,0.00473134,0.00757003,0.00748764,0.0247124,0.00278451,0.00838996,0.00560228,0.0214025,0.00459571,0.0122659,0,0,0.00473566,0,0.0229414,0.00426006,0.0444787,0.00949848,0.0269793,0.010517,0.00278461,0.0334582,0.00341128,0.0395262,0.00517592,0.00617548,0.00478145,0.00745922,0.00174938,0.00466036,0.00788501,0.0152834,0.00270327,0.0165953,0,0,0,0.0180716,0.00129606,0.0121387,0.00856177,0,0.0320098,0.00387077
150,0,0,0,0,0,0,0.00820348,0.0141958,0,0,0,0.0269355,0.0176841,0.0220637,0,0,0.00333589,0,0.0227511,0.00151799,0.0385524,0.0229574,0.00842332,0.00689379,0.00412128,0.00894893,0.0075939,0.0121816,0.0058235,0.00949078,0.0074657,0.0306351,0.00225762,0.00834156,0.00577781,0.0213671,0.00426898,0.0123398,0,0,0.0051428,0,0.0228679,0.00453013,0.0430296,0.00903793,0.0265179,0.0107448,0.00248404,0.0334278,0.00347721,0.0395119,0.00557225,0.00664904,0.00368609,0.00677622,0.000684874,0.00456906,0.00882468,0.015418,0.00266756,0.0167003,0,0,0,0.0182273,0.00101019,0.0110435,0.00846682,0,0.0324523,0.00414571
