Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTOE,LUPA,LWRA,R5HD,RANK,RASI,RBAK,RBHD,RELB,RFIN,RFRM,RGTR,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RWRA,STRN,T10,x71,x72,x70,R5FT,LHEE,L5HD,REAR,RHEE,RFHD,RUPA,LTIBP,LTIBI,LTHI,LWRB
31,0,0,0,0,0,0,0.0382228,0.0351501,0,0,0,0.00517613,0.0149366,0.0692269,0,0,0.0329836,0,0.0212139,0.0102457,0.0364028,0.0121901,0.0123677,0.034794,0.0234566,0.0121808,0.0128747,0.00860965,0.00944516,0.0110529,0.0105473,0.0276508,0.00802738,0.199967,0.00693447,0.0115606,0.0404404,0,0.201028,0.163075,0.172529,0.052916,0.00945806,0.0128114,0.0381661,0.0612531,0.00853565,0.0300177,0.0138258,0.00533581,0.00430142,0.00450581,0.00176012,0.00403271,0.011615,0.142163,0.0400351,0.0366786,0,0,0,0.00660079,0.0155833,0.0187094,0,0.00983023,0,0.150973,0.00869217,0.00997222,0,0
32,0,0,0,0,0,0,0.0385764,0.0352082,0,0,0,0.00738361,0.0157594,0.0687906,0,0,0.0327227,0,0.0212845,0.0103534,0.036628,0.0121856,0.012873,0.0348466,0.0234642,0.0120413,0.0132982,0.0083538,0.00808276,0.0101533,0.00831926,0.0275608,0.00802705,0.197289,0.00631594,0.0113451,0.0406982,0,0.19861,0.160727,0.170484,0.0529218,0.0097064,0.0108633,0.0380417,0.061517,0.0087183,0.0310501,0.012714,0.00535515,0.00426806,0.00391234,0.00221632,0.00421332,0.0110689,0.140448,0.0400831,0.0367843,0,0,0,0.00456001,0.0156696,0.0187734,0,0.009651,0,0.14939,0.00937783,0.00949803,0,0
33,0,0,0,0,0,0,0.0389471,0.0352481,0,0,0,0.01106,0.0171698,0.0683725,0,0,0.0324849,0,0.0212541,0.0104093,0.0368671,0.0121783,0.013273,0.0348149,0.0234589,0.011841,0.0138231,0.00827281,0.00666152,0.00947577,0.00889239,0.0274329,0.00797934,0.194491,0.00678276,0.0112387,0.0410241,0,0.195737,0.1583,0.167886,0.0533649,0.00986352,0.0105342,0.0378098,0.0620534,0.00923408,0.0323791,0.0112318,0.00529648,0.00503331,0.00378693,0.00300704,0.00511896,0.011625,0.138252,0.0400994,0.0370296,0,0,0,0.00447491,0.0155735,0.0188216,0,0.0100609,0,0.14754,0.0101572,0.0090965,0,0
34,0,0,0,0,0,0,0.0394275,0.0352967,0,0,0,0.0153508,0.0188611,0.0682338,0,0,0.0321981,0,0.0212187,0.0102923,0.0372865,0.0122363,0.0135135,0.0346748,0.0234207,0.0117629,0.0143723,0.00829776,0.00523296,0.00908378,0.0122806,0.0272541,0.00798247,0.191161,0.00762726,0.0111065,0.0415165,0,0.192621,0.155358,0.165029,0.053741,0.00981623,0.0109003,0.0375111,0.0626881,0.00945996,0.0335071,0.00974175,0.00495355,0.00602291,0.00383794,0.0041471,0.00635866,0.0120637,0.135872,0.0401612,0.0374982,0,0,0,0.00591747,0.0156083,0.0187381,0,0.0103778,0,0.145674,0.010973,0.00871755,0,0
35,0,0,0,0,0,0,0.0399665,0.0353359,0,0,0,0.0196239,0.0207108,0.0681141,0,0,0.0317904,0,0.0212712,0.0102122,0.0378995,0.0123312,0.0135523,0.034463,0.0234538,0.011142,0.0148003,0.0083931,0.00399456,0.00916737,0.0172534,0.0271377,0.00797388,0.187354,0.0081108,0.0109869,0.0421406,0,0.189222,0.152015,0.161817,0.0535968,0.00962206,0.0114179,0.0371604,0.0632648,0.00904813,0.0340389,0.00880784,0.00427015,0.00672115,0.00397159,0.00517479,0.00739991,0.0124092,0.13315,0.0402751,0.0381158,0,0,0,0.00686318,0.0162375,0.0187253,0,0.00988378,0,0.143678,0.0117489,0.00840564,0,0
36,0,0,0,0,0,0,0.040534,0.0353598,0,0,0,0.0237419,0.0225508,0.0679163,0,0,0.0312704,0,0.0211611,0.0101646,0.0385672,0.0124218,0.0134054,0.034244,0.0235298,0.0103731,0.0151394,0.00852225,0.00319166,0.00991749,0.0233112,0.0271621,0.00789766,0.183067,0.00800093,0.0109281,0.0428541,0,0.185458,0.148274,0.158354,0.0528551,0.00950809,0.011663,0.0367452,0.0637843,0.00865593,0.0339018,0.00876425,0.00375672,0.0067291,0.00411572,0.00579516,0.00757176,0.0118233,0.130243,0.040335,0.0387351,0,0,0,0.00706489,0.0176669,0.0186865,0,0.00842912,0,0.141501,0.0124712,0.00824087,0,0
37,0,0,0,0,0,0,0.0411033,0.0354221,0,0,0,0.0277374,0.0239354,0.0677433,0,0,0.0310887,0,0.021073,0.0101959,0.0392103,0.0124476,0.0130309,0.0341313,0.023715,0.00962616,0.0151691,0.00869529,0.00304874,0.0110748,0.0293864,0.0271594,0.00779228,0.17855,0.00754357,0.0108646,0.0436116,0,0.181283,0.14443,0.154371,0.0519298,0.00959282,0.0113274,0.0363032,0.0642542,0.00833024,0.0333063,0.00935183,0.0038476,0.00631999,0.00420268,0.00601397,0.00711413,0.0108975,0.126728,0.0402902,0.0392153,0,0,0,0.00735064,0.0194132,0.018725,0,0.00692551,0,0.138913,0.0131685,0.00821293,0,0
38,0,0,0,0,0,0,0.0416777,0.0357147,0,0,0,0.0315235,0.0242146,0.0676141,0,0,0.0311915,0,0.0210586,0.0103545,0.0398192,0.0124242,0.0127302,0.034242,0.0239814,0.00923764,0.0150314,0.00908598,0.00328509,0.0119792,0.0345128,0.0273715,0.00770063,0.17363,0.00699057,0.0107249,0.0444154,0,0.176914,0.140288,0.150121,0.0513153,0.00981166,0.0106109,0.0359361,0.0647484,0.00830156,0.0327157,0.0097917,0.00419416,0.0059438,0.00420372,0.00595607,0.00652935,0.00977482,0.123087,0.0403128,0.0396087,0,0,0,0.00818551,0.0203033,0.0188586,0,0.00632185,0,0.136035,0.013982,0.00810224,0,0
39,0,0,0,0,0,0,0.0422729,0.0360566,0,0,0,0.0357784,0.0235604,0.0673335,0,0,0.0315364,0,0.0210762,0.0105261,0.0403896,0.0123102,0.0125828,0.0346019,0.0242587,0.00918016,0.0148522,0.00959516,0.00327834,0.0123938,0.0396096,0.0277919,0.00765154,0.168366,0.00658628,0.0105421,0.045223,0,0.172321,0.135887,0.145791,0.0514363,0.00999832,0.00991058,0.0357841,0.06527,0.00832569,0.0327263,0.00974778,0.0041921,0.00574062,0.00424684,0.00600882,0.00617548,0.0093234,0.119374,0.0404733,0.0399937,0,0,0,0.00925293,0.0195811,0.0190118,0,0.00556041,0,0.132904,0.0147479,0.00782884,0,0
40,0,0,0,0,0,0,0.0428196,0.0363523,0,0,0,0.0411137,0.0234053,0.0666278,0,0,0.031904,0,0.020979,0.0106815,0.0409238,0.0120648,0.0127616,0.035155,0.0244751,0.00934216,0.0147583,0.0100081,0.00311183,0.012182,0.0461763,0.0281796,0.00757087,0.16285,0.0062223,0.010377,0.0459318,0,0.167562,0.131265,0.141419,0.0523572,0.0101317,0.0093313,0.0358084,0.0658997,0.00840098,0.0332246,0.00928744,0.00368919,0.00570873,0.00419031,0.00603137,0.00607444,0.00909505,0.115602,0.0406853,0.0403317,0,0,0,0.00987857,0.0183462,0.0191024,0,0.0043105,0,0.129705,0.0154777,0.00718174,0,0
