Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,LWRB,LILC
30,0,0,0,0,0,0,0.0231646,0.0218318,0,0,0,0.0519718,0.0163268,0.0227991,0,0,0.00702678,0,0.0233071,0.00224733,0.0397011,0.0232551,0.0130331,0.027135,0.00479929,0.0144933,0.0181544,0.00995851,0.0151762,0.0165014,0.0186761,0.00550351,0.0199943,0.0676626,0.00610025,0.00808825,0.0159255,0.022529,0.013976,0.0252814,0.030797,0,0,0.0252435,0,0.0229762,0.0172551,0.0533482,0.0211223,0.0163737,0.0150097,0.0107683,0.0660221,0.000742056,0.04335,0.00560306,0.00297426,0.0133258,0.00794216,0.00914327,0.0156586,0.0166024,0.0387671,0.0162533,0.00486259,0.0245159,0.0255473,0,0,0,0.00207043,0
31,0,0,0,0,0,0,0.0208233,0.0158818,0,0,0,0.0559877,0.0155064,0.0273412,0,0,0.00186271,0,0.0243167,0.00472861,0.0362819,0.0242358,0.0103953,0.0021697,0.00810391,0.00954075,0.0127019,0.00901048,0.0113307,0.0146484,0.0183438,0.00761465,0.0201992,0.0700299,0.0042524,0.0087568,0.0149018,0.0221326,0.0135188,0.026408,0.026674,0,0,0.0142543,0,0.0223834,0.011194,0.0495763,0.0186869,0.0254254,0.0118789,0.000999534,0.0562719,0.00224231,0.0444581,0.00485776,0.00379378,0.0120567,0.00981634,0.00972455,0.0139637,0.0132058,0.0287374,0.0127466,0.00352419,0.0177269,0.0226836,0,0,0,0.00165592,0.0314437
32,0,0,0,0,0,0,0.0204685,0.015535,0,0,0,0.0581397,0.0155196,0.0284495,0,0,0.00195108,0,0.0243064,0.00474497,0.0351203,0.0251464,0.0100026,0.00184875,0.00822796,0.00945394,0.012383,0.00906373,0.0112592,0.0154011,0.0192485,0.00768317,0.0204686,0.0722889,0.00419605,0.00877883,0.0149762,0.0220998,0.0136074,0.0264515,0.0260465,0,0,0.0135284,0,0.0224948,0.0108802,0.0501805,0.0190025,0.0258044,0.0125342,0.00111507,0.0548205,0.00206756,0.0444434,0.00470724,0.00386152,0.012599,0.0098922,0.00996453,0.0145885,0.013996,0.0275841,0.0122119,0.00301572,0.0172897,0.0222319,0,0,0,0.00159696,0.0309672
33,0,0,0,0,0,0,0.0202699,0.0153801,0,0,0,0.0602672,0.0155388,0.0292921,0,0,0.00202717,0,0.0243139,0.00474597,0.0339673,0.0259471,0.00953879,0.00174297,0.00828668,0.00931136,0.0121506,0.00917479,0.0111913,0.0161721,0.0200187,0.00765747,0.0207463,0.074983,0.00409243,0.00880998,0.0153994,0.0220401,0.0141583,0.0264723,0.0256553,0,0,0.0129851,0,0.0225616,0.0105078,0.0510302,0.0197772,0.0262459,0.0133306,0.0013124,0.0539411,0.00198013,0.0446128,0.00466675,0.00390173,0.0132693,0.00996364,0.010364,0.0155029,0.0148537,0.0267647,0.0117787,0.00241314,0.0172534,0.0219602,0,0,0,0.0015372,0.0306642
34,0,0,0,0,0,0,0.0201552,0.0152921,0,0,0,0.0622041,0.0155427,0.0296405,0,0,0.00216217,0,0.0243368,0.00477638,0.0329088,0.0263965,0.00913289,0.0017048,0.00827187,0.00934063,0.0119617,0.00924463,0.0112068,0.0164707,0.0205117,0.00760316,0.0209479,0.0776099,0.00400821,0.00884236,0.0158697,0.0220238,0.0148357,0.026446,0.0253896,0,0,0.0125868,0,0.0226003,0.0102297,0.0518859,0.0205008,0.0266445,0.0141745,0.00151131,0.0533038,0.00196221,0.044893,0.00476603,0.00386938,0.013996,0.0100206,0.0107824,0.0164327,0.0155676,0.0261344,0.0114282,0.00233253,0.0173903,0.0217744,0,0,0,0.00144114,0.0304051
35,0,0,0,0,0,0,0.0200414,0.0152174,0,0,0,0.0637129,0.0155161,0.0295659,0,0,0.00235648,0,0.0243718,0.00480116,0.0319729,0.0263481,0.0088408,0.00171864,0.00828013,0.00932132,0.0118052,0.00933624,0.0112619,0.0162895,0.0207009,0.00741167,0.0210176,0.0796245,0.00398934,0.00886463,0.016276,0.0220477,0.0154065,0.0263912,0.0251929,0,0,0.0122812,0,0.0226242,0.010061,0.0525915,0.0214693,0.0269587,0.0150321,0.00174941,0.0528785,0.00195838,0.045168,0.00492193,0.00382129,0.0146076,0.0100345,0.0110661,0.0170961,0.0161525,0.0256885,0.0111801,0.00265483,0.0173698,0.0216246,0,0,0,0.00136463,0.0301346
36,0,0,0,0,0,0,0.0200289,0.0151701,0,0,0,0.0645285,0.0154647,0.0290154,0,0,0.00254743,0,0.0244251,0.00478411,0.0311843,0.0258078,0.00840033,0.0017565,0.00832323,0.00925584,0.0115587,0.00944505,0.0113611,0.0161233,0.0204903,0.00717037,0.0209432,0.0809256,0.00401133,0.00889378,0.0166418,0.0220306,0.0158628,0.026337,0.0251541,0,0,0.0120116,0,0.0226236,0.00993292,0.0531519,0.0222059,0.0271945,0.0158082,0.0019906,0.0527003,0.00195573,0.0454394,0.00510292,0.00387229,0.0150717,0.00999235,0.0112339,0.017623,0.0166765,0.0253886,0.0109957,0.00283078,0.0170921,0.0215958,0,0,0,0.00138913,0.0298524
37,0,0,0,0,0,0,0.0200438,0.0151332,0,0,0,0.064659,0.0153973,0.0282461,0,0,0.0027503,0,0.0244834,0.00477191,0.030564,0.0252527,0.00779853,0.0017914,0.00829873,0.00934544,0.0113381,0.0095445,0.0114847,0.0160215,0.0199449,0.00696201,0.0208204,0.0817406,0.00402684,0.00893468,0.0170651,0.0220012,0.016301,0.026371,0.0251953,0,0,0.0118913,0,0.022619,0.00985841,0.0536015,0.0227083,0.0274157,0.0163902,0.00229761,0.0526687,0.00194543,0.0456459,0.00531305,0.00378327,0.0155421,0.00991653,0.01137,0.0182008,0.0172638,0.0252587,0.0108543,0.00272193,0.0167458,0.0216458,0,0,0,0.00141137,0.0295805
38,0,0,0,0,0,0,0.0200433,0.015119,0,0,0,0.0643247,0.0153565,0.0273632,0,0,0.00275504,0,0.0245457,0.0047929,0.0301468,0.0247853,0.00718215,0.00184992,0.00816663,0.00928528,0.0110039,0.0095664,0.011564,0.0159045,0.01923,0.00662687,0.0206813,0.0819875,0.00387772,0.00898626,0.0175787,0.022045,0.0169313,0.0265246,0.0252819,0,0,0.0117931,0,0.0227519,0.00974113,0.0540687,0.0233671,0.0276551,0.0170701,0.00275455,0.0526836,0.00186696,0.0457801,0.00557832,0.00363918,0.0163004,0.0098657,0.0115957,0.019093,0.0183428,0.0251982,0.0102657,0.00292086,0.0164865,0.0217577,0,0,0,0.00127459,0.0292953
39,0,0,0,0,0,0,0.0200892,0.0151553,0,0,0,0.0638234,0.0153077,0.026576,0,0,0.00280725,0,0.0246028,0.00487974,0.0299606,0.0243928,0.0064469,0.00192384,0.00813124,0.00915401,0.0105487,0.00944915,0.0116896,0.0155252,0.0185697,0.00619202,0.0205206,0.0819168,0.00381428,0.00902968,0.018012,0.0220021,0.0174656,0.0267339,0.0254493,0,0,0.0120286,0,0.0226471,0.00981619,0.0545626,0.0241739,0.0279295,0.0175566,0.0032395,0.0530954,0.00176767,0.0458465,0.00575532,0.00358038,0.01702,0.00986242,0.0118418,0.0200411,0.0193516,0.0255582,0.0105096,0.00326578,0.0163835,0.0219429,0,0,0,0.00105361,0.0290424
40,0,0,0,0,0,0,0.020076,0.01519,0,0,0,0.063014,0.0152529,0.0258959,0,0,0.00292294,0,0.0246442,0.00495836,0.0299658,0.0240437,0.00564588,0.0020283,0.00814783,0.00909438,0.00999569,0.00923088,0.011855,0.015077,0.0179082,0.0059505,0.0203431,0.0810989,0.00391424,0.00906312,0.0183883,0.0219692,0.0178591,0.0269061,0.0254825,0,0,0.0121442,0,0.022607,0.00988819,0.0550886,0.0248764,0.0281526,0.0180366,0.00362818,0.053369,0.00172415,0.0459496,0.00581997,0.0036359,0.017615,0.00989505,0.0120737,0.0208612,0.0201681,0.0257219,0.010557,0.00316941,0.016336,0.0220233,0,0,0,0.000875354,0.0288296
41,0,0,0,0,0,0,0.0200235,0.0152476,0,0,0,0.0621578,0.0152201,0.0253697,0,0,0.002942,0,0.0246734,0.00499858,0.0301175,0.0237944,0.00466051,0.00212108,0.00817293,0.00903183,0.00939774,0.00906072,0.0120411,0.0147882,0.0170434,0.00568201,0.020127,0.0796944,0.0041075,0.00908549,0.0189301,0.0219514,0.0181181,0.0270169,0.0255039,0,0,0.0123005,0,0.0225906,0.0100031,0.0556845,0.0253543,0.0283107,0.0185636,0.00396885,0.0536642,0.00178334,0.0461266,0.00585877,0.00377756,0.0181246,0.00995871,0.0122768,0.0214992,0.0210123,0.0258944,0.0106893,0.00272257,0.0163502,0.0220617,0,0,0,0.00072921,0.0286582
42,0,0,0,0,0,0,0.02,0.0152641,0,0,0,0.0604673,0.0152342,0.0247248,0,0,0.002885,0,0.0246797,0.0049803,0.0304261,0.0235189,0.0037747,0.00207123,0.00821022,0.00874927,0.00870281,0.00886011,0.012207,0.0144321,0.0160716,0.00524324,0.0198719,0.0777849,0.00421935,0.00909447,0.0192932,0.0219622,0.0183082,0.0271245,0.0255487,0,0,0.0124301,0,0.0226008,0.0101211,0.0564188,0.0261282,0.0284534,0.0190465,0.00429599,0.0539223,0.0019196,0.0463862,0.00603102,0.00397047,0.0184657,0.0100628,0.0124191,0.0220067,0.0219314,0.0260652,0.0107531,0.0024902,0.0163078,0.0221098,0,0,0,0.000609933,0.0284698
43,0,0,0,0,0,0,0.0199824,0.015243,0,0,0,0.0586107,0.0152367,0.0241042,0,0,0.00277925,0,0.0246599,0.00492602,0.0309004,0.0233088,0.00379427,0.00187118,0.0082714,0.00832193,0.00811732,0.00877461,0.0123453,0.0140405,0.0149729,0.0049025,0.0196125,0.0750261,0.00429297,0.00909283,0.0195346,0.0219658,0.0185652,0.0271949,0.0256107,0,0,0.0125846,0,0.0226116,0.0101286,0.0572973,0.0269357,0.0286153,0.0195757,0.0045874,0.054195,0.00213775,0.0467407,0.00626086,0.00415192,0.0187942,0.0101895,0.0125828,0.0224475,0.0229496,0.0262469,0.0107708,0.00238979,0.0160631,0.0221532,0,0,0,0.000497592,0.0282018
44,0,0,0,0,0,0,0.0199345,0.015259,0,0,0,0.0560101,0.0152575,0.0236391,0,0,0.00266142,0,0.0246409,0.0048833,0.0315742,0.0234813,0.00559846,0.00159145,0.00825995,0.00795492,0.00794542,0.0089356,0.0125077,0.013673,0.013721,0.00471221,0.0192454,0.0711586,0.0043138,0.00908348,0.0197122,0.0219661,0.0189158,0.02721,0.0256382,0,0,0.0127596,0,0.0226202,0.0101974,0.0582029,0.027522,0.0288133,0.0202047,0.00485439,0.0545228,0.00242459,0.0471748,0.00657772,0.00430417,0.0192568,0.0101953,0.0128427,0.0230881,0.023899,0.0264064,0.0108127,0.00240669,0.0158539,0.0221519,0,0,0,0.000412023,0.0278299
45,0,0,0,0,0,0,0.0199915,0.0153953,0,0,0,0.0519088,0.0152953,0.0230936,0,0,0.00257562,0,0.0246157,0.00488402,0.0325069,0.0239078,0.00967077,0.00135064,0.00820293,0.00793592,0.0093532,0.00979004,0.0128081,0.0134606,0.0119584,0.00443968,0.0186833,0.0655043,0.00420491,0.00906553,0.0199294,0.0219741,0.019253,0.0270523,0.0257416,0,0,0.0128846,0,0.0226308,0.0102722,0.0590338,0.0280086,0.0289887,0.0207209,0.00506105,0.0550232,0.00278788,0.0476257,0.00683261,0.0044522,0.0197451,0.0101484,0.0131013,0.0236694,0.0248493,0.0265796,0.0107528,0.00242169,0.0157364,0.0222318,0,0,0,0.000349544,0.027408
46,0,0,0,0,0,0,0.0200362,0.0154355,0,0,0,0.0469405,0.0153207,0.0222636,0,0,0.00249992,0,0.0245617,0.0048414,0.0335789,0.0241969,0.0142026,0.00128181,0.00816228,0.00855876,0.0120345,0.0111352,0.013178,0.0134376,0.0103739,0.00423156,0.0181028,0.0588258,0.00415931,0.00902664,0.0202937,0.0219947,0.0196916,0.0268469,0.0257768,0,0,0.0130885,0,0.0226629,0.0104144,0.0598652,0.0287935,0.0291869,0.021429,0.00541632,0.0553581,0.00304575,0.048065,0.00723133,0.00473123,0.0203517,0.0100459,0.013354,0.0243714,0.0261376,0.0267307,0.0108316,0.00240482,0.0155389,0.0222775,0,0,0,0.00031148,0.0269754
47,0,0,0,0,0,0,0.019959,0.0153839,0,0,0,0.0423766,0.0153302,0.0211085,0,0,0.0024454,0,0.0245183,0.00481825,0.0345089,0.0239931,0.0165842,0.00152538,0.00818479,0.00912681,0.0135172,0.0114398,0.0135566,0.013219,0.00951457,0.00414568,0.0176747,0.0530834,0.00416069,0.00901041,0.0207057,0.022004,0.0200628,0.0264993,0.0257112,0,0,0.0131436,0,0.0227155,0.0104506,0.0605843,0.029624,0.0293305,0.0221901,0.00564762,0.0554016,0.00309774,0.0484727,0.00770956,0.00504183,0.0209127,0.00994336,0.0135398,0.0249944,0.0273147,0.0266345,0.0107526,0.00241804,0.0153815,0.0222021,0,0,0,0.000330882,0.0265766
48,0,0,0,0,0,0,0.0198654,0.0153645,0,0,0,0.0379167,0.0153341,0.0197335,0,0,0.00239698,0,0.0245101,0.00481282,0.0353221,0.0232536,0.0177273,0.00173482,0.00819173,0.00922783,0.0138763,0.0109116,0.013996,0.0126925,0.00891229,0.0041605,0.0172786,0.047372,0.00417602,0.00901941,0.0212243,0.0219957,0.0204897,0.0260614,0.0256338,0,0,0.0132399,0,0.0226959,0.0105011,0.061203,0.0302442,0.0293869,0.0229684,0.00585665,0.0555616,0.00312117,0.0488486,0.00821401,0.00541676,0.0213966,0.00995254,0.0135832,0.0254659,0.0285666,0.0266408,0.0110432,0.00232446,0.0153838,0.0221289,0,0,0,0.000390433,0.0262429
49,0,0,0,0,0,0,0.0197461,0.0153581,0,0,0,0.0330299,0.0153631,0.0179911,0,0,0.00244474,0,0.0245313,0.00485659,0.0360586,0.0217065,0.017826,0.00196492,0.00826827,0.00887639,0.0132873,0.00991494,0.0146025,0.0118595,0.0082799,0.00423502,0.0168521,0.041494,0.00412841,0.00903643,0.0218645,0.0220152,0.020974,0.0255383,0.0255177,0,0,0.0131887,0,0.0227273,0.0104514,0.0616227,0.030621,0.0293325,0.0237583,0.00592113,0.0555938,0.00308098,0.0492209,0.00876994,0.00571447,0.0218637,0.00996849,0.0136163,0.0258884,0.0295663,0.0265265,0.0110208,0.00227991,0.0154815,0.0220617,0,0,0,0.000497352,0.0259862
50,0,0,0,0,0,0,0.0196347,0.0153229,0,0,0,0.027641,0.015386,0.0158092,0,0,0.00257306,0,0.0245603,0.00489065,0.0367004,0.0194946,0.0170228,0.00224611,0.00844803,0.00821692,0.0123666,0.00872107,0.0153952,0.0108215,0.00731029,0.00409763,0.0164436,0.0351015,0.00410648,0.00907292,0.0222755,0.0220275,0.0215349,0.024961,0.0253964,0,0,0.0129632,0,0.0227558,0.010328,0.0619707,0.0311511,0.0292568,0.0245399,0.00584391,0.0554752,0.0029439,0.0496379,0.00940657,0.00594888,0.022335,0.00997978,0.01372,0.0263546,0.0303487,0.026307,0.0109015,0.00219254,0.0155037,0.0220149,0,0,0,0.000620985,0.0257649
51,0,0,0,0,0,0,0.0195099,0.015286,0,0,0,0.0220724,0.0153938,0.0131467,0,0,0.00265769,0,0.0245762,0.00493969,0.0373183,0.0170308,0.0159554,0.00252747,0.0086524,0.0073463,0.0109652,0.00758545,0.0164086,0.0095859,0.00643047,0.00352137,0.0160789,0.0284266,0.00416779,0.00909616,0.0226958,0.0220224,0.0211599,0.0244065,0.025256,0,0,0.0126718,0,0.0227458,0.0102009,0.0621836,0.0307594,0.0292209,0.0240088,0.00565094,0.0553215,0.00300039,0.0498754,0.00930728,0.00584514,0.0220679,0.0099869,0.0134475,0.026107,0.0305889,0.0261082,0.0109196,0.00207094,0.0155488,0.0219343,0,0,0,0.000792866,0.0255925
52,0,0,0,0,0,0,0.0195777,0.0151761,0,0,0,0.0202063,0.0154031,0.01186,0,0,0.00267281,0,0.0245854,0.00497612,0.0360567,0.0151734,0.0138481,0.00608567,0.00862454,0.00789647,0.0088456,0.00730429,0.0186461,0.00848463,0.00595343,0.00322129,0.0163067,0.0264563,0.00416837,0.00909634,0.0261363,0.0219809,0.0194495,0.0228913,0.0249155,0,0,0.0118741,0,0.0226925,0.00978536,0.0551445,0.03431,0.0324581,0.0191068,0.0057976,0.0547151,0.00942105,0.0514186,0.0176582,0.00881399,0.00596074,0.00871148,0.0124633,0.0215098,0.034403,0.0254631,0.0107566,0.00188464,0.0154585,0.0215701,0,0,0,0.000959093,0.0235369
53,0,0,0,0,0,0,0.0194063,0.0151809,0,0,0,0.0146715,0.015398,0.00890771,0,0,0.00283933,0,0.0245964,0.00511062,0.0365661,0.0115439,0.0120316,0.00652147,0.0088707,0.00702525,0.00679723,0.00672431,0.0195201,0.0065342,0.00478829,0.00244616,0.0162842,0.0206408,0.00435942,0.00910806,0.0252723,0.0219915,0.0193832,0.0226019,0.0246819,0,0,0.011565,0,0.0227296,0.00960661,0.0555443,0.0339724,0.0323111,0.0185633,0.00534283,0.0543528,0.00931119,0.0515977,0.0172307,0.00891795,0.00600699,0.00835,0.0124456,0.0212394,0.0336617,0.0251606,0.0106385,0.0018197,0.0154949,0.0214033,0,0,0,0.00115084,0.0235406
54,0,0,0,0,0,0,0.019223,0.0152259,0,0,0,0.00980005,0.0153902,0.00616094,0,0,0.00306878,0,0.024608,0.00528522,0.0368692,0.00770866,0.00985796,0.00693304,0.00910504,0.00681092,0.00575762,0.00641533,0.0202862,0.00435488,0.00354095,0.00147329,0.0167115,0.0156316,0.00454026,0.00912422,0.0245211,0.0220027,0.0191929,0.0223591,0.0244681,0,0,0.01123,0,0.0227605,0.00944469,0.0559521,0.0334548,0.0321478,0.0180439,0.00479878,0.0540575,0.00924917,0.0518286,0.0168795,0.00895986,0.00605353,0.00800221,0.0123494,0.0208664,0.0329825,0.0249238,0.0105172,0.00172553,0.0155775,0.0212637,0,0,0,0.00131827,0.0236896
55,0,0,0,0,0,0,0.0189705,0.0153486,0,0,0,0.00914774,0.0153324,0.00231858,0,0,0.00349583,0,0.0246986,0.00555949,0.0361985,0.00466618,0.00474888,0.0077618,0.00957609,0.00959739,0.00939378,0.00475305,0.0197247,0.00395583,0.00445041,0.00306923,0.0201778,0.0170509,0.00478142,0.00918896,0.0238448,0.0219939,0.0188514,0.0222864,0.0241478,0,0,0.0103607,0,0.0227582,0.00900265,0.0563091,0.0327434,0.0321422,0.0176622,0.00377312,0.0535949,0.00895746,0.0518542,0.0163615,0.00893233,0.00612678,0.00768492,0.012168,0.0203973,0.0324265,0.0243482,0.0101908,0.00158411,0.0158201,0.0210292,0,0,0,0.00149872,0.0238005
56,0,0,0,0,0,0,0.0188598,0.0154447,0,0,0,0.00614446,0.015294,0.00269971,0,0,0.00369629,0,0.0248359,0.00571369,0.0363324,0.00841276,0.00809245,0.00825807,0.00978829,0.0119497,0.0131717,0.00615081,0.0198423,0.00603832,0.00519866,0.00328716,0.0218628,0.0127402,0.00488161,0.00927487,0.0231524,0.0220176,0.0186699,0.02208,0.0241237,0,0,0.00990724,0,0.0228339,0.00872187,0.0566137,0.0323834,0.0320096,0.017192,0.00328777,0.0534946,0.00880431,0.0520658,0.01586,0.00902686,0.00617953,0.00737383,0.0120857,0.020092,0.0320028,0.0240444,0.00964823,0.00171371,0.0160096,0.0209954,0,0,0,0.00164924,0.0241112
57,0,0,0,0,0,0,0.0187721,0.0155253,0,0,0,0.00612768,0.0152473,0.0060629,0,0,0.00388987,0,0.0249273,0.00587774,0.03659,0.0126615,0.011152,0.0087766,0.00993648,0.0142319,0.0163052,0.00784761,0.0202462,0.00795448,0.00606471,0.00405363,0.0228542,0.00848966,0.00496027,0.00934176,0.0223907,0.0219703,0.0184455,0.0218805,0.024152,0,0,0.00983506,0,0.0227584,0.00862309,0.0568328,0.0319726,0.0318354,0.0166495,0.00290415,0.0536257,0.00867334,0.052291,0.0154192,0.00916715,0.00620723,0.00705758,0.0120037,0.0198192,0.0315602,0.0240804,0.00969847,0.00163952,0.0161605,0.0209964,0,0,0,0.00182395,0.0245033
58,0,0,0,0,0,0,0.0186483,0.0155778,0,0,0,0.00869288,0.0151744,0.00880042,0,0,0.00415737,0,0.0250149,0.00607792,0.0368433,0.0158215,0.0137903,0.0094455,0.0100423,0.0162994,0.0188092,0.00949277,0.0207751,0.00914714,0.00685284,0.00446567,0.0234362,0.00545415,0.00502221,0.00941286,0.0216101,0.0219579,0.0182335,0.0217355,0.0241086,0,0,0.00970527,0,0.022749,0.00851426,0.0569803,0.0315341,0.031642,0.0160744,0.00254584,0.0536765,0.00858793,0.0524693,0.0150131,0.00913754,0.0062718,0.00676143,0.0119191,0.0195679,0.0310197,0.0240407,0.0096012,0.00167341,0.0161728,0.0209395,0,0,0,0.00205849,0.0248744
59,0,0,0,0,0,0,0.0184493,0.0155253,0,0,0,0.0111087,0.0150824,0.0104645,0,0,0.00451886,0,0.0250972,0.0062371,0.0371289,0.0177183,0.0156054,0.010179,0.0101911,0.0179934,0.0206934,0.0109457,0.0214297,0.0099898,0.00759982,0.00444661,0.0239227,0.00369524,0.00518863,0.00947747,0.0208566,0.0219521,0.0181423,0.0216741,0.0239606,0,0,0.00953397,0,0.0227538,0.00841597,0.0571394,0.0312496,0.0314797,0.0154842,0.0022813,0.0534611,0.0085658,0.052601,0.0145409,0.00909212,0.00634712,0.00650432,0.0119228,0.0194133,0.0304938,0.0238933,0.00957656,0.00170306,0.0161174,0.0207915,0,0,0,0.00228627,0.0251829
60,0,0,0,0,0,0,0.0183452,0.0156085,0,0,0,0.0129545,0.015016,0.0118627,0,0,0.00492046,0,0.0250954,0.00639045,0.0373483,0.0193337,0.017519,0.0108537,0.0102849,0.0194933,0.0223306,0.0121664,0.0218883,0.0107529,0.00835677,0.00431671,0.0243495,0.00454316,0.00530199,0.00947673,0.0200596,0.0219452,0.0181281,0.0216734,0.0239594,0,0,0.00943885,0,0.0227331,0.0083634,0.0574351,0.0311566,0.031437,0.014779,0.0021235,0.0536057,0.00849896,0.0526907,0.0140142,0.00898225,0.00641025,0.0062271,0.0119898,0.0192657,0.0301173,0.0239476,0.00951701,0.00177009,0.0162268,0.020754,0,0,0,0.00229202,0.0254323
61,0,0,0,0,0,0,0.0183167,0.0157314,0,0,0,0.0146437,0.0149664,0.0131558,0,0,0.00522253,0,0.0251242,0.00653599,0.0375607,0.0207951,0.0187474,0.0113409,0.0102651,0.0205539,0.0233488,0.0130263,0.0224116,0.0109143,0.00859006,0.00406465,0.0241969,0.00644521,0.00526439,0.00950792,0.0191061,0.0219662,0.0181436,0.0217464,0.0240978,0,0,0.00946658,0,0.0227487,0.00833552,0.0578515,0.0311533,0.0314596,0.0138088,0.0020751,0.0539829,0.00843317,0.0528215,0.0135174,0.0088188,0.00648142,0.00591086,0.0120484,0.0190716,0.0297119,0.0241211,0.00935969,0.00191745,0.0163935,0.0208145,0,0,0,0.00230074,0.0256125
62,0,0,0,0,0,0,0.0182886,0.0156372,0,0,0,0.0158828,0.0149028,0.0135777,0,0,0.00554494,0,0.0251748,0.00666831,0.0378921,0.0211394,0.0194369,0.0117646,0.0103812,0.0210581,0.0236712,0.0137408,0.0231462,0.0105214,0.00847209,0.00373178,0.0236273,0.00686962,0.00540079,0.00955338,0.0183143,0.0219515,0.01773,0.0218357,0.0240836,0,0,0.00929169,0,0.0227379,0.00823816,0.0583163,0.030634,0.0313789,0.0124164,0.0020556,0.0537582,0.0083248,0.0530677,0.0128344,0.00834062,0.00637964,0.00568442,0.0117355,0.0185425,0.0295451,0.0239556,0.00938888,0.00188254,0.0163422,0.0207848,0,0,0,0.00238303,0.0256628
63,0,0,0,0,0,0,0.0182757,0.0156064,0,0,0,0.0160024,0.0148371,0.0137027,0,0,0.00575452,0,0.0252161,0.006759,0.038184,0.0212629,0.0198336,0.0120022,0.0104171,0.0211272,0.023577,0.0139821,0.0235661,0.0101801,0.00841572,0.00353814,0.0234892,0.00721913,0.00538582,0.00958704,0.0173962,0.0219144,0.0173722,0.0220319,0.0241266,0,0,0.00913889,0,0.0227127,0.0081592,0.0588326,0.0301161,0.0313606,0.0110418,0.00191688,0.053737,0.00819028,0.0532997,0.0121272,0.0077795,0.00631196,0.00544735,0.0114607,0.0179535,0.0294242,0.023915,0.00928622,0.00193837,0.0164065,0.0208138,0,0,0,0.00249324,0.0256206
64,0,0,0,0,0,0,0.0182993,0.0156071,0,0,0,0.0157212,0.0147575,0.0135512,0,0,0.0059376,0,0.0252672,0.00676278,0.0384115,0.021053,0.0196648,0.0121419,0.0103946,0.0207033,0.0229748,0.0139639,0.0237341,0.00982111,0.00830708,0.00342406,0.0234379,0.00712824,0.00534839,0.00963663,0.016438,0.0218861,0.0170034,0.0223449,0.0241906,0,0,0.00900699,0,0.022679,0.00808801,0.0593527,0.0295063,0.0314022,0.00969943,0.0017836,0.053788,0.00805161,0.0534946,0.011467,0.00711162,0.00621171,0.00522768,0.0111273,0.0171884,0.0290817,0.0239249,0.00919967,0.00204517,0.0164922,0.0208646,0,0,0,0.00262766,0.0254561
65,0,0,0,0,0,0,0.018351,0.0156766,0,0,0,0.0150689,0.0147167,0.0130021,0,0,0.00611388,0,0.0253079,0.00668055,0.0385396,0.020263,0.0189299,0.0121024,0.0103026,0.019869,0.0217429,0.0137495,0.0238197,0.00926832,0.00791898,0.00327344,0.0231133,0.00713402,0.0052217,0.00967282,0.0154856,0.0218848,0.0167058,0.0227674,0.0243365,0,0,0.00898427,0,0.0226503,0.00804661,0.0598324,0.0289519,0.0315739,0.00847022,0.00167773,0.0540323,0.0079644,0.0536102,0.0108612,0.00642247,0.00610596,0.00505194,0.0107461,0.0162738,0.0282879,0.0240196,0.00911986,0.00214335,0.0166251,0.0209359,0,0,0,0.0027368,0.0252356
66,0,0,0,0,0,0,0.0183725,0.0156935,0,0,0,0.0142309,0.014703,0.0120633,0,0,0.00616305,0,0.0253589,0.00672235,0.0385986,0.0188275,0.0176232,0.012061,0.0102068,0.0185959,0.0199113,0.0130868,0.0239779,0.00828688,0.00708033,0.00312514,0.0224665,0.00692998,0.00509851,0.00969255,0.0145713,0.0219094,0.0165774,0.023222,0.0244524,0,0,0.00885445,0,0.0227088,0.00794382,0.0601961,0.0283492,0.0316954,0.00737021,0.00170773,0.0541636,0.00794113,0.0537521,0.0103074,0.00573827,0.00598861,0.00490689,0.0103002,0.0152402,0.0272694,0.0239602,0.00879657,0.00230966,0.0166936,0.0209602,0,0,0,0.00275805,0.0250036
67,0,0,0,0,0,0,0.0183371,0.015638,0,0,0,0.0133754,0.0146807,0.0111132,0,0,0.00607994,0,0.0253694,0.00661185,0.0385329,0.017382,0.0160809,0.0120076,0.0101508,0.0171505,0.0177732,0.0120333,0.0238652,0.0071579,0.00616926,0.00297778,0.0218853,0.00711534,0.00505249,0.00970182,0.0136521,0.0218903,0.0165422,0.0237701,0.0244536,0,0,0.00882493,0,0.0226753,0.00799622,0.0605057,0.0278294,0.0318215,0.0064059,0.00172612,0.0542084,0.0079012,0.0538313,0.00983673,0.00511482,0.00590213,0.00477635,0.00983286,0.0141486,0.0264636,0.0239426,0.00890697,0.00229012,0.0166937,0.0208632,0,0,0,0.00273053,0.0247145
