Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,LWRB,LILC
9,0,0,0,0,0,0,0.0205657,0.0226178,0,0,0,0.00465823,0.0159013,0.00660979,0,0,0.00572439,0,0.0232237,0.00244383,0.0328915,0.0119825,0.00450873,0.0351412,0.0048463,0.0503976,0.00720298,0.00383765,0.0177573,0.00549416,0.00523898,0.00319054,0.0171049,0.00802061,0.00525822,0.00904287,0.00600254,0.0222293,0.0117045,0.0258074,0.0290599,0,0,0.0236359,0,0.0228236,0.0161495,0.0491053,0.0144719,0.014696,0.00230345,0.0121607,0.0646767,0.00270436,0.0386482,0.00412138,0.00286039,0.0106308,0.0133077,0.0108881,0.0112642,0.00485178,0.0370508,0.0147992,0.00420857,0.0255054,0.0244902,0,0,0,0,0
10,0,0,0,0,0,0,0.0206326,0.0227181,0,0,0,0.00349653,0.0157465,0.0055459,0,0,0.00557143,0,0.0231137,0.0025309,0.0335667,0.0109659,0.00465557,0.0354768,0.00448659,0.0477803,0.0070902,0.0041691,0.0171116,0.00469905,0.0040455,0.00344475,0.0174449,0.00559194,0.00494956,0.00907919,0.00691616,0.0222479,0.0123958,0.0264771,0.0291437,0,0,0.0235432,0,0.0228561,0.0159185,0.0493827,0.0193635,0.0141976,0.00244315,0.0119853,0.0645473,0.00225845,0.0387579,0.00513993,0.00359958,0.011746,0.0144379,0.0120324,0.0122291,0.00399877,0.0369056,0.0147305,0.00424119,0.0257455,0.0245037,0,0,0,0,0
11,0,0,0,0,0,0,0.0208525,0.0228806,0,0,0,0.00433406,0.0157398,0.00526956,0,0,0.00556494,0,0.0232001,0.00266953,0.0343971,0.0098548,0.00514016,0.0354795,0.00429126,0.0449553,0.007091,0.00483697,0.0166698,0.00389573,0.00278628,0.00363056,0.0178494,0.00447617,0.00484558,0.00915306,0.00930827,0.0222628,0.0121588,0.0266391,0.0291235,0,0,0.0234814,0,0.0228404,0.0159479,0.0491796,0.0222711,0.0141758,0.00466034,0.0118519,0.0645363,0.0022487,0.0384943,0.00608765,0.00459261,0.0120259,0.0140841,0.0122353,0.0131254,0.00498128,0.0367074,0.0148522,0.00417059,0.025881,0.0244305,0,0,0,0,0
12,0,0,0,0,0,0,0.0211648,0.0230744,0,0,0,0.00732748,0.0158143,0.00634256,0,0,0.00563092,0,0.0233844,0.00276682,0.0352605,0.0092598,0.00599576,0.0352214,0.00425478,0.041818,0.00726331,0.00552942,0.0164519,0.00308667,0.0017796,0.00397889,0.0180045,0.00611451,0.00491248,0.00927252,0.0119117,0.0222917,0.0126049,0.026548,0.0290454,0,0,0.0234623,0,0.0228692,0.016172,0.0489385,0.0233303,0.0143395,0.00459591,0.0116509,0.0648377,0.00262652,0.0385102,0.0064645,0.00516032,0.0119948,0.012848,0.0117236,0.0138799,0.00693954,0.0367335,0.0147806,0.00410249,0.026027,0.0242978,0,0,0,0,0
13,0,0,0,0,0,0,0.0212987,0.023289,0,0,0,0.0112678,0.0157809,0.00760522,0,0,0.00563164,0,0.0234345,0.00279552,0.0359667,0.00903857,0.0066909,0.0348443,0.00437052,0.0383581,0.00763224,0.00617471,0.0161553,0.00300347,0.00210598,0.00413849,0.0180949,0.00972277,0.00504771,0.0093163,0.0122247,0.0223553,0.0128526,0.0264387,0.0290284,0,0,0.0234967,0,0.0229475,0.0162665,0.049281,0.0232615,0.0145672,0.00439661,0.0113405,0.0652798,0.00303364,0.0391048,0.0060089,0.00514637,0.0115898,0.0120151,0.0110366,0.0134247,0.00769836,0.0370728,0.0146412,0.00404147,0.0261953,0.0241395,0,0,0,0,0
14,0,0,0,0,0,0,0.0212816,0.0234563,0,0,0,0.0154037,0.0156355,0.00924846,0,0,0.00544444,0,0.0235183,0.0027144,0.0365919,0.00958669,0.00685592,0.034315,0.00434736,0.0348902,0.0080139,0.00668955,0.0158076,0.0043157,0.00359146,0.00407639,0.0180062,0.0139639,0.00500481,0.00938785,0.0117511,0.0224116,0.0119687,0.0262907,0.0291322,0,0,0.0233885,0,0.0230194,0.0162317,0.0500818,0.0224517,0.0147025,0.00543876,0.0109236,0.0657153,0.00304442,0.040081,0.00450275,0.00428727,0.0105778,0.0115063,0.0102664,0.0120527,0.00623693,0.0372982,0.0144633,0.00386703,0.0263099,0.0241023,0,0,0,0,0
15,0,0,0,0,0,0,0.0213134,0.0236214,0,0,0,0.0192064,0.01553,0.0112661,0,0,0.0052602,0,0.0234937,0.00274369,0.0372355,0.0106073,0.00675874,0.0338874,0.00424938,0.0314977,0.00845833,0.00733653,0.015291,0.00592265,0.00522764,0.00401912,0.0178936,0.0183348,0.00495717,0.00933212,0.0107404,0.0224747,0.0106974,0.0262424,0.0293671,0,0,0.02327,0,0.0230913,0.0162417,0.0506704,0.0207471,0.0146487,0.00426109,0.0106043,0.0662302,0.00258939,0.0409874,0.00285395,0.00287922,0.00926924,0.0109405,0.0091901,0.0106651,0.00561728,0.037358,0.0140578,0.00379088,0.0263275,0.0242199,0,0,0,0,0
16,0,0,0,0,0,0,0.0216841,0.0239425,0,0,0,0.0229478,0.0152307,0.0131405,0,0,0.00561609,0,0.0237454,0.00239121,0.0379034,0.0120378,0.00705592,0.0343277,0.00429564,0.0280461,0.00911526,0.00798774,0.0145292,0.00688241,0.00694485,0.00406377,0.0178833,0.0229191,0.00513162,0.0088455,0.0110335,0.0224966,0.0100843,0.0265145,0.0296832,0,0,0.0235943,0,0.0231142,0.0163912,0.0505854,0.0195673,0.0142524,0.00301439,0.0108217,0.0669729,0.00208665,0.0414754,0.00214356,0.00188945,0.00845573,0.0101833,0.00831497,0.0105468,0.00583041,0.0376055,0.0141036,0.00386366,0.026493,0.0245262,0,0,0,0.00066039,0
17,0,0,0,0,0,0,0.0222253,0.0241681,0,0,0,0.0265271,0.0152305,0.0149531,0,0,0.00588847,0,0.0237335,0.00244619,0.0386088,0.0139916,0.00785628,0.0347895,0.00442192,0.0245834,0.00984536,0.00849613,0.0137699,0.00786279,0.00869151,0.00400718,0.017943,0.0277114,0.00528935,0.00882293,0.0119973,0.0224808,0.01024,0.0265708,0.0299836,0,0,0.0239958,0,0.0231134,0.0165264,0.0496193,0.0191829,0.0138183,0.00333192,0.0111037,0.0675962,0.0016763,0.0413291,0.00262052,0.00160242,0.00842908,0.00943699,0.00800897,0.0110665,0.00678821,0.0378371,0.0142456,0.00391415,0.0266293,0.0248205,0,0,0,0.00102321,0
18,0,0,0,0,0,0,0.0226869,0.0242152,0,0,0,0.0298941,0.0152376,0.0165535,0,0,0.00613787,0,0.0237436,0.00245354,0.0392822,0.0160357,0.00848655,0.0350168,0.00451739,0.0212187,0.0104664,0.00888222,0.0132539,0.00936359,0.0103094,0.00370751,0.0180877,0.032642,0.00543356,0.00880425,0.0133826,0.0224899,0.0108506,0.0263768,0.0302587,0,0,0.0243288,0,0.0231507,0.0167079,0.04843,0.0195071,0.0136231,0.00461661,0.0113276,0.0680268,0.00162364,0.0408757,0.00338796,0.00155363,0.00901874,0.00891818,0.00816551,0.0115713,0.00836149,0.0380552,0.014373,0.00390489,0.0266264,0.0250193,0,0,0,0.00124423,0
19,0,0,0,0,0,0,0.0229558,0.0241237,0,0,0,0.0331789,0.0152948,0.0181561,0,0,0.00630899,0,0.0237526,0.00238818,0.0399421,0.018349,0.00904832,0.0348959,0.00452658,0.0181437,0.0110905,0.00926366,0.0129693,0.0104794,0.011787,0.00374982,0.0183422,0.0379735,0.00552748,0.0087965,0.014579,0.0225192,0.0114325,0.0261797,0.0305123,0,0,0.0245289,0,0.0232039,0.0168604,0.047866,0.0197972,0.0137132,0.00632972,0.0114316,0.0681726,0.00181773,0.0406745,0.00375484,0.00144054,0.00942348,0.00868883,0.00827841,0.0116127,0.00937882,0.0382657,0.0144065,0.00399994,0.0264507,0.0252108,0,0,0,0.00137541,0
