Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,R5FT,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,STRN,T10,x70,x72,x73,LHEE,LILC,LTHI,R5HD,RWRB
45,0,0,0,0,0,0,0.0132503,0.0157045,0,0,0,0.0138915,0.0185136,0.019471,0,0,0.0117944,0,0.0216037,0.00426376,0.0315281,0.0327665,0.00791727,0.00646217,0.0291905,0.0201221,0.0158085,0.014066,0.0112103,0.00410356,0.0144491,0.00282342,0.00959957,0.00856802,0.0125927,0.00368296,0.0209389,0,0,0.0425784,0,0.00453824,0.0326502,0.0553971,0.00795465,0.0327075,0.00741128,0.00639643,0.0565927,0.00566464,0.0432196,0.00718168,0.00626977,0.00293737,0.00512008,0.00216022,0.00338547,0.0116058,0.0464751,0.0260747,0.0178702,0.0150014,0,0,0,0.0328479,0.0209653,0.0187144,0,0
46,0,0,0,0,0,0,0.013543,0.0158252,0,0,0,0.0145783,0.0185298,0.0161778,0,0,0.011907,0,0.0219555,0.00415925,0.0321717,0.031778,0.00801556,0.00627638,0.0286691,0.0187939,0.0154327,0.0133493,0.0118775,0.0042138,0.0141428,0.00739554,0.00957533,0.00870457,0.0117102,0.00377704,0.0212012,0,0,0.0425429,0,0.00454242,0.0326261,0.0558387,0.00808408,0.0327354,0.00738656,0.00637489,0.057076,0.00566282,0.0434533,0.00718774,0.0060641,0.00296898,0.00516492,0.00215182,0.00350114,0.0105045,0.04675,0.026445,0.0179471,0.0151788,0,0,0,0.0291991,0.0207379,0.0180881,0,0
47,0,0,0,0,0,0,0.0139169,0.0159574,0,0,0,0.0175702,0.0184726,0.0133215,0,0,0.0119892,0,0.0221534,0.00410891,0.03269,0.0298796,0.00813177,0.00613788,0.0271163,0.0170347,0.0152198,0.0123473,0.0121993,0.00429398,0.0140408,0.0132356,0.00963406,0.00881173,0.0109952,0.00373545,0.0215855,0,0,0.0425069,0,0.00453718,0.0326004,0.0562627,0.00812771,0.0327198,0.00727433,0.00622494,0.0577777,0.00554912,0.0437495,0.00703485,0.00576331,0.00307545,0.00509516,0.00209659,0.00359542,0.00954053,0.0470197,0.0268074,0.0179903,0.0155001,0,0,0,0.0248887,0.0205175,0.0169653,0,0
48,0,0,0,0,0,0,0.0143025,0.0161085,0,0,0,0.0215767,0.0183805,0.0109755,0,0,0.0120468,0,0.0220762,0.00401057,0.0330995,0.0271615,0.00835391,0.00601611,0.0249701,0.0147998,0.0152233,0.0111145,0.0122148,0.00454627,0.0140393,0.018908,0.00967384,0.00880638,0.0105443,0.0037679,0.0220564,0,0,0.0425197,0,0.00452778,0.0325404,0.056699,0.00823256,0.032671,0.00710865,0.005998,0.0586245,0.00535071,0.0440558,0.00682003,0.00524131,0.00309856,0.00509382,0.0022927,0.00381337,0.00889267,0.0473477,0.0272066,0.0182671,0.0158862,0,0,0,0.0201848,0.0203498,0.01525,0,0
49,0,0,0,0,0,0,0.0147937,0.0163227,0,0,0,0.0259368,0.0184068,0.00960008,0,0,0.0119684,0,0.0220019,0.00384169,0.0333225,0.0235868,0.00861591,0.00585288,0.02217,0.012217,0.0154752,0.0095897,0.0118445,0.00479604,0.014191,0.0242028,0.00959108,0.00878023,0.0102027,0.00356941,0.0226374,0,0,0.0425999,0,0.00453905,0.0326542,0.0571983,0.00811642,0.0325834,0.0068708,0.00570314,0.0596122,0.00523523,0.0443555,0.00658168,0.00497768,0.00306853,0.00509373,0.00256599,0.00403642,0.00830976,0.0476478,0.0265179,0.0185563,0.016393,0,0,0,0.0154076,0.0202367,0.0130172,0,0
50,0,0,0,0,0,0,0.0153933,0.0165807,0,0,0,0.0298555,0.0185217,0.00960596,0,0,0.011838,0,0.0220138,0.00363581,0.033312,0.0193328,0.00893792,0.00570805,0.0184824,0.00934561,0.0159621,0.00783041,0.0111037,0.00506891,0.0147095,0.0286366,0.00948854,0.00877822,0.00991274,0.0033498,0.0233496,0,0,0.0427448,0,0.00454317,0.0327054,0.0576663,0.00795638,0.0324698,0.00656131,0.00536445,0.0608235,0.00518369,0.0447243,0.00633638,0.00479184,0.00312403,0.00515848,0.00272964,0.00426819,0.00805442,0.048041,0.0264365,0.0188315,0.0170199,0,0,0,0.0111585,0.0202477,0.010648,0,0
51,0,0,0,0,0,0,0.0154321,0.016469,0,0,0,0.0325864,0.0184909,0.0107991,0,0,0.0117306,0,0.0219561,0.00372577,0.0330082,0.0145599,0.00934693,0.00560429,0.0140351,0.00635573,0.0165533,0.00599006,0.00991908,0.00531566,0.015583,0.0312231,0.00947857,0.00874257,0.00942158,0.00366016,0.0233268,0,0,0.0427504,0,0.00447836,0.0321485,0.0578824,0.00842306,0.0323131,0.00683195,0.00495153,0.0607959,0.00509923,0.0452129,0.00641762,0.00458316,0.00322987,0.00507185,0.00286748,0.0048691,0.00794474,0.0481657,0.0293142,0.0186548,0.0170697,0,0,0,0.00806536,0.0203134,0.00824839,0,0
52,0,0,0,0,0,0,0.0155616,0.0164881,0,0,0,0.0346088,0.0183161,0.0127362,0,0,0.0116428,0,0.0220114,0.00363765,0.0326455,0.00995738,0.00978489,0.00542373,0.00966546,0.00392686,0.0173093,0.00457186,0.00872851,0.00543174,0.0166914,0.0328633,0.00949276,0.00880748,0.00903199,0.00378174,0.0234426,0,0,0.0430738,0,0.00452255,0.0328189,0.0579989,0.00868412,0.0321869,0.00712108,0.00459276,0.0608673,0.00504919,0.0457088,0.00648303,0.0044543,0.00347956,0.00493646,0.00299619,0.00532038,0.00768933,0.0484226,0.0261757,0.0186454,0.0171938,0,0,0,0.00789958,0.020537,0.00629703,0,0
53,0,0,0,0,0,0,0.0157298,0.0165691,0,0,0,0.0365166,0.0182612,0.0147878,0,0,0.011597,0,0.02206,0.0035195,0.0324384,0.00673395,0.0103254,0.00548534,0.00640758,0.00346612,0.0182589,0.00397087,0.00799587,0.00540849,0.0177113,0.0346574,0.00967721,0.0088214,0.00837067,0.00354053,0.0236166,0,0,0.0431649,0,0.00451372,0.0329003,0.0580195,0.00885045,0.0320701,0.00743668,0.004272,0.0610997,0.00512947,0.046171,0.00667625,0.00453936,0.00361243,0.00482516,0.00290411,0.00544007,0.00739678,0.0486169,0.0264392,0.0187245,0.0173782,0,0,0,0.0102906,0.0208641,0.00568084,0,0
54,0,0,0,0,0,0,0.0159558,0.0167274,0,0,0,0.0374631,0.0182354,0.0161095,0,0,0.0115485,0,0.0221057,0.00339601,0.0322297,0.0052231,0.0108318,0.00573194,0.00536451,0.00480602,0.0192744,0.00393967,0.00732519,0.00542446,0.018734,0.0357439,0.00959859,0.00884583,0.00793068,0.00339787,0.0238829,0,0,0.0432756,0,0.00449611,0.0328356,0.0580179,0.00910494,0.031884,0.00770739,0.00399977,0.0614172,0.00526901,0.0466215,0.00681335,0.00461416,0.00377164,0.00482521,0.00302561,0.0056073,0.00710951,0.048751,0.0267856,0.0189376,0.0176477,0,0,0,0.0126428,0.021228,0.00655321,0,0
