Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,LTHI
208,0,0,0,0,0,0,0.02476,0.0363715,0,0,0,0.0289164,0.020581,0.0198317,0,0,0.0128103,0,0.0200562,0.00481466,0.0390925,0.0126704,0.00776838,0.0163128,0.0503405,0.0185422,0.0123596,0.0118623,0.0232211,0.0121299,0.014401,0.0118548,0.00524126,0.0352509,0.0148849,0.00649294,0.0203753,0.0175594,0.0105424,0.0147399,0,0,0.0361168,0,0.0187903,0.0213204,0.0540201,0.0172944,0.0127209,0.00963252,0.0498005,0.0306475,0.0162368,0.0397045,0.0169324,0.0135942,0.00986128,0.00609701,0.0117138,0.0166432,0.0290232,0.0345164,0.0124988,0.00935308,0.038763,0.0143052,0,0,0,0.158037
209,0,0,0,0,0,0,0.0245329,0.0360559,0,0,0,0.0303314,0.0206276,0.0205286,0,0,0.0127469,0,0.0200385,0.00487749,0.0386878,0.013274,0.00807013,0.0172469,0.0501137,0.0184698,0.0128542,0.0123308,0.0235822,0.0123635,0.0148057,0.0122492,0.00480863,0.0369794,0.0147648,0.00641854,0.02087,0.0175334,0.00994466,0.0144145,0,0,0.0358225,0,0.0187731,0.0211676,0.0528297,0.0169113,0.0128064,0.00960022,0.049861,0.0300632,0.0162013,0.0394344,0.0163194,0.0125472,0.00868693,0.00609276,0.0111209,0.0150377,0.0297333,0.0342968,0.0124437,0.0093949,0.038411,0.0142212,0,0,0,0.16519
210,0,0,0,0,0,0,0.0244654,0.0359786,0,0,0,0.0302983,0.02066,0.0206706,0,0,0.0127194,0,0.0200468,0.00496891,0.0383629,0.0137689,0.00816669,0.0166102,0.0499841,0.0185168,0.0123683,0.0120577,0.0233512,0.0124854,0.014818,0.0121248,0.00514164,0.0372105,0.0146929,0.00638022,0.0214569,0.0175274,0.00955081,0.0142687,0,0,0.0357524,0,0.0187667,0.0211127,0.0517927,0.0169635,0.0130582,0.00954101,0.0499226,0.0297296,0.0165361,0.0390125,0.0159903,0.0123413,0.00797023,0.00612305,0.0104813,0.0136069,0.0305931,0.0343245,0.0124862,0.00930794,0.038292,0.014138,0,0,0,0.159344
211,0,0,0,0,0,0,0.0256129,0.0376572,0,0,0,0.0184497,0.0205371,0.0183981,0,0,0.0129677,0,0.0201293,0.0050782,0.0378621,0.0183794,0.00609172,0.0092057,0.0513727,0.0195901,0.0082471,0.00814923,0.0173056,0.0155866,0.0150054,0.00933718,0.0118964,0.0236185,0.0152122,0.00651238,0.0222681,0.0175152,0.00916831,0.0158934,0,0,0.0366755,0,0.0187448,0.0216495,0.0518962,0.0168664,0.0136917,0.010188,0.0509264,0.0318758,0.0176784,0.037989,0.0166527,0.0131266,0.008191,0.00640987,0.0101683,0.0124905,0.0314636,0.0354965,0.0129488,0.00936067,0.0399858,0.015497,0,0,0,0
212,0,0,0,0,0,0,0.0254288,0.037242,0,0,0,0.0190864,0.0206346,0.0181327,0,0,0.0127872,0,0.02012,0.00508053,0.037526,0.0175862,0.00625661,0.00867278,0.0511088,0.0193947,0.00804943,0.00804769,0.0182248,0.0150041,0.0144588,0.00917667,0.011593,0.0244025,0.0150012,0.00643762,0.0221317,0.0175848,0.00883772,0.0156511,0,0,0.0363563,0,0.0188197,0.0214988,0.0512713,0.0170162,0.0138013,0.00929779,0.0510023,0.0310977,0.0176986,0.0374974,0.015865,0.0124697,0.00808999,0.00609984,0.0099307,0.0120448,0.0319093,0.0352153,0.0127523,0.00920369,0.0395725,0.0147596,0,0,0,0.0717469
213,0,0,0,0,0,0,0.0256318,0.0374409,0,0,0,0.0204215,0.0206591,0.0190027,0,0,0.0128045,0,0.0201369,0.00513021,0.0377149,0.0182879,0.00601641,0.00836541,0.0514377,0.019563,0.00751904,0.00785673,0.0173893,0.0157392,0.0153269,0.00946099,0.0117529,0.0262016,0.0151043,0.00639704,0.0215995,0.0175727,0.00886147,0.0159843,0,0,0.0361647,0,0.0188265,0.0216063,0.0513949,0.017424,0.0141249,0.00873056,0.0514708,0.0312153,0.0178314,0.0365941,0.0150514,0.0119678,0.00796924,0.00574077,0.00976741,0.0119623,0.0319099,0.0356259,0.0127922,0.00949966,0.0397941,0.0148618,0,0,0,0
214,0,0,0,0,0,0,0.0255192,0.0371928,0,0,0,0.021464,0.0206868,0.0193518,0,0,0.0127743,0,0.020147,0.00515738,0.0377265,0.0182697,0.00610474,0.00775066,0.0513262,0.0194509,0.00700384,0.0074371,0.0175675,0.0156322,0.0154409,0.00946508,0.011701,0.0275611,0.0150116,0.00636137,0.0203217,0.0175711,0.0089508,0.016,0,0,0.0358975,0,0.0188088,0.0216346,0.051433,0.0183002,0.0144835,0.00811248,0.05153,0.0308021,0.0177238,0.0356431,0.0138562,0.0111359,0.00796474,0.00525014,0.00939744,0.0125294,0.0311829,0.0354582,0.0127402,0.00954483,0.0395313,0.0149264,0,0,0,0
215,0,0,0,0,0,0,0.0254501,0.0369295,0,0,0,0.0219766,0.0207031,0.0195026,0,0,0.0127885,0,0.0201681,0.00521372,0.0375262,0.0181711,0.00624414,0.0073233,0.051154,0.0193263,0.00663066,0.00710419,0.0175722,0.0154479,0.0154258,0.00948775,0.0115703,0.0283317,0.014914,0.00635197,0.018548,0.0175403,0.00910385,0.0158279,0,0,0.0358626,0,0.018823,0.0215385,0.051494,0.0190446,0.0148132,0.0074422,0.0514233,0.0303074,0.0174612,0.0345728,0.0128927,0.0101315,0.00809911,0.00469867,0.00927267,0.0133112,0.0299619,0.0352433,0.0127256,0.00922737,0.0392211,0.0149897,0,0,0,0
216,0,0,0,0,0,0,0.02547,0.0370235,0,0,0,0.0222134,0.0207052,0.0195732,0,0,0.0128218,0,0.0201908,0.00529891,0.0371812,0.018274,0.00594556,0.00708014,0.0515674,0.0193139,0.00630189,0.00700026,0.0175097,0.0153759,0.0154115,0.00949371,0.0114151,0.0287103,0.0148966,0.00634973,0.0164573,0.0175718,0.00933248,0.0156215,0,0,0.0360068,0,0.0188526,0.0215087,0.0515564,0.0188833,0.0148489,0.00689775,0.0518436,0.0301486,0.0170534,0.0333922,0.011978,0.00904327,0.0077296,0.00411857,0.00915431,0.0136993,0.0281649,0.0351833,0.0127822,0.00920156,0.0393386,0.0146204,0,0,0,0
217,0,0,0,0,0,0,0.0253604,0.037066,0,0,0,0.0222282,0.0207061,0.0195914,0,0,0.0127759,0,0.0201732,0.00533907,0.0367375,0.0184171,0.00582778,0.00681199,0.0520402,0.0192811,0.00592948,0.00706569,0.0175129,0.0152482,0.0153277,0.00944168,0.0113337,0.0288342,0.0148915,0.00630402,0.014312,0.0176075,0.00970942,0.015653,0,0,0.0361087,0,0.0188677,0.0217163,0.0515612,0.0184852,0.015028,0.00691856,0.0521637,0.0300382,0.0166587,0.0321109,0.0112381,0.00790948,0.00751224,0.00366841,0.00837886,0.0136366,0.0260215,0.0352037,0.0128298,0.00953846,0.0394039,0.0142964,0,0,0,0
218,0,0,0,0,0,0,0.0251333,0.0369757,0,0,0,0.0220367,0.0206954,0.0195565,0,0,0.0126005,0,0.0201197,0.00525889,0.0362119,0.018424,0.00591414,0.00655824,0.0523175,0.019164,0.00549322,0.00680021,0.0175461,0.0150175,0.0151465,0.00935936,0.0112674,0.0287701,0.0147518,0.00625676,0.0125982,0.0176086,0.00990056,0.0156363,0,0,0.0358819,0,0.0188577,0.022085,0.0516542,0.018118,0.0154008,0.00774681,0.0521092,0.0297751,0.0164391,0.030678,0.0109885,0.00680897,0.00752537,0.00352944,0.00758123,0.0128855,0.0240129,0.0352197,0.0126915,0.00959319,0.0392912,0.0141739,0,0,0,0
219,0,0,0,0,0,0,0.0252202,0.0370874,0,0,0,0.0215687,0.0207039,0.0194308,0,0,0.0124093,0,0.0201117,0.00507731,0.0357378,0.0182777,0.00609155,0.00663153,0.0529903,0.0190644,0.00510046,0.00622687,0.0175548,0.0146948,0.0148555,0.009252,0.0111613,0.028398,0.0146247,0.00616578,0.0114861,0.0176029,0.00982639,0.0155259,0,0,0.0357728,0,0.0188209,0.021927,0.0518705,0.0178245,0.0156483,0.00918467,0.0525903,0.0296589,0.0163109,0.0290937,0.011582,0.00594913,0.00764589,0.00402475,0.00624346,0.0112156,0.0221551,0.0350912,0.0127889,0.00965926,0.0394062,0.0140947,0,0,0,0
220,0,0,0,0,0,0,0.0252655,0.0373265,0,0,0,0.0211732,0.0206382,0.019346,0,0,0.0127004,0,0.0202074,0.0053589,0.035275,0.0182241,0.00591077,0.00673194,0.0540513,0.0191618,0.00468919,0.00579695,0.0175473,0.0144478,0.0146389,0.00918255,0.0110876,0.0281252,0.014939,0.00625467,0.0107217,0.017554,0.00987428,0.0154211,0,0,0.0357827,0,0.0187809,0.0218041,0.0522245,0.0166455,0.0157832,0.0108092,0.0532503,0.0297362,0.0159825,0.0274607,0.01281,0.00557491,0.00762308,0.00512378,0.00461741,0.0090945,0.0198769,0.0351233,0.0128387,0.00949902,0.0397029,0.0141776,0,0,0,0
221,0,0,0,0,0,0,0.0250576,0.0375441,0,0,0,0.0206188,0.0205765,0.0193134,0,0,0.012911,0,0.0202822,0.00559028,0.0349393,0.0182114,0.00579821,0.00680708,0.0552382,0.0192597,0.00428181,0.00548338,0.0174789,0.0141602,0.0143328,0.00909185,0.011025,0.0276483,0.0152151,0.00636117,0.0103432,0.0175711,0.00999936,0.0153825,0,0,0.0359727,0,0.0187574,0.0217587,0.0526614,0.0149882,0.0158366,0.0121771,0.0539204,0.0298693,0.0151309,0.0259513,0.0144114,0.0059499,0.00736007,0.00658532,0.00323059,0.00713293,0.0171398,0.0352384,0.0129823,0.00928202,0.0399977,0.0144214,0,0,0,0
222,0,0,0,0,0,0,0.0244939,0.037882,0,0,0,0.0197729,0.0204408,0.0193091,0,0,0.0129933,0,0.020335,0.00575834,0.0347245,0.0181615,0.00567046,0.00685298,0.0566476,0.0193347,0.00381597,0.00486061,0.0174442,0.013807,0.0139452,0.00896138,0.010943,0.026981,0.0153135,0.00651625,0.0108336,0.0175644,0.0102398,0.0153458,0,0,0.0362262,0,0.018788,0.0220163,0.0531519,0.0128671,0.0157773,0.0130645,0.0548407,0.0301003,0.0142481,0.0247417,0.0160675,0.00708991,0.00760143,0.00813716,0.00307134,0.00605097,0.0144034,0.0352745,0.0130305,0.00932861,0.0404087,0.0144484,0,0,0,0
223,0,0,0,0,0,0,0.0254486,0.037033,0,0,0,0.0191625,0,0.0190678,0,0,0.0119213,0,0.0114048,0.0103398,0.0346163,0.0181209,0.00551203,0.00686153,0.0580103,0.0170494,0.00333086,0.00434016,0.0174751,0.0134759,0.0135977,0.00888776,0.0107955,0.0265425,0.00647623,0.0108436,0.0128188,0.0174846,0.0109262,0.0197428,0,0,0.0370432,0,0.0187471,0.0229716,0.0534976,0.0112506,0.016052,0.0137247,0.0556238,0.0304082,0.0146538,0.0239854,0.0174301,0.00858527,0.0084795,0.00977581,0.00428902,0.00619427,0.0137657,0.0354553,0.0132872,0.00933632,0.0398709,0.0180779,0,0,0,0
224,0,0,0,0,0,0,0.0254768,0.0373955,0,0,0,0.018991,0,0.0187936,0,0,0.0121679,0,0.0113684,0.0106841,0.0346167,0.0182501,0.00539688,0.00675071,0.0588972,0.0171453,0.00288223,0.00401246,0.0173002,0.0133703,0.0134566,0.00885082,0.0106144,0.0263902,0.00661628,0.0108211,0.0156573,0.0174628,0.0115916,0.0199568,0,0,0.0369242,0,0.0187897,0.0229171,0.054033,0.0109918,0.0158867,0.0142707,0.0562755,0.030551,0.015568,0.0235392,0.018518,0.0102811,0.00942,0.0110667,0.00554913,0.00698745,0.0153963,0.035308,0.0132513,0.00932092,0.0402557,0.0184081,0,0,0,0
225,0,0,0,0,0,0,0.0256062,0.0378292,0,0,0,0.0189314,0,0.0185661,0,0,0.0124089,0,0.0113701,0.0108841,0.0348512,0.0186006,0.00533471,0.00642282,0.0595349,0.0172748,0.0025149,0.00385374,0.0171963,0.013162,0.013256,0.00877342,0.0106102,0.0263723,0.0067785,0.0108131,0.0181906,0.0174899,0.0121727,0.0201847,0,0,0.0367236,0,0.0188106,0.0228138,0.0543909,0.0113747,0.0157041,0.0150384,0.0570327,0.0307487,0.0163207,0.0233239,0.0192153,0.0113983,0.0102329,0.0120029,0.00640403,0.00775599,0.017783,0.0352681,0.0133985,0.00938623,0.040679,0.0186648,0,0,0,0
226,0,0,0,0,0,0,0.025767,0.0381502,0,0,0,0.0191219,0,0.0185207,0,0,0.0125352,0,0.0114059,0.0109518,0.035149,0.018816,0.00528494,0.00586925,0.0598473,0.0175141,0.0022064,0.00363898,0.0169988,0.0129348,0.0130681,0.00864692,0.010706,0.0265216,0.006862,0.0108248,0.0196426,0.0174776,0.0126319,0.0205472,0,0,0.0364914,0,0.0188099,0.0228378,0.0545644,0.0126782,0.0155606,0.0161761,0.0572678,0.0308047,0.0166008,0.0232216,0.019421,0.0117703,0.0108128,0.0125472,0.00673175,0.00822708,0.0196333,0.0353001,0.0135387,0.00934475,0.0409503,0.0189809,0,0,0,0
227,0,0,0,0,0,0,0.0262578,0.0384907,0,0,0,0.0193316,0,0.0185035,0,0,0.0127612,0,0.0114983,0.0110449,0.0354167,0.0185451,0.00529527,0.00574985,0.0599904,0.0178185,0.00210075,0.00334221,0.0167917,0.0126553,0.0127435,0.00853981,0.0108375,0.0268955,0.00696349,0.0108364,0.0199185,0.0174577,0.0132676,0.0209309,0,0,0.0363674,0,0.0187666,0.0228217,0.0545853,0.012997,0.0153899,0.0172526,0.0569953,0.0307843,0.0165163,0.0231916,0.0189907,0.0113754,0.0110019,0.0126826,0.00657312,0.00867613,0.0201926,0.0349042,0.0133675,0.00928024,0.0412619,0.0192875,0,0,0,0
