Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,LTHI
188,0,0,0,0,0,0,0.0272878,0.0424437,0,0,0,0.00327965,0.0197706,0.0109128,0,0,0.0153039,0,0.0206639,0.00534403,0.0404567,0.0171144,0.00844619,0.0141753,0.0657854,0.0215899,0.0131647,0.00742503,0.0173349,0.0101107,0.0102517,0.00734415,0.0117834,0.00245504,0.0179023,0.00745321,0.0127611,0.0176249,0.0102375,0.0177894,0,0,0.0420217,0,0.0186196,0.026699,0.0622431,0.00652016,0.0143208,0.0110188,0.0537502,0.0396759,0.0072182,0.0440914,0.014264,0.0119342,0.00951571,0.0087072,0.0100339,0.0120528,0.0141359,0.0409263,0.0153639,0.00877776,0.0466692,0.0184426,0,0,0,0.0530349
189,0,0,0,0,0,0,0.0271093,0.0418592,0,0,0,0.00379224,0.0199678,0.0100849,0,0,0.0154536,0,0.020611,0.00527588,0.0403052,0.0157302,0.00813556,0.0138744,0.0644856,0.0214801,0.0136373,0.00815442,0.0177384,0.00971862,0.0100289,0.00708545,0.0121707,0.00436034,0.0178808,0.00734764,0.0113927,0.0176479,0.00911933,0.0178742,0,0,0.0415978,0,0.0186268,0.0263126,0.062563,0.00799294,0.0142379,0.0126707,0.0531596,0.0392701,0.00838423,0.0434863,0.015929,0.0133727,0.00886894,0.00826715,0.00941209,0.0115352,0.0135164,0.0404674,0.0149931,0.00902161,0.0458163,0.0183475,0,0,0,0.0581074
190,0,0,0,0,0,0,0.0268803,0.0411676,0,0,0,0.0042993,0.020043,0.00919123,0,0,0.0156412,0,0.0205422,0.00527146,0.0403158,0.0138582,0.00793019,0.0125532,0.0632453,0.0212887,0.0127627,0.00816613,0.0177947,0.00909176,0.00937425,0.00693431,0.0122369,0.00631352,0.0179611,0.00732447,0.0104951,0.0176046,0.00825345,0.0178219,0,0,0.0412367,0,0.0186051,0.025991,0.062971,0.00981587,0.0141107,0.0135377,0.0525046,0.0386689,0.00942778,0.0430214,0.0170727,0.0142904,0.00839965,0.00779502,0.00891875,0.0109746,0.0128132,0.0398992,0.0147608,0.00878364,0.0448679,0.0181319,0,0,0,0.0633328
191,0,0,0,0,0,0,0.0267004,0.0405956,0,0,0,0.00595562,0.0201017,0.0089667,0,0,0.0157057,0,0.0204535,0.00524105,0.0406335,0.012083,0.00774165,0.0112575,0.0623322,0.0210134,0.0111574,0.00763599,0.0178341,0.00874352,0.00894432,0.00708268,0.0121395,0.00862639,0.017962,0.00729149,0.0112542,0.0176077,0.00778156,0.017585,0,0,0.0409979,0,0.0185945,0.0257199,0.0635139,0.0113785,0.0138919,0.0139606,0.0518579,0.0380833,0.0104655,0.0427548,0.0178813,0.014844,0.00807792,0.00732385,0.00839706,0.0103031,0.0125704,0.0392925,0.014678,0.00874494,0.0440598,0.0174833,0,0,0,0.0685127
192,0,0,0,0,0,0,0.0263784,0.0400534,0,0,0,0.00757067,0.0202049,0.00916726,0,0,0.0156577,0,0.0203742,0.00514032,0.0411973,0.0110176,0.0075701,0.0104083,0.0614762,0.0206893,0.00959562,0.0069673,0.0182314,0.00869139,0.00875719,0.00707022,0.0119476,0.0104462,0.0176928,0.00722453,0.0131283,0.0175942,0.00817647,0.0172233,0,0,0.0409629,0,0.0186405,0.0255424,0.0640761,0.0128769,0.0136076,0.0143079,0.0512171,0.0374167,0.0111876,0.0426607,0.0185102,0.0152127,0.00790719,0.006889,0.00793402,0.0096821,0.0148032,0.0387742,0.0146072,0.00917442,0.0432514,0.0168985,0,0,0,0.0734895
193,0,0,0,0,0,0,0.0260475,0.0395615,0,0,0,0.00904046,0.0203068,0.0099646,0,0,0.0155859,0,0.020327,0.00500443,0.0418959,0.0106975,0.00729574,0.00970647,0.0605494,0.0203811,0.0086872,0.00669846,0.0187419,0.0088076,0.00857927,0.00708213,0.0117172,0.0120303,0.0172858,0.00716069,0.0159872,0.0176686,0.00926929,0.0167678,0,0,0.0407282,0,0.0186836,0.0254137,0.0643904,0.0145867,0.0132362,0.0148086,0.0508711,0.0368115,0.0116761,0.0427149,0.0190763,0.015554,0.00792288,0.00654602,0.00766082,0.00919735,0.0195084,0.0384422,0.0143503,0.00931672,0.0425571,0.0164786,0,0,0,0.07831
194,0,0,0,0,0,0,0.0258208,0.0391026,0,0,0,0.010571,0.0203453,0.0109373,0,0,0.015415,0,0.0202973,0.004944,0.0423457,0.0112216,0.00710206,0.00933592,0.0592469,0.0200813,0.00847963,0.00682866,0.0191664,0.00907263,0.00849107,0.00725241,0.0113948,0.0137988,0.0169111,0.00710815,0.0194935,0.0177672,0.0100045,0.0163743,0,0,0.0405323,0,0.0187368,0.0253729,0.0642413,0.0159362,0.0128875,0.015552,0.0506477,0.0361926,0.0121477,0.0428444,0.0196413,0.0159378,0.00803761,0.00633653,0.00754885,0.00894779,0.0244405,0.0383458,0.0139521,0.00933538,0.0420004,0.0161329,0,0,0,0.0832216
195,0,0,0,0,0,0,0.0256405,0.0387004,0,0,0,0.0122282,0.0203711,0.0122398,0,0,0.0150874,0,0.0202902,0.00483671,0.0423969,0.0120761,0.00697469,0.0093779,0.0579649,0.0197761,0.00842809,0.00704943,0.0194516,0.00953949,0.00868972,0.00753326,0.0109556,0.015669,0.0166238,0.00704816,0.0230796,0.0177729,0.010275,0.0160241,0,0,0.0403621,0,0.0187508,0.0252703,0.0637057,0.0169779,0.0126195,0.0159997,0.0504901,0.0356316,0.012432,0.0428304,0.0199462,0.016079,0.00810532,0.00612611,0.00791824,0.00943058,0.0286515,0.0382808,0.0137771,0.00992717,0.0415751,0.0159529,0,0,0,0.0883517
196,0,0,0,0,0,0,0.0254486,0.0384008,0,0,0,0.0137912,0.0202997,0.0135126,0,0,0.0147653,0,0.0202966,0.00484001,0.0420354,0.0126851,0.006863,0.00966061,0.0568961,0.0195558,0.00836589,0.00717072,0.0196271,0.0100975,0.00909819,0.00780507,0.0104086,0.0174392,0.016312,0.00703212,0.0262257,0.0177769,0.0105558,0.0157843,0,0,0.040246,0,0.0187693,0.0251083,0.0629774,0.0181491,0.0124534,0.0159392,0.0503917,0.035159,0.0130845,0.042645,0.0200781,0.0160097,0.00806435,0.00589827,0.00847071,0.0107269,0.0323659,0.0383662,0.0136033,0.00961625,0.041316,0.0159918,0,0,0,0.0936415
197,0,0,0,0,0,0,0.0254194,0.0382689,0,0,0,0.0149275,0.0201742,0.0142118,0,0,0.0145182,0,0.0203149,0.00491101,0.0413954,0.0123984,0.00676375,0.0100047,0.0563933,0.0194602,0.00824156,0.0073094,0.0197547,0.0103933,0.00943488,0.00819806,0.00988568,0.0188697,0.015998,0.00707516,0.0288211,0.0177916,0.011145,0.0157264,0,0,0.0401856,0,0.0187746,0.0249317,0.0621998,0.0194998,0.0124173,0.0155321,0.050311,0.0348319,0.0130682,0.042334,0.0201678,0.0158996,0.00812597,0.00570684,0.0090959,0.0125614,0.0355125,0.0382916,0.0135567,0.00909472,0.0413035,0.01597,0,0,0,0.0991302
