Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,STRN,T10,x70,x71,x72,LTHI,RWRB,LTHIP,LILC
29,0,0,0,0,0,0,0.0114668,0.0124166,0,0,0,0.0243222,0.0195761,0.0137037,0,0,0.00629104,0,0.0214055,0.00422596,0.0394354,0.0241445,0.0290786,0.0160809,0.00439311,0.0268792,0.0223998,0.0173447,0.0186701,0.00820351,0.0175713,0.0246962,0.00521634,0.0054338,0.0154009,0.0225344,0.0186867,0.0188228,0,0,0.0307959,0,0.0230741,0.017914,0.0594357,0.0317644,0.0257619,0.01853,0.0102787,0.0499372,0.00772722,0.0498326,0.0159706,0.00717232,0.00789622,0.00923151,0.0119159,0.0187508,0.0191564,0.0363576,0.015129,0.0126275,0.0145985,0,0,0,0.0225386,0.00556246,0,0
30,0,0,0,0,0,0,0.0113569,0.0122838,0,0,0,0.0248828,0.0195629,0.0139701,0,0,0.00649377,0,0.0214013,0.00431387,0.0398447,0.0244628,0.0301935,0.016058,0.00439686,0.0274718,0.0241648,0.0175972,0.0185502,0.0077461,0.0174803,0.0249747,0.00555495,0.0054727,0.014258,0.0221438,0.0185172,0.0187422,0,0,0.0308673,0,0.0236158,0.0179897,0.0599606,0.0312981,0.0255239,0.0175488,0.00999871,0.0500684,0.0075757,0.0500782,0.0153276,0.00699316,0.00764716,0.00855433,0.0117874,0.0184981,0.0173173,0.0364064,0.0158208,0.0124904,0.0144717,0,0,0,0.0230592,0,0,0
31,0,0,0,0,0,0,0.0114216,0.0123455,0,0,0,0.0248152,0.0194596,0.0140844,0,0,0.00620827,0,0.0213847,0.00410134,0.0402915,0.0244384,0.0315439,0.0161587,0.00443983,0.0282133,0.0257535,0.017932,0.0188478,0.00771532,0.0173624,0.0249662,0.0056181,0.00548561,0.013006,0.0224871,0.0180328,0.0189607,0,0,0.0303166,0,0.0230938,0.0176508,0.0605789,0.0306385,0.0253348,0.0163948,0.0098657,0.0506519,0.00749982,0.0503261,0.0145964,0.00675009,0.00737149,0.00784758,0.0116067,0.0182381,0.015911,0.0363586,0.0150066,0.0125527,0.0145446,0,0,0,0.0238006,0.00529586,0,0
32,0,0,0,0,0,0,0.011517,0.0125898,0,0,0,0.0245504,0.0194064,0.0144674,0,0,0.00574718,0,0.0213722,0.00378292,0.0407683,0.0246327,0.0328536,0.0163002,0.00451217,0.028944,0.0270947,0.0182249,0.0191996,0.00761537,0.0174994,0.0254302,0.0055628,0.00546602,0.0115557,0.022589,0.0175224,0.0192228,0,0,0.0298654,0,0.0232609,0.0174362,0.0612295,0.0298841,0.0252202,0.0150177,0.00983138,0.0515461,0.00740736,0.0506139,0.0137865,0.00647342,0.00716881,0.00725953,0.0114853,0.0180427,0.0146077,0.0364673,0.0137974,0.0128666,0.0146824,0,0,0,0.0245067,0.00492209,0,0
33,0,0,0,0,0,0,0.0115002,0.0126474,0,0,0,0.0249862,0.0193551,0.0147477,0,0,0.0055424,0,0.0213494,0.00357469,0.0414077,0.0246625,0.0337254,0.0162629,0.00450358,0.029528,0.0282793,0.0184611,0.0195268,0.00743281,0.0175546,0.0261042,0.00562563,0.00549152,0.0103493,0.0225567,0.0171652,0.0192697,0,0,0.0297033,0,0.0231996,0.0173684,0.0617952,0.0292388,0.0250091,0.0136833,0.00961442,0.0520115,0.0073255,0.0510058,0.0131381,0.00623314,0.00708163,0.00671887,0.0113733,0.0179137,0.0133411,0.0365912,0.0138763,0.0129143,0.0146712,0,0,0,0.0251259,0.00485443,0,0
34,0,0,0,0,0,0,0.0098272,0.01314,0,0,0,0.0143725,0.0191959,0.00742448,0,0,0.00469951,0,0.0214072,0.00306078,0.0424029,0.0158787,0.0230388,0.0195847,0.00504598,0.024506,0.0147828,0.00875265,0.0116868,0.00361996,0.023052,0.0110184,0.00581324,0.00563245,0.00889291,0.0224855,0.016569,0.0179613,0,0,0.0262848,0,0.0230595,0.0154684,0.0632827,0.0285875,0.0271158,0.0123493,0.0117378,0.0508458,0.00560147,0.0498658,0.0114394,0.00564557,0.00787637,0.00669777,0.0114923,0.0181363,0.0130131,0.033956,0.0128223,0.0144121,0.0131634,0,0,0,0.0190025,0.00446333,0.023645,0
35,0,0,0,0,0,0,0.009926,0.0131821,0,0,0,0.0138704,0.0191236,0.00760369,0,0,0.00441727,0,0.0214401,0.00287688,0.0430519,0.0162111,0.0234485,0.0195214,0.00517377,0.0247051,0.0150821,0.00901536,0.0117915,0.00322659,0.0231426,0.0119749,0.00572849,0.0056799,0.00797232,0.0224712,0.0162645,0.0180789,0,0,0.0258698,0,0.0230535,0.0152685,0.0638675,0.0281273,0.0271111,0.0113688,0.0115839,0.0511536,0.00549892,0.0501874,0.0108727,0.00556545,0.00788777,0.00632693,0.0113147,0.0179748,0.0125371,0.0338418,0.0125307,0.0145056,0.0132031,0,0,0,0.0192125,0.00428876,0.0239905,0
36,0,0,0,0,0,0,0.0101548,0.0133709,0,0,0,0.0138002,0.0190907,0.00804153,0,0,0.00393287,0,0.0214678,0.00261092,0.0437146,0.0170035,0.0232175,0.019201,0.00524151,0.0244251,0.0151501,0.00893904,0.011491,0.00312184,0.0234716,0.0130001,0.00532025,0.00572261,0.00691947,0.0224654,0.0158443,0.0184745,0,0,0.0255809,0,0.0230047,0.0150816,0.0644737,0.0274625,0.0273193,0.010316,0.0114441,0.0520453,0.00549098,0.0503654,0.0102429,0.00546614,0.00788702,0.0059983,0.0110883,0.0176835,0.0123384,0.0338078,0.0119783,0.0147636,0.0134685,0,0,0,0.0191952,0.00420961,0.0242268,0
37,0,0,0,0,0,0,0.0102545,0.0133214,0,0,0,0.0135261,0.0190188,0.00802129,0,0,0.00373235,0,0.0214843,0.00249375,0.0443122,0.0174938,0.0232815,0.0186132,0.00533331,0.0244156,0.0151729,0.00889072,0.0115863,0.00344938,0.023294,0.013818,0.0051893,0.00579345,0.0063693,0.0224132,0.0157541,0.0186415,0,0,0.0251004,0,0.0229633,0.0148812,0.06503,0.0272201,0.0274743,0.00953444,0.0111146,0.052323,0.00555772,0.0506014,0.0098054,0.00544848,0.00795126,0.00573957,0.0110498,0.0175557,0.012414,0.033284,0.0119117,0.0147599,0.0135998,0,0,0,0.019364,0.00418283,0.0244229,0
38,0,0,0,0,0,0,0.0103233,0.013377,0,0,0,0.0131014,0.0189855,0.00757207,0,0,0.00390467,0,0.0214654,0.00235528,0.0448376,0.0173284,0.023327,0.0178942,0.00561605,0.0245122,0.0152021,0.0086033,0.0118599,0.00362441,0.0232026,0.015042,0.00533337,0.00581766,0.00597113,0.0223688,0.0158599,0.0188227,0,0,0.0247038,0,0.0229044,0.0147275,0.0656677,0.0272404,0.0276933,0.00888515,0.0107976,0.0526158,0.00563328,0.0508328,0.00949789,0.00536893,0.00809885,0.00558533,0.0111031,0.0174746,0.0128565,0.0330382,0.0119919,0.014833,0.0137597,0,0,0,0.0193778,0.00410543,0.0245833,0
39,0,0,0,0,0,0,0.0104422,0.0133936,0,0,0,0.0131315,0.0189579,0.00704588,0,0,0.00387698,0,0.0214512,0.00206174,0.0453289,0.016813,0.0231981,0.0168698,0.00581089,0.0243799,0.0151394,0.00803151,0.0119418,0.00358605,0.0231284,0.0158548,0.00542651,0.0058588,0.00568525,0.0223353,0.0160373,0.019067,0,0,0.0243262,0,0.0228507,0.0145254,0.0663059,0.0272733,0.027935,0.00828934,0.010333,0.0528875,0.00572647,0.051069,0.00923354,0.00523165,0.00819264,0.00542283,0.0111385,0.0173699,0.013358,0.0329808,0.0118136,0.0148932,0.0139858,0,0,0,0.0192847,0.00414095,0.0247516,0
40,0,0,0,0,0,0,0.0105273,0.0132759,0,0,0,0.0138763,0.0189316,0.00673605,0,0,0.00359181,0,0.0214788,0.00183665,0.0458359,0.0163086,0.0229035,0.0156477,0.00575217,0.0239504,0.0150066,0.00734121,0.0117597,0.00347412,0.0226698,0.0164075,0.00540307,0.00593015,0.00567173,0.0222674,0.0162022,0.0192028,0,0,0.0240772,0,0.02278,0.0142898,0.0669508,0.02739,0.0282278,0.00778634,0.00976475,0.0528361,0.00586239,0.0512856,0.00905116,0.00506378,0.00813847,0.00525942,0.0110929,0.0172105,0.013833,0.0329378,0.0115808,0.0146441,0.0141773,0,0,0,0.0191004,0.00424985,0.0250115,0
41,0,0,0,0,0,0,0.0106702,0.0133748,0,0,0,0.0136266,0.0188718,0.0067374,0,0,0.00358121,0,0.021476,0.00191697,0.0460919,0.0161009,0.0224064,0.0148807,0.00588907,0.023746,0.0143907,0.00691204,0.0117164,0.00356098,0.0224539,0.0166319,0.00553682,0.00596122,0.00565597,0.0222164,0.0166018,0.0195602,0,0,0.0241073,0,0.0226925,0.0141178,0.0679059,0.0278784,0.0285643,0.00735474,0.00959915,0.0533065,0.00592296,0.0514615,0.00883771,0.00487567,0.00815227,0.00512731,0.0111585,0.0172253,0.0146342,0.033164,0.0116843,0.014654,0.0145034,0,0,0,0.0190838,0.00429406,0.0247723,0
42,0,0,0,0,0,0,0.0106862,0.0132128,0,0,0,0.0141046,0.018876,0.00684068,0,0,0.00345156,0,0.0215063,0.00183137,0.0462767,0.0151203,0.0211952,0.0139098,0.00581359,0.0229527,0.013777,0.00711011,0.0112645,0.0033336,0.0220731,0.01621,0.00572987,0.00598357,0.00594285,0.0221616,0.01702,0.0196856,0,0,0.0240374,0,0.0226779,0.013935,0.0688075,0.028301,0.0288856,0.00702588,0.00921379,0.0532466,0.00593472,0.0516363,0.00861442,0.00458008,0.0080726,0.00501398,0.0111833,0.0170541,0.0153191,0.0331154,0.0113834,0.0143593,0.0146389,0,0,0,0.0185915,0.00428742,0.024722,0
43,0,0,0,0,0,0,0.0107402,0.0131985,0,0,0,0.0139852,0.0188825,0.00698941,0,0,0.00338317,0,0.0214871,0.00181436,0.0460309,0.014419,0.020014,0.0131418,0.00584861,0.022151,0.0128045,0.00733606,0.0104016,0.00315787,0.0217179,0.0155777,0.00588336,0.0060039,0.00635549,0.0220963,0.0176744,0.0199107,0,0,0.0242835,0,0.0225947,0.0141866,0.0697525,0.0289435,0.0291679,0.00676351,0.0089964,0.0536562,0.00579153,0.0517455,0.00831642,0.00435761,0.0081056,0.00493469,0.0113035,0.0170104,0.0162076,0.0334223,0.0115529,0.0142408,0.0148075,0,0,0,0.0179304,0.00420473,0.0243141,0
44,0,0,0,0,0,0,0.0116707,0.0136598,0,0,0,0.0182949,0.0182608,0.00960335,0,0,0.00711058,0,0.0218812,0.00313841,0.0432794,0.0143227,0.0160952,0.0111106,0.00774358,0.0187169,0.0114259,0.00614618,0.00626536,0.00198673,0.0203723,0.0137686,0.0082749,0.00656115,0.00883704,0.0218086,0.0171284,0.0185695,0,0,0.0168163,0,0.0221893,0.00996586,0.0681472,0.0281206,0.0353582,0.00690914,0.0024625,0.0476307,0.00652859,0.0535103,0.00964127,0.00428663,0.00607611,0.00473504,0.0101523,0.0154251,0.0168708,0.0264936,0.00944407,0.0141497,0.014158,0,0,0,0.0164868,0.00367124,0.0224467,0.0216555
45,0,0,0,0,0,0,0.0115651,0.0139659,0,0,0,0.0169358,0.0182612,0.00907557,0,0,0.00721506,0,0.0218357,0.00320699,0.0430486,0.0165075,0.0163639,0.0114711,0.00771169,0.0186328,0.0110625,0.00560939,0.0057295,0.00294109,0.0207708,0.0126937,0.008292,0.00660318,0.00908319,0.0217574,0.0176045,0.0186443,0,0,0.016561,0,0.0221933,0.00988965,0.0689776,0.0284284,0.0356711,0.00667271,0.00237139,0.0477663,0.00644773,0.0534063,0.00942629,0.00381458,0.00603778,0.00458771,0.0101222,0.0150035,0.0169027,0.0264308,0.00921708,0.014366,0.0141479,0,0,0,0.0171196,0.00358946,0.021931,0.020813
46,0,0,0,0,0,0,0.0114404,0.0142532,0,0,0,0.0143112,0.0182327,0.00845907,0,0,0.00715999,0,0.0217821,0.00318376,0.0429547,0.0211535,0.0164742,0.0115401,0.00763673,0.0180988,0.011298,0.00540504,0.00653102,0.00384433,0.0214647,0.0112129,0.00819305,0.00664525,0.00926034,0.0216906,0.018148,0.0187098,0,0,0.0162209,0,0.0221542,0.00981192,0.0700548,0.0285186,0.0362736,0.00642485,0.00281052,0.0478441,0.0062001,0.0531792,0.00907491,0.00324982,0.00594049,0.00446781,0.0100786,0.0144597,0.0165668,0.0263304,0.00880182,0.0148007,0.014113,0,0,0,0.0173583,0.00346738,0.0227089,0.0199763
47,0,0,0,0,0,0,0.0114677,0.014466,0,0,0,0.0129627,0.0181472,0.00658508,0,0,0.00715397,0,0.021709,0.00310018,0.042849,0.0247939,0.0153739,0.0113594,0.00763732,0.0166636,0.0117883,0.00566986,0.00743946,0.00407389,0.0216015,0.00915374,0.0081284,0.006696,0.0096659,0.0216327,0.0184958,0.0187738,0,0,0.0159292,0,0.0220974,0.00976642,0.0712233,0.0281415,0.0367627,0.00611438,0.00331273,0.0479659,0.00602386,0.0530779,0.00876687,0.00272735,0.00569859,0.00425557,0.00987863,0.0136161,0.0157037,0.0262168,0.0085148,0.0150658,0.0139788,0,0,0,0.0166806,0.00335662,0.0239953,0.019596
48,0,0,0,0,0,0,0.0116339,0.014564,0,0,0,0.0124507,0.0180372,0.00537378,0,0,0.00728943,0,0.0216745,0.00302905,0.0423056,0.025416,0.0131325,0.0111177,0.00762187,0.0142983,0.0112497,0.00539794,0.00642691,0.00358907,0.0207246,0.0075897,0.00805553,0.00675968,0.0100522,0.0215624,0.0184756,0.0189485,0,0,0.0157776,0,0.0220248,0.00974052,0.0722686,0.0274244,0.0371867,0.00576067,0.00352521,0.0481233,0.00600008,0.0531436,0.00866043,0.00238881,0.00534086,0.00396002,0.00947513,0.0124308,0.0144388,0.0262518,0.00823224,0.0150004,0.0138337,0,0,0,0.0156117,0.00332749,0.0243936,0.0195526
49,0,0,0,0,0,0,0.0117111,0.0146073,0,0,0,0.0106006,0.0178859,0.00627673,0,0,0.00766688,0,0.0216935,0.00307476,0.0414125,0.024156,0.0105883,0.0109702,0.0076547,0.0103455,0.00934032,0.00394925,0.00362484,0.00280974,0.0192891,0.0077707,0.00831766,0.00686436,0.0104949,0.021489,0.0182499,0.0193107,0,0,0.0156419,0,0.0219617,0.0096672,0.0730702,0.0265221,0.0375722,0.0053598,0.00340334,0.0482573,0.00603003,0.0531777,0.00861122,0.00217827,0.0050004,0.00365864,0.00892871,0.0110483,0.0129539,0.0263571,0.00791307,0.0149123,0.0139758,0,0,0,0.0140626,0.00331246,0.0241127,0.019485
50,0,0,0,0,0,0,0.0116676,0.014641,0,0,0,0.00856271,0.0176972,0.00788213,0,0,0.00826042,0,0.0217348,0.00325016,0.0405146,0.0222291,0.00926236,0.0108527,0.00766718,0.0060285,0.00751081,0.00239063,0.00128779,0.00288562,0.0180175,0.0095857,0.00866869,0.00701059,0.0110833,0.0213998,0.0179174,0.0197789,0,0,0.0154403,0,0.0218777,0.00960388,0.0735619,0.0251546,0.0378534,0.00530072,0.00315642,0.0484719,0.00616318,0.0530139,0.0084976,0.00232197,0.00462048,0.00328399,0.00819713,0.0095101,0.0117005,0.0264272,0.00757009,0.0149358,0.0144643,0,0,0,0.0129807,0.00326322,0.0232347,0.0192103
51,0,0,0,0,0,0,0.011625,0.0145233,0,0,0,0.00983741,0.0175261,0.00886759,0,0,0.00908182,0,0.0218042,0.00354256,0.0397242,0.0204056,0.00925607,0.010794,0.00755834,0.00336094,0.00683012,0.00246268,0.000529136,0.00295137,0.0167809,0.0121938,0.00887688,0.00718212,0.00987975,0.0213403,0.0174747,0.0201135,0,0,0.0147789,0,0.0219492,0.00921279,0.0738455,0.0231526,0.0380126,0.00589928,0.00289557,0.0481757,0.00650615,0.0526248,0.00813373,0.00321819,0.00417851,0.00281758,0.00730701,0.00775193,0.0122508,0.0259052,0.006108,0.0148904,0.0150026,0,0,0,0.0128148,0.00284299,0.0220444,0.0186744
52,0,0,0,0,0,0,0.0117402,0.0144041,0,0,0,0.0110861,0.0173149,0.00946152,0,0,0.00965686,0,0.0218522,0.00367087,0.0389158,0.0200084,0.00905123,0.010554,0.00752815,0.00383868,0.00683326,0.00299656,0.00128518,0.00306484,0.0161391,0.0136274,0.00929095,0.00732557,0.0118239,0.0211764,0.0170138,0.0206106,0,0,0.0148183,0,0.0217541,0.00910952,0.0741861,0.0208882,0.0383269,0.00711745,0.00294266,0.0484416,0.00686872,0.0520729,0.00763718,0.00456221,0.00398525,0.00217626,0.00636476,0.00597227,0.0122477,0.0259079,0.00608501,0.0149716,0.0155736,0,0,0,0.0133382,0.0028745,0.0214908,0.018019
53,0,0,0,0,0,0,0.0118227,0.0142972,0,0,0,0.0104004,0.0171041,0.0104569,0,0,0.0103895,0,0.021921,0.00380922,0.0383935,0.0205387,0.00839885,0.0104208,0.00738376,0.00497469,0.00653021,0.00237933,0.00209312,0.00367873,0.0160965,0.0133584,0.00956657,0.0074572,0.0127264,0.0210298,0.0162586,0.0210399,0,0,0.0150285,0,0.0215938,0.00909925,0.0745278,0.0181484,0.0387039,0.00892539,0.00308647,0.0486561,0.00715857,0.0513866,0.00727345,0.00595037,0.00404537,0.00153582,0.00526321,0.00416539,0.0142465,0.0259932,0.00598143,0.015014,0.0159178,0,0,0,0.0136412,0.00287841,0.0217949,0.0174331
54,0,0,0,0,0,0,0.0118287,0.0142288,0,0,0,0.00952961,0.0169617,0.0106444,0,0,0.0112733,0,0.0219936,0.0040977,0.0384287,0.0211546,0.00782897,0.0103467,0.00699469,0.00571923,0.00605464,0.00168014,0.00261271,0.00333178,0.0159383,0.0117166,0.00961173,0.0076094,0.0111695,0.0209052,0.0148929,0.0214751,0,0,0.0154307,0,0.0214266,0.00920768,0.0745979,0.0153687,0.0388528,0.0107965,0.00296159,0.0489769,0.00720734,0.050731,0.00716924,0.00697701,0.00408739,0.00112913,0.00397832,0.00261893,0.0180449,0.026415,0.00600179,0.0148335,0.0160763,0,0,0,0.0136008,0.0028784,0.0222514,0.0172724
55,0,0,0,0,0,0,0.0117405,0.0141252,0,0,0,0.0101658,0.0168126,0.0114646,0,0,0.011534,0,0.0220006,0.00409731,0.0390451,0.021739,0.00699813,0.0100703,0.00690998,0.00699932,0.00583369,0.00222426,0.00308213,0.00293058,0.0167292,0.0123749,0.00988312,0.00774565,0.0143401,0.020845,0.0132025,0.0218131,0,0,0.0156209,0,0.0213703,0.00923932,0.0742679,0.0128943,0.0388535,0.0123601,0.00267328,0.0491277,0.00674736,0.0501715,0.00751363,0.00740341,0.00432897,0.00103839,0.00279361,0.00286615,0.017867,0.026765,0.0058585,0.0144623,0.0160189,0,0,0,0.0134164,0.00277437,0.0224931,0.0175315
56,0,0,0,0,0,0,0.0117099,0.0140933,0,0,0,0.0106361,0.016776,0.011854,0,0,0.0119414,0,0.0220263,0.00430928,0.0399155,0.0218793,0.00640403,0.00998401,0.00653792,0.00817884,0.00612069,0.00379978,0.0039204,0.00280704,0.0174144,0.0130766,0.00980566,0.00785473,0.0148253,0.0207862,0.0113628,0.0220636,0,0,0.0157448,0,0.0212329,0.00920674,0.0734358,0.0106999,0.0384918,0.0131566,0.00211412,0.0493816,0.00593736,0.049659,0.0082312,0.0073267,0.00446288,0.000952488,0.00158591,0.00389633,0.0198779,0.0271781,0.005926,0.0142964,0.0158324,0,0,0,0.0133992,0.00288008,0.0226121,0.0179451
57,0,0,0,0,0,0,0.011573,0.0139812,0,0,0,0.0105328,0.0167676,0.0115901,0,0,0.0118634,0,0.0220301,0.00433084,0.0407806,0.021473,0.00591132,0.00973009,0.00621068,0.0085205,0.00604714,0.0038782,0.00430611,0.00303706,0.0176908,0.0129001,0.00905325,0.00790714,0.0176169,0.0207591,0.00968156,0.0220408,0,0,0.015805,0,0.0211631,0.00909699,0.0723577,0.00978692,0.038035,0.0138066,0.00175584,0.0496759,0.00510893,0.0492038,0.00934856,0.00710579,0.00455364,0.000861351,0.000513328,0.00474877,0.0210911,0.0275599,0.0059092,0.0142043,0.0154722,0,0,0,0.0138928,0.00291689,0.0223651,0.0183045
58,0,0,0,0,0,0,0.0115025,0.0138799,0,0,0,0.0102478,0.0167966,0.0106988,0,0,0.0115897,0,0.0220004,0.00423141,0.0414606,0.0205151,0.0055282,0.00928651,0.00577291,0.00802642,0.00571694,0.00256041,0.00384523,0.00333585,0.0176389,0.0129613,0.00811324,0.00791771,0.0203809,0.0207651,0.00875382,0.0218909,0,0,0.015858,0,0.0211571,0.00899537,0.0711894,0.0103844,0.0375198,0.0145569,0.00175651,0.0502424,0.00461647,0.048734,0.0107265,0.00712894,0.004569,0.000954917,0.000715258,0.00523712,0.0236745,0.0279754,0.00590616,0.0142494,0.0151039,0,0,0,0.0140146,0.00292129,0.022017,0.0185096
59,0,0,0,0,0,0,0.0114931,0.0137375,0,0,0,0.00970156,0.0168359,0.00970698,0,0,0.0111657,0,0.0219599,0.00411422,0.0419633,0.0197057,0.0054898,0.00878392,0.00515,0.00773469,0.00578056,0.00265457,0.00278057,0.00305975,0.0179591,0.0127447,0.00735946,0.00789254,0.0227544,0.0208135,0.0088855,0.0216377,0,0,0.0159096,0,0.0212149,0.00898109,0.0700281,0.0117989,0.0369149,0.0153844,0.00194767,0.05068,0.00459553,0.0483312,0.0122335,0.00746761,0.00467864,0.00130382,0.00140061,0.00552071,0.0269907,0.0282128,0.00592925,0.0142184,0.0148005,0,0,0,0,0.00300728,0.0220052,0.0186513
60,0,0,0,0,0,0,0.0114619,0.0136525,0,0,0,0.0100606,0.0169104,0.00949894,0,0,0.0107777,0,0.0219191,0.00396374,0.042613,0.0187217,0.00514642,0.00819652,0.00456236,0.00717641,0.0057335,0.0030711,0.00261217,0.00283689,0.0183133,0.0134844,0.00681,0.00785655,0.0247113,0.0208506,0.00978879,0.0213328,0,0,0.015858,0,0.0212762,0.00900905,0.0691728,0.0132069,0.0362552,0.0163772,0.00238103,0.0508742,0.00478567,0.0479667,0.0137118,0.00822699,0.00501174,0.00168715,0.00202479,0.00583054,0.0297382,0.0281229,0.00590957,0.0142912,0.0145387,0,0,0,0,0.00306883,0.0220457,0.0186728
61,0,0,0,0,0,0,0.0115726,0.0137848,0,0,0,0.0107481,0.016921,0.0101644,0,0,0.0100061,0,0.0218881,0.00366678,0.0430636,0.0185849,0.00490459,0.00739546,0.00439351,0.00697217,0.00560446,0.00371257,0.00298835,0.00274097,0.0185704,0.0147527,0.00612612,0.00780646,0.0258763,0.0208021,0.0103369,0.0213495,0,0,0.0163365,0,0.0211005,0.00931743,0.0682403,0.0139355,0.0354401,0.0173505,0.00273489,0.0517008,0.00504929,0.0477684,0.0150104,0.00908913,0.00508667,0.00199387,0.00274191,0.0063787,0.0306997,0.0285167,0.00720499,0.0146214,0.0146026,0,0,0,0,0.0034286,0.0220703,0.0188365
62,0,0,0,0,0,0,0.0116333,0.0138533,0,0,0,0.0117526,0.0169486,0.0115047,0,0,0.00944157,0,0.0219194,0.00343886,0.0430617,0.0191407,0.00466683,0.0065009,0.00400332,0.00704158,0.00539934,0.0044312,0.00358124,0.00304527,0.0185386,0.015865,0.00571948,0.00774856,0.0252669,0.0208441,0.0102697,0.0213782,0,0,0.0166692,0,0.0211244,0.0095277,0.0670731,0.0142686,0.0344109,0.0180225,0.00287457,0.0522053,0.00530072,0.0476142,0.0160983,0.00979742,0.00467539,0.00203382,0.00362077,0.00741513,0.0303772,0.0287539,0.00761447,0.0147999,0.0147158,0,0,0,0,0.00353875,0.0218752,0.0191543
63,0,0,0,0,0,0,0.0115865,0.0138735,0,0,0,0.0130039,0.0169785,0.0130475,0,0,0.0090005,0,0.0219711,0.0032333,0.0426919,0.0195871,0.00430076,0.00562146,0.00353212,0.00700198,0.00516019,0.00499653,0.00452966,0.00375532,0.0182569,0.0170365,0.00539498,0.00770073,0.0234299,0.020903,0.0101848,0.0213935,0,0,0.0171026,0,0.0211793,0.00976602,0.0658403,0.0146397,0.0332951,0.0184803,0.0028092,0.0526081,0.00549035,0.0474557,0.0170133,0.0103717,0.00431747,0.00193624,0.00461647,0.00902072,0.0291075,0.0290921,0.00799101,0.0148293,0.0147697,0,0,0,0,0.00365607,0.0215682,0.0195628
64,0,0,0,0,0,0,0.0114806,0.0138008,0,0,0,0.0141632,0.0169711,0.0141739,0,0,0.00896388,0,0.0220022,0.00303631,0.0421983,0.0198201,0.00389475,0.00489629,0.00313519,0.006703,0.00499455,0.00558706,0.0055705,0.0043255,0.0179852,0.0183179,0.00524173,0.00767152,0.0213824,0.0208987,0.0103641,0.0214014,0,0,0.0174368,0,0.021178,0.00992174,0.0646705,0.0151772,0.0322414,0.0189935,0.00264861,0.0529047,0.00570959,0.0473482,0.0178019,0.0110533,0.00426862,0.00180333,0.0056152,0.010732,0.0275288,0.0293508,0.00824482,0.0148171,0.014741,0,0,0,0,0.00372562,0.0213072,0.0199925
65,0,0,0,0,0,0,0.0113867,0.0137263,0,0,0,0.0149488,0.0169398,0.0144626,0,0,0.00904662,0,0.0220176,0.0029351,0.0416949,0.0195287,0.00354207,0.00433693,0.00288151,0.0062856,0.00489768,0.00596651,0.00632204,0.0041346,0.0178947,0.0194891,0.00513575,0.00764279,0.0194436,0.0208959,0.0105512,0.0214001,0,0,0.0176145,0,0.0211846,0.0100089,0.0634905,0.0157623,0.0313265,0.0195911,0.00251646,0.053169,0.00604071,0.0473102,0.0185474,0.0117456,0.00435772,0.00165087,0.00651565,0.0121696,0.0256966,0.0295268,0.00842358,0.0149727,0.0146345,0,0,0,0,0.00375286,0.0211526,0.0204115
66,0,0,0,0,0,0,0.0112211,0.0134705,0,0,0,0.01574,0.0168912,0.0142588,0,0,0.00902119,0,0.0220311,0.00281955,0.0411776,0.0189709,0.00314007,0.00389511,0.00275302,0.00586072,0.00480613,0.00611433,0.00696504,0.00387481,0.0178754,0.0205919,0.00523307,0.00763614,0.0173594,0.0208754,0.0108255,0.0211684,0,0,0.0176382,0,0.021217,0.0100733,0.06223,0.0164853,0.0305093,0.020022,0.00249617,0.0529271,0.00647795,0.0472602,0.0192239,0.012337,0.00443933,0.00146731,0.00734747,0.013382,0.023971,0.0294171,0.00850573,0.0149985,0.0143618,0,0,0,0,0.0037425,0.0210063,0.0208468
67,0,0,0,0,0,0,0.0111526,0.0133381,0,0,0,0.0163502,0.0168501,0.0141743,0,0,0.0090362,0,0.0220575,0.00276688,0.040723,0.0184772,0.00280027,0.00367256,0.00268025,0.00567908,0.00479765,0.00635563,0.00760498,0.00362914,0.0178444,0.0215866,0.00541747,0.00763569,0.0154757,0.0208388,0.0111738,0.0210992,0,0,0.0176568,0,0.0211742,0.0101285,0.0607861,0.0172172,0.0297054,0.0203771,0.00261666,0.053041,0.00694648,0.0473509,0.0198945,0.0128631,0.00456341,0.00130862,0.00802675,0.0144172,0.0220813,0.0294014,0.00864628,0.0150208,0.0142437,0,0,0,0,0.00373625,0.0208149,0.0213298
