Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,STRN,T10,x70,x71,x72,LTHI,RWRB,LTHIP,LILC
9,0,0,0,0,0,0,0.00893924,0.0106199,0,0,0,0.0364347,0.0197044,0.0263308,0,0,0.0136062,0,0.0213876,0.00818956,0.0345068,0.0403074,0.0111625,0.0214942,0.00554785,0.0154945,0.00988994,0.0209445,0.024018,0.00944701,0.0184734,0.0382449,0.00868489,0.00517451,0.0130774,0.0222847,0.0119062,0.009793,0,0,0.0281265,0,0.0236487,0.0170213,0.0569288,0.0152997,0.019339,0.012642,0.00917272,0.0268167,0.00120686,0.0425095,0.00417177,0.00242785,0.010892,0.00696232,0.00804498,0.0128853,0.0082963,0.0263413,0.0156874,0.00917155,0.00799101,0,0,0,0.0176406,0.00707672,0,0
10,0,0,0,0,0,0,0.00849167,0.0103366,0,0,0,0.0360865,0.0197035,0.0262383,0,0,0.0133442,0,0.0215321,0.00800332,0.0351063,0.0406628,0.0124069,0.0209141,0.00542256,0.015718,0.0102735,0.0212648,0.0245642,0.00964641,0.0184119,0.0378232,0.00856725,0.00527341,0.0129086,0.0223472,0.0122169,0.00947309,0,0,0.0282583,0,0.0236895,0.0171096,0.0574816,0.0156429,0.01963,0.0131841,0.00926334,0.0274375,0.0012243,0.0427124,0.00446326,0.00258502,0.0112635,0.00707716,0.00819776,0.0133557,0.00882852,0.0268509,0.0155298,0.00875655,0.00785597,0,0,0,0.0180359,0.00695317,0,0
11,0,0,0,0,0,0,0.00819694,0.0102153,0,0,0,0.0360651,0.019574,0.0261505,0,0,0.0127777,0,0.0215698,0.00770315,0.0356706,0.040827,0.0135153,0.0204351,0.00538926,0.0160073,0.0106069,0.022101,0.0251643,0.00977485,0.0183691,0.0376052,0.00830635,0.0053647,0.0128661,0.0224048,0.0126431,0.00949096,0,0,0.0284776,0,0.0237233,0.0172286,0.0580196,0.0161688,0.0198943,0.0136941,0.00941977,0.0284196,0.00122359,0.0428383,0.00466265,0.00284169,0.0116929,0.00728267,0.0084192,0.0139439,0.0095671,0.0274553,0.0156433,0.00850047,0.00788712,0,0,0,0.018369,0.00667944,0,0
12,0,0,0,0,0,0,0.00804079,0.0102051,0,0,0,0.0363033,0.0195558,0.0259131,0,0,0.0124558,0,0.0215678,0.0076064,0.0361898,0.0408266,0.0149145,0.0199923,0.00535701,0.0165191,0.0109154,0.0225909,0.0258437,0.0100239,0.0183082,0.0374672,0.00824306,0.00537031,0.0130369,0.0224461,0.0131984,0.00973843,0,0,0.0287753,0,0.0237382,0.0174134,0.0585959,0.0168397,0.0201564,0.0143228,0.00958999,0.0295836,0.00126618,0.0430105,0.00487573,0.00310642,0.0122829,0.00745076,0.00874063,0.0147073,0.0103768,0.0281533,0.0156904,0.00834901,0.00806255,0,0,0,0.0186215,0.00665924,0,0
13,0,0,0,0,0,0,0.00799976,0.0101894,0,0,0,0.0359908,0.0193773,0.0253912,0,0,0.0116562,0,0.0215194,0.00706492,0.0366588,0.0405719,0.0168165,0.0196556,0.00519185,0.0170795,0.0112585,0.0226815,0.0262783,0.0103542,0.0181681,0.0371738,0.00780067,0.00543234,0.0133612,0.0224789,0.0139286,0.0101389,0,0,0.0291186,0,0.0237107,0.0176235,0.0591796,0.0177685,0.0204602,0.015076,0.00982203,0.0309207,0.00132705,0.0431603,0.0051768,0.00335525,0.0130612,0.0075652,0.00930843,0.0156568,0.0113553,0.0289368,0.0156577,0.00840059,0.00838273,0,0,0,0.0187274,0.00684352,0,0
14,0,0,0,0,0,0,0.00816638,0.0100555,0,0,0,0.0351594,0.0193541,0.0247275,0,0,0.0109411,0,0.0215707,0.0066342,0.0371187,0.0400729,0.0182296,0.0196587,0.00530407,0.0178303,0.0118327,0.0225976,0.0266453,0.0108272,0.0179484,0.0362742,0.00737862,0.0054405,0.013696,0.022545,0.0146555,0.0108284,0,0,0.0295557,0,0.0237104,0.0178666,0.0597956,0.018958,0.020734,0.0159454,0.0101444,0.0328193,0.00137447,0.0433575,0.00545883,0.00366172,0.013877,0.00761888,0.0098276,0.0166692,0.0123101,0.0299142,0.0154657,0.00875711,0.00895837,0,0,0,0.0189158,0.00679594,0,0
15,0,0,0,0,0,0,0.00853132,0.00965847,0,0,0,0.0337894,0.0193978,0.0237875,0,0,0.0104698,0,0.0215705,0.00637014,0.0375891,0.0393654,0.0192971,0.0201235,0.00558734,0.0187082,0.0126236,0.0224505,0.0269544,0.0112929,0.0176433,0.0349767,0.00712237,0.00540978,0.0142742,0.0225267,0.0154141,0.0117438,0,0,0.0304072,0,0.0235254,0.0182585,0.060434,0.0198666,0.0209703,0.0170382,0.0106573,0.035024,0.00144167,0.0435841,0.00584658,0.00410402,0.0146175,0.00763724,0.0100988,0.0174864,0.0133589,0.0312359,0.0161839,0.00932293,0.00969013,0,0,0,0.0193343,0.00673054,0,0
16,0,0,0,0,0,0,0.00878727,0.00960147,0,0,0,0.0321602,0.0193736,0.0226999,0,0,0.0100268,0,0.0214661,0.00616099,0.0379937,0.0385838,0.0206097,0.020368,0.00562086,0.0196711,0.0133102,0.0225077,0.0268669,0.0114093,0.0173082,0.0332544,0.00690025,0.0054191,0.0148606,0.0225381,0.0161326,0.0124224,0,0,0.0307244,0,0.0235101,0.0183572,0.0609713,0.0207332,0.0211807,0.018054,0.0109141,0.0366057,0.00145717,0.0438545,0.00628221,0.00449578,0.0152892,0.00761674,0.010303,0.0182312,0.0140575,0.0319694,0.0162287,0.00962367,0.0101869,0,0,0,0.019779,0.00669756,0,0
17,0,0,0,0,0,0,0.00880234,0.00953568,0,0,0,0.0306591,0.0192817,0.0214643,0,0,0.00998839,0,0.0212979,0.00612313,0.0382946,0.0375581,0.0220399,0.0202185,0.00544463,0.0207991,0.0139219,0.0223541,0.0265114,0.0114062,0.0169625,0.0313797,0.00701708,0.00549506,0.0153817,0.0225521,0.0166617,0.0126606,0,0,0.0304435,0,0.02365,0.0182798,0.0613957,0.0213497,0.0213365,0.0188728,0.0107971,0.0370817,0.00143287,0.0441317,0.00666154,0.0048371,0.0158084,0.00767211,0.0105107,0.0187525,0.0144155,0.0319626,0.0159626,0.00955141,0.0103071,0,0,0,0.0201384,0.00637845,0,0
18,0,0,0,0,0,0,0.00896167,0.00988796,0,0,0,0.0292308,0.0192796,0.0201776,0,0,0.00978412,0,0.0213146,0.00603208,0.0386007,0.0354395,0.0234773,0.0202981,0.00539301,0.0222116,0.0146868,0.0219291,0.0258929,0.0113354,0.0166389,0.029673,0.00695935,0.00548143,0.015845,0.0225863,0.0173669,0.0132613,0,0,0.0305914,0,0.0236429,0.0183413,0.0618432,0.0222493,0.0214317,0.0197946,0.0108486,0.0385585,0.00146776,0.0444398,0.00704679,0.00522822,0.0163668,0.00773092,0.0107194,0.0193103,0.0150176,0.0325359,0.0161176,0.0098691,0.0107172,0,0,0,0.0206479,0.00621908,0,0
