Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,R5FT,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,STRN,T10,x70,x71,x72,R5HD,LTHI,x73,LWRB,RASI,RWRB
23,0,0,0,0,0,0,0.0308619,0.0254363,0,0,0,0.0157057,0.0187941,0.0252032,0.0645059,0,0,0.0246958,0,0.020047,0.00549122,0.0302075,0.0355593,0.00627256,0.0255694,0.0375834,0.0343743,0.0256822,0.0211326,0.0114382,0.00866286,0.00546138,0.00874038,0.00954773,0.0103573,0.027624,0.00805538,0.00518793,0.00981634,0.0265111,0,0,0.0326403,0,0.0159533,0.0212088,0.0601628,0.0165053,0.0186722,0.011138,0.0255727,0.0174548,0.00912179,0.0340027,0.0105838,0.00804379,0.00962041,0.00443523,0.00983707,0.0131042,0.00929735,0.0280459,0.0238291,0.0251062,0.0278735,0,0,0,0.0159982,0.01577,0,0.00615285,0,0
24,0,0,0,0,0,0,0.0310185,0.0255283,0,0,0,0.0116397,0.0187947,0.0222324,0.0646131,0,0,0.0246948,0,0.0200029,0.00545362,0.0309067,0.0323341,0.00645117,0.0250234,0.037894,0.034534,0.0254786,0.0201839,0.0112725,0.00873761,0.00715567,0.00911185,0.00861132,0.00614325,0.0276323,0.00803414,0.00543133,0.00979898,0.0267499,0,0,0.0329392,0,0.0160621,0.0213943,0.0605207,0.0165614,0.0187379,0.0112462,0.02574,0.0175492,0.00903314,0.0342061,0.0104256,0.00818378,0.00980447,0.00454319,0.010033,0.013496,0.0103681,0.0282112,0.0239639,0.0251434,0.0281442,0,0,0,0.0160832,0.0155557,0,0.00625915,0,0
25,0,0,0,0,0,0,0.031268,0.0256465,0,0,0,0.0112092,0.0187303,0.0194175,0.0647518,0,0,0.0246177,0,0.0199006,0.00531147,0.0315533,0.0286957,0.00680186,0.0238359,0.0384137,0.0348244,0.0243361,0.0192017,0.0111859,0.00883857,0.00887296,0.00948851,0.00777566,0.00954562,0.0276879,0.0080097,0.00565137,0.00980565,0.0270993,0,0,0.0331194,0,0.016124,0.0216226,0.0608614,0.0166785,0.0187736,0.0113541,0.0260941,0.0178239,0.00894089,0.0344562,0.0102379,0.00833681,0.00991685,0.00458952,0.0101757,0.0137473,0.0111165,0.0283879,0.0240346,0.0252185,0.0285491,0,0,0,0.0161401,0.0149053,0,0.00649717,0,0
26,0,0,0,0,0,0,0.0315946,0.0257908,0,0,0,0.0149757,0.0186954,0.0170236,0.0647242,0,0,0.0244186,0,0.0200182,0.00517534,0.0320605,0.0248038,0.00729472,0.0219684,0.0390333,0.035185,0.0226462,0.0179773,0.0113307,0.00888323,0.0103469,0.00985749,0.00704638,0.0155735,0.0278024,0.00803974,0.00577449,0.00978425,0.0275369,0,0,0.0332449,0,0.0161529,0.0217886,0.0611077,0.0167977,0.018711,0.0114314,0.0266347,0.0182049,0.00878968,0.0347438,0.010002,0.0083873,0.0099186,0.00460902,0.0100922,0.0139141,0.0115243,0.0286279,0.0239661,0.0253719,0.0290445,0,0,0,0.0161772,0.0137127,0,0.0066476,0,0
27,0,0,0,0,0,0,0.0319356,0.0259665,0,0,0,0.0199487,0.0186736,0.0154538,0.065246,0,0,0.0243601,0,0.0201095,0.00512563,0.0324457,0.0208792,0.00772032,0.0197378,0.0395647,0.0355028,0.0207372,0.016518,0.0117792,0.00929903,0.0114335,0.0101685,0.00643478,0.0217452,0.0277447,0.00804889,0.00570707,0.00977763,0.0280066,0,0,0.0333359,0,0.0161426,0.0218511,0.0612859,0.0168203,0.0185343,0.0114547,0.0272299,0.018596,0.00852873,0.0350742,0.00972439,0.00826168,0.010002,0.00468125,0.0100657,0.0140886,0.0116598,0.0288584,0.0237434,0.0257429,0.0295162,0,0,0,0.0161967,0.0120261,0,0.00669198,0,0
28,0,0,0,0,0,0,0.0322632,0.0262696,0,0,0,0.0247368,0.0186928,0.0150233,0.0656665,0,0,0.0242177,0,0.0200868,0.00500582,0.0326012,0.0173028,0.00832748,0.0176602,0.040281,0.0357901,0.0186565,0.0150954,0.0125257,0.0100221,0.0122644,0.0105379,0.00608298,0.0266795,0.0277771,0.0080325,0.00571988,0.00972919,0.0284442,0,0,0.0332938,0,0.0161676,0.0218187,0.0615471,0.0167969,0.0179049,0.011382,0.0281471,0.0191441,0.00816724,0.035533,0.0093842,0.00805358,0.0100958,0.00474258,0.0101488,0.0143037,0.0118723,0.0291092,0.0236652,0.0262267,0.0299309,0,0,0,0.0162276,0.0102701,0,0.0067167,0.0221952,0
29,0,0,0,0,0,0,0.0326959,0.0265475,0,0,0,0.0292222,0.0188144,0.0153104,0.0657151,0,0,0.0240891,0,0.020091,0.00492517,0.0327789,0.0144364,0.00882994,0.0161022,0.0408389,0.0359718,0.0170747,0.0141545,0.0132119,0.0108324,0.0131634,0.0109115,0.00603923,0.031177,0.0279461,0.00801167,0.00554957,0.0097112,0.0288698,0,0,0.0331922,0,0.016183,0.0217897,0.0618402,0.0167517,0.0176699,0.0113018,0.028822,0.0198046,0.00787555,0.0360425,0.00900441,0.00786049,0.0101881,0.0048282,0.0102275,0.0144412,0.0118787,0.0293378,0.0236592,0.0265704,0.0303183,0,0,0,0.0162608,0.00866631,0,0.00674072,0.0219015,0
30,0,0,0,0,0,0,0.0331616,0.0268734,0,0,0,0.0332038,0.0188501,0.01594,0.0655923,0,0,0.0242169,0,0.0203353,0.00502181,0.0330228,0.012283,0.00943735,0.0149947,0.0413585,0.0362136,0.01634,0.0138193,0.0138936,0.0116359,0.0137802,0.011122,0.00625275,0.0349384,0.0280518,0.00805765,0.00523216,0.00971774,0.0293546,0,0,0.0331078,0,0.0161632,0.0217704,0.0620846,0.016705,0.0173423,0.0112342,0.029471,0.0203339,0.00759051,0.0364527,0.00854435,0.00772283,0.0103158,0.00497363,0.0103308,0.0146005,0.0116467,0.0294253,0.023695,0.026952,0.0307513,0,0,0,0.0162545,0.00757998,0,0.00641137,0.0218127,0
31,0,0,0,0,0,0,0.0334996,0.0272437,0,0,0,0.0362499,0.0188523,0.0170753,0.0655328,0,0,0.0243507,0,0.0204389,0.00502646,0.0333426,0.0106365,0.0101055,0.0142102,0.0419346,0.0364971,0.0165034,0.0141323,0.0148103,0.0123427,0.014015,0.0108725,0.00665119,0.0377304,0.0282259,0.00805112,0.00480863,0.00982343,0.0297443,0,0,0.0330571,0,0.016174,0.0217469,0.0622143,0.0168284,0.0170185,0.0111604,0.0302131,0.0208289,0.00736966,0.0368852,0.00808481,0.00761399,0.0104912,0.0051932,0.010499,0.0148477,0.011538,0.0295893,0.0237551,0.0273797,0.031094,0,0,0,0.0162815,0.00750261,0,0.00622205,0.0214658,0
32,0,0,0,0,0,0,0.0337235,0.0275752,0,0,0,0.0380496,0.018745,0.0183622,0.0658079,0,0,0.0242565,0,0.0203617,0.00487819,0.0337707,0.00981639,0.0105813,0.0137765,0.0423781,0.0367734,0.0173793,0.0150179,0.0159872,0.0130462,0.0141182,0.0105371,0.00718067,0.0395277,0.0283725,0.00799616,0.00439646,0.0100957,0.0300513,0,0,0.0329511,0,0.0161757,0.0216673,0.0623085,0.0173422,0.0167247,0.0111117,0.0308696,0.0213027,0.00710384,0.0373727,0.00767789,0.00756204,0.0107534,0.005535,0.0107236,0.0152074,0.0116556,0.0297542,0.0238278,0.0278048,0.0313656,0,0,0,0.016295,0.00831494,0,0.00606456,0.0209882,0
