Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,R5FT,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,STRN,T10,x70,x71,x72,R5HD,LTHI,x73,LWRB,RASI,RWRB
44,0,0,0,0,0,0,0.0354043,0.030717,0,0,0,0.0170098,0.0187622,0.0189467,0.0668039,0,0,0.0220038,0,0.0206077,0.00331334,0.0403252,0.0122023,0.0110249,0.0157264,0.0475027,0.0396259,0.0170791,0.0155948,0.0181035,0.0130655,0.0141321,0.0107952,0.00943337,0.0156145,0.0287313,0.00789335,0.0037198,0.0144395,0.0318975,0,0,0.0321903,0,0.0159215,0.0215538,0.0691849,0.0218888,0.0180546,0.011565,0.0340959,0.0241958,0.00603942,0.0429356,0.00572048,0.0093584,0.0124121,0.00742057,0.0120011,0.0155001,0.0143373,0.0306393,0.025376,0.0313869,0.0340404,0,0,0,0.0162223,0.0098213,0,0.00589533,0.0215721,0
45,0,0,0,0,0,0,0.0353831,0.0306529,0,0,0,0.0150487,0.0187732,0.0182801,0.0660493,0,0,0.0216932,0,0.0205295,0.00310903,0.040222,0.0110153,0.0105563,0.0149278,0.0473009,0.0396463,0.0161869,0.0144591,0.0168387,0.0129821,0.0139423,0.0109964,0.00895389,0.0137299,0.0285336,0.00787351,0.00475318,0.0145569,0.0318874,0,0,0.0322142,0,0.0159561,0.0215532,0.0700828,0.0212177,0.0185348,0.0123659,0.0337274,0.0241649,0.00615042,0.043443,0.0062844,0.0096642,0.0122686,0.00769053,0.0114689,0.0140897,0.0148911,0.0307648,0.0252887,0.0312804,0.034165,0,0,0,0.0162301,0.00816905,0,0.00591131,0.0220983,0
46,0,0,0,0,0,0,0.0353566,0.0306709,0,0,0,0.0135616,0.0187397,0.0173239,0.0657341,0,0,0.02137,0,0.0204654,0.00291395,0.0400639,0.0105771,0.00982745,0.0141032,0.047015,0.0396831,0.015416,0.0133785,0.0157731,0.0128037,0.0135308,0.0112023,0.00827322,0.0122892,0.0282517,0.00787414,0.00580155,0.0146948,0.0319701,0,0,0.0322048,0,0.0159581,0.0215137,0.0709624,0.020657,0.0190281,0.0132391,0.0333142,0.024187,0.00640192,0.0438503,0.00711172,0.0102337,0.0121311,0.00801885,0.01102,0.012751,0.015698,0.0307777,0.0252174,0.0311392,0.0343322,0,0,0,0.0162188,0.00623253,0,0.0058025,0.022792,0
47,0,0,0,0,0,0,0.0352745,0.030893,0,0,0,0.0121591,0.0187349,0.0158347,0.0654272,0,0,0.0212134,0,0.0204692,0.00290952,0.0400155,0.00985349,0.00909015,0.013437,0.046933,0.0397543,0.0145149,0.0122684,0.015263,0.0119002,0.0126778,0.0110011,0.00783101,0.0105534,0.0280704,0.00791934,0.00678677,0.0151079,0.0320967,0,0,0.0322214,0,0.0159395,0.0215079,0.0718963,0.0205939,0.0195158,0.0142309,0.0330241,0.0243388,0.00670808,0.0439817,0.00813294,0.0111299,0.0120957,0.00845835,0.010819,0.0119439,0.0161854,0.0309,0.0251308,0.0309966,0.0345323,0,0,0,0.0161989,0.00474289,0,0.0058426,0.0236395,0
48,0,0,0,0,0,0,0.0351899,0.0311864,0,0,0,0.010338,0.018713,0.0146771,0.0652585,0,0,0.0211525,0,0.0204646,0.00283927,0.0402892,0.0110671,0.00858834,0.0130562,0.0469058,0.0397696,0.013952,0.0114828,0.0156369,0.0106166,0.0117543,0.0104248,0.00807487,0.00804518,0.0280467,0.0079558,0.00767396,0.0156154,0.0322807,0,0,0.032375,0,0.0159303,0.0216317,0.0730082,0.0207608,0.0200006,0.0152676,0.032725,0.0247086,0.00705278,0.0439072,0.00928008,0.011837,0.0121323,0.00892361,0.0106637,0.0113414,0.0163525,0.0311804,0.024983,0.0310539,0.0346851,0,0,0,0.0161903,0.0036907,0,0.00581129,0.0242838,0
49,0,0,0,0,0,0,0.035068,0.0312119,0,0,0,0.00968357,0.0186739,0.0133302,0.0652006,0,0,0.0211866,0,0.0204025,0.00279834,0.0406065,0.0135025,0.00838695,0.0128879,0.0466155,0.0397851,0.0141493,0.0114844,0.0163952,0.0104315,0.0116779,0.0100104,0.00878872,0.00568435,0.0280758,0.00794746,0.00860031,0.0158907,0.0322915,0,0,0.0325871,0,0.0159343,0.021767,0.074205,0.0201824,0.020417,0.0160235,0.0323778,0.0250586,0.00742373,0.0438579,0.0103403,0.0126163,0.0119318,0.00918389,0.0103901,0.0104456,0.0162497,0.0315159,0.0247769,0.0311472,0.0345414,0,0,0,0.0161939,0.00450952,0,0.00569352,0.0247247,0
50,0,0,0,0,0,0,0.0350127,0.0309126,0,0,0,0.0103884,0.0186603,0.012302,0.0651991,0,0,0.0212286,0,0.0203631,0.00282979,0.04046,0.0141728,0.00808834,0.012165,0.0460543,0.0396717,0.0142205,0.0115282,0.0163722,0.0111363,0.0122642,0.0103438,0.00908054,0.00395429,0.027993,0.00794053,0.00982222,0.0157196,0.0320464,0,0,0.0327195,0,0.0159343,0.021781,0.0753349,0.0190425,0.0206844,0.0164492,0.0321549,0.02514,0.00779537,0.0439167,0.0113039,0.013149,0.0115262,0.00919387,0.00986463,0.00917931,0.0163845,0.0316361,0.0245894,0.0311466,0.0341663,0,0,0,0.0161932,0.00493305,0,0.00558047,0.0249111,0
51,0,0,0,0,0,0,0.0350355,0.0306624,0,0,0,0.00930766,0.0186313,0.0118741,0.0650815,0,0,0.0210968,0,0.0203445,0.00280497,0.0400623,0.0132654,0.0078234,0.0115758,0.0454384,0.0394172,0.0136348,0.0110403,0.0151586,0.0118251,0.013004,0.0109932,0.00889833,0.00198756,0.0279595,0.00795269,0.0113436,0.0153165,0.0317284,0,0,0.0327808,0,0.0159588,0.0217042,0.076231,0.0171851,0.0208374,0.0168075,0.0320143,0.0250356,0.00797457,0.0439611,0.0123135,0.014042,0.0110863,0.00911232,0.0092031,0.00791602,0.0171846,0.031593,0.0244044,0.0310754,0.0338608,0,0,0,0.0162052,0.00431884,0,0.00555893,0.0248851,0
52,0,0,0,0,0,0,0.0350515,0.0305315,0,0,0,0.00650332,0.0185681,0.0119147,0.0646281,0,0,0.0208273,0,0.0203264,0.00267965,0.0397841,0.0118499,0.00765858,0.0115625,0.0448411,0.0391729,0.0130487,0.0102822,0.0133153,0.0120012,0.0132905,0.0115315,0.00868998,0.0021263,0.0279257,0.00798014,0.0128791,0.0147873,0.0315516,0,0,0.0327665,0,0.0159878,0.0216632,0.0768712,0.0148399,0.0208808,0.0174217,0.0318988,0.0247471,0.00816146,0.0437746,0.0133899,0.014861,0.0106777,0.0090366,0.00852755,0.00698465,0.0186593,0.031463,0.0242433,0.0309127,0.0337461,0,0,0,0.0162206,0.00338805,0,0.00556824,0.0246227,0
53,0,0,0,0,0,0,0.0349935,0.0304193,0,0,0,0.00591831,0.0184796,0.0121532,0.0640978,0,0,0.0205184,0,0.0203529,0.00261444,0.0397591,0.0106659,0.00761101,0.0120136,0.044157,0.0389357,0.012833,0.00965277,0.0117393,0.0118711,0.0131358,0.0118564,0.00856342,0.00445352,0.0275779,0.00802625,0.0136274,0.0142808,0.031502,0,0,0.032726,0,0.0160168,0.0216676,0.0772297,0.0127395,0.0208982,0.0183662,0.0317911,0.0242841,0.00875648,0.0433009,0.0144673,0.0154519,0.0102901,0.00898141,0.00782493,0.00645946,0.0207177,0.0312936,0.0240478,0.0306545,0.0337209,0,0,0,0.0162362,0.00263861,0,0.00553615,0.0242444,0
54,0,0,0,0,0,0,0.0348499,0.0303181,0,0,0,0.00651265,0.0183928,0.0122684,0.0639059,0,0,0.020268,0,0.0203682,0.00268289,0.0397884,0.010409,0.00752089,0.0120106,0.0433727,0.0388497,0.0122823,0.00914472,0.0109974,0.0118508,0.0130589,0.0120811,0.00842993,0.00586017,0.0271642,0.00807781,0.0141141,0.0139708,0.0314503,0,0,0.0327168,0,0.0160505,0.0216854,0.0773187,0.0114976,0.0209506,0.0196408,0.0316178,0.0238054,0.00971139,0.0426195,0.0156047,0.0162927,0.010041,0.00890392,0.00708127,0.00629589,0.0225566,0.031076,0.0238189,0.0303704,0.0337203,0,0,0,0.0162595,0.00222051,0,0.00549926,0.0239534,0
55,0,0,0,0,0,0,0.0346404,0.0301579,0,0,0,0.00780111,0.0183435,0.0125032,0.0639111,0,0,0.0202454,0,0.0203332,0.00262486,0.0396746,0.0109374,0.00743192,0.0117054,0.0426327,0.0387628,0.0114056,0.00867026,0.0111289,0.0119563,0.0134427,0.0122469,0.00827753,0.00671011,0.0270912,0.00809761,0.0142459,0.0136716,0.0313505,0,0,0.0327652,0,0.0160793,0.0217391,0.0771293,0.0115926,0.0210105,0.0209332,0.0313778,0.0234905,0.0107937,0.0418332,0.0167538,0.0172097,0.00990327,0.00867113,0.00627412,0.0063574,0.0231189,0.0308672,0.0235924,0.0301029,0.033677,0,0,0,0.016287,0.00146209,0,0.00544352,0.0237769,0
56,0,0,0,0,0,0,0.034381,0.0298734,0,0,0,0.00935933,0.0183871,0.0128573,0.0640693,0,0,0.0203989,0,0.0203175,0.0025376,0.0393835,0.0120375,0.0072842,0.0115661,0.0419461,0.0385956,0.0108338,0.00846801,0.0119187,0.0121687,0.0141176,0.0122366,0.00826668,0.00721107,0.0272165,0.00811305,0.0133261,0.0129766,0.0312044,0,0,0.0328011,0,0.0160871,0.0217265,0.0767678,0.0122276,0.0209733,0.0218799,0.0311,0.0232827,0.011887,0.040946,0.017844,0.0182951,0.00976998,0.00814483,0.00546281,0.00663671,0.0222101,0.0307829,0.0236199,0.029785,0.0334795,0,0,0,0.016309,0.0013371,0,0.0054809,0.023587,0
57,0,0,0,0,0,0,0.0339771,0.0295113,0,0,0,0.0107283,0.0184391,0.0131373,0.0644496,0,0,0.0206926,0,0.0202948,0.00263006,0.0390768,0.0128442,0.00712846,0.0118723,0.0412625,0.0382999,0.0108739,0.00880636,0.0129452,0.0124226,0.0147481,0.0119337,0.00856103,0.00729787,0.0273032,0.00810263,0.0120368,0.0119373,0.0309107,0,0,0.0328427,0,0.016119,0.0216872,0.0764599,0.013091,0.0207562,0.0222836,0.0308011,0.023005,0.0127567,0.0402195,0.0187861,0.0191962,0.0094617,0.00752257,0.00471203,0.00696221,0.0200437,0.0307679,0.0235621,0.0294072,0.0329627,0,0,0,0.0163508,0.00211862,0,0.00557621,0.0233664,0
58,0,0,0,0,0,0,0.0334862,0.0290874,0,0,0,0.0115216,0.0184921,0.0132034,0.065026,0,0,0.0210801,0,0.0202525,0.00285944,0.0388356,0.0125895,0.00701674,0.0122845,0.0404631,0.0379088,0.0110478,0.00923546,0.0135852,0.0126668,0.0146846,0.0115343,0.00898591,0.00729866,0.0275689,0.00805816,0.0124772,0.0111135,0.0304127,0,0,0.0328725,0,0.016171,0.0216572,0.0763095,0.0148246,0.0203829,0.0223209,0.03038,0.0226017,0.0132653,0.039855,0.0195392,0.0196573,0.00909156,0.00710065,0.0039881,0.00708851,0.0177984,0.0305823,0.0236233,0.0289484,0.0321544,0,0,0,0.0163926,0.00272392,0,0.00566829,0.0230489,0
59,0,0,0,0,0,0,0.0330152,0.0286664,0,0,0,0.0116922,0.0185884,0.012785,0.0655731,0,0,0.0215699,0,0.0202258,0.00317335,0.038704,0.0114549,0.00707296,0.0123637,0.0395294,0.037547,0.0109233,0.00930175,0.0135276,0.0124968,0.0142333,0.0113163,0.00922156,0.0071474,0.0277686,0.00803356,0.014321,0.010806,0.0297885,0,0,0.0328771,0,0.0162108,0.0216445,0.0764541,0.016435,0.0199771,0.0219713,0.0298782,0.0220966,0.0134809,0.0395248,0.0198575,0.0196381,0.00883342,0.00660019,0.00344275,0.00710075,0.0173704,0.0304342,0.0237625,0.0284892,0.03132,0,0,0,0.0164313,0.00275351,0,0.0058463,0.0226967,0
60,0,0,0,0,0,0,0.0326792,0.028284,0,0,0,0.0112101,0.0186603,0.0119789,0.0660162,0,0,0.0220244,0,0.0202023,0.00347033,0.0388453,0.0100782,0.00732369,0.0121758,0.0386621,0.0372194,0.0106897,0.00907295,0.0130542,0.0117783,0.0138638,0.0111584,0.00925849,0.00701209,0.0277984,0.00799709,0.0165921,0.0109562,0.0291923,0,0,0.0328546,0,0.0162269,0.021643,0.076723,0.0168783,0.0195534,0.0217784,0.0294272,0.0216288,0.0135613,0.0393444,0.0199522,0.0193704,0.00900934,0.00605995,0.00300235,0.00721882,0.0200633,0.0303646,0.0239513,0.0280729,0.0306629,0,0,0,0.0164542,0.00265099,0,0.00598148,0.0222679,0
61,0,0,0,0,0,0,0.0324888,0.0279965,0,0,0,0.0105982,0.0187014,0.0112205,0.0673053,0,0,0.0223099,0,0.0201563,0.00363873,0.0393556,0.00909001,0.00766934,0.0120168,0.0378977,0.0369636,0.0104991,0.00894978,0.0126117,0.0112256,0.0134205,0.0107175,0.00926684,0.00690934,0.0278564,0.00795146,0.020369,0.0116791,0.0287108,0,0,0.0328229,0,0.0162373,0.0216598,0.0767052,0.0164412,0.0191166,0.0220634,0.0291379,0.0212985,0.0136094,0.039336,0.0200286,0.0190995,0.00955163,0.00559703,0.00280923,0.00759664,0.0253041,0.0302327,0.0241323,0.0277337,0.0302297,0,0,0,0.0164674,0.00259732,0,0.00611694,0.0218661,0
62,0,0,0,0,0,0,0.0323697,0.0277481,0,0,0,0.0100624,0.0187482,0.0107892,0.0689942,0,0,0.0224383,0,0.0201122,0.00379359,0.0399989,0.0083477,0.00801432,0.012061,0.0371154,0.0367374,0.0104302,0.00898014,0.0124963,0.0110049,0.0129773,0.0102653,0.0093495,0.00679448,0.0280672,0.00789414,0.0250555,0.0127132,0.0283087,0,0,0.0328176,0,0.0162599,0.0216543,0.0761219,0.0157225,0.0186269,0.0226155,0.0290039,0.0210484,0.0136599,0.0394286,0.0203083,0.0189395,0.00989309,0.00523726,0.00265793,0.00794434,0.0296908,0.0301991,0.0243388,0.0275479,0.0299569,0,0,0,0.0164929,0.00225759,0,0.00632086,0.0214728,0
63,0,0,0,0,0,0,0.0322603,0.0275575,0,0,0,0.00959127,0.0187724,0.01081,0.0698173,0,0,0.0224494,0,0.0201158,0.00385513,0.0404228,0.00810251,0.00833996,0.0122853,0.036203,0.0365253,0.0105914,0.00926639,0.0127115,0.0111451,0.0129445,0.0100633,0.0095165,0.00667301,0.0280949,0.00786067,0.0288012,0.0130252,0.0280043,0,0,0.0328295,0,0.0162596,0.0216571,0.0749871,0.0149667,0.0180384,0.0230592,0.0289231,0.0208106,0.0138247,0.039561,0.0207295,0.0189998,0.00970823,0.0049841,0.00249021,0.0081211,0.0332977,0.0302304,0.0245267,0.0274604,0.0297894,0,0,0,0.0165002,0.0017983,0,0.00644976,0.0210022,0
64,0,0,0,0,0,0,0.0321371,0.0273668,0,0,0,0.00933694,0.0187484,0.0111247,0.0700451,0,0,0.0224016,0,0.0201187,0.00376922,0.0404942,0.00865578,0.00872214,0.0124586,0.0351969,0.0362858,0.0107504,0.00961322,0.0129438,0.0115529,0.013427,0.0103244,0.00952022,0.00679539,0.0279121,0.00780173,0.031043,0.0127202,0.0277799,0,0,0.0328469,0,0.0162541,0.021699,0.0734931,0.0144172,0.0174,0.0231642,0.028864,0.0206054,0.0140673,0.0396149,0.0210232,0.0191675,0.00903055,0.00490504,0.00248686,0.00847797,0.0361966,0.0302496,0.0246505,0.0273563,0.0296059,0,0,0,0.0164983,0.00172156,0,0.00645079,0.020495,0
65,0,0,0,0,0,0,0.0320231,0.0271667,0,0,0,0.00937653,0.0187138,0.011677,0.069911,0,0,0.0224604,0,0.0201034,0.00373192,0.0403601,0.00946533,0.00911778,0.0127252,0.0342469,0.0360508,0.010884,0.00992841,0.0130724,0.0121421,0.0141451,0.010629,0.009363,0.00728534,0.0277571,0.00775765,0.0320348,0.0120107,0.027627,0,0,0.0328703,0,0.0162609,0.0217679,0.0719798,0.0140458,0.0168081,0.0226565,0.0288209,0.0205142,0.0143046,0.0393681,0.021063,0.0192731,0.00827115,0.00481672,0.00293366,0.00952802,0.0372157,0.0302726,0.0247336,0.0271905,0.0294228,0,0,0,0.0165065,0.00168147,0,0.00648341,0.0199767,0
66,0,0,0,0,0,0,0.0319806,0.0270105,0,0,0,0.00975252,0.0187015,0.0125074,0.0698323,0,0,0.0224659,0,0.0201094,0.00388551,0.0401302,0.0106283,0.00955391,0.0130833,0.0334605,0.0358445,0.0110201,0.0101203,0.0131609,0.0127305,0.0149964,0.0107603,0.00914133,0.00826646,0.0278133,0.00774614,0.0316229,0.0115124,0.0275675,0,0,0.0328558,0,0.0162556,0.0217714,0.0705567,0.0139426,0.0162235,0.0221992,0.0288796,0.0205872,0.0146003,0.0390642,0.0212488,0.0194766,0.00783846,0.00473273,0.00371421,0.0111224,0.0366424,0.0303142,0.0247232,0.0270184,0.0293147,0,0,0,0.016504,0.00174046,0,0.00652644,0.0193754,0
67,0,0,0,0,0,0,0.0319915,0.0268651,0,0,0,0.0101634,0.0187526,0.0132658,0.070247,0,0,0.0224582,0,0.020167,0.00421992,0.0398621,0.0115198,0.00986039,0.0134287,0.0327566,0.0356899,0.0111509,0.0102276,0.0132225,0.0130275,0.0155578,0.0108718,0.00897097,0.00931815,0.0278393,0.00775755,0.0299291,0.0109321,0.0275526,0,0,0.0328374,0,0.0162486,0.0217481,0.0692584,0.013756,0.015666,0.0219259,0.0289701,0.0207037,0.0149209,0.0389221,0.0216335,0.0197347,0.00752016,0.00467601,0.00454532,0.0127011,0.0351342,0.0303447,0.0246509,0.0269573,0.02928,0,0,0,0.0164922,0.00177065,0,0.00661496,0.0187856,0
68,0,0,0,0,0,0,0.0319606,0.0266918,0,0,0,0.0104068,0.0188124,0.013741,0.0710875,0,0,0.0225384,0,0.0201617,0.0043449,0.0395598,0.0120372,0.0100455,0.0136783,0.0320249,0.0355875,0.0112523,0.0103244,0.0132365,0.012746,0.0157312,0.0109573,0.00883028,0.0101029,0.027887,0.00774155,0.027325,0.010017,0.0275016,0,0,0.032847,0,0.0162464,0.0217692,0.0680425,0.013398,0.0151375,0.0216187,0.029045,0.0208095,0.0151766,0.0389286,0.0219296,0.0199623,0.00720512,0.00465231,0.00535302,0.0140853,0.032826,0.0303292,0.024527,0.0268791,0.0292627,0,0,0,0.0164774,0.00176695,0,0.00677857,0.0184365,0
69,0,0,0,0,0,0,0.0318562,0.0265037,0,0,0,0.0105226,0.0188583,0.0141204,0.0717775,0,0,0.0225745,0,0.0201535,0.00436469,0.0392894,0.0123738,0.0104055,0.013597,0.0313047,0.0354417,0.0114152,0.0104547,0.0132733,0.0126233,0.0158366,0.0110597,0.00870635,0.0107653,0.0278892,0.00771903,0.0243767,0.00891749,0.0273933,0,0,0.0329443,0,0.0162655,0.0218386,0.0668259,0.0130063,0.0146398,0.0211539,0.0291448,0.0209493,0.0153387,0.0389338,0.0220457,0.0201073,0.00697849,0.00466822,0.00611305,0.0152523,0.0301018,0.0303681,0.0244067,0.0267521,0.0291956,0,0,0,0.0164808,0.00173097,0,0.00691982,0.0183953,0
70,0,0,0,0,0,0,0.0317139,0.0263338,0,0,0,0.0107288,0.0189198,0.0145824,0.0723092,0,0,0.022563,0,0.0202074,0.00443766,0.0390736,0.0128094,0.010923,0.0136099,0.0305587,0.0352777,0.0115814,0.0106157,0.0133946,0.0131204,0.0160944,0.0112129,0.00854541,0.011467,0.0277764,0.00774254,0.0216762,0.00826939,0.0272311,0,0,0.0330712,0,0.0162687,0.0219223,0.0654504,0.0126836,0.0141685,0.0204982,0.029244,0.0210902,0.015451,0.0390263,0.0220813,0.0201992,0.00700499,0.00480024,0.00667951,0.0160638,0.0277009,0.0304338,0.0243167,0.026546,0.0290489,0,0,0,0.0164801,0.00160826,0,0.00704496,0.0182283,0
71,0,0,0,0,0,0,0.0315509,0.0261086,0,0,0,0.0110837,0.018996,0.0151642,0.0729298,0,0,0.0225693,0,0.0202468,0.00455093,0.0388332,0.0133011,0.0113391,0.0135805,0.0297737,0.0350714,0.011739,0.0108218,0.0135662,0.0137919,0.0164628,0.0113712,0.00836732,0.0123273,0.0276936,0.00775705,0.019836,0.00811596,0.0270505,0,0,0.033136,0,0.0162466,0.0219478,0.0639052,0.0123868,0.0136695,0.0197869,0.0292879,0.0211279,0.015583,0.0392126,0.0220643,0.0202017,0.00720942,0.0051157,0.00697341,0.0163226,0.0259008,0.0304106,0.0242154,0.026275,0.0289128,0,0,0,0.0164533,0.00155085,0,0.00721713,0.0178617,0
72,0,0,0,0,0,0,0.0314324,0.025874,0,0,0,0.011694,0.0190476,0.0158348,0.0735498,0,0,0.0226288,0,0.020234,0.00456762,0.0386066,0.0138781,0.0118187,0.0132973,0.0290384,0.0348989,0.0119261,0.0110681,0.013732,0.0143141,0.0169203,0.0115579,0.00819429,0.013414,0.0276573,0.00773137,0.0187086,0.00837873,0.0269001,0,0,0.033159,0,0.0162213,0.0219763,0.0622817,0.0122454,0.013179,0.0190405,0.0293505,0.0210964,0.0157856,0.0393653,0.0220123,0.020182,0.00759836,0.00549653,0.0074163,0.016182,0.0247523,0.0303015,0.0241196,0.0260097,0.0288034,0,0,0,0.0164263,0.00162182,0,0.00740599,0.0174363,0
73,0,0,0,0,0,0,0.0313617,0.0256592,0,0,0,0.0123241,0.0190354,0.0164745,0.0739698,0,0,0.0227158,0,0.0202291,0.00449957,0.0384297,0.0144228,0.012375,0.0128687,0.0283934,0.0347588,0.0120898,0.0113204,0.0138675,0.0147172,0.0173374,0.0117237,0.00808427,0.0146912,0.0274749,0.00772743,0.0180822,0.00887925,0.026766,0,0,0.0331692,0,0.0162166,0.0220191,0.0606566,0.0122454,0.0126816,0.0182132,0.0294821,0.0210658,0.0160336,0.0394406,0.0218833,0.0201365,0.00813313,0.00586923,0.00802205,0.0157767,0.0241293,0.0302001,0.0239921,0.0257764,0.0287291,0,0,0,0.0164162,0.00346534,0,0.00756718,0.0169803,0
74,0,0,0,0,0,0,0.0312635,0.02544,0,0,0,0.0129195,0.0190278,0.017017,0.0741976,0,0,0.0227627,0,0.0202175,0.00451185,0.0383409,0.0149044,0.0129295,0.0126677,0.0278385,0.0346211,0.012188,0.0115734,0.014009,0.015101,0.017684,0.0119186,0.00796137,0.0160627,0.0276545,0.00772936,0.0177321,0.00908527,0.026641,0,0,0.0332075,0,0.0162157,0.0220445,0.0590627,0.0119262,0.0121882,0.0175114,0.0296259,0.0210814,0.0163434,0.0396066,0.0217324,0.0201297,0.00859997,0.00644299,0.0084788,0.0150843,0.0239052,0.0301738,0.0238671,0.0255584,0.028654,0,0,0,0.0164051,0.00479535,0,0.00771725,0.0165159,0
75,0,0,0,0,0,0,0.0311313,0.0252163,0,0,0,0.0134794,0.0190629,0.0176616,0.0744668,0,0,0.0228318,0,0.0202086,0.00448734,0.0382702,0.0154739,0.0133964,0.0126246,0.0273086,0.0344845,0.0121893,0.0116874,0.0141616,0.0154551,0.0179543,0.0120705,0.00785101,0.0173902,0.0275044,0.00770018,0.0175377,0.00913311,0.0265319,0,0,0.0332094,0,0.0162084,0.0220531,0.0576172,0.0114495,0.0117513,0.0169373,0.0297678,0.0211176,0.0166656,0.0397776,0.0215541,0.0201739,0.0090189,0.00713258,0.0089068,0.0143428,0.0240551,0.0301672,0.0237637,0.0253614,0.0285586,0,0,0,0.0163907,0.00490895,0,0.0078846,0.0160742,0
76,0,0,0,0,0,0,0.0309746,0.0250212,0,0,0,0.0141562,0.0190761,0.0182152,0.0749282,0,0,0.0229505,0,0.0202084,0.00423112,0.0381239,0.0163397,0.0137969,0.01243,0.0268041,0.0343592,0.0121065,0.0117499,0.0143251,0.0157888,0.0182297,0.0121816,0.0077431,0.0188399,0.0273717,0.00768981,0.0175216,0.00950072,0.0264011,0,0,0.0332142,0,0.0162074,0.0220579,0.056363,0.0115626,0.0113936,0.0163623,0.0298922,0.021164,0.0169057,0.0398309,0.0212921,0.0201743,0.00950339,0.00778682,0.00948984,0.0138586,0.0243793,0.0301631,0.0236821,0.0251627,0.0284122,0,0,0,0.0163854,0.00481487,0,0.00804678,0.015691,0
77,0,0,0,0,0,0,0.0308064,0.0248566,0,0,0,0.01501,0.0190967,0.0188113,0.0749283,0,0,0.0230705,0,0.0202071,0.00407164,0.0377879,0.0170208,0.0141234,0.0120462,0.026363,0.0342352,0.0119801,0.0118388,0.0144729,0.0160932,0.018502,0.012395,0.00762524,0.0204705,0.027241,0.00769184,0.0177551,0.0100951,0.0262569,0,0,0.0331986,0,0.0162131,0.022046,0.05526,0.0119639,0.0110362,0.0156897,0.0300218,0.0212629,0.0170658,0.0397499,0.0209059,0.0200766,0.0100394,0.00838775,0.0101506,0.0135997,0.024762,0.0301483,0.0236156,0.0249996,0.0282415,0,0,0,0.0163856,0.00555199,0,0.00817894,0.0152618,0
78,0,0,0,0,0,0,0.0306622,0.0246905,0,0,0,0.0160927,0.0191332,0.0193375,0.0750137,0,0,0.0232237,0,0.0201889,0.00421527,0.0373773,0.0176984,0.0144826,0.0116355,0.0259571,0.0341043,0.0118533,0.0120056,0.0145989,0.0164073,0.0188187,0.0125627,0.00749493,0.0222421,0.0270288,0.00764021,0.0179377,0.0106296,0.0261008,0,0,0.0331295,0,0.0162137,0.0220291,0.0542179,0.0122557,0.0107122,0.0149109,0.0301419,0.0214109,0.0171908,0.0395838,0.020372,0.0198727,0.0105749,0.00899119,0.0107595,0.0134306,0.0251759,0.0301415,0.0235672,0.0248296,0.0280147,0,0,0,0.0163808,0.00741172,0,0.00828467,0.0148256,0
79,0,0,0,0,0,0,0.0305517,0.0245051,0,0,0,0.0172853,0.0191689,0.0199328,0.0752063,0,0,0.0233787,0,0.0202354,0.00443193,0.0369393,0.0182471,0.0148041,0.0113837,0.0256063,0.0339976,0.0118674,0.0121818,0.0147298,0.0167439,0.019188,0.012629,0.00735615,0.0239708,0.0269605,0.00761969,0.0178675,0.0109728,0.0259639,0,0,0.0330881,0,0.0162128,0.0220243,0.0532786,0.0122935,0.0104451,0.0140642,0.030273,0.0215371,0.0173049,0.0393274,0.0195591,0.019506,0.0110629,0.00957101,0.011289,0.0133049,0.0253935,0.0301623,0.0235692,0.0246267,0.0278136,0,0,0,0.0163769,0.00821015,0,0.00839924,0.0143863,0
80,0,0,0,0,0,0,0.0305049,0.0242947,0,0,0,0.0185251,0.0192184,0.0205797,0.0754158,0,0,0.0235757,0,0.0202494,0.00456689,0.0364917,0.018574,0.0150415,0.0112117,0.0252927,0.0339518,0.0119066,0.0121243,0.014885,0.0171764,0.0195415,0.0128291,0.00723296,0.0256307,0.0271146,0.00758269,0.0174501,0.0112143,0.025831,0,0,0.0330823,0,0.0162193,0.0220106,0.0525109,0.0124181,0.0102609,0.0132365,0.0303849,0.0216828,0.0174374,0.0389149,0.0187258,0.0190285,0.0114123,0.0100251,0.0117825,0.0132964,0.0251639,0.0301872,0.0236045,0.0244115,0.0276124,0,0,0,0.016382,0.0082583,0,0.00851036,0.0139821,0
