Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,R5FT,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,STRN,T10,x70,x71,x72,RHEE,LTHI,R5HD,RWRB
206,0,0,0,0,0,0,0.0202751,0.0217049,0,0,0,0.0541506,0.0188787,0.0312945,0,0,0.00718768,0,0.0225822,0.00196285,0.0326487,0.0276624,0.0234922,0.00330746,0.00327525,0.00441592,0.00859529,0.00269574,0.0194734,0.0160301,0.0209351,0.00977281,0.0128271,0.0670345,0.00606822,0.00710361,0.0275405,0.0221865,0.0318088,0,0,0.0173717,0,0.0226536,0.0115815,0.0525728,0.0258499,0.0126558,0.00913146,0.0715244,0.00847916,0.0359693,0.00906708,0.00833751,0.020908,0.0195613,0.0211629,0.0245905,0.0259132,0.0342932,0.00737258,0.0243831,0.0238927,0,0,0,0.030676,0.0136626,0.020695,0.00148733
207,0,0,0,0,0,0,0.0195715,0.0209753,0,0,0,0.0544849,0.0188952,0.031266,0,0,0.00732179,0,0.0226039,0.00194939,0.0329013,0.0276492,0.0237913,0.00355723,0.00315647,0.00459018,0.00891113,0.00258932,0.0193595,0.0160791,0.0211118,0.00997642,0.0124553,0.067712,0.0062237,0.00709553,0.0266922,0.0217371,0.0305799,0,0,0.0171657,0,0.022802,0.0117649,0.052586,0.0255761,0.0105127,0.00952531,0.0692843,0.00825354,0.0363106,0.0080817,0.00788508,0.0201185,0.0195516,0.0207976,0.023701,0.0238055,0.0332314,0.00617064,0.0235333,0.0233255,0,0,0,0.0299028,0.0137513,0.020337,0
208,0,0,0,0,0,0,0.020026,0.0214738,0,0,0,0.0535426,0.0189243,0.0299287,0,0,0.0074539,0,0.0226173,0.00235491,0.03084,0.0268247,0.0230258,0.00443441,0.00424318,0.00497034,0.0108278,0.00155933,0.0193355,0.0159253,0.0210619,0.0094017,0.0125626,0.0673176,0.00641489,0.00706842,0.0452259,0.021051,0.032013,0,0,0.0178622,0,0.0227572,0.0121824,0.0481471,0.0273015,0.0295321,0.00822378,0.071797,0.00454877,0.0363869,0.0225458,0.0148878,0.0148961,0.0174187,0.00706087,0.0107209,0.0417963,0.0345423,0.00649679,0.0241636,0.0246012,0,0,0,0.0182529,0.0147668,0.0203055,0
209,0,0,0,0,0,0,0.020172,0.0215457,0,0,0,0.0529477,0.0188732,0.0296567,0,0,0.00756953,0,0.0226512,0.00263582,0.0310642,0.0271668,0.0233696,0.00503778,0.00398677,0.00490895,0.0112276,0.00129842,0.0190103,0.0160138,0.0213019,0.00954379,0.0123525,0.0669538,0.00646781,0.00708728,0.0409589,0.0200153,0.0323794,0,0,0.0179079,0,0.0226873,0.0122134,0.0479106,0.0269585,0.0288737,0.00809597,0.0723587,0.00395469,0.0366096,0.0218457,0.0136369,0.0143606,0.0163183,0.00623479,0.0104125,0.0372209,0.0347557,0.00653273,0.0243525,0.0248243,0,0,0,0.0179935,0.0145081,0.0202619,0
210,0,0,0,0,0,0,0.019466,0.0210641,0,0,0,0.0521448,0.0189136,0.0288663,0,0,0.00766744,0,0.0226426,0.0028726,0.0312752,0.0268525,0.0236869,0.00611917,0.00378482,0.00496651,0.0120536,0.00138634,0.0186362,0.0158836,0.0212832,0.00963889,0.0121461,0.0663253,0.00645044,0.00706777,0.0363583,0.0187862,0.0315186,0,0,0.0171257,0,0.0227697,0.011686,0.0475206,0.0266725,0.0276469,0.00771621,0.0708151,0.00361028,0.0367481,0.0210013,0.0123419,0.0135485,0.0148408,0.00519826,0.010195,0.0323127,0.0338573,0.00630211,0.0239947,0.0241494,0,0,0,0.0176135,0.0138787,0.020283,0
211,0,0,0,0,0,0,0.0201981,0.0217412,0,0,0,0.0507375,0.0189486,0.0278322,0,0,0.00746526,0,0.0226601,0.00291924,0.0313751,0.0258332,0.0240694,0.00709827,0.00368557,0.0050247,0.0130033,0.00181227,0.0181099,0.015551,0.020887,0.00929592,0.0121173,0.0649178,0.00627617,0.00706549,0.0316989,0.0172378,0.0326066,0,0,0.0172383,0,0.0227048,0.0117643,0.0469212,0.0265131,0.0260091,0.00721965,0.0727724,0.00350833,0.0366956,0.0198568,0.0108764,0.0125195,0.0132626,0.0041428,0.00982309,0.0272178,0.0345889,0.00642109,0.0249055,0.0251066,0,0,0,0.0172482,0.0135353,0.0202867,0
212,0,0,0,0,0,0,0.0194538,0.0213625,0,0,0,0.0492831,0.0190374,0.026462,0,0,0.00740905,0,0.0226063,0.00316752,0.0314869,0.0245076,0.0245186,0.00861133,0.00378352,0.00506783,0.0141849,0.00265651,0.0174562,0.015151,0.0204467,0.00870979,0.0118788,0.0634726,0.00612362,0.00705375,0.0272372,0.0156645,0.0319269,0,0,0.0164053,0,0.0228452,0.0112425,0.0462215,0.0263512,0.0243894,0.00684361,0.0713858,0.00355611,0.0365632,0.0182715,0.00955422,0.0118523,0.0118773,0.00352522,0.00970508,0.0226477,0.0337431,0.00614438,0.0245957,0.0246957,0,0,0,0.0193415,0.0134743,0.0203457,0
213,0,0,0,0,0,0,0.020044,0.0218435,0,0,0,0.0472516,0.0191085,0.0244228,0,0,0.00707833,0,0.0225887,0.00329555,0.0316804,0.0232708,0.0250323,0.00979757,0.00382526,0.00503039,0.0150492,0.00360028,0.0166995,0.0146398,0.0197851,0.00832398,0.0116972,0.0614525,0.00577779,0.00702755,0.0237822,0.0150031,0.0328722,0,0,0.0166979,0,0.0227859,0.0113609,0.0457495,0.0256554,0.0237439,0.00670313,0.0729276,0.00363674,0.0367172,0.0173226,0.00924204,0.012868,0.0115434,0.00379009,0.0108329,0.0207233,0.0343997,0.00621663,0.0251494,0.0251132,0,0,0,0.0225487,0.0136445,0.0203752,0
214,0,0,0,0,0,0,0.0200935,0.0219379,0,0,0,0.0451959,0.0191661,0.0221148,0,0,0.00660067,0,0.0225877,0.00329952,0.0320321,0.0217952,0.0257631,0.0111758,0.00395545,0.00520234,0.0163388,0.00482991,0.0158901,0.0140688,0.0192175,0.0081573,0.0113025,0.0595265,0.00527737,0.00700728,0.0231409,0.0176556,0.0328594,0,0,0.0164862,0,0.0228062,0.0112366,0.0458851,0.0245957,0.0258498,0.00644373,0.0730565,0.00403036,0.0372443,0.0185501,0.0107899,0.0154275,0.0123646,0.00427822,0.0130404,0.0233515,0.0343156,0.00622598,0.025258,0.0247531,0,0,0,0.0222726,0.0140035,0.0202729,0
215,0,0,0,0,0,0,0.0188093,0.0212315,0,0,0,0.042171,0.0191098,0.0195144,0,0,0.00667298,0,0.0225641,0.00372157,0.0323932,0.0201398,0.0263855,0.0122168,0.003893,0.00533773,0.0173072,0.00611209,0.0150928,0.0133246,0.0183231,0.00767105,0.011249,0.0562938,0.00512517,0.00705698,0.0232311,0.0201291,0.0313811,0,0,0.015716,0,0.0226382,0.010832,0.0459268,0.02393,0.0288185,0.00624806,0.0705285,0.00432093,0.037647,0.0204754,0.0126974,0.0158637,0.013247,0.00382523,0.0129075,0.0253427,0.0329852,0.0059972,0.02452,0.0234163,0,0,0,0.0193845,0.0137778,0.0200947,0
216,0,0,0,0,0,0,0.019466,0.0217381,0,0,0,0.0383941,0.0190227,0.0170834,0,0,0.00659319,0,0.0225975,0.00392593,0.032922,0.018647,0.0270401,0.0131653,0.00393893,0.00573213,0.0181124,0.00721239,0.0145614,0.0122798,0.0169749,0.00698757,0.0113831,0.0524055,0.00507293,0.00710585,0.0189465,0.0182896,0.0326287,0,0,0.0158107,0,0.0223048,0.010993,0.0450823,0.0239182,0.0297806,0.00582716,0.0724586,0.00436652,0.0378404,0.0211097,0.0135378,0.0131523,0.0124239,0.00187358,0.0104581,0.0234381,0.033657,0.00635788,0.0252341,0.0242153,0,0,0,0.0154838,0.0133359,0.0198682,0
217,0,0,0,0,0,0,0.0198914,0.0216087,0,0,0,0.0342175,0.0189546,0.014488,0,0,0.00685268,0,0.0226259,0.00410913,0.0333871,0.0173233,0.027478,0.0140062,0.00394574,0.0061705,0.0185925,0.00828845,0.0140546,0.0110864,0.0154007,0.00636534,0.0114989,0.0480552,0.00528196,0.0071895,0.0126361,0.0141598,0.0331477,0,0,0.0153024,0,0.0221281,0.0109777,0.0437782,0.0241833,0.0270959,0.0055165,0.0728188,0.00418658,0.0383686,0.0197243,0.0129351,0.00960093,0.0105672,0.00146999,0.00870611,0.0177264,0.0335004,0.00651875,0.0252592,0.0245935,0,0,0,0.0124587,0.0133842,0.0196759,0
218,0,0,0,0,0,0,0.0196078,0.0207157,0,0,0,0.029397,0.0189043,0.0115003,0,0,0.00718145,0,0.0226381,0.0041438,0.0336218,0.0160951,0.0275608,0.0144426,0.00373931,0.00652259,0.0186538,0.00899492,0.0135581,0.00959288,0.0132971,0.00588665,0.0116082,0.0429473,0.00564604,0.0072506,0.00920022,0.0113226,0.0324292,0,0,0.0144681,0,0.0220817,0.0105575,0.043198,0.024526,0.0223684,0.00561712,0.0706864,0.00388995,0.0396279,0.0174581,0.0113602,0.00843709,0.00932518,0.00156086,0.00776726,0.0138548,0.0322724,0.0065038,0.0243448,0.0241204,0,0,0,0.0111842,0.0130151,0.019576,0
219,0,0,0,0,0,0,0.0208209,0.0212437,0,0,0,0.0238352,0.01879,0.00883166,0,0,0.00730252,0,0.0226588,0.00373647,0.0336054,0.0151963,0.0274454,0.0143535,0.0034736,0.00666176,0.0182204,0.00945807,0.0131529,0.00783766,0.010676,0.00558635,0.0118931,0.0370724,0.00596802,0.00730947,0.0102298,0.0117867,0.034147,0,0,0.0156011,0,0.0220753,0.0111309,0.0436505,0.0248533,0.0197033,0.00598438,0.0731567,0.00395323,0.041393,0.015572,0.00963853,0.0100891,0.00879238,0.00266864,0.00886791,0.0167304,0.033647,0.0082552,0.0248985,0.0256627,0,0,0,0.0127068,0.0129536,0.0194998,0
220,0,0,0,0,0,0,0.021017,0.0213991,0,0,0,0.0179298,0.0186691,0.00796554,0,0,0.00752325,0,0.0226233,0.00358005,0.0336412,0.0147576,0.0276377,0.0140688,0.00331139,0.0068025,0.017242,0.00995498,0.0127804,0.00612183,0.00791947,0.00547565,0.0124722,0.0307676,0.00648005,0.00729341,0.0114375,0.0131868,0.0346854,0,0,0.0162668,0,0.0221076,0.01139,0.0447735,0.0247609,0.0196586,0.00605113,0.0737761,0.00445898,0.0430755,0.0142097,0.00838711,0.011993,0.00844182,0.00419682,0.0111175,0.0196868,0.0342094,0.00852157,0.0248235,0.0265304,0,0,0,0.0152281,0.0129047,0.0195498,0
221,0,0,0,0,0,0,0.0197578,0.0206722,0,0,0,0.0119783,0.0186121,0.00906659,0,0,0.00780527,0,0.0225654,0.00359213,0.034125,0.0151617,0.0281078,0.0136998,0.00323784,0.00703055,0.0158288,0.0104934,0.0123486,0.00449982,0.00530271,0.00545336,0.0132556,0.0244227,0.00693073,0.00725613,0.011943,0.0135494,0.0332847,0,0,0.0162484,0,0.0223921,0.0113953,0.0453097,0.0242309,0.0208941,0.00574991,0.0714983,0.00515823,0.0438773,0.0132557,0.00838923,0.012796,0.00816442,0.00527147,0.0124258,0.0205279,0.0336092,0.00831985,0.0237732,0.0257164,0,0,0,0.0166384,0.0121084,0.0197518,0
222,0,0,0,0,0,0,0.02036,0.0213463,0,0,0,0.00605931,0.0185854,0.011837,0,0,0.00777684,0,0.0226024,0.00344887,0.0348172,0.016776,0.0288246,0.0133494,0.00352686,0.00730493,0.0144324,0.0108662,0.0120482,0.00285078,0.00293784,0.00569859,0.0140731,0.0184654,0.00697331,0.00723124,0.0121836,0.0127022,0.0342202,0,0,0.0172303,0,0.0225827,0.012082,0.0447574,0.0237247,0.0217026,0.00517508,0.0736719,0.00564994,0.0434672,0.0127113,0.00918948,0.0123528,0.00791919,0.00573745,0.0124404,0.0204012,0.035113,0.00843261,0.0244577,0.0261795,0,0,0,0.0161429,0.0115969,0.0199607,0
