Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,R5FT,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,STRN,T10,x70,x71,x72,RHEE,LTHI,R5HD,RWRB
233,0,0,0,0,0,0,0.0185113,0.0194939,0,0,0,0.0472429,0.0203515,0.0345107,0,0,0.00864869,0,0.0224399,0.0055043,0.0325623,0.0339257,0.0258805,0.00798522,0.00183926,0.00598814,0.00675929,0.00910187,0.0126542,0.0151154,0.0204212,0.0105302,0.0203386,0.0530808,0.0059798,0.00602125,0.011891,0.00440881,0.0312954,0,0,0.0138495,0,0.0236085,0.00993841,0.047922,0.0267781,0.0123299,0.00272038,0.0674459,0.00526022,0.041565,0.00865066,0.0072991,0.00617039,0.00620036,0.00448107,0.00691827,0.0133991,0.0300196,0.00455012,0.0219496,0.0237799,0,0,0,0.0066656,0.00830307,0.020972,0
234,0,0,0,0,0,0,0.017877,0.0193457,0,0,0,0.0494753,0.0203469,0.0372678,0,0,0.00876913,0,0.0224306,0.00540331,0.032492,0.0370791,0.0254267,0.0077776,0.00178985,0.00577371,0.00697919,0.00901076,0.0130438,0.0167257,0.0228889,0.0115545,0.0208715,0.0551837,0.00632987,0.00599497,0.0125048,0.0044895,0.0306282,0,0,0.0135245,0,0.023616,0.00971586,0.0485587,0.027251,0.0122003,0.00235287,0.066398,0.00529535,0.0415598,0.00800291,0.00708068,0.0060004,0.00621037,0.00452371,0.00681366,0.0126559,0.0294514,0.00442935,0.0217168,0.02312,0,0,0,0.00716069,0.00822178,0.0209814,0
235,0,0,0,0,0,0,0.0177344,0.0195447,0,0,0,0.0513705,0.0202947,0.0390729,0,0,0.00875262,0,0.0224766,0.00548666,0.0325475,0.0395816,0.025141,0.0075864,0.00176321,0.0056616,0.00713812,0.00928397,0.0134223,0.0179501,0.0248458,0.0122668,0.0213023,0.056941,0.00650217,0.00605025,0.0127141,0.00459327,0.0305708,0,0,0.0136198,0,0.0236529,0.00985629,0.0489328,0.0277012,0.0119647,0.00215212,0.0664953,0.0052547,0.0415467,0.00807014,0.00710855,0.00577625,0.00621239,0.00451471,0.00668042,0.012443,0.0297113,0.00436955,0.0219148,0.0229708,0,0,0,0.00750592,0.00820531,0.0210217,0
236,0,0,0,0,0,0,0.0182087,0.0201328,0,0,0,0.0529486,0.0202179,0.0398572,0,0,0.00849237,0,0.0225223,0.0053445,0.0323811,0.0408657,0.0249615,0.00739959,0.00171571,0.00562456,0.00736035,0.00915541,0.0137216,0.0186106,0.0260228,0.0126506,0.0215504,0.0586291,0.00645471,0.00607341,0.01297,0.00459682,0.0313311,0,0,0.0142681,0,0.0236182,0.0103375,0.0491636,0.028175,0.0118575,0.00213212,0.0680741,0.00525208,0.041663,0.0078804,0.00735124,0.00549387,0.00619682,0.00440267,0.00651325,0.0119738,0.0307075,0.004448,0.0225314,0.0234395,0,0,0,0.00773427,0.00829923,0.021022,0
237,0,0,0,0,0,0,0.0182545,0.0204429,0,0,0,0.0540196,0.0201387,0.0396281,0,0,0.00836127,0,0.022555,0.00514725,0.0318988,0.040839,0.0248343,0.00694798,0.0019606,0.00561451,0.00760472,0.00883998,0.0139811,0.0187785,0.0263736,0.0125978,0.0215928,0.0602445,0.00637506,0.00614048,0.0131193,0.00483363,0.0317226,0,0,0.0149781,0,0.0235902,0.0106943,0.0494793,0.0286668,0.0118127,0.00241119,0.0690258,0.00532981,0.0420329,0.00805751,0.00749864,0.00505891,0.00621716,0.0041898,0.00629103,0.0116327,0.0315857,0.00452176,0.022914,0.0236505,0,0,0,0.00834887,0.00852987,0.0209834,0
238,0,0,0,0,0,0,0.0177187,0.0204065,0,0,0,0.0543283,0.0200138,0.0387928,0,0,0.00845996,0,0.022553,0.00501953,0.0312763,0.0398816,0.024649,0.00620106,0.00232222,0.00567568,0.00771833,0.00868168,0.0141253,0.0185262,0.025625,0.0121989,0.0214607,0.0612818,0.00635429,0.0062514,0.0133417,0.00522567,0.031388,0,0,0.0150767,0,0.0236721,0.010733,0.0497665,0.0290895,0.011722,0.00255005,0.0686615,0.00533347,0.042237,0.00835513,0.0076351,0.00469141,0.00617345,0.00414564,0.00619217,0.0115768,0.0317472,0.00455979,0.022961,0.0232867,0,0,0,0.00898111,0.00866158,0.0210248,0
239,0,0,0,0,0,0,0.018137,0.021015,0,0,0,0.0542406,0.0198533,0.0375572,0,0,0.00839201,0,0.0225758,0.00485509,0.0304519,0.0383911,0.0244694,0.00567727,0.0026166,0.00584645,0.00752164,0.0086985,0.0141807,0.0178738,0.0240128,0.0116581,0.0212141,0.0619806,0.00624072,0.00633223,0.0137,0.00562744,0.0321008,0,0,0.0156648,0,0.0236156,0.0110649,0.050192,0.0295229,0.011593,0.00262003,0.0702382,0.00521093,0.0423532,0.00861132,0.00787119,0.00441672,0.00606636,0.00420661,0.00611458,0.0115221,0.0328156,0.00480691,0.0236433,0.0237179,0,0,0,0.00942604,0.00870195,0.0210168,0
240,0,0,0,0,0,0,0.0177181,0.0207464,0,0,0,0.0541402,0.0197203,0.0359593,0,0,0.00848698,0,0.0225707,0.00481481,0.0294474,0.0365705,0.0242769,0.00521203,0.00305511,0.00597563,0.00732031,0.00880034,0.014139,0.0171796,0.022676,0.0111321,0.0208882,0.0626189,0.00629806,0.0064286,0.0137187,0.00590067,0.0314952,0,0,0.0156521,0,0.0236087,0.0109748,0.0507333,0.0298316,0.0113734,0.00270191,0.0693798,0.00518506,0.0424975,0.00889424,0.00793268,0.00418167,0.00593948,0.0042216,0.00595946,0.0114981,0.0327337,0.00475562,0.0233002,0.0234194,0,0,0,0.00984856,0.00862098,0.0209588,0
241,0,0,0,0,0,0,0.0179714,0.0209234,0,0,0,0.0542087,0.0195881,0.0343861,0,0,0.00831471,0,0.0226162,0.00460328,0.0284383,0.0354422,0.0241344,0.00490693,0.00344529,0.00608974,0.00724842,0.00918186,0.0140501,0.0166544,0.0212657,0.0104301,0.0205312,0.0632624,0.00636902,0.00655538,0.0137426,0.00611565,0.0318217,0,0,0.0159057,0,0.0235127,0.0111174,0.0512182,0.0301173,0.0112011,0.00283733,0.0700576,0.00536795,0.0426098,0.00930822,0.00805703,0.00403747,0.00578005,0.00423741,0.00584862,0.0113024,0.0331893,0.00482428,0.0233678,0.0237312,0,0,0,0.0102961,0.00872715,0.0209252,0
242,0,0,0,0,0,0,0.0180192,0.0210106,0,0,0,0.0543742,0.0195116,0.0330612,0,0,0.00794472,0,0.0226273,0.00416745,0.0277187,0.0346155,0.0239358,0.00478509,0.00385817,0.00619417,0.00728135,0.00978958,0.0139545,0.0164294,0.0199094,0.00956032,0.0202162,0.0639228,0.00636004,0.00667703,0.0131482,0.00617778,0.0320363,0,0,0.0162123,0,0.0237738,0.0112111,0.051734,0.0303011,0.0109491,0.00303442,0.0706308,0.00579688,0.0427554,0.00973208,0.00809624,0.00387159,0.00553596,0.00408307,0.00563671,0.0111674,0.0336078,0.0057105,0.0233389,0.0238478,0,0,0,0.0103795,0.00887876,0.0210372,0
243,0,0,0,0,0,0,0.0174017,0.02062,0,0,0,0.054556,0.0193603,0.031737,0,0,0.00797227,0,0.0225898,0.00405371,0.0273561,0.0338315,0.0235965,0.0048665,0.00432549,0.00621371,0.00742433,0.00992948,0.0138967,0.0158997,0.0189092,0.00921301,0.0198944,0.0644716,0.00647363,0.0068166,0.0131091,0.00645659,0.0313402,0,0,0.0160953,0,0.0239339,0.0112275,0.0523036,0.0305678,0.0109739,0.00332178,0.0694308,0.00649243,0.0429218,0.0102821,0.0080999,0.00377474,0.00540251,0.00405298,0.0055749,0.010616,0.0331123,0.00555649,0.0228114,0.0231658,0,0,0,0.0106995,0.00907468,0.0211262,0
244,0,0,0,0,0,0,0.0177048,0.020872,0,0,0,0.0542577,0.0191876,0.0309408,0,0,0.00769491,0,0.0225725,0.0037683,0.0272119,0.0332636,0.0232932,0.00521976,0.00464816,0.00627002,0.00785001,0.00997572,0.01394,0.0152263,0.0179249,0.00878949,0.0195566,0.0642707,0.00642919,0.00692169,0.0130565,0.00688289,0.0317943,0,0,0.0163607,0,0.0239074,0.0113565,0.0529439,0.0309187,0.0109816,0.00370161,0.0703471,0.00704834,0.043074,0.0107462,0.00803217,0.00358462,0.00534787,0.00411788,0.00554144,0.0102188,0.0335695,0.00555962,0.0230719,0.0233517,0,0,0,0.0112595,0.00924125,0.0211366,0
245,0,0,0,0,0,0,0.0175774,0.0209619,0,0,0,0.0532908,0.0191127,0.0304121,0,0,0.00741564,0,0.0225545,0.00350575,0.0271792,0.0333376,0.0229724,0.00625954,0.00487123,0.00633334,0.00851578,0.0102589,0.0140385,0.0148733,0.0166884,0.00759723,0.0192042,0.0630967,0.00636517,0.00698494,0.0129038,0.00724828,0.0318304,0,0,0.0164194,0,0.0238702,0.0113503,0.0537148,0.0313464,0.0108137,0.00405566,0.0705397,0.00742984,0.0432278,0.0110731,0.0078975,0.00332027,0.00525574,0.00415899,0.00544909,0.0097219,0.0336424,0.00551932,0.0231972,0.0232974,0,0,0,0.011963,0.00933413,0.0211041,0
246,0,0,0,0,0,0,0.017166,0.020867,0,0,0,0.0514494,0.0190725,0.0301033,0,0,0.00725284,0,0.0225342,0.00340436,0.0273437,0.0335101,0.022629,0.00846002,0.00502035,0.00642272,0.00983552,0.0109165,0.0141938,0.0146682,0.0152861,0.00694938,0.0187365,0.0605464,0.00630942,0.00703272,0.012663,0.00752772,0.03126,0,0,0.0161977,0,0.0238485,0.0112547,0.0545317,0.031687,0.0105993,0.00446254,0.0699801,0.00780273,0.0434761,0.0113408,0.00796313,0.00305208,0.00509804,0.00415203,0.00531368,0.00914017,0.03334,0.00543942,0.0231591,0.0229823,0,0,0,0.0123688,0.0097193,0.0210868,0
247,0,0,0,0,0,0,0.0179803,0.0215654,0,0,0,0.0475769,0.0190331,0.0296939,0,0,0.00703474,0,0.0225321,0.00340529,0.0279221,0.0345236,0.0222835,0.0133409,0.00513195,0.00652174,0.0132148,0.0127867,0.0144906,0.0146829,0.0129836,0.00641702,0.0180857,0.055261,0.00614971,0.00707926,0.0122527,0.00803585,0.032003,0,0,0.016404,0,0.023762,0.0114562,0.0555732,0.0321863,0.0104803,0.00531161,0.0721341,0.00826521,0.0438499,0.0115548,0.00835636,0.00264522,0.00497044,0.00419422,0.00522169,0.00877851,0.0340993,0.00527787,0.024092,0.023465,0,0,0,0.0128531,0.0110326,0.0210282,0
248,0,0,0,0,0,0,0.0181666,0.0218618,0,0,0,0.0376233,0.0190456,0.0292856,0,0,0.00698284,0,0.0225143,0.00357189,0.0300448,0.0380292,0.0216753,0.0277134,0.00591905,0.00674317,0.0246066,0.0199742,0.015368,0.0159501,0.00914061,0.00514565,0.0169857,0.0409404,0.00611688,0.00708561,0.0122982,0.0090656,0.0320388,0,0,0.0160077,0,0.0237098,0.0112329,0.0567728,0.0326882,0.0104022,0.00665532,0.0728384,0.00902754,0.0444868,0.0118441,0.00889066,0.00203036,0.00490176,0.00451847,0.00542898,0.00815761,0.034112,0.00505443,0.0246202,0.0230817,0,0,0,0.0138971,0.0167237,0.021006,0
249,0,0,0,0,0,0,0.0178899,0.0218588,0,0,0,0.0295995,0.0190926,0.0280786,0,0,0.00698402,0,0.022501,0.00366617,0.0318146,0.0389639,0.0211325,0.0354331,0.00652728,0.00683086,0.0309977,0.0237533,0.0160936,0.0172778,0.00977361,0.00518677,0.0162855,0.0297009,0.00608914,0.00706479,0.0123603,0.0100874,0.0317748,0,0,0.0156599,0,0.0237428,0.0109845,0.0579081,0.0330871,0.0102835,0.00738903,0.0725404,0.00946362,0.0449965,0.0118865,0.00902915,0.00161708,0.00495149,0.00500665,0.00598531,0.00765084,0.0338146,0.00487547,0.0247203,0.0225685,0,0,0,0.0151066,0.0204263,0.0210248,0
250,0,0,0,0,0,0,0.018119,0.0221258,0,0,0,0.0250111,0.0190635,0.0257088,0,0,0.00686583,0,0.0225417,0.00363862,0.0322649,0.0367822,0.0209159,0.0345493,0.00668852,0.0065632,0.0301313,0.0226074,0.0162914,0.016608,0.00966656,0.00571347,0.0154395,0.0243029,0.00587671,0.00708923,0.012092,0.0106281,0.0321317,0,0,0.0157597,0,0.0238028,0.0109999,0.0587942,0.0333819,0.0102786,0.00719516,0.0732054,0.00953096,0.0452225,0.0117683,0.00915181,0.00164512,0.00490808,0.00529999,0.0064218,0.00705059,0.0340317,0.00493885,0.0250566,0.0226637,0,0,0,0.0159824,0.0200963,0.0210744,0
251,0,0,0,0,0,0,0.0176244,0.0218281,0,0,0,0.0232896,0.0190477,0.0230856,0,0,0.00671481,0,0.0225639,0.00341172,0.0315998,0.0323969,0.0208818,0.0282237,0.00639504,0.00626986,0.0244708,0.0183692,0.0164763,0.014317,0.00792776,0.00598809,0.0147873,0.0235406,0.0057109,0.00712089,0.0116017,0.0110045,0.0314125,0,0,0.0154805,0,0.023892,0.01076,0.0595136,0.0335185,0.0101615,0.00638168,0.07198,0.00923224,0.0454283,0.0115443,0.00890189,0.00170463,0.00487288,0.00553486,0.00676858,0.00674358,0.0335008,0.004804,0.0246819,0.0219824,0,0,0,0.016505,0.0171632,0.0211288,0
252,0,0,0,0,0,0,0.0178044,0.0219893,0,0,0,0.0202816,0.0190429,0.020062,0,0,0.00659512,0,0.0225795,0.00326855,0.0312078,0.0281615,0.0207712,0.0231932,0.00623883,0.00593134,0.0200022,0.0151721,0.0169017,0.0116235,0.00639947,0.00540533,0.014562,0.0209123,0.00557638,0.00714605,0.0111236,0.0112463,0.0314192,0,0,0.0153966,0,0.0238395,0.0108453,0.0602145,0.0337249,0.00984199,0.00603183,0.0723273,0.00890625,0.0456592,0.0113355,0.00860078,0.00178223,0.00482105,0.0058351,0.00714251,0.00651766,0.0335668,0.00426484,0.0248047,0.0220312,0,0,0,0.0169546,0.014739,0.0211209,0
253,0,0,0,0,0,0,0.0178471,0.0221391,0,0,0,0.0135695,0.0190591,0.0163383,0,0,0.00663153,0,0.0226073,0.00326983,0.0316869,0.0246682,0.0203775,0.0230038,0.00652035,0.00566207,0.0198913,0.0149815,0.0174139,0.0100897,0.00609971,0.00448713,0.0142097,0.0118346,0.00554836,0.00715174,0.0105951,0.0113796,0.0313737,0,0,0.0152043,0,0.0239009,0.0107953,0.0608466,0.033944,0.0095311,0.00613109,0.0725821,0.00882173,0.045906,0.011172,0.00834927,0.00200832,0.00469525,0.00609477,0.00753781,0.00628665,0.0335901,0.00417999,0.0249665,0.0220834,0,0,0,0.0172986,0.0145589,0.0211668,0
254,0,0,0,0,0,0,0.0175227,0.022206,0,0,0,0.0206342,0.0192117,0.0113563,0,0,0.00667257,0,0.0226158,0.00336112,0.0354428,0.0242269,0.0194136,0.0384879,0.0069256,0.00575352,0.0335156,0.0230116,0.0178214,0.015485,0.0177828,0.00716154,0.0123933,0.0196716,0.00565552,0.00700013,0.0100523,0.0120192,0.03099,0,0,0.0143659,0,0.0240016,0.0102451,0.0618207,0.0342185,0.00908511,0.00746623,0.0721292,0.00897828,0.0464043,0.0107798,0.00768927,0.00249643,0.00449903,0.00671256,0.00848984,0.00631958,0.0330691,0.00394718,0.0251263,0.0216767,0,0,0,0.0182548,0.0224413,0.0212415,0
255,0,0,0,0,0,0,0.0176246,0.0224539,0,0,0,0.0272241,0.0192339,0.00987719,0,0,0.00662816,0,0.0226634,0.00328657,0.0350795,0.019239,0.0192638,0.0346203,0.00684433,0.00546925,0.0301786,0.0205273,0.0182012,0.0138506,0.0179704,0.00717352,0.0123041,0.0275021,0.00566646,0.00696304,0.00977569,0.0121023,0.0311545,0,0,0.0146273,0,0.0239442,0.0104144,0.0621363,0.0343314,0.00882284,0.0071523,0.0724008,0.00878209,0.04668,0.010532,0.00714054,0.00273578,0.00445698,0.00696128,0.00905927,0.00649088,0.0332982,0.00376605,0.0253573,0.0217,0,0,0,0.0185101,0.0205972,0.0212217,0
256,0,0,0,0,0,0,0.0171262,0.0209152,0,0,0,0.0325955,0.0192025,0.0105506,0,0,0.00655324,0,0.0227142,0.00330314,0.0342507,0.0136994,0.0195811,0.0293787,0.00652605,0.00521838,0.0256675,0.0173902,0.0185813,0.0115381,0.0171715,0.00707574,0.0128959,0.0331389,0.00576009,0.00693004,0.00923351,0.0122019,0.029683,0,0,0.035341,0,0.00434817,0.0272912,0.0623228,0.0345913,0.00851841,0.00689665,0.0663966,0.00836311,0.0469473,0.0103709,0.0066061,0.00305411,0.00438759,0.00725038,0.00964707,0.0068303,0.0451782,0.0262878,0.0235675,0.0207233,0,0,0,0.0187154,0.0179268,0,0
257,0,0,0,0,0,0,0.0173981,0.021175,0,0,0,0.0369916,0.0192323,0.0126222,0,0,0.00653655,0,0.0227696,0.00308463,0.0335345,0.00973842,0.0199204,0.0238935,0.00668854,0.00499715,0.0208442,0.0142913,0.0190896,0.00951334,0.0158644,0.00690524,0.0138172,0.0370784,0.0058939,0.00694122,0.00897478,0.0122038,0.0301583,0,0,0.0356094,0,0.00431822,0.0273236,0.0623932,0.0345778,0.0083168,0.00643317,0.0668894,0.0078477,0.0472669,0.010009,0.00618934,0.00336713,0.00441526,0.00740138,0.00991453,0.006946,0.045298,0.0268139,0.0238214,0.0210405,0,0,0,0.0186031,0.0149667,0,0
258,0,0,0,0,0,0,0.0174756,0.0211321,0,0,0,0.0404051,0.0192679,0.0148633,0,0,0.00659369,0,0.0228038,0.00291338,0.0328703,0.00793833,0.0202439,0.0181995,0.00717626,0.00478114,0.0159183,0.011529,0.0196315,0.00785206,0.0140874,0.00669537,0.0150304,0.0396316,0.00600088,0.00695206,0.00878119,0.0118943,0.0301073,0,0,0.035928,0,0.00439776,0.0278088,0.0623101,0.0341348,0.0081609,0.00626184,0.0664453,0.00757917,0.0475201,0.00984998,0.00595299,0.00365331,0.00441182,0.00726078,0.00975638,0.00677195,0.0451089,0.0227105,0.0237597,0.0211026,0,0,0,0.0181826,0.0117644,0,0
259,0,0,0,0,0,0,0.0175634,0.021103,0,0,0,0.0419711,0.0192603,0.0167193,0,0,0.00677426,0,0.0228093,0.00278911,0.0322521,0.00968015,0.0205058,0.0120193,0.00792816,0.00458979,0.0109581,0.00932628,0.020056,0.00666865,0.0120979,0.0064604,0.0166938,0.0404069,0.00606694,0.00689788,0.00838741,0.0112402,0.0299292,0,0,0.03587,0,0.00438148,0.0278085,0.0620339,0.0333652,0.00806313,0.00669219,0.0660471,0.00736959,0.0476415,0.009551,0.00566983,0.00379617,0.00431818,0.00696146,0.00919874,0.00634562,0.0449444,0.0230057,0.0237411,0.0210505,0,0,0,0.0173384,0.00870947,0,0
260,0,0,0,0,0,0,0.0176397,0.021075,0,0,0,0.0413496,0.0192535,0.0180416,0,0,0.0069604,0,0.0228304,0.00251577,0.0315615,0.0125218,0.0209786,0.00573653,0.00856132,0.00439901,0.00711073,0.00794977,0.0203899,0.00640621,0.0103288,0.00636446,0.018611,0.0391769,0.00607734,0.0068346,0.00789787,0.0107684,0.0299087,0,0,0.0356868,0,0.0042334,0.0271918,0.0619313,0.0329895,0.00796824,0.00642763,0.0658001,0.00711433,0.0480757,0.00927394,0.00535832,0.00389882,0.0042488,0.00687795,0.00899004,0.00629815,0.0448951,0.0295221,0.0236742,0.0211369,0,0,0,0.0167571,0.00726552,0,0
261,0,0,0,0,0,0,0.0178164,0.0212401,0,0,0,0.0401173,0.0192789,0.0194932,0,0,0.00704114,0,0.0228716,0.00226334,0.0311795,0.0152801,0.021408,0.00136316,0.00923101,0.00422627,0.00695487,0.00760513,0.0207253,0.00677744,0.00912261,0.00640706,0.0202985,0.0371968,0.00601882,0.00685354,0.00751273,0.0103926,0.0300896,0,0,0.0359204,0,0.00437265,0.0279693,0.0619639,0.0328278,0.00790458,0.00653679,0.0657485,0.006817,0.0484385,0.00895776,0.00491063,0.00402642,0.00417756,0.00677056,0.00884297,0.00637577,0.0448403,0.0222419,0.0238544,0.0213775,0,0,0,0.0163993,0.00821668,0,0
262,0,0,0,0,0,0,0.0180113,0.0214567,0,0,0,0.039727,0.0192985,0.0209782,0,0,0.00718205,0,0.022895,0.00224661,0.0312884,0.0176574,0.0216347,0.00367631,0.00986225,0.00406192,0.00908975,0.00803057,0.0213312,0.00700856,0.00848169,0.0064489,0.0210864,0.0359273,0.00593358,0.00687656,0.00747729,0.0103315,0.0305469,0,0,0.0357555,0,0.00439465,0.0278771,0.0620209,0.0329766,0.00790207,0.00616417,0.066086,0.00675356,0.0492181,0,0.00458661,0.00399531,0.00436134,0.00665292,0.00884154,0.00695348,0.0448377,0.0218658,0.0240894,0.0218549,0,0,0,0.0164726,0.0100099,0,0
263,0,0,0,0,0,0,0.0188104,0.0233507,0,0,0,0.0389301,0.0193648,0.02192,0,0,0.00732984,0,0.0229168,0.0019896,0.0317791,0.0199516,0.0217103,0.00634694,0.0105826,0.00399957,0.0110987,0.0085405,0.0217615,0.00708747,0.00818039,0.00648057,0.0213619,0.0344787,0.00572456,0.00681328,0.00694654,0.0103039,0.0324187,0,0,0.0157121,0,0.0238787,0.0108856,0.0626649,0.0326274,0.00689244,0.00513649,0.0722032,0.006386,0.0497883,0.00863887,0.00394354,0.00405136,0.00403407,0.00675192,0.00891161,0.00682838,0.0336701,0.00399292,0.0261298,0.0231631,0,0,0,0.0163284,0.0116029,0.0213153,0
264,0,0,0,0,0,0,0.0182751,0.0215528,0,0,0,0.0380907,0.0194229,0.0220258,0,0,0.00734758,0,0.022911,0.00210562,0.0323414,0.0216297,0.0218401,0.00841802,0.0109204,0.00392165,0.0121382,0.00896847,0.0221453,0.00704521,0.00779394,0.00651683,0.0214196,0.0330849,0.0057119,0.00679397,0.00606589,0.0102718,0.0309145,0,0,0.0359982,0,0.00435253,0.0277626,0.0633863,0.0328948,0.00662744,0.00473926,0.065708,0.00615646,0.0503853,0.00874364,0.00368277,0.0040475,0.00378992,0.00678446,0.00902866,0.00737247,0.0446923,0.0222791,0.0241343,0.0223964,0,0,0,0.016575,0.0128115,0,0
265,0,0,0,0,0,0,0.0182567,0.0214704,0,0,0,0.0363752,0.0193497,0.0210862,0,0,0.00754457,0,0.0229057,0.00208743,0.0327577,0.0216074,0.0214695,0.0100665,0.0116894,0.00390914,0.0124464,0.00894451,0.0222679,0.00672979,0.00706969,0.00638572,0.0214869,0.0310318,0.00577041,0.00680419,0.00425914,0.00864333,0.030963,0,0,0.0362544,0,0.00431976,0.0278122,0.0640898,0.0338915,0.0082666,0.00416552,0.0653625,0.00679107,0.0514034,0,0.004398,0.00340822,0,0.00549547,0.0060613,0.013822,0.0446694,0.0225173,0.0240435,0.0226326,0,0,0,0.0142603,0.0132476,0,0
266,0,0,0,0,0,0,0.0193831,0.0234356,0,0,0,0.0351264,0.0192213,0.0207784,0,0,0.0080009,0,0.0229047,0.00214169,0.0335837,0.0212466,0.0212666,0.0114502,0.0116505,0.00386887,0.0126842,0.00885058,0.0222412,0.00654242,0.00686039,0.00622061,0.0216119,0.0298363,0.0059541,0.00685283,0.00549258,0.0107879,0.0330131,0,0,0.0160497,0,0.0238097,0.0111674,0.0648456,0.0334022,0.00530002,0.00435854,0.0720624,0.00571961,0.0513714,0.00854884,0.00321051,0.00442451,0.00359888,0.00722098,0.00966117,0.00852314,0.0340035,0.00375723,0.0263082,0.0240726,0,0,0,0.0171003,0,0.021297,0
267,0,0,0,0,0,0,0.0197754,0.023495,0,0,0,0.0334873,0.0191499,0.0202291,0,0,0.00817791,0,0.0229314,0.00220976,0.0343054,0.0205662,0.020573,0.0121294,0.0118196,0.00393808,0.0124454,0.00838649,0.0219491,0.00637215,0.00684238,0.00601521,0.0217655,0.0283649,0.00616207,0.00685526,0.00519046,0.0108988,0.0332613,0,0,0.0158128,0,0.0237717,0.0109643,0.0652691,0.0331512,0.004939,0.0050768,0.0722614,0.00527828,0.0515455,0.00794484,0.00277583,0.00451777,0.0034672,0.00718436,0.00950345,0.00848286,0.0339276,0.00387677,0.0264099,0.024321,0,0,0,0.017183,0,0.0212731,0
268,0,0,0,0,0,0,0.0194248,0.0231402,0,0,0,0.0325945,0.019255,0.0195688,0,0,0.00821593,0,0.0229025,0.00216994,0.0348701,0.019631,0.0198615,0.011327,0.0117833,0.00406492,0.0113339,0.00767073,0.0215462,0.00616804,0.00675635,0.0059036,0.0214181,0.0281701,0.00633582,0.00671751,0.00444684,0.0111187,0.0328004,0,0,0.0156144,0,0.023664,0.0107365,0.066091,0.0332684,0.00481568,0.00508463,0.0710599,0.0051669,0.0518523,0.00770487,0.00260506,0.00458843,0.00317434,0.00711473,0.00931973,0.00911278,0.0333657,0.00360459,0.0260195,0.024065,0,0,0,0.0175302,0.0130037,0.0211834,0
269,0,0,0,0,0,0,0.019903,0.0234708,0,0,0,0.0314808,0.0193258,0.0186865,0,0,0.00810427,0,0.0228782,0.00200849,0.0350787,0.0180673,0.0192638,0.00976623,0.0116456,0.00409898,0.00990967,0.00669489,0.0211293,0.00595945,0.0064389,0.0055718,0.0211486,0.0276476,0.0064161,0.00666032,0.00415064,0.0115398,0.0336821,0,0,0.0162396,0,0.0235266,0.0110023,0.0667759,0.0336879,0.00434251,0.00454268,0.0724271,0,0.0523125,0.00765607,0.00266628,0.00480196,0.00289599,0.00730493,0.00937253,0.00951945,0.0342232,0.00368147,0.0264339,0.0248422,0,0,0,0.0180033,0.0121016,0.021093,0
270,0,0,0,0,0,0,0.0190772,0.0213924,0,0,0,0.0318488,0.0193115,0.0184199,0,0,0.00788204,0,0.0228483,0.00213355,0.0350837,0.0161893,0.0188819,0.00707977,0.0111784,0.00429588,0.00802356,0.00562004,0.0206174,0.00563325,0.00626756,0.00555622,0.0204448,0.0284692,0.00653757,0.00665602,0.00343419,0.0118498,0.0316378,0,0,0.0358021,0,0.00417852,0.0270189,0.0674749,0.0335957,0.00465773,0.0047712,0.0656728,0.00538079,0.0525988,0.00755511,0.00229439,0.00503583,0.0027072,0.00728815,0.00926823,0.0103469,0.0443921,0.0295215,0.0242428,0.023567,0,0,0,0.0180568,0.0108335,0,0
271,0,0,0,0,0,0,0.0201133,0.0232815,0,0,0,0.0325426,0.0193364,0.017408,0,0,0.00789752,0,0.0228308,0.0020425,0.0348274,0.0147259,0.0181812,0.00462307,0.0112518,0.00430678,0.0063228,0.00440296,0.0200734,0.00485324,0.00611259,0.00595044,0.0198606,0.0291978,0.00644326,0.00668323,0.00295901,0.0119083,0.0337799,0,0,0.01623,0,0.0238098,0.0109326,0.0680215,0.0335432,0.00519706,0.00466046,0.0724443,0.00546792,0.0528347,0.00749811,0.00206965,0.00500885,0.00246694,0.00710338,0.00859659,0.0104995,0.0341037,0.00426109,0.0264334,0.0250478,0,0,0,0.0176714,0.00998753,0.021269,0
272,0,0,0,0,0,0,0.0196281,0.0213032,0,0,0,0.0330728,0.0194039,0.0168743,0,0,0.00754092,0,0.0228023,0.00210808,0.0343031,0.0151942,0.0177072,0.00338516,0.0108476,0.00434318,0.00494252,0.0039387,0.0204008,0.00342593,0.00538367,0.006498,0.0198599,0.0300251,0.00641963,0.00668162,0.00269466,0.0119654,0.0323131,0,0,0.0360389,0,0.00435803,0.0277765,0.0690148,0.0341128,0.0061837,0.00490816,0.0662277,0.00500487,0.0528169,0.00745094,0.00243582,0.00504493,0.00222651,0.00677405,0.00772091,0.0110559,0.0442834,0.0218761,0.0242903,0.0243467,0,0,0,0.0173256,0.0101234,0,0
