Timestep,C7,CLAV,IMUL_L,IMUL_R,IMUR_B,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RILC,RKNE,RPSI,RSHO,RTHI,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,,LHEE,RTHIA,IMUR_T,RHEE,LASI,IMUL_M,IMUR_M
9,0.0490179,0.032784,0,0,0,0.0483319,0,0.0256655,0,0,0.0215682,0,0,0.0533271,0.0466833,0.0292026,0.01228,0.0479481,0.0168319,0.0348694,0.0427542,0.0361885,0.0263219,0.0308014,0.0312935,0.0232698,0.0207134,0,0.0530538,0.0136985,0.0152229,0.0480093,0,0,0.0713111,0.0423816,0,0,0.0100589,0,0,0.0160883,0.0510955,0.0358651,0.0183303,0.0435207,0.0352718,0.0405453,0.0407157,0.0318115,0.051971,0.0337378,0.0418323,0.0672162,0.023165,0,0.0153836,0.00439547,0.0429602,0.0710836,0,0,0,0,0,0,0,0,0,0.0472045,0.0501299,0,0,0,0,0
10,0.0535212,0.0310769,0,0,0,0.0357062,0,0.0348129,0,0,0.0198987,0,0,0.0540113,0.0494266,0.0268811,0,0.048552,0.0179646,0.0377467,0.0514433,0.03798,0.0218549,0.0331863,0.0330784,0.0241253,0.021828,0.0665544,0.0537541,0.0137675,0.0149376,0.0450904,0,0,0.0736695,0.040014,0,0,0.0109178,0,0,0.0149379,0.0508891,0.0348625,0.0193394,0.0431629,0.0377069,0.0393396,0.0396252,0.0310483,0.0523452,0.0362376,0.0423529,0.0663318,0.0218784,0.0375751,0.0130121,0.00666394,0.040494,0.0732114,0,0,0,0,0,0,0,0,0,0.0484511,0.0487951,0,0,0,0,0
11,0.0501526,0.0327095,0,0,0,0.0363186,0,0.0355269,0,0,0.0205335,0,0,0.0542041,0.0502692,0.0280884,0.0227343,0.0505491,0.0174146,0.0381085,0.0494569,0.0381665,0.0239184,0.0317543,0.0319644,0.0241178,0.0224757,0.0682337,0.0521755,0.0137618,0.0157877,0.044637,0,0.0318221,0.0731977,0.0412251,0,0,0.0105342,0,0,0.0153945,0.0486491,0.0344424,0.0212361,0.0437697,0.034146,0.04067,0.0392403,0.0328306,0.0537027,0.0392468,0.0438856,0.0649541,0.0204626,0,0.0159124,0.00490184,0.0403557,0.0719699,0,0,0,0,0,0,0,0,0,0.0498544,0.0494882,0,0,0,0,0
12,0.0529726,0.0313245,0,0,0,0.0381769,0,0.0308813,0,0,0.0205499,0,0,0.053588,0.0490293,0.0268762,0.0201895,0.0482189,0.0179356,0.0383147,0.0472689,0.0365373,0.026367,0.0320764,0.0324363,0.0251667,0.0233727,0.0763366,0.0531784,0.0143738,0.0157863,0.0455699,0,0.0312512,0.0742527,0.0402917,0,0,0.0107698,0,0,0.0153511,0.0494112,0.0348598,0.0201702,0.0425784,0.0375387,0.041065,0.0404316,0.0328365,0.0527287,0.0368567,0.0431186,0.065532,0.0188258,0.0376849,0.0131461,0.00602115,0.0389888,0.0728954,0,0,0,0,0,0,0,0,0,0.0465915,0.0504049,0,0,0,0,0
13,0.0534425,0.0313814,0,0,0,0.0379513,0,0.0306592,0,0,0.0203922,0,0,0.0540824,0.0490083,0.0279197,0.0206663,0.0490827,0.0185711,0.0390398,0.0475251,0.0357579,0.0271016,0.0325519,0.0329623,0.0257133,0.0241247,0.0746484,0.0527612,0.0146551,0.016481,0.0471942,0,0.0267269,0.0712811,0.0399302,0,0,0.010556,0,0,0.0153694,0.0476388,0.0316254,0.0203098,0.0422492,0.0372188,0.0435608,0.0389848,0.0348269,0.0552447,0.0397575,0.0455621,0.0663602,0.0218291,0.0375779,0.0133705,0.0059697,0.0380643,0.073511,0,0,0,0,0,0,0,0,0,0.0466274,0.0512927,0,0.0423023,0,0,0
14,0.0535445,0.031257,0,0,0,0.0382675,0,0.0313159,0,0,0.0203404,0,0,0.0540106,0.0499402,0.0312734,0.0209185,0.0492028,0.0188324,0.0388274,0.0490505,0,0.0272127,0.0308269,0.0313353,0.0243568,0.0233919,0.0718497,0.0529686,0.0143343,0.0168613,0.046671,0,0.0279061,0.0723509,0.0394767,0,0,0.0104977,0,0,0.0154194,0.0485504,0.0302841,0.020591,0.041259,0.0364872,0.0436675,0.0394376,0.0349971,0.0547188,0.0396189,0.0453123,0.0661445,0.0219156,0.0379325,0.0134809,0.00582548,0.0385228,0.0729165,0,0,0,0,0,0,0,0,0,0.0480783,0.0508413,0,0.0435149,0,0,0
15,0.0530929,0.0311088,0,0,0,0.0379704,0,0.031528,0,0,0.0204481,0,0,0.0532437,0.0502709,0.0307739,0.020756,0.0483083,0.0182292,0.039233,0.0494611,0,0.0282325,0.0302018,0.0311338,0.0239639,0.0233203,0.069353,0.05352,0.0139995,0.0163932,0.0458017,0,0.0339339,0.0756552,0.0398159,0,0,0.0105348,0,0,0.0154195,0.0511618,0.0326767,0.0207651,0.0414781,0.0367069,0.0411978,0.0410184,0.0331902,0.0517086,0.0364438,0.0425422,0.0648043,0.0188567,0.0380577,0.0133691,0.00573945,0.0392532,0.0722371,0,0,0,0,0,0,0,0,0,0.0479405,0.0495149,0,0,0,0,0
16,0.0533957,0.0310041,0,0,0,0.0366723,0,0.0310913,0,0,0.0204922,0,0,0.0533399,0.0495521,0.0298048,0.0209686,0.0489989,0.0189949,0.0408235,0.0490735,0.03507,0.0297783,0.0314895,0.0329514,0.0252073,0.0245062,0.0667033,0.0528132,0.0134525,0.0176519,0.0477974,0,0.0282566,0.0714068,0.0398487,0,0,0.00999723,0,0,0.0160693,0.0490963,0.0301307,0.0210015,0.0419052,0.03662,0.0435909,0.0389965,0.0352145,0.0550109,0.0397367,0.0455865,0.066288,0.0229979,0.0378059,0.0132601,0.00660385,0.039011,0.073252,0,0,0,0,0,0,0,0,0,0.0459718,0.0503412,0,0.0433464,0,0,0
17,0.0530031,0.0309567,0,0,0,0.0358824,0,0.0316875,0,0,0.0244573,0,0,0.0487171,0.0512135,0.0324245,0,0.0484129,0.0198141,0.042247,0.0525101,0,0.0301073,0.0297719,0.0317329,0.0232367,0.0229002,0.0588502,0.0515047,0.0209506,0,0.0600533,0,0.0297664,0.0726256,0.03985,0,0,0.00965342,0,0,0.0159732,0.0504401,0.0290548,0.0218517,0.0404988,0.0364185,0.0425636,0.0385235,0.034308,0.0534765,0.0391211,0.0429735,0.0640658,0,0.0381447,0.0137014,0.00622205,0.0392061,0.0727074,0,0,0,0,0,0,0,0,0,0.0461779,0.048799,0,0.0367228,0,0,0
18,0.0534478,0.0308991,0,0,0,0.0360634,0,0.0319881,0,0,0.0203343,0,0,0.0535085,0.0504032,0.0341502,0,0.0489891,0.0180715,0.0423915,0.0525282,0,0.0313454,0.0291486,0.0312406,0.0227854,0.0228495,0.0557883,0.0531176,0.0137791,0.0181496,0.0480273,0,0.0291351,0.0718789,0.0392837,0,0,0.0101851,0,0,0.0154452,0.0513448,0.0280773,0.0220524,0.0413105,0.0363821,0.0438409,0.0394851,0.0359586,0.0544258,0.0397774,0.0450699,0.0658012,0.0232202,0.0380619,0.0134862,0.00531068,0.0387671,0.0724667,0,0,0,0,0,0,0,0,0,0.0461435,0.0496926,0,0.0444173,0,0,0
19,0.0537277,0.0307495,0,0,0,0.0387853,0,0.034869,0,0,0.020084,0,0,0.0535626,0.0534585,0.0456105,0.0882592,0.0493516,0.0184567,0.0426902,0.0575259,0,0.0319474,0.0226891,0.0248632,0.0169655,0.0192601,0.049273,0.0534385,0.0138615,0.0183954,0.048631,0,0.0298465,0.0735893,0.0379096,0,0,0.0102558,0,0,0.0154636,0.0537997,0.0246887,0.0235058,0.0387422,0.0342258,0.0440396,0.0404011,0.0372403,0.0533882,0.0389353,0.0441568,0.0645657,0.0236296,0.039252,0.0144436,0.00472574,0.040132,0.0703395,0,0,0,0,0,0,0,0,0,0.0517007,0.0489703,0,0.0460422,0,0,0
20,0.0536764,0.0306102,0,0,0,0.04041,0,0.0356113,0,0,0.0201448,0,0,0.0535827,0.0533598,0.0458723,0.0915977,0.049083,0.0183161,0.0432299,0.0569116,0,0.033631,0.0218337,0.0243414,0.016605,0.0202065,0.0453003,0.0536936,0.014106,0.0181905,0.0485909,0,0.0298648,0.0732992,0.0379403,0,0,0.0103196,0,0,0.0154547,0.0542274,0.0245208,0.0236589,0.0385855,0.0341921,0.0441846,0.0403214,0.0373236,0.0533037,0.0387563,0.0440887,0.0644617,0.0236086,0.0392986,0.0144049,0.00467328,0.0402487,0.0701731,0,0,0,0,0,0,0,0,0,0.052511,0.0487804,0,0.0460445,0,0,0
21,0.053391,0.0307236,0,0,0,0.0394411,0,0.0331,0,0,0.0205092,0,0,0.0534311,0.0502832,0.0347686,0,0.04835,0.0177533,0.0444843,0.0499888,0,0.0368599,0.0282148,0.0307322,0.0224351,0.0250178,0.0453103,0.0535565,0.0137691,0.0179454,0.0478421,0,0.0290506,0.0713961,0.0392827,0,0,0.010407,0,0,0.0153536,0.0526075,0.0275302,0.0223944,0.0410348,0.036203,0.0441834,0.0393505,0.036051,0.0540483,0.0392502,0.0448384,0.0655378,0.0227164,0.0382443,0.0135185,0.00512578,0.0387979,0.0721607,0,0,0,0,0,0,0,0,0,0.0468565,0.0491514,0,0.0445896,0,0,0
22,0.0536241,0.0307267,0,0,0,0.0410575,0,0.0317975,0,0,0.0204608,0,0,0.0535458,0.0514989,0.0333128,0,0.0488744,0.0179938,0.046187,0.0483004,0,0,0.0297189,0.0319054,0.0236719,0.0275441,0.0410601,0.0533001,0.0136833,0.018345,0.046889,0,0.0287202,0.0726309,0.03918,0,0,0.0104138,0,0,0.0154273,0.0515022,0.0280972,0.0216699,0.0411871,0.0360048,0.0434581,0.0393554,0.034733,0.0539125,0.0391417,0.0447384,0.0655413,0.0224351,0.0382511,0.013557,0.00511973,0.0382145,0.0726479,0,0,0,0,0,0,0,0,0,0.0446094,0.0495527,0,0.0450455,0,0,0
23,0.0528335,0.0313291,0,0,0,0.0449101,0,0.0330969,0,0,0.0209324,0,0,0.0534729,0.0523453,0.0300116,0,0.0439927,0.0172126,0.0472057,0.046917,0.0342672,0.0428581,0.029588,0.0321038,0.023729,0.0282468,0.0357758,0.0530533,0.0135472,0.0180483,0.0455683,0,0.0303589,0,0.0403417,0,0,0.0101674,0,0,0.015938,0.051998,0.0347125,0.0235767,0.0388884,0.0392144,0.042263,0.0427691,0.034675,0.0508224,0.0376382,0.0423148,0.0622604,0.0228603,0.0367394,0.0119661,0.00693664,0.0399342,0.071643,0,0,0,0,0,0,0,0,0,0.0465218,0.0507696,0,0.0505093,0,0,0
24,0.052904,0.0306452,0,0,0,0.0455336,0,0.033193,0,0,0.0246663,0,0,0.0487632,0.0499939,0.0328082,0,0.0464235,0.0187901,0.04775,0.0462813,0.0324798,0.0422568,0.031139,0.0335159,0.0257625,0.0294572,0.0349204,0.0522698,0.0209824,0,0.0470521,0,0.0291286,0.0703794,0.0405175,0,0,0.0099872,0,0,0.0158453,0.0533181,0.0271557,0.0222255,0.0406602,0.0373498,0.0447702,0.0389247,0.0361507,0.0548451,0.0397804,0.0453722,0.0663153,0.0231241,0.0378117,0.0129455,0.00573557,0.0390434,0.072934,0,0,0,0,0,0,0,0,0,0.0455991,0.0493049,0,0.0446835,0,0,0
25,0.0530667,0.0307016,0,0,0,0.0477203,0,0.0338529,0,0,0.0215723,0,0,0.0527169,0.049913,0.0338239,0.0134726,0.0465452,0.018659,0.0472885,0.0457477,0.0328115,0.0428974,0.0314593,0.0335411,0.0264035,0.0310423,0.0326628,0.0538519,0.0126198,0.0164472,0.0478012,0,0.0293275,0.0698734,0.0401245,0,0,0.00907143,0,0,0.0168486,0.0533587,0.0276063,0.0224785,0.0407555,0.0365356,0.0450685,0.038844,0.0364578,0.0553866,0.0400731,0.0454529,0.0660914,0.0238653,0.0380319,0.0131828,0.00691311,0.0390236,0.0723179,0,0,0,0,0,0,0,0,0,0.0466294,0.0493251,0,0.0450625,0,0,0
26,0.0531311,0.0304765,0,0,0,0.0488281,0,0.0332456,0,0,0.0208566,0,0,0.0530342,0.0534365,0.0288554,0.0117298,0.0464433,0.0169784,0.050314,0.0446028,0.0303514,0.0456694,0.0351923,0.0373434,0.0289621,0.0332665,0.0316572,0.0542197,0.013885,0.0158859,0.046657,0,0.0279035,0.0689215,0.0401164,0,0,0.0102072,0,0,0.0158706,0.0490933,0.0309238,0.020734,0.0404534,0.0367733,0.0453506,0.0385551,0.0345069,0.0569405,0.0410696,0.046544,0.0672009,0.0231281,0.0379918,0.01376,0.00520036,0.0386403,0.0723755,0,0,0,0,0,0,0,0,0,0.0446676,0.0511351,0,0.0443787,0.0535966,0,0
27,0.0530399,0.0306264,0,0,0,0.0506581,0,0.0339756,0,0,0.020882,0,0,0.0530157,0.0494998,0.0352307,0.0132973,0.0456436,0.0168356,0.045771,0.0435154,0.0335585,0.0444359,0.0329137,0.0346318,0.0272379,0.0321261,0.0292737,0.0539315,0.0140382,0.015628,0.0483078,0,0.0295717,0.0692258,0.0401664,0,0,0.0102157,0,0,0.0160575,0.0537895,0.0273586,0.0228066,0.0399236,0.0373118,0.0456901,0.0388018,0.0369215,0.055954,0.0404747,0.0457271,0.0661876,0.0246296,0.0376874,0.0140254,0.00553787,0.0387066,0.0718788,0,0,0,0,0,0,0,0,0,0.0466099,0.0493131,0,0.04577,0,0,0
28,0.0531068,0.0304016,0,0,0,0.050924,0,0.0336501,0,0,0.0208455,0,0,0.052809,0.0527749,0.0310079,0.0147327,0.045822,0.0169037,0.0493885,0.0420661,0.0319647,0.0464355,0.0363923,0.0384323,0.0301137,0.0336419,0.0291439,0.0541891,0.0141092,0.0153272,0.0470678,0,0.0282809,0.0684007,0.0400415,0,0,0.009729,0,0,0.0162526,0.0497593,0.0302212,0.0210706,0.0396742,0.0365239,0.0458636,0.0383932,0.0349378,0.0571167,0.0413863,0.0467867,0.0675515,0.0235839,0.0380926,0.0145388,0.00569952,0.0387716,0.0717633,0,0,0,0,0,0,0,0,0,0.0444819,0.0511912,0,0.0452123,0.0540176,0,0
