Timestep,C7,CLAV,IMUL_L,IMUL_R,IMUR_B,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RILC,RKNE,RPSI,RSHO,RTHI,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,,LHEE,RTHIA,IMUR_T,RHEE,LASI,IMUL_M,IMUR_M
29,0.0530531,0.0303145,0,0,0,0.0513124,0,0.0342564,0,0,0.0208012,0,0,0.0527032,0.0526212,0.0316892,0.0152394,0.0454854,0.0168474,0.0478527,0.0412283,0.0325702,0.0464206,0.0369753,0.0388577,0.0306195,0.0336495,0.028538,0.0544864,0.0141203,0.0151382,0.047464,0,0.0283336,0.0681786,0.0400223,0,0,0.00974143,0,0,0.0161091,0.0498272,0.0300934,0.0211603,0.0393457,0.0364507,0.0461155,0.0381197,0.0351482,0.0571441,0.041644,0.0469422,0.0676053,0.0237009,0.0382686,0.0144937,0.00552522,0.0391081,0.0715436,0,0,0,0,0,0,0,0,0,0.044189,0.0514242,0,0.0453786,0.05378,0,0
30,0.0530108,0.0303164,0,0,0,0.0505387,0,0.0348775,0,0,0.0207729,0,0,0.0527456,0.0521041,0.0322881,0.0154568,0.045034,0.016776,0.0466977,0.0405491,0.0330976,0.0460817,0.0374536,0.0389605,0.0308846,0.0334371,0.0288937,0.0545333,0.0143206,0.0149771,0.0477351,0,0.0282699,0.0683184,0.0399868,0,0,0.00980536,0,0,0.0159546,0.0499878,0.0300013,0.0212051,0.0390069,0.0364884,0.0463862,0.0379539,0.0354064,0.0572113,0.0418027,0.0470783,0.067486,0.0238802,0.0383109,0.014463,0.00545752,0.0392666,0.071379,0,0,0,0,0,0,0,0,0,0.0443457,0.0514582,0,0.0455286,0.0537193,0,0
31,0.0530364,0.0303068,0,0,0,0.0496199,0,0.0354658,0,0,0.020689,0,0,0.05277,0.0515487,0.0328586,0.0160461,0.0445799,0.0167891,0.0461394,0.0390618,0.0334046,0.0456055,0.0377826,0.0395937,0.0310281,0.0332444,0.0293616,0.0544956,0.0144126,0.0148961,0.0479288,0,0.0282056,0.0682993,0.0399348,0,0,0.00970759,0,0,0.0159479,0.0502189,0.029898,0.0211908,0.0387635,0.0364117,0.0465559,0.0377171,0.0355249,0.0574581,0.0419294,0.0471479,0.0673385,0.024232,0.0383189,0.0145348,0.00540324,0.0391354,0.0712461,0,0,0,0,0,0,0,0,0,0.0447471,0.0514713,0,0.045757,0.0538462,0,0
32,0.053119,0.0302722,0,0,0,0.0457995,0,0.036484,0,0,0.0206711,0,0,0.0527465,0.0497852,0.0328335,0,0.0441854,0.0168151,0.0472615,0.0374613,0.0334564,0.0452226,0.0375153,0.0387871,0.0305428,0.0315662,0.033532,0.054479,0.0142444,0.0149511,0.0480857,0,0.0282754,0.0682381,0.0400153,0,0,0.0097709,0,0,0.0159421,0.0507243,0.0297148,0.0211589,0.038888,0.0363615,0.0464725,0.0374952,0.0355672,0.0574169,0.0418893,0.0470469,0.0671722,0.024768,0.0382254,0.0147578,0.00533744,0.0389017,0.0714402,0,0,0,0,0,0,0,0,0,0.0460921,0.0512245,0,0.0461059,0.0543233,0,0
33,0.0535522,0.0302734,0,0,0,0.0453728,0,0.0362324,0,0,0.0200356,0,0,0.0533385,0.0496997,0.033677,0,0.0438954,0.0168511,0.0459519,0.0376978,0.0334338,0.0446478,0.0379459,0.0395391,0.030869,0.0321945,0.0344236,0.0542506,0.0137987,0.0149517,0.0455195,0,0.0256131,0.068148,0.0395911,0,0,0.00999617,0,0,0.0157392,0.0513433,0.0289624,0.0226517,0.0383294,0.0361303,0.0460022,0.0362565,0.0354635,0.0585796,0.0440088,0.0482302,0.0673634,0.0220973,0.0380498,0.0148379,0.0054861,0.0392046,0.0715444,0,0,0,0,0,0,0,0,0,0.0466887,0.0496855,0,0.0462008,0.0545498,0,0
34,0.0532903,0.0312759,0,0,0,0.0453384,0,0.0361546,0,0,0.0253959,0,0,0.0508927,0.0494359,0.0339942,0,0.0438545,0.025095,0.0452894,0.0378187,0.0330795,0.044279,0.0384921,0.0402663,0.0310932,0.0327822,0.0347258,0.0535783,0.0125284,0.0111191,0.0469198,0,0.0253389,0.0678548,0.0395661,0,0,0.00626618,0,0,0.0199581,0.0512871,0.0285625,0.0229348,0.0381418,0.0340176,0.0456469,0.0352976,0.0353325,0.0595183,0.0441925,0.0482236,0.067334,0.0225662,0.038966,0.0145521,0.0122924,0.0401564,0.071406,0,0,0,0,0,0,0,0,0,0.0463252,0.0497149,0,0.0460539,0.0535048,0,0
35,0.0537221,0.0305829,0,0,0,0.0450946,0,0.0365206,0,0,0.0194742,0,0,0.0538537,0.0487316,0.035281,0,0.0442749,0.0173359,0.0433342,0.0370634,0,0.043904,0.0380335,0.0398674,0.0307667,0.0330969,0.0358598,0.0539937,0.0137169,0.0151017,0.0463079,0,0.0254969,0.0691137,0.0389001,0,0,0.00984912,0,0,0.015715,0.0519267,0.0278862,0.0225964,0.0376987,0.0350716,0.0451666,0.0360211,0.0349722,0.0588955,0.0436585,0.0474904,0.0666366,0.0217132,0.0385115,0.0150193,0.00496198,0.0394749,0.0712175,0,0,0,0,0,0,0,0,0,0.047149,0.049757,0,0.0467903,0.0530109,0,0
36,0.0533516,0.0302832,0,0,0,0.0477306,0,0.0344922,0,0,0.0205187,0,0,0.0530464,0.0476915,0.033518,0.0177796,0.0443624,0.0176673,0.0445015,0.0380225,0.0318563,0.0433813,0.0376326,0.0401544,0.0288899,0.0303981,0.0368428,0.0541267,0.014228,0.0154781,0.0491758,0,0.0281643,0.0683226,0.0395907,0,0,0.0097971,0,0,0.0156566,0.0522946,0.0287655,0.0209,0.0389215,0.0351886,0.0455526,0.0369792,0.0350762,0.0579742,0.0413647,0.0460927,0.066283,0.0246908,0.0384806,0.0152169,0.00486091,0.0395182,0.0714073,0,0,0,0,0,0,0,0,0,0.0459249,0.0513974,0,0.0466292,0.0507776,0,0
37,0.0538542,0.0305904,0,0,0,0.0435048,0,0.0365102,0,0,0.0193313,0,0,0.0541577,0.0473922,0.0335517,0,0.0443273,0.0178327,0.0441928,0.0380848,0.031563,0.0429559,0.0380029,0.040164,0.030332,0.0321385,0.0358428,0.0535966,0.0138308,0.0154723,0.0464038,0,0.0253097,0.0684846,0.0389431,0,0,0.00952347,0,0,0.0159683,0.052814,0.0277526,0.0223111,0.0383977,0.0350409,0.0446489,0.0356335,0.0346137,0.0586165,0.0434515,0.0471508,0.0663012,0.0210282,0.0381278,0.0150108,0.0057031,0.0400901,0.0715529,0,0,0,0,0,0,0,0,0,0.045462,0.0496567,0,0.0465728,0.0505878,0,0
38,0.0538769,0.0306787,0,0,0,0.0418453,0,0.0372544,0,0,0.0191579,0,0,0.0541788,0.0475143,0.0347922,0,0.0447584,0.0183856,0.0444824,0.0390787,0,0.0424321,0.0362371,0.0382094,0.0286921,0.0310666,0.0356734,0.0537299,0.0142613,0.015851,0.0466786,0,0.0250301,0.0692094,0.0385437,0,0,0.0100422,0,0,0.015548,0.0528628,0.0273082,0.0222859,0.037945,0.034282,0.0440502,0.0354339,0.0341861,0.0575773,0.0432414,0.0466288,0.0657113,0.0207803,0.0385377,0.0155867,0.00487089,0.0403547,0.0710707,0,0,0,0,0,0,0,0,0,0.0449757,0.0498749,0,0.0468565,0.0517928,0,0
39,0.0535625,0.0306363,0,0,0,0.0400437,0,0.0369701,0,0,0.0197934,0,0,0.0537754,0.0467802,0.0334962,0.0183803,0.0445363,0.0186862,0.0440531,0.0394415,0.0306104,0.0419795,0.0366868,0.0391412,0.0291067,0.0317535,0.0348672,0.0537804,0.0148825,0.0161976,0.0494283,0,0.0278647,0.068827,0.0389566,0,0,0.00975644,0,0,0.0158307,0.0533527,0.0278795,0.0203284,0.0386135,0.0345082,0.0441074,0.0363937,0.0339012,0.0560756,0.0406813,0.0448005,0.0654589,0.0237333,0.03844,0.0154985,0.00502602,0.0405062,0.0711723,0,0,0,0,0,0,0,0,0,0.0428694,0.051267,0,0.0467193,0.0510797,0,0
40,0.0537635,0.0306393,0,0,0,0.0389294,0,0.0368029,0,0,0.0196273,0,0,0.0539627,0.0472128,0.034796,0.0167517,0.0450334,0.0192514,0.0434455,0.0402848,0,0.0417333,0.0353204,0.0379086,0.0281259,0.0319937,0.0352905,0.0536839,0.0151574,0.0164706,0.0495393,0,0.0276082,0.0694452,0.0384144,0,0,0.00982041,0,0,0.0157937,0.0533561,0.0273276,0.0200647,0.0378619,0.033726,0.0434403,0.0365925,0.0331904,0.0559674,0.0400759,0.0442329,0.0648581,0.0233421,0.0387627,0.0158689,0.00474083,0.0411416,0.070645,0,0,0,0,0,0,0,0,0,0.0420948,0.0514172,0,0.0470263,0.0521434,0,0
41,0.0537437,0.0307463,0,0,0,0.0369698,0,0.0366074,0,0,0.0194756,0,0,0.054037,0.0466696,0.0333958,0.0169659,0.0449998,0.0195868,0.0439773,0.0404986,0.0288365,0.0417103,0.0356955,0.0386954,0.0282032,0.0320063,0.0353933,0.0535222,0.0151333,0.0167325,0.0497962,0,0.027265,0.0685392,0.0385463,0,0,0.00976848,0,0,0.0158571,0.0539654,0.0272531,0.0198197,0.0382498,0.0341626,0.0430561,0.0364195,0.0329038,0.0559425,0.0397959,0.0438704,0.0640034,0.0230188,0.0384848,0.0156128,0.00474053,0.0417156,0.0709888,0,0,0,0,0,0,0,0,0,0.0390492,0.0512675,0,0.0467216,0.0512977,0,0
42,0.0538733,0.0308581,0,0,0,0.0348145,0,0.0359316,0,0,0.0192887,0,0,0.0540697,0.0469268,0.033543,0.0163987,0.0455601,0.0200594,0.0433515,0.0408079,0.0283594,0.0414183,0.035216,0.0385708,0.0274737,0.0314383,0.0362299,0.0534347,0.0151306,0.0167802,0.0493919,0,0.0269903,0.0677194,0.0383377,0,0,0.00980742,0,0,0.015743,0.0545283,0.0267572,0.0196702,0.0381138,0.0338772,0.0424653,0.0364151,0.0323486,0.055416,0.0395131,0.0432843,0.0625136,0.0224552,0.0386326,0.0158212,0.00462203,0.042368,0.0710067,0,0,0,0,0,0,0,0,0,0.0365858,0.0512102,0,0.0467556,0.0518701,0,0
43,0.0541309,0.0309296,0,0,0,0.0326978,0,0.0351607,0,0,0.0192276,0,0,0.0539622,0.0470052,0.0352893,0.0150568,0.0464726,0.0210416,0.0413459,0.0409917,0,0.0406871,0.033782,0.0373959,0.0258618,0.0302436,0.0375225,0.0534637,0.0144469,0.0172079,0.0490877,0,0.0267302,0.0676452,0.0379108,0,0,0.00905954,0,0,0.0163691,0.0550823,0.0259296,0.0196806,0.0374739,0.0326912,0.0417276,0.0365756,0.0315492,0.0551306,0.0388362,0.042502,0.0619566,0.0215621,0.039217,0.0163676,0.00565369,0.0430519,0.0707341,0,0,0,0,0,0,0,0,0,0.0357132,0.051275,0,0.0470741,0.0537154,0,0
44,0.0543193,0.0311838,0,0,0,0.0320509,0,0.0348418,0,0,0.0192613,0,0,0.0542408,0.0443676,0.0407683,0.0129129,0.0458087,0.0214253,0.0373997,0.0416852,0,0.0380846,0.0299951,0.0335882,0.0220928,0.0281347,0.0381491,0.0532195,0.0149988,0.017354,0.0500701,0,0.0274436,0.0678557,0.037733,0,0,0.00918474,0,0,0.0161164,0.0595547,0.0232802,0.0203932,0.0368507,0.0332137,0.0410238,0.0373851,0.0328874,0.0532932,0.0371585,0.0406648,0.060767,0.0220506,0.0389858,0.0160407,0.00550281,0.0440099,0.0707231,0,0,0,0,0,0,0,0,0,0.0372272,0.0501994,0,0.047918,0,0,0
45,0.0543908,0.03123,0,0,0,0.0297582,0,0.0347,0,0,0.019152,0,0,0.0541768,0.0453302,0.0339552,0.0160667,0.046555,0.0213386,0.0420816,0.0405717,0.0286473,0.039862,0.0339218,0.0382574,0.0243034,0.0284252,0.0388069,0.0536431,0.015561,0.0166633,0.0481701,0,0.0255018,0.0659296,0.0379467,0,0,0.00977853,0,0,0.0157092,0.0564652,0.0257373,0.0198584,0.0380086,0.0329558,0.0406018,0.0364353,0.0299745,0.0541821,0.0380853,0.0414323,0.0620292,0.0186684,0.0394939,0.0163401,0.00482396,0.0437841,0.071693,0,0,0,0,0,0,0,0,0,0.0338145,0.0514505,0,0.046338,0.0526925,0,0
46,0.0546373,0.0314607,0,0,0,0.0294863,0,0.0348112,0,0,0.0190535,0,0,0.0542992,0.0446538,0.0349926,0.0147583,0.0469319,0.0218764,0.0410106,0.0397775,0,0.0391784,0.0323502,0.0369157,0.0226797,0.0281864,0.0404093,0.0535536,0.0156881,0.0168249,0.047238,0,0.0250711,0.0659829,0.0374948,0,0,0.0102563,0,0,0.0154982,0.0569754,0.0253059,0.020041,0.0375052,0.0324733,0.0396702,0.0368389,0.0287747,0.0534518,0.0375623,0.0408411,0.0614499,0.016014,0.0399704,0.0167216,0.0045522,0.0441315,0.0717933,0,0,0,0,0,0,0,0,0,0.0350362,0.0515136,0,0.0464174,0.0538379,0,0
47,0.0546962,0.0317394,0,0,0,0.0287461,0,0.034592,0,0,0.0190766,0,0,0.0543812,0.0438589,0.0333371,0.0160822,0.0465776,0.0220349,0.0418085,0.0397647,0.0276348,0.0387969,0.03255,0.037921,0.0225435,0.027916,0.0398991,0.0535214,0.0157305,0.0168479,0.0466256,0,0.0248401,0.0643273,0.0376704,0,0,0.0105738,0,0,0.0154089,0.0574859,0.025457,0.0203187,0.0383745,0.0328048,0.039013,0.0369668,0.0277742,0.0535407,0.0373454,0.0407017,0.0612483,0.0137342,0.0399203,0.0166214,0.00435509,0.0440169,0.0725628,0,0,0,0,0,0,0,0,0,0.0338821,0.0515028,0,0.0462165,0.0522722,0,0
48,0.0547888,0.032003,0,0,0,0.028721,0,0.0342883,0,0,0.0189911,0,0,0.0545244,0.0432256,0.0327901,0.0160833,0.0463427,0.0222624,0.0413348,0.0396419,0.0254701,0.0380816,0.0316703,0.0378414,0.0217539,0.028011,0.0406716,0.0533767,0.0158895,0.0169578,0.0454615,0,0.0249174,0.063331,0.0375943,0,0,0.010818,0,0,0.0155163,0.0577539,0.0253149,0.0203661,0.0388921,0.0326846,0.038092,0.0375944,0.0266148,0.0534233,0.0372787,0.040032,0.06097,0.0111445,0.0399446,0.0166261,0.00423505,0.0437982,0.0729236,0,0,0,0,0,0,0,0,0,0.0342164,0.0515629,0,0.0463321,0.0515501,0,0
49,0.0547573,0.0322339,0,0,0,0.0284849,0,0.0340578,0,0,0.0189988,0,0,0.0546586,0.0427626,0.0322031,0.0164838,0.0461408,0.0224889,0.0411196,0.0398026,0.0244176,0.0374733,0.0307158,0.0375633,0.0207504,0.0278701,0.0415315,0.0531967,0.0160163,0.0168916,0.0445029,0,0.0251305,0.0620664,0.0376154,0,0,0.0107586,0,0,0.0155607,0.0580128,0.0252662,0.0204648,0.039483,0.0327194,0.0371469,0.0381034,0.0256818,0.0532997,0.0374389,0.0396861,0.0607867,0.00914993,0.0398471,0.0163978,0.00417213,0.0434212,0.0732,0,0,0,0,0,0,0,0,0,0.0347154,0.0515048,0,0.0463235,0.0507427,0,0
50,0.0546441,0.0323926,0,0,0,0.0276711,0,0.03396,0,0,0.0189972,0,0,0.0547481,0.0422986,0.0319837,0.0167821,0.046043,0.0226784,0.0409482,0.039704,0.0242827,0.0369061,0.0299835,0.0372754,0.019789,0.0273883,0.0425846,0.053015,0.0162745,0.0165239,0.0439546,0,0.0250085,0.060605,0.0376688,0,0,0.010722,0,0,0.0154421,0.0582755,0.025288,0.0212122,0.0400554,0.0328344,0.0362315,0.038503,0.0251492,0.0531288,0.0377818,0.0393137,0.0614622,0.00834193,0.0397645,0.0161697,0.00410821,0.0431458,0.0733008,0,0,0,0,0,0,0,0,0,0.0350849,0.0512651,0,0.0460855,0.0497917,0,0
51,0.0545146,0.0325181,0,0,0,0.0268404,0,0.0341703,0,0,0.0190213,0,0,0.0548835,0.0425059,0.0317012,0.0169081,0.0458004,0.0229977,0.0407992,0.0394281,0.0245116,0.0365446,0.0292872,0.0370041,0.0190423,0.0268518,0.0431509,0.0529482,0.016438,0.0164696,0.051204,0,0.0245015,0.0600246,0.0377508,0,0,0.0107861,0,0,0.0153607,0.0579291,0.0260366,0.0240449,0.0403393,0.0330626,0.0349251,0.0383527,0.0248719,0.052266,0.0388609,0.0382479,0.0603039,0,0.0396487,0.0159283,0.00405876,0.0435372,0.0730153,0,0,0,0,0,0,0,0,0,0.0350015,0.0502641,0,0.0408929,0.0483011,0,0
52,0.0544577,0.0325623,0,0,0,0.0257493,0,0.0339201,0,0,0.0190519,0,0,0.0551208,0.0417471,0.0325725,0.0167891,0.0462075,0.0234627,0.0401089,0.0393008,0.024554,0.0353114,0.0290366,0.0366007,0.0186314,0.0261283,0.0441794,0.0527269,0.016477,0.0168087,0.0447362,0,0.0244528,0.0571132,0.0378932,0,0,0.0100345,0,0,0.0161755,0.0584762,0.0253959,0.0243935,0.041281,0.0330028,0.0345494,0.0388312,0.0244889,0.0528665,0.0375311,0.0382295,0.062928,0.012541,0.0395596,0.0155793,0.00527653,0.043929,0.0729282,0,0,0,0,0,0,0,0,0,0.0344747,0.0498604,0,0.0437963,0.0479139,0,0
53,0.0543789,0.0327226,0,0,0,0.0259027,0,0.0340732,0,0,0.0190413,0,0,0.0553593,0.041628,0.0333341,0,0.0466402,0.0238069,0.0385623,0.0395027,0,0.0342884,0.0284471,0.0360254,0.0181507,0.0256274,0.0436245,0.0525917,0.0168513,0.0170348,0.0458255,0,0.0236516,0.055549,0.0378749,0,0,0.0104387,0,0,0.0158362,0.0587881,0.0253389,0.0260196,0.0420302,0.0333236,0.0338231,0.0390739,0.0243216,0.0528903,0.0370926,0.0377102,0.0635828,0.0173848,0.0394551,0.0152254,0.00496251,0.0445011,0.0726616,0,0,0,0,0,0,0,0,0,0.0343888,0.0489336,0,0.0422989,0.0479851,0,0
54,0.0544161,0.0328256,0,0,0,0.0253681,0,0.034159,0,0,0.0190619,0,0,0.0556022,0.0412194,0.0345654,0.0141865,0.0473132,0.0242035,0.038205,0.0388845,0,0.0337182,0.0280696,0.035035,0.0182492,0.0253478,0.0447949,0.0523415,0.0170463,0.0173861,0.0467096,0,0.0224875,0.0546708,0.0377039,0,0,0.010829,0,0,0.0154152,0.0591927,0.0252588,0.0278121,0.0426936,0.0334601,0.0330066,0.0396895,0.0242118,0.0526546,0.0368031,0.0374297,0.0643764,0.022941,0.0394711,0.0150155,0.00476625,0.0451753,0.0724933,0,0,0,0,0,0,0,0,0,0.0341301,0.0501377,0,0.0408623,0.0488149,0,0
55,0.0544966,0.032811,0,0,0,0.0251549,0,0.0341221,0,0,0.0191514,0,0,0.0557902,0.0406794,0.0351932,0.0140044,0.0479761,0.0245356,0.038755,0.0388354,0,0.0334701,0.0280495,0.0347678,0.0184539,0.0252108,0.0445811,0.0519983,0.0169775,0.0177911,0.0462353,0,0.0213673,0.0531828,0.0377451,0,0,0.0112176,0,0,0.0150384,0.0594983,0.025575,0.0299249,0.0437072,0.0337179,0.0326628,0.0399577,0.024195,0.0523797,0.0365596,0.0373262,0.0651713,0.0282825,0.0393377,0.0148079,0.00453923,0.0457699,0.0726201,0,0,0,0,0,0,0,0,0,0.0339263,0.0495567,0,0.0392827,0.0493395,0,0
56,0.0545246,0.0326981,0,0,0,0.0253533,0,0.0345275,0,0,0.019182,0,0,0.0558622,0.0401474,0.0349174,0,0.0484629,0.0247633,0.0391871,0.0394561,0,0.0334846,0.0283914,0.0352342,0.0186005,0.0252267,0.0430092,0.051722,0.0168353,0.0182383,0.0451403,0,0.0203796,0.0511556,0.0379851,0,0,0.0112866,0,0,0.0150552,0.059715,0.0260685,0.0323546,0.04518,0.033968,0.0325967,0.0397486,0.024217,0.0520874,0.0362803,0.0371965,0.065682,0.033816,0.0390361,0.0144855,0.00469288,0.0461307,0.0730143,0,0,0,0,0,0,0,0,0,0.033548,0.0498742,0,0.0379103,0.0490471,0,0
57,0.0545255,0.032672,0,0,0,0.025275,0,0.0350569,0,0,0.0190944,0,0,0.0559457,0.0395165,0.0350698,0,0.0485567,0.0249315,0.03895,0.0394748,0,0.0335757,0.0282447,0.0349435,0.0184868,0.0255352,0.042898,0.0515491,0.0168951,0.0186527,0.0439338,0,0.0192822,0.0497456,0.0381249,0,0,0.0117223,0,0,0.0146498,0.0599061,0.0263545,0.0343558,0.0465222,0.0342979,0.0324411,0.0396203,0.0242012,0.0518274,0.0357008,0.0369679,0.0659754,0.0412158,0.0387993,0.0141883,0.00438796,0.0462993,0.0732293,0,0,0,0,0,0,0,0,0,0.0338303,0.0498841,0,0.037093,0.0495087,0,0
58,0.0545026,0.0327263,0,0,0,0.0254182,0,0.0351625,0,0,0.0190037,0,0,0.055957,0.0398665,0.0346525,0,0.0485881,0.0251612,0.0394519,0.039258,0,0.0343186,0.028091,0.0348764,0.0183639,0.0260908,0.0422909,0.0513655,0.0169692,0.0190463,0.0537872,0,0.019274,0.0489981,0.0381389,0,0,0.0117798,0,0,0.0146529,0.0587203,0.0272457,0.0385189,0.0478196,0.0344167,0.0317973,0.0387287,0.0240899,0.0489182,0.035787,0.0333152,0.0613097,0,0.0387396,0.014071,0.00442933,0.0462055,0.0732485,0,0,0,0,0,0,0,0,0,0.0342767,0.0488047,0,0.033831,0.048859,0,0
59,0.0545178,0.0327726,0,0,0,0.0252388,0,0.0353534,0,0,0.0189522,0,0,0.05591,0.0394708,0.035152,0.0141108,0.048545,0.025313,0.0387492,0.038647,0,0.0343517,0.0274463,0.0339129,0.0179139,0.0265845,0.043106,0.0511688,0.0170419,0.0193831,0.0557297,0,0.0179011,0.0479836,0.038108,0,0,0.0117143,0,0,0.014796,0.0585473,0.027371,0.0394095,0.0489847,0.0345076,0.0314958,0.0386881,0.0237504,0.048554,0.0357728,0.0331889,0.0615131,0,0.0386051,0.0139688,0.00455398,0.0457482,0.0732964,0,0,0,0,0,0,0,0,0,0.0352388,0.0479636,0,0.0359526,0.0497222,0,0
60,0.0545033,0.0327262,0,0,0,0.0256405,0,0.0354992,0,0,0.019188,0,0,0.0557217,0.0391521,0.0344463,0,0.0483353,0.0254182,0.0380519,0.0389749,0,0.034444,0.0275886,0.0343635,0.0177812,0.0267918,0.0414101,0.0509357,0.0162837,0.019748,0.0571848,0,0.0170003,0.0462338,0.0383794,0,0,0.0111014,0,0,0.0154762,0.0582789,0.0278711,0.0403799,0.0498879,0.0347848,0.0312316,0.0385524,0.0232043,0.0486776,0.0362225,0.0336952,0.0623493,0,0.0383368,0.0136987,0.00551106,0.0448107,0.0737643,0,0,0,0,0,0,0,0,0,0.035225,0.0473667,0,0.0382309,0.0491275,0,0
61,0.0544785,0.0326941,0,0,0,0.0256412,0,0.0358105,0,0,0.0192072,0,0,0.0556693,0.0389416,0.0355673,0.0162832,0.0480894,0.0249532,0.0375909,0.038725,0,0.0339912,0.0268974,0.0334691,0.017429,0.0269955,0.041909,0.0511112,0.0163651,0.0196174,0.0570971,0,0.0164606,0.04562,0.038304,0,0,0.0110084,0,0,0.0155264,0.0581829,0.028179,0.041327,0.0493315,0.034719,0.0306274,0.0386473,0.0226638,0.0490777,0.036827,0.0340918,0.0632672,0,0.0383943,0.0138366,0.00537061,0.0437966,0.0736993,0,0,0,0,0,0,0,0,0,0.0361928,0.0464779,0,0.0406554,0.0499201,0,0
62,0.0544153,0.0326619,0,0,0,0.0254326,0,0.0363897,0,0,0.0194413,0,0,0.0555842,0.0386317,0.0359343,0.0160601,0.0476044,0.024192,0.0377818,0.0384854,0,0.0337631,0.0269683,0.0334926,0.0174266,0.0267839,0.0415969,0.0513961,0.0166231,0.0191078,0.0579249,0,0.0161539,0.0446132,0.0384761,0,0,0.0109876,0,0,0.0155341,0.0579636,0.0285911,0.0423631,0.0486116,0.0349624,0.0298798,0.038393,0.02208,0.0497948,0.0374525,0.0346261,0.0643817,0,0.0384661,0.0139039,0.00523081,0.0425493,0.0737727,0,0,0,0,0,0,0,0,0,0.0357365,0.0460659,0,0.0424568,0.0498321,0,0
63,0.0542595,0.0325975,0,0,0,0.0251991,0,0.0367623,0,0,0.0195891,0,0,0.0554059,0.0373246,0.0366016,0.0153672,0.0470203,0.0234949,0.0371975,0.0385695,0,0.0327353,0.0268068,0.0332555,0.0172936,0.0263294,0.0415564,0.0517554,0.0165631,0.0184231,0.048719,0,0.0144546,0.042657,0.0388841,0,0,0.0108482,0,0,0.0156096,0.0587154,0.0284197,0.0406545,0.0481787,0.0354214,0.0297605,0.0387215,0.0211097,0.0542519,0.0387143,0.0399497,0.0707925,0.0730989,0.0384871,0.0138616,0.00536712,0.0412643,0.0739955,0,0,0,0,0,0,0,0,0,0.0349703,0.0470157,0,0.0472911,0.050909,0,0
64,0.0537152,0.032541,0,0,0,0.0268052,0,0.0344371,0,0,0.019915,0,0,0.0547898,0.0391493,0.0354789,0.0143764,0.0455729,0.0220127,0.0375882,0.0389256,0,0.0334334,0.0268756,0.0331844,0.0174307,0.0273221,0.0407103,0.052802,0.0165757,0.0168801,0.0595197,0,0.015535,0.0458397,0.0389188,0,0,0.0106771,0,0,0.0155334,0.0572436,0.0320261,0.0434176,0.0473711,0.035361,0.0282623,0,0.0207267,0.0509236,0.037626,0.0363983,0.0676577,0,0.0390419,0.0142859,0.00513768,0.0410051,0.0728918,0,0,0,0,0,0,0,0,0,0.038199,0.0479017,0,0.0440159,0.0503013,0,0
65,0.0542611,0.0323352,0,0,0,0.0233897,0,0.0407085,0,0,0.0197234,0,0,0.0552516,0.0384538,0.0381191,0.0126709,0.0461874,0.0226156,0.0350504,0.038026,0,0.0311244,0.0250414,0.0322879,0.0166909,0.0252339,0.0403953,0.0526655,0.0172529,0.017276,0.0600958,0,0.0155948,0.0441408,0.0382234,0,0,0.0110255,0,0,0.0152659,0.0567634,0.0293421,0.0444421,0.0459839,0.0345018,0.0282005,0.0373536,0.0211744,0.0516534,0.0393443,0.0374643,0.0683581,0,0.0394684,0.014788,0.00470169,0.0407299,0.073267,0,0,0,0,0,0,0,0,0,0,0.0449496,0,0.0455463,0.0520188,0,0
66,0.0537449,0.0320417,0,0,0,0.0235192,0,0.0404103,0,0,0.0201627,0,0,0.0547491,0.0385671,0.0366611,0.0138717,0.0447535,0.0210982,0.0364613,0.0383043,0.0281537,0.0310837,0.0258715,0.0330519,0.0174609,0.0247182,0.03868,0.053728,0.017546,0.0157651,0.0601681,0,0.0152881,0.0451272,0.0387696,0,0,0.0109381,0,0,0.0153923,0.0560953,0.0325008,0.0443008,0.0466375,0.0348145,0.028172,0,0.0207154,0.0514704,0.0380991,0.0376905,0.06911,0,0.0395572,0.0147028,0.00502422,0.041486,0.0725545,0,0,0,0,0,0,0,0,0,0,0.0468885,0,0.0452477,0.05062,0,0
67,0.0536734,0.0317123,0,0,0,0.0489328,0,0.0111451,0,0,0.0203144,0,0,0.054713,0.0445816,0.0343669,0.0166071,0.0440753,0.0208522,0.039002,0.0459219,0,0.0383963,0.0295412,0.0331368,0.0269277,0.0424132,0.0444794,0.0537303,0.017524,0.0156292,0.0601744,0,0.0151597,0.0442342,0.0394642,0,0,0.0110316,0,0,0.0154444,0.0558066,0.0332279,0.0440212,0.0478757,0.0356385,0.0284827,0,0.020512,0.0517844,0.0380572,0.0378777,0.0694961,0,0.0391315,0.0142955,0.0053065,0.0420371,0.0731019,0,0,0,0,0,0,0,0,0,0.117334,0.046583,0,0.0448659,0.0491534,0,0
